CONKPOS,CONBPRES,CONIPOS,SWAT,SGAS,CONJPOS,DEPTH,WELLMODEL,DRAWDOWN,CONIDX,DATE,PRESSURE,WELL
4,299.0553283691406,28,0.6481541991233826,0.0,41,1616.4034423828125,STANDARD,0,4,2018-01-01,299.0553283691406,R_A3
5,299.1894836425781,28,0.6481541991233826,0.0,41,1618.4049072265625,STANDARD,0,5,2018-01-01,299.1894836425781,R_A3
5,298.40924072265625,29,0.8140294551849365,0.0,41,1606.7630615234375,STANDARD,0,6,2018-01-01,298.40924072265625,R_A3
6,298.5520324707031,29,0.6481541991233826,0.0,41,1608.8939208984375,STANDARD,0,7,2018-01-01,298.5520324707031,R_A3
7,298.6948547363281,29,0.19524303078651428,0.0,41,1611.0247802734375,STANDARD,0,8,2018-01-01,298.6948547363281,R_A3
8,298.837646484375,29,0.14804458618164062,0.0,41,1613.1556396484375,STANDARD,0,9,2018-01-01,298.837646484375,R_A3
9,298.98046875,29,0.6481541991233826,0.0,41,1615.286376953125,STANDARD,0,10,2018-01-01,298.98046875,R_A3
10,299.123291015625,29,0.8007083535194397,0.0,41,1617.417236328125,STANDARD,0,11,2018-01-01,299.123291015625,R_A3
11,299.2724304199219,29,0.046050913631916046,0.0,41,1619.6424560546875,STANDARD,0,12,2018-01-01,299.2724304199219,R_A3
12,299.42791748046875,29,0.05346669629216194,0.0,41,1621.9619140625,STANDARD,0,13,2018-01-01,299.42791748046875,R_A3
13,299.5834045410156,29,0.369427889585495,0.0,41,1624.281494140625,STANDARD,0,14,2018-01-01,299.5834045410156,R_A3
15,299.8943786621094,29,0.5025473833084106,0.0,41,1628.9205322265625,STANDARD,0,15,2018-01-01,299.8943786621094,R_A3
16,300.023193359375,29,0.803131639957428,0.0,41,1630.841796875,STANDARD,0,16,2018-01-01,300.023193359375,R_A3
25,300.1950988769531,29,0.33062243461608887,0.0,41,1633.4058837890625,STANDARD,0,17,2018-01-01,300.1950988769531,R_A3
26,300.4367980957031,29,0.06863335520029068,0.0,41,1637.010986328125,STANDARD,0,18,2018-01-01,300.4367980957031,R_A3
27,300.67852783203125,29,0.12552855908870697,0.0,41,1640.6160888671875,STANDARD,0,19,2018-01-01,300.67852783203125,R_A3
28,300.9202575683594,29,1.0,0.0,41,1644.22119140625,STANDARD,0,20,2018-01-01,300.9202575683594,R_A3
29,301.1620178222656,29,0.27144742012023926,0.0,41,1647.8262939453125,STANDARD,0,21,2018-01-01,301.1620178222656,R_A3
1,300.1661682128906,30,0.05057302489876747,0.0,52,1632.974609375,STANDARD,0,1,2018-01-01,300.1661682128906,R_A4
1,299.8807678222656,31,0.05023334547877312,0.0,52,1628.7174072265625,STANDARD,0,2,2018-01-01,299.8807678222656,R_A4
2,300.0186767578125,31,0.05244875326752663,0.0,52,1630.774658203125,STANDARD,0,3,2018-01-01,300.0186767578125,R_A4
3,300.1566162109375,31,0.05415943264961243,0.0,52,1632.83203125,STANDARD,0,4,2018-01-01,300.1566162109375,R_A4
4,300.2945556640625,31,0.057525455951690674,0.0,52,1634.8892822265625,STANDARD,0,5,2018-01-01,300.2945556640625,R_A4
4,300.2530822753906,32,0.05486871674656868,0.0,52,1634.27099609375,STANDARD,0,6,2018-01-01,300.2530822753906,R_A4
4,300.52423095703125,32,0.09402431547641754,0.0,51,1638.315185546875,STANDARD,0,7,2018-01-01,300.52423095703125,R_A4
3,300.4021911621094,32,0.057369522750377655,0.0,51,1636.494873046875,STANDARD,0,8,2018-01-01,300.4021911621094,R_A4
2,300.2801513671875,32,0.05593517795205116,0.0,51,1634.6746826171875,STANDARD,0,9,2018-01-01,300.2801513671875,R_A4
2,300.4527893066406,33,0.05901318043470383,0.0,51,1637.24951171875,STANDARD,0,10,2018-01-01,300.4527893066406,R_A4
3,300.5781555175781,33,0.0603599026799202,0.0,51,1639.119384765625,STANDARD,0,11,2018-01-01,300.5781555175781,R_A4
3,300.89837646484375,33,0.06386469304561615,0.0,50,1643.894775390625,STANDARD,0,12,2018-01-01,300.89837646484375,R_A4
3,300.7231140136719,34,0.06306044012308121,0.0,50,1641.281005859375,STANDARD,0,13,2018-01-01,300.7231140136719,R_A4
2,300.5914001464844,34,0.1162974089384079,0.0,50,1639.3167724609375,STANDARD,0,14,2018-01-01,300.5914001464844,R_A4
3,300.9261474609375,35,0.24346710741519928,0.0,50,1644.3089599609375,STANDARD,0,15,2018-01-01,300.9261474609375,R_A4
2,300.8017578125,35,0.23754936456680298,0.0,50,1642.453857421875,STANDARD,0,16,2018-01-01,300.8017578125,R_A4
1,300.6773681640625,35,0.23413239419460297,0.0,50,1640.5986328125,STANDARD,0,17,2018-01-01,300.6773681640625,R_A4
28,300.7772216796875,35,0.16438741981983185,0.0,49,1642.087890625,STANDARD,0,18,2018-01-01,300.7772216796875,R_A4
27,300.356689453125,35,0.2663779556751251,0.0,49,1635.8162841796875,STANDARD,0,19,2018-01-01,300.356689453125,R_A4
27,300.73516845703125,36,0.6869381666183472,0.0,49,1641.461181640625,STANDARD,0,20,2018-01-01,300.73516845703125,R_A4
27,300.50750732421875,36,0.27154046297073364,0.0,48,1638.065673828125,STANDARD,0,21,2018-01-01,300.50750732421875,R_A4
27,300.8542175292969,37,0.6481541991233826,0.0,48,1643.236083984375,STANDARD,0,22,2018-01-01,300.8542175292969,R_A4
28,301.2479553222656,37,0.6481541991233826,0.0,48,1649.107666015625,STANDARD,0,23,2018-01-01,301.2479553222656,R_A4
28,301.53521728515625,38,1.0,0.0,48,1653.3912353515625,STANDARD,0,24,2018-01-01,301.53521728515625,R_A4
28,301.60595703125,38,0.6481541991233826,0.0,47,1654.446044921875,STANDARD,0,25,2018-01-01,301.60595703125,R_A4
1,304.2589416503906,31,1.0,0.0,20,1686.177734375,STANDARD,0,1,2018-01-01,304.2589416503906,R_A5
2,304.18109130859375,31,1.0,0.0,20,1688.5828857421875,STANDARD,0,2,2018-01-01,304.18109130859375,R_A5
3,304.4090270996094,31,1.0,0.0,20,1690.988037109375,STANDARD,0,3,2018-01-01,304.4090270996094,R_A5
4,304.636962890625,31,1.0,0.0,20,1693.393310546875,STANDARD,0,4,2018-01-01,304.636962890625,R_A5
5,304.8648986816406,31,1.0,0.0,20,1695.798583984375,STANDARD,0,5,2018-01-01,304.8648986816406,R_A5
6,305.09283447265625,31,1.0,0.0,20,1698.2037353515625,STANDARD,0,6,2018-01-01,305.09283447265625,R_A5
7,305.6265563964844,31,1.0,0.0,20,1700.60888671875,STANDARD,0,7,2018-01-01,305.6265563964844,R_A5
11,306.2069396972656,31,1.0,0.0,20,1709.95849609375,STANDARD,0,8,2018-01-01,306.2069396972656,R_A5
12,306.3834228515625,31,1.0,0.0,20,1711.82080078125,STANDARD,0,9,2018-01-01,306.3834228515625,R_A5
12,305.2738952636719,31,1.0,0.0,21,1700.1131591796875,STANDARD,0,10,2018-01-01,305.2738952636719,R_A5
13,305.4600524902344,31,1.0,0.0,21,1701.951171875,STANDARD,0,11,2018-01-01,305.4600524902344,R_A5
14,305.6342468261719,31,1.0,0.0,21,1703.789306640625,STANDARD,0,12,2018-01-01,305.6342468261719,R_A5
15,305.8084411621094,31,1.0,0.0,21,1705.6273193359375,STANDARD,0,13,2018-01-01,305.8084411621094,R_A5
16,306.1276550292969,31,1.0,0.0,21,1707.4654541015625,STANDARD,0,14,2018-01-01,306.1276550292969,R_A5
17,306.3016662597656,31,1.0,0.0,21,1709.3016357421875,STANDARD,0,15,2018-01-01,306.3016662597656,R_A5
18,306.4407653808594,31,1.0,0.0,21,1710.769287109375,STANDARD,0,16,2018-01-01,306.4407653808594,R_A5
19,306.5308532714844,31,1.0,0.0,21,1711.7197265625,STANDARD,0,17,2018-01-01,306.5308532714844,R_A5
25,306.5304870605469,31,1.0,0.0,21,1713.37353515625,STANDARD,0,18,2018-01-01,306.5304870605469,R_A5
26,306.76324462890625,31,1.0,0.0,21,1715.82958984375,STANDARD,0,19,2018-01-01,306.76324462890625,R_A5
27,307.3017883300781,31,1.0,0.0,21,1718.28564453125,STANDARD,0,20,2018-01-01,307.3017883300781,R_A5
28,307.5345764160156,31,1.0,0.0,21,1720.74169921875,STANDARD,0,21,2018-01-01,307.5345764160156,R_A5
29,307.767333984375,31,1.0,0.0,21,1723.1976318359375,STANDARD,0,22,2018-01-01,307.767333984375,R_A5
1,305.0685119628906,17,1.0,0.0,42,1694.720458984375,STANDARD,0,1,2018-01-01,305.0685119628906,R_A6
2,305.21417236328125,17,1.0,0.0,42,1696.257568359375,STANDARD,0,2,2018-01-01,305.21417236328125,R_A6
3,305.3598327636719,17,1.0,0.0,42,1697.794677734375,STANDARD,0,3,2018-01-01,305.3598327636719,R_A6
4,305.5054931640625,17,1.0,0.0,42,1699.331787109375,STANDARD,0,4,2018-01-01,305.5054931640625,R_A6
5,305.6511535644531,17,1.0,0.0,42,1700.8687744140625,STANDARD,0,5,2018-01-01,305.6511535644531,R_A6
6,305.79681396484375,17,1.0,0.0,42,1702.40576171875,STANDARD,0,6,2018-01-01,305.79681396484375,R_A6
7,305.6434326171875,17,1.0,0.0,42,1703.94287109375,STANDARD,0,7,2018-01-01,305.6434326171875,R_A6
8,305.78912353515625,17,1.0,0.0,42,1705.4798583984375,STANDARD,0,8,2018-01-01,305.78912353515625,R_A6
9,306.23382568359375,17,1.0,0.0,42,1707.0169677734375,STANDARD,0,9,2018-01-01,306.23382568359375,R_A6
10,306.3794860839844,17,1.0,0.0,42,1708.553955078125,STANDARD,0,10,2018-01-01,306.3794860839844,R_A6
11,306.2563171386719,17,1.0,0.0,42,1710.4794921875,STANDARD,0,11,2018-01-01,306.2563171386719,R_A6
12,306.4756164550781,17,1.0,0.0,42,1712.7933349609375,STANDARD,0,12,2018-01-01,306.4756164550781,R_A6
13,306.70684814453125,17,1.0,0.0,42,1715.107177734375,STANDARD,0,13,2018-01-01,306.70684814453125,R_A6
14,306.9261474609375,17,1.0,0.0,42,1717.4208984375,STANDARD,0,14,2018-01-01,306.9261474609375,R_A6
15,307.14544677734375,17,1.0,0.0,42,1719.73486328125,STANDARD,0,15,2018-01-01,307.14544677734375,R_A6
16,307.509765625,17,1.0,0.0,42,1722.048583984375,STANDARD,0,16,2018-01-01,307.509765625,R_A6
17,307.7290344238281,17,1.0,0.0,42,1724.3624267578125,STANDARD,0,17,2018-01-01,307.7290344238281,R_A6
18,307.86993408203125,17,1.0,0.0,42,1725.848876953125,STANDARD,0,18,2018-01-01,307.86993408203125,R_A6
25,307.8252258300781,17,1.0,0.0,42,1727.034912109375,STANDARD,0,19,2018-01-01,307.8252258300781,R_A6
26,308.29339599609375,17,1.0,0.0,42,1728.748046875,STANDARD,0,20,2018-01-01,308.29339599609375,R_A6
27,308.45574951171875,17,1.0,0.0,42,1730.461181640625,STANDARD,0,21,2018-01-01,308.45574951171875,R_A6
28,308.6181335449219,17,1.0,0.0,42,1732.17431640625,STANDARD,0,22,2018-01-01,308.6181335449219,R_A6
29,308.4747314453125,17,1.0,0.0,42,1733.887451171875,STANDARD,0,23,2018-01-01,308.4747314453125,R_A6
1,298.61517333984375,22,0.055561091750860214,0.0,30,1641.9888916015625,STANDARD,0,1,2018-03-01,298.61517333984375,R_A2
2,298.7408142089844,22,0.05842788890004158,0.0,30,1643.864013671875,STANDARD,0,2,2018-03-01,298.7408142089844,R_A2
3,298.8664855957031,22,0.06170416995882988,0.0,30,1645.739013671875,STANDARD,0,3,2018-03-01,298.8664855957031,R_A2
4,298.9921875,22,0.06634059548377991,0.0,30,1647.614013671875,STANDARD,0,4,2018-03-01,298.9921875,R_A2
5,299.1178894042969,22,0.07140614092350006,0.0,30,1649.4891357421875,STANDARD,0,5,2018-03-01,299.1178894042969,R_A2
6,299.2786865234375,22,0.3131062388420105,0.0,30,1651.3642578125,STANDARD,0,6,2018-03-01,299.2786865234375,R_A2
7,299.418212890625,22,0.8907809853553772,0.0,30,1653.2392578125,STANDARD,0,7,2018-03-01,299.418212890625,R_A2
8,299.5553894042969,22,0.8779788613319397,0.0,30,1655.1143798828125,STANDARD,0,8,2018-03-01,299.5553894042969,R_A2
9,299.8501892089844,22,0.6482764482498169,0.0,30,1656.9893798828125,STANDARD,0,9,2018-03-01,299.8501892089844,R_A2
10,300.089599609375,22,0.6482704281806946,0.0,30,1658.8643798828125,STANDARD,0,10,2018-03-01,300.089599609375,R_A2
11,300.1419982910156,22,0.07865432649850845,0.0,30,1660.81689453125,STANDARD,0,11,2018-03-01,300.1419982910156,R_A2
12,300.2781066894531,22,0.08169335871934891,0.0,30,1662.846923828125,STANDARD,0,12,2018-03-01,300.2781066894531,R_A2
13,300.5443115234375,22,0.45539817214012146,0.0,30,1664.8770751953125,STANDARD,0,13,2018-03-01,300.5443115234375,R_A2
14,300.7371520996094,22,0.506593644618988,0.0,30,1666.9071044921875,STANDARD,0,14,2018-03-01,300.7371520996094,R_A2
15,300.87261962890625,22,0.6913180351257324,0.0,30,1668.9371337890625,STANDARD,0,15,2018-03-01,300.87261962890625,R_A2
16,301.0068054199219,22,0.9711681604385376,0.0,30,1670.9671630859375,STANDARD,0,16,2018-03-01,301.0068054199219,R_A2
16,300.78131103515625,22,0.9499419927597046,0.0,29,1668.3450927734375,STANDARD,0,17,2018-03-01,300.78131103515625,R_A2
17,300.92083740234375,22,0.9287433624267578,0.0,29,1670.433349609375,STANDARD,0,18,2018-03-01,300.92083740234375,R_A2
18,301.05712890625,22,0.9578016400337219,0.0,29,1672.469482421875,STANDARD,0,19,2018-03-01,301.05712890625,R_A2
19,301.1377868652344,22,0.9908218383789062,0.0,29,1673.6722412109375,STANDARD,0,20,2018-03-01,301.1377868652344,R_A2
25,302.8175964355469,22,0.7512162923812866,0.0,29,1674.7808837890625,STANDARD,0,21,2018-03-01,302.8175964355469,R_A2
26,301.843505859375,22,0.8055136203765869,0.0,29,1676.5767822265625,STANDARD,0,22,2018-03-01,301.843505859375,R_A2
27,301.9700622558594,22,1.0,-7.045489612187393e-15,29,1678.3726806640625,STANDARD,0,23,2018-03-01,301.9700622558594,R_A2
28,303.00592041015625,22,1.0,-2.722343510745028e-16,29,1680.168701171875,STANDARD,0,24,2018-03-01,303.00592041015625,R_A2
29,303.5106506347656,22,1.0,-2.5144836438095173e-17,29,1681.964599609375,STANDARD,0,25,2018-03-01,303.5106506347656,R_A2
1,284.4219055175781,31,1.0,-6.498804039526966e-17,20,1686.177734375,STANDARD,0,1,2018-04-28,284.4219055175781,R_A5
2,284.3439636230469,31,1.0,-6.01306453088847e-14,20,1688.5828857421875,STANDARD,0,2,2018-04-28,284.3439636230469,R_A5
3,284.5716857910156,31,1.0,-7.205198352018549e-14,20,1690.988037109375,STANDARD,0,3,2018-04-28,284.5716857910156,R_A5
4,284.7994079589844,31,1.0,-5.85114842319677e-14,20,1693.393310546875,STANDARD,0,4,2018-04-28,284.7994079589844,R_A5
5,285.0271301269531,31,1.0,-5.5120601279937814e-14,20,1695.798583984375,STANDARD,0,5,2018-04-28,285.0271301269531,R_A5
6,285.25482177734375,31,1.0,-4.327881979117494e-14,20,1698.2037353515625,STANDARD,0,6,2018-04-28,285.25482177734375,R_A5
7,285.80029296875,31,1.0,-1.2066647560435208e-14,20,1700.60888671875,STANDARD,0,7,2018-04-28,285.80029296875,R_A5
11,283.07415771484375,31,1.0,-2.570120331835124e-11,20,1709.95849609375,STANDARD,0,8,2018-04-28,283.07415771484375,R_A5
12,283.4407958984375,31,1.0,-5.318242374263704e-11,20,1711.82080078125,STANDARD,0,9,2018-04-28,283.4407958984375,R_A5
12,280.5132751464844,31,1.0,-2.3432245033205845e-10,21,1700.1131591796875,STANDARD,0,10,2018-04-28,280.5132751464844,R_A5
13,281.38763427734375,31,1.0,-2.35035272494466e-11,21,1701.951171875,STANDARD,0,11,2018-04-28,281.38763427734375,R_A5
14,281.7268371582031,31,1.0,-2.8052150879975812e-11,21,1703.789306640625,STANDARD,0,12,2018-04-28,281.7268371582031,R_A5
15,281.9014587402344,31,1.0,-1.1251931678057936e-11,21,1705.6273193359375,STANDARD,0,13,2018-04-28,281.9014587402344,R_A5
16,282.2257995605469,31,1.0,-1.5268625122924484e-12,21,1707.4654541015625,STANDARD,0,14,2018-04-28,282.2257995605469,R_A5
17,282.4090270996094,31,1.0,-1.0782883917356823e-12,21,1709.3016357421875,STANDARD,0,15,2018-04-28,282.4090270996094,R_A5
18,282.5541076660156,31,1.0,-2.3161420698025736e-12,21,1710.769287109375,STANDARD,0,16,2018-04-28,282.5541076660156,R_A5
19,282.6461486816406,31,1.0,-4.856745648013083e-12,21,1711.7197265625,STANDARD,0,17,2018-04-28,282.6461486816406,R_A5
25,285.25604248046875,31,1.0,-1.4947452997571276e-10,21,1713.37353515625,STANDARD,0,18,2018-04-28,285.25604248046875,R_A5
26,285.5322265625,31,1.0,-1.7654441797354536e-10,21,1715.82958984375,STANDARD,0,19,2018-04-28,285.5322265625,R_A5
27,286.0479431152344,31,1.0,-1.3502406137622103e-10,21,1718.28564453125,STANDARD,0,20,2018-04-28,286.0479431152344,R_A5
28,294.8731689453125,31,1.0,4.339227696925368e-17,21,1720.74169921875,STANDARD,0,21,2018-04-28,294.8731689453125,R_A5
29,303.2920837402344,31,1.0,1.6405814300766876e-18,21,1723.1976318359375,STANDARD,0,22,2018-04-28,303.2920837402344,R_A5
1,276.3751525878906,28,0.6506891250610352,0.0,41,1610.39892578125,STANDARD,0,1,2018-07-03,276.3751525878906,R_A3
2,276.5472106933594,28,0.23286743462085724,0.0,41,1612.400390625,STANDARD,0,2,2018-07-03,276.5472106933594,R_A3
3,276.6827392578125,28,0.2781146466732025,0.0,41,1614.40185546875,STANDARD,0,3,2018-07-03,276.6827392578125,R_A3
4,276.8167724609375,28,0.6501221656799316,0.0,41,1616.4034423828125,STANDARD,0,4,2018-07-03,276.8167724609375,R_A3
5,276.95037841796875,28,0.6500182747840881,0.0,41,1618.4049072265625,STANDARD,0,5,2018-07-03,276.95037841796875,R_A3
5,276.198974609375,29,0.8069770336151123,0.0,41,1606.7630615234375,STANDARD,0,6,2018-07-03,276.198974609375,R_A3
6,276.3470764160156,29,0.6495671272277832,0.0,41,1608.8939208984375,STANDARD,0,7,2018-07-03,276.3470764160156,R_A3
7,276.4828796386719,29,0.19572606682777405,0.0,41,1611.0247802734375,STANDARD,0,8,2018-07-03,276.4828796386719,R_A3
8,276.62396240234375,29,0.1485932469367981,0.0,41,1613.1556396484375,STANDARD,0,9,2018-07-03,276.62396240234375,R_A3
9,276.7487487792969,29,0.6510869264602661,0.0,41,1615.286376953125,STANDARD,0,10,2018-07-03,276.7487487792969,R_A3
10,277.8137512207031,29,0.7992570996284485,0.0,41,1617.417236328125,STANDARD,0,11,2018-07-03,277.8137512207031,R_A3
11,278.5445251464844,29,0.04621628671884537,0.0,41,1619.6424560546875,STANDARD,0,12,2018-07-03,278.5445251464844,R_A3
12,278.6991882324219,29,0.053611062467098236,0.0,41,1621.9619140625,STANDARD,0,13,2018-07-03,278.6991882324219,R_A3
13,278.85528564453125,29,0.3700610101222992,0.0,41,1624.281494140625,STANDARD,0,14,2018-07-03,278.85528564453125,R_A3
15,281.95794677734375,29,0.5014979243278503,0.0,41,1628.9205322265625,STANDARD,0,15,2018-07-03,281.95794677734375,R_A3
16,282.0979309082031,29,0.8001161217689514,0.0,41,1630.841796875,STANDARD,0,16,2018-07-03,282.0979309082031,R_A3
25,281.530029296875,29,0.3272618055343628,0.0,41,1633.4058837890625,STANDARD,0,17,2018-07-03,281.530029296875,R_A3
26,281.7859802246094,29,0.06895331293344498,0.0,41,1637.010986328125,STANDARD,0,18,2018-07-03,281.7859802246094,R_A3
27,282.0276184082031,29,0.12600825726985931,0.0,41,1640.6160888671875,STANDARD,0,19,2018-07-03,282.0276184082031,R_A3
28,284.76153564453125,29,0.9999991655349731,-4.7184922635779e-08,41,1644.22119140625,STANDARD,0,20,2018-07-03,284.76153564453125,R_A3
29,282.45086669921875,29,0.2657562494277954,0.0,41,1647.8262939453125,STANDARD,0,21,2018-07-03,282.45086669921875,R_A3
1,281.53662109375,30,0.05066516250371933,0.0,52,1632.974609375,STANDARD,0,1,2018-09-12,281.53662109375,R_A4
1,281.2684326171875,31,0.050327979028224945,0.0,52,1628.7174072265625,STANDARD,0,2,2018-09-12,281.2684326171875,R_A4
2,281.40570068359375,31,0.05254637822508812,0.0,52,1630.774658203125,STANDARD,0,3,2018-09-12,281.40570068359375,R_A4
3,281.5429992675781,31,0.0542614683508873,0.0,52,1632.83203125,STANDARD,0,4,2018-09-12,281.5429992675781,R_A4
4,281.6802978515625,31,0.057621899992227554,0.0,52,1634.8892822265625,STANDARD,0,5,2018-09-12,281.6802978515625,R_A4
4,281.6725158691406,32,0.05497817322611809,0.0,52,1634.27099609375,STANDARD,0,6,2018-09-12,281.6725158691406,R_A4
4,281.8916015625,32,0.09422827512025833,0.0,51,1638.315185546875,STANDARD,0,7,2018-09-12,281.8916015625,R_A4
3,281.7701110839844,32,0.05745229125022888,0.0,51,1636.494873046875,STANDARD,0,8,2018-09-12,281.7701110839844,R_A4
2,281.64862060546875,32,0.05601455271244049,0.0,51,1634.6746826171875,STANDARD,0,9,2018-09-12,281.64862060546875,R_A4
2,281.8394470214844,33,0.05906796082854271,0.0,51,1637.24951171875,STANDARD,0,10,2018-09-12,281.8394470214844,R_A4
3,281.9642639160156,33,0.060410141944885254,0.0,51,1639.119384765625,STANDARD,0,11,2018-09-12,281.9642639160156,R_A4
3,282.1299743652344,33,0.06408203393220901,0.0,50,1643.894775390625,STANDARD,0,12,2018-09-12,282.1299743652344,R_A4
3,281.9625549316406,34,0.06325139105319977,0.0,50,1641.281005859375,STANDARD,0,13,2018-09-12,281.9625549316406,R_A4
2,281.83184814453125,34,0.11643131077289581,0.0,50,1639.3167724609375,STANDARD,0,14,2018-09-12,281.83184814453125,R_A4
3,282.2664489746094,35,0.2434021681547165,0.0,50,1644.3089599609375,STANDARD,0,15,2018-09-12,282.2664489746094,R_A4
2,282.14154052734375,35,0.23746685683727264,0.0,50,1642.453857421875,STANDARD,0,16,2018-09-12,282.14154052734375,R_A4
1,282.01678466796875,35,0.2340673953294754,0.0,50,1640.5986328125,STANDARD,0,17,2018-09-12,282.01678466796875,R_A4
28,277.1291198730469,35,0.16392354667186737,0.0,49,1642.087890625,STANDARD,0,18,2018-09-12,277.1291198730469,R_A4
27,276.69818115234375,35,0.26547813415527344,0.0,49,1635.8162841796875,STANDARD,0,19,2018-09-12,276.69818115234375,R_A4
27,277.40478515625,36,0.689802348613739,0.0,49,1641.461181640625,STANDARD,0,20,2018-09-12,277.40478515625,R_A4
27,276.7987365722656,36,0.25709980726242065,0.0,48,1638.065673828125,STANDARD,0,21,2018-09-12,276.7987365722656,R_A4
27,277.8890075683594,37,0.6628361344337463,0.0,48,1643.236083984375,STANDARD,0,22,2018-09-12,277.8890075683594,R_A4
28,277.98504638671875,37,0.6498714685440063,0.0,48,1649.107666015625,STANDARD,0,23,2018-09-12,277.98504638671875,R_A4
28,281.7662658691406,38,1.0,-4.611460935333156e-10,48,1653.3912353515625,STANDARD,0,24,2018-09-12,281.7662658691406,R_A4
28,278.18048095703125,38,0.6497154235839844,0.0,47,1654.446044921875,STANDARD,0,25,2018-09-12,278.18048095703125,R_A4
1,274.1459045410156,17,1.0,6.894099413524632e-14,42,1694.720458984375,STANDARD,0,1,2018-11-07,274.1459045410156,R_A6
2,274.2889099121094,17,1.0,7.192680560310846e-14,42,1696.257568359375,STANDARD,0,2,2018-11-07,274.2889099121094,R_A6
3,274.4314270019531,17,1.0,2.772047965249238e-14,42,1697.794677734375,STANDARD,0,3,2018-11-07,274.4314270019531,R_A6
4,274.57122802734375,17,1.0,2.00441148189923e-14,42,1699.331787109375,STANDARD,0,4,2018-11-07,274.57122802734375,R_A6
5,274.7098693847656,17,1.0,2.830695510077589e-14,42,1700.8687744140625,STANDARD,0,5,2018-11-07,274.7098693847656,R_A6
