CONIDX,DEPTH,CONJPOS,WELLMODEL,SGAS,CONIPOS,DRAWDOWN,CONBPRES,SWAT,CONKPOS,WELL,DATE,PRESSURE
4,1615.527587890625,41,STANDARD,0.0,28,0,298.9593200683594,0.3773607909679413,4,R_A3,2018-01-01,298.9593200683594
5,1617.61669921875,41,STANDARD,0.0,28,0,299.0993347167969,0.6481541991233826,5,R_A3,2018-01-01,299.0993347167969
6,1619.705810546875,41,STANDARD,0.0,28,0,299.2393798828125,0.1531975269317627,6,R_A3,2018-01-01,299.2393798828125
7,1621.794921875,41,STANDARD,0.0,28,0,299.37939453125,0.13645130395889282,7,R_A3,2018-01-01,299.37939453125
8,1623.8839111328125,41,STANDARD,0.0,28,0,299.5194396972656,0.21364372968673706,8,R_A3,2018-01-01,299.5194396972656
9,1615.5555419921875,41,STANDARD,0.0,29,0,298.961181640625,0.20060741901397705,8,R_A3,2018-01-01,298.961181640625
10,1617.4500732421875,41,STANDARD,0.0,29,0,299.0881652832031,0.688708484172821,9,R_A3,2018-01-01,299.0881652832031
11,1619.344482421875,41,STANDARD,0.0,29,0,299.21514892578125,0.8080069422721863,10,R_A3,2018-01-01,299.21514892578125
12,1621.394287109375,41,STANDARD,0.0,29,0,299.3525390625,0.051589615643024445,11,R_A3,2018-01-01,299.3525390625
13,1623.5992431640625,41,STANDARD,0.0,29,0,299.5003356933594,0.05503043159842491,12,R_A3,2018-01-01,299.5003356933594
14,1625.8043212890625,41,STANDARD,0.0,29,0,299.6481628417969,0.3763955235481262,13,R_A3,2018-01-01,299.6481628417969
15,1630.175537109375,41,STANDARD,0.0,29,0,299.9411926269531,0.5036530494689941,15,R_A3,2018-01-01,299.9411926269531
16,1631.6993408203125,41,STANDARD,0.0,29,0,300.0433654785156,0.8091627359390259,16,R_A3,2018-01-01,300.0433654785156
17,1632.280517578125,41,STANDARD,0.0,29,0,300.0823059082031,0.7764567136764526,17,R_A3,2018-01-01,300.0823059082031
18,1634.1356201171875,41,STANDARD,0.0,29,0,300.2066955566406,1.0,27,R_A3,2018-01-01,300.2066955566406
19,1637.603515625,41,STANDARD,0.0,29,0,300.439208984375,0.08221719413995743,28,R_A3,2018-01-01,300.439208984375
20,1641.071533203125,41,STANDARD,0.0,29,0,300.6717224121094,0.08319103717803955,29,R_A3,2018-01-01,300.6717224121094
21,1644.53955078125,41,STANDARD,0.0,29,0,300.9042663574219,0.6481541991233826,30,R_A3,2018-01-01,300.9042663574219
22,1648.0074462890625,41,STANDARD,0.0,29,0,301.1368408203125,0.06477277725934982,31,R_A3,2018-01-01,301.1368408203125
1,1625.2891845703125,52,STANDARD,0.0,30,0,299.6136169433594,0.0473579540848732,1,R_A4,2018-01-01,299.6136169433594
2,1622.84326171875,52,STANDARD,0.0,31,0,299.4496765136719,0.04672354832291603,1,R_A4,2018-01-01,299.4496765136719
3,1624.9423828125,52,STANDARD,0.0,31,0,299.59039306640625,0.04918963089585304,2,R_A4,2018-01-01,299.59039306640625
4,1627.0413818359375,52,STANDARD,0.0,31,0,299.7310791015625,0.049847912043333054,3,R_A4,2018-01-01,299.7310791015625
5,1629.1405029296875,52,STANDARD,0.0,31,0,299.8717956542969,0.051610756665468216,4,R_A4,2018-01-01,299.8717956542969
6,1631.239501953125,52,STANDARD,0.0,31,0,300.0125427246094,0.053322043269872665,5,R_A4,2018-01-01,300.0125427246094
7,1633.338623046875,52,STANDARD,0.0,31,0,300.15325927734375,0.05601115897297859,6,R_A4,2018-01-01,300.15325927734375
8,1632.048095703125,52,STANDARD,0.0,32,0,300.0667419433594,0.10867026448249817,6,R_A4,2018-01-01,300.0667419433594
9,1633.9495849609375,52,STANDARD,0.0,32,0,300.1942138671875,0.05710314214229584,7,R_A4,2018-01-01,300.1942138671875
10,1633.5660400390625,51,STANDARD,0.0,32,0,300.16851806640625,0.05703774467110634,7,R_A4,2018-01-01,300.16851806640625
11,1635.910400390625,51,STANDARD,0.0,33,0,300.32568359375,0.15230926871299744,7,R_A4,2018-01-01,300.32568359375
12,1637.79833984375,51,STANDARD,0.0,33,0,300.4522705078125,0.06074320152401924,8,R_A4,2018-01-01,300.4522705078125
13,1640.8099365234375,50,STANDARD,0.0,33,0,300.6542053222656,0.0621020570397377,8,R_A4,2018-01-01,300.6542053222656
14,1641.4837646484375,50,STANDARD,0.0,34,0,300.6993713378906,0.06318261474370956,8,R_A4,2018-01-01,300.6993713378906
15,1639.6695556640625,50,STANDARD,0.0,34,0,300.5777282714844,0.06303848326206207,7,R_A4,2018-01-01,300.5777282714844
16,1637.855224609375,50,STANDARD,0.0,34,0,300.4560852050781,0.1345198154449463,6,R_A4,2018-01-01,300.4560852050781
17,1641.02978515625,50,STANDARD,0.0,35,0,300.6689453125,0.14011326432228088,6,R_A4,2018-01-01,300.6689453125
18,1639.3179931640625,50,STANDARD,0.0,35,0,300.5541687011719,0.22945892810821533,5,R_A4,2018-01-01,300.5541687011719
19,1639.1646728515625,49,STANDARD,0.0,35,0,300.54388427734375,0.13744886219501495,30,R_A4,2018-01-01,300.54388427734375
20,1645.424560546875,49,STANDARD,0.0,36,0,300.963623046875,0.13086850941181183,30,R_A4,2018-01-01,300.963623046875
21,1639.58837890625,49,STANDARD,0.0,36,0,300.5722961425781,0.7188493609428406,29,R_A4,2018-01-01,300.5722961425781
22,1641.6143798828125,48,STANDARD,0.0,36,0,300.7081298828125,0.6481541991233826,29,R_A4,2018-01-01,300.7081298828125
23,1646.87353515625,48,STANDARD,0.0,37,0,301.060791015625,0.8482672572135925,29,R_A4,2018-01-01,301.060791015625
24,1651.210693359375,48,STANDARD,0.0,38,0,301.3516540527344,0.6481541991233826,29,R_A4,2018-01-01,301.3516540527344
25,1659.056640625,47,STANDARD,0.0,38,0,301.87786865234375,0.3091934025287628,29,R_A4,2018-01-01,301.87786865234375
1,1684.117431640625,20,STANDARD,0.0,31,0,303.7579345703125,1.0,1,R_A5,2018-01-01,303.7579345703125
2,1686.35107421875,20,STANDARD,0.0,31,0,303.9696044921875,1.0,2,R_A5,2018-01-01,303.9696044921875
3,1688.584716796875,20,STANDARD,0.0,31,0,304.1812744140625,1.0,3,R_A5,2018-01-01,304.1812744140625
4,1690.818359375,20,STANDARD,0.0,31,0,304.3929443359375,1.0,4,R_A5,2018-01-01,304.3929443359375
5,1693.052001953125,20,STANDARD,0.0,31,0,304.6046142578125,1.0,5,R_A5,2018-01-01,304.6046142578125
6,1695.2857666015625,20,STANDARD,0.0,31,0,304.8162841796875,1.0,6,R_A5,2018-01-01,304.8162841796875
7,1697.5194091796875,20,STANDARD,0.0,31,0,305.3337707519531,1.0,7,R_A5,2018-01-01,305.3337707519531
8,1699.241455078125,21,STANDARD,0.0,31,0,305.4969482421875,1.0,10,R_A5,2018-01-01,305.4969482421875
9,1701.4384765625,21,STANDARD,0.0,31,0,305.3995056152344,1.0,11,R_A5,2018-01-01,305.3995056152344
10,1703.3726806640625,21,STANDARD,0.0,31,0,305.5827941894531,1.0,12,R_A5,2018-01-01,305.5827941894531
11,1705.306884765625,21,STANDARD,0.0,31,0,305.778076171875,1.0,13,R_A5,2018-01-01,305.778076171875
12,1707.2410888671875,21,STANDARD,0.0,31,0,305.96136474609375,1.0,14,R_A5,2018-01-01,305.96136474609375
13,1709.17529296875,21,STANDARD,0.0,31,0,306.1446838378906,1.0,15,R_A5,2018-01-01,306.1446838378906
14,1711.1094970703125,21,STANDARD,0.0,31,0,306.4729919433594,1.0,16,R_A5,2018-01-01,306.4729919433594
15,1713.0435791015625,21,STANDARD,0.0,31,0,306.65631103515625,1.0,17,R_A5,2018-01-01,306.65631103515625
16,1714.8154296875,21,STANDARD,0.0,31,0,306.82421875,1.0,18,R_A5,2018-01-01,306.82421875
17,1715.893310546875,21,STANDARD,0.0,31,0,306.9263916015625,1.0,19,R_A5,2018-01-01,306.9263916015625
18,1717.3006591796875,21,STANDARD,0.0,31,0,306.90264892578125,1.0,27,R_A5,2018-01-01,306.90264892578125
19,1719.56884765625,21,STANDARD,0.0,31,0,307.1176452636719,1.0,28,R_A5,2018-01-01,307.1176452636719
20,1721.837158203125,21,STANDARD,0.0,31,0,307.6383972167969,1.0,29,R_A5,2018-01-01,307.6383972167969
21,1724.1053466796875,21,STANDARD,0.0,31,0,307.8533630371094,1.0,30,R_A5,2018-01-01,307.8533630371094
22,1726.37353515625,21,STANDARD,0.0,31,0,308.068359375,1.0,31,R_A5,2018-01-01,308.068359375
1,1695.2213134765625,42,STANDARD,0.0,17,0,305.115966796875,1.0,1,R_A6,2018-01-01,305.115966796875
2,1696.766845703125,42,STANDARD,0.0,17,0,305.262451171875,1.0,2,R_A6,2018-01-01,305.262451171875
3,1698.3125,42,STANDARD,0.0,17,0,305.408935546875,1.0,3,R_A6,2018-01-01,305.408935546875
4,1699.858154296875,42,STANDARD,0.0,17,0,305.5553894042969,1.0,4,R_A6,2018-01-01,305.5553894042969
5,1701.40380859375,42,STANDARD,0.0,17,0,305.7018737792969,1.0,5,R_A6,2018-01-01,305.7018737792969
6,1702.9493408203125,42,STANDARD,0.0,17,0,305.8483581542969,1.0,6,R_A6,2018-01-01,305.8483581542969
7,1704.494873046875,42,STANDARD,0.0,17,0,305.6957702636719,1.0,7,R_A6,2018-01-01,305.6957702636719
8,1706.04052734375,42,STANDARD,0.0,17,0,305.8422546386719,1.0,8,R_A6,2018-01-01,305.8422546386719
