WELL,DEPTH,CONIPOS,PRESSURE,CONKPOS,CONIDX,SWAT,CONBPRES,DATE,DRAWDOWN,WELLMODEL,CONJPOS,SGAS
R_A2,1674.229736328125,22,302.89569091796875,18,19,0.9921049475669861,302.89569091796875,2018-01-01,0,STANDARD,29,0.0
R_A2,1675.235107421875,22,302.963134765625,19,20,1.0,302.963134765625,2018-01-01,0,STANDARD,29,0.0
R_A2,1676.1676025390625,22,303.02569580078125,27,21,0.4429566264152527,303.02569580078125,2018-01-01,0,STANDARD,29,0.0
R_A2,1677.9368896484375,22,303.47802734375,28,22,1.0,303.47802734375,2018-01-01,0,STANDARD,29,0.0
R_A2,1679.7061767578125,22,303.64569091796875,29,23,1.0,303.64569091796875,2018-01-01,0,STANDARD,29,0.0
R_A2,1681.4754638671875,22,303.8133544921875,30,24,1.0,303.8133544921875,2018-01-01,0,STANDARD,29,0.0
R_A2,1683.2447509765625,22,303.98101806640625,31,25,1.0,303.98101806640625,2018-01-01,0,STANDARD,29,0.0
R_A3,1609.243408203125,28,298.53814697265625,1,1,0.6481541991233826,298.53814697265625,2018-01-01,0,STANDARD,41,0.0
R_A3,1611.3077392578125,28,298.676513671875,2,2,0.1953458935022354,298.676513671875,2018-01-01,0,STANDARD,41,0.0
R_A3,1613.3720703125,28,298.8148498535156,3,3,0.19456657767295837,298.8148498535156,2018-01-01,0,STANDARD,41,0.0
R_A3,1615.4365234375,28,298.9532165527344,4,4,0.3696915805339813,298.9532165527344,2018-01-01,0,STANDARD,41,0.0
R_A3,1617.5008544921875,28,299.0915832519531,5,5,0.834352970123291,299.0915832519531,2018-01-01,0,STANDARD,41,0.0
R_A3,1619.565185546875,28,299.2299499511719,6,6,0.6481541991233826,299.2299499511719,2018-01-01,0,STANDARD,41,0.0
R_A3,1609.3663330078125,29,298.54638671875,6,7,0.6481541991233826,298.54638671875,2018-01-01,0,STANDARD,41,0.0
R_A3,1611.4163818359375,29,298.68377685546875,7,8,0.1984773725271225,298.68377685546875,2018-01-01,0,STANDARD,41,0.0
R_A3,1613.46630859375,29,298.8211669921875,8,9,0.1977151483297348,298.8211669921875,2018-01-01,0,STANDARD,41,0.0
R_A3,1615.516357421875,29,298.95855712890625,9,10,0.800819993019104,298.95855712890625,2018-01-01,0,STANDARD,41,0.0
R_A3,1617.5662841796875,29,299.095947265625,10,11,0.7992424964904785,299.095947265625,2018-01-01,0,STANDARD,41,0.0
R_A3,1619.750732421875,29,299.24237060546875,11,12,0.05049673467874527,299.24237060546875,2018-01-01,0,STANDARD,41,0.0
R_A3,1622.0697021484375,29,299.3978271484375,12,13,0.05441533401608467,299.3978271484375,2018-01-01,0,STANDARD,41,0.0
