CONIDX,CONJPOS,CONBPRES,DATE,CONIPOS,DRAWDOWN,SGAS,CONKPOS,PRESSURE,WELLMODEL,SWAT,DEPTH,WELL
17,41,299.9214782714844,2018-01-01,29,0,0.0,16,299.9214782714844,STANDARD,0.8236365914344788,1631.584716796875,R_A3
18,41,300.00115966796875,2018-01-01,29,0,0.0,17,300.00115966796875,STANDARD,0.797917902469635,1632.773193359375,R_A3
19,41,300.1321716308594,2018-01-01,29,0,0.0,26,300.1321716308594,STANDARD,0.20780111849308014,1634.7275390625,R_A3
20,41,300.3785095214844,2018-01-01,29,0,0.0,27,300.3785095214844,STANDARD,0.049238741397857666,1638.40185546875,R_A3
21,41,300.6248779296875,2018-01-01,29,0,0.0,28,300.6248779296875,STANDARD,0.05790155008435249,1642.0760498046875,R_A3
22,41,300.8712463378906,2018-01-01,29,0,0.0,29,300.8712463378906,STANDARD,0.17629341781139374,1645.750244140625,R_A3
23,41,301.1176452636719,2018-01-01,29,0,0.0,30,301.1176452636719,STANDARD,0.0709739401936531,1649.424560546875,R_A3
1,52,300.0829162597656,2018-01-01,30,0,0.0,1,300.0829162597656,STANDARD,0.16014991700649261,1633.99267578125,R_A4
2,52,299.5657043457031,2018-01-01,31,0,0.0,1,299.5657043457031,STANDARD,0.14916357398033142,1626.27783203125,R_A4
3,52,299.7049255371094,2018-01-01,31,0,0.0,2,299.7049255371094,STANDARD,0.24235926568508148,1628.3546142578125,R_A4
4,52,299.84417724609375,2018-01-01,31,0,0.0,3,299.84417724609375,STANDARD,0.11421959102153778,1630.4315185546875,R_A4
5,52,299.9833984375,2018-01-01,31,0,0.0,4,299.9833984375,STANDARD,0.056577712297439575,1632.5084228515625,R_A4
6,52,300.1226501464844,2018-01-01,31,0,0.0,5,300.1226501464844,STANDARD,0.061047766357660294,1634.585205078125,R_A4
7,52,299.8392333984375,2018-01-01,32,0,0.0,5,299.8392333984375,STANDARD,0.05642341077327728,1630.3580322265625,R_A4
8,52,299.9645690917969,2018-01-01,32,0,0.0,6,299.9645690917969,STANDARD,0.060224637389183044,1632.2275390625,R_A4
9,51,300.2011413574219,2018-01-01,32,0,0.0,6,300.2011413574219,STANDARD,0.0611373707652092,1635.7559814453125,R_A4
10,51,300.0769958496094,2018-01-01,32,0,0.0,5,300.0769958496094,STANDARD,0.05962930992245674,1633.904541015625,R_A4
11,51,300.1363525390625,2018-01-01,33,0,0.0,5,300.1363525390625,STANDARD,0.062413979321718216,1634.7900390625,R_A4
12,51,300.2611389160156,2018-01-01,33,0,0.0,6,300.2611389160156,STANDARD,0.1303689181804657,1636.6510009765625,R_A4
13,50,300.5620422363281,2018-01-01,33,0,0.0,6,300.5620422363281,STANDARD,0.06564929336309433,1641.138916015625,R_A4
14,50,300.52874755859375,2018-01-01,34,0,0.0,6,300.52874755859375,STANDARD,0.06616127490997314,1640.6422119140625,R_A4
15,50,300.40460205078125,2018-01-01,34,0,0.0,5,300.40460205078125,STANDARD,0.06599240005016327,1638.7908935546875,R_A4
16,50,300.5490417480469,2018-01-01,35,0,0.0,5,300.5490417480469,STANDARD,0.08617404848337173,1640.945068359375,R_A4
17,50,300.4330749511719,2018-01-01,35,0,0.0,4,300.4330749511719,STANDARD,0.24211065471172333,1639.21533203125,R_A4
18,50,300.31707763671875,2018-01-01,35,0,0.0,3,300.31707763671875,STANDARD,0.2351369708776474,1637.485595703125,R_A4
19,49,300.6569519042969,2018-01-01,35,0,0.0,3,300.6569519042969,STANDARD,0.24624836444854736,1642.554443359375,R_A4
20,49,300.5418395996094,2018-01-01,35,0,0.0,2,300.5418395996094,STANDARD,0.23845410346984863,1640.8377685546875,R_A4
21,49,300.72955322265625,2018-01-01,36,0,0.0,29,300.72955322265625,STANDARD,0.06490816175937653,1643.636962890625,R_A4
22,48,300.6873474121094,2018-01-01,36,0,0.0,29,300.6873474121094,STANDARD,0.06636127829551697,1643.0076904296875,R_A4
23,48,300.990478515625,2018-01-01,37,0,0.0,29,300.990478515625,STANDARD,0.0678236111998558,1647.5283203125,R_A4
