CONIDX,CONBPRES,CONKPOS,DATE,CONJPOS,CONIPOS,PRESSURE,DEPTH,SWAT,DRAWDOWN,WELL,SGAS,WELLMODEL
7,298.54638671875,6,2018-01-01,41,29,298.54638671875,1609.3663330078125,0.6481541991233826,0,R_A3,0.0,STANDARD
8,298.68377685546875,7,2018-01-01,41,29,298.68377685546875,1611.4163818359375,0.19839943945407867,0,R_A3,0.0,STANDARD
9,298.8211669921875,8,2018-01-01,41,29,298.8211669921875,1613.46630859375,0.20012404024600983,0,R_A3,0.0,STANDARD
10,298.95855712890625,9,2018-01-01,41,29,298.95855712890625,1615.516357421875,0.8029430508613586,0,R_A3,0.0,STANDARD
11,299.095947265625,10,2018-01-01,41,29,299.095947265625,1617.5662841796875,0.8017147183418274,0,R_A3,0.0,STANDARD
12,299.24237060546875,11,2018-01-01,41,29,299.24237060546875,1619.750732421875,0.047662775963544846,0,R_A3,0.0,STANDARD
13,299.3978271484375,12,2018-01-01,41,29,299.3978271484375,1622.0697021484375,0.05465734004974365,0,R_A3,0.0,STANDARD
14,299.5532531738281,13,2018-01-01,41,29,299.5532531738281,1624.388671875,0.36961451172828674,0,R_A3,0.0,STANDARD
15,299.8641662597656,15,2018-01-01,41,29,299.8641662597656,1629.026611328125,0.40267708897590637,0,R_A3,0.0,STANDARD
16,299.992919921875,16,2018-01-01,41,29,299.992919921875,1630.9468994140625,0.814231276512146,0,R_A3,0.0,STANDARD
17,300.16583251953125,27,2018-01-01,41,29,300.16583251953125,1633.5262451171875,0.6481541991233826,0,R_A3,0.0,STANDARD
18,300.40966796875,28,2018-01-01,41,29,300.40966796875,1637.1630859375,0.04657479748129845,0,R_A3,0.0,STANDARD
19,300.6535339355469,29,2018-01-01,41,29,300.6535339355469,1640.8001708984375,0.05444984510540962,0,R_A3,0.0,STANDARD
20,300.89739990234375,30,2018-01-01,41,29,300.89739990234375,1644.4371337890625,1.0,0,R_A3,0.0,STANDARD
21,301.14129638671875,31,2018-01-01,41,29,301.14129638671875,1648.0740966796875,0.06235086917877197,0,R_A3,0.0,STANDARD
1,300.009033203125,1,2018-01-01,52,30,300.009033203125,1631.1873779296875,0.04969937726855278,0,R_A4,0.0,STANDARD
2,299.7571105957031,1,2018-01-01,52,31,299.7571105957031,1627.4293212890625,0.04972411319613457,0,R_A4,0.0,STANDARD
3,299.89520263671875,2,2018-01-01,52,31,299.89520263671875,1629.4896240234375,0.05124127119779587,0,R_A4,0.0,STANDARD
4,300.0333251953125,3,2018-01-01,52,31,300.0333251953125,1631.5498046875,0.05373745784163475,0,R_A4,0.0,STANDARD
5,300.17144775390625,4,2018-01-01,52,31,300.17144775390625,1633.610107421875,0.05840654298663139,0,R_A4,0.0,STANDARD
6,300.0901184082031,4,2018-01-01,52,32,300.0901184082031,1632.3968505859375,0.05641423910856247,0,R_A4,0.0,STANDARD
7,300.3236999511719,4,2018-01-01,51,32,300.3236999511719,1635.880615234375,0.059060242027044296,0,R_A4,0.0,STANDARD
8,300.4202575683594,4,2018-01-01,51,33,300.4202575683594,1637.321044921875,0.0928310677409172,0,R_A4,0.0,STANDARD
9,300.29644775390625,3,2018-01-01,51,33,300.29644775390625,1635.474609375,0.1678450107574463,0,R_A4,0.0,STANDARD
10,300.74395751953125,4,2018-01-01,50,33,300.74395751953125,1642.1485595703125,0.18907098472118378,0,R_A4,0.0,STANDARD
11,300.67578125,4,2018-01-01,50,34,300.67578125,1641.132080078125,0.16031335294246674,0,R_A4,0.0,STANDARD
12,300.5467224121094,3,2018-01-01,50,34,300.5467224121094,1639.20703125,0.25342857837677,0,R_A4,0.0,STANDARD
13,300.66064453125,3,2018-01-01,50,35,300.66064453125,1640.9061279296875,0.16939347982406616,0,R_A4,0.0,STANDARD
14,300.53570556640625,2,2018-01-01,50,35,300.53570556640625,1639.0426025390625,0.23071172833442688,0,R_A4,0.0,STANDARD
15,300.72943115234375,2,2018-01-01,49,35,300.72943115234375,1641.93212890625,0.23815256357192993,0,R_A4,0.0,STANDARD
16,300.7579650878906,30,2018-01-01,49,36,300.7579650878906,1642.357421875,0.8387154340744019,0,R_A4,0.0,STANDARD
17,300.5735168457031,30,2018-01-01,48,36,300.5735168457031,1639.6068115234375,0.6481541991233826,0,R_A4,0.0,STANDARD
18,301.0526123046875,30,2018-01-01,48,37,301.0526123046875,1646.7513427734375,0.8328254222869873,0,R_A4,0.0,STANDARD
19,301.5025939941406,30,2018-01-01,48,38,301.5025939941406,1653.461669921875,0.6481541991233826,0,R_A4,0.0,STANDARD
20,301.7947998046875,30,2018-01-01,47,38,301.7947998046875,1657.8184814453125,0.8453923463821411,0,R_A4,0.0,STANDARD
1,303.8440856933594,1,2018-01-01,20,31,303.8440856933594,1685.026611328125,1.0,0,R_A5,0.0,STANDARD
2,304.0601806640625,2,2018-01-01,20,31,304.0601806640625,1687.3070068359375,1.0,0,R_A5,0.0,STANDARD
3,304.27630615234375,3,2018-01-01,20,31,304.27630615234375,1689.5875244140625,1.0,0,R_A5,0.0,STANDARD
4,304.4924011230469,4,2018-01-01,20,31,304.4924011230469,1691.8680419921875,1.0,0,R_A5,0.0,STANDARD
5,304.7085266113281,5,2018-01-01,20,31,304.7085266113281,1694.1485595703125,1.0,0,R_A5,0.0,STANDARD
6,304.9246520996094,6,2018-01-01,20,31,304.9246520996094,1696.4290771484375,1.0,0,R_A5,0.0,STANDARD
7,305.446533203125,7,2018-01-01,20,31,305.446533203125,1698.70947265625,1.0,0,R_A5,0.0,STANDARD
8,305.988037109375,11,2018-01-01,20,31,305.988037109375,1707.6488037109375,1.0,0,R_A5,0.0,STANDARD
9,306.1695251464844,12,2018-01-01,20,31,306.1695251464844,1709.5638427734375,1.0,0,R_A5,0.0,STANDARD
10,305.4322814941406,12,2018-01-01,21,31,305.4322814941406,1701.7845458984375,1.0,0,R_A5,0.0,STANDARD
11,305.6291198730469,13,2018-01-01,21,31,305.6291198730469,1703.735107421875,1.0,0,R_A5,0.0,STANDARD
12,305.81396484375,14,2018-01-01,21,31,305.81396484375,1705.6856689453125,1.0,0,R_A5,0.0,STANDARD
13,305.9988098144531,15,2018-01-01,21,31,305.9988098144531,1707.63623046875,1.0,0,R_A5,0.0,STANDARD
14,306.3287048339844,16,2018-01-01,21,31,306.3287048339844,1709.5867919921875,1.0,0,R_A5,0.0,STANDARD
15,306.5135498046875,17,2018-01-01,21,31,306.5135498046875,1711.537353515625,1.0,0,R_A5,0.0,STANDARD
16,306.6856994628906,18,2018-01-01,21,31,306.6856994628906,1713.35400390625,1.0,0,R_A5,0.0,STANDARD
17,306.7843933105469,19,2018-01-01,21,31,306.7843933105469,1714.3951416015625,1.0,0,R_A5,0.0,STANDARD
18,306.75689697265625,27,2018-01-01,21,31,306.75689697265625,1715.7628173828125,1.0,0,R_A5,0.0,STANDARD
19,306.978271484375,28,2018-01-01,21,31,306.978271484375,1718.098388671875,1.0,0,R_A5,0.0,STANDARD
20,307.5054016113281,29,2018-01-01,21,31,307.5054016113281,1720.43408203125,1.0,0,R_A5,0.0,STANDARD
21,307.7267761230469,30,2018-01-01,21,31,307.7267761230469,1722.7696533203125,1.0,0,R_A5,0.0,STANDARD
22,307.9481506347656,31,2018-01-01,21,31,307.9481506347656,1725.105224609375,1.0,0,R_A5,0.0,STANDARD
1,305.11419677734375,1,2018-01-01,42,17,305.11419677734375,1695.20263671875,1.0,0,R_A6,0.0,STANDARD
2,304.9618835449219,2,2018-01-01,42,17,304.9618835449219,1696.7510986328125,1.0,0,R_A6,0.0,STANDARD
3,305.4076843261719,3,2018-01-01,42,17,305.4076843261719,1698.299560546875,1.0,0,R_A6,0.0,STANDARD
4,305.554443359375,4,2018-01-01,42,17,305.554443359375,1699.84814453125,1.0,0,R_A6,0.0,STANDARD
5,305.7012023925781,5,2018-01-01,42,17,305.7012023925781,1701.3966064453125,1.0,0,R_A6,0.0,STANDARD
6,305.84796142578125,6,2018-01-01,42,17,305.84796142578125,1702.9451904296875,1.0,0,R_A6,0.0,STANDARD
7,305.6956481933594,7,2018-01-01,42,17,305.6956481933594,1704.49365234375,1.0,0,R_A6,0.0,STANDARD
8,305.8424072265625,8,2018-01-01,42,17,305.8424072265625,1706.042236328125,1.0,0,R_A6,0.0,STANDARD
9,306.2882080078125,9,2018-01-01,42,17,306.2882080078125,1707.5906982421875,1.0,0,R_A6,0.0,STANDARD
10,306.1291809082031,10,2018-01-01,42,17,306.1291809082031,1709.1392822265625,1.0,0,R_A6,0.0,STANDARD
11,306.3109130859375,11,2018-01-01,42,17,306.3109130859375,1711.055419921875,1.0,0,R_A6,0.0,STANDARD
12,306.52734375,12,2018-01-01,42,17,306.52734375,1713.3392333984375,1.0,0,R_A6,0.0,STANDARD
13,306.7557678222656,13,2018-01-01,42,17,306.7557678222656,1715.623046875,1.0,0,R_A6,0.0,STANDARD
14,306.9721984863281,14,2018-01-01,42,17,306.9721984863281,1717.9068603515625,1.0,0,R_A6,0.0,STANDARD
15,307.18865966796875,15,2018-01-01,42,17,307.18865966796875,1720.190673828125,1.0,0,R_A6,0.0,STANDARD
16,307.55010986328125,16,2018-01-01,42,17,307.55010986328125,1722.474365234375,1.0,0,R_A6,0.0,STANDARD
17,307.7665710449219,17,2018-01-01,42,17,307.7665710449219,1724.7581787109375,1.0,0,R_A6,0.0,STANDARD
18,307.921630859375,18,2018-01-01,42,17,307.921630859375,1726.394287109375,1.0,0,R_A6,0.0,STANDARD
19,307.8930969238281,27,2018-01-01,42,17,307.8930969238281,1727.7508544921875,1.0,0,R_A6,0.0,STANDARD
20,308.3623352050781,28,2018-01-01,42,17,308.3623352050781,1729.4755859375,1.0,0,R_A6,0.0,STANDARD
21,308.52581787109375,29,2018-01-01,42,17,308.52581787109375,1731.2001953125,1.0,0,R_A6,0.0,STANDARD
22,308.68927001953125,30,2018-01-01,42,17,308.68927001953125,1732.9249267578125,1.0,0,R_A6,0.0,STANDARD
23,308.5469665527344,31,2018-01-01,42,17,308.5469665527344,1734.649658203125,1.0,0,R_A6,0.0,STANDARD
1,299.1686706542969,1,2018-03-01,30,22,299.1686706542969,1641.094970703125,0.057649169117212296,0,R_A2,0.0,STANDARD
2,299.2889709472656,2,2018-03-01,30,22,299.2889709472656,1642.8890380859375,0.05855662375688553,0,R_A2,0.0,STANDARD
3,299.40924072265625,3,2018-03-01,30,22,299.40924072265625,1644.68310546875,0.06120621785521507,0,R_A2,0.0,STANDARD
4,299.5295104980469,4,2018-03-01,30,22,299.5295104980469,1646.4771728515625,0.06638860702514648,0,R_A2,0.0,STANDARD
5,299.6497802734375,5,2018-03-01,30,22,299.6497802734375,1648.2713623046875,0.06881996244192123,0,R_A2,0.0,STANDARD
6,299.7852478027344,6,2018-03-01,30,22,299.7852478027344,1650.0654296875,0.31200337409973145,0,R_A2,0.0,STANDARD
7,299.9076232910156,7,2018-03-01,30,22,299.9076232910156,1651.859619140625,0.8978081345558167,0,R_A2,0.0,STANDARD
8,300.030029296875,8,2018-03-01,30,22,300.030029296875,1653.6536865234375,0.8618130683898926,0,R_A2,0.0,STANDARD
9,300.18017578125,9,2018-03-01,30,22,300.18017578125,1655.44775390625,0.9104863405227661,0,R_A2,0.0,STANDARD
10,300.3334045410156,10,2018-03-01,30,22,300.3334045410156,1657.2418212890625,0.9083552956581116,0,R_A2,0.0,STANDARD
11,300.24493408203125,11,2018-03-01,30,22,300.24493408203125,1659.1368408203125,0.07610692083835602,0,R_A2,0.0,STANDARD
12,300.371337890625,12,2018-03-01,30,22,300.371337890625,1661.132568359375,0.07944858819246292,0,R_A2,0.0,STANDARD
13,300.52569580078125,13,2018-03-01,30,22,300.52569580078125,1663.12841796875,0.44911450147628784,0,R_A2,0.0,STANDARD
14,300.6612243652344,14,2018-03-01,30,22,300.6612243652344,1665.1241455078125,0.5072733163833618,0,R_A2,0.0,STANDARD
15,300.79815673828125,15,2018-03-01,30,22,300.79815673828125,1667.1199951171875,0.6860462427139282,0,R_A2,0.0,STANDARD
16,300.9323425292969,16,2018-03-01,30,22,300.9323425292969,1669.11572265625,0.9714546203613281,0,R_A2,0.0,STANDARD
17,301.066650390625,17,2018-03-01,30,22,301.066650390625,1671.111572265625,0.9485107064247131,0,R_A2,0.0,STANDARD
18,301.19268798828125,18,2018-03-01,30,22,301.19268798828125,1672.9881591796875,0.9796218872070312,0,R_A2,0.0,STANDARD
19,301.2194519042969,18,2018-03-01,29,22,301.2194519042969,1674.229736328125,0.9940502047538757,0,R_A2,0.0,STANDARD
20,300.7196960449219,27,2018-03-01,29,22,300.7196960449219,1676.1676025390625,0.6483129262924194,0,R_A2,0.0,STANDARD
21,303.4565734863281,28,2018-03-01,29,22,303.4565734863281,1677.9368896484375,1.0,0,R_A2,-7.624152875598377e-15,STANDARD
22,303.6214599609375,29,2018-03-01,29,22,303.6214599609375,1679.7061767578125,1.0,0,R_A2,-1.7130367855491368e-15,STANDARD
23,303.7909240722656,30,2018-03-01,29,22,303.7909240722656,1681.4754638671875,1.0,0,R_A2,-1.008530790076647e-15,STANDARD
24,303.9664306640625,31,2018-03-01,29,22,303.9664306640625,1683.2447509765625,1.0,0,R_A2,-6.498293172780653e-17,STANDARD
1,284.51715087890625,1,2018-04-28,20,31,284.51715087890625,1685.026611328125,1.0,0,R_A5,-6.339719547943101e-12,STANDARD
2,284.73309326171875,2,2018-04-28,20,31,284.73309326171875,1687.3070068359375,1.0,0,R_A5,-5.844684545369683e-12,STANDARD
3,284.94903564453125,3,2018-04-28,20,31,284.94903564453125,1689.5875244140625,1.0,0,R_A5,-5.54149217832367e-12,STANDARD
4,285.1650390625,4,2018-04-28,20,31,285.1650390625,1691.8680419921875,1.0,0,R_A5,-6.16487633511853e-12,STANDARD
5,285.3810119628906,5,2018-04-28,20,31,285.3810119628906,1694.1485595703125,1.0,0,R_A5,-6.0058798212470066e-12,STANDARD
6,285.5969543457031,6,2018-04-28,20,31,285.5969543457031,1696.4290771484375,1.0,0,R_A5,-5.735922153915496e-12,STANDARD
7,286.1509094238281,7,2018-04-28,20,31,286.1509094238281,1698.70947265625,1.0,0,R_A5,-2.6230122132479827e-13,STANDARD
8,279.80462646484375,11,2018-04-28,20,31,279.80462646484375,1707.6488037109375,1.0,0,R_A5,-4.0778377202732585e-11,STANDARD
9,279.9807434082031,12,2018-04-28,20,31,279.9807434082031,1709.5638427734375,1.0,0,R_A5,-3.573191395545017e-11,STANDARD
10,278.48211669921875,12,2018-04-28,21,31,278.48211669921875,1701.7845458984375,1.0,0,R_A5,-2.820359501498615e-10,STANDARD
11,278.67840576171875,13,2018-04-28,21,31,278.67840576171875,1703.735107421875,1.0,0,R_A5,-1.0327062122117425e-11,STANDARD
12,278.8631896972656,14,2018-04-28,21,31,278.8631896972656,1705.6856689453125,1.0,0,R_A5,-5.7034776207443016e-11,STANDARD
13,279.0536804199219,15,2018-04-28,21,31,279.0536804199219,1707.63623046875,1.0,0,R_A5,-2.419312319923428e-11,STANDARD
14,279.3993835449219,16,2018-04-28,21,31,279.3993835449219,1709.5867919921875,1.0,0,R_A5,-1.6906316624432094e-11,STANDARD
15,279.60992431640625,17,2018-04-28,21,31,279.60992431640625,1711.537353515625,1.0,0,R_A5,-4.445897643090557e-12,STANDARD
16,279.8070983886719,18,2018-04-28,21,31,279.8070983886719,1713.35400390625,1.0,0,R_A5,-7.868775075969836e-12,STANDARD
17,279.916015625,19,2018-04-28,21,31,279.916015625,1714.3951416015625,1.0,0,R_A5,0.0,STANDARD
18,279.91943359375,27,2018-04-28,21,31,279.91943359375,1715.7628173828125,1.0,0,R_A5,-7.951348320002147e-14,STANDARD
19,280.1401672363281,28,2018-04-28,21,31,280.1401672363281,1718.098388671875,1.0,0,R_A5,-1.505946517661727e-13,STANDARD
20,285.26043701171875,29,2018-04-28,21,31,285.26043701171875,1720.43408203125,1.0,0,R_A5,-1.0839093634733577e-20,STANDARD
21,280.7078552246094,30,2018-04-28,21,31,280.7078552246094,1722.7696533203125,1.0,0,R_A5,-8.299995536077289e-20,STANDARD
22,291.96728515625,31,2018-04-28,21,31,291.96728515625,1725.105224609375,1.0,0,R_A5,-7.614418550870536e-20,STANDARD
1,281.5224914550781,1,2018-07-03,41,28,281.5224914550781,1609.243408203125,0.6492322087287903,0,R_A3,0.0,STANDARD
2,281.6563415527344,2,2018-07-03,41,28,281.6563415527344,1611.3077392578125,0.19832642376422882,0,R_A3,0.0,STANDARD
3,281.7940979003906,3,2018-07-03,41,28,281.7940979003906,1613.3720703125,0.19397906959056854,0,R_A3,0.0,STANDARD
4,281.93182373046875,4,2018-07-03,41,28,281.93182373046875,1615.4365234375,0.25587204098701477,0,R_A3,0.0,STANDARD
5,282.0764465332031,5,2018-07-03,41,28,282.0764465332031,1617.5008544921875,0.8273769617080688,0,R_A3,0.0,STANDARD
6,282.1451416015625,6,2018-07-03,41,28,282.1451416015625,1619.565185546875,0.6505059003829956,0,R_A3,0.0,STANDARD
7,281.45135498046875,6,2018-07-03,41,29,281.45135498046875,1609.3663330078125,0.650946855545044,0,R_A3,0.0,STANDARD
8,281.5964660644531,7,2018-07-03,41,29,281.5964660644531,1611.4163818359375,0.19930711388587952,0,R_A3,0.0,STANDARD
9,281.7332763671875,8,2018-07-03,41,29,281.7332763671875,1613.46630859375,0.20164722204208374,0,R_A3,0.0,STANDARD
10,281.93975830078125,9,2018-07-03,41,29,281.93975830078125,1615.516357421875,0.8019724488258362,0,R_A3,0.0,STANDARD
11,283.04840087890625,10,2018-07-03,41,29,283.04840087890625,1617.5662841796875,0.8007623553276062,0,R_A3,0.0,STANDARD
12,288.3564453125,11,2018-07-03,41,29,288.3564453125,1619.750732421875,0.047732166945934296,0,R_A3,0.0,STANDARD
13,288.511474609375,12,2018-07-03,41,29,288.511474609375,1622.0697021484375,0.0547308474779129,0,R_A3,0.0,STANDARD
14,288.6668701171875,13,2018-07-03,41,29,288.6668701171875,1624.388671875,0.36996597051620483,0,R_A3,0.0,STANDARD
15,288.1311950683594,15,2018-07-03,41,29,288.1311950683594,1629.026611328125,0.4028666913509369,0,R_A3,0.0,STANDARD
16,288.2364501953125,16,2018-07-03,41,29,288.2364501953125,1630.9468994140625,0.8066898584365845,0,R_A3,0.0,STANDARD
17,287.53466796875,27,2018-07-03,41,29,287.53466796875,1633.5262451171875,0.653515100479126,0,R_A3,0.0,STANDARD
18,287.711181640625,28,2018-07-03,41,29,287.711181640625,1637.1630859375,0.046807583421468735,0,R_A3,0.0,STANDARD
19,287.9542236328125,29,2018-07-03,41,29,287.9542236328125,1640.8001708984375,0.05470279976725578,0,R_A3,0.0,STANDARD
20,290.5810852050781,30,2018-07-03,41,29,290.5810852050781,1644.4371337890625,1.0,0,R_A3,-2.183661508992768e-13,STANDARD
21,288.5092468261719,31,2018-07-03,41,29,288.5092468261719,1648.0740966796875,0.06262680143117905,0,R_A3,0.0,STANDARD
1,282.7279968261719,1,2018-09-12,52,30,282.7279968261719,1631.1873779296875,0.049781132489442825,0,R_A4,0.0,STANDARD
2,282.472900390625,1,2018-09-12,52,31,282.472900390625,1627.4293212890625,0.049817949533462524,0,R_A4,0.0,STANDARD
3,282.61041259765625,2,2018-09-12,52,31,282.61041259765625,1629.4896240234375,0.051337990909814835,0,R_A4,0.0,STANDARD
4,282.7479553222656,3,2018-09-12,52,31,282.7479553222656,1631.5498046875,0.05382953956723213,0,R_A4,0.0,STANDARD
5,282.885498046875,4,2018-09-12,52,31,282.885498046875,1633.610107421875,0.05847913399338722,0,R_A4,0.0,STANDARD
6,282.7884826660156,4,2018-09-12,52,32,282.7884826660156,1632.3968505859375,0.056489069014787674,0,R_A4,0.0,STANDARD
7,282.9727783203125,4,2018-09-12,51,32,282.9727783203125,1635.880615234375,0.05913092941045761,0,R_A4,0.0,STANDARD
8,282.91802978515625,4,2018-09-12,51,33,282.91802978515625,1637.321044921875,0.09305009245872498,0,R_A4,0.0,STANDARD
9,282.7955627441406,3,2018-09-12,51,33,282.7955627441406,1635.474609375,0.16820396482944489,0,R_A4,0.0,STANDARD
10,282.4383239746094,4,2018-09-12,50,33,282.4383239746094,1642.1485595703125,0.19260409474372864,0,R_A4,0.0,STANDARD
11,282.372802734375,4,2018-09-12,50,34,282.372802734375,1641.132080078125,0.1611124724149704,0,R_A4,0.0,STANDARD
12,282.243408203125,3,2018-09-12,50,34,282.243408203125,1639.20703125,0.25446364283561707,0,R_A4,0.0,STANDARD
13,282.5072326660156,3,2018-09-12,50,35,282.5072326660156,1640.9061279296875,0.16991303861141205,0,R_A4,0.0,STANDARD
14,282.38397216796875,2,2018-09-12,50,35,282.38397216796875,1639.0426025390625,0.23127365112304688,0,R_A4,0.0,STANDARD
15,282.2262878417969,2,2018-09-12,49,35,282.2262878417969,1641.93212890625,0.23854391276836395,0,R_A4,0.0,STANDARD
16,285.8898620605469,30,2018-09-12,49,36,285.8898620605469,1642.357421875,0.8379806876182556,0,R_A4,0.0,STANDARD
17,279.38909912109375,30,2018-09-12,48,36,279.38909912109375,1639.6068115234375,0.6549469828605652,0,R_A4,0.0,STANDARD
18,282.32208251953125,30,2018-09-12,48,37,282.32208251953125,1646.7513427734375,0.8318368196487427,0,R_A4,0.0,STANDARD
19,281.1550598144531,30,2018-09-12,48,38,281.1550598144531,1653.461669921875,0.6820665001869202,0,R_A4,0.0,STANDARD
20,282.5991516113281,30,2018-09-12,47,38,282.5991516113281,1657.8184814453125,0.8443930149078369,0,R_A4,0.0,STANDARD
1,266.8595886230469,1,2018-11-07,42,17,266.8595886230469,1695.20263671875,1.0,0,R_A6,-9.71547755440616e-12,STANDARD
2,266.71209716796875,2,2018-11-07,42,17,266.71209716796875,1696.7510986328125,1.0,0,R_A6,-2.416992474219004e-11,STANDARD
3,267.1057434082031,3,2018-11-07,42,17,267.1057434082031,1698.299560546875,1.0,0,R_A6,-3.9761187398124065e-11,STANDARD
4,267.2625732421875,4,2018-11-07,42,17,267.2625732421875,1699.84814453125,1.0,0,R_A6,-3.160381841210008e-13,STANDARD
5,267.41796875,5,2018-11-07,42,17,267.41796875,1701.3966064453125,1.0,0,R_A6,-3.3666176942580284e-13,STANDARD
6,267.5677795410156,6,2018-11-07,42,17,267.5677795410156,1702.9451904296875,1.0,0,R_A6,-1.3419210187493036e-11,STANDARD
7,267.4122009277344,7,2018-11-07,42,17,267.4122009277344,1704.49365234375,1.0,0,R_A6,-2.0567929304160515e-11,STANDARD
8,267.515625,8,2018-11-07,42,17,267.515625,1706.042236328125,1.0,0,R_A6,-4.166684792333841e-12,STANDARD
9,267.86236572265625,9,2018-11-07,42,17,267.86236572265625,1707.5906982421875,1.0,0,R_A6,-5.007807319865054e-13,STANDARD
10,267.5199890136719,10,2018-11-07,42,17,267.5199890136719,1709.1392822265625,1.0,0,R_A6,-3.7974817734820476e-11,STANDARD
11,282.7044372558594,11,2018-11-07,42,17,282.7044372558594,1711.055419921875,1.0,0,R_A6,0.0,STANDARD
12,282.920654296875,12,2018-11-07,42,17,282.920654296875,1713.3392333984375,1.0,0,R_A6,0.0,STANDARD
13,283.1488037109375,13,2018-11-07,42,17,283.1488037109375,1715.623046875,1.0,0,R_A6,0.0,STANDARD
14,283.3648681640625,14,2018-11-07,42,17,283.3648681640625,1717.9068603515625,1.0,0,R_A6,0.0,STANDARD
15,283.5790100097656,15,2018-11-07,42,17,283.5790100097656,1720.190673828125,1.0,0,R_A6,0.0,STANDARD
16,283.9337463378906,16,2018-11-07,42,17,283.9337463378906,1722.474365234375,1.0,0,R_A6,0.0,STANDARD
17,284.1424865722656,17,2018-11-07,42,17,284.1424865722656,1724.7581787109375,1.0,0,R_A6,0.0,STANDARD
18,284.29339599609375,18,2018-11-07,42,17,284.29339599609375,1726.394287109375,1.0,0,R_A6,0.0,STANDARD
