CONIDX,CONKPOS,WELLMODEL,CONIPOS,WELL,SWAT,PRESSURE,SGAS,DATE,CONJPOS,DEPTH,CONBPRES,DRAWDOWN
8,7,STANDARD,29,R_A3,0.19839943945407867,298.68377685546875,0.0,2018-01-01,41,1611.4163818359375,298.68377685546875,0
9,8,STANDARD,29,R_A3,0.20012404024600983,298.8211669921875,0.0,2018-01-01,41,1613.46630859375,298.8211669921875,0
10,9,STANDARD,29,R_A3,0.8029430508613586,298.95855712890625,0.0,2018-01-01,41,1615.516357421875,298.95855712890625,0
11,10,STANDARD,29,R_A3,0.8017147183418274,299.095947265625,0.0,2018-01-01,41,1617.5662841796875,299.095947265625,0
12,11,STANDARD,29,R_A3,0.047662775963544846,299.24237060546875,0.0,2018-01-01,41,1619.750732421875,299.24237060546875,0
13,12,STANDARD,29,R_A3,0.05465734004974365,299.3978271484375,0.0,2018-01-01,41,1622.0697021484375,299.3978271484375,0
14,13,STANDARD,29,R_A3,0.36961451172828674,299.5532531738281,0.0,2018-01-01,41,1624.388671875,299.5532531738281,0
15,15,STANDARD,29,R_A3,0.40267708897590637,299.8641662597656,0.0,2018-01-01,41,1629.026611328125,299.8641662597656,0
16,16,STANDARD,29,R_A3,0.814231276512146,299.992919921875,0.0,2018-01-01,41,1630.9468994140625,299.992919921875,0
17,27,STANDARD,29,R_A3,0.6481541991233826,300.16583251953125,0.0,2018-01-01,41,1633.5262451171875,300.16583251953125,0
18,28,STANDARD,29,R_A3,0.04657479748129845,300.40966796875,0.0,2018-01-01,41,1637.1630859375,300.40966796875,0
19,29,STANDARD,29,R_A3,0.05444984510540962,300.6535339355469,0.0,2018-01-01,41,1640.8001708984375,300.6535339355469,0
20,30,STANDARD,29,R_A3,1.0,300.89739990234375,0.0,2018-01-01,41,1644.4371337890625,300.89739990234375,0
21,31,STANDARD,29,R_A3,0.06235086917877197,301.14129638671875,0.0,2018-01-01,41,1648.0740966796875,301.14129638671875,0
1,1,STANDARD,30,R_A4,0.04969937726855278,300.009033203125,0.0,2018-01-01,52,1631.1873779296875,300.009033203125,0
2,1,STANDARD,31,R_A4,0.04972411319613457,299.7571105957031,0.0,2018-01-01,52,1627.4293212890625,299.7571105957031,0
3,2,STANDARD,31,R_A4,0.05124127119779587,299.89520263671875,0.0,2018-01-01,52,1629.4896240234375,299.89520263671875,0
4,3,STANDARD,31,R_A4,0.05373745784163475,300.0333251953125,0.0,2018-01-01,52,1631.5498046875,300.0333251953125,0
5,4,STANDARD,31,R_A4,0.05840654298663139,300.17144775390625,0.0,2018-01-01,52,1633.610107421875,300.17144775390625,0
6,4,STANDARD,32,R_A4,0.05641423910856247,300.0901184082031,0.0,2018-01-01,52,1632.3968505859375,300.0901184082031,0
