DATE,SWAT,CONIPOS,WELLMODEL,CONKPOS,CONIDX,PRESSURE,CONBPRES,CONJPOS,SGAS,DEPTH,WELL,DRAWDOWN
2018-01-01,0.06178809329867363,29,STANDARD,32,21,301.0712585449219,301.0712585449219,41,0.0,1646.877197265625,R_A3,0
2018-01-01,0.05052810162305832,30,STANDARD,1,1,299.7169189453125,299.7169189453125,52,0.0,1626.6773681640625,R_A4,0
2018-01-01,0.04792052507400513,31,STANDARD,1,2,299.5250244140625,299.5250244140625,52,0.0,1623.81494140625,R_A4,0
2018-01-01,0.0488806888461113,31,STANDARD,2,3,299.6709899902344,299.6709899902344,52,0.0,1625.9921875,R_A4,0
2018-01-01,0.04949484393000603,31,STANDARD,3,4,299.81695556640625,299.81695556640625,52,0.0,1628.16943359375,R_A4,0
2018-01-01,0.053366292268037796,31,STANDARD,4,5,299.9629211425781,299.9629211425781,52,0.0,1630.3468017578125,R_A4,0
2018-01-01,0.05503123626112938,31,STANDARD,5,6,300.10888671875,300.10888671875,52,0.0,1632.5240478515625,R_A4,0
2018-01-01,0.05605747178196907,31,STANDARD,6,7,300.2548522949219,300.2548522949219,52,0.0,1634.7012939453125,R_A4,0
2018-01-01,0.054423242807388306,32,STANDARD,6,8,300.0911865234375,300.0911865234375,52,0.0,1632.26025390625,R_A4,0
2018-01-01,0.05583268404006958,32,STANDARD,6,9,300.2423095703125,300.2423095703125,51,0.0,1634.514404296875,R_A4,0
2018-01-01,0.05536271631717682,32,STANDARD,5,10,300.12109375,300.12109375,51,0.0,1632.7064208984375,R_A4,0
2018-01-01,0.06136937811970711,33,STANDARD,5,11,300.453125,300.453125,51,0.0,1637.658447265625,R_A4,0
2018-01-01,0.058092594146728516,33,STANDARD,4,12,300.3344421386719,300.3344421386719,51,0.0,1635.888427734375,R_A4,0
2018-01-01,0.057693060487508774,33,STANDARD,3,13,300.21575927734375,300.21575927734375,51,0.0,1634.1185302734375,R_A4,0
2018-01-01,0.05829637870192528,33,STANDARD,3,14,300.43682861328125,300.43682861328125,50,0.0,1637.4156494140625,R_A4,0
2018-01-01,0.08156917989253998,34,STANDARD,3,15,300.5845947265625,300.5845947265625,50,0.0,1639.619384765625,R_A4,0
2018-01-01,0.19719871878623962,35,STANDARD,3,16,300.66796875,300.66796875,50,0.0,1640.86279296875,R_A4,0
