CONJPOS,CONIPOS,CONBPRES,SGAS,CONIDX,CONKPOS,PRESSURE,DRAWDOWN,DEPTH,SWAT,DATE,WELLMODEL,WELL
29,22,303.2528381347656,0.0,19,18,303.2528381347656,0,1677.67724609375,0.9843560457229614,2018-01-01,STANDARD,R_A2
29,22,303.36846923828125,0.0,20,25,303.36846923828125,0,1679.4005126953125,1.0,2018-01-01,STANDARD,R_A2
29,22,303.4811706542969,0.0,21,26,303.4811706542969,0,1681.080078125,1.0,2018-01-01,STANDARD,R_A2
29,22,303.93505859375,0.0,22,27,303.93505859375,0,1682.759765625,1.0,2018-01-01,STANDARD,R_A2
29,22,304.09423828125,0.0,23,28,304.09423828125,0,1684.439453125,1.0,2018-01-01,STANDARD,R_A2
29,22,304.2533874511719,0.0,24,29,304.2533874511719,0,1686.1190185546875,1.0,2018-01-01,STANDARD,R_A2
41,28,298.7675476074219,0.0,1,1,298.7675476074219,0,1610.7904052734375,0.6481541991233826,2018-01-01,STANDARD,R_A3
41,28,298.90625,0.0,2,2,298.90625,0,1612.859619140625,0.1931067258119583,2018-01-01,STANDARD,R_A3
41,28,299.044921875,0.0,3,3,299.044921875,0,1614.9288330078125,0.11835829168558121,2018-01-01,STANDARD,R_A3
41,29,298.1093444824219,0.0,4,3,298.1093444824219,0,1600.968505859375,0.18148714303970337,2018-01-01,STANDARD,R_A3
41,29,298.2578430175781,0.0,5,4,298.2578430175781,0,1603.1846923828125,0.22051802277565002,2018-01-01,STANDARD,R_A3
41,29,298.4063720703125,0.0,6,5,298.4063720703125,0,1605.40087890625,0.6481541991233826,2018-01-01,STANDARD,R_A3
41,29,298.55487060546875,0.0,7,6,298.55487060546875,0,1607.616943359375,0.6481541991233826,2018-01-01,STANDARD,R_A3
41,29,298.7033996582031,0.0,8,7,298.7033996582031,0,1609.8331298828125,0.19186942279338837,2018-01-01,STANDARD,R_A3
41,29,298.8519287109375,0.0,9,8,298.8519287109375,0,1612.0491943359375,0.17259590327739716,2018-01-01,STANDARD,R_A3
41,29,299.0004577636719,0.0,10,9,299.0004577636719,0,1614.265380859375,0.7905246615409851,2018-01-01,STANDARD,R_A3
41,29,299.14898681640625,0.0,11,10,299.14898681640625,0,1616.4815673828125,0.7950291037559509,2018-01-01,STANDARD,R_A3
41,29,299.3000793457031,0.0,12,11,299.3000793457031,0,1618.7354736328125,0.046936795115470886,2018-01-01,STANDARD,R_A3
41,29,299.45367431640625,0.0,13,12,299.45367431640625,0,1621.027099609375,0.05099205672740936,2018-01-01,STANDARD,R_A3
41,29,299.6072998046875,0.0,14,13,299.6072998046875,0,1623.31884765625,0.36077794432640076,2018-01-01,STANDARD,R_A3
41,29,299.76092529296875,0.0,15,14,299.76092529296875,0,1625.6103515625,0.36992767453193665,2018-01-01,STANDARD,R_A3
41,29,299.91455078125,0.0,16,15,299.91455078125,0,1627.902099609375,0.3508557975292206,2018-01-01,STANDARD,R_A3
41,29,300.0597839355469,0.0,17,16,300.0597839355469,0,1630.068115234375,0.7961063981056213,2018-01-01,STANDARD,R_A3
41,29,300.1407165527344,0.0,18,17,300.1407165527344,0,1631.275634765625,0.7749683856964111,2018-01-01,STANDARD,R_A3
41,29,300.2820739746094,0.0,19,25,300.2820739746094,0,1633.384033203125,0.3877955973148346,2018-01-01,STANDARD,R_A3
41,29,300.5397033691406,0.0,20,26,300.5397033691406,0,1637.2264404296875,0.04624410346150398,2018-01-01,STANDARD,R_A3
41,29,300.79736328125,0.0,21,27,300.79736328125,0,1641.0689697265625,0.049249954521656036,2018-01-01,STANDARD,R_A3
41,29,301.0550231933594,0.0,22,28,301.0550231933594,0,1644.9114990234375,0.13286744058132172,2018-01-01,STANDARD,R_A3
41,29,301.31268310546875,0.0,23,29,301.31268310546875,0,1648.75390625,0.06085359305143356,2018-01-01,STANDARD,R_A3
52,30,300.2038879394531,0.0,1,1,300.2038879394531,0,1632.2177734375,0.050786469131708145,2018-01-01,STANDARD,R_A4
52,31,299.8721618652344,0.0,2,1,299.8721618652344,0,1627.269775390625,0.0488094799220562,2018-01-01,STANDARD,R_A4
52,31,300.00408935546875,0.0,3,2,300.00408935546875,0,1629.237548828125,0.04960959777235985,2018-01-01,STANDARD,R_A4
52,31,300.1360168457031,0.0,4,3,300.1360168457031,0,1631.205322265625,0.05104915425181389,2018-01-01,STANDARD,R_A4
52,31,300.2679443359375,0.0,5,4,300.2679443359375,0,1633.173095703125,0.051998551934957504,2018-01-01,STANDARD,R_A4
52,32,300.09747314453125,0.0,6,4,300.09747314453125,0,1630.630615234375,0.05162696912884712,2018-01-01,STANDARD,R_A4
52,32,300.2196350097656,0.0,7,5,300.2196350097656,0,1632.452880859375,0.05280066654086113,2018-01-01,STANDARD,R_A4
51,32,300.48663330078125,0.0,8,5,300.48663330078125,0,1636.4349365234375,0.12297949194908142,2018-01-01,STANDARD,R_A4
51,33,300.48565673828125,0.0,9,5,300.48565673828125,0,1636.4205322265625,0.202153280377388,2018-01-01,STANDARD,R_A4
50,33,300.9137268066406,0.0,10,5,300.9137268066406,0,1642.8046875,0.234415203332901,2018-01-01,STANDARD,R_A4
50,34,300.8203125,0.0,11,5,300.8203125,0,1641.41162109375,0.061323076486587524,2018-01-01,STANDARD,R_A4
50,34,300.69683837890625,0.0,12,4,300.69683837890625,0,1639.570068359375,0.0592559278011322,2018-01-01,STANDARD,R_A4
50,35,300.7776184082031,0.0,13,4,300.7776184082031,0,1640.7745361328125,0.06137600168585777,2018-01-01,STANDARD,R_A4
50,35,300.6565246582031,0.0,14,3,300.6565246582031,0,1638.96875,0.1576039344072342,2018-01-01,STANDARD,R_A4
49,35,300.8490905761719,0.0,15,3,300.8490905761719,0,1641.84033203125,0.20782867074012756,2018-01-01,STANDARD,R_A4
49,36,300.9511413574219,0.0,16,28,300.9511413574219,0,1643.3621826171875,0.3224067986011505,2018-01-01,STANDARD,R_A4
48,36,300.881103515625,0.0,17,28,300.881103515625,0,1642.31787109375,0.10488571226596832,2018-01-01,STANDARD,R_A4
48,37,301.3963317871094,0.0,18,28,301.3963317871094,0,1650.0008544921875,0.7012351751327515,2018-01-01,STANDARD,R_A4
48,37,301.0117492675781,0.0,19,27,301.0117492675781,0,1644.266357421875,0.23398377001285553,2018-01-01,STANDARD,R_A4
48,38,301.2572021484375,0.0,20,27,301.2572021484375,0,1647.9263916015625,0.05821358785033226,2018-01-01,STANDARD,R_A4
47,38,301.7632141113281,0.0,21,27,301.7632141113281,0,1655.471435546875,0.06447652727365494,2018-01-01,STANDARD,R_A4
20,31,303.7235107421875,0.0,1,1,303.7235107421875,0,1683.7542724609375,1.0,2018-01-01,STANDARD,R_A5
20,31,303.91009521484375,0.0,2,2,303.91009521484375,0,1685.72314453125,1.0,2018-01-01,STANDARD,R_A5
20,31,304.0966796875,0.0,3,3,304.0966796875,0,1687.692138671875,1.0,2018-01-01,STANDARD,R_A5
20,31,304.28326416015625,0.0,4,4,304.28326416015625,0,1689.6610107421875,1.0,2018-01-01,STANDARD,R_A5
20,31,304.4698486328125,0.0,5,5,304.4698486328125,0,1691.6300048828125,1.0,2018-01-01,STANDARD,R_A5
20,31,304.65643310546875,0.0,6,6,304.65643310546875,0,1693.598876953125,1.0,2018-01-01,STANDARD,R_A5
20,31,305.1488037109375,0.0,7,7,305.1488037109375,0,1695.56787109375,1.0,2018-01-01,STANDARD,R_A5
20,31,305.3354187011719,0.0,8,8,305.3354187011719,0,1697.5367431640625,1.0,2018-01-01,STANDARD,R_A5
21,31,305.18927001953125,0.0,9,8,305.18927001953125,0,1695.99462890625,1.0,2018-01-01,STANDARD,R_A5
21,31,305.4068298339844,0.0,10,9,305.4068298339844,0,1698.29052734375,1.0,2018-01-01,STANDARD,R_A5
21,31,305.5218200683594,0.0,11,11,305.5218200683594,0,1702.729248046875,1.0,2018-01-01,STANDARD,R_A5
21,31,305.71038818359375,0.0,12,12,305.71038818359375,0,1704.718994140625,1.0,2018-01-01,STANDARD,R_A5
21,31,305.9109191894531,0.0,13,13,305.9109191894531,0,1706.7086181640625,1.0,2018-01-01,STANDARD,R_A5
21,31,306.0994873046875,0.0,14,14,306.0994873046875,0,1708.6983642578125,1.0,2018-01-01,STANDARD,R_A5
21,31,306.2880554199219,0.0,15,15,306.2880554199219,0,1710.6881103515625,1.0,2018-01-01,STANDARD,R_A5
21,31,306.62164306640625,0.0,16,16,306.62164306640625,0,1712.6778564453125,1.0,2018-01-01,STANDARD,R_A5
21,31,306.7947082519531,0.0,17,17,306.7947082519531,0,1714.504150390625,1.0,2018-01-01,STANDARD,R_A5
21,31,306.9013977050781,0.0,18,18,306.9013977050781,0,1715.629638671875,1.0,2018-01-01,STANDARD,R_A5
21,31,306.94012451171875,0.0,19,19,306.94012451171875,0,1716.0382080078125,1.0,2018-01-01,STANDARD,R_A5
21,31,306.8922424316406,0.0,20,25,306.8922424316406,0,1717.190673828125,1.0,2018-01-01,STANDARD,R_A5
21,31,307.0890197753906,0.0,21,26,307.0890197753906,0,1719.266845703125,1.0,2018-01-01,STANDARD,R_A5
21,31,307.5915832519531,0.0,22,27,307.5915832519531,0,1721.3431396484375,1.0,2018-01-01,STANDARD,R_A5
21,31,307.7883605957031,0.0,23,28,307.7883605957031,0,1723.4193115234375,1.0,2018-01-01,STANDARD,R_A5
21,31,307.9851379394531,0.0,24,29,307.9851379394531,0,1725.49560546875,1.0,2018-01-01,STANDARD,R_A5
42,17,304.7639465332031,0.0,1,1,304.7639465332031,0,1694.7335205078125,1.0,2018-01-01,STANDARD,R_A6
42,17,305.21563720703125,0.0,2,2,305.21563720703125,0,1696.2730712890625,1.0,2018-01-01,STANDARD,R_A6
42,17,305.3615417480469,0.0,3,3,305.3615417480469,0,1697.8125,1.0,2018-01-01,STANDARD,R_A6
42,17,305.5074462890625,0.0,4,4,305.5074462890625,0,1699.35205078125,1.0,2018-01-01,STANDARD,R_A6
42,17,305.6533203125,0.0,5,5,305.6533203125,0,1700.8914794921875,1.0,2018-01-01,STANDARD,R_A6
42,17,305.7992248535156,0.0,6,6,305.7992248535156,0,1702.4310302734375,1.0,2018-01-01,STANDARD,R_A6
42,17,305.64605712890625,0.0,7,7,305.64605712890625,0,1703.970458984375,1.0,2018-01-01,STANDARD,R_A6
42,17,305.7919616699219,0.0,8,8,305.7919616699219,0,1705.510009765625,1.0,2018-01-01,STANDARD,R_A6
42,17,306.2369079589844,0.0,9,9,306.2369079589844,0,1707.0494384765625,1.0,2018-01-01,STANDARD,R_A6
42,17,306.0770263671875,0.0,10,10,306.0770263671875,0,1708.5889892578125,1.0,2018-01-01,STANDARD,R_A6
42,17,306.2554626464844,0.0,11,11,306.2554626464844,0,1710.4705810546875,1.0,2018-01-01,STANDARD,R_A6
42,17,306.4662170410156,0.0,12,12,306.4662170410156,0,1712.6942138671875,1.0,2018-01-01,STANDARD,R_A6
42,17,306.6889343261719,0.0,13,13,306.6889343261719,0,1714.91796875,1.0,2018-01-01,STANDARD,R_A6
42,17,306.8996887207031,0.0,14,14,306.8996887207031,0,1717.1417236328125,1.0,2018-01-01,STANDARD,R_A6
42,17,307.1104431152344,0.0,15,15,307.1104431152344,0,1719.3653564453125,1.0,2018-01-01,STANDARD,R_A6
42,17,307.4661865234375,0.0,16,16,307.4661865234375,0,1721.5889892578125,1.0,2018-01-01,STANDARD,R_A6
42,17,307.67694091796875,0.0,17,17,307.67694091796875,0,1723.812744140625,1.0,2018-01-01,STANDARD,R_A6
42,17,307.8438415527344,0.0,18,18,307.8438415527344,0,1725.57373046875,1.0,2018-01-01,STANDARD,R_A6
42,17,307.8294677734375,0.0,19,25,307.8294677734375,0,1727.0794677734375,1.0,2018-01-01,STANDARD,R_A6
42,17,308.297607421875,0.0,20,26,308.297607421875,0,1728.7926025390625,1.0,2018-01-01,STANDARD,R_A6
42,17,308.4599914550781,0.0,21,27,308.4599914550781,0,1730.5057373046875,1.0,2018-01-01,STANDARD,R_A6
42,17,308.62237548828125,0.0,22,28,308.62237548828125,0,1732.218994140625,1.0,2018-01-01,STANDARD,R_A6
42,17,308.47894287109375,0.0,23,29,308.47894287109375,0,1733.9320068359375,1.0,2018-01-01,STANDARD,R_A6
30,22,299.2292175292969,0.0,1,1,299.2292175292969,0,1640.8585205078125,0.054691851139068604,2018-03-01,STANDARD,R_A2
