SGAS,SWAT,CONJPOS,DEPTH,CONBPRES,CONIPOS,DRAWDOWN,PRESSURE,CONIDX,CONKPOS,DATE,WELLMODEL,WELL
0.0,0.07927626371383667,50,1638.5360107421875,300.6167297363281,35,0,300.6167297363281,15,4,2018-01-01,STANDARD,R_A4
0.0,0.0903380811214447,50,1636.753173828125,300.4971923828125,35,0,300.4971923828125,16,3,2018-01-01,STANDARD,R_A4
0.0,0.07936099171638489,49,1643.0404052734375,300.91876220703125,35,0,300.91876220703125,17,3,2018-01-01,STANDARD,R_A4
0.0,0.2715795934200287,49,1641.5926513671875,300.8216857910156,36,0,300.8216857910156,18,29,2018-01-01,STANDARD,R_A4
0.0,0.05475984886288643,48,1642.724365234375,300.8975830078125,36,0,300.8975830078125,19,29,2018-01-01,STANDARD,R_A4
0.0,0.32670411467552185,48,1647.40966796875,301.2117614746094,37,0,301.2117614746094,20,29,2018-01-01,STANDARD,R_A4
0.0,0.1747988611459732,48,1648.972412109375,301.3165588378906,38,0,301.3165588378906,21,29,2018-01-01,STANDARD,R_A4
0.0,0.6481541991233826,47,1657.1959228515625,301.86810302734375,38,0,301.86810302734375,22,29,2018-01-01,STANDARD,R_A4
0.0,1.0,20,1685.672607421875,303.9053039550781,31,0,303.9053039550781,1,1,2018-01-01,STANDARD,R_A5
0.0,1.0,20,1687.9691162109375,304.1229248046875,31,0,304.1229248046875,2,2,2018-01-01,STANDARD,R_A5
0.0,1.0,20,1690.265625,304.3405456542969,31,0,304.3405456542969,3,3,2018-01-01,STANDARD,R_A5
0.0,1.0,20,1692.5621337890625,304.5581970214844,31,0,304.5581970214844,4,4,2018-01-01,STANDARD,R_A5
0.0,1.0,20,1694.858642578125,304.77581787109375,31,0,304.77581787109375,5,5,2018-01-01,STANDARD,R_A5
0.0,1.0,20,1697.155029296875,304.9934387207031,31,0,304.9934387207031,6,6,2018-01-01,STANDARD,R_A5
0.0,1.0,20,1699.4515380859375,305.5168762207031,31,0,305.5168762207031,7,7,2018-01-01,STANDARD,R_A5
0.0,1.0,20,1701.748046875,305.7344970703125,31,0,305.7344970703125,8,8,2018-01-01,STANDARD,R_A5
0.0,1.0,21,1700.419189453125,305.3028869628906,31,0,305.3028869628906,9,11,2018-01-01,STANDARD,R_A5
0.0,1.0,21,1702.4111328125,305.4916687011719,31,0,305.4916687011719,10,12,2018-01-01,STANDARD,R_A5
0.0,1.0,21,1704.403076171875,305.6924133300781,31,0,305.6924133300781,11,13,2018-01-01,STANDARD,R_A5
0.0,1.0,21,1706.39501953125,305.8811950683594,31,0,305.8811950683594,12,14,2018-01-01,STANDARD,R_A5
0.0,1.0,21,1708.3870849609375,306.0699768066406,31,0,306.0699768066406,13,15,2018-01-01,STANDARD,R_A5
0.0,1.0,21,1710.3790283203125,306.4037780761719,31,0,306.4037780761719,14,16,2018-01-01,STANDARD,R_A5
0.0,1.0,21,1712.3585205078125,306.59136962890625,31,0,306.59136962890625,15,17,2018-01-01,STANDARD,R_A5
0.0,1.0,21,1713.898193359375,306.7373046875,31,0,306.7373046875,16,18,2018-01-01,STANDARD,R_A5
0.0,1.0,21,1714.62841796875,306.8064880371094,31,0,306.8064880371094,17,19,2018-01-01,STANDARD,R_A5
0.0,1.0,21,1715.9569091796875,306.7752990722656,31,0,306.7752990722656,18,26,2018-01-01,STANDARD,R_A5
0.0,1.0,21,1718.265869140625,306.994140625,31,0,306.994140625,19,27,2018-01-01,STANDARD,R_A5
