CONBPRES,CONIPOS,WELLMODEL,DEPTH,CONJPOS,SWAT,DATE,PRESSURE,SGAS,DRAWDOWN,CONKPOS,CONIDX,WELL
298.7784729003906,29,STANDARD,1610.8460693359375,41,0.7985808849334717,2018-01-01,298.7784729003906,0.0,0,5,5,R_A3
298.90826416015625,29,STANDARD,1612.78271484375,41,0.6481541991233826,2018-01-01,298.90826416015625,0.0,0,6,6,R_A3
299.0380554199219,29,STANDARD,1614.71923828125,41,0.195696622133255,2018-01-01,299.0380554199219,0.0,0,7,7,R_A3
299.1678466796875,29,STANDARD,1616.65576171875,41,0.29801034927368164,2018-01-01,299.1678466796875,0.0,0,8,8,R_A3
299.29766845703125,29,STANDARD,1618.59228515625,41,0.7992417812347412,2018-01-01,299.29766845703125,0.0,0,9,9,R_A3
299.4274597167969,29,STANDARD,1620.5289306640625,41,0.7967422008514404,2018-01-01,299.4274597167969,0.0,0,10,10,R_A3
299.5694885253906,29,STANDARD,1622.6473388671875,41,0.04814969375729561,2018-01-01,299.5694885253906,0.0,0,11,11,R_A3
299.72369384765625,29,STANDARD,1624.94775390625,41,0.05392618104815483,2018-01-01,299.72369384765625,0.0,0,12,12,R_A3
299.8778991699219,29,STANDARD,1627.248046875,41,0.37277624011039734,2018-01-01,299.8778991699219,0.0,0,13,13,R_A3
300.0321044921875,29,STANDARD,1629.54833984375,41,0.35583969950675964,2018-01-01,300.0321044921875,0.0,0,14,14,R_A3
300.1857604980469,29,STANDARD,1631.8402099609375,41,0.7882912158966064,2018-01-01,300.1857604980469,0.0,0,15,15,R_A3
300.2847900390625,29,STANDARD,1633.317138671875,41,0.7843603491783142,2018-01-01,300.2847900390625,0.0,0,16,16,R_A3
300.4185485839844,29,STANDARD,1635.312255859375,41,0.3682332932949066,2018-01-01,300.4185485839844,0.0,0,27,17,R_A3
300.6411437988281,29,STANDARD,1638.632080078125,41,0.04398045316338539,2018-01-01,300.6411437988281,0.0,0,28,18,R_A3
300.8637390136719,29,STANDARD,1641.951904296875,41,0.048257868736982346,2018-01-01,300.8637390136719,0.0,0,29,19,R_A3
301.08636474609375,29,STANDARD,1645.271728515625,41,0.6872362494468689,2018-01-01,301.08636474609375,0.0,0,30,20,R_A3
301.3089904785156,29,STANDARD,1648.591552734375,41,0.058787405490875244,2018-01-01,301.3089904785156,0.0,0,31,21,R_A3
299.98870849609375,30,STANDARD,1628.9010009765625,52,0.0501040518283844,2018-01-01,299.98870849609375,0.0,0,1,1,R_A4
299.7872619628906,31,STANDARD,1625.896240234375,52,0.04647872596979141,2018-01-01,299.7872619628906,0.0,0,1,2,R_A4
299.9277648925781,31,STANDARD,1627.99169921875,52,0.04899700731039047,2018-01-01,299.9277648925781,0.0,0,2,3,R_A4
300.0682373046875,31,STANDARD,1630.0872802734375,52,0.049918826669454575,2018-01-01,300.0682373046875,0.0,0,3,4,R_A4
300.208740234375,31,STANDARD,1632.1827392578125,52,0.052128925919532776,2018-01-01,300.208740234375,0.0,0,4,5,R_A4
300.3492126464844,31,STANDARD,1634.2783203125,52,0.05438245087862015,2018-01-01,300.3492126464844,0.0,0,5,6,R_A4
300.2342834472656,32,STANDARD,1632.5640869140625,52,0.053091470152139664,2018-01-01,300.2342834472656,0.0,0,5,7,R_A4
300.4200134277344,32,STANDARD,1635.3341064453125,51,0.05593721941113472,2018-01-01,300.4200134277344,0.0,0,5,8,R_A4
300.45648193359375,33,STANDARD,1635.8779296875,51,0.05551117658615112,2018-01-01,300.45648193359375,0.0,0,5,9,R_A4
300.58428955078125,33,STANDARD,1637.7843017578125,51,0.06108226627111435,2018-01-01,300.58428955078125,0.0,0,6,10,R_A4
300.9165954589844,33,STANDARD,1642.7401123046875,50,0.06329513341188431,2018-01-01,300.9165954589844,0.0,0,6,11,R_A4
300.78790283203125,34,STANDARD,1640.8206787109375,50,0.06139044463634491,2018-01-01,300.78790283203125,0.0,0,6,12,R_A4
300.6614074707031,34,STANDARD,1638.9345703125,50,0.09929580241441727,2018-01-01,300.6614074707031,0.0,0,5,13,R_A4
300.6575927734375,35,STANDARD,1638.8773193359375,50,0.14037807285785675,2018-01-01,300.6575927734375,0.0,0,5,14,R_A4
300.5376281738281,35,STANDARD,1637.0882568359375,50,0.22061672806739807,2018-01-01,300.5376281738281,0.0,0,4,15,R_A4
300.9756164550781,35,STANDARD,1643.6202392578125,49,0.2319297194480896,2018-01-01,300.9756164550781,0.0,0,4,16,R_A4
300.859619140625,35,STANDARD,1641.890380859375,49,0.23423461616039276,2018-01-01,300.859619140625,0.0,0,3,17,R_A4
300.92877197265625,36,STANDARD,1642.9215087890625,49,0.30915072560310364,2018-01-01,300.92877197265625,0.0,0,30,18,R_A4
301.066162109375,36,STANDARD,1644.970458984375,48,0.6481541991233826,2018-01-01,301.066162109375,0.0,0,30,19,R_A4
301.34161376953125,37,STANDARD,1649.0777587890625,48,0.845702588558197,2018-01-01,301.34161376953125,0.0,0,30,20,R_A4
301.36029052734375,38,STANDARD,1649.3563232421875,48,1.0,2018-01-01,301.36029052734375,0.0,0,30,21,R_A4
302.2416076660156,38,STANDARD,1662.4964599609375,47,1.0,2018-01-01,302.2416076660156,0.0,0,30,22,R_A4
303.93560791015625,31,STANDARD,1685.9923095703125,20,1.0,2018-01-01,303.93560791015625,0.0,0,1,1,R_A5
304.150634765625,31,STANDARD,1688.2615966796875,20,1.0,2018-01-01,304.150634765625,0.0,0,2,2,R_A5
304.3656921386719,31,STANDARD,1690.53076171875,20,1.0,2018-01-01,304.3656921386719,0.0,0,3,3,R_A5
304.5807189941406,31,STANDARD,1692.800048828125,20,1.0,2018-01-01,304.5807189941406,0.0,0,4,4,R_A5
304.7957763671875,31,STANDARD,1695.0692138671875,20,1.0,2018-01-01,304.7957763671875,0.0,0,5,5,R_A5
305.0108337402344,31,STANDARD,1697.33837890625,20,1.0,2018-01-01,305.0108337402344,0.0,0,6,6,R_A5
305.5316467285156,31,STANDARD,1699.607666015625,20,1.0,2018-01-01,305.5316467285156,0.0,0,7,7,R_A5
305.7467041015625,31,STANDARD,1701.876953125,20,1.0,2018-01-01,305.7467041015625,0.0,0,8,8,R_A5
305.2050476074219,31,STANDARD,1699.386474609375,21,1.0,2018-01-01,305.2050476074219,0.0,0,11,9,R_A5
305.4004821777344,31,STANDARD,1701.448974609375,21,1.0,2018-01-01,305.4004821777344,0.0,0,12,10,R_A5
305.60791015625,31,STANDARD,1703.511474609375,21,1.0,2018-01-01,305.60791015625,0.0,0,13,11,R_A5
305.8033752441406,31,STANDARD,1705.573974609375,21,1.0,2018-01-01,305.8033752441406,0.0,0,14,12,R_A5
305.99884033203125,31,STANDARD,1707.636474609375,21,1.0,2018-01-01,305.99884033203125,0.0,0,15,13,R_A5
306.3393249511719,31,STANDARD,1709.698974609375,21,1.0,2018-01-01,306.3393249511719,0.0,0,16,14,R_A5
306.5347900390625,31,STANDARD,1711.761474609375,21,1.0,2018-01-01,306.5347900390625,0.0,0,17,15,R_A5
306.6821594238281,31,STANDARD,1713.31640625,21,1.0,2018-01-01,306.6821594238281,0.0,0,18,16,R_A5
306.756103515625,31,STANDARD,1714.0966796875,21,1.0,2018-01-01,306.756103515625,0.0,0,19,17,R_A5
307.05419921875,31,STANDARD,1715.6732177734375,21,1.0,2018-01-01,307.05419921875,0.0,0,27,18,R_A5
306.9671936035156,31,STANDARD,1717.9815673828125,21,1.0,2018-01-01,306.9671936035156,0.0,0,28,19,R_A5
307.49176025390625,31,STANDARD,1720.2900390625,21,1.0,2018-01-01,307.49176025390625,0.0,0,29,20,R_A5
307.7105407714844,31,STANDARD,1722.598388671875,21,1.0,2018-01-01,307.7105407714844,0.0,0,30,21,R_A5
307.9293212890625,31,STANDARD,1724.90673828125,21,1.0,2018-01-01,307.9293212890625,0.0,0,31,22,R_A5
304.9753723144531,17,STANDARD,1693.7376708984375,42,1.0,2018-01-01,304.9753723144531,0.0,0,1,1,R_A6
305.1202392578125,17,STANDARD,1695.2664794921875,42,1.0,2018-01-01,305.1202392578125,0.0,0,2,2,R_A6
305.26513671875,17,STANDARD,1696.795166015625,42,1.0,2018-01-01,305.26513671875,0.0,0,3,3,R_A6
305.4100036621094,17,STANDARD,1698.323974609375,42,1.0,2018-01-01,305.4100036621094,0.0,0,4,4,R_A6
