SGAS,DEPTH,CONIDX,CONJPOS,CONBPRES,CONKPOS,PRESSURE,WELL,CONIPOS,WELLMODEL,DATE,SWAT,DRAWDOWN
0.0,1625.9442138671875,13,41,299.7879943847656,13,299.7879943847656,R_A3,29,STANDARD,2018-01-01,0.3756972551345825,0
0.0,1630.6064453125,14,41,300.1005554199219,15,300.1005554199219,R_A3,29,STANDARD,2018-01-01,0.4964814782142639,0
0.0,1632.2708740234375,15,41,300.212158203125,16,300.212158203125,R_A3,29,STANDARD,2018-01-01,0.8018056154251099,0
0.0,1634.52685546875,16,41,300.3634033203125,26,300.3634033203125,R_A3,29,STANDARD,2018-01-01,0.6481541991233826,0
0.0,1638.040771484375,17,41,300.5989990234375,27,300.5989990234375,R_A3,29,STANDARD,2018-01-01,0.043973714113235474,0
0.0,1641.5546875,18,41,300.8346252441406,28,300.8346252441406,R_A3,29,STANDARD,2018-01-01,0.048780910670757294,0
0.0,1645.068603515625,19,41,301.07025146484375,29,301.07025146484375,R_A3,29,STANDARD,2018-01-01,0.6481541991233826,0
0.0,1648.58251953125,20,41,301.305908203125,30,301.305908203125,R_A3,29,STANDARD,2018-01-01,0.09612883627414703,0
0.0,1629.1361083984375,1,52,300.0019836425781,1,300.0019836425781,R_A4,30,STANDARD,2018-01-01,0.04726915434002876,0
0.0,1625.052734375,2,52,299.7282409667969,1,299.7282409667969,R_A4,31,STANDARD,2018-01-01,0.047897838056087494,0
0.0,1627.118896484375,3,52,299.8667297363281,2,299.8667297363281,R_A4,31,STANDARD,2018-01-01,0.048195045441389084,0
0.0,1629.1849365234375,4,52,300.0052490234375,3,300.0052490234375,R_A4,31,STANDARD,2018-01-01,0.04980846494436264,0
0.0,1631.2509765625,5,52,300.1437683105469,4,300.1437683105469,R_A4,31,STANDARD,2018-01-01,0.05152803286910057,0
0.0,1633.3170166015625,6,52,300.28228759765625,5,300.28228759765625,R_A4,31,STANDARD,2018-01-01,0.05239197984337807,0
0.0,1635.383056640625,7,52,300.4208068847656,6,300.4208068847656,R_A4,31,STANDARD,2018-01-01,0.0531250461935997,0
0.0,1633.18310546875,8,52,300.2733154296875,6,300.2733154296875,R_A4,32,STANDARD,2018-01-01,0.053297530859708786,0
0.0,1635.075927734375,9,52,300.40020751953125,7,300.40020751953125,R_A4,32,STANDARD,2018-01-01,0.05321459844708443,0
0.0,1636.8577880859375,10,51,300.5196838378906,7,300.5196838378906,R_A4,32,STANDARD,2018-01-01,0.05361669138073921,0
0.0,1635.060302734375,11,51,300.399169921875,6,300.399169921875,R_A4,32,STANDARD,2018-01-01,0.05396563559770584,0
0.0,1637.8470458984375,12,51,300.58599853515625,6,300.58599853515625,R_A4,33,STANDARD,2018-01-01,0.05731108412146568,0
0.0,1636.033203125,13,51,300.4643859863281,5,300.4643859863281,R_A4,33,STANDARD,2018-01-01,0.05632512643933296,0
0.0,1641.353759765625,14,50,300.8211669921875,5,300.8211669921875,R_A4,33,STANDARD,2018-01-01,0.06269899010658264,0
0.0,1640.548583984375,15,50,300.76715087890625,5,300.76715087890625,R_A4,34,STANDARD,2018-01-01,0.06183258816599846,0
0.0,1638.615234375,16,50,300.63751220703125,4,300.63751220703125,R_A4,34,STANDARD,2018-01-01,0.11510474979877472,0
0.0,1639.319580078125,17,50,300.68475341796875,4,300.68475341796875,R_A4,35,STANDARD,2018-01-01,0.11035892367362976,0
0.0,1642.122314453125,18,49,300.8726806640625,4,300.8726806640625,R_A4,35,STANDARD,2018-01-01,0.22769857943058014,0
0.0,1641.6114501953125,19,49,300.83843994140625,29,300.83843994140625,R_A4,36,STANDARD,2018-01-01,0.1644710749387741,0
0.0,1639.7425537109375,20,48,300.7131042480469,29,300.7131042480469,R_A4,36,STANDARD,2018-01-01,0.2660175859928131,0
0.0,1646.312744140625,21,48,301.1536865234375,29,301.1536865234375,R_A4,37,STANDARD,2018-01-01,0.7011631727218628,0
0.0,1649.6309814453125,22,48,301.376220703125,29,301.376220703125,R_A4,38,STANDARD,2018-01-01,0.6481541991233826,0
0.0,1654.59130859375,23,47,301.7088928222656,29,301.7088928222656,R_A4,38,STANDARD,2018-01-01,0.6481541991233826,0
0.0,1684.4393310546875,1,20,303.7884521484375,1,303.7884521484375,R_A5,31,STANDARD,2018-01-01,1.0,0
0.0,1686.60546875,2,20,303.99371337890625,2,303.99371337890625,R_A5,31,STANDARD,2018-01-01,1.0,0
0.0,1688.771728515625,3,20,304.198974609375,3,304.198974609375,R_A5,31,STANDARD,2018-01-01,1.0,0
0.0,1690.9378662109375,4,20,304.4042663574219,4,304.4042663574219,R_A5,31,STANDARD,2018-01-01,1.0,0
