CONKPOS,DEPTH,DRAWDOWN,CONIDX,WELLMODEL,CONIPOS,PRESSURE,WELL,CONJPOS,SWAT,CONBPRES,SGAS,DATE
29,1684.5908203125,0,23,STANDARD,22,304.10858154296875,R_A2,30,1.0,304.10858154296875,0.0,2018-01-01
1,1610.923828125,0,1,STANDARD,28,298.54461669921875,R_A3,41,0.6481541991233826,298.54461669921875,0.0,2018-01-01
2,1613.0533447265625,0,2,STANDARD,28,298.6873474121094,R_A3,41,0.20249806344509125,298.6873474121094,0.0,2018-01-01
3,1615.182861328125,0,3,STANDARD,28,298.830078125,R_A3,41,0.20150549709796906,298.830078125,0.0,2018-01-01
4,1617.3123779296875,0,4,STANDARD,28,298.9727783203125,R_A3,41,0.3866221606731415,298.9727783203125,0.0,2018-01-01
5,1619.44189453125,0,5,STANDARD,28,299.1155090332031,R_A3,41,0.8406651020050049,299.1155090332031,0.0,2018-01-01
6,1621.5714111328125,0,6,STANDARD,28,299.2582702636719,R_A3,41,0.6481541991233826,299.2582702636719,0.0,2018-01-01
6,1608.297607421875,0,7,STANDARD,29,298.3686218261719,R_A3,41,0.6481541991233826,298.3686218261719,0.0,2018-01-01
7,1610.35546875,0,8,STANDARD,29,298.50653076171875,R_A3,41,0.20028528571128845,298.50653076171875,0.0,2018-01-01
8,1612.413330078125,0,9,STANDARD,29,298.64447021484375,R_A3,41,0.20391523838043213,298.64447021484375,0.0,2018-01-01
9,1614.4713134765625,0,10,STANDARD,29,298.7823791503906,R_A3,41,0.8016066551208496,298.7823791503906,0.0,2018-01-01
10,1616.529296875,0,11,STANDARD,29,298.9203186035156,R_A3,41,0.7989451289176941,298.9203186035156,0.0,2018-01-01
11,1618.7333984375,0,12,STANDARD,29,299.06805419921875,R_A3,41,0.0488259494304657,299.06805419921875,0.0,2018-01-01
12,1621.0838623046875,0,13,STANDARD,29,299.2255859375,R_A3,41,0.05704452097415924,299.2255859375,0.0,2018-01-01
13,1623.434326171875,0,14,STANDARD,29,299.38311767578125,R_A3,41,0.37657561898231506,299.38311767578125,0.0,2018-01-01
14,1625.78466796875,0,15,STANDARD,29,299.5406799316406,R_A3,41,0.38391658663749695,299.5406799316406,0.0,2018-01-01
15,1628.1168212890625,0,16,STANDARD,29,299.697021484375,R_A3,41,0.4928770959377289,299.697021484375,0.0,2018-01-01
16,1630.0447998046875,0,17,STANDARD,29,299.8262634277344,R_A3,41,0.8175032734870911,299.8262634277344,0.0,2018-01-01
25,1632.806884765625,0,18,STANDARD,29,300.01141357421875,R_A3,41,1.0,300.01141357421875,0.0,2018-01-01
26,1636.4844970703125,0,19,STANDARD,29,300.25799560546875,R_A3,41,0.07261623442173004,300.25799560546875,0.0,2018-01-01
27,1640.1622314453125,0,20,STANDARD,29,300.50457763671875,R_A3,41,0.053038790822029114,300.50457763671875,0.0,2018-01-01
28,1643.8399658203125,0,21,STANDARD,29,300.75115966796875,R_A3,41,0.2190018892288208,300.75115966796875,0.0,2018-01-01
29,1647.517578125,0,22,STANDARD,29,300.9977722167969,R_A3,41,0.0648888349533081,300.9977722167969,0.0,2018-01-01
1,1630.3870849609375,0,1,STANDARD,30,299.8492126464844,R_A4,52,0.32165563106536865,299.8492126464844,0.0,2018-01-01
1,1628.24365234375,0,2,STANDARD,31,299.70550537109375,R_A4,52,0.6481541991233826,299.70550537109375,0.0,2018-01-01
2,1630.3292236328125,0,3,STANDARD,31,299.8453369140625,R_A4,52,0.6481541991233826,299.8453369140625,0.0,2018-01-01
3,1632.414794921875,0,4,STANDARD,31,299.9851379394531,R_A4,52,0.21464994549751282,299.9851379394531,0.0,2018-01-01
3,1631.7275390625,0,5,STANDARD,32,299.9390563964844,R_A4,52,0.07802356779575348,299.9390563964844,0.0,2018-01-01
4,1633.6185302734375,0,6,STANDARD,32,300.06585693359375,R_A4,52,0.21359987556934357,300.06585693359375,0.0,2018-01-01
4,1636.3818359375,0,7,STANDARD,32,300.2510986328125,R_A4,51,0.6502661108970642,300.2510986328125,0.0,2018-01-01
3,1634.501708984375,0,8,STANDARD,32,300.12506103515625,R_A4,51,0.16885115206241608,300.12506103515625,0.0,2018-01-01
3,1637.2257080078125,0,9,STANDARD,33,300.30767822265625,R_A4,51,0.21712656319141388,300.30767822265625,0.0,2018-01-01
2,1635.3369140625,0,10,STANDARD,33,300.1810607910156,R_A4,51,0.1667208969593048,300.1810607910156,0.0,2018-01-01
3,1639.484619140625,0,11,STANDARD,33,300.4591369628906,R_A4,50,0.06582692265510559,300.4591369628906,0.0,2018-01-01
3,1640.2034912109375,0,12,STANDARD,34,300.5073547363281,R_A4,50,0.11287150532007217,300.5073547363281,0.0,2018-01-01
2,1638.2265625,0,13,STANDARD,34,300.3747863769531,R_A4,50,0.6481541991233826,300.3747863769531,0.0,2018-01-01
3,1645.2650146484375,0,14,STANDARD,35,300.84674072265625,R_A4,50,0.11394291371107101,300.84674072265625,0.0,2018-01-01
2,1643.3348388671875,0,15,STANDARD,35,300.71728515625,R_A4,50,0.6481541991233826,300.71728515625,0.0,2018-01-01
1,1641.404541015625,0,16,STANDARD,35,300.5878601074219,R_A4,50,0.3372434079647064,300.5878601074219,0.0,2018-01-01
1,1642.8125,0,17,STANDARD,35,300.6822814941406,R_A4,49,0.22422072291374207,300.6822814941406,0.0,2018-01-01
28,1646.5025634765625,0,18,STANDARD,36,300.9297180175781,R_A4,49,0.09289555251598358,300.9297180175781,0.0,2018-01-01
28,1637.87255859375,0,19,STANDARD,36,300.35107421875,R_A4,48,0.12449486553668976,300.35107421875,0.0,2018-01-01
28,1646.5244140625,0,20,STANDARD,37,300.9311828613281,R_A4,48,0.6481541991233826,300.9311828613281,0.0,2018-01-01
28,1653.7076416015625,0,21,STANDARD,38,301.41290283203125,R_A4,48,0.6481541991233826,301.41290283203125,0.0,2018-01-01
28,1654.827880859375,0,22,STANDARD,38,301.4880065917969,R_A4,47,0.6983292102813721,301.4880065917969,0.0,2018-01-01
1,1683.4053955078125,0,1,STANDARD,31,303.69720458984375,R_A5,20,1.0,303.69720458984375,0.0,2018-01-01
2,1685.845458984375,0,2,STANDARD,31,304.22747802734375,R_A5,20,1.0,304.22747802734375,0.0,2018-01-01
3,1688.28564453125,0,3,STANDARD,31,304.1529235839844,R_A5,20,1.0,304.1529235839844,0.0,2018-01-01
4,1690.7257080078125,0,4,STANDARD,31,304.3841552734375,R_A5,20,1.0,304.3841552734375,0.0,2018-01-01
5,1693.165771484375,0,5,STANDARD,31,304.6153869628906,R_A5,20,1.0,304.6153869628906,0.0,2018-01-01
6,1695.60595703125,0,6,STANDARD,31,304.84661865234375,R_A5,20,1.0,304.84661865234375,0.0,2018-01-01
7,1698.0460205078125,0,7,STANDARD,31,305.3836669921875,R_A5,20,1.0,305.3836669921875,0.0,2018-01-01
11,1707.505126953125,0,8,STANDARD,31,305.97442626953125,R_A5,20,1.0,305.97442626953125,0.0,2018-01-01
12,1709.3427734375,0,9,STANDARD,31,306.1485900878906,R_A5,20,1.0,306.1485900878906,0.0,2018-01-01
12,1702.7412109375,0,10,STANDARD,31,305.52294921875,R_A5,21,1.0,305.52294921875,0.0,2018-01-01
13,1704.743408203125,0,11,STANDARD,31,305.72467041015625,R_A5,21,1.0,305.72467041015625,0.0,2018-01-01
14,1706.74560546875,0,12,STANDARD,31,305.9144287109375,R_A5,21,1.0,305.9144287109375,0.0,2018-01-01
15,1708.7479248046875,0,13,STANDARD,31,306.10418701171875,R_A5,21,1.0,306.10418701171875,0.0,2018-01-01
16,1710.7501220703125,0,14,STANDARD,31,306.4389343261719,R_A5,21,1.0,306.4389343261719,0.0,2018-01-01
17,1712.7523193359375,0,15,STANDARD,31,306.6286926269531,R_A5,21,1.0,306.6286926269531,0.0,2018-01-01
18,1714.607666015625,0,16,STANDARD,31,306.8045349121094,R_A5,21,1.0,306.8045349121094,0.0,2018-01-01
19,1715.7215576171875,0,17,STANDARD,31,306.91009521484375,R_A5,21,1.0,306.91009521484375,0.0,2018-01-01
25,1717.1461181640625,0,18,STANDARD,31,306.88800048828125,R_A5,21,1.0,306.88800048828125,0.0,2018-01-01
26,1719.476318359375,0,19,STANDARD,31,307.1088562011719,R_A5,21,1.0,307.1088562011719,0.0,2018-01-01
27,1721.8065185546875,0,20,STANDARD,31,307.635498046875,R_A5,21,1.0,307.635498046875,0.0,2018-01-01
28,1724.13671875,0,21,STANDARD,31,307.8563537597656,R_A5,21,1.0,307.8563537597656,0.0,2018-01-01
29,1726.466796875,0,22,STANDARD,31,308.0771789550781,R_A5,21,1.0,308.0771789550781,0.0,2018-01-01
1,1695.67919921875,0,1,STANDARD,17,305.15936279296875,R_A6,42,1.0,305.15936279296875,0.0,2018-01-01
2,1697.246826171875,0,2,STANDARD,17,305.30792236328125,R_A6,42,1.0,305.30792236328125,0.0,2018-01-01
3,1698.814453125,0,3,STANDARD,17,305.45648193359375,R_A6,42,1.0,305.45648193359375,0.0,2018-01-01
4,1700.382080078125,0,4,STANDARD,17,305.60504150390625,R_A6,42,1.0,305.60504150390625,0.0,2018-01-01
5,1701.94970703125,0,5,STANDARD,17,305.75360107421875,R_A6,42,1.0,305.75360107421875,0.0,2018-01-01
6,1703.5174560546875,0,6,STANDARD,17,305.9021911621094,R_A6,42,1.0,305.9021911621094,0.0,2018-01-01
7,1705.0850830078125,0,7,STANDARD,17,305.751708984375,R_A6,42,1.0,305.751708984375,0.0,2018-01-01
8,1706.6527099609375,0,8,STANDARD,17,305.9002685546875,R_A6,42,1.0,305.9002685546875,0.0,2018-01-01
9,1708.2203369140625,0,9,STANDARD,17,306.3478698730469,R_A6,42,1.0,306.3478698730469,0.0,2018-01-01
10,1709.7879638671875,0,10,STANDARD,17,306.1906433105469,R_A6,42,1.0,306.1906433105469,0.0,2018-01-01
11,1711.7398681640625,0,11,STANDARD,17,306.3757629394531,R_A6,42,1.0,306.3757629394531,0.0,2018-01-01
12,1714.0760498046875,0,12,STANDARD,17,306.59716796875,R_A6,42,1.0,306.59716796875,0.0,2018-01-01
13,1716.412109375,0,13,STANDARD,17,306.8305358886719,R_A6,42,1.0,306.8305358886719,0.0,2018-01-01
14,1718.748291015625,0,14,STANDARD,17,307.05194091796875,R_A6,42,1.0,307.05194091796875,0.0,2018-01-01
15,1721.0843505859375,0,15,STANDARD,17,307.2733459472656,R_A6,42,1.0,307.2733459472656,0.0,2018-01-01
16,1723.4205322265625,0,16,STANDARD,17,307.6397705078125,R_A6,42,1.0,307.6397705078125,0.0,2018-01-01
17,1725.756591796875,0,17,STANDARD,17,307.8611755371094,R_A6,42,1.0,307.8611755371094,0.0,2018-01-01
18,1727.3341064453125,0,18,STANDARD,17,308.0107116699219,R_A6,42,1.0,308.0107116699219,0.0,2018-01-01
25,1728.6177978515625,0,19,STANDARD,17,307.9752502441406,R_A6,42,1.0,307.9752502441406,0.0,2018-01-01
26,1730.3662109375,0,20,STANDARD,17,308.44677734375,R_A6,42,1.0,308.44677734375,0.0,2018-01-01
27,1732.1146240234375,0,21,STANDARD,17,308.61248779296875,R_A6,42,1.0,308.61248779296875,0.0,2018-01-01
28,1733.863037109375,0,22,STANDARD,17,308.7781982421875,R_A6,42,1.0,308.7781982421875,0.0,2018-01-01
29,1735.6114501953125,0,23,STANDARD,17,308.63812255859375,R_A6,42,1.0,308.63812255859375,0.0,2018-01-01
1,1641.83935546875,0,1,STANDARD,22,298.04693603515625,R_A2,30,0.062142495065927505,298.04693603515625,0.0,2018-03-01
2,1643.6988525390625,0,2,STANDARD,22,298.1715087890625,R_A2,30,0.06266927719116211,298.1715087890625,0.0,2018-03-01
3,1645.5582275390625,0,3,STANDARD,22,298.2959899902344,R_A2,30,0.1053885892033577,298.2959899902344,0.0,2018-03-01
4,1647.4176025390625,0,4,STANDARD,22,298.42010498046875,R_A2,30,0.2587185204029083,298.42010498046875,0.0,2018-03-01
5,1649.277099609375,0,5,STANDARD,22,298.5436706542969,R_A2,30,0.0772559642791748,298.5436706542969,0.0,2018-03-01
6,1651.136474609375,0,6,STANDARD,22,298.6738586425781,R_A2,30,0.32987719774246216,298.6738586425781,0.0,2018-03-01
7,1652.9959716796875,0,7,STANDARD,22,298.8025207519531,R_A2,30,0.9205259680747986,298.8025207519531,0.0,2018-03-01
8,1654.8553466796875,0,8,STANDARD,22,298.9350891113281,R_A2,30,0.9184787273406982,298.9350891113281,0.0,2018-03-01
9,1656.7147216796875,0,9,STANDARD,22,299.0657043457031,R_A2,30,0.9278820157051086,299.0657043457031,0.0,2018-03-01
10,1658.5740966796875,0,10,STANDARD,22,299.4173583984375,R_A2,30,0.9459978342056274,299.4173583984375,0.0,2018-03-01
11,1660.5528564453125,0,11,STANDARD,22,299.8023986816406,R_A2,30,0.09639931470155716,299.8023986816406,0.0,2018-03-01
12,1662.6507568359375,0,12,STANDARD,22,299.9535827636719,R_A2,30,0.1148337870836258,299.9535827636719,0.0,2018-03-01
13,1664.7486572265625,0,13,STANDARD,22,301.0159912109375,R_A2,30,0.5383002161979675,301.0159912109375,0.0,2018-03-01
14,1666.8466796875,0,14,STANDARD,22,300.839111328125,R_A2,30,0.6086680293083191,300.839111328125,0.0,2018-03-01
15,1668.944580078125,0,15,STANDARD,22,300.97894287109375,R_A2,30,0.8129768371582031,300.97894287109375,0.0,2018-03-01
16,1671.04248046875,0,16,STANDARD,22,301.1188659667969,R_A2,30,1.0,301.1188659667969,-1.7157570919579257e-09,2018-03-01
17,1673.140380859375,0,17,STANDARD,22,301.2592468261719,R_A2,30,1.0,301.2592468261719,-4.915199358634936e-10,2018-03-01
18,1675.1793212890625,0,18,STANDARD,22,301.6107177734375,R_A2,30,1.0,301.6107177734375,-3.425726924355388e-10,2018-03-01
25,1677.1712646484375,0,19,STANDARD,22,302.06317138671875,R_A2,30,1.0,302.06317138671875,-2.2161035229117942e-09,2018-03-01
26,1679.026123046875,0,20,STANDARD,22,303.42901611328125,R_A2,30,1.0,303.42901611328125,-2.9820929932236964e-15,2018-03-01
27,1680.881103515625,0,21,STANDARD,22,303.44415283203125,R_A2,30,1.0,303.44415283203125,-1.0560141865503022e-15,2018-03-01
28,1682.7359619140625,0,22,STANDARD,22,303.1343688964844,R_A2,30,1.0,303.1343688964844,-1.2261664826321013e-15,2018-03-01
29,1684.5908203125,0,23,STANDARD,22,302.7416076660156,R_A2,30,1.0,302.7416076660156,-1.3993494625991762e-15,2018-03-01
1,1683.4053955078125,0,1,STANDARD,31,275.35089111328125,R_A5,20,1.0,275.35089111328125,-2.7396289096181047e-19,2018-04-28
2,1685.845458984375,0,2,STANDARD,31,275.8812561035156,R_A5,20,1.0,275.8812561035156,-4.932009601631846e-19,2018-04-28
3,1688.28564453125,0,3,STANDARD,31,275.80706787109375,R_A5,20,1.0,275.80706787109375,-1.1867368962781635e-18,2018-04-28
4,1690.7257080078125,0,4,STANDARD,31,276.03826904296875,R_A5,20,1.0,276.03826904296875,-1.2135849042149503e-18,2018-04-28
5,1693.165771484375,0,5,STANDARD,31,276.2696228027344,R_A5,20,1.0,276.2696228027344,-6.884908064626532e-19,2018-04-28
6,1695.60595703125,0,6,STANDARD,31,276.50128173828125,R_A5,20,1.0,276.50128173828125,-7.264140907172773e-19,2018-04-28
7,1698.0460205078125,0,7,STANDARD,31,277.05474853515625,R_A5,20,1.0,277.05474853515625,-2.7201773859288794e-21,2018-04-28
11,1707.505126953125,0,8,STANDARD,31,277.2265625,R_A5,20,1.0,277.2265625,-7.93542098351252e-13,2018-04-28
12,1709.3427734375,0,9,STANDARD,31,277.4006042480469,R_A5,20,1.0,277.4006042480469,-1.4083740684095458e-12,2018-04-28
12,1702.7412109375,0,10,STANDARD,31,276.24066162109375,R_A5,21,1.0,276.24066162109375,-1.077708321889359e-11,2018-04-28
13,1704.743408203125,0,11,STANDARD,31,276.44439697265625,R_A5,21,1.0,276.44439697265625,-3.9549911739697463e-13,2018-04-28
14,1706.74560546875,0,12,STANDARD,31,276.6370544433594,R_A5,21,1.0,276.6370544433594,-7.384902693703677e-13,2018-04-28
15,1708.7479248046875,0,13,STANDARD,31,276.8329772949219,R_A5,21,1.0,276.8329772949219,-2.0030686636272887e-13,2018-04-28
16,1710.7501220703125,0,14,STANDARD,31,277.1985168457031,R_A5,21,1.0,277.1985168457031,-1.6650854414886063e-13,2018-04-28
17,1712.7523193359375,0,15,STANDARD,31,277.4783020019531,R_A5,21,1.0,277.4783020019531,-5.941943578878853e-14,2018-04-28
18,1714.607666015625,0,16,STANDARD,31,277.7475891113281,R_A5,21,1.0,277.7475891113281,-1.5822445350449632e-13,2018-04-28
19,1715.7215576171875,0,17,STANDARD,31,277.8874816894531,R_A5,21,1.0,277.8874816894531,-8.08433926898465e-14,2018-04-28
25,1717.1461181640625,0,18,STANDARD,31,283.20623779296875,R_A5,21,1.0,283.20623779296875,-1.993118669239846e-14,2018-04-28
26,1719.476318359375,0,19,STANDARD,31,283.4305419921875,R_A5,21,1.0,283.4305419921875,-2.000951352309696e-14,2018-04-28
27,1721.8065185546875,0,20,STANDARD,31,283.7060546875,R_A5,21,1.0,283.7060546875,7.812634451651683e-21,2018-04-28
28,1724.13671875,0,21,STANDARD,31,283.9723205566406,R_A5,21,1.0,283.9723205566406,-5.579814981658923e-17,2018-04-28
29,1726.466796875,0,22,STANDARD,31,284.562255859375,R_A5,21,1.0,284.562255859375,-1.1960458421352281e-17,2018-04-28
1,1610.923828125,0,1,STANDARD,28,276.8109436035156,R_A3,41,0.6495373249053955,276.8109436035156,0.0,2018-07-03
2,1613.0533447265625,0,2,STANDARD,28,276.9566345214844,R_A3,41,0.20319399237632751,276.9566345214844,0.0,2018-07-03
3,1615.182861328125,0,3,STANDARD,28,277.09857177734375,R_A3,41,0.20225408673286438,277.09857177734375,0.0,2018-07-03
4,1617.3123779296875,0,4,STANDARD,28,277.246337890625,R_A3,41,0.38610193133354187,277.246337890625,0.0,2018-07-03
5,1619.44189453125,0,5,STANDARD,28,277.4133605957031,R_A3,41,0.8392912745475769,277.4133605957031,0.0,2018-07-03
6,1621.5714111328125,0,6,STANDARD,28,277.5633544921875,R_A3,41,0.6500101089477539,277.5633544921875,0.0,2018-07-03
6,1608.297607421875,0,7,STANDARD,29,276.75201416015625,R_A3,41,0.651845395565033,276.75201416015625,0.0,2018-07-03
7,1610.35546875,0,8,STANDARD,29,276.9364318847656,R_A3,41,0.20200617611408234,276.9364318847656,0.0,2018-07-03
8,1612.413330078125,0,9,STANDARD,29,277.07391357421875,R_A3,41,0.20571938157081604,277.07391357421875,0.0,2018-07-03
9,1614.4713134765625,0,10,STANDARD,29,277.2779235839844,R_A3,41,0.8004253506660461,277.2779235839844,0.0,2018-07-03
10,1616.529296875,0,11,STANDARD,29,277.8586730957031,R_A3,41,0.7976804375648499,277.8586730957031,0.0,2018-07-03
11,1618.7333984375,0,12,STANDARD,29,286.83526611328125,R_A3,41,0.04892907664179802,286.83526611328125,0.0,2018-07-03
12,1621.0838623046875,0,13,STANDARD,29,286.9923095703125,R_A3,41,0.057130422443151474,286.9923095703125,0.0,2018-07-03
13,1623.434326171875,0,14,STANDARD,29,287.1503601074219,R_A3,41,0.37696579098701477,287.1503601074219,0.0,2018-07-03
14,1625.78466796875,0,15,STANDARD,29,287.5724792480469,R_A3,41,0.38443708419799805,287.5724792480469,0.0,2018-07-03
15,1628.1168212890625,0,16,STANDARD,29,288.0619201660156,R_A3,41,0.4926634728908539,288.0619201660156,0.0,2018-07-03
16,1630.0447998046875,0,17,STANDARD,29,288.1973876953125,R_A3,41,0.8168593645095825,288.1973876953125,0.0,2018-07-03
25,1632.806884765625,0,18,STANDARD,29,287.4017028808594,R_A3,41,1.0,287.4017028808594,3.746218179417893e-12,2018-07-03
26,1636.4844970703125,0,19,STANDARD,29,283.02557373046875,R_A3,41,0.07745693624019623,283.02557373046875,0.0,2018-07-03
27,1640.1622314453125,0,20,STANDARD,29,283.2712707519531,R_A3,41,0.05688415467739105,283.2712707519531,0.0,2018-07-03
28,1643.8399658203125,0,21,STANDARD,29,283.62347412109375,R_A3,41,0.21641895174980164,283.62347412109375,0.0,2018-07-03
29,1647.517578125,0,22,STANDARD,29,283.8085632324219,R_A3,41,0.06564798206090927,283.8085632324219,0.0,2018-07-03
1,1630.3870849609375,0,1,STANDARD,30,279.8680114746094,R_A4,52,0.3196414113044739,279.8680114746094,0.0,2018-09-12
1,1628.24365234375,0,2,STANDARD,31,279.9979248046875,R_A4,52,0.6494541764259338,279.9979248046875,0.0,2018-09-12
2,1630.3292236328125,0,3,STANDARD,31,280.27734375,R_A4,52,0.6518754959106445,280.27734375,0.0,2018-09-12
3,1632.414794921875,0,4,STANDARD,31,280.4178771972656,R_A4,52,0.2176910638809204,280.4178771972656,0.0,2018-09-12
3,1631.7275390625,0,5,STANDARD,32,280.45037841796875,R_A4,52,0.07796482741832733,280.45037841796875,0.0,2018-09-12
4,1633.6185302734375,0,6,STANDARD,32,280.5788879394531,R_A4,52,0.2132246494293213,280.5788879394531,0.0,2018-09-12
4,1636.3818359375,0,7,STANDARD,32,280.205810546875,R_A4,51,0.6705816984176636,280.205810546875,0.0,2018-09-12
3,1634.501708984375,0,8,STANDARD,32,279.9510498046875,R_A4,51,0.16962003707885742,279.9510498046875,0.0,2018-09-12
3,1637.2257080078125,0,9,STANDARD,33,280.2128601074219,R_A4,51,0.2160472571849823,280.2128601074219,0.0,2018-09-12
2,1635.3369140625,0,10,STANDARD,33,280.0876770019531,R_A4,51,0.16578616201877594,280.0876770019531,0.0,2018-09-12
3,1639.484619140625,0,11,STANDARD,33,279.843505859375,R_A4,50,0.06907110661268234,279.843505859375,0.0,2018-09-12
3,1640.2034912109375,0,12,STANDARD,34,280.1333923339844,R_A4,50,0.11625155061483383,280.1333923339844,0.0,2018-09-12
2,1638.2265625,0,13,STANDARD,34,280.0561828613281,R_A4,50,0.6507848501205444,280.0561828613281,0.0,2018-09-12
3,1645.2650146484375,0,14,STANDARD,35,280.7962951660156,R_A4,50,0.11367831379175186,280.7962951660156,0.0,2018-09-12
2,1643.3348388671875,0,15,STANDARD,35,280.66668701171875,R_A4,50,0.6501154899597168,280.66668701171875,0.0,2018-09-12
1,1641.404541015625,0,16,STANDARD,35,280.5416564941406,R_A4,50,0.3373711407184601,280.5416564941406,0.0,2018-09-12
1,1642.8125,0,17,STANDARD,35,280.2886962890625,R_A4,49,0.22463175654411316,280.2886962890625,0.0,2018-09-12
28,1646.5025634765625,0,18,STANDARD,36,279.1942443847656,R_A4,49,0.09392024576663971,279.1942443847656,0.0,2018-09-12
28,1637.87255859375,0,19,STANDARD,36,278.48516845703125,R_A4,48,0.11814058572053909,278.48516845703125,0.0,2018-09-12
28,1646.5244140625,0,20,STANDARD,37,279.1942138671875,R_A4,48,0.649566113948822,279.1942138671875,0.0,2018-09-12
28,1653.7076416015625,0,21,STANDARD,38,279.84930419921875,R_A4,48,0.6604748964309692,279.84930419921875,0.0,2018-09-12
28,1654.827880859375,0,22,STANDARD,38,279.9186096191406,R_A4,47,0.6971111297607422,279.9186096191406,0.0,2018-09-12
1,1695.67919921875,0,1,STANDARD,17,270.79345703125,R_A6,42,1.0,270.79345703125,-2.7493397742630026e-15,2018-11-07
2,1697.246826171875,0,2,STANDARD,17,270.9406433105469,R_A6,42,1.0,270.9406433105469,-1.616764820709226e-15,2018-11-07
3,1698.814453125,0,3,STANDARD,17,271.08697509765625,R_A6,42,1.0,271.08697509765625,-1.199948801211331e-15,2018-11-07
4,1700.382080078125,0,4,STANDARD,17,271.2316589355469,R_A6,42,1.0,271.2316589355469,-9.26846744291705e-16,2018-11-07
5,1701.94970703125,0,5,STANDARD,17,271.3736572265625,R_A6,42,1.0,271.3736572265625,-1.4284635731830826e-15,2018-11-07
6,1703.5174560546875,0,6,STANDARD,17,271.51690673828125,R_A6,42,1.0,271.51690673828125,-7.232536509797771e-14,2018-11-07
7,1705.0850830078125,0,7,STANDARD,17,271.36279296875,R_A6,42,1.0,271.36279296875,-1.3007632893979187e-13,2018-11-07
8,1706.6527099609375,0,8,STANDARD,17,271.50579833984375,R_A6,42,1.0,271.50579833984375,-1.1649455543012027e-13,2018-11-07
9,1708.2203369140625,0,9,STANDARD,17,271.9371337890625,R_A6,42,1.0,271.9371337890625,-9.496952039340055e-15,2018-11-07
10,1709.7879638671875,0,10,STANDARD,17,271.744873046875,R_A6,42,1.0,271.744873046875,-8.21088314527374e-13,2018-11-07
11,1711.7398681640625,0,11,STANDARD,17,276.6684265136719,R_A6,42,1.0,276.6684265136719,-3.8307594435167767e-16,2018-11-07
12,1714.0760498046875,0,12,STANDARD,17,276.8895568847656,R_A6,42,1.0,276.8895568847656,-1.7046344834101702e-16,2018-11-07
13,1716.412109375,0,13,STANDARD,17,277.122802734375,R_A6,42,1.0,277.122802734375,-1.8713972050999638e-17,2018-11-07
