WELL,PRESSURE,CONIPOS,DEPTH,CONKPOS,SWAT,DATE,DRAWDOWN,CONIDX,WELLMODEL,SGAS,CONJPOS,CONBPRES
R_A3,298.9752197265625,28,1614.6103515625,2,0.19770827889442444,2018-01-01,0,2,STANDARD,0.0,41,298.9752197265625
R_A3,299.11444091796875,28,1616.6876220703125,3,0.19779057800769806,2018-01-01,0,3,STANDARD,0.0,41,299.11444091796875
R_A3,299.2536926269531,28,1618.7650146484375,4,0.3157603442668915,2018-01-01,0,4,STANDARD,0.0,41,299.2536926269531
R_A3,299.3929443359375,28,1620.8424072265625,5,0.831243634223938,2018-01-01,0,5,STANDARD,0.0,41,299.3929443359375
R_A3,299.5321960449219,28,1622.919677734375,6,0.6481541991233826,2018-01-01,0,6,STANDARD,0.0,41,299.5321960449219
R_A3,298.4626159667969,29,1606.9619140625,6,0.6481541991233826,2018-01-01,0,7,STANDARD,0.0,41,298.4626159667969
R_A3,298.60638427734375,29,1609.1068115234375,7,0.1904626190662384,2018-01-01,0,8,STANDARD,0.0,41,298.60638427734375
R_A3,298.7501220703125,29,1611.251708984375,8,0.19570669531822205,2018-01-01,0,9,STANDARD,0.0,41,298.7501220703125
R_A3,298.89385986328125,29,1613.3966064453125,9,0.7902864813804626,2018-01-01,0,10,STANDARD,0.0,41,298.89385986328125
R_A3,299.0376281738281,29,1615.54150390625,10,0.7898970246315002,2018-01-01,0,11,STANDARD,0.0,41,299.0376281738281
R_A3,299.1857604980469,29,1617.75146484375,11,0.04755313694477081,2018-01-01,0,12,STANDARD,0.0,41,299.1857604980469
R_A3,299.3382568359375,29,1620.0263671875,12,0.051763638854026794,2018-01-01,0,13,STANDARD,0.0,41,299.3382568359375
R_A3,299.49072265625,29,1622.3013916015625,13,0.3648495078086853,2018-01-01,0,14,STANDARD,0.0,41,299.49072265625
R_A3,299.64324951171875,29,1624.5762939453125,14,0.37422749400138855,2018-01-01,0,15,STANDARD,0.0,41,299.64324951171875
R_A3,299.7957458496094,29,1626.8511962890625,15,0.601466715335846,2018-01-01,0,16,STANDARD,0.0,41,299.7957458496094
R_A3,299.931640625,29,1628.8782958984375,16,0.7942960262298584,2018-01-01,0,17,STANDARD,0.0,41,299.931640625
R_A3,300.13616943359375,29,1631.928955078125,25,0.37660565972328186,2018-01-01,0,18,STANDARD,0.0,41,300.13616943359375
R_A3,300.3919982910156,29,1635.744873046875,26,0.04184027388691902,2018-01-01,0,19,STANDARD,0.0,41,300.3919982910156
R_A3,300.6478271484375,29,1639.5606689453125,27,0.18298400938510895,2018-01-01,0,20,STANDARD,0.0,41,300.6478271484375
R_A3,300.9037170410156,29,1643.37646484375,28,1.0,2018-01-01,0,21,STANDARD,0.0,41,300.9037170410156
R_A3,301.1595764160156,29,1647.1922607421875,29,0.29405176639556885,2018-01-01,0,22,STANDARD,0.0,41,301.1595764160156
R_A4,300.2862243652344,30,1634.167236328125,1,0.051123082637786865,2018-01-01,0,1,STANDARD,0.0,52,300.2862243652344
R_A4,299.8458557128906,31,1627.5987548828125,1,0.046983323991298676,2018-01-01,0,2,STANDARD,0.0,52,299.8458557128906
R_A4,299.9844055175781,31,1629.6656494140625,2,0.04963541775941849,2018-01-01,0,3,STANDARD,0.0,52,299.9844055175781
R_A4,300.12298583984375,31,1631.732666015625,3,0.052706219255924225,2018-01-01,0,4,STANDARD,0.0,52,300.12298583984375
R_A4,300.2615661621094,31,1633.7996826171875,4,0.1497260183095932,2018-01-01,0,5,STANDARD,0.0,52,300.2615661621094
R_A4,300.2008361816406,32,1632.893798828125,4,0.05372640863060951,2018-01-01,0,6,STANDARD,0.0,52,300.2008361816406
R_A4,300.368408203125,32,1635.3931884765625,4,0.055727269500494,2018-01-01,0,7,STANDARD,0.0,51,300.368408203125
R_A4,300.4205627441406,33,1636.1708984375,4,0.05765373632311821,2018-01-01,0,8,STANDARD,0.0,51,300.4205627441406
R_A4,300.5480041503906,33,1638.071533203125,5,0.06021219864487648,2018-01-01,0,9,STANDARD,0.0,51,300.5480041503906
R_A4,300.7554931640625,33,1641.166015625,5,0.06017928570508957,2018-01-01,0,10,STANDARD,0.0,50,300.7554931640625
