SGAS,CONBPRES,CONIPOS,SWAT,WELL,DATE,PRESSURE,DRAWDOWN,CONKPOS,CONJPOS,CONIDX,WELLMODEL,DEPTH
0.0,306.5370788574219,31,1.0,R_A5,2018-01-01,306.5370788574219,0,17,21,15,STANDARD,1711.78564453125
0.0,306.696044921875,31,1.0,R_A5,2018-01-01,306.696044921875,0,18,21,16,STANDARD,1713.4630126953125
0.0,306.7842102050781,31,1.0,R_A5,2018-01-01,306.7842102050781,0,19,21,17,STANDARD,1714.3931884765625
0.0,306.7621154785156,31,1.0,R_A5,2018-01-01,306.7621154785156,0,25,21,18,STANDARD,1715.81787109375
0.0,306.9820861816406,31,1.0,R_A5,2018-01-01,306.9820861816406,0,26,21,19,STANDARD,1718.138671875
0.0,307.5078430175781,31,1.0,R_A5,2018-01-01,307.5078430175781,0,27,21,20,STANDARD,1720.45947265625
0.0,307.727783203125,31,1.0,R_A5,2018-01-01,307.727783203125,0,28,21,21,STANDARD,1722.7803955078125
0.0,307.94775390625,31,1.0,R_A5,2018-01-01,307.94775390625,0,29,21,22,STANDARD,1725.1011962890625
0.0,305.08099365234375,17,1.0,R_A6,2018-01-01,305.08099365234375,0,1,42,1,STANDARD,1694.852294921875
0.0,305.2269287109375,17,1.0,R_A6,2018-01-01,305.2269287109375,0,2,42,2,STANDARD,1696.3919677734375
0.0,305.3728332519531,17,1.0,R_A6,2018-01-01,305.3728332519531,0,3,42,3,STANDARD,1697.9317626953125
0.0,305.51873779296875,17,1.0,R_A6,2018-01-01,305.51873779296875,0,4,42,4,STANDARD,1699.471435546875
0.0,305.6646728515625,17,1.0,R_A6,2018-01-01,305.6646728515625,0,5,42,5,STANDARD,1701.0111083984375
0.0,305.8105773925781,17,1.0,R_A6,2018-01-01,305.8105773925781,0,6,42,6,STANDARD,1702.55078125
0.0,305.6574401855469,17,1.0,R_A6,2018-01-01,305.6574401855469,0,7,42,7,STANDARD,1704.0904541015625
0.0,305.8033447265625,17,1.0,R_A6,2018-01-01,305.8033447265625,0,8,42,8,STANDARD,1705.630126953125
0.0,306.2483215332031,17,1.0,R_A6,2018-01-01,306.2483215332031,0,9,42,9,STANDARD,1707.1697998046875
0.0,306.08843994140625,17,1.0,R_A6,2018-01-01,306.08843994140625,0,10,42,10,STANDARD,1708.7095947265625
0.0,306.27032470703125,17,1.0,R_A6,2018-01-01,306.27032470703125,0,11,42,11,STANDARD,1710.627197265625
0.0,306.4878845214844,17,1.0,R_A6,2018-01-01,306.4878845214844,0,12,42,12,STANDARD,1712.9229736328125
0.0,306.7174377441406,17,1.0,R_A6,2018-01-01,306.7174377441406,0,13,42,13,STANDARD,1715.2186279296875
0.0,306.93499755859375,17,1.0,R_A6,2018-01-01,306.93499755859375,0,14,42,14,STANDARD,1717.514404296875
0.0,307.152587890625,17,1.0,R_A6,2018-01-01,307.152587890625,0,15,42,15,STANDARD,1719.81005859375
0.0,307.5151672363281,17,1.0,R_A6,2018-01-01,307.5151672363281,0,16,42,16,STANDARD,1722.105712890625
0.0,307.7327575683594,17,1.0,R_A6,2018-01-01,307.7327575683594,0,17,42,17,STANDARD,1724.4014892578125
0.0,307.8798828125,17,1.0,R_A6,2018-01-01,307.8798828125,0,18,42,18,STANDARD,1725.953857421875
0.0,307.8424072265625,17,1.0,R_A6,2018-01-01,307.8424072265625,0,25,42,19,STANDARD,1727.2158203125
0.0,308.3106994628906,17,1.0,R_A6,2018-01-01,308.3106994628906,0,26,42,20,STANDARD,1728.9306640625
0.0,308.4732360839844,17,1.0,R_A6,2018-01-01,308.4732360839844,0,27,42,21,STANDARD,1730.6455078125
0.0,308.6357727050781,17,1.0,R_A6,2018-01-01,308.6357727050781,0,28,42,22,STANDARD,1732.3602294921875
0.0,308.49249267578125,17,1.0,R_A6,2018-01-01,308.49249267578125,0,29,42,23,STANDARD,1734.0750732421875
0.0,298.5625915527344,22,0.05196986719965935,R_A2,2018-03-01,298.5625915527344,0,1,30,1,STANDARD,1640.64599609375
0.0,298.6836853027344,22,0.05555746704339981,R_A2,2018-03-01,298.6836853027344,0,2,30,2,STANDARD,1642.452880859375
0.0,298.8047790527344,22,0.05885682627558708,R_A2,2018-03-01,298.8047790527344,0,3,30,3,STANDARD,1644.259765625
0.0,298.9259033203125,22,0.06457902491092682,R_A2,2018-03-01,298.9259033203125,0,4,30,4,STANDARD,1646.066650390625
0.0,299.0469970703125,22,0.06761255860328674,R_A2,2018-03-01,299.0469970703125,0,5,30,5,STANDARD,1647.87353515625
0.0,299.2032775878906,22,0.32970955967903137,R_A2,2018-03-01,299.2032775878906,0,6,30,6,STANDARD,1649.680419921875
0.0,299.33197021484375,22,0.879989743232727,R_A2,2018-03-01,299.33197021484375,0,7,30,7,STANDARD,1651.4873046875
0.0,299.4583435058594,22,0.8493309020996094,R_A2,2018-03-01,299.4583435058594,0,8,30,8,STANDARD,1653.294189453125
0.0,299.7179260253906,22,0.8883118629455566,R_A2,2018-03-01,299.7179260253906,0,9,30,9,STANDARD,1655.10107421875
0.0,299.78948974609375,22,0.6484435200691223,R_A2,2018-03-01,299.78948974609375,0,10,30,10,STANDARD,1656.907958984375
0.0,299.7228698730469,22,0.0703929141163826,R_A2,2018-03-01,299.7228698730469,0,11,30,11,STANDARD,1658.8106689453125
0.0,300.43365478515625,22,0.4285091757774353,R_A2,2018-03-01,300.43365478515625,0,13,30,12,STANDARD,1662.80712890625
0.0,300.5680847167969,22,0.4716905951499939,R_A2,2018-03-01,300.5680847167969,0,14,30,13,STANDARD,1664.805419921875
0.0,300.7067565917969,22,0.9351287484169006,R_A2,2018-03-01,300.7067565917969,0,15,30,14,STANDARD,1666.8037109375
0.0,300.8475341796875,22,0.9286066889762878,R_A2,2018-03-01,300.8475341796875,0,16,30,15,STANDARD,1668.802001953125
0.0,300.9447021484375,22,0.9509876370429993,R_A2,2018-03-01,300.9447021484375,0,16,29,16,STANDARD,1671.5478515625
0.0,301.1279602050781,22,0.9252861142158508,R_A2,2018-03-01,301.1279602050781,0,17,29,17,STANDARD,1673.68212890625
0.0,301.25555419921875,22,0.9723449349403381,R_A2,2018-03-01,301.25555419921875,0,18,29,18,STANDARD,1675.585205078125
0.0,301.9333801269531,22,0.6499282121658325,R_A2,2018-03-01,301.9333801269531,0,25,29,19,STANDARD,1677.36767578125
-1.289550656877322e-14,303.3089599609375,22,1.0,R_A2,2018-03-01,303.3089599609375,0,26,29,20,STANDARD,1679.10205078125
-1.9832736476455568e-15,303.42779541015625,22,1.0,R_A2,2018-03-01,303.42779541015625,0,27,29,21,STANDARD,1680.8363037109375
