SGAS,DEPTH,WELL,CONIDX,DATE,CONIPOS,CONKPOS,DRAWDOWN,PRESSURE,WELLMODEL,CONBPRES,CONJPOS,SWAT
0.0,1617.125244140625,R_A3,10,2018-01-01,29,9,0,299.1907653808594,STANDARD,299.1907653808594,41,0.7975124716758728
0.0,1619.155029296875,R_A3,11,2018-01-01,29,10,0,299.3268127441406,STANDARD,299.3268127441406,41,0.7974362969398499
0.0,1621.3218994140625,R_A3,12,2018-01-01,29,11,0,299.4720764160156,STANDARD,299.4720764160156,41,0.047279443591833115
0.0,1623.6259765625,R_A3,13,2018-01-01,29,12,0,299.62652587890625,STANDARD,299.62652587890625,41,0.0543028861284256
0.0,1625.9300537109375,R_A3,14,2018-01-01,29,13,0,299.7809753417969,STANDARD,299.7809753417969,41,0.3702409565448761
0.0,1628.234130859375,R_A3,15,2018-01-01,29,14,0,299.9354248046875,STANDARD,299.9354248046875,41,0.36264559626579285
0.0,1630.538330078125,R_A3,16,2018-01-01,29,15,0,300.08990478515625,STANDARD,300.08990478515625,41,0.4730316400527954
0.0,1632.2967529296875,R_A3,17,2018-01-01,29,16,0,300.2077941894531,STANDARD,300.2077941894531,41,0.7983762621879578
0.0,1634.635009765625,R_A3,18,2018-01-01,29,25,0,300.36456298828125,STANDARD,300.36456298828125,41,0.6481541991233826
0.0,1638.098388671875,R_A3,19,2018-01-01,29,26,0,300.5968017578125,STANDARD,300.5968017578125,41,0.043253786861896515
0.0,1641.5618896484375,R_A3,20,2018-01-01,29,27,0,300.82904052734375,STANDARD,300.82904052734375,41,0.046888481825590134
0.0,1645.025390625,R_A3,21,2018-01-01,29,28,0,301.061279296875,STANDARD,301.061279296875,41,0.76975017786026
0.0,1648.48876953125,R_A3,22,2018-01-01,29,29,0,301.2935485839844,STANDARD,301.2935485839844,41,0.1002441793680191
0.0,1631.4478759765625,R_A4,1,2018-01-01,30,1,0,300.15087890625,STANDARD,300.15087890625,52,0.05016621574759483
0.0,1626.6776123046875,R_A4,2,2018-01-01,31,1,0,299.8310852050781,STANDARD,299.8310852050781,52,0.04739852994680405
0.0,1628.75439453125,R_A4,3,2018-01-01,31,2,0,299.9703063964844,STANDARD,299.9703063964844,52,0.04925709217786789
0.0,1630.8311767578125,R_A4,4,2018-01-01,31,3,0,300.1095275878906,STANDARD,300.1095275878906,52,0.050029952079057693
0.0,1632.907958984375,R_A4,5,2018-01-01,31,4,0,300.248779296875,STANDARD,300.248779296875,52,0.05337816849350929
0.0,1632.1781005859375,R_A4,6,2018-01-01,32,4,0,300.1998291015625,STANDARD,300.1998291015625,52,0.05265253037214279
0.0,1634.0509033203125,R_A4,7,2018-01-01,32,5,0,300.3254089355469,STANDARD,300.3254089355469,52,0.15269218385219574
0.0,1636.7335205078125,R_A4,8,2018-01-01,32,5,0,300.5052795410156,STANDARD,300.5052795410156,51,0.16779467463493347
0.0,1634.8885498046875,R_A4,9,2018-01-01,32,4,0,300.3815612792969,STANDARD,300.3815612792969,51,0.055551834404468536
0.0,1636.684814453125,R_A4,10,2018-01-01,33,4,0,300.50201416015625,STANDARD,300.50201416015625,51,0.056263793259859085
0.0,1640.6298828125,R_A4,11,2018-01-01,33,4,0,300.76654052734375,STANDARD,300.76654052734375,50,0.060985758900642395
0.0,1639.646484375,R_A4,12,2018-01-01,34,4,0,300.7005920410156,STANDARD,300.7005920410156,50,0.05891302973031998
0.0,1640.3668212890625,R_A4,13,2018-01-01,35,4,0,300.7489013671875,STANDARD,300.7489013671875,50,0.05810006707906723
0.0,1638.573974609375,R_A4,14,2018-01-01,35,3,0,300.628662109375,STANDARD,300.628662109375,50,0.2223026156425476
0.0,1643.7144775390625,R_A4,15,2018-01-01,35,3,0,300.9733581542969,STANDARD,300.9733581542969,49,0.23224326968193054
0.0,1641.939697265625,R_A4,16,2018-01-01,35,2,0,300.8543701171875,STANDARD,300.8543701171875,49,0.22728228569030762
0.0,1643.9752197265625,R_A4,17,2018-01-01,36,28,0,300.9908447265625,STANDARD,300.9908447265625,49,0.0566021129488945
0.0,1643.849365234375,R_A4,18,2018-01-01,36,28,0,300.982421875,STANDARD,300.982421875,48,0.053508155047893524
0.0,1650.55029296875,R_A4,19,2018-01-01,37,28,0,301.4317932128906,STANDARD,301.4317932128906,48,0.3268969655036926
0.0,1644.9039306640625,R_A4,20,2018-01-01,37,27,0,301.0531311035156,STANDARD,301.0531311035156,48,0.18516024947166443
0.0,1650.872314453125,R_A4,21,2018-01-01,38,27,0,301.453369140625,STANDARD,301.453369140625,48,0.14486972987651825
0.0,1658.4617919921875,R_A4,22,2018-01-01,38,27,0,301.96240234375,STANDARD,301.96240234375,47,0.2694953382015228
0.0,1685.920166015625,R_A5,1,2018-01-01,31,1,0,303.92877197265625,STANDARD,303.92877197265625,20,1.0
0.0,1688.059814453125,R_A5,2,2018-01-01,31,2,0,304.13153076171875,STANDARD,304.13153076171875,20,1.0
0.0,1690.1993408203125,R_A5,3,2018-01-01,31,3,0,304.3342590332031,STANDARD,304.3342590332031,20,1.0
0.0,1692.3388671875,R_A5,4,2018-01-01,31,4,0,304.5370178222656,STANDARD,304.5370178222656,20,1.0
0.0,1694.4783935546875,R_A5,5,2018-01-01,31,5,0,304.7397766113281,STANDARD,304.7397766113281,20,1.0
0.0,1696.6180419921875,R_A5,6,2018-01-01,31,6,0,304.9425354003906,STANDARD,304.9425354003906,20,1.0
0.0,1698.757568359375,R_A5,7,2018-01-01,31,7,0,305.4510803222656,STANDARD,305.4510803222656,20,1.0
0.0,1700.8970947265625,R_A5,8,2018-01-01,31,8,0,305.65386962890625,STANDARD,305.65386962890625,20,1.0
0.0,1699.54150390625,R_A5,9,2018-01-01,31,11,0,305.2197265625,STANDARD,305.2197265625,21,1.0
0.0,1701.57275390625,R_A5,10,2018-01-01,31,12,0,305.4122314453125,STANDARD,305.4122314453125,21,1.0
0.0,1703.6041259765625,R_A5,11,2018-01-01,31,13,0,305.61669921875,STANDARD,305.61669921875,21,1.0
0.0,1705.6353759765625,R_A5,12,2018-01-01,31,14,0,305.8092041015625,STANDARD,305.8092041015625,21,1.0
0.0,1707.6666259765625,R_A5,13,2018-01-01,31,15,0,306.001708984375,STANDARD,306.001708984375,21,1.0
