CONJPOS,SWAT,DATE,CONKPOS,WELLMODEL,SGAS,CONIPOS,DRAWDOWN,CONIDX,CONBPRES,PRESSURE,WELL,DEPTH
49,0.22992004454135895,2018-01-01,3,STANDARD,0.0,35,0,15,300.8079528808594,300.8079528808594,R_A4,1641.9444580078125
49,0.23056739568710327,2018-01-01,28,STANDARD,0.0,36,0,16,300.8694152832031,300.8694152832031,R_A4,1642.861083984375
48,0.1840810775756836,2018-01-01,28,STANDARD,0.0,36,0,17,300.9435119628906,300.9435119628906,R_A4,1643.9658203125
48,0.6481541991233826,2018-01-01,28,STANDARD,0.0,37,0,18,301.3946228027344,301.3946228027344,R_A4,1650.6929931640625
48,1.0,2018-01-01,27,STANDARD,0.0,37,0,19,301.015869140625,301.015869140625,R_A4,1645.044921875
48,0.8609797954559326,2018-01-01,27,STANDARD,0.0,38,0,20,301.43548583984375,301.43548583984375,R_A4,1651.30224609375
47,0.6481541991233826,2018-01-01,27,STANDARD,0.0,38,0,21,302.0647277832031,302.0647277832031,R_A4,1660.6839599609375
47,0.06397945433855057,2018-01-01,26,STANDARD,0.0,38,0,22,301.67901611328125,301.67901611328125,R_A4,1654.933349609375
20,1.0,2018-01-01,1,STANDARD,0.0,31,0,1,303.9027404785156,303.9027404785156,R_A5,1685.6453857421875
20,1.0,2018-01-01,2,STANDARD,0.0,31,0,2,304.10662841796875,304.10662841796875,R_A5,1687.7972412109375
20,1.0,2018-01-01,3,STANDARD,0.0,31,0,3,304.310546875,304.310546875,R_A5,1689.9490966796875
20,1.0,2018-01-01,4,STANDARD,0.0,31,0,4,304.51446533203125,304.51446533203125,R_A5,1692.1009521484375
20,1.0,2018-01-01,5,STANDARD,0.0,31,0,5,304.7183837890625,304.7183837890625,R_A5,1694.252685546875
20,1.0,2018-01-01,6,STANDARD,0.0,31,0,6,304.9223327636719,304.9223327636719,R_A5,1696.404541015625
20,1.0,2018-01-01,7,STANDARD,0.0,31,0,7,305.4320373535156,305.4320373535156,R_A5,1698.556396484375
20,1.0,2018-01-01,8,STANDARD,0.0,31,0,8,305.6359558105469,305.6359558105469,R_A5,1700.708251953125
21,1.0,2018-01-01,9,STANDARD,0.0,31,0,9,305.17242431640625,305.17242431640625,R_A5,1695.81689453125
