CONIDX,SGAS,PRESSURE,CONBPRES,DEPTH,CONJPOS,CONIPOS,SWAT,WELL,DRAWDOWN,CONKPOS,DATE,WELLMODEL
17,0.0,302.9488220214844,302.9488220214844,1673.648681640625,29,22,0.9386529326438904,R_A2,0,17,2018-01-01,STANDARD
18,0.0,303.0690002441406,303.0690002441406,1675.43994140625,29,22,0.9781426191329956,R_A2,0,18,2018-01-01,STANDARD
19,0.0,303.1881103515625,303.1881103515625,1677.21533203125,29,22,0.6481541991233826,R_A2,0,27,2018-01-01,STANDARD
20,0.0,303.3044738769531,303.3044738769531,1678.94970703125,29,22,0.6481541991233826,R_A2,0,28,2018-01-01,STANDARD
21,0.0,303.73834228515625,303.73834228515625,1680.6839599609375,29,22,1.0,R_A2,0,29,2018-01-01,STANDARD
22,0.0,303.9027099609375,303.9027099609375,1682.418212890625,29,22,1.0,R_A2,0,30,2018-01-01,STANDARD
23,0.0,304.0670471191406,304.0670471191406,1684.1524658203125,29,22,1.0,R_A2,0,31,2018-01-01,STANDARD
1,0.0,298.6847839355469,298.6847839355469,1610.0584716796875,41,28,0.6481541991233826,R_A3,0,1,2018-01-01,STANDARD
2,0.0,298.81890869140625,298.81890869140625,1612.0594482421875,41,28,0.19444414973258972,R_A3,0,2,2018-01-01,STANDARD
3,0.0,298.9530029296875,298.9530029296875,1614.060302734375,41,28,0.16004981100559235,R_A3,0,3,2018-01-01,STANDARD
4,0.0,298.20172119140625,298.20172119140625,1602.85009765625,41,29,0.1623242050409317,R_A3,0,3,2018-01-01,STANDARD
5,0.0,298.34490966796875,298.34490966796875,1604.9866943359375,41,29,0.6481541991233826,R_A3,0,4,2018-01-01,STANDARD
6,0.0,298.4880676269531,298.4880676269531,1607.123291015625,41,29,0.8083463311195374,R_A3,0,5,2018-01-01,STANDARD
7,0.0,298.6312561035156,298.6312561035156,1609.259765625,41,29,0.6481541991233826,R_A3,0,6,2018-01-01,STANDARD
8,0.0,298.7744445800781,298.7744445800781,1611.3963623046875,41,29,0.1940476894378662,R_A3,0,7,2018-01-01,STANDARD
9,0.0,298.91766357421875,298.91766357421875,1613.532958984375,41,29,0.19412493705749512,R_A3,0,8,2018-01-01,STANDARD
10,0.0,299.06085205078125,299.06085205078125,1615.66943359375,41,29,0.7946826219558716,R_A3,0,9,2018-01-01,STANDARD
11,0.0,299.2040710449219,299.2040710449219,1617.8060302734375,41,29,0.7946164608001709,R_A3,0,10,2018-01-01,STANDARD
12,0.0,299.353271484375,299.353271484375,1620.0321044921875,41,29,0.04604087024927139,R_A3,0,11,2018-01-01,STANDARD
13,0.0,299.50848388671875,299.50848388671875,1622.34765625,41,29,0.05216558650135994,R_A3,0,12,2018-01-01,STANDARD
14,0.0,299.6636962890625,299.6636962890625,1624.6630859375,41,29,0.25344163179397583,R_A3,0,13,2018-01-01,STANDARD
15,0.0,299.9741516113281,299.9741516113281,1629.294189453125,41,29,0.601466715335846,R_A3,0,15,2018-01-01,STANDARD
16,0.0,300.1102600097656,300.1102600097656,1631.3240966796875,41,29,0.7960202097892761,R_A3,0,16,2018-01-01,STANDARD
17,0.0,300.2909851074219,300.2909851074219,1634.0198974609375,41,29,0.3038904070854187,R_A3,0,27,2018-01-01,STANDARD
18,0.0,300.5355224609375,300.5355224609375,1637.6669921875,41,29,0.04400383308529854,R_A3,0,28,2018-01-01,STANDARD
19,0.0,300.7800598144531,300.7800598144531,1641.3140869140625,41,29,0.04999873414635658,R_A3,0,29,2018-01-01,STANDARD
20,0.0,301.0246276855469,301.0246276855469,1644.961181640625,41,29,1.0,R_A3,0,30,2018-01-01,STANDARD
21,0.0,301.2691955566406,301.2691955566406,1648.6082763671875,41,29,0.09114649146795273,R_A3,0,31,2018-01-01,STANDARD
1,0.0,300.2295227050781,300.2295227050781,1633.103271484375,52,30,0.04915695637464523,R_A4,0,1,2018-01-01,STANDARD
2,0.0,299.8343811035156,299.8343811035156,1627.2093505859375,52,31,0.048109814524650574,R_A4,0,1,2018-01-01,STANDARD
3,0.0,299.9713439941406,299.9713439941406,1629.2523193359375,52,31,0.050049491226673126,R_A4,0,2,2018-01-01,STANDARD
4,0.0,300.10833740234375,300.10833740234375,1631.29541015625,52,31,0.05064013972878456,R_A4,0,3,2018-01-01,STANDARD
5,0.0,300.24530029296875,300.24530029296875,1633.33837890625,52,31,0.052370574325323105,R_A4,0,4,2018-01-01,STANDARD
6,0.0,300.38226318359375,300.38226318359375,1635.38134765625,52,31,0.08975325524806976,R_A4,0,5,2018-01-01,STANDARD
7,0.0,300.3045959472656,300.3045959472656,1634.222900390625,52,32,0.09519607573747635,R_A4,0,5,2018-01-01,STANDARD
8,0.0,300.1822509765625,300.1822509765625,1632.39794921875,52,32,0.05331435427069664,R_A4,0,4,2018-01-01,STANDARD
9,0.0,300.5318603515625,300.5318603515625,1637.6126708984375,51,32,0.18128520250320435,R_A4,0,5,2018-01-01,STANDARD
10,0.0,300.4112854003906,300.4112854003906,1635.8140869140625,51,32,0.055608466267585754,R_A4,0,4,2018-01-01,STANDARD
11,0.0,300.6221923828125,300.6221923828125,1638.95947265625,51,33,0.058294959366321564,R_A4,0,4,2018-01-01,STANDARD
12,0.0,300.4983215332031,300.4983215332031,1637.112060546875,51,33,0.058045223355293274,R_A4,0,3,2018-01-01,STANDARD
13,0.0,300.8916931152344,300.8916931152344,1642.9786376953125,50,33,0.10872328281402588,R_A4,0,4,2018-01-01,STANDARD
14,0.0,300.81195068359375,300.81195068359375,1641.7894287109375,50,34,0.058951567858457565,R_A4,0,4,2018-01-01,STANDARD
15,0.0,300.6846008300781,300.6846008300781,1639.8905029296875,50,34,0.06167544424533844,R_A4,0,3,2018-01-01,STANDARD
16,0.0,300.9068603515625,300.9068603515625,1643.205078125,50,35,0.11945772916078568,R_A4,0,3,2018-01-01,STANDARD
17,0.0,300.78466796875,300.78466796875,1641.3829345703125,50,35,0.22685189545154572,R_A4,0,2,2018-01-01,STANDARD
18,0.0,300.6625061035156,300.6625061035156,1639.560791015625,50,35,0.22977383434772491,R_A4,0,1,2018-01-01,STANDARD
19,0.0,300.80499267578125,300.80499267578125,1641.6856689453125,49,35,0.0536186657845974,R_A4,0,30,2018-01-01,STANDARD
20,0.0,300.3926696777344,300.3926696777344,1635.5362548828125,49,35,0.05334123596549034,R_A4,0,29,2018-01-01,STANDARD
21,0.0,300.7815246582031,300.7815246582031,1641.3358154296875,49,36,0.7893235087394714,R_A4,0,29,2018-01-01,STANDARD
22,0.0,300.77349853515625,300.77349853515625,1641.2159423828125,48,36,0.6481541991233826,R_A4,0,29,2018-01-01,STANDARD
23,0.0,301.1517333984375,301.1517333984375,1646.8568115234375,48,37,0.6481541991233826,R_A4,0,29,2018-01-01,STANDARD
24,0.0,301.469970703125,301.469970703125,1651.60205078125,48,38,0.20296326279640198,R_A4,0,29,2018-01-01,STANDARD
25,0.0,301.83319091796875,301.83319091796875,1657.017578125,47,38,0.14011429250240326,R_A4,0,29,2018-01-01,STANDARD
1,0.0,304.2378234863281,304.2378234863281,1685.9547119140625,20,31,1.0,R_A5,0,1,2018-01-01,STANDARD
2,0.0,304.1381530761719,304.1381530761719,1688.1298828125,20,31,1.0,R_A5,0,2,2018-01-01,STANDARD
3,0.0,304.34429931640625,304.34429931640625,1690.304931640625,20,31,1.0,R_A5,0,3,2018-01-01,STANDARD
4,0.0,304.5504150390625,304.5504150390625,1692.4801025390625,20,31,1.0,R_A5,0,4,2018-01-01,STANDARD
5,0.0,304.7565612792969,304.7565612792969,1694.6552734375,20,31,1.0,R_A5,0,5,2018-01-01,STANDARD
6,0.0,304.9626770019531,304.9626770019531,1696.8304443359375,20,31,1.0,R_A5,0,6,2018-01-01,STANDARD
7,0.0,305.474609375,305.474609375,1699.005615234375,20,31,1.0,R_A5,0,7,2018-01-01,STANDARD
8,0.0,305.0519104003906,305.0519104003906,1697.7708740234375,21,31,1.0,R_A5,0,11,2018-01-01,STANDARD
9,0.0,305.2439270019531,305.2439270019531,1699.796875,21,31,1.0,R_A5,0,12,2018-01-01,STANDARD
10,0.0,305.4478759765625,305.4478759765625,1701.82275390625,21,31,1.0,R_A5,0,13,2018-01-01,STANDARD
11,0.0,305.639892578125,305.639892578125,1703.8487548828125,21,31,1.0,R_A5,0,14,2018-01-01,STANDARD
12,0.0,305.8318786621094,305.8318786621094,1705.874755859375,21,31,1.0,R_A5,0,15,2018-01-01,STANDARD
13,0.0,306.16888427734375,306.16888427734375,1707.9007568359375,21,31,1.0,R_A5,0,16,2018-01-01,STANDARD
14,0.0,306.36090087890625,306.36090087890625,1709.9266357421875,21,31,1.0,R_A5,0,17,2018-01-01,STANDARD
15,0.0,306.5472717285156,306.5472717285156,1711.893310546875,21,31,1.0,R_A5,0,18,2018-01-01,STANDARD
16,0.0,306.6661682128906,306.6661682128906,1713.1478271484375,21,31,1.0,R_A5,0,19,2018-01-01,STANDARD
17,0.0,306.6566162109375,306.6566162109375,1714.704345703125,21,31,1.0,R_A5,0,27,2018-01-01,STANDARD
18,0.0,306.8946228027344,306.8946228027344,1717.2156982421875,21,31,1.0,R_A5,0,28,2018-01-01,STANDARD
19,0.0,307.43841552734375,307.43841552734375,1719.72705078125,21,31,1.0,R_A5,0,29,2018-01-01,STANDARD
20,0.0,307.6764221191406,307.6764221191406,1722.2384033203125,21,31,1.0,R_A5,0,30,2018-01-01,STANDARD
21,0.0,307.9144287109375,307.9144287109375,1724.7496337890625,21,31,1.0,R_A5,0,31,2018-01-01,STANDARD
1,0.0,305.01446533203125,305.01446533203125,1694.150146484375,42,17,1.0,R_A6,0,1,2018-01-01,STANDARD
2,0.0,305.1597595214844,305.1597595214844,1695.683349609375,42,17,1.0,R_A6,0,2,2018-01-01,STANDARD
3,0.0,305.3050537109375,305.3050537109375,1697.2164306640625,42,17,1.0,R_A6,0,3,2018-01-01,STANDARD
4,0.0,305.4503173828125,305.4503173828125,1698.74951171875,42,17,1.0,R_A6,0,4,2018-01-01,STANDARD
5,0.0,305.5956115722656,305.5956115722656,1700.2825927734375,42,17,1.0,R_A6,0,5,2018-01-01,STANDARD
6,0.0,305.74090576171875,305.74090576171875,1701.815673828125,42,17,1.0,R_A6,0,6,2018-01-01,STANDARD
7,0.0,305.587158203125,305.587158203125,1703.3487548828125,42,17,1.0,R_A6,0,7,2018-01-01,STANDARD
8,0.0,305.732421875,305.732421875,1704.8818359375,42,17,1.0,R_A6,0,8,2018-01-01,STANDARD
9,0.0,306.1767883300781,306.1767883300781,1706.4149169921875,42,17,1.0,R_A6,0,9,2018-01-01,STANDARD
10,0.0,306.02301025390625,306.02301025390625,1707.947998046875,42,17,1.0,R_A6,0,10,2018-01-01,STANDARD
11,0.0,306.1992492675781,306.1992492675781,1709.877197265625,42,17,1.0,R_A6,0,11,2018-01-01,STANDARD
12,0.0,306.41961669921875,306.41961669921875,1712.20263671875,42,17,1.0,R_A6,0,12,2018-01-01,STANDARD
13,0.0,306.6519775390625,306.6519775390625,1714.528076171875,42,17,1.0,R_A6,0,13,2018-01-01,STANDARD
14,0.0,306.87237548828125,306.87237548828125,1716.853515625,42,17,1.0,R_A6,0,14,2018-01-01,STANDARD
15,0.0,307.0927429199219,307.0927429199219,1719.178955078125,42,17,1.0,R_A6,0,15,2018-01-01,STANDARD
16,0.0,307.4581604003906,307.4581604003906,1721.5042724609375,42,17,1.0,R_A6,0,16,2018-01-01,STANDARD
17,0.0,307.6785583496094,307.6785583496094,1723.8297119140625,42,17,1.0,R_A6,0,17,2018-01-01,STANDARD
18,0.0,307.8139953613281,307.8139953613281,1725.2586669921875,42,17,1.0,R_A6,0,18,2018-01-01,STANDARD
19,0.0,307.7631530761719,307.7631530761719,1726.3798828125,42,17,1.0,R_A6,0,27,2018-01-01,STANDARD
20,0.0,308.2309875488281,308.2309875488281,1728.0897216796875,42,17,1.0,R_A6,0,28,2018-01-01,STANDARD
21,0.0,308.3930358886719,308.3930358886719,1729.7994384765625,42,17,1.0,R_A6,0,29,2018-01-01,STANDARD
22,0.0,308.55511474609375,308.55511474609375,1731.50927734375,42,17,1.0,R_A6,0,30,2018-01-01,STANDARD
23,0.0,308.411376953125,308.411376953125,1733.2191162109375,42,17,1.0,R_A6,0,31,2018-01-01,STANDARD
1,0.0,298.1642761230469,298.1642761230469,1640.85546875,30,22,0.05353298783302307,R_A2,0,1,2018-03-01,STANDARD
2,0.0,298.2848815917969,298.2848815917969,1642.6551513671875,30,22,0.05610864982008934,R_A2,0,2,2018-03-01,STANDARD
3,0.0,298.40545654296875,298.40545654296875,1644.4547119140625,30,22,0.05899994447827339,R_A2,0,3,2018-03-01,STANDARD
4,0.0,298.5260925292969,298.5260925292969,1646.25439453125,30,22,0.06336169689893723,R_A2,0,4,2018-03-01,STANDARD
5,0.0,298.6466979980469,298.6466979980469,1648.053955078125,30,22,0.06794659048318863,R_A2,0,5,2018-03-01,STANDARD
6,0.0,298.8033752441406,298.8033752441406,1649.8536376953125,30,22,0.3033342659473419,R_A2,0,6,2018-03-01,STANDARD
7,0.0,298.9420471191406,298.9420471191406,1651.6533203125,30,22,0.8792096376419067,R_A2,0,7,2018-03-01,STANDARD
8,0.0,299.08447265625,299.08447265625,1653.452880859375,30,22,0.8691983819007874,R_A2,0,8,2018-03-01,STANDARD
9,0.0,299.6748962402344,299.6748962402344,1655.2525634765625,30,22,0.6483005881309509,R_A2,0,9,2018-03-01,STANDARD
10,0.0,300.0257568359375,300.0257568359375,1657.05224609375,30,22,0.6482695937156677,R_A2,0,10,2018-03-01,STANDARD
11,0.0,300.1729736328125,300.1729736328125,1658.966552734375,30,22,0.07132340222597122,R_A2,0,11,2018-03-01,STANDARD
12,0.0,300.6462707519531,300.6462707519531,1663.02490234375,30,22,0.4340502917766571,R_A2,0,13,2018-03-01,STANDARD
13,0.0,300.78240966796875,300.78240966796875,1665.05419921875,30,22,0.479322224855423,R_A2,0,14,2018-03-01,STANDARD
14,0.0,300.9173278808594,300.9173278808594,1667.0833740234375,30,22,0.9151834845542908,R_A2,0,15,2018-03-01,STANDARD
15,0.0,301.052490234375,301.052490234375,1669.112548828125,30,22,0.9405487775802612,R_A2,0,16,2018-03-01,STANDARD
16,0.0,301.13336181640625,301.13336181640625,1671.544189453125,29,22,0.9628404378890991,R_A2,0,16,2018-03-01,STANDARD
17,0.0,301.2740783691406,301.2740783691406,1673.648681640625,29,22,0.938621461391449,R_A2,0,17,2018-03-01,STANDARD
18,0.0,301.39404296875,301.39404296875,1675.43994140625,29,22,0.9781313538551331,R_A2,0,18,2018-03-01,STANDARD
19,0.0,301.898681640625,301.898681640625,1677.21533203125,29,22,0.6482368111610413,R_A2,0,27,2018-03-01,STANDARD
20,0.0,302.0848083496094,302.0848083496094,1678.94970703125,29,22,0.6482699513435364,R_A2,0,28,2018-03-01,STANDARD
21,7.516311791716523e-13,302.6680603027344,302.6680603027344,1680.6839599609375,29,22,1.0,R_A2,0,29,2018-03-01,STANDARD
22,4.4035481099220786e-14,303.4233093261719,303.4233093261719,1682.418212890625,29,22,1.0,R_A2,0,30,2018-03-01,STANDARD
23,4.327569254553368e-15,303.8336181640625,303.8336181640625,1684.1524658203125,29,22,1.0,R_A2,0,31,2018-03-01,STANDARD
1,-4.8767603453778174e-14,284.885498046875,284.885498046875,1685.9547119140625,20,31,1.0,R_A5,0,1,2018-04-28,STANDARD
2,-6.600982645687745e-14,284.7855529785156,284.7855529785156,1688.1298828125,20,31,1.0,R_A5,0,2,2018-04-28,STANDARD
3,-7.515998457288675e-14,284.99139404296875,284.99139404296875,1690.304931640625,20,31,1.0,R_A5,0,3,2018-04-28,STANDARD
4,-6.1423021074751e-14,285.197265625,285.197265625,1692.4801025390625,20,31,1.0,R_A5,0,4,2018-04-28,STANDARD
5,-5.822036917239176e-14,285.4031677246094,285.4031677246094,1694.6552734375,20,31,1.0,R_A5,0,5,2018-04-28,STANDARD
6,-4.696401619918959e-14,285.60906982421875,285.60906982421875,1696.8304443359375,20,31,1.0,R_A5,0,6,2018-04-28,STANDARD
7,-4.0635606257181088e-16,286.1307373046875,286.1307373046875,1699.005615234375,20,31,1.0,R_A5,0,7,2018-04-28,STANDARD
8,-2.6206822822949505e-10,278.0588684082031,278.0588684082031,1697.7708740234375,21,31,1.0,R_A5,0,11,2018-04-28,STANDARD
9,-4.2210311634871545e-11,278.2496337890625,278.2496337890625,1699.796875,21,31,1.0,R_A5,0,12,2018-04-28,STANDARD
10,-7.320775062547025e-12,278.4624938964844,278.4624938964844,1701.82275390625,21,31,1.0,R_A5,0,13,2018-04-28,STANDARD
11,-1.7896670256867253e-11,278.66314697265625,278.66314697265625,1703.8487548828125,21,31,1.0,R_A5,0,14,2018-04-28,STANDARD
12,-3.709472399388014e-12,278.8594055175781,278.8594055175781,1705.874755859375,21,31,1.0,R_A5,0,15,2018-04-28,STANDARD
13,-3.326028905417666e-12,279.2146911621094,279.2146911621094,1707.9007568359375,21,31,1.0,R_A5,0,16,2018-04-28,STANDARD
14,-5.444487092068351e-13,279.4297180175781,279.4297180175781,1709.9266357421875,21,31,1.0,R_A5,0,17,2018-04-28,STANDARD
15,-1.246338644268763e-12,279.6380310058594,279.6380310058594,1711.893310546875,21,31,1.0,R_A5,0,18,2018-04-28,STANDARD
16,-7.353219053617133e-13,279.7629089355469,279.7629089355469,1713.1478271484375,21,31,1.0,R_A5,0,19,2018-04-28,STANDARD
17,-2.815310850656609e-14,287.98809814453125,287.98809814453125,1714.704345703125,21,31,1.0,R_A5,0,27,2018-04-28,STANDARD
18,-2.0966726822064206e-14,288.23614501953125,288.23614501953125,1717.2156982421875,21,31,1.0,R_A5,0,28,2018-04-28,STANDARD
19,-6.507099794308375e-22,299.0419921875,299.0419921875,1719.72705078125,21,31,1.0,R_A5,0,29,2018-04-28,STANDARD
20,-2.3111371536230335e-23,305.24365234375,305.24365234375,1722.2384033203125,21,31,1.0,R_A5,0,30,2018-04-28,STANDARD
21,-1.6908533389359004e-24,307.1866149902344,307.1866149902344,1724.7496337890625,21,31,1.0,R_A5,0,31,2018-04-28,STANDARD
1,0.0,282.86492919921875,282.86492919921875,1610.0584716796875,41,28,0.6494109034538269,R_A3,0,1,2018-07-03,STANDARD
2,0.0,282.99609375,282.99609375,1612.0594482421875,41,28,0.1948194056749344,R_A3,0,2,2018-07-03,STANDARD
3,0.0,283.12969970703125,283.12969970703125,1614.060302734375,41,28,0.16052602231502533,R_A3,0,3,2018-07-03,STANDARD
4,0.0,282.27703857421875,282.27703857421875,1602.85009765625,41,29,0.16380734741687775,R_A3,0,3,2018-07-03,STANDARD
5,0.0,282.4015808105469,282.4015808105469,1604.9866943359375,41,29,0.65687096118927,R_A3,0,4,2018-07-03,STANDARD
6,0.0,282.80255126953125,282.80255126953125,1607.123291015625,41,29,0.805765688419342,R_A3,0,5,2018-07-03,STANDARD
7,0.0,282.8077697753906,282.8077697753906,1609.259765625,41,29,0.6511513590812683,R_A3,0,6,2018-07-03,STANDARD
8,0.0,282.9865417480469,282.9865417480469,1611.3963623046875,41,29,0.1951282024383545,R_A3,0,7,2018-07-03,STANDARD
9,0.0,283.1292724609375,283.1292724609375,1613.532958984375,41,29,0.19530564546585083,R_A3,0,8,2018-07-03,STANDARD
10,0.0,283.3493957519531,283.3493957519531,1615.66943359375,41,29,0.7935618162155151,R_A3,0,9,2018-07-03,STANDARD
11,0.0,284.4674987792969,284.4674987792969,1617.8060302734375,41,29,0.7934858798980713,R_A3,0,10,2018-07-03,STANDARD
12,0.0,284.9073181152344,284.9073181152344,1620.0321044921875,41,29,0.046158310025930405,R_A3,0,11,2018-07-03,STANDARD
13,0.0,285.0619812011719,285.0619812011719,1622.34765625,41,29,0.052271805703639984,R_A3,0,12,2018-07-03,STANDARD
14,0.0,285.2171325683594,285.2171325683594,1624.6630859375,41,29,0.25403231382369995,R_A3,0,13,2018-07-03,STANDARD
15,0.0,290.0559387207031,290.0559387207031,1629.294189453125,41,29,0.6025423407554626,R_A3,0,15,2018-07-03,STANDARD
16,0.0,290.1914367675781,290.1914367675781,1631.3240966796875,41,29,0.7951722741127014,R_A3,0,16,2018-07-03,STANDARD
17,0.0,283.8887939453125,283.8887939453125,1634.0198974609375,41,29,0.29966774582862854,R_A3,0,27,2018-07-03,STANDARD
18,0.0,284.12603759765625,284.12603759765625,1637.6669921875,41,29,0.04469392076134682,R_A3,0,28,2018-07-03,STANDARD
19,0.0,284.36993408203125,284.36993408203125,1641.3140869140625,41,29,0.05062386766076088,R_A3,0,29,2018-07-03,STANDARD
20,0.0,285.9920654296875,285.9920654296875,1644.961181640625,41,29,0.9999969005584717,R_A3,0,30,2018-07-03,STANDARD
21,0.0,284.7060546875,284.7060546875,1648.6082763671875,41,29,0.09289121627807617,R_A3,0,31,2018-07-03,STANDARD
1,0.0,281.7717590332031,281.7717590332031,1633.103271484375,52,30,0.04919340834021568,R_A4,0,1,2018-09-12,STANDARD
2,0.0,281.4576110839844,281.4576110839844,1627.2093505859375,52,31,0.04820486530661583,R_A4,0,1,2018-09-12,STANDARD
3,0.0,281.59393310546875,281.59393310546875,1629.2523193359375,52,31,0.05014879256486893,R_A4,0,2,2018-09-12,STANDARD
4,0.0,281.73028564453125,281.73028564453125,1631.29541015625,52,31,0.05074835568666458,R_A4,0,3,2018-09-12,STANDARD
5,0.0,281.86663818359375,281.86663818359375,1633.33837890625,52,31,0.05248188227415085,R_A4,0,4,2018-09-12,STANDARD
6,0.0,282.00299072265625,282.00299072265625,1635.38134765625,52,31,0.08998671919107437,R_A4,0,5,2018-09-12,STANDARD
7,0.0,281.9955749511719,281.9955749511719,1634.222900390625,52,32,0.09537353366613388,R_A4,0,5,2018-09-12,STANDARD
8,0.0,281.87371826171875,281.87371826171875,1632.39794921875,52,32,0.05340976640582085,R_A4,0,4,2018-09-12,STANDARD
9,0.0,282.1993713378906,282.1993713378906,1637.6126708984375,51,32,0.18094788491725922,R_A4,0,5,2018-09-12,STANDARD
10,0.0,282.07122802734375,282.07122802734375,1635.8140869140625,51,32,0.055734992027282715,R_A4,0,4,2018-09-12,STANDARD
11,0.0,282.3430480957031,282.3430480957031,1638.95947265625,51,33,0.0583723746240139,R_A4,0,4,2018-09-12,STANDARD
12,0.0,282.2197570800781,282.2197570800781,1637.112060546875,51,33,0.05811436101794243,R_A4,0,3,2018-09-12,STANDARD
13,0.0,282.55853271484375,282.55853271484375,1642.9786376953125,50,33,0.10898121446371078,R_A4,0,4,2018-09-12,STANDARD
14,0.0,282.5411682128906,282.5411682128906,1641.7894287109375,50,34,0.05911335349082947,R_A4,0,4,2018-09-12,STANDARD
15,0.0,282.41436767578125,282.41436767578125,1639.8905029296875,50,34,0.062075983732938766,R_A4,0,3,2018-09-12,STANDARD
16,0.0,282.71844482421875,282.71844482421875,1643.205078125,50,35,0.11930958181619644,R_A4,0,3,2018-09-12,STANDARD
17,0.0,282.596923828125,282.596923828125,1641.3829345703125,50,35,0.22659578919410706,R_A4,0,2,2018-09-12,STANDARD
18,0.0,282.4753723144531,282.4753723144531,1639.560791015625,50,35,0.22952833771705627,R_A4,0,1,2018-09-12,STANDARD
19,0.0,282.1414794921875,282.1414794921875,1641.6856689453125,49,35,0.055673085153102875,R_A4,0,30,2018-09-12,STANDARD
20,0.0,281.7274475097656,281.7274475097656,1635.5362548828125,49,35,0.054468944668769836,R_A4,0,29,2018-09-12,STANDARD
21,0.0,290.2107849121094,290.2107849121094,1641.3358154296875,49,36,0.7887017130851746,R_A4,0,29,2018-09-12,STANDARD
22,0.0,282.0400085449219,282.0400085449219,1641.2159423828125,48,36,0.6499623656272888,R_A4,0,29,2018-09-12,STANDARD
23,0.0,282.7323303222656,282.7323303222656,1646.8568115234375,48,37,0.6662318110466003,R_A4,0,29,2018-09-12,STANDARD
24,0.0,283.4822998046875,283.4822998046875,1651.60205078125,48,38,0.19157399237155914,R_A4,0,29,2018-09-12,STANDARD
25,0.0,283.62054443359375,283.62054443359375,1657.017578125,47,38,0.14014610648155212,R_A4,0,29,2018-09-12,STANDARD
1,-1.1592657172751486e-12,279.49176025390625,279.49176025390625,1694.150146484375,42,17,1.0,R_A6,0,1,2018-11-07,STANDARD
2,-3.8315970405169986e-13,279.59228515625,279.59228515625,1695.683349609375,42,17,1.0,R_A6,0,2,2018-11-07,STANDARD
3,-3.230043999196547e-13,279.6697692871094,279.6697692871094,1697.2164306640625,42,17,1.0,R_A6,0,3,2018-11-07,STANDARD
4,-2.9688675563105393e-13,279.72601318359375,279.72601318359375,1698.74951171875,42,17,1.0,R_A6,0,4,2018-11-07,STANDARD
5,-4.932827150222474e-13,279.7889404296875,279.7889404296875,1700.2825927734375,42,17,1.0,R_A6,0,5,2018-11-07,STANDARD
6,-9.87654055761844e-12,279.8914794921875,279.8914794921875,1701.815673828125,42,17,1.0,R_A6,0,6,2018-11-07,STANDARD
7,-4.483255780507456e-11,279.72509765625,279.72509765625,1703.3487548828125,42,17,1.0,R_A6,0,7,2018-11-07,STANDARD
8,-2.6559398777492582e-11,279.8702392578125,279.8702392578125,1704.8818359375,42,17,1.0,R_A6,0,8,2018-11-07,STANDARD
9,-1.857647065686696e-12,280.3221435546875,280.3221435546875,1706.4149169921875,42,17,1.0,R_A6,0,9,2018-11-07,STANDARD
10,-1.6260327502862215e-12,280.3304138183594,280.3304138183594,1707.947998046875,42,17,1.0,R_A6,0,10,2018-11-07,STANDARD
11,3.259418568379857e-10,281.1610412597656,281.1610412597656,1709.877197265625,42,17,1.0,R_A6,0,11,2018-11-07,STANDARD
