SW,KRW,KROW,PCOW,SATNUM,KEYWORD,SG,KRG,KROG,PCOG
0.9382346,0.9721638,0.0,0.0107044,2,SWOF,,,,
0.9582346,0.9811773,0.0,0.0099847,2,SWOF,,,,
0.9782346,0.9901908,0.0,0.0093267,2,SWOF,,,,
0.9982346,0.9992044,0.0,0.0087242,2,SWOF,,,,
1.0,1.0,0.0,0.0086734,2,SWOF,,,,
,,,,2,SGOF,0.0,0.0,1.0,0.0
,,,,2,SGOF,0.05,0.0,0.879971,0.0
,,,,2,SGOF,0.07,9.7e-05,0.824826,0.0
,,,,2,SGOF,0.09,0.0005301,0.7667008,0.0
,,,,2,SGOF,0.11,0.0014524,0.7065024,0.0
,,,,2,SGOF,0.13,0.0029992,0.6452355,0.0
,,,,2,SGOF,0.15,0.0053043,0.5839461,0.0
,,,,2,SGOF,0.17,0.0085046,0.523658,0.0
,,,,2,SGOF,0.19,0.0127422,0.4653139,0.0
,,,,2,SGOF,0.21,0.0181653,0.4097268,0.0
,,,,2,SGOF,0.23,0.0249282,0.3575466,0.0
,,,,2,SGOF,0.25,0.0331905,0.3092455,0.0
,,,,2,SGOF,0.27,0.0431159,0.2651193,0.0
,,,,2,SGOF,0.29,0.0548702,0.2253012,0.0
,,,,2,SGOF,0.31,0.0686188,0.1897843,0.0
,,,,2,SGOF,0.33,0.0845228,0.158449,0.0
,,,,2,SGOF,0.35,0.1027356,0.1310897,0.0
,,,,2,SGOF,0.37,0.123397,0.107441,0.0
,,,,2,SGOF,0.39,0.1466285,0.0871993,0.0
,,,,2,SGOF,0.41,0.1725263,0.0700418,0.0
,,,,2,SGOF,0.43,0.2011553,0.0556406,0.0
,,,,2,SGOF,0.45,0.2325419,0.0436742,0.0
,,,,2,SGOF,0.47,0.266668,0.0338348,0.0
,,,,2,SGOF,0.49,0.303465,0.0258341,0.0
,,,,2,SGOF,0.51,0.3428085,0.0194066,0.0
,,,,2,SGOF,0.53,0.384516,0.0143108,0.0
,,,,2,SGOF,0.55,0.4283445,0.0103305,0.0
,,,,2,SGOF,0.57,0.4739919,0.0072737,0.0
,,,,2,SGOF,0.59,0.5210998,0.004972,0.0
,,,,2,SGOF,0.61,0.5692588,0.0032789,0.0
,,,,2,SGOF,0.63,0.6180159,0.0020683,0.0
,,,,2,SGOF,0.65,0.6668829,0.0012329,0.0
,,,,2,SGOF,0.67,0.7153449,0.0006819,0.0
,,,,2,SGOF,0.69,0.762867,0.0003401,0.0
,,,,2,SGOF,0.71,0.8088949,0.0001455,0.0
,,,,2,SGOF,0.73,0.8528403,4.84e-05,0.0
,,,,2,SGOF,0.75,0.8940184,9.8e-06,0.0
,,,,2,SGOF,0.77,0.9313639,4e-07,0.0
,,,,2,SGOF,0.7817654,0.95,0.0,0.0
,,,,2,SGOF,0.79,0.9541173,0.0,0.0
,,,,2,SGOF,0.81,0.9641173,0.0,0.0
,,,,2,SGOF,0.83,0.9741173,0.0,0.0
,,,,2,SGOF,0.85,0.9841173,0.0,0.0
,,,,2,SGOF,0.87,0.9941173,0.0,0.0
,,,,2,SGOF,0.8817654,1.0,0.0,0.0
0.0211401,0.0,1.0,9.95715,3,SWOF,,,,
0.0311401,0.0,0.9632938,4.2468436,3,SWOF,,,,
0.0411401,9.41e-05,0.9254796,2.3013697,3,SWOF,,,,
0.0611401,0.0007111,0.8494945,0.9626147,3,SWOF,,,,
0.0811401,0.0018797,0.774797,0.5164779,3,SWOF,,,,
0.1011401,0.0036249,0.7023432,0.3180815,3,SWOF,,,,
0.1211401,0.0059865,0.6327697,0.2138634,3,SWOF,,,,
0.1411401,0.0090121,0.5665358,0.1528055,3,SWOF,,,,
0.1611401,0.0127548,0.5039973,0.1141621,3,SWOF,,,,
0.1811401,0.0172725,0.4454356,0.0882547,3,SWOF,,,,
0.2011401,0.0226272,0.3910649,0.0700927,3,SWOF,,,,
0.2211401,0.0288849,0.3410287,0.0568986,3,SWOF,,,,
0.2411401,0.0361153,0.2953944,0.0470302,3,SWOF,,,,
0.2611401,0.0443912,0.2541496,0.0394683,3,SWOF,,,,
0.2811401,0.0537885,0.2172043,0.0335536,3,SWOF,,,,
0.3011401,0.0643853,0.1843986,0.0288456,3,SWOF,,,,
0.3211401,0.0762616,0.1555138,0.0250404,3,SWOF,,,,
