CONKPOS,SGAS,DATE,CONJPOS,CONIPOS,PRESSURE,CONIDX,DEPTH,DRAWDOWN,WELL,SWAT,CONBPRES,WELLMODEL
5,0.0,2018-01-01,20,31,304.7085266113281,5,1694.1485595703125,0,R_A5,1.0,304.7085266113281,STANDARD
6,0.0,2018-01-01,20,31,304.9246520996094,6,1696.4290771484375,0,R_A5,1.0,304.9246520996094,STANDARD
7,0.0,2018-01-01,20,31,305.446533203125,7,1698.70947265625,0,R_A5,1.0,305.446533203125,STANDARD
11,0.0,2018-01-01,20,31,305.988037109375,8,1707.6488037109375,0,R_A5,1.0,305.988037109375,STANDARD
12,0.0,2018-01-01,20,31,306.1695251464844,9,1709.5638427734375,0,R_A5,1.0,306.1695251464844,STANDARD
12,0.0,2018-01-01,21,31,305.4322814941406,10,1701.7845458984375,0,R_A5,1.0,305.4322814941406,STANDARD
13,0.0,2018-01-01,21,31,305.6291198730469,11,1703.735107421875,0,R_A5,1.0,305.6291198730469,STANDARD
14,0.0,2018-01-01,21,31,305.81396484375,12,1705.6856689453125,0,R_A5,1.0,305.81396484375,STANDARD
15,0.0,2018-01-01,21,31,305.9988098144531,13,1707.63623046875,0,R_A5,1.0,305.9988098144531,STANDARD
16,0.0,2018-01-01,21,31,306.1836853027344,14,1709.5867919921875,0,R_A5,1.0,306.1836853027344,STANDARD
17,0.0,2018-01-01,21,31,306.5135498046875,15,1711.537353515625,0,R_A5,1.0,306.5135498046875,STANDARD
18,0.0,2018-01-01,21,31,306.6856994628906,16,1713.35400390625,0,R_A5,1.0,306.6856994628906,STANDARD
19,0.0,2018-01-01,21,31,306.7843933105469,17,1714.3951416015625,0,R_A5,1.0,306.7843933105469,STANDARD
27,0.0,2018-01-01,21,31,306.75689697265625,18,1715.7628173828125,0,R_A5,1.0,306.75689697265625,STANDARD
28,0.0,2018-01-01,21,31,306.978271484375,19,1718.098388671875,0,R_A5,1.0,306.978271484375,STANDARD
29,0.0,2018-01-01,21,31,307.5054016113281,20,1720.43408203125,0,R_A5,1.0,307.5054016113281,STANDARD
30,0.0,2018-01-01,21,31,307.7267761230469,21,1722.7696533203125,0,R_A5,1.0,307.7267761230469,STANDARD
31,0.0,2018-01-01,21,31,307.9481506347656,22,1725.105224609375,0,R_A5,1.0,307.9481506347656,STANDARD
1,0.0,2018-01-01,42,17,305.11419677734375,1,1695.20263671875,0,R_A6,1.0,305.11419677734375,STANDARD
2,0.0,2018-01-01,42,17,305.2609558105469,2,1696.7510986328125,0,R_A6,1.0,305.2609558105469,STANDARD
3,0.0,2018-01-01,42,17,305.4076843261719,3,1698.299560546875,0,R_A6,1.0,305.4076843261719,STANDARD
4,0.0,2018-01-01,42,17,305.554443359375,4,1699.84814453125,0,R_A6,1.0,305.554443359375,STANDARD
5,0.0,2018-01-01,42,17,305.7012023925781,5,1701.3966064453125,0,R_A6,1.0,305.7012023925781,STANDARD
6,0.0,2018-01-01,42,17,305.84796142578125,6,1702.9451904296875,0,R_A6,1.0,305.84796142578125,STANDARD
7,0.0,2018-01-01,42,17,305.6956481933594,7,1704.49365234375,0,R_A6,1.0,305.6956481933594,STANDARD
8,0.0,2018-01-01,42,17,305.8424072265625,8,1706.042236328125,0,R_A6,1.0,305.8424072265625,STANDARD
9,0.0,2018-01-01,42,17,306.2882080078125,9,1707.5906982421875,0,R_A6,1.0,306.2882080078125,STANDARD
10,0.0,2018-01-01,42,17,306.1291809082031,10,1709.1392822265625,0,R_A6,1.0,306.1291809082031,STANDARD
11,0.0,2018-01-01,42,17,306.3109130859375,11,1711.055419921875,0,R_A6,1.0,306.3109130859375,STANDARD
12,0.0,2018-01-01,42,17,306.52734375,12,1713.3392333984375,0,R_A6,1.0,306.52734375,STANDARD
13,0.0,2018-01-01,42,17,306.7557678222656,13,1715.623046875,0,R_A6,1.0,306.7557678222656,STANDARD
14,0.0,2018-01-01,42,17,306.9721984863281,14,1717.9068603515625,0,R_A6,1.0,306.9721984863281,STANDARD
15,0.0,2018-01-01,42,17,307.18865966796875,15,1720.190673828125,0,R_A6,1.0,307.18865966796875,STANDARD
16,0.0,2018-01-01,42,17,307.55010986328125,16,1722.474365234375,0,R_A6,1.0,307.55010986328125,STANDARD
17,0.0,2018-01-01,42,17,307.7665710449219,17,1724.7581787109375,0,R_A6,1.0,307.7665710449219,STANDARD
18,0.0,2018-01-01,42,17,307.921630859375,18,1726.394287109375,0,R_A6,1.0,307.921630859375,STANDARD
27,0.0,2018-01-01,42,17,307.8930969238281,19,1727.7508544921875,0,R_A6,1.0,307.8930969238281,STANDARD
28,0.0,2018-01-01,42,17,308.3623352050781,20,1729.4755859375,0,R_A6,1.0,308.3623352050781,STANDARD
29,0.0,2018-01-01,42,17,308.52581787109375,21,1731.2001953125,0,R_A6,1.0,308.52581787109375,STANDARD
30,0.0,2018-01-01,42,17,308.68927001953125,22,1732.9249267578125,0,R_A6,1.0,308.68927001953125,STANDARD
31,0.0,2018-01-01,42,17,308.5469665527344,23,1734.649658203125,0,R_A6,1.0,308.5469665527344,STANDARD
1,0.0,2018-03-01,30,22,295.1013488769531,1,1641.094970703125,0,R_A2,0.056735001504421234,295.1013488769531,STANDARD
2,0.0,2018-03-01,30,22,295.2214050292969,2,1642.8890380859375,0,R_A2,0.05872789025306702,295.2214050292969,STANDARD
3,0.0,2018-03-01,30,22,295.3414306640625,3,1644.68310546875,0,R_A2,0.06207393854856491,295.3414306640625,STANDARD
4,0.0,2018-03-01,30,22,295.46148681640625,4,1646.4771728515625,0,R_A2,0.0679401382803917,295.46148681640625,STANDARD
5,0.0,2018-03-01,30,22,295.5815734863281,5,1648.2713623046875,0,R_A2,0.07139871269464493,295.5815734863281,STANDARD
6,0.0,2018-03-01,30,22,295.7425231933594,6,1650.0654296875,0,R_A2,0.3215036988258362,295.7425231933594,STANDARD
7,0.0,2018-03-01,30,22,295.8976745605469,7,1651.859619140625,0,R_A2,0.8952201008796692,295.8976745605469,STANDARD
8,0.0,2018-03-01,30,22,296.06103515625,8,1653.6536865234375,0,R_A2,0.7225523591041565,296.06103515625,STANDARD
9,0.0,2018-03-01,30,22,296.53582763671875,9,1655.44775390625,0,R_A2,0.8976823687553406,296.53582763671875,STANDARD
10,0.0,2018-03-01,30,22,296.9267272949219,10,1657.2418212890625,0,R_A2,0.9287922382354736,296.9267272949219,STANDARD
11,0.0,2018-03-01,30,22,300.5802917480469,11,1659.1368408203125,0,R_A2,0.07651818543672562,300.5802917480469,STANDARD
12,0.0,2018-03-01,30,22,300.714111328125,12,1661.132568359375,0,R_A2,0.08005291223526001,300.714111328125,STANDARD
13,0.0,2018-03-01,30,22,300.8485107421875,13,1663.12841796875,0,R_A2,0.4422541558742523,300.8485107421875,STANDARD
14,0.0,2018-03-01,30,22,300.9838562011719,14,1665.1241455078125,0,R_A2,0.5035075545310974,300.9838562011719,STANDARD
15,0.0,2018-03-01,30,22,301.1202697753906,15,1667.1199951171875,0,R_A2,0.6874368190765381,301.1202697753906,STANDARD
16,0.0,2018-03-01,30,22,301.25439453125,16,1669.11572265625,0,R_A2,0.969650149345398,301.25439453125,STANDARD
17,0.0,2018-03-01,30,22,301.38897705078125,17,1671.111572265625,0,R_A2,0.9681596159934998,301.38897705078125,STANDARD
18,0.0,2018-03-01,30,22,301.51544189453125,18,1672.9881591796875,0,R_A2,0.9883153438568115,301.51544189453125,STANDARD
18,0.0,2018-03-01,29,22,301.5422058105469,19,1674.229736328125,0,R_A2,0.9956555366516113,301.5422058105469,STANDARD
27,1.598318771462118e-24,2018-03-01,29,22,303.0234375,20,1676.1676025390625,0,R_A2,1.0,303.0234375,STANDARD
28,8.767728463978123e-25,2018-03-01,29,22,303.47503662109375,21,1677.9368896484375,0,R_A2,1.0,303.47503662109375,STANDARD
29,8.930327487686147e-25,2018-03-01,29,22,303.640380859375,22,1679.7061767578125,0,R_A2,1.0,303.640380859375,STANDARD
30,7.620019170314665e-25,2018-03-01,29,22,303.8065490722656,23,1681.4754638671875,0,R_A2,1.0,303.8065490722656,STANDARD
31,4.750909563164095e-26,2018-03-01,29,22,303.9766845703125,24,1683.2447509765625,0,R_A2,1.0,303.9766845703125,STANDARD
1,-1.8149355108483192e-17,2018-04-28,20,31,263.2857971191406,1,1685.026611328125,0,R_A5,1.0,263.2857971191406,STANDARD
2,-1.5724473488422766e-17,2018-04-28,20,31,263.50115966796875,2,1687.3070068359375,0,R_A5,1.0,263.50115966796875,STANDARD
3,-1.4890462845551888e-18,2018-04-28,20,31,264.02099609375,3,1689.5875244140625,0,R_A5,1.0,264.02099609375,STANDARD
4,-9.667678306122737e-16,2018-04-28,20,31,263.9291687011719,4,1691.8680419921875,0,R_A5,1.0,263.9291687011719,STANDARD
5,-3.690553044373088e-15,2018-04-28,20,31,264.14434814453125,5,1694.1485595703125,0,R_A5,1.0,264.14434814453125,STANDARD
6,-3.614894367458439e-15,2018-04-28,20,31,264.35986328125,6,1696.4290771484375,0,R_A5,1.0,264.35986328125,STANDARD
7,-3.5328465739622105e-16,2018-04-28,20,31,264.89495849609375,7,1698.70947265625,0,R_A5,1.0,264.89495849609375,STANDARD
11,-8.46158470439555e-14,2018-04-28,20,31,267.7960205078125,8,1707.6488037109375,0,R_A5,1.0,267.7960205078125,STANDARD
12,-8.015911881747301e-14,2018-04-28,20,31,267.9921569824219,9,1709.5638427734375,0,R_A5,1.0,267.9921569824219,STANDARD
12,-8.627722668241855e-12,2018-04-28,21,31,266.69024658203125,10,1701.7845458984375,0,R_A5,1.0,266.69024658203125,STANDARD
13,-3.0395762404440696e-13,2018-04-28,21,31,266.8871154785156,11,1703.735107421875,0,R_A5,1.0,266.8871154785156,STANDARD
14,-6.875865979014129e-13,2018-04-28,21,31,267.0718078613281,12,1705.6856689453125,0,R_A5,1.0,267.0718078613281,STANDARD
15,-2.2490088133833575e-13,2018-04-28,21,31,267.25579833984375,13,1707.63623046875,0,R_A5,1.0,267.25579833984375,STANDARD
16,-3.870640516000917e-13,2018-04-28,21,31,267.4270935058594,14,1709.5867919921875,0,R_A5,1.0,267.4270935058594,STANDARD
17,-2.72154057645059e-14,2018-04-28,21,31,267.77008056640625,15,1711.537353515625,0,R_A5,1.0,267.77008056640625,STANDARD
18,-5.5094434738131234e-14,2018-04-28,21,31,267.94720458984375,16,1713.35400390625,0,R_A5,1.0,267.94720458984375,STANDARD
19,0.0,2018-04-28,21,31,268.04638671875,17,1714.3951416015625,0,R_A5,1.0,268.04638671875,STANDARD
27,-1.2266244945225054e-14,2018-04-28,21,31,278.77960205078125,18,1715.7628173828125,0,R_A5,1.0,278.77960205078125,STANDARD
28,-7.127357040605416e-15,2018-04-28,21,31,278.9916076660156,19,1718.098388671875,0,R_A5,1.0,278.9916076660156,STANDARD
29,1.8532040292309603e-22,2018-04-28,21,31,291.4150390625,20,1720.43408203125,0,R_A5,1.0,291.4150390625,STANDARD
30,7.227123308544608e-23,2018-04-28,21,31,293.6269226074219,21,1722.7696533203125,0,R_A5,1.0,293.6269226074219,STANDARD
31,2.2604029844533735e-23,2018-04-28,21,31,285.0799255371094,22,1725.105224609375,0,R_A5,1.0,285.0799255371094,STANDARD
1,0.0,2018-07-03,41,28,276.7928466796875,1,1609.243408203125,0,R_A3,0.6495478749275208,276.7928466796875,STANDARD
2,0.0,2018-07-03,41,28,276.9320068359375,2,1611.3077392578125,0,R_A3,0.1940332055091858,276.9320068359375,STANDARD
3,0.0,2018-07-03,41,28,277.06982421875,3,1613.3720703125,0,R_A3,0.19478489458560944,277.06982421875,STANDARD
4,0.0,2018-07-03,41,28,277.2082824707031,4,1615.4365234375,0,R_A3,0.25041210651397705,277.2082824707031,STANDARD
5,0.0,2018-07-03,41,28,277.3464050292969,5,1617.5008544921875,0,R_A3,0.6496579051017761,277.3464050292969,STANDARD
6,0.0,2018-07-03,41,28,277.484130859375,6,1619.565185546875,0,R_A3,0.15023335814476013,277.484130859375,STANDARD
6,0.0,2018-07-03,41,29,276.81500244140625,7,1609.3663330078125,0,R_A3,0.2757341265678406,276.81500244140625,STANDARD
7,0.0,2018-07-03,41,29,276.95111083984375,8,1611.4163818359375,0,R_A3,0.19924615323543549,276.95111083984375,STANDARD
8,0.0,2018-07-03,41,29,277.0873107910156,9,1613.46630859375,0,R_A3,0.1464463621377945,277.0873107910156,STANDARD
9,0.0,2018-07-03,41,29,277.2237548828125,10,1615.516357421875,0,R_A3,0.6515117883682251,277.2237548828125,STANDARD
10,0.0,2018-07-03,41,29,277.9842834472656,11,1617.5662841796875,0,R_A3,0.8017743825912476,277.9842834472656,STANDARD
11,0.0,2018-07-03,41,29,298.39837646484375,12,1619.750732421875,0,R_A3,0.04831528291106224,298.39837646484375,STANDARD
12,0.0,2018-07-03,41,29,298.55377197265625,13,1622.0697021484375,0,R_A3,0.05389803275465965,298.55377197265625,STANDARD
13,0.0,2018-07-03,41,29,298.70928955078125,14,1624.388671875,0,R_A3,0.37264853715896606,298.70928955078125,STANDARD
14,0.0,2018-07-03,41,29,298.8777160644531,15,1626.707763671875,0,R_A3,0.34564408659935,298.8777160644531,STANDARD
15,0.0,2018-07-03,41,29,299.0762023925781,16,1629.026611328125,0,R_A3,0.49333456158638,299.0762023925781,STANDARD
16,0.0,2018-07-03,41,29,299.2056579589844,17,1630.9468994140625,0,R_A3,0.8018798232078552,299.2056579589844,STANDARD
27,0.0,2018-07-03,41,29,292.7679138183594,18,1633.5262451171875,0,R_A3,0.6486227512359619,292.7679138183594,STANDARD
28,0.0,2018-07-03,41,29,288.50323486328125,19,1637.1630859375,0,R_A3,0.04588768631219864,288.50323486328125,STANDARD
29,0.0,2018-07-03,41,29,288.74639892578125,20,1640.8001708984375,0,R_A3,0.05234513059258461,288.74639892578125,STANDARD
30,0.0,2018-07-03,41,29,289.0002746582031,21,1644.4371337890625,0,R_A3,0.6494547724723816,289.0002746582031,STANDARD
31,0.0,2018-07-03,41,29,289.2611083984375,22,1648.0740966796875,0,R_A3,0.06135347858071327,289.2611083984375,STANDARD
1,0.0,2018-09-12,52,30,278.6401062011719,1,1631.1873779296875,0,R_A4,0.05190545320510864,278.6401062011719,STANDARD
1,0.0,2018-09-12,52,31,278.4588623046875,2,1627.4293212890625,0,R_A4,0.05088312551379204,278.4588623046875,STANDARD
2,0.0,2018-09-12,52,31,278.5962219238281,3,1629.4896240234375,0,R_A4,0.05181800201535225,278.5962219238281,STANDARD
3,0.0,2018-09-12,52,31,278.7336120605469,4,1631.5498046875,0,R_A4,0.05373690649867058,278.7336120605469,STANDARD
4,0.0,2018-09-12,52,31,278.8756408691406,5,1633.610107421875,0,R_A4,0.6508873701095581,278.8756408691406,STANDARD
4,0.0,2018-09-12,52,32,278.8280334472656,6,1632.3968505859375,0,R_A4,0.05725223198533058,278.8280334472656,STANDARD
4,0.0,2018-09-12,51,32,279.0469970703125,7,1635.880615234375,0,R_A4,0.6513428092002869,279.0469970703125,STANDARD
4,0.0,2018-09-12,51,33,279.1535339355469,8,1637.321044921875,0,R_A4,0.650496244430542,279.1535339355469,STANDARD
3,0.0,2018-09-12,51,33,279.03173828125,9,1635.474609375,0,R_A4,0.05960599705576897,279.03173828125,STANDARD
4,0.0,2018-09-12,50,33,279.444580078125,10,1642.1485595703125,0,R_A4,0.6512596607208252,279.444580078125,STANDARD
4,0.0,2018-09-12,50,34,279.38031005859375,11,1641.132080078125,0,R_A4,0.09944663941860199,279.38031005859375,STANDARD
3,0.0,2018-09-12,50,34,279.2523193359375,12,1639.20703125,0,R_A4,0.15547582507133484,279.2523193359375,STANDARD
3,0.0,2018-09-12,50,35,279.3340759277344,13,1640.9061279296875,0,R_A4,0.22986163198947906,279.3340759277344,STANDARD
2,0.0,2018-09-12,50,35,279.21160888671875,14,1639.0426025390625,0,R_A4,0.22923438251018524,279.21160888671875,STANDARD
2,0.0,2018-09-12,49,35,279.3743591308594,15,1641.93212890625,0,R_A4,0.24133668839931488,279.3743591308594,STANDARD
30,0.0,2018-09-12,49,36,278.4356994628906,16,1642.357421875,0,R_A4,0.05277448520064354,278.4356994628906,STANDARD
30,0.0,2018-09-12,48,36,278.0782775878906,17,1639.6068115234375,0,R_A4,0.1902228742837906,278.0782775878906,STANDARD
30,0.0,2018-09-12,48,37,278.7273254394531,18,1646.7513427734375,0,R_A4,0.09972105920314789,278.7273254394531,STANDARD
30,0.0,2018-09-12,48,38,279.32537841796875,19,1653.461669921875,0,R_A4,0.14775590598583221,279.32537841796875,STANDARD
30,0.0,2018-09-12,47,38,279.5110168457031,20,1657.8184814453125,0,R_A4,0.1417361944913864,279.5110168457031,STANDARD
1,-3.260016022865915e-14,2018-11-07,42,17,272.43682861328125,1,1695.20263671875,0,R_A6,1.0,272.43682861328125,STANDARD
2,-2.0572641355222354e-14,2018-11-07,42,17,272.581787109375,2,1696.7510986328125,0,R_A6,1.0,272.581787109375,STANDARD
3,-1.48813067039422e-14,2018-11-07,42,17,272.7241516113281,3,1698.299560546875,0,R_A6,1.0,272.7241516113281,STANDARD
4,-1.2484427079910605e-14,2018-11-07,42,17,272.86279296875,4,1699.84814453125,0,R_A6,1.0,272.86279296875,STANDARD
5,-1.7023246351509196e-14,2018-11-07,42,17,272.99969482421875,5,1701.3966064453125,0,R_A6,1.0,272.99969482421875,STANDARD
6,-8.548011473999417e-13,2018-11-07,42,17,273.1396484375,6,1702.9451904296875,0,R_A6,1.0,273.1396484375,STANDARD
7,-1.4761352947270656e-12,2018-11-07,42,17,272.98516845703125,7,1704.49365234375,0,R_A6,1.0,272.98516845703125,STANDARD
8,-2.5604570005020866e-13,2018-11-07,42,17,273.1316223144531,8,1706.042236328125,0,R_A6,1.0,273.1316223144531,STANDARD
9,-5.913676395363082e-14,2018-11-07,42,17,273.5632629394531,9,1707.5906982421875,0,R_A6,1.0,273.5632629394531,STANDARD
10,-8.042537122388005e-12,2018-11-07,42,17,273.3482971191406,10,1709.1392822265625,0,R_A6,1.0,273.3482971191406,STANDARD
11,0.0,2018-11-07,42,17,283.34002685546875,11,1711.055419921875,0,R_A6,1.0,283.34002685546875,STANDARD
12,0.0,2018-11-07,42,17,283.4853820800781,12,1713.3392333984375,0,R_A6,1.0,283.4853820800781,STANDARD
13,0.0,2018-11-07,42,17,283.7196350097656,13,1715.623046875,0,R_A6,1.0,283.7196350097656,STANDARD
14,0.0,2018-11-07,42,17,283.9359436035156,14,1717.9068603515625,0,R_A6,1.0,283.9359436035156,STANDARD
15,0.0,2018-11-07,42,17,284.152587890625,15,1720.190673828125,0,R_A6,1.0,284.152587890625,STANDARD
16,0.0,2018-11-07,42,17,284.51641845703125,16,1722.474365234375,0,R_A6,1.0,284.51641845703125,STANDARD
