DRAWDOWN,WELL,PRESSURE,WELLMODEL,DATE,DEPTH,CONIPOS,CONBPRES,CONIDX,SWAT,CONKPOS,SGAS,CONJPOS
0,R_A3,298.2369689941406,STANDARD,2018-01-01,1602.8609619140625,29,298.2369689941406,4,0.18369530141353607,3,0.0,41
0,R_A3,298.3791198730469,STANDARD,2018-01-01,1604.9820556640625,29,298.3791198730469,5,0.3050796389579773,4,0.0,41
0,R_A3,298.5212707519531,STANDARD,2018-01-01,1607.1031494140625,29,298.5212707519531,6,0.8067643046379089,5,0.0,41
0,R_A3,298.6634216308594,STANDARD,2018-01-01,1609.2242431640625,29,298.6634216308594,7,0.6625194549560547,6,0.0,41
0,R_A3,298.8055725097656,STANDARD,2018-01-01,1611.345458984375,29,298.8055725097656,8,0.19213935732841492,7,0.0,41
0,R_A3,298.94775390625,STANDARD,2018-01-01,1613.466552734375,29,298.94775390625,9,0.19204135239124298,8,0.0,41
0,R_A3,299.08990478515625,STANDARD,2018-01-01,1615.587646484375,29,299.08990478515625,10,0.7941159605979919,9,0.0,41
0,R_A3,299.2320861816406,STANDARD,2018-01-01,1617.7088623046875,29,299.2320861816406,11,0.7994593381881714,10,0.0,41
0,R_A3,299.3802795410156,STANDARD,2018-01-01,1619.9195556640625,29,299.3802795410156,12,0.04564325138926506,11,0.0,41
0,R_A3,299.5344543457031,STANDARD,2018-01-01,1622.2198486328125,29,299.5344543457031,13,0.05321623012423515,12,0.0,41
0,R_A3,299.68865966796875,STANDARD,2018-01-01,1624.5201416015625,29,299.68865966796875,14,0.3636811077594757,13,0.0,41
0,R_A3,299.8428649902344,STANDARD,2018-01-01,1626.8204345703125,29,299.8428649902344,15,0.1969621330499649,14,0.0,41
0,R_A3,299.9970703125,STANDARD,2018-01-01,1629.1207275390625,29,299.9970703125,16,0.5000165104866028,15,0.0,41
0,R_A3,300.1306457519531,STANDARD,2018-01-01,1631.113037109375,29,300.1306457519531,17,0.8065580725669861,16,0.0,41
0,R_A3,300.31951904296875,STANDARD,2018-01-01,1633.9300537109375,29,300.31951904296875,18,0.3657170832157135,25,0.0,41
0,R_A3,300.56463623046875,STANDARD,2018-01-01,1637.5859375,29,300.56463623046875,19,0.04312317818403244,26,0.0,41
0,R_A3,300.8097839355469,STANDARD,2018-01-01,1641.241943359375,29,300.8097839355469,20,0.049619197845458984,27,0.0,41
0,R_A3,301.054931640625,STANDARD,2018-01-01,1644.8978271484375,29,301.054931640625,21,0.13066443800926208,28,0.0,41
0,R_A3,301.30010986328125,STANDARD,2018-01-01,1648.5537109375,29,301.30010986328125,22,0.060937028378248215,29,0.0,41
0,R_A4,300.156005859375,STANDARD,2018-01-01,1631.4912109375,30,300.156005859375,1,0.04992065951228142,1,0.0,52
0,R_A4,299.89923095703125,STANDARD,2018-01-01,1627.6611328125,31,299.89923095703125,2,0.048793159425258636,1,0.0,52
0,R_A4,300.0335388183594,STANDARD,2018-01-01,1629.66455078125,31,300.0335388183594,3,0.04955275356769562,2,0.0,52
0,R_A4,300.1678466796875,STANDARD,2018-01-01,1631.66796875,31,300.1678466796875,4,0.05296961963176727,3,0.0,52
0,R_A4,300.3021545410156,STANDARD,2018-01-01,1633.6712646484375,31,300.3021545410156,5,0.054766349494457245,4,0.0,52
0,R_A4,300.15289306640625,STANDARD,2018-01-01,1631.44482421875,32,300.15289306640625,6,0.052703697234392166,4,0.0,52
0,R_A4,300.27789306640625,STANDARD,2018-01-01,1633.3094482421875,32,300.27789306640625,7,0.15383383631706238,5,0.0,52
0,R_A4,300.53387451171875,STANDARD,2018-01-01,1637.127197265625,32,300.53387451171875,8,0.30783021450042725,5,0.0,51
0,R_A4,300.5310363769531,STANDARD,2018-01-01,1637.0845947265625,33,300.5310363769531,9,0.23639795184135437,5,0.0,51
0,R_A4,300.4089050292969,STANDARD,2018-01-01,1635.2633056640625,33,300.4089050292969,10,0.055980075150728226,4,0.0,51
