CONIPOS,WELL,DEPTH,CONIDX,CONKPOS,DRAWDOWN,CONBPRES,DATE,WELLMODEL,PRESSURE,CONJPOS,SGAS,SWAT
22,R_A2,1679.7239990234375,24,27,0,303.64739990234375,2018-01-01,STANDARD,303.64739990234375,29,0.0,1.0
22,R_A2,1681.6090087890625,25,28,0,303.8260192871094,2018-01-01,STANDARD,303.8260192871094,29,0.0,1.0
28,R_A3,1612.33154296875,1,1,0,298.7102966308594,2018-01-01,STANDARD,298.7102966308594,41,0.0,0.6481541991233826
28,R_A3,1614.360107421875,2,2,0,298.84625244140625,2018-01-01,STANDARD,298.84625244140625,41,0.0,0.19950388371944427
28,R_A3,1616.388671875,3,3,0,298.9822082519531,2018-01-01,STANDARD,298.9822082519531,41,0.0,0.19782593846321106
28,R_A3,1618.417236328125,4,4,0,299.1181640625,2018-01-01,STANDARD,299.1181640625,41,0.0,0.16109400987625122
28,R_A3,1620.44580078125,5,5,0,299.254150390625,2018-01-01,STANDARD,299.254150390625,41,0.0,0.21489383280277252
28,R_A3,1622.474365234375,6,6,0,299.3901062011719,2018-01-01,STANDARD,299.3901062011719,41,0.0,0.1616443693637848
29,R_A3,1610.069580078125,7,6,0,298.5586853027344,2018-01-01,STANDARD,298.5586853027344,41,0.0,0.6481541991233826
29,R_A3,1612.076416015625,8,7,0,298.69317626953125,2018-01-01,STANDARD,298.69317626953125,41,0.0,0.1992500275373459
29,R_A3,1614.083251953125,9,8,0,298.82769775390625,2018-01-01,STANDARD,298.82769775390625,41,0.0,0.20108214020729065
29,R_A3,1616.090087890625,10,9,0,298.9621887207031,2018-01-01,STANDARD,298.9621887207031,41,0.0,0.8021807670593262
29,R_A3,1618.0968017578125,11,10,0,299.0967102050781,2018-01-01,STANDARD,299.0967102050781,41,0.0,0.8063237071037292
29,R_A3,1620.16943359375,12,11,0,299.235595703125,2018-01-01,STANDARD,299.235595703125,41,0.0,0.04795639589428902
29,R_A3,1622.3074951171875,13,12,0,299.3789367675781,2018-01-01,STANDARD,299.3789367675781,41,0.0,0.05542803928256035
29,R_A3,1624.4456787109375,14,13,0,299.5222473144531,2018-01-01,STANDARD,299.5222473144531,41,0.0,0.3651687502861023
29,R_A3,1626.5838623046875,15,14,0,299.66558837890625,2018-01-01,STANDARD,299.66558837890625,41,0.0,0.3458520472049713
29,R_A3,1628.7220458984375,16,15,0,299.8089294433594,2018-01-01,STANDARD,299.8089294433594,41,0.0,0.5019893050193787
29,R_A3,1630.4583740234375,17,16,0,299.9253234863281,2018-01-01,STANDARD,299.9253234863281,41,0.0,0.810001015663147
29,R_A3,1631.2294921875,18,17,0,299.9770202636719,2018-01-01,STANDARD,299.9770202636719,41,0.0,0.7880316972732544
29,R_A3,1633.066650390625,19,24,0,300.1001892089844,2018-01-01,STANDARD,300.1001892089844,41,0.0,0.6481541991233826
29,R_A3,1636.53369140625,20,25,0,300.3326416015625,2018-01-01,STANDARD,300.3326416015625,41,0.0,0.04942772164940834
29,R_A3,1640.000732421875,21,26,0,300.5650939941406,2018-01-01,STANDARD,300.5650939941406,41,0.0,0.05267496779561043
29,R_A3,1643.4677734375,22,27,0,300.7975769042969,2018-01-01,STANDARD,300.7975769042969,41,0.0,0.6481541991233826
29,R_A3,1646.9346923828125,23,28,0,301.0300598144531,2018-01-01,STANDARD,301.0300598144531,41,0.0,0.06194547191262245
30,R_A4,1627.0322265625,1,1,0,299.6956481933594,2018-01-01,STANDARD,299.6956481933594,52,0.0,0.050339650362730026
31,R_A4,1625.26806640625,2,1,0,299.577392578125,2018-01-01,STANDARD,299.577392578125,52,0.0,0.05048727989196777
31,R_A4,1627.349853515625,3,2,0,299.7169189453125,2018-01-01,STANDARD,299.7169189453125,52,0.0,0.05067690461874008
31,R_A4,1629.4315185546875,4,3,0,299.8564758300781,2018-01-01,STANDARD,299.8564758300781,52,0.0,0.052424944937229156
