WELLMODEL,DEPTH,DATE,CONKPOS,SGAS,WELL,CONBPRES,CONIPOS,DRAWDOWN,PRESSURE,SWAT,CONIDX,CONJPOS
STANDARD,1699.802001953125,2018-01-01,13,0.0,R_A5,305.2563781738281,31,0,305.2563781738281,1.0,11,21
STANDARD,1701.771728515625,2018-01-01,14,0.0,R_A5,305.4430236816406,31,0,305.4430236816406,1.0,12,21
STANDARD,1703.741455078125,2018-01-01,15,0.0,R_A5,305.62969970703125,31,0,305.62969970703125,1.0,13,21
STANDARD,1705.711181640625,2018-01-01,16,0.0,R_A5,305.9613952636719,31,0,305.9613952636719,1.0,14,21
STANDARD,1707.680908203125,2018-01-01,17,0.0,R_A5,306.1480712890625,31,0,306.1480712890625,1.0,15,21
STANDARD,1709.6505126953125,2018-01-01,18,0.0,R_A5,306.3347473144531,31,0,306.3347473144531,1.0,16,21
STANDARD,1711.2083740234375,2018-01-01,19,0.0,R_A5,306.48236083984375,31,0,306.48236083984375,1.0,17,21
STANDARD,1713.1549072265625,2018-01-01,26,0.0,R_A5,306.5097351074219,31,0,306.5097351074219,1.0,18,21
STANDARD,1715.9017333984375,2018-01-01,27,0.0,R_A5,306.77008056640625,31,0,306.77008056640625,1.0,19,21
STANDARD,1718.6485595703125,2018-01-01,28,0.0,R_A5,307.3362121582031,31,0,307.3362121582031,1.0,20,21
STANDARD,1721.3955078125,2018-01-01,29,0.0,R_A5,307.5965270996094,31,0,307.5965270996094,1.0,21,21
STANDARD,1724.142333984375,2018-01-01,30,0.0,R_A5,307.85687255859375,31,0,307.85687255859375,1.0,22,21
STANDARD,1695.6683349609375,2018-01-01,1,0.0,R_A6,305.1583251953125,17,0,305.1583251953125,1.0,1,42
STANDARD,1697.2279052734375,2018-01-01,2,0.0,R_A6,305.3061218261719,17,0,305.3061218261719,1.0,2,42
STANDARD,1698.7874755859375,2018-01-01,3,0.0,R_A6,305.45391845703125,17,0,305.45391845703125,1.0,3,42
STANDARD,1700.3470458984375,2018-01-01,4,0.0,R_A6,305.6017150878906,17,0,305.6017150878906,1.0,4,42
STANDARD,1701.9066162109375,2018-01-01,5,0.0,R_A6,305.7495422363281,17,0,305.7495422363281,1.0,5,42
STANDARD,1703.46630859375,2018-01-01,6,0.0,R_A6,305.8973388671875,17,0,305.8973388671875,1.0,6,42
STANDARD,1705.02587890625,2018-01-01,7,0.0,R_A6,306.0451354980469,17,0,306.0451354980469,1.0,7,42
STANDARD,1706.58544921875,2018-01-01,8,0.0,R_A6,306.19293212890625,17,0,306.19293212890625,1.0,8,42
STANDARD,1708.14501953125,2018-01-01,9,0.0,R_A6,306.3407287597656,17,0,306.3407287597656,1.0,9,42
STANDARD,1709.70458984375,2018-01-01,10,0.0,R_A6,306.1827392578125,17,0,306.1827392578125,1.0,10,42
STANDARD,1711.6715087890625,2018-01-01,11,0.0,R_A6,306.3692932128906,17,0,306.3692932128906,1.0,11,42
STANDARD,1714.0457763671875,2018-01-01,12,0.0,R_A6,306.59429931640625,17,0,306.59429931640625,1.0,12,42
STANDARD,1716.420166015625,2018-01-01,13,0.0,R_A6,306.831298828125,17,0,306.831298828125,1.0,13,42
STANDARD,1718.79443359375,2018-01-01,14,0.0,R_A6,307.05633544921875,17,0,307.05633544921875,1.0,14,42
STANDARD,1721.168701171875,2018-01-01,15,0.0,R_A6,307.4263610839844,17,0,307.4263610839844,1.0,15,42
STANDARD,1723.5430908203125,2018-01-01,16,0.0,R_A6,307.6513977050781,17,0,307.6513977050781,1.0,16,42
STANDARD,1725.9173583984375,2018-01-01,17,0.0,R_A6,307.8764343261719,17,0,307.8764343261719,1.0,17,42
STANDARD,1727.3465576171875,2018-01-01,18,0.0,R_A6,308.0118713378906,17,0,308.0118713378906,1.0,18,42
STANDARD,1728.459228515625,2018-01-01,26,0.0,R_A6,307.9602355957031,17,0,307.9602355957031,1.0,19,42
STANDARD,1730.2005615234375,2018-01-01,27,0.0,R_A6,308.4310607910156,17,0,308.4310607910156,1.0,20,42
STANDARD,1731.9417724609375,2018-01-01,28,0.0,R_A6,308.5960998535156,17,0,308.5960998535156,1.0,21,42
STANDARD,1733.68310546875,2018-01-01,29,0.0,R_A6,308.7611389160156,17,0,308.7611389160156,1.0,22,42
STANDARD,1735.4244384765625,2018-01-01,30,0.0,R_A6,308.6203918457031,17,0,308.6203918457031,1.0,23,42
STANDARD,1636.760009765625,2018-03-01,1,0.0,R_A2,297.05657958984375,22,0,297.05657958984375,0.05749028921127319,1,30
STANDARD,1638.5157470703125,2018-03-01,2,0.0,R_A2,297.1741943359375,22,0,297.1741943359375,0.05806611105799675,2,30
STANDARD,1640.271484375,2018-03-01,3,0.0,R_A2,297.2918395996094,22,0,297.2918395996094,0.06191035732626915,3,30
STANDARD,1642.0272216796875,2018-03-01,4,0.0,R_A2,297.4094543457031,22,0,297.4094543457031,0.06636082381010056,4,30
STANDARD,1643.782958984375,2018-03-01,5,0.0,R_A2,297.527099609375,22,0,297.527099609375,0.07003065198659897,5,30
STANDARD,1645.53857421875,2018-03-01,6,0.0,R_A2,297.6447448730469,22,0,297.6447448730469,0.1380986124277115,6,30
STANDARD,1647.2943115234375,2018-03-01,7,0.0,R_A2,297.79351806640625,22,0,297.79351806640625,0.729479968547821,7,30
STANDARD,1649.050048828125,2018-03-01,8,0.0,R_A2,297.926025390625,22,0,297.926025390625,0.8793807029724121,8,30
STANDARD,1650.8056640625,2018-03-01,9,0.0,R_A2,298.0507507324219,22,0,298.0507507324219,0.8918948769569397,9,30
STANDARD,1652.5615234375,2018-03-01,10,0.0,R_A2,298.43463134765625,22,0,298.43463134765625,0.9165005683898926,10,30
STANDARD,1654.4404296875,2018-03-01,11,0.0,R_A2,299.76019287109375,22,0,299.76019287109375,0.08113818615674973,11,30
STANDARD,1656.4425048828125,2018-03-01,12,0.0,R_A2,299.7604675292969,22,0,299.7604675292969,0.24726000428199768,12,30
STANDARD,1658.4447021484375,2018-03-01,13,0.0,R_A2,300.072265625,22,0,300.072265625,0.4674259424209595,13,30
STANDARD,1660.44677734375,2018-03-01,14,0.0,R_A2,300.2109069824219,22,0,300.2109069824219,0.6185057163238525,14,30
STANDARD,1662.448974609375,2018-03-01,15,0.0,R_A2,300.3475646972656,22,0,300.3475646972656,0.9581735134124756,15,30
STANDARD,1665.7318115234375,2018-03-01,15,0.0,R_A2,300.50994873046875,22,0,300.50994873046875,0.9738024473190308,16,29
STANDARD,1667.9818115234375,2018-03-01,16,0.0,R_A2,300.65972900390625,22,0,300.65972900390625,0.9709999561309814,17,29
STANDARD,1670.2318115234375,2018-03-01,17,0.0,R_A2,300.8100280761719,22,0,300.8100280761719,0.9660330414772034,18,29
STANDARD,1671.966796875,2018-03-01,18,0.0,R_A2,300.92620849609375,22,0,300.92620849609375,0.9953989386558533,19,29
STANDARD,1673.482177734375,2018-03-01,26,4.97949426104486e-14,R_A2,302.1282043457031,22,0,302.1282043457031,1.0,20,29
STANDARD,1675.2928466796875,2018-03-01,27,2.563284222838267e-16,R_A2,303.1751708984375,22,0,303.1751708984375,1.0,21,29
STANDARD,1677.103515625,2018-03-01,28,-4.2512236723823945e-20,R_A2,303.3809814453125,22,0,303.3809814453125,1.0,22,29
STANDARD,1678.9141845703125,2018-03-01,29,-5.182816450224635e-20,R_A2,303.56451416015625,22,0,303.56451416015625,1.0,23,29
STANDARD,1680.724853515625,2018-03-01,30,-1.7124748636644537e-20,R_A2,303.7397155761719,22,0,303.7397155761719,1.0,24,29
STANDARD,1684.932861328125,2018-04-28,1,-5.880115230946118e-19,R_A5,263.9052734375,31,0,263.9052734375,1.0,1,20
STANDARD,1687.2569580078125,2018-04-28,2,-4.126297841492173e-18,R_A5,264.125244140625,31,0,264.125244140625,1.0,2,20
STANDARD,1689.5810546875,2018-04-28,3,-3.1124370403466463e-18,R_A5,264.3451843261719,31,0,264.3451843261719,1.0,3,20
STANDARD,1691.905029296875,2018-04-28,4,-4.541595448552996e-18,R_A5,264.56512451171875,31,0,264.56512451171875,1.0,4,20
STANDARD,1694.2291259765625,2018-04-28,5,-4.350825679012035e-18,R_A5,264.7850341796875,31,0,264.7850341796875,1.0,5,20
STANDARD,1696.55322265625,2018-04-28,6,-4.5527636275933806e-18,R_A5,265.00494384765625,31,0,265.00494384765625,1.0,6,20
STANDARD,1698.877197265625,2018-04-28,7,-1.6666493808464427e-20,R_A5,265.5426940917969,31,0,265.5426940917969,1.0,7,20
STANDARD,1708.017822265625,2018-04-28,11,-5.247343019625615e-14,R_A5,266.637451171875,31,0,266.637451171875,1.0,8,20
STANDARD,1710.030517578125,2018-04-28,12,-9.780885275962811e-14,R_A5,266.8663635253906,31,0,266.8663635253906,1.0,9,20
STANDARD,1697.832275390625,2018-04-28,12,-1.314071057913549e-13,R_A5,265.13671875,31,0,265.13671875,1.0,10,21
STANDARD,1699.802001953125,2018-04-28,13,-1.3208530982562836e-14,R_A5,265.33697509765625,31,0,265.33697509765625,1.0,11,21
STANDARD,1701.771728515625,2018-04-28,14,-3.071301147975804e-14,R_A5,265.5254821777344,31,0,265.5254821777344,1.0,12,21
STANDARD,1703.741455078125,2018-04-28,15,-8.076576889649422e-15,R_A5,265.71405029296875,31,0,265.71405029296875,1.0,13,21
STANDARD,1705.711181640625,2018-04-28,16,-9.462180489822319e-15,R_A5,266.0534362792969,31,0,266.0534362792969,1.0,14,21
STANDARD,1707.680908203125,2018-04-28,17,-1.288122707559017e-15,R_A5,266.2607727050781,31,0,266.2607727050781,1.0,15,21
STANDARD,1709.6505126953125,2018-04-28,18,-2.9283144478860473e-15,R_A5,266.4682922363281,31,0,266.4682922363281,1.0,16,21
STANDARD,1711.2083740234375,2018-04-28,19,-4.067311181729432e-15,R_A5,266.6221008300781,31,0,266.6221008300781,1.0,17,21
STANDARD,1713.1549072265625,2018-04-28,26,-3.4364904585165723e-13,R_A5,280.2017517089844,31,0,280.2017517089844,1.0,18,21
STANDARD,1715.9017333984375,2018-04-28,27,-4.3636210096675843e-13,R_A5,280.4908752441406,31,0,280.4908752441406,1.0,19,21
STANDARD,1718.6485595703125,2018-04-28,28,-3.264130773398405e-13,R_A5,281.05462646484375,31,0,281.05462646484375,1.0,20,21
STANDARD,1721.3955078125,2018-04-28,29,-2.690838003804874e-13,R_A5,281.3330078125,31,0,281.3330078125,1.0,21,21
