CONKPOS,DATE,CONIPOS,DEPTH,CONIDX,SWAT,WELL,WELLMODEL,PRESSURE,DRAWDOWN,CONJPOS,CONBPRES,SGAS
1,2018-01-01,28,1609.9671630859375,1,0.0794743075966835,R_A3,STANDARD,298.7190246582031,0,41,298.7190246582031,0.0
1,2018-01-01,29,1597.7392578125,2,0.6481541991233826,R_A3,STANDARD,297.89959716796875,0,41,297.89959716796875,0.0
2,2018-01-01,29,1599.931640625,3,0.11823459714651108,R_A3,STANDARD,298.0464782714844,0,41,298.0464782714844,0.0
3,2018-01-01,29,1602.1240234375,4,0.14809228479862213,R_A3,STANDARD,298.19342041015625,0,41,298.19342041015625,0.0
4,2018-01-01,29,1604.3165283203125,5,0.35266146063804626,R_A3,STANDARD,298.34033203125,0,41,298.34033203125,0.0
5,2018-01-01,29,1606.5089111328125,6,0.8060622215270996,R_A3,STANDARD,298.48724365234375,0,41,298.48724365234375,0.0
6,2018-01-01,29,1608.701416015625,7,0.6481541991233826,R_A3,STANDARD,298.6341857910156,0,41,298.6341857910156,0.0
7,2018-01-01,29,1610.893798828125,8,0.1930006593465805,R_A3,STANDARD,298.7811279296875,0,41,298.7811279296875,0.0
8,2018-01-01,29,1613.086181640625,9,0.19428876042366028,R_A3,STANDARD,298.9280700683594,0,41,298.9280700683594,0.0
9,2018-01-01,29,1615.2786865234375,10,0.7923592329025269,R_A3,STANDARD,299.07501220703125,0,41,299.07501220703125,0.0
10,2018-01-01,29,1617.47119140625,11,0.7996971607208252,R_A3,STANDARD,299.2219543457031,0,41,299.2219543457031,0.0
11,2018-01-01,29,1619.7103271484375,12,0.046748675405979156,R_A3,STANDARD,299.3720397949219,0,41,299.3720397949219,0.0
12,2018-01-01,29,1621.996337890625,13,0.05062998831272125,R_A3,STANDARD,299.5252990722656,0,41,299.5252990722656,0.0
13,2018-01-01,29,1624.2823486328125,14,0.3561496436595917,R_A3,STANDARD,299.67852783203125,0,41,299.67852783203125,0.0
15,2018-01-01,29,1628.854248046875,15,0.6411460041999817,R_A3,STANDARD,299.9850158691406,0,41,299.9850158691406,0.0
16,2018-01-01,29,1630.8936767578125,16,0.7964515089988708,R_A3,STANDARD,300.1217346191406,0,41,300.1217346191406,0.0
25,2018-01-01,29,1633.974853515625,17,1.0,R_A3,STANDARD,300.32830810546875,0,41,300.32830810546875,0.0
26,2018-01-01,29,1637.6934814453125,18,0.04199829697608948,R_A3,STANDARD,300.57763671875,0,41,300.57763671875,0.0
27,2018-01-01,29,1641.4119873046875,19,0.04934775456786156,R_A3,STANDARD,300.8269958496094,0,41,300.8269958496094,0.0
28,2018-01-01,29,1645.130615234375,20,0.668108344078064,R_A3,STANDARD,301.07635498046875,0,41,301.07635498046875,0.0
29,2018-01-01,29,1648.8492431640625,21,0.6481541991233826,R_A3,STANDARD,301.3257141113281,0,41,301.3257141113281,0.0
1,2018-01-01,30,1630.6231689453125,1,0.04802289605140686,R_A4,STANDARD,300.1036071777344,0,52,300.1036071777344,0.0
1,2018-01-01,31,1627.2435302734375,2,0.04868539050221443,R_A4,STANDARD,299.8770446777344,0,52,299.8770446777344,0.0
2,2018-01-01,31,1629.28369140625,3,0.049384985119104385,R_A4,STANDARD,300.0138244628906,0,52,300.0138244628906,0.0
3,2018-01-01,31,1631.3238525390625,4,0.05162592977285385,R_A4,STANDARD,300.1506042480469,0,52,300.1506042480469,0.0
4,2018-01-01,31,1633.3641357421875,5,0.053032588213682175,R_A4,STANDARD,300.2873840332031,0,52,300.2873840332031,0.0
4,2018-01-01,32,1633.310302734375,6,0.05586138367652893,R_A4,STANDARD,300.28375244140625,0,52,300.28375244140625,0.0
5,2018-01-01,32,1635.173583984375,7,0.11586734652519226,R_A4,STANDARD,300.40869140625,0,52,300.40869140625,0.0
