CONKPOS,CONIDX,DEPTH,WELL,SWAT,DRAWDOWN,DATE,CONBPRES,CONIPOS,WELLMODEL,SGAS,PRESSURE,CONJPOS
28,21,1677.9368896484375,R_A2,1.0,0,2018-01-01,303.47802734375,22,STANDARD,0.0,303.47802734375,29
29,22,1679.7061767578125,R_A2,1.0,0,2018-01-01,303.64569091796875,22,STANDARD,0.0,303.64569091796875,29
30,23,1681.4754638671875,R_A2,1.0,0,2018-01-01,303.8133544921875,22,STANDARD,0.0,303.8133544921875,29
31,24,1683.2447509765625,R_A2,1.0,0,2018-01-01,303.98101806640625,22,STANDARD,0.0,303.98101806640625,29
1,1,1609.243408203125,R_A3,0.6481541991233826,0,2018-01-01,298.53814697265625,28,STANDARD,0.0,298.53814697265625,41
2,2,1611.3077392578125,R_A3,0.22876429557800293,0,2018-01-01,298.676513671875,28,STANDARD,0.0,298.676513671875,41
3,3,1613.3720703125,R_A3,0.19760067760944366,0,2018-01-01,298.8148498535156,28,STANDARD,0.0,298.8148498535156,41
4,4,1615.4365234375,R_A3,0.3792901039123535,0,2018-01-01,298.9532165527344,28,STANDARD,0.0,298.9532165527344,41
5,5,1617.5008544921875,R_A3,0.8267315626144409,0,2018-01-01,299.0915832519531,28,STANDARD,0.0,299.0915832519531,41
6,6,1619.565185546875,R_A3,0.22688354551792145,0,2018-01-01,299.2299499511719,28,STANDARD,0.0,299.2299499511719,41
6,7,1609.3663330078125,R_A3,0.26596105098724365,0,2018-01-01,298.54638671875,29,STANDARD,0.0,298.54638671875,41
7,8,1611.4163818359375,R_A3,0.19722381234169006,0,2018-01-01,298.68377685546875,29,STANDARD,0.0,298.68377685546875,41
8,9,1613.46630859375,R_A3,0.3807685971260071,0,2018-01-01,298.8211669921875,29,STANDARD,0.0,298.8211669921875,41
9,10,1615.516357421875,R_A3,0.8020743727684021,0,2018-01-01,298.95855712890625,29,STANDARD,0.0,298.95855712890625,41
10,11,1617.5662841796875,R_A3,0.7998339533805847,0,2018-01-01,299.095947265625,29,STANDARD,0.0,299.095947265625,41
11,12,1619.750732421875,R_A3,0.048946261405944824,0,2018-01-01,299.24237060546875,29,STANDARD,0.0,299.24237060546875,41
12,13,1622.0697021484375,R_A3,0.05424661189317703,0,2018-01-01,299.3978271484375,29,STANDARD,0.0,299.3978271484375,41
13,14,1624.388671875,R_A3,0.3695291578769684,0,2018-01-01,299.5532531738281,29,STANDARD,0.0,299.5532531738281,41
14,15,1626.707763671875,R_A3,0.36767199635505676,0,2018-01-01,299.7087097167969,29,STANDARD,0.0,299.7087097167969,41
15,16,1629.026611328125,R_A3,0.4412824809551239,0,2018-01-01,299.8641662597656,29,STANDARD,0.0,299.8641662597656,41
16,17,1630.9468994140625,R_A3,0.8111897110939026,0,2018-01-01,299.992919921875,29,STANDARD,0.0,299.992919921875,41
27,18,1633.5262451171875,R_A3,0.37905046343803406,0,2018-01-01,300.16583251953125,29,STANDARD,0.0,300.16583251953125,41
28,19,1637.1630859375,R_A3,0.04574024677276611,0,2018-01-01,300.40966796875,29,STANDARD,0.0,300.40966796875,41
29,20,1640.8001708984375,R_A3,0.05056381970643997,0,2018-01-01,300.6535339355469,29,STANDARD,0.0,300.6535339355469,41
30,21,1644.4371337890625,R_A3,0.6481541991233826,0,2018-01-01,300.89739990234375,29,STANDARD,0.0,300.89739990234375,41
31,22,1648.0740966796875,R_A3,0.06256569176912308,0,2018-01-01,301.14129638671875,29,STANDARD,0.0,301.14129638671875,41
1,1,1631.1873779296875,R_A4,0.05170147493481636,0,2018-01-01,300.009033203125,30,STANDARD,0.0,300.009033203125,52
1,2,1627.4293212890625,R_A4,0.048609890043735504,0,2018-01-01,299.7571105957031,31,STANDARD,0.0,299.7571105957031,52
2,3,1629.4896240234375,R_A4,0.05221238359808922,0,2018-01-01,299.89520263671875,31,STANDARD,0.0,299.89520263671875,52
3,4,1631.5498046875,R_A4,0.054313696920871735,0,2018-01-01,300.0333251953125,31,STANDARD,0.0,300.0333251953125,52
4,5,1633.610107421875,R_A4,0.05736476555466652,0,2018-01-01,300.17144775390625,31,STANDARD,0.0,300.17144775390625,52
4,6,1632.3968505859375,R_A4,0.056389473378658295,0,2018-01-01,300.0901184082031,32,STANDARD,0.0,300.0901184082031,52
4,7,1635.880615234375,R_A4,0.05910776928067207,0,2018-01-01,300.3236999511719,32,STANDARD,0.0,300.3236999511719,51
4,8,1637.321044921875,R_A4,0.05742491036653519,0,2018-01-01,300.4202575683594,33,STANDARD,0.0,300.4202575683594,51
3,9,1635.474609375,R_A4,0.05627985671162605,0,2018-01-01,300.29644775390625,33,STANDARD,0.0,300.29644775390625,51
4,10,1642.1485595703125,R_A4,0.06314294040203094,0,2018-01-01,300.74395751953125,33,STANDARD,0.0,300.74395751953125,50
4,11,1641.132080078125,R_A4,0.06145904213190079,0,2018-01-01,300.67578125,34,STANDARD,0.0,300.67578125,50
3,12,1639.20703125,R_A4,0.1401393711566925,0,2018-01-01,300.5467224121094,34,STANDARD,0.0,300.5467224121094,50
3,13,1640.9061279296875,R_A4,0.14248615503311157,0,2018-01-01,300.66064453125,35,STANDARD,0.0,300.66064453125,50
2,14,1639.0426025390625,R_A4,0.23273660242557526,0,2018-01-01,300.53570556640625,35,STANDARD,0.0,300.53570556640625,50
2,15,1641.93212890625,R_A4,0.23657433688640594,0,2018-01-01,300.72943115234375,35,STANDARD,0.0,300.72943115234375,49
30,16,1642.357421875,R_A4,1.0,0,2018-01-01,300.7579650878906,36,STANDARD,0.0,300.7579650878906,49
30,17,1639.6068115234375,R_A4,0.6481541991233826,0,2018-01-01,300.5735168457031,36,STANDARD,0.0,300.5735168457031,48
30,18,1646.7513427734375,R_A4,0.6481541991233826,0,2018-01-01,301.0526123046875,37,STANDARD,0.0,301.0526123046875,48
30,19,1653.461669921875,R_A4,0.6481541991233826,0,2018-01-01,301.5025939941406,38,STANDARD,0.0,301.5025939941406,48
30,20,1657.8184814453125,R_A4,0.6481541991233826,0,2018-01-01,301.7947998046875,38,STANDARD,0.0,301.7947998046875,47
1,1,1685.026611328125,R_A5,1.0,0,2018-01-01,303.8440856933594,31,STANDARD,0.0,303.8440856933594,20
2,2,1687.3070068359375,R_A5,1.0,0,2018-01-01,304.0601806640625,31,STANDARD,0.0,304.0601806640625,20
3,3,1689.5875244140625,R_A5,1.0,0,2018-01-01,304.27630615234375,31,STANDARD,0.0,304.27630615234375,20
4,4,1691.8680419921875,R_A5,1.0,0,2018-01-01,304.4924011230469,31,STANDARD,0.0,304.4924011230469,20
5,5,1694.1485595703125,R_A5,1.0,0,2018-01-01,304.7085266113281,31,STANDARD,0.0,304.7085266113281,20
6,6,1696.4290771484375,R_A5,1.0,0,2018-01-01,304.9246520996094,31,STANDARD,0.0,304.9246520996094,20
7,7,1698.70947265625,R_A5,1.0,0,2018-01-01,305.446533203125,31,STANDARD,0.0,305.446533203125,20
11,8,1707.6488037109375,R_A5,1.0,0,2018-01-01,305.988037109375,31,STANDARD,0.0,305.988037109375,20
12,9,1709.5638427734375,R_A5,1.0,0,2018-01-01,306.1695251464844,31,STANDARD,0.0,306.1695251464844,20
12,10,1701.7845458984375,R_A5,1.0,0,2018-01-01,305.4322814941406,31,STANDARD,0.0,305.4322814941406,21
13,11,1703.735107421875,R_A5,1.0,0,2018-01-01,305.6291198730469,31,STANDARD,0.0,305.6291198730469,21
14,12,1705.6856689453125,R_A5,1.0,0,2018-01-01,305.81396484375,31,STANDARD,0.0,305.81396484375,21
15,13,1707.63623046875,R_A5,1.0,0,2018-01-01,305.9988098144531,31,STANDARD,0.0,305.9988098144531,21
16,14,1709.5867919921875,R_A5,1.0,0,2018-01-01,306.3287048339844,31,STANDARD,0.0,306.3287048339844,21
17,15,1711.537353515625,R_A5,1.0,0,2018-01-01,306.5135498046875,31,STANDARD,0.0,306.5135498046875,21
18,16,1713.35400390625,R_A5,1.0,0,2018-01-01,306.6856994628906,31,STANDARD,0.0,306.6856994628906,21
19,17,1714.3951416015625,R_A5,1.0,0,2018-01-01,306.7843933105469,31,STANDARD,0.0,306.7843933105469,21
27,18,1715.7628173828125,R_A5,1.0,0,2018-01-01,306.75689697265625,31,STANDARD,0.0,306.75689697265625,21
28,19,1718.098388671875,R_A5,1.0,0,2018-01-01,306.978271484375,31,STANDARD,0.0,306.978271484375,21
29,20,1720.43408203125,R_A5,1.0,0,2018-01-01,307.5054016113281,31,STANDARD,0.0,307.5054016113281,21
30,21,1722.7696533203125,R_A5,1.0,0,2018-01-01,307.7267761230469,31,STANDARD,0.0,307.7267761230469,21
31,22,1725.105224609375,R_A5,1.0,0,2018-01-01,307.9481506347656,31,STANDARD,0.0,307.9481506347656,21
1,1,1695.20263671875,R_A6,1.0,0,2018-01-01,305.11419677734375,17,STANDARD,0.0,305.11419677734375,42
2,2,1696.7510986328125,R_A6,1.0,0,2018-01-01,305.2609558105469,17,STANDARD,0.0,305.2609558105469,42
3,3,1698.299560546875,R_A6,1.0,0,2018-01-01,305.4076843261719,17,STANDARD,0.0,305.4076843261719,42
4,4,1699.84814453125,R_A6,1.0,0,2018-01-01,305.554443359375,17,STANDARD,0.0,305.554443359375,42
5,5,1701.3966064453125,R_A6,1.0,0,2018-01-01,305.7012023925781,17,STANDARD,0.0,305.7012023925781,42
6,6,1702.9451904296875,R_A6,1.0,0,2018-01-01,305.84796142578125,17,STANDARD,0.0,305.84796142578125,42
7,7,1704.49365234375,R_A6,1.0,0,2018-01-01,305.6956481933594,17,STANDARD,0.0,305.6956481933594,42
8,8,1706.042236328125,R_A6,1.0,0,2018-01-01,305.8424072265625,17,STANDARD,0.0,305.8424072265625,42
9,9,1707.5906982421875,R_A6,1.0,0,2018-01-01,306.2882080078125,17,STANDARD,0.0,306.2882080078125,42
10,10,1709.1392822265625,R_A6,1.0,0,2018-01-01,306.1291809082031,17,STANDARD,0.0,306.1291809082031,42
11,11,1711.055419921875,R_A6,1.0,0,2018-01-01,306.3109130859375,17,STANDARD,0.0,306.3109130859375,42
12,12,1713.3392333984375,R_A6,1.0,0,2018-01-01,306.52734375,17,STANDARD,0.0,306.52734375,42
13,13,1715.623046875,R_A6,1.0,0,2018-01-01,306.7557678222656,17,STANDARD,0.0,306.7557678222656,42
14,14,1717.9068603515625,R_A6,1.0,0,2018-01-01,306.9721984863281,17,STANDARD,0.0,306.9721984863281,42
15,15,1720.190673828125,R_A6,1.0,0,2018-01-01,307.18865966796875,17,STANDARD,0.0,307.18865966796875,42
16,16,1722.474365234375,R_A6,1.0,0,2018-01-01,307.55010986328125,17,STANDARD,0.0,307.55010986328125,42
17,17,1724.7581787109375,R_A6,1.0,0,2018-01-01,307.7665710449219,17,STANDARD,0.0,307.7665710449219,42
18,18,1726.394287109375,R_A6,1.0,0,2018-01-01,307.921630859375,17,STANDARD,0.0,307.921630859375,42
27,19,1727.7508544921875,R_A6,1.0,0,2018-01-01,307.8930969238281,17,STANDARD,0.0,307.8930969238281,42
28,20,1729.4755859375,R_A6,1.0,0,2018-01-01,308.3623352050781,17,STANDARD,0.0,308.3623352050781,42
29,21,1731.2001953125,R_A6,1.0,0,2018-01-01,308.52581787109375,17,STANDARD,0.0,308.52581787109375,42
30,22,1732.9249267578125,R_A6,1.0,0,2018-01-01,308.68927001953125,17,STANDARD,0.0,308.68927001953125,42
31,23,1734.649658203125,R_A6,1.0,0,2018-01-01,308.5469665527344,17,STANDARD,0.0,308.5469665527344,42
1,1,1641.094970703125,R_A2,0.05651019886136055,0,2018-03-01,298.5448303222656,22,STANDARD,0.0,298.5448303222656,30
2,2,1642.8890380859375,R_A2,0.057102058082818985,0,2018-03-01,298.6650390625,22,STANDARD,0.0,298.6650390625,30
3,3,1644.68310546875,R_A2,0.06135116517543793,0,2018-03-01,298.7852783203125,22,STANDARD,0.0,298.7852783203125,30
4,4,1646.4771728515625,R_A2,0.06754299253225327,0,2018-03-01,298.905517578125,22,STANDARD,0.0,298.905517578125,30
5,5,1648.2713623046875,R_A2,0.07106412202119827,0,2018-03-01,299.0257568359375,22,STANDARD,0.0,299.0257568359375,30
6,6,1650.0654296875,R_A2,0.32156845927238464,0,2018-03-01,299.15155029296875,22,STANDARD,0.0,299.15155029296875,30
7,7,1651.859619140625,R_A2,0.6902656555175781,0,2018-03-01,299.33251953125,22,STANDARD,0.0,299.33251953125,30
8,8,1653.6536865234375,R_A2,0.6482838988304138,0,2018-03-01,299.48486328125,22,STANDARD,0.0,299.48486328125,30
9,9,1655.44775390625,R_A2,0.6485296487808228,0,2018-03-01,299.6131896972656,22,STANDARD,0.0,299.6131896972656,30
10,10,1657.2418212890625,R_A2,0.9161295890808105,0,2018-03-01,299.9394836425781,22,STANDARD,0.0,299.9394836425781,30
11,11,1659.1368408203125,R_A2,0.07605580240488052,0,2018-03-01,300.1188659667969,22,STANDARD,0.0,300.1188659667969,30
12,12,1661.132568359375,R_A2,0.08104410767555237,0,2018-03-01,300.252685546875,22,STANDARD,0.0,300.252685546875,30
13,13,1663.12841796875,R_A2,0.456808865070343,0,2018-03-01,300.38787841796875,22,STANDARD,0.0,300.38787841796875,30
14,14,1665.1241455078125,R_A2,0.5043330192565918,0,2018-03-01,300.5245666503906,22,STANDARD,0.0,300.5245666503906,30
15,15,1667.1199951171875,R_A2,0.6864729523658752,0,2018-03-01,300.66217041015625,22,STANDARD,0.0,300.66217041015625,30
16,16,1669.11572265625,R_A2,0.9750913381576538,0,2018-03-01,300.79656982421875,22,STANDARD,0.0,300.79656982421875,30
17,17,1671.111572265625,R_A2,0.959568977355957,0,2018-03-01,300.9311828613281,22,STANDARD,0.0,300.9311828613281,30
18,18,1672.9881591796875,R_A2,0.9807531833648682,0,2018-03-01,301.0573425292969,22,STANDARD,0.0,301.0573425292969,30
18,19,1674.229736328125,R_A2,0.9992626309394836,0,2018-03-01,301.05926513671875,22,STANDARD,0.0,301.05926513671875,29
27,20,1676.1676025390625,R_A2,1.0,0,2018-03-01,302.9803466796875,22,STANDARD,-3.408237979492766e-14,302.9803466796875,29
28,21,1677.9368896484375,R_A2,1.0,0,2018-03-01,303.4346618652344,22,STANDARD,-2.3850931605705512e-14,303.4346618652344,29
29,22,1679.7061767578125,R_A2,1.0,0,2018-03-01,302.9443664550781,22,STANDARD,-4.3864328835852007e-11,302.9443664550781,29
30,23,1681.4754638671875,R_A2,1.0,0,2018-03-01,303.7579040527344,22,STANDARD,-1.429621937325265e-13,303.7579040527344,29
31,24,1683.2447509765625,R_A2,1.0,0,2018-03-01,303.93463134765625,22,STANDARD,-2.000022157166558e-14,303.93463134765625,29
1,1,1685.026611328125,R_A5,1.0,0,2018-04-28,276.5865478515625,31,STANDARD,-4.231724935472702e-15,276.5865478515625,20
2,2,1687.3070068359375,R_A5,1.0,0,2018-04-28,276.8027038574219,31,STANDARD,-2.829435904322386e-12,276.8027038574219,20
3,3,1689.5875244140625,R_A5,1.0,0,2018-04-28,277.01873779296875,31,STANDARD,-3.866228084209444e-12,277.01873779296875,20
4,4,1691.8680419921875,R_A5,1.0,0,2018-04-28,277.2347412109375,31,STANDARD,-3.304475616749958e-12,277.2347412109375,20
5,5,1694.1485595703125,R_A5,1.0,0,2018-04-28,277.45074462890625,31,STANDARD,-3.0016510110808525e-12,277.45074462890625,20
6,6,1696.4290771484375,R_A5,1.0,0,2018-04-28,277.66668701171875,31,STANDARD,-3.0349869752782643e-12,277.66668701171875,20
7,7,1698.70947265625,R_A5,1.0,0,2018-04-28,278.2016296386719,31,STANDARD,-2.0177608905545472e-14,278.2016296386719,20
11,8,1707.6488037109375,R_A5,1.0,0,2018-04-28,277.1925354003906,31,STANDARD,-3.275843832306613e-11,277.1925354003906,20
12,9,1709.5638427734375,R_A5,1.0,0,2018-04-28,277.37432861328125,31,STANDARD,-3.9831461046135885e-11,277.37432861328125,20
12,10,1701.7845458984375,R_A5,1.0,0,2018-04-28,275.98052978515625,31,STANDARD,-1.167649865685405e-10,275.98052978515625,21
13,11,1703.735107421875,R_A5,1.0,0,2018-04-28,276.18231201171875,31,STANDARD,-3.0537664411078858e-12,276.18231201171875,21
14,12,1705.6856689453125,R_A5,1.0,0,2018-04-28,276.3746337890625,31,STANDARD,-5.167853991960847e-12,276.3746337890625,21
15,13,1707.63623046875,R_A5,1.0,0,2018-04-28,276.5871276855469,31,STANDARD,-1.1192299257528626e-12,276.5871276855469,21
16,14,1709.5867919921875,R_A5,1.0,0,2018-04-28,276.9995422363281,31,STANDARD,-1.0284805776125672e-12,276.9995422363281,21
17,15,1711.537353515625,R_A5,1.0,0,2018-04-28,277.3731384277344,31,STANDARD,-3.614062716629507e-13,277.3731384277344,21
18,16,1713.35400390625,R_A5,1.0,0,2018-04-28,277.73907470703125,31,STANDARD,-9.040536331703097e-13,277.73907470703125,21
19,17,1714.3951416015625,R_A5,1.0,0,2018-04-28,277.91583251953125,31,STANDARD,0.0,277.91583251953125,21
27,18,1715.7628173828125,R_A5,1.0,0,2018-04-28,277.9429016113281,31,STANDARD,-2.2003673026422393e-13,277.9429016113281,21
28,19,1718.098388671875,R_A5,1.0,0,2018-04-28,278.1867980957031,31,STANDARD,-3.1100881418832937e-13,278.1867980957031,21
29,20,1720.43408203125,R_A5,1.0,0,2018-04-28,278.7528991699219,31,STANDARD,-1.3868471892960731e-18,278.7528991699219,21
30,21,1722.7696533203125,R_A5,1.0,0,2018-04-28,283.09832763671875,31,STANDARD,-1.3653983703699741e-15,283.09832763671875,21
31,22,1725.105224609375,R_A5,1.0,0,2018-04-28,298.39703369140625,31,STANDARD,-4.07178137877322e-20,298.39703369140625,21
1,1,1609.243408203125,R_A3,0.6500617861747742,0,2018-07-03,280.0401916503906,28,STANDARD,0.0,280.0401916503906,41
2,2,1611.3077392578125,R_A3,0.22956602275371552,0,2018-07-03,280.1833190917969,28,STANDARD,0.0,280.1833190917969,41
3,3,1613.3720703125,R_A3,0.19931094348430634,0,2018-07-03,280.3216857910156,28,STANDARD,0.0,280.3216857910156,41
4,4,1615.4365234375,R_A3,0.38237372040748596,0,2018-07-03,280.5030822753906,28,STANDARD,0.0,280.5030822753906,41
5,5,1617.5008544921875,R_A3,0.8191885948181152,0,2018-07-03,280.8811340332031,28,STANDARD,0.0,280.8811340332031,41
6,6,1619.565185546875,R_A3,0.227121502161026,0,2018-07-03,281.0450134277344,28,STANDARD,0.0,281.0450134277344,41
6,7,1609.3663330078125,R_A3,0.2659149169921875,0,2018-07-03,280.3371276855469,29,STANDARD,0.0,280.3371276855469,41
7,8,1611.4163818359375,R_A3,0.19826874136924744,0,2018-07-03,280.4748229980469,29,STANDARD,0.0,280.4748229980469,41
8,9,1613.46630859375,R_A3,0.3828333914279938,0,2018-07-03,280.62249755859375,29,STANDARD,0.0,280.62249755859375,41
9,10,1615.516357421875,R_A3,0.8010219931602478,0,2018-07-03,280.8320007324219,29,STANDARD,0.0,280.8320007324219,41
10,11,1617.5662841796875,R_A3,0.7979292273521423,0,2018-07-03,282.9222106933594,29,STANDARD,0.0,282.9222106933594,41
11,12,1619.750732421875,R_A3,0.04905514419078827,0,2018-07-03,283.2835388183594,29,STANDARD,0.0,283.2835388183594,41
12,13,1622.0697021484375,R_A3,0.05438116192817688,0,2018-07-03,283.4383850097656,29,STANDARD,0.0,283.4383850097656,41
13,14,1624.388671875,R_A3,0.370103657245636,0,2018-07-03,283.5946960449219,29,STANDARD,0.0,283.5946960449219,41
14,15,1626.707763671875,R_A3,0.36843809485435486,0,2018-07-03,283.75140380859375,29,STANDARD,0.0,283.75140380859375,41
15,16,1629.026611328125,R_A3,0.44227853417396545,0,2018-07-03,283.9149169921875,29,STANDARD,0.0,283.9149169921875,41
16,17,1630.9468994140625,R_A3,0.8102859854698181,0,2018-07-03,284.07037353515625,29,STANDARD,0.0,284.07037353515625,41
27,18,1633.5262451171875,R_A3,0.37903892993927,0,2018-07-03,283.9454650878906,29,STANDARD,0.0,283.9454650878906,41
28,19,1637.1630859375,R_A3,0.04582562297582626,0,2018-07-03,284.1593933105469,29,STANDARD,0.0,284.1593933105469,41
29,20,1640.8001708984375,R_A3,0.05069407448172569,0,2018-07-03,284.4022521972656,29,STANDARD,0.0,284.4022521972656,41
30,21,1644.4371337890625,R_A3,0.6495387554168701,0,2018-07-03,284.654541015625,29,STANDARD,0.0,284.654541015625,41
31,22,1648.0740966796875,R_A3,0.06266916543245316,0,2018-07-03,284.89697265625,29,STANDARD,0.0,284.89697265625,41
1,1,1631.1873779296875,R_A4,0.0518060140311718,0,2018-09-12,277.2254943847656,30,STANDARD,0.0,277.2254943847656,52
1,2,1627.4293212890625,R_A4,0.0487622395157814,0,2018-09-12,277.10211181640625,31,STANDARD,0.0,277.10211181640625,52
2,3,1629.4896240234375,R_A4,0.052351173013448715,0,2018-09-12,277.2393798828125,31,STANDARD,0.0,277.2393798828125,52
3,4,1631.5498046875,R_A4,0.05444372817873955,0,2018-09-12,277.3766174316406,31,STANDARD,0.0,277.3766174316406,52
4,5,1633.610107421875,R_A4,0.05747676268219948,0,2018-09-12,277.5138244628906,31,STANDARD,0.0,277.5138244628906,52
4,6,1632.3968505859375,R_A4,0.05652308091521263,0,2018-09-12,277.5567626953125,32,STANDARD,0.0,277.5567626953125,52
4,7,1635.880615234375,R_A4,0.05919690430164337,0,2018-09-12,277.628173828125,32,STANDARD,0.0,277.628173828125,51
4,8,1637.321044921875,R_A4,0.05756302550435066,0,2018-09-12,277.858642578125,33,STANDARD,0.0,277.858642578125,51
3,9,1635.474609375,R_A4,0.05644303932785988,0,2018-09-12,277.735595703125,33,STANDARD,0.0,277.735595703125,51
4,10,1642.1485595703125,R_A4,0.06333830952644348,0,2018-09-12,278.0047607421875,33,STANDARD,0.0,278.0047607421875,50
4,11,1641.132080078125,R_A4,0.06167187541723251,0,2018-09-12,278.09918212890625,34,STANDARD,0.0,278.09918212890625,50
3,12,1639.20703125,R_A4,0.14035698771476746,0,2018-09-12,277.9719543457031,34,STANDARD,0.0,277.9719543457031,50
3,13,1640.9061279296875,R_A4,0.1427828073501587,0,2018-09-12,278.20574951171875,35,STANDARD,0.0,278.20574951171875,50
2,14,1639.0426025390625,R_A4,0.2331087738275528,0,2018-09-12,278.0810241699219,35,STANDARD,0.0,278.0810241699219,50
2,15,1641.93212890625,R_A4,0.23698514699935913,0,2018-09-12,278.1956481933594,35,STANDARD,0.0,278.1956481933594,49
30,16,1642.357421875,R_A4,1.0,0,2018-09-12,284.77593994140625,36,STANDARD,5.331575025219193e-12,284.77593994140625,49
30,17,1639.6068115234375,R_A4,0.6499055624008179,0,2018-09-12,278.1587219238281,36,STANDARD,0.0,278.1587219238281,48
30,18,1646.7513427734375,R_A4,0.6511610746383667,0,2018-09-12,278.8984680175781,37,STANDARD,0.0,278.8984680175781,48
30,19,1653.461669921875,R_A4,0.6542840600013733,0,2018-09-12,279.6075439453125,38,STANDARD,0.0,279.6075439453125,48
30,20,1657.8184814453125,R_A4,0.6810938715934753,0,2018-09-12,279.68853759765625,38,STANDARD,0.0,279.68853759765625,47
1,1,1695.20263671875,R_A6,1.0,0,2018-11-07,274.890625,17,STANDARD,-3.1287995000435577e-18,274.890625,42
2,2,1696.7510986328125,R_A6,1.0,0,2018-11-07,275.0356750488281,17,STANDARD,-5.8931986432972925e-18,275.0356750488281,42
3,3,1698.299560546875,R_A6,1.0,0,2018-11-07,275.17791748046875,17,STANDARD,-5.378212123943722e-18,275.17791748046875,42
4,4,1699.84814453125,R_A6,1.0,0,2018-11-07,275.3157958984375,17,STANDARD,-6.536018068105114e-18,275.3157958984375,42
5,5,1701.3966064453125,R_A6,1.0,0,2018-11-07,275.4514465332031,17,STANDARD,-5.396585873300056e-18,275.4514465332031,42
6,6,1702.9451904296875,R_A6,1.0,0,2018-11-07,275.59124755859375,17,STANDARD,-1.3327759022580996e-16,275.59124755859375,42
7,7,1704.49365234375,R_A6,1.0,0,2018-11-07,275.4354553222656,17,STANDARD,-2.2866228805347194e-16,275.4354553222656,42
8,8,1706.042236328125,R_A6,1.0,0,2018-11-07,275.58233642578125,17,STANDARD,-3.177247385802727e-17,275.58233642578125,42
9,9,1707.5906982421875,R_A6,1.0,0,2018-11-07,276.0273742675781,17,STANDARD,-5.290037152187407e-18,276.0273742675781,42
10,10,1709.1392822265625,R_A6,1.0,0,2018-11-07,275.8653259277344,17,STANDARD,-1.3863981170774212e-15,275.8653259277344,42
11,11,1711.055419921875,R_A6,1.0,0,2018-11-07,276.05810546875,17,STANDARD,-1.4837672013422632e-15,276.05810546875,42
12,12,1713.3392333984375,R_A6,1.0,0,2018-11-07,276.2742004394531,17,STANDARD,-1.0401561415909256e-15,276.2742004394531,42
13,13,1715.623046875,R_A6,1.0,0,2018-11-07,276.50189208984375,17,STANDARD,-7.778736997277218e-17,276.50189208984375,42
14,14,1717.9068603515625,R_A6,1.0,0,2018-11-07,276.7169189453125,17,STANDARD,-5.438747930866374e-17,276.7169189453125,42
15,15,1720.190673828125,R_A6,1.0,0,2018-11-07,276.92449951171875,17,STANDARD,-3.036519809933571e-17,276.92449951171875,42
