WELLMODEL,CONJPOS,SGAS,PRESSURE,CONKPOS,CONIPOS,DATE,SWAT,CONBPRES,WELL,DEPTH,CONIDX,DRAWDOWN
STANDARD,41,0.0,299.21441650390625,9,29,2018-01-01,0.79680335521698,299.21441650390625,R_A3,1618.2489013671875,10,0
STANDARD,41,0.0,299.349609375,10,29,2018-01-01,0.8041900396347046,299.349609375,R_A3,1620.2662353515625,11,0
STANDARD,41,0.0,299.49285888671875,11,29,2018-01-01,0.04829642176628113,299.49285888671875,R_A3,1622.4031982421875,12,0
STANDARD,41,0.0,299.6441345214844,12,29,2018-01-01,0.054844729602336884,299.6441345214844,R_A3,1624.659912109375,13,0
STANDARD,41,0.0,299.79541015625,13,29,2018-01-01,0.37173399329185486,299.79541015625,R_A3,1626.91650390625,14,0
STANDARD,41,0.0,300.0979919433594,15,29,2018-01-01,0.49902448058128357,300.0979919433594,R_A3,1631.4296875,15,0
STANDARD,41,0.0,300.2071533203125,16,29,2018-01-01,0.805046796798706,300.2071533203125,R_A3,1633.057861328125,16,0
STANDARD,41,0.0,300.3526611328125,26,29,2018-01-01,1.0,300.3526611328125,R_A3,1635.2281494140625,17,0
STANDARD,41,0.0,300.57666015625,27,29,2018-01-01,0.04516378417611122,300.57666015625,R_A3,1638.569091796875,18,0
STANDARD,41,0.0,300.8006591796875,28,29,2018-01-01,0.05123041570186615,300.8006591796875,R_A3,1641.9097900390625,19,0
STANDARD,41,0.0,301.0246887207031,29,29,2018-01-01,0.6481541991233826,301.0246887207031,R_A3,1645.2506103515625,20,0
STANDARD,41,0.0,301.24871826171875,30,29,2018-01-01,0.060757990926504135,301.24871826171875,R_A3,1648.591552734375,21,0
STANDARD,52,0.0,299.8562927246094,1,30,2018-01-01,0.05015812814235687,299.8562927246094,R_A4,1627.824462890625,1,0
STANDARD,52,0.0,299.5831604003906,1,31,2018-01-01,0.0896693766117096,299.5831604003906,R_A4,1623.7503662109375,2,0
STANDARD,52,0.0,299.7215881347656,2,31,2018-01-01,0.07636383920907974,299.7215881347656,R_A4,1625.815185546875,3,0
STANDARD,52,0.0,299.8600158691406,3,31,2018-01-01,0.06463579833507538,299.8600158691406,R_A4,1627.8800048828125,4,0
STANDARD,52,0.0,299.9984436035156,4,31,2018-01-01,0.0499730259180069,299.9984436035156,R_A4,1629.94482421875,5,0
STANDARD,52,0.0,300.1368713378906,5,31,2018-01-01,0.053324561566114426,300.1368713378906,R_A4,1632.009521484375,6,0
STANDARD,52,0.0,300.2752990722656,6,31,2018-01-01,0.05547306314110756,300.2752990722656,R_A4,1634.0743408203125,7,0
STANDARD,52,0.0,300.26055908203125,6,32,2018-01-01,0.05561673641204834,300.26055908203125,R_A4,1633.8544921875,8,0
STANDARD,51,0.0,300.2727355957031,6,32,2018-01-01,0.05438333377242088,300.2727355957031,R_A4,1634.0362548828125,9,0
STANDARD,51,0.0,300.1524353027344,5,32,2018-01-01,0.052176423370838165,300.1524353027344,R_A4,1632.241943359375,10,0
STANDARD,51,0.0,300.47454833984375,5,33,2018-01-01,0.05815403163433075,300.47454833984375,R_A4,1637.046142578125,11,0
STANDARD,50,0.0,300.7634582519531,5,33,2018-01-01,0.05952742323279381,300.7634582519531,R_A4,1641.355224609375,12,0
STANDARD,50,0.0,300.7442932128906,5,34,2018-01-01,0.06145348399877548,300.7442932128906,R_A4,1641.0689697265625,13,0
STANDARD,50,0.0,300.62103271484375,4,34,2018-01-01,0.062128499150276184,300.62103271484375,R_A4,1639.2308349609375,14,0
STANDARD,50,0.0,300.8591003417969,4,35,2018-01-01,0.062348976731300354,300.8591003417969,R_A4,1642.78125,15,0
STANDARD,50,0.0,300.7413635253906,3,35,2018-01-01,0.22601358592510223,300.7413635253906,R_A4,1641.025634765625,16,0
STANDARD,50,0.0,300.6236572265625,2,35,2018-01-01,0.2203487753868103,300.6236572265625,R_A4,1639.2701416015625,17,0
STANDARD,49,0.0,300.9306335449219,2,35,2018-01-01,0.23873339593410492,300.9306335449219,R_A4,1643.848388671875,18,0
STANDARD,49,0.0,300.8116455078125,1,35,2018-01-01,0.23634089529514313,300.8116455078125,R_A4,1642.07373046875,19,0
STANDARD,49,0.0,300.9446105957031,28,36,2018-01-01,0.0553085058927536,300.9446105957031,R_A4,1644.0565185546875,20,0
STANDARD,48,0.0,300.769775390625,28,36,2018-01-01,0.055736932903528214,300.769775390625,R_A4,1641.4490966796875,21,0
STANDARD,48,0.0,301.2253112792969,28,37,2018-01-01,0.36369451880455017,301.2253112792969,R_A4,1648.2423095703125,22,0
STANDARD,48,0.0,301.5668640136719,28,38,2018-01-01,0.23485751450061798,301.5668640136719,R_A4,1653.335205078125,23,0
STANDARD,47,0.0,301.9299011230469,28,38,2018-01-01,0.6481541991233826,301.9299011230469,R_A4,1658.7479248046875,24,0
STANDARD,20,0.0,303.8826599121094,1,31,2018-01-01,1.0,303.8826599121094,R_A5,1685.4334716796875,1,0
STANDARD,20,0.0,304.0839538574219,2,31,2018-01-01,1.0,304.0839538574219,R_A5,1687.557861328125,2,0
STANDARD,20,0.0,304.2852478027344,3,31,2018-01-01,1.0,304.2852478027344,R_A5,1689.68212890625,3,0
STANDARD,20,0.0,304.486572265625,4,31,2018-01-01,1.0,304.486572265625,R_A5,1691.806396484375,4,0
STANDARD,20,0.0,304.6878967285156,5,31,2018-01-01,1.0,304.6878967285156,R_A5,1693.9307861328125,5,0
STANDARD,20,0.0,304.8891906738281,6,31,2018-01-01,1.0,304.8891906738281,R_A5,1696.0550537109375,6,0
STANDARD,21,0.0,304.3389587402344,6,31,2018-01-01,1.0,304.3389587402344,R_A5,1687.02197265625,7,0
STANDARD,21,0.0,304.5788879394531,7,31,2018-01-01,1.0,304.5788879394531,R_A5,1689.5537109375,8,0
STANDARD,21,0.0,304.81878662109375,8,31,2018-01-01,1.0,304.81878662109375,R_A5,1692.08544921875,9,0
STANDARD,21,0.0,305.0587158203125,9,31,2018-01-01,1.0,305.0587158203125,R_A5,1694.6171875,10,0
STANDARD,21,0.0,305.29864501953125,10,31,2018-01-01,1.0,305.29864501953125,R_A5,1697.1490478515625,11,0
STANDARD,21,0.0,305.2145690917969,11,31,2018-01-01,1.0,305.2145690917969,R_A5,1699.487060546875,12,0
STANDARD,21,0.0,305.4177551269531,12,31,2018-01-01,1.0,305.4177551269531,R_A5,1701.6312255859375,13,0
STANDARD,21,0.0,305.6329345703125,13,31,2018-01-01,1.0,305.6329345703125,R_A5,1703.7755126953125,14,0
STANDARD,21,0.0,305.8361511230469,14,31,2018-01-01,1.0,305.8361511230469,R_A5,1705.919677734375,15,0
STANDARD,21,0.0,306.03936767578125,15,31,2018-01-01,1.0,306.03936767578125,R_A5,1708.06396484375,16,0
STANDARD,21,0.0,306.3875732421875,16,31,2018-01-01,1.0,306.3875732421875,R_A5,1710.208251953125,17,0
STANDARD,21,0.0,306.5908203125,17,31,2018-01-01,1.0,306.5908203125,R_A5,1712.3526611328125,18,0
STANDARD,21,0.0,306.74664306640625,18,31,2018-01-01,1.0,306.74664306640625,R_A5,1713.996826171875,19,0
STANDARD,21,0.0,306.8259582519531,19,31,2018-01-01,1.0,306.8259582519531,R_A5,1714.8338623046875,20,0
STANDARD,21,0.0,306.8197326660156,26,31,2018-01-01,1.0,306.8197326660156,R_A5,1716.425537109375,21,0
STANDARD,21,0.0,307.0458984375,27,31,2018-01-01,1.0,307.0458984375,R_A5,1718.8121337890625,22,0
STANDARD,21,0.0,307.577880859375,28,31,2018-01-01,1.0,307.577880859375,R_A5,1721.19873046875,23,0
STANDARD,21,0.0,307.8040771484375,29,31,2018-01-01,1.0,307.8040771484375,R_A5,1723.585205078125,24,0
STANDARD,21,0.0,308.0302734375,30,31,2018-01-01,1.0,308.0302734375,R_A5,1725.9718017578125,25,0
STANDARD,42,0.0,305.0580139160156,1,17,2018-01-01,1.0,305.0580139160156,R_A6,1694.609619140625,1,0
STANDARD,42,0.0,305.2044372558594,2,17,2018-01-01,1.0,305.2044372558594,R_A6,1696.15478515625,2,0
STANDARD,42,0.0,305.3508605957031,3,17,2018-01-01,1.0,305.3508605957031,R_A6,1697.699951171875,3,0
STANDARD,42,0.0,305.4972839355469,4,17,2018-01-01,1.0,305.4972839355469,R_A6,1699.2449951171875,4,0
STANDARD,42,0.0,305.6437072753906,5,17,2018-01-01,1.0,305.6437072753906,R_A6,1700.7901611328125,5,0
STANDARD,42,0.0,305.4911193847656,6,17,2018-01-01,1.0,305.4911193847656,R_A6,1702.3353271484375,6,0
STANDARD,42,0.0,305.6375427246094,7,17,2018-01-01,1.0,305.6375427246094,R_A6,1703.8804931640625,7,0
STANDARD,42,0.0,305.7839660644531,8,17,2018-01-01,1.0,305.7839660644531,R_A6,1705.425537109375,8,0
STANDARD,42,0.0,306.2294616699219,9,17,2018-01-01,1.0,306.2294616699219,R_A6,1706.970703125,9,0
STANDARD,42,0.0,306.0700988769531,10,17,2018-01-01,1.0,306.0700988769531,R_A6,1708.515869140625,10,0
STANDARD,42,0.0,306.2552490234375,11,17,2018-01-01,1.0,306.2552490234375,R_A6,1710.46826171875,11,0
STANDARD,42,0.0,306.4788818359375,12,17,2018-01-01,1.0,306.4788818359375,R_A6,1712.827880859375,12,0
STANDARD,42,0.0,306.7144775390625,13,17,2018-01-01,1.0,306.7144775390625,R_A6,1715.1875,13,0
STANDARD,42,0.0,306.9381103515625,14,17,2018-01-01,1.0,306.9381103515625,R_A6,1717.547119140625,14,0
STANDARD,42,0.0,307.1617431640625,15,17,2018-01-01,1.0,307.1617431640625,R_A6,1719.9068603515625,15,0
STANDARD,42,0.0,307.5303955078125,16,17,2018-01-01,1.0,307.5303955078125,R_A6,1722.2664794921875,16,0
STANDARD,42,0.0,307.7540283203125,17,17,2018-01-01,1.0,307.7540283203125,R_A6,1724.6260986328125,17,0
STANDARD,42,0.0,307.8853759765625,18,17,2018-01-01,1.0,307.8853759765625,R_A6,1726.011962890625,18,0
STANDARD,42,0.0,307.8294982910156,26,17,2018-01-01,1.0,307.8294982910156,R_A6,1727.079833984375,19,0
STANDARD,42,0.0,308.29864501953125,27,17,2018-01-01,1.0,308.29864501953125,R_A6,1728.8035888671875,20,0
STANDARD,42,0.0,308.4620361328125,28,17,2018-01-01,1.0,308.4620361328125,R_A6,1730.5272216796875,21,0
STANDARD,42,0.0,308.6253967285156,29,17,2018-01-01,1.0,308.6253967285156,R_A6,1732.2509765625,22,0
STANDARD,42,0.0,308.4830017089844,30,17,2018-01-01,1.0,308.4830017089844,R_A6,1733.9747314453125,23,0
STANDARD,30,0.0,297.5993957519531,1,22,2018-03-01,0.05444340035319328,297.5993957519531,R_A2,1640.3277587890625,1,0
STANDARD,30,0.0,297.7146911621094,2,22,2018-03-01,0.0561961829662323,297.7146911621094,R_A2,1642.049560546875,2,0
STANDARD,30,0.0,297.8299560546875,3,22,2018-03-01,0.059300318360328674,297.8299560546875,R_A2,1643.7711181640625,3,0
STANDARD,30,0.0,297.9451599121094,4,22,2018-03-01,0.06444648653268814,297.9451599121094,R_A2,1645.4927978515625,4,0
STANDARD,30,0.0,298.06036376953125,5,22,2018-03-01,0.11624998599290848,298.06036376953125,R_A2,1647.2144775390625,5,0
STANDARD,30,0.0,298.14208984375,6,22,2018-03-01,0.6490619778633118,298.14208984375,R_A2,1648.936279296875,6,0
STANDARD,30,0.0,298.2770080566406,7,22,2018-03-01,0.8808918595314026,298.2770080566406,R_A2,1650.657958984375,7,0
STANDARD,30,0.0,298.3977966308594,8,22,2018-03-01,0.8663643002510071,298.3977966308594,R_A2,1652.379638671875,8,0
STANDARD,30,0.0,298.797607421875,9,22,2018-03-01,0.8949453234672546,298.797607421875,R_A2,1654.101318359375,9,0
STANDARD,30,0.0,299.18035888671875,10,22,2018-03-01,0.9089889526367188,299.18035888671875,R_A2,1655.822998046875,10,0
STANDARD,30,0.0,299.73883056640625,11,22,2018-03-01,0.06937630474567413,299.73883056640625,R_A2,1657.7576904296875,11,0
STANDARD,30,0.0,300.30389404296875,13,22,2018-03-01,0.4451605975627899,300.30389404296875,R_A2,1662.0531005859375,12,0
STANDARD,30,0.0,300.4479064941406,14,22,2018-03-01,0.4861293435096741,300.4479064941406,R_A2,1664.2008056640625,13,0
STANDARD,30,0.0,300.59039306640625,15,22,2018-03-01,0.9139882922172546,300.59039306640625,R_A2,1666.3485107421875,14,0
STANDARD,30,0.0,300.7333984375,16,22,2018-03-01,0.9125264883041382,300.7333984375,R_A2,1668.4962158203125,15,0
STANDARD,30,0.0,300.8760681152344,17,22,2018-03-01,0.9187215566635132,300.8760681152344,R_A2,1670.630126953125,16,0
STANDARD,30,0.0,300.9732971191406,18,22,2018-03-01,0.951285719871521,300.9732971191406,R_A2,1672.0809326171875,17,0
STANDARD,30,0.0,302.6842956542969,26,22,2018-03-01,0.7791199684143066,302.6842956542969,R_A2,1673.546875,18,0
STANDARD,29,4.0226544930194424e-16,302.78961181640625,27,22,2018-03-01,1.0,302.78961181640625,R_A2,1681.4852294921875,19,0
STANDARD,29,-8.911692930368802e-16,302.6835021972656,28,22,2018-03-01,1.0,302.6835021972656,R_A2,1683.2589111328125,20,0
STANDARD,29,6.42067026492522e-20,303.16162109375,29,22,2018-03-01,1.0,303.16162109375,R_A2,1685.0325927734375,21,0
STANDARD,29,-3.0832176627579864e-16,303.2521667480469,30,22,2018-03-01,1.0,303.2521667480469,R_A2,1686.8062744140625,22,0
STANDARD,20,-4.20516038657226e-10,274.4212341308594,1,31,2018-04-28,1.0,274.4212341308594,R_A5,1685.4334716796875,1,0
STANDARD,20,-4.1709738440864896e-10,274.62225341796875,2,31,2018-04-28,1.0,274.62225341796875,R_A5,1687.557861328125,2,0
STANDARD,20,-4.474026704670564e-10,274.8232116699219,3,31,2018-04-28,1.0,274.8232116699219,R_A5,1689.68212890625,3,0
STANDARD,20,-3.960289596260935e-10,275.0239562988281,4,31,2018-04-28,1.0,275.0239562988281,R_A5,1691.806396484375,4,0
STANDARD,20,-2.828047795944144e-10,275.2245788574219,5,31,2018-04-28,1.0,275.2245788574219,R_A5,1693.9307861328125,5,0
STANDARD,20,-1.656915438186246e-10,275.4251708984375,6,31,2018-04-28,1.0,275.4251708984375,R_A5,1696.0550537109375,6,0
STANDARD,21,0.0,274.64794921875,6,31,2018-04-28,0.9999959468841553,274.64794921875,R_A5,1687.02197265625,7,0
STANDARD,21,-3.820249394603792e-10,274.9307556152344,7,31,2018-04-28,1.0,274.9307556152344,R_A5,1689.5537109375,8,0
STANDARD,21,-8.807163331958634e-11,275.3083190917969,8,31,2018-04-28,1.0,275.3083190917969,R_A5,1692.08544921875,9,0
STANDARD,21,-5.149456208664027e-11,275.70953369140625,9,31,2018-04-28,1.0,275.70953369140625,R_A5,1694.6171875,10,0
STANDARD,21,-1.697550953971838e-11,277.4317626953125,10,31,2018-04-28,1.0,277.4317626953125,R_A5,1697.1490478515625,11,0
STANDARD,21,-6.964691323663175e-11,275.999755859375,11,31,2018-04-28,1.0,275.999755859375,R_A5,1699.487060546875,12,0
STANDARD,21,-2.8386923020540245e-11,276.2087707519531,12,31,2018-04-28,1.0,276.2087707519531,R_A5,1701.6312255859375,13,0
STANDARD,21,-1.8019077983183474e-12,276.4281311035156,13,31,2018-04-28,1.0,276.4281311035156,R_A5,1703.7755126953125,14,0
STANDARD,21,-2.8139359332240987e-12,276.6402282714844,14,31,2018-04-28,1.0,276.6402282714844,R_A5,1705.919677734375,15,0
STANDARD,21,-5.891792045562005e-13,276.9595947265625,15,31,2018-04-28,1.0,276.9595947265625,R_A5,1708.06396484375,16,0
STANDARD,21,-1.2428685196904515e-13,277.386962890625,16,31,2018-04-28,1.0,277.386962890625,R_A5,1710.208251953125,17,0
STANDARD,21,-1.244484251977998e-13,277.6279602050781,17,31,2018-04-28,1.0,277.6279602050781,R_A5,1712.3526611328125,18,0
STANDARD,21,-9.185226635278348e-14,277.7916564941406,18,31,2018-04-28,1.0,277.7916564941406,R_A5,1713.996826171875,19,0
STANDARD,21,0.0,277.8717346191406,19,31,2018-04-28,1.0,277.8717346191406,R_A5,1714.8338623046875,20,0
STANDARD,21,-5.551372079040662e-13,282.81854248046875,26,31,2018-04-28,1.0,282.81854248046875,R_A5,1716.425537109375,21,0
STANDARD,21,-4.935364725407176e-13,283.04888916015625,27,31,2018-04-28,1.0,283.04888916015625,R_A5,1718.8121337890625,22,0
STANDARD,21,-3.5951511856496426e-20,296.175537109375,28,31,2018-04-28,1.0,296.175537109375,R_A5,1721.19873046875,23,0
STANDARD,21,-7.837935656884596e-22,304.6510009765625,29,31,2018-04-28,1.0,304.6510009765625,R_A5,1723.585205078125,24,0
STANDARD,21,-3.0658842423143058e-24,307.3662109375,30,31,2018-04-28,1.0,307.3662109375,R_A5,1725.9718017578125,25,0
STANDARD,41,0.0,283.0851745605469,1,28,2018-07-03,0.7738794684410095,283.0851745605469,R_A3,1608.675537109375,1,0
STANDARD,41,0.0,282.4892578125,1,29,2018-07-03,0.64939284324646,282.4892578125,R_A3,1602.1104736328125,2,0
STANDARD,41,0.0,282.6220703125,2,29,2018-07-03,0.1903265118598938,282.6220703125,R_A3,1604.1278076171875,3,0
STANDARD,41,0.0,282.7566223144531,3,29,2018-07-03,0.1185489147901535,282.7566223144531,R_A3,1606.1451416015625,4,0
STANDARD,41,0.0,282.8912658691406,4,29,2018-07-03,0.15453894436359406,282.8912658691406,R_A3,1608.1624755859375,5,0
STANDARD,41,0.0,283.0270080566406,5,29,2018-07-03,0.6751372814178467,283.0270080566406,R_A3,1610.1796875,6,0
STANDARD,41,0.0,283.15814208984375,6,29,2018-07-03,0.6504188179969788,283.15814208984375,R_A3,1612.197021484375,7,0
STANDARD,41,0.0,283.3345947265625,7,29,2018-07-03,0.20001459121704102,283.3345947265625,R_A3,1614.21435546875,8,0
STANDARD,41,0.0,283.46966552734375,8,29,2018-07-03,0.200507253408432,283.46966552734375,R_A3,1616.2315673828125,9,0
STANDARD,41,0.0,283.66778564453125,9,29,2018-07-03,0.7959911823272705,283.66778564453125,R_A3,1618.2489013671875,10,0
STANDARD,41,0.0,284.1455383300781,10,29,2018-07-03,0.798165500164032,284.1455383300781,R_A3,1620.2662353515625,11,0
STANDARD,41,0.0,294.01483154296875,11,29,2018-07-03,0.048349615186452866,294.01483154296875,R_A3,1622.4031982421875,12,0
STANDARD,41,0.0,294.1659240722656,12,29,2018-07-03,0.05489075556397438,294.1659240722656,R_A3,1624.659912109375,13,0
STANDARD,41,0.0,294.3180847167969,13,29,2018-07-03,0.37189772725105286,294.3180847167969,R_A3,1626.91650390625,14,0
STANDARD,41,0.0,295.0931701660156,15,29,2018-07-03,0.498650461435318,295.0931701660156,R_A3,1631.4296875,15,0
STANDARD,41,0.0,295.2021484375,16,29,2018-07-03,0.8047500848770142,295.2021484375,R_A3,1633.057861328125,16,0
STANDARD,41,0.0,287.46954345703125,26,29,2018-07-03,0.9998751878738403,287.46954345703125,R_A3,1635.2281494140625,17,0
STANDARD,41,0.0,286.98907470703125,27,29,2018-07-03,0.04541240260004997,286.98907470703125,R_A3,1638.569091796875,18,0
STANDARD,41,0.0,287.2122802734375,28,29,2018-07-03,0.051470279693603516,287.2122802734375,R_A3,1641.9097900390625,19,0
STANDARD,41,0.0,287.44268798828125,29,29,2018-07-03,0.6503401398658752,287.44268798828125,R_A3,1645.2506103515625,20,0
STANDARD,41,0.0,287.64398193359375,30,29,2018-07-03,0.06081146374344826,287.64398193359375,R_A3,1648.591552734375,21,0
STANDARD,52,0.0,278.0994873046875,1,30,2018-09-12,0.05025174096226692,278.0994873046875,R_A4,1627.824462890625,1,0
STANDARD,52,0.0,277.8587646484375,1,31,2018-09-12,0.08978016674518585,277.8587646484375,R_A4,1623.7503662109375,2,0
STANDARD,52,0.0,277.996337890625,2,31,2018-09-12,0.07644836604595184,277.996337890625,R_A4,1625.815185546875,3,0
STANDARD,52,0.0,278.1338806152344,3,31,2018-09-12,0.0647788718342781,278.1338806152344,R_A4,1627.8800048828125,4,0
STANDARD,52,0.0,278.2713928222656,4,31,2018-09-12,0.050077661871910095,278.2713928222656,R_A4,1629.94482421875,5,0
STANDARD,52,0.0,278.408935546875,5,31,2018-09-12,0.053422193974256516,278.408935546875,R_A4,1632.009521484375,6,0
STANDARD,52,0.0,278.54644775390625,6,31,2018-09-12,0.055567365139722824,278.54644775390625,R_A4,1634.0743408203125,7,0
STANDARD,52,0.0,278.544921875,6,32,2018-09-12,0.055698901414871216,278.544921875,R_A4,1633.8544921875,8,0
STANDARD,51,0.0,278.46368408203125,6,32,2018-09-12,0.05456465855240822,278.46368408203125,R_A4,1634.0362548828125,9,0
