WELL,PRESSURE,SGAS,SWAT,CONKPOS,DRAWDOWN,CONIDX,DEPTH,WELLMODEL,CONBPRES,DATE,CONJPOS,CONIPOS
R_A3,298.8404846191406,0.0,0.11823459714651108,3,0,3,1611.8621826171875,STANDARD,298.8404846191406,2018-01-01,41,28
R_A3,298.9727478027344,0.0,0.11902838945388794,4,0,4,1613.835205078125,STANDARD,298.9727478027344,2018-01-01,41,28
R_A3,298.5906677246094,0.0,0.24780058860778809,4,0,5,1608.1346435546875,STANDARD,298.5906677246094,2018-01-01,41,29
R_A3,298.72271728515625,0.0,0.8175351023674011,5,0,6,1610.104736328125,STANDARD,298.72271728515625,2018-01-01,41,29
R_A3,298.854736328125,0.0,0.6481541991233826,6,0,7,1612.0748291015625,STANDARD,298.854736328125,2018-01-01,41,29
R_A3,298.9867858886719,0.0,0.19489069283008575,7,0,8,1614.0447998046875,STANDARD,298.9867858886719,2018-01-01,41,29
R_A3,299.11883544921875,0.0,0.1985645592212677,8,0,9,1616.014892578125,STANDARD,299.11883544921875,2018-01-01,41,29
R_A3,299.2508850097656,0.0,0.7955009937286377,9,0,10,1617.985107421875,STANDARD,299.2508850097656,2018-01-01,41,29
R_A3,299.3829345703125,0.0,0.8003076314926147,10,0,11,1619.955078125,STANDARD,299.3829345703125,2018-01-01,41,29
R_A3,299.5271301269531,0.0,0.04746197909116745,11,0,12,1622.1064453125,STANDARD,299.5271301269531,2018-01-01,41,29
R_A3,299.68353271484375,0.0,0.05544063821434975,12,0,13,1624.439208984375,STANDARD,299.68353271484375,2018-01-01,41,29
R_A3,299.83990478515625,0.0,0.37411969900131226,13,0,14,1626.77197265625,STANDARD,299.83990478515625,2018-01-01,41,29
R_A3,299.99627685546875,0.0,0.3541759252548218,14,0,15,1629.104736328125,STANDARD,299.99627685546875,2018-01-01,41,29
R_A3,300.1526794433594,0.0,0.7915359139442444,15,0,16,1631.4375,STANDARD,300.1526794433594,2018-01-01,41,29
R_A3,300.2546691894531,0.0,0.779640257358551,16,0,17,1632.9588623046875,STANDARD,300.2546691894531,2018-01-01,41,29
R_A3,300.3909912109375,0.0,0.7631433606147766,26,0,18,1634.9921875,STANDARD,300.3909912109375,2018-01-01,41,29
R_A3,300.6160888671875,0.0,0.04332993924617767,27,0,19,1638.3489990234375,STANDARD,300.6160888671875,2018-01-01,41,29
R_A3,300.8411560058594,0.0,0.07327621430158615,28,0,20,1641.705810546875,STANDARD,300.8411560058594,2018-01-01,41,29
R_A3,301.0662536621094,0.0,0.652027428150177,29,0,21,1645.0626220703125,STANDARD,301.0662536621094,2018-01-01,41,29
R_A3,301.2913818359375,0.0,0.26313790678977966,30,0,22,1648.41943359375,STANDARD,301.2913818359375,2018-01-01,41,29
R_A4,300.1514587402344,0.0,0.04974506050348282,1,0,1,1631.41943359375,STANDARD,300.1514587402344,2018-01-01,52,30
R_A4,299.84625244140625,0.0,0.047564707696437836,1,0,2,1626.8668212890625,STANDARD,299.84625244140625,2018-01-01,52,31
R_A4,299.98565673828125,0.0,0.049255892634391785,2,0,3,1628.9461669921875,STANDARD,299.98565673828125,2018-01-01,52,31
R_A4,300.12506103515625,0.0,0.051748935133218765,3,0,4,1631.025390625,STANDARD,300.12506103515625,2018-01-01,52,31
R_A4,300.26446533203125,0.0,0.05272449180483818,4,0,5,1633.104736328125,STANDARD,300.26446533203125,2018-01-01,52,31
R_A4,300.2372131347656,0.0,0.05321422591805458,4,0,6,1632.6982421875,STANDARD,300.2372131347656,2018-01-01,52,32
R_A4,300.3636779785156,0.0,0.15412598848342896,5,0,7,1634.5843505859375,STANDARD,300.3636779785156,2018-01-01,52,32
R_A4,300.4258117675781,0.0,0.3158373534679413,5,0,8,1635.51123046875,STANDARD,300.4258117675781,2018-01-01,51,32
R_A4,300.30133056640625,0.0,0.053888000547885895,4,0,9,1633.6546630859375,STANDARD,300.30133056640625,2018-01-01,51,32
R_A4,300.48040771484375,0.0,0.05715617910027504,4,0,10,1636.32568359375,STANDARD,300.48040771484375,2018-01-01,51,33
R_A4,300.7490539550781,0.0,0.060477178543806076,4,0,11,1640.3323974609375,STANDARD,300.7490539550781,2018-01-01,50,33
R_A4,300.7383117675781,0.0,0.05888864025473595,4,0,12,1640.171875,STANDARD,300.7383117675781,2018-01-01,50,34
R_A4,300.7952880859375,0.0,0.0587262287735939,4,0,13,1641.0218505859375,STANDARD,300.7952880859375,2018-01-01,50,35
R_A4,300.67535400390625,0.0,0.15932872891426086,3,0,14,1639.23291015625,STANDARD,300.67535400390625,2018-01-01,50,35
R_A4,300.5553894042969,0.0,0.19937750697135925,2,0,15,1637.44384765625,STANDARD,300.5553894042969,2018-01-01,50,35
R_A4,300.9453430175781,0.0,0.23214378952980042,2,0,16,1643.259521484375,STANDARD,300.9453430175781,2018-01-01,49,35
