SGAS,SWAT,CONIDX,WELL,DEPTH,CONKPOS,CONBPRES,DATE,CONIPOS,PRESSURE,WELLMODEL,DRAWDOWN,CONJPOS
0.0,0.6481541991233826,7,R_A3,1609.8792724609375,6,298.568603515625,2018-01-01,29,298.568603515625,STANDARD,0,41
0.0,0.19456186890602112,8,R_A3,1612.036865234375,7,298.71319580078125,2018-01-01,29,298.71319580078125,STANDARD,0,41
0.0,0.19809915125370026,9,R_A3,1614.1943359375,8,298.8577880859375,2018-01-01,29,298.8577880859375,STANDARD,0,41
0.0,0.7997860908508301,10,R_A3,1616.3519287109375,9,299.0024108886719,2018-01-01,29,299.0024108886719,STANDARD,0,41
0.0,0.8059895038604736,11,R_A3,1618.509521484375,10,299.14703369140625,2018-01-01,29,299.14703369140625,STANDARD,0,41
0.0,0.049848128110170364,12,R_A3,1620.73486328125,11,299.2961730957031,2018-01-01,29,299.2961730957031,STANDARD,0,41
0.0,0.05420900881290436,13,R_A3,1623.0277099609375,12,299.4498596191406,2018-01-01,29,299.4498596191406,STANDARD,0,41
0.0,0.3787544071674347,14,R_A3,1625.3206787109375,13,299.60357666015625,2018-01-01,29,299.60357666015625,STANDARD,0,41
0.0,0.5137639045715332,15,R_A3,1629.9066162109375,15,299.9110107421875,2018-01-01,29,299.9110107421875,STANDARD,0,41
0.0,0.8154990077018738,16,R_A3,1631.903564453125,16,300.0448913574219,2018-01-01,29,300.0448913574219,STANDARD,0,41
0.0,0.7578556537628174,17,R_A3,1634.75341796875,26,300.2359313964844,2018-01-01,29,300.2359313964844,STANDARD,0,41
0.0,0.04707757756114006,18,R_A3,1638.34619140625,27,300.4768371582031,2018-01-01,29,300.4768371582031,STANDARD,0,41
0.0,0.05309472605586052,19,R_A3,1641.9388427734375,28,300.71771240234375,2018-01-01,29,300.71771240234375,STANDARD,0,41
0.0,0.810446560382843,20,R_A3,1645.5316162109375,29,300.9586486816406,2018-01-01,29,300.9586486816406,STANDARD,0,41
0.0,0.09927333891391754,21,R_A3,1649.1243896484375,30,301.1995544433594,2018-01-01,29,301.1995544433594,STANDARD,0,41
0.0,0.0517866387963295,1,R_A4,1631.2314453125,1,299.99981689453125,2018-01-01,30,299.99981689453125,STANDARD,0,52
0.0,0.04794970899820328,2,R_A4,1625.6962890625,1,299.6287536621094,2018-01-01,31,299.6287536621094,STANDARD,0,52
0.0,0.05146213620901108,3,R_A4,1627.80029296875,2,299.7698059082031,2018-01-01,31,299.7698059082031,STANDARD,0,52
0.0,0.053096186369657516,4,R_A4,1629.904296875,3,299.9108581542969,2018-01-01,31,299.9108581542969,STANDARD,0,52
0.0,0.05278829485177994,5,R_A4,1632.0084228515625,4,300.0519104003906,2018-01-01,31,300.0519104003906,STANDARD,0,52
0.0,0.05548268184065819,6,R_A4,1634.1124267578125,5,300.1929626464844,2018-01-01,31,300.1929626464844,STANDARD,0,52
