CONJPOS,DATE,DRAWDOWN,CONKPOS,WELL,SGAS,WELLMODEL,DEPTH,PRESSURE,CONIPOS,SWAT,CONBPRES,CONIDX
52,2018-01-01,0,2,R_A4,0.0,STANDARD,1629.2003173828125,299.9955139160156,31,0.04906463995575905,299.9955139160156,3
52,2018-01-01,0,3,R_A4,0.0,STANDARD,1631.2342529296875,300.1318664550781,31,0.05161690339446068,300.1318664550781,4
52,2018-01-01,0,4,R_A4,0.0,STANDARD,1633.268310546875,300.26824951171875,31,0.05289016291499138,300.26824951171875,5
52,2018-01-01,0,4,R_A4,0.0,STANDARD,1631.80615234375,300.1701965332031,32,0.05302322655916214,300.1701965332031,6
52,2018-01-01,0,5,R_A4,0.0,STANDARD,1633.651123046875,300.2939147949219,32,0.15024569630622864,300.2939147949219,7
51,2018-01-01,0,5,R_A4,0.0,STANDARD,1638.0859375,300.59124755859375,32,0.20624972879886627,300.59124755859375,8
51,2018-01-01,0,4,R_A4,0.0,STANDARD,1636.2791748046875,300.4700927734375,32,0.05618676915764809,300.4700927734375,9
51,2018-01-01,0,4,R_A4,0.0,STANDARD,1636.8546142578125,300.5086975097656,33,0.05669133737683296,300.5086975097656,10
51,2018-01-01,0,3,R_A4,0.0,STANDARD,1635.018310546875,300.38555908203125,33,0.10464059561491013,300.38555908203125,11
50,2018-01-01,0,4,R_A4,0.0,STANDARD,1642.9102783203125,300.91473388671875,33,0.06258834153413773,300.91473388671875,12
50,2018-01-01,0,4,R_A4,0.0,STANDARD,1640.3148193359375,300.7406921386719,34,0.06055189669132233,300.7406921386719,13
50,2018-01-01,0,4,R_A4,0.0,STANDARD,1639.9566650390625,300.7166748046875,35,0.05766424164175987,300.7166748046875,14
50,2018-01-01,0,3,R_A4,0.0,STANDARD,1638.1668701171875,300.5966796875,35,0.22498925030231476,300.5966796875,15
49,2018-01-01,0,3,R_A4,0.0,STANDARD,1643.1541748046875,300.93109130859375,35,0.22693918645381927,300.93109130859375,16
49,2018-01-01,0,29,R_A4,0.0,STANDARD,1642.716064453125,300.9017028808594,36,0.08137569576501846,300.9017028808594,17
48,2018-01-01,0,29,R_A4,0.0,STANDARD,1643.1162109375,300.9285583496094,36,0.05374849587678909,300.9285583496094,18
48,2018-01-01,0,29,R_A4,0.0,STANDARD,1648.511474609375,301.29034423828125,37,0.08350490033626556,301.29034423828125,19
48,2018-01-01,0,29,R_A4,0.0,STANDARD,1652.0894775390625,301.5303039550781,38,0.05928921326994896,301.5303039550781,20
47,2018-01-01,0,29,R_A4,0.0,STANDARD,1660.924560546875,302.1228942871094,38,0.6638711094856262,302.1228942871094,21
20,2018-01-01,0,1,R_A5,0.0,STANDARD,1685.7723388671875,303.9147644042969,31,1.0,303.9147644042969,1
20,2018-01-01,0,2,R_A5,0.0,STANDARD,1687.909912109375,304.1173095703125,31,1.0,304.1173095703125,2
20,2018-01-01,0,3,R_A5,0.0,STANDARD,1690.0474853515625,304.31988525390625,31,1.0,304.31988525390625,3
20,2018-01-01,0,4,R_A5,0.0,STANDARD,1692.18505859375,304.5224609375,31,1.0,304.5224609375,4
20,2018-01-01,0,5,R_A5,0.0,STANDARD,1694.3226318359375,304.72503662109375,31,1.0,304.72503662109375,5
20,2018-01-01,0,6,R_A5,0.0,STANDARD,1696.460205078125,304.9275817871094,31,1.0,304.9275817871094,6
20,2018-01-01,0,7,R_A5,0.0,STANDARD,1698.5977783203125,305.4359436035156,31,1.0,305.4359436035156,7
20,2018-01-01,0,8,R_A5,0.0,STANDARD,1700.7353515625,305.6385192871094,31,1.0,305.6385192871094,8
20,2018-01-01,0,10,R_A5,0.0,STANDARD,1705.010498046875,305.74462890625,31,1.0,305.74462890625,9
21,2018-01-01,0,11,R_A5,0.0,STANDARD,1700.07080078125,305.2698669433594,31,1.0,305.2698669433594,10
21,2018-01-01,0,12,R_A5,0.0,STANDARD,1702.0433349609375,305.4568176269531,31,1.0,305.4568176269531,11
21,2018-01-01,0,13,R_A5,0.0,STANDARD,1704.0159912109375,305.6557312011719,31,1.0,305.6557312011719,12
21,2018-01-01,0,14,R_A5,0.0,STANDARD,1705.988525390625,305.8426818847656,31,1.0,305.8426818847656,13
21,2018-01-01,0,15,R_A5,0.0,STANDARD,1707.961181640625,306.02960205078125,31,1.0,306.02960205078125,14
21,2018-01-01,0,16,R_A5,0.0,STANDARD,1709.9337158203125,306.361572265625,31,1.0,306.361572265625,15
21,2018-01-01,0,17,R_A5,0.0,STANDARD,1711.9063720703125,306.54852294921875,31,1.0,306.54852294921875,16
21,2018-01-01,0,18,R_A5,0.0,STANDARD,1713.446533203125,306.6944885253906,31,1.0,306.6944885253906,17
21,2018-01-01,0,19,R_A5,0.0,STANDARD,1714.19775390625,306.76568603515625,31,1.0,306.76568603515625,18
21,2018-01-01,0,26,R_A5,0.0,STANDARD,1715.5230712890625,306.73419189453125,31,1.0,306.73419189453125,19
21,2018-01-01,0,27,R_A5,0.0,STANDARD,1717.779541015625,306.9480285644531,31,1.0,306.9480285644531,20
21,2018-01-01,0,28,R_A5,0.0,STANDARD,1720.035888671875,307.4676818847656,31,1.0,307.4676818847656,21
21,2018-01-01,0,29,R_A5,0.0,STANDARD,1722.292236328125,307.6815185546875,31,1.0,307.6815185546875,22
21,2018-01-01,0,30,R_A5,0.0,STANDARD,1724.548583984375,307.8953857421875,31,1.0,307.8953857421875,23
42,2018-01-01,0,1,R_A6,0.0,STANDARD,1694.3228759765625,305.03082275390625,17,1.0,305.03082275390625,1
42,2018-01-01,0,2,R_A6,0.0,STANDARD,1695.8555908203125,305.17608642578125,17,1.0,305.17608642578125,2
42,2018-01-01,0,3,R_A6,0.0,STANDARD,1697.388427734375,305.32135009765625,17,1.0,305.32135009765625,3
42,2018-01-01,0,4,R_A6,0.0,STANDARD,1698.921142578125,305.46661376953125,17,1.0,305.46661376953125,4
42,2018-01-01,0,5,R_A6,0.0,STANDARD,1700.453857421875,305.6118469238281,17,1.0,305.6118469238281,5
42,2018-01-01,0,6,R_A6,0.0,STANDARD,1701.986572265625,305.45806884765625,17,1.0,305.45806884765625,6
42,2018-01-01,0,7,R_A6,0.0,STANDARD,1703.5194091796875,305.6033020019531,17,1.0,305.6033020019531,7
42,2018-01-01,0,8,R_A6,0.0,STANDARD,1705.0521240234375,305.7485656738281,17,1.0,305.7485656738281,8
42,2018-01-01,0,9,R_A6,0.0,STANDARD,1706.5849609375,306.1929016113281,17,1.0,306.1929016113281,9
42,2018-01-01,0,10,R_A6,0.0,STANDARD,1708.11767578125,306.0323486328125,17,1.0,306.0323486328125,10
42,2018-01-01,0,11,R_A6,0.0,STANDARD,1710.00830078125,306.211669921875,17,1.0,306.211669921875,11
42,2018-01-01,0,12,R_A6,0.0,STANDARD,1712.256591796875,306.42474365234375,17,1.0,306.42474365234375,12
42,2018-01-01,0,13,R_A6,0.0,STANDARD,1714.505126953125,306.6498107910156,17,1.0,306.6498107910156,13
42,2018-01-01,0,14,R_A6,0.0,STANDARD,1716.75341796875,306.8628845214844,17,1.0,306.8628845214844,14
42,2018-01-01,0,15,R_A6,0.0,STANDARD,1719.001953125,307.07598876953125,17,1.0,307.07598876953125,15
42,2018-01-01,0,16,R_A6,0.0,STANDARD,1721.2503662109375,307.43408203125,17,1.0,307.43408203125,16
42,2018-01-01,0,17,R_A6,0.0,STANDARD,1723.498779296875,307.6471862792969,17,1.0,307.6471862792969,17
42,2018-01-01,0,18,R_A6,0.0,STANDARD,1725.1497802734375,307.8036804199219,17,1.0,307.8036804199219,18
42,2018-01-01,0,26,R_A6,0.0,STANDARD,1726.5302734375,307.77740478515625,17,1.0,307.77740478515625,19
42,2018-01-01,0,27,R_A6,0.0,STANDARD,1728.23779296875,308.2450256347656,17,1.0,308.2450256347656,20
42,2018-01-01,0,28,R_A6,0.0,STANDARD,1729.9454345703125,308.4068908691406,17,1.0,308.4068908691406,21
42,2018-01-01,0,29,R_A6,0.0,STANDARD,1731.6529541015625,308.5687255859375,17,1.0,308.5687255859375,22
42,2018-01-01,0,30,R_A6,0.0,STANDARD,1733.3604736328125,308.4247741699219,17,1.0,308.4247741699219,23
30,2018-03-01,0,1,R_A2,0.0,STANDARD,1641.7867431640625,298.3064270019531,22,0.05445355549454689,298.3064270019531,1
30,2018-03-01,0,2,R_A2,0.0,STANDARD,1643.5679931640625,298.42578125,22,0.09527981281280518,298.42578125,2
30,2018-03-01,0,3,R_A2,0.0,STANDARD,1645.3492431640625,298.54522705078125,22,0.057128727436065674,298.54522705078125,3
30,2018-03-01,0,4,R_A2,0.0,STANDARD,1647.1304931640625,298.6646728515625,22,0.06382472813129425,298.6646728515625,4
30,2018-03-01,0,5,R_A2,0.0,STANDARD,1648.911865234375,298.7840881347656,22,0.06870729476213455,298.7840881347656,5
30,2018-03-01,0,6,R_A2,0.0,STANDARD,1650.693115234375,298.9960021972656,22,0.30391404032707214,298.9960021972656,6
30,2018-03-01,0,7,R_A2,0.0,STANDARD,1652.474365234375,299.3662109375,22,0.8694055080413818,299.3662109375,7
30,2018-03-01,0,8,R_A2,0.0,STANDARD,1654.2557373046875,299.61346435546875,22,0.6488096714019775,299.61346435546875,8
30,2018-03-01,0,9,R_A2,0.0,STANDARD,1656.0369873046875,299.8373718261719,22,0.24518044292926788,299.8373718261719,9
30,2018-03-01,0,10,R_A2,0.0,STANDARD,1657.8182373046875,300.0755615234375,22,0.8919822573661804,300.0755615234375,10
30,2018-03-01,0,11,R_A2,0.0,STANDARD,1659.7242431640625,300.0768127441406,22,0.06987142562866211,300.0768127441406,11
30,2018-03-01,0,12,R_A2,0.0,STANDARD,1661.754638671875,300.5904235839844,22,0.07807303220033646,300.5904235839844,12
30,2018-03-01,0,13,R_A2,0.0,STANDARD,1663.78515625,300.6292419433594,22,0.43307653069496155,300.6292419433594,13
30,2018-03-01,0,14,R_A2,0.0,STANDARD,1665.815673828125,300.76568603515625,22,0.475577175617218,300.76568603515625,14
30,2018-03-01,0,15,R_A2,0.0,STANDARD,1667.8460693359375,300.9034423828125,22,0.9160122871398926,300.9034423828125,15
30,2018-03-01,0,16,R_A2,0.0,STANDARD,1669.8765869140625,301.04107666015625,22,0.9405487179756165,301.04107666015625,16
30,2018-03-01,0,17,R_A2,0.0,STANDARD,1671.9071044921875,301.1781005859375,22,0.8910933136940002,301.1781005859375,17
29,2018-03-01,0,17,R_A2,0.0,STANDARD,1672.8426513671875,301.1925048828125,22,0.8878504633903503,301.1925048828125,18
29,2018-03-01,0,18,R_A2,0.0,STANDARD,1674.797607421875,301.32366943359375,22,0.9560069441795349,301.32366943359375,19
29,2018-03-01,0,26,R_A2,0.0,STANDARD,1676.82470703125,303.1384582519531,22,0.7919772863388062,303.1384582519531,20
29,2018-03-01,0,27,R_A2,-1.1093701471505662e-14,STANDARD,1678.6055908203125,303.2820129394531,22,1.0,303.2820129394531,21
29,2018-03-01,0,28,R_A2,-1.5532913903671883e-14,STANDARD,1680.386474609375,303.4106750488281,22,1.0,303.4106750488281,22
29,2018-03-01,0,29,R_A2,-1.5186877905422336e-13,STANDARD,1682.167236328125,303.857177734375,22,1.0,303.857177734375,23
29,2018-03-01,0,30,R_A2,-1.2599745194668416e-13,STANDARD,1683.9481201171875,304.02301025390625,22,1.0,304.02301025390625,24
20,2018-04-28,0,1,R_A5,-9.411447177143373e-10,STANDARD,1685.7723388671875,282.4701843261719,31,1.0,282.4701843261719,1
