WELLMODEL,WELL,CONBPRES,CONIDX,DEPTH,DRAWDOWN,CONJPOS,PRESSURE,SWAT,SGAS,CONIPOS,CONKPOS,DATE
STANDARD,R_A2,302.62884521484375,20,1671.4813232421875,0,29,302.62884521484375,1.0,0.0,22,19,2018-01-01
STANDARD,R_A2,302.7236633300781,21,1672.8944091796875,0,29,302.7236633300781,1.0,0.0,22,25,2018-01-01
STANDARD,R_A2,303.1829528808594,22,1674.82275390625,0,29,303.1829528808594,1.0,0.0,22,26,2018-01-01
STANDARD,R_A2,303.3656921386719,23,1676.7510986328125,0,29,303.3656921386719,1.0,0.0,22,27,2018-01-01
STANDARD,R_A2,303.5484313964844,24,1678.6795654296875,0,29,303.5484313964844,1.0,0.0,22,28,2018-01-01
STANDARD,R_A2,303.73114013671875,25,1680.60791015625,0,29,303.73114013671875,1.0,0.0,22,29,2018-01-01
STANDARD,R_A3,298.6399841308594,1,1611.991943359375,0,41,298.6399841308594,0.13885250687599182,0.0,28,1,2018-01-01
STANDARD,R_A3,298.7789611816406,2,1614.0657958984375,0,41,298.7789611816406,0.1185116320848465,0.0,28,2,2018-01-01
STANDARD,R_A3,298.91796875,3,1616.1396484375,0,41,298.91796875,0.11823459714651108,0.0,28,3,2018-01-01
STANDARD,R_A3,298.0298767089844,4,1602.8878173828125,0,41,298.0298767089844,0.1470811814069748,0.0,29,3,2018-01-01
STANDARD,R_A3,298.17327880859375,5,1605.02783203125,0,41,298.17327880859375,0.1771586388349533,0.0,29,4,2018-01-01
STANDARD,R_A3,298.3166809082031,6,1607.167724609375,0,41,298.3166809082031,0.8117445707321167,0.0,29,5,2018-01-01
STANDARD,R_A3,298.4601135253906,7,1609.3077392578125,0,41,298.4601135253906,0.6481541991233826,0.0,29,6,2018-01-01
STANDARD,R_A3,298.603515625,8,1611.44775390625,0,41,298.603515625,0.20026160776615143,0.0,29,7,2018-01-01
STANDARD,R_A3,298.7469482421875,9,1613.587646484375,0,41,298.7469482421875,0.2026936411857605,0.0,29,8,2018-01-01
STANDARD,R_A3,298.8903503417969,10,1615.7276611328125,0,41,298.8903503417969,0.6629404425621033,0.0,29,9,2018-01-01
STANDARD,R_A3,299.0337829589844,11,1617.86767578125,0,41,299.0337829589844,0.27033835649490356,0.0,29,10,2018-01-01
STANDARD,R_A3,299.1802062988281,12,1620.05224609375,0,41,299.1802062988281,0.05055021494626999,0.0,29,11,2018-01-01
STANDARD,R_A3,299.32965087890625,13,1622.281494140625,0,41,299.32965087890625,0.05773710459470749,0.0,29,12,2018-01-01
STANDARD,R_A3,299.47906494140625,14,1624.5107421875,0,41,299.47906494140625,0.22827701270580292,0.0,29,13,2018-01-01
STANDARD,R_A3,299.6285095214844,15,1626.739990234375,0,41,299.6285095214844,0.05107844993472099,0.0,29,14,2018-01-01
STANDARD,R_A3,299.7779235839844,16,1628.96923828125,0,41,299.7779235839844,0.49829408526420593,0.0,29,15,2018-01-01
STANDARD,R_A3,299.9090270996094,17,1630.9248046875,0,41,299.9090270996094,0.810473620891571,0.0,29,16,2018-01-01
STANDARD,R_A3,299.9760437011719,18,1631.92431640625,0,41,299.9760437011719,0.742664635181427,0.0,29,17,2018-01-01
STANDARD,R_A3,300.1091613769531,19,1633.9100341796875,0,41,300.1091613769531,0.6481541991233826,0.0,29,25,2018-01-01
STANDARD,R_A3,300.35418701171875,20,1637.564697265625,0,41,300.35418701171875,0.04816198721528053,0.0,29,26,2018-01-01
STANDARD,R_A3,300.5992431640625,21,1641.219482421875,0,41,300.5992431640625,0.16170327365398407,0.0,29,27,2018-01-01
STANDARD,R_A3,300.84429931640625,22,1644.874267578125,0,41,300.84429931640625,0.710116982460022,0.0,29,28,2018-01-01
STANDARD,R_A3,301.0893859863281,23,1648.5289306640625,0,41,301.0893859863281,0.12993738055229187,0.0,29,29,2018-01-01
STANDARD,R_A4,299.9469909667969,1,1631.4910888671875,0,52,299.9469909667969,0.055154357105493546,0.0,30,1,2018-01-01
STANDARD,R_A4,299.5140686035156,2,1625.0330810546875,0,52,299.5140686035156,0.050148699432611465,0.0,31,1,2018-01-01
STANDARD,R_A4,299.6468200683594,3,1627.01318359375,0,52,299.6468200683594,0.052091967314481735,0.0,31,2,2018-01-01
STANDARD,R_A4,299.779541015625,4,1628.9931640625,0,52,299.779541015625,0.052286844700574875,0.0,31,3,2018-01-01
STANDARD,R_A4,299.91229248046875,5,1630.9732666015625,0,52,299.91229248046875,0.05356040969491005,0.0,31,4,2018-01-01
STANDARD,R_A4,300.0450134277344,6,1632.9532470703125,0,52,300.0450134277344,0.31055063009262085,0.0,31,5,2018-01-01
STANDARD,R_A4,300.1777648925781,7,1634.933349609375,0,52,300.1777648925781,0.14789147675037384,0.0,31,6,2018-01-01
STANDARD,R_A4,299.8782653808594,8,1630.4656982421875,0,52,299.8782653808594,0.07917126268148422,0.0,32,6,2018-01-01
STANDARD,R_A4,300.3980712890625,9,1638.21923828125,0,51,300.3980712890625,0.060476768761873245,0.0,32,6,2018-01-01
STANDARD,R_A4,300.2841796875,10,1636.5201416015625,0,51,300.2841796875,0.06066812574863434,0.0,32,5,2018-01-01
STANDARD,R_A4,300.2729187011719,11,1636.3521728515625,0,51,300.2729187011719,0.06023915484547615,0.0,33,5,2018-01-01
STANDARD,R_A4,300.15692138671875,12,1634.622314453125,0,51,300.15692138671875,0.06014961376786232,0.0,33,4,2018-01-01
STANDARD,R_A4,300.7897033691406,13,1644.06005859375,0,50,300.7897033691406,0.07062667608261108,0.0,33,4,2018-01-01
STANDARD,R_A4,300.6375732421875,14,1641.791259765625,0,50,300.6375732421875,0.06865154206752777,0.0,34,4,2018-01-01
STANDARD,R_A4,300.51806640625,15,1640.0086669921875,0,50,300.51806640625,0.15150965750217438,0.0,34,3,2018-01-01
STANDARD,R_A4,300.4308166503906,16,1638.70751953125,0,50,300.4308166503906,0.12181191891431808,0.0,35,3,2018-01-01
STANDARD,R_A4,300.8907775878906,17,1645.5670166015625,0,49,300.8907775878906,0.15783487260341644,0.0,35,3,2018-01-01
STANDARD,R_A4,300.7734069824219,18,1643.816650390625,0,49,300.7734069824219,0.25073838233947754,0.0,35,2,2018-01-01
STANDARD,R_A4,300.8352355957031,19,1644.7391357421875,0,49,300.8352355957031,0.059359364211559296,0.0,36,29,2018-01-01
STANDARD,R_A4,300.9052734375,20,1645.783447265625,0,48,300.9052734375,0.6481541991233826,0.0,36,29,2018-01-01
STANDARD,R_A4,301.40936279296875,21,1653.3004150390625,0,48,301.40936279296875,0.2808645963668823,0.0,37,29,2018-01-01
STANDARD,R_A4,301.035888671875,22,1647.7313232421875,0,48,301.035888671875,0.6481541991233826,0.0,37,28,2018-01-01
STANDARD,R_A4,300.6624755859375,23,1642.162353515625,0,48,300.6624755859375,0.15289808809757233,0.0,37,27,2018-01-01
STANDARD,R_A4,301.1012268066406,24,1648.705810546875,0,48,301.1012268066406,0.15796922147274017,0.0,38,27,2018-01-01
STANDARD,R_A4,301.75689697265625,25,1658.482177734375,0,47,301.75689697265625,0.20938776433467865,0.0,38,27,2018-01-01
STANDARD,R_A5,303.8526916503906,1,1685.1171875,0,20,303.8526916503906,1.0,0.0,31,1,2018-01-01
STANDARD,R_A5,304.04461669921875,2,1687.142822265625,0,20,304.04461669921875,1.0,0.0,31,2,2018-01-01
STANDARD,R_A5,304.2366027832031,3,1689.16845703125,0,20,304.2366027832031,1.0,0.0,31,3,2018-01-01
STANDARD,R_A5,304.4285583496094,4,1691.194091796875,0,20,304.4285583496094,1.0,0.0,31,4,2018-01-01
STANDARD,R_A5,304.6205139160156,5,1693.2197265625,0,20,304.6205139160156,1.0,0.0,31,5,2018-01-01
STANDARD,R_A5,304.8124694824219,6,1695.2452392578125,0,20,304.8124694824219,1.0,0.0,31,6,2018-01-01
STANDARD,R_A5,305.3102111816406,7,1697.2708740234375,0,20,305.3102111816406,1.0,0.0,31,7,2018-01-01
STANDARD,R_A5,304.99578857421875,8,1697.108642578125,0,21,304.99578857421875,1.0,0.0,31,8,2018-01-01
STANDARD,R_A5,305.1944885253906,9,1699.20556640625,0,21,305.1944885253906,1.0,0.0,31,9,2018-01-01
STANDARD,R_A5,305.5767517089844,10,1703.308837890625,0,21,305.5767517089844,1.0,0.0,31,11,2018-01-01
STANDARD,R_A5,305.7583312988281,11,1705.224853515625,0,21,305.7583312988281,1.0,0.0,31,12,2018-01-01
STANDARD,R_A5,305.9518737792969,12,1707.140869140625,0,21,305.9518737792969,1.0,0.0,31,13,2018-01-01
STANDARD,R_A5,306.1334533691406,13,1709.056884765625,0,21,306.1334533691406,1.0,0.0,31,14,2018-01-01
STANDARD,R_A5,306.4600524902344,14,1710.972900390625,0,21,306.4600524902344,1.0,0.0,31,15,2018-01-01
STANDARD,R_A5,306.6416320800781,15,1712.888916015625,0,21,306.6416320800781,1.0,0.0,31,16,2018-01-01
STANDARD,R_A5,306.8102722167969,16,1714.6680908203125,0,21,306.8102722167969,1.0,0.0,31,17,2018-01-01
STANDARD,R_A5,306.9000549316406,17,1715.615478515625,0,21,306.9000549316406,1.0,0.0,31,18,2018-01-01
STANDARD,R_A5,306.8511657714844,18,1716.7574462890625,0,21,306.8511657714844,1.0,0.0,31,25,2018-01-01
STANDARD,R_A5,307.043701171875,19,1718.7889404296875,0,21,307.043701171875,1.0,0.0,31,26,2018-01-01
STANDARD,R_A5,307.54205322265625,20,1720.820556640625,0,21,307.54205322265625,1.0,0.0,31,27,2018-01-01
STANDARD,R_A5,307.7345886230469,21,1722.85205078125,0,21,307.7345886230469,1.0,0.0,31,28,2018-01-01
STANDARD,R_A5,307.9271240234375,22,1724.8836669921875,0,21,307.9271240234375,1.0,0.0,31,29,2018-01-01
STANDARD,R_A6,305.15533447265625,1,1695.636474609375,0,42,305.15533447265625,1.0,0.0,17,1,2018-01-01
STANDARD,R_A6,305.3034973144531,2,1697.199951171875,0,42,305.3034973144531,1.0,0.0,17,2,2018-01-01
STANDARD,R_A6,305.45166015625,3,1698.763427734375,0,42,305.45166015625,1.0,0.0,17,3,2018-01-01
STANDARD,R_A6,305.5998229980469,4,1700.326904296875,0,42,305.5998229980469,1.0,0.0,17,4,2018-01-01
STANDARD,R_A6,305.74798583984375,5,1701.890380859375,0,42,305.74798583984375,1.0,0.0,17,5,2018-01-01
STANDARD,R_A6,305.8961486816406,6,1703.453857421875,0,42,305.8961486816406,1.0,0.0,17,6,2018-01-01
STANDARD,R_A6,305.7452697753906,7,1705.017333984375,0,42,305.7452697753906,1.0,0.0,17,7,2018-01-01
STANDARD,R_A6,305.8934326171875,8,1706.580810546875,0,42,305.8934326171875,1.0,0.0,17,8,2018-01-01
STANDARD,R_A6,306.3406677246094,9,1708.144287109375,0,42,306.3406677246094,1.0,0.0,17,9,2018-01-01
STANDARD,R_A6,306.48883056640625,10,1709.7076416015625,0,42,306.48883056640625,1.0,0.0,17,10,2018-01-01
STANDARD,R_A6,306.3652648925781,11,1711.629150390625,0,42,306.3652648925781,1.0,0.0,17,11,2018-01-01
STANDARD,R_A6,306.5812683105469,12,1713.908447265625,0,42,306.5812683105469,1.0,0.0,17,12,2018-01-01
STANDARD,R_A6,306.80926513671875,13,1716.187744140625,0,42,306.80926513671875,1.0,0.0,17,13,2018-01-01
STANDARD,R_A6,307.0252990722656,14,1718.467041015625,0,42,307.0252990722656,1.0,0.0,17,14,2018-01-01
STANDARD,R_A6,307.2413024902344,15,1720.746337890625,0,42,307.2413024902344,1.0,0.0,17,15,2018-01-01
STANDARD,R_A6,307.60235595703125,16,1723.025634765625,0,42,307.60235595703125,1.0,0.0,17,16,2018-01-01
STANDARD,R_A6,307.8183898925781,17,1725.304931640625,0,42,307.8183898925781,1.0,0.0,17,17,2018-01-01
STANDARD,R_A6,307.9814758300781,18,1727.0257568359375,0,42,307.9814758300781,1.0,0.0,17,18,2018-01-01
STANDARD,R_A6,307.9618225097656,19,1728.4759521484375,0,42,307.9618225097656,1.0,0.0,17,25,2018-01-01
STANDARD,R_A6,308.12652587890625,20,1730.2138671875,0,42,308.12652587890625,1.0,0.0,17,26,2018-01-01
STANDARD,R_A6,308.5970458984375,21,1731.9517822265625,0,42,308.5970458984375,1.0,0.0,17,27,2018-01-01
STANDARD,R_A6,308.7617492675781,22,1733.6895751953125,0,42,308.7617492675781,1.0,0.0,17,28,2018-01-01
STANDARD,R_A6,308.6206970214844,23,1735.427490234375,0,42,308.6206970214844,1.0,0.0,17,29,2018-01-01
STANDARD,R_A2,297.8799743652344,1,1643.0615234375,0,30,297.8799743652344,0.06138293072581291,0.0,22,1,2018-03-01
STANDARD,R_A2,298.0057678222656,2,1644.9385986328125,0,30,298.0057678222656,0.06278162449598312,0.0,22,2,2018-03-01
STANDARD,R_A2,298.1315612792969,3,1646.815673828125,0,30,298.1315612792969,0.06608834117650986,0.0,22,3,2018-03-01
STANDARD,R_A2,298.2573547363281,4,1648.692626953125,0,30,298.2573547363281,0.07459147274494171,0.0,22,4,2018-03-01
STANDARD,R_A2,298.3831787109375,5,1650.569580078125,0,30,298.3831787109375,0.07731731235980988,0.0,22,5,2018-03-01
STANDARD,R_A2,298.5344543457031,6,1652.44677734375,0,30,298.5344543457031,0.3270552158355713,0.0,22,6,2018-03-01
STANDARD,R_A2,298.6714782714844,7,1654.32373046875,0,30,298.6714782714844,0.920555830001831,0.0,22,7,2018-03-01
STANDARD,R_A2,298.8048400878906,8,1656.20068359375,0,30,298.8048400878906,0.9205649495124817,0.0,22,8,2018-03-01
STANDARD,R_A2,299.227783203125,9,1658.0777587890625,0,30,299.227783203125,0.9411396980285645,0.0,22,9,2018-03-01
STANDARD,R_A2,299.6640319824219,10,1659.954833984375,0,30,299.6640319824219,0.9513609409332275,0.0,22,10,2018-03-01
STANDARD,R_A2,300.12054443359375,11,1661.8966064453125,0,30,300.12054443359375,0.09436609596014023,0.0,22,11,2018-03-01
STANDARD,R_A2,300.2449951171875,12,1663.9033203125,0,30,300.2449951171875,0.11367430537939072,0.0,22,12,2018-03-01
STANDARD,R_A2,300.4574890136719,13,1665.909912109375,0,30,300.4574890136719,0.5280536413192749,0.0,22,13,2018-03-01
STANDARD,R_A2,300.5960693359375,14,1667.9166259765625,0,30,300.5960693359375,0.5874060392379761,0.0,22,14,2018-03-01
STANDARD,R_A2,300.7320251464844,15,1669.9232177734375,0,30,300.7320251464844,0.8664484620094299,0.0,22,15,2018-03-01
STANDARD,R_A2,300.5104064941406,16,1663.690185546875,0,29,300.5104064941406,0.7627949118614197,0.0,22,15,2018-03-01
STANDARD,R_A2,300.4572448730469,17,1665.7879638671875,0,29,300.4572448730469,0.9800662398338318,0.0,22,16,2018-03-01
STANDARD,R_A2,300.5978088378906,18,1667.8857421875,0,29,300.5978088378906,0.9657105803489685,0.0,22,17,2018-03-01
STANDARD,R_A2,300.7384033203125,19,1669.9835205078125,0,29,300.7384033203125,0.9720481634140015,0.0,22,18,2018-03-01
STANDARD,R_A2,300.8387756347656,20,1671.4813232421875,0,29,300.8387756347656,1.0,-3.4925767833371424e-10,22,19,2018-03-01
STANDARD,R_A2,302.45587158203125,21,1672.8944091796875,0,29,302.45587158203125,1.0,-2.265344512927185e-15,22,25,2018-03-01
STANDARD,R_A2,303.0733337402344,22,1674.82275390625,0,29,303.0733337402344,1.0,-4.3240118749935774e-16,22,26,2018-03-01
STANDARD,R_A2,303.3165588378906,23,1676.7510986328125,0,29,303.3165588378906,1.0,-6.2431320413074815e-16,22,27,2018-03-01
STANDARD,R_A2,303.51177978515625,24,1678.6795654296875,0,29,303.51177978515625,1.0,-6.7376448048702374e-15,22,28,2018-03-01
STANDARD,R_A2,303.6897277832031,25,1680.60791015625,0,29,303.6897277832031,1.0,-3.72652280669801e-14,22,29,2018-03-01
STANDARD,R_A5,278.1512451171875,1,1685.1171875,0,20,278.1512451171875,0.9999999403953552,-1.702404439640759e-09,31,1,2018-04-28
STANDARD,R_A5,278.3432312011719,2,1687.142822265625,0,20,278.3432312011719,0.9999999403953552,-2.050185354818268e-09,31,2,2018-04-28
STANDARD,R_A5,278.5354309082031,3,1689.16845703125,0,20,278.5354309082031,0.9999999403953552,-2.047874758659418e-09,31,3,2018-04-28
STANDARD,R_A5,278.72772216796875,4,1691.194091796875,0,20,278.72772216796875,0.9999999403953552,-2.1673798311638848e-09,31,4,2018-04-28
STANDARD,R_A5,278.9195556640625,5,1693.2197265625,0,20,278.9195556640625,0.9999999403953552,-1.6968264571204372e-09,31,5,2018-04-28
STANDARD,R_A5,279.1111755371094,6,1695.2452392578125,0,20,279.1111755371094,1.0,-6.652629003234267e-10,31,6,2018-04-28
STANDARD,R_A5,279.64288330078125,7,1697.2708740234375,0,20,279.64288330078125,1.0,-5.973469982545332e-12,31,7,2018-04-28
STANDARD,R_A5,279.9708557128906,8,1697.108642578125,0,21,279.9708557128906,1.0,0.0,31,8,2018-04-28
STANDARD,R_A5,279.7896423339844,9,1699.20556640625,0,21,279.7896423339844,1.0,0.0,31,9,2018-04-28
STANDARD,R_A5,281.9720153808594,10,1703.308837890625,0,21,281.9720153808594,1.0,-1.72153459022939e-12,31,11,2018-04-28
STANDARD,R_A5,282.1539611816406,11,1705.224853515625,0,21,282.1539611816406,1.0,-1.9343461294535347e-12,31,12,2018-04-28
STANDARD,R_A5,282.3529968261719,12,1707.140869140625,0,21,282.3529968261719,1.0,-9.988922666445688e-14,31,13,2018-04-28
STANDARD,R_A5,282.5505065917969,13,1709.056884765625,0,21,282.5505065917969,1.0,-6.886892857209392e-14,31,14,2018-04-28
STANDARD,R_A5,282.99176025390625,14,1710.972900390625,0,21,282.99176025390625,1.0,-1.1935692878657905e-14,31,15,2018-04-28
STANDARD,R_A5,283.7872314453125,15,1712.888916015625,0,21,283.7872314453125,1.0,-2.668477773953371e-15,31,16,2018-04-28
STANDARD,R_A5,284.598876953125,16,1714.6680908203125,0,21,284.598876953125,1.0,-2.217575878108542e-15,31,17,2018-04-28
STANDARD,R_A5,284.8412170410156,17,1715.615478515625,0,21,284.8412170410156,1.0,0.0,31,18,2018-04-28
STANDARD,R_A5,285.6781005859375,18,1716.7574462890625,0,21,285.6781005859375,1.0,-1.7578085119212758e-14,31,25,2018-04-28
STANDARD,R_A5,285.8950500488281,19,1718.7889404296875,0,21,285.8950500488281,1.0,-1.9359757937389976e-14,31,26,2018-04-28
STANDARD,R_A5,296.3400573730469,20,1720.820556640625,0,21,296.3400573730469,1.0,-2.0688429315836944e-21,31,27,2018-04-28
STANDARD,R_A5,303.5069885253906,21,1722.85205078125,0,21,303.5069885253906,1.0,9.709619352354647e-23,31,28,2018-04-28
STANDARD,R_A5,306.38482666015625,22,1724.8836669921875,0,21,306.38482666015625,1.0,2.548891878738722e-22,31,29,2018-04-28
STANDARD,R_A3,277.7516784667969,1,1611.991943359375,0,41,277.7516784667969,0.1393984854221344,0.0,28,1,2018-07-03
STANDARD,R_A3,277.8899230957031,2,1614.0657958984375,0,41,277.8899230957031,0.11906493455171585,0.0,28,2,2018-07-03
STANDARD,R_A3,278.0282287597656,3,1616.1396484375,0,41,278.0282287597656,0.11880342662334442,0.0,28,3,2018-07-03
STANDARD,R_A3,277.1389465332031,4,1602.8878173828125,0,41,277.1389465332031,0.14843697845935822,0.0,29,3,2018-07-03
STANDARD,R_A3,277.2816467285156,5,1605.02783203125,0,41,277.2816467285156,0.17869587242603302,0.0,29,4,2018-07-03
STANDARD,R_A3,277.5543518066406,6,1607.167724609375,0,41,277.5543518066406,0.8078304529190063,0.0,29,5,2018-07-03
STANDARD,R_A3,277.6450500488281,7,1609.3077392578125,0,41,277.6450500488281,0.6497864723205566,0.0,29,6,2018-07-03
STANDARD,R_A3,277.7965087890625,8,1611.44775390625,0,41,277.7965087890625,0.20071479678153992,0.0,29,7,2018-07-03
STANDARD,R_A3,277.9391784667969,9,1613.587646484375,0,41,277.9391784667969,0.20316769182682037,0.0,29,8,2018-07-03
STANDARD,R_A3,278.05596923828125,10,1615.7276611328125,0,41,278.05596923828125,0.6647858023643494,0.0,29,9,2018-07-03
STANDARD,R_A3,278.1655578613281,11,1617.86767578125,0,41,278.1655578613281,0.2699946463108063,0.0,29,10,2018-07-03
STANDARD,R_A3,287.515625,12,1620.05224609375,0,41,287.515625,0.050618287175893784,0.0,29,11,2018-07-03
STANDARD,R_A3,287.66461181640625,13,1622.281494140625,0,41,287.66461181640625,0.057793669402599335,0.0,29,12,2018-07-03
STANDARD,R_A3,287.8132019042969,14,1624.5107421875,0,41,287.8132019042969,0.22854676842689514,0.0,29,13,2018-07-03
STANDARD,R_A3,288.60980224609375,15,1626.739990234375,0,41,288.60980224609375,0.05113237723708153,0.0,29,14,2018-07-03
STANDARD,R_A3,288.35382080078125,16,1628.96923828125,0,41,288.35382080078125,0.49778077006340027,0.0,29,15,2018-07-03
STANDARD,R_A3,288.48443603515625,17,1630.9248046875,0,41,288.48443603515625,0.8098200559616089,0.0,29,16,2018-07-03
STANDARD,R_A3,288.54486083984375,18,1631.92431640625,0,41,288.54486083984375,0.742560863494873,0.0,29,17,2018-07-03
STANDARD,R_A3,287.10986328125,19,1633.9100341796875,0,41,287.10986328125,0.6520525813102722,0.0,29,25,2018-07-03
STANDARD,R_A3,287.5113220214844,20,1637.564697265625,0,41,287.5113220214844,0.04906709864735603,0.0,29,26,2018-07-03
STANDARD,R_A3,287.75567626953125,21,1641.219482421875,0,41,287.75567626953125,0.16505682468414307,0.0,29,27,2018-07-03
STANDARD,R_A3,288.0127258300781,22,1644.874267578125,0,41,288.0127258300781,0.7113269567489624,0.0,29,28,2018-07-03
STANDARD,R_A3,288.1679992675781,23,1648.5289306640625,0,41,288.1679992675781,0.13306879997253418,0.0,29,29,2018-07-03
STANDARD,R_A4,278.1166687011719,1,1631.4910888671875,0,52,278.1166687011719,0.05521061643958092,0.0,30,1,2018-09-12
STANDARD,R_A4,277.8108215332031,2,1625.0330810546875,0,52,277.8108215332031,0.05029231309890747,0.0,31,1,2018-09-12
STANDARD,R_A4,277.94287109375,3,1627.01318359375,0,52,277.94287109375,0.052244026213884354,0.0,31,2,2018-09-12
STANDARD,R_A4,278.07489013671875,4,1628.9931640625,0,52,278.07489013671875,0.052462268620729446,0.0,31,3,2018-09-12
STANDARD,R_A4,278.2068786621094,5,1630.9732666015625,0,52,278.2068786621094,0.05375193804502487,0.0,31,4,2018-09-12
STANDARD,R_A4,278.3896789550781,6,1632.9532470703125,0,52,278.3896789550781,0.3083299696445465,0.0,31,5,2018-09-12
STANDARD,R_A4,278.4485168457031,7,1634.933349609375,0,52,278.4485168457031,0.14829933643341064,0.0,31,6,2018-09-12
STANDARD,R_A4,278.2694091796875,8,1630.4656982421875,0,52,278.2694091796875,0.07936397194862366,0.0,32,6,2018-09-12
STANDARD,R_A4,278.6224670410156,9,1638.21923828125,0,51,278.6224670410156,0.060753144323825836,0.0,32,6,2018-09-12
STANDARD,R_A4,278.50927734375,10,1636.5201416015625,0,51,278.50927734375,0.06117194518446922,0.0,32,5,2018-09-12
STANDARD,R_A4,278.6318359375,11,1636.3521728515625,0,51,278.6318359375,0.06033671647310257,0.0,33,5,2018-09-12
STANDARD,R_A4,278.5166015625,12,1634.622314453125,0,51,278.5166015625,0.06024470925331116,0.0,33,4,2018-09-12
STANDARD,R_A4,278.9520263671875,13,1644.06005859375,0,50,278.9520263671875,0.07089725881814957,0.0,33,4,2018-09-12
STANDARD,R_A4,278.9761657714844,14,1641.791259765625,0,50,278.9761657714844,0.0688556358218193,0.0,34,4,2018-09-12
STANDARD,R_A4,278.8573913574219,15,1640.0086669921875,0,50,278.8573913574219,0.15187394618988037,0.0,34,3,2018-09-12
STANDARD,R_A4,278.9343566894531,16,1638.70751953125,0,50,278.9343566894531,0.12196195125579834,0.0,35,3,2018-09-12
STANDARD,R_A4,279.2437438964844,17,1645.5670166015625,0,49,279.2437438964844,0.15701377391815186,0.0,35,3,2018-09-12
STANDARD,R_A4,279.1266174316406,18,1643.816650390625,0,49,279.1266174316406,0.24962572753429413,0.0,35,2,2018-09-12
STANDARD,R_A4,278.01971435546875,19,1644.7391357421875,0,49,278.01971435546875,0.06037316098809242,0.0,36,29,2018-09-12
STANDARD,R_A4,277.3607177734375,20,1645.783447265625,0,48,277.3607177734375,0.6757707595825195,0.0,36,29,2018-09-12
STANDARD,R_A4,278.5887145996094,21,1653.3004150390625,0,48,278.5887145996094,0.24421532452106476,0.0,37,29,2018-09-12
STANDARD,R_A4,277.9637451171875,22,1647.7313232421875,0,48,277.9637451171875,0.6747589111328125,0.0,37,28,2018-09-12
STANDARD,R_A4,277.6666564941406,23,1642.162353515625,0,48,277.6666564941406,0.14202864468097687,0.0,37,27,2018-09-12
STANDARD,R_A4,278.64483642578125,24,1648.705810546875,0,48,278.64483642578125,0.15201883018016815,0.0,38,27,2018-09-12
STANDARD,R_A4,279.094970703125,25,1658.482177734375,0,47,279.094970703125,0.19893871247768402,0.0,38,27,2018-09-12
STANDARD,R_A6,274.59423828125,1,1695.636474609375,0,42,274.59423828125,1.0,-1.0158918790827837e-13,17,1,2018-11-07
