DATE,SWAT,WELLMODEL,CONBPRES,PRESSURE,CONJPOS,CONIPOS,SGAS,DEPTH,CONIDX,DRAWDOWN,WELL,CONKPOS
2018-01-01,0.6481541991233826,STANDARD,299.3375244140625,299.3375244140625,41,29,0.0,1619.67333984375,11,0,R_A3,10
2018-01-01,0.046337440609931946,STANDARD,299.4819030761719,299.4819030761719,41,29,0.0,1621.827392578125,12,0,R_A3,11
2018-01-01,0.05456223338842392,STANDARD,299.6371154785156,299.6371154785156,41,29,0.0,1624.1427001953125,13,0,R_A3,12
2018-01-01,0.3699975907802582,STANDARD,299.79229736328125,299.79229736328125,41,29,0.0,1626.4578857421875,14,0,R_A3,13
2018-01-01,0.12848249077796936,STANDARD,299.9475402832031,299.9475402832031,41,29,0.0,1628.773193359375,15,0,R_A3,14
2018-01-01,0.601466715335846,STANDARD,300.1027526855469,300.1027526855469,41,29,0.0,1631.0885009765625,16,0,R_A3,15
2018-01-01,0.7998678088188171,STANDARD,300.2252502441406,300.2252502441406,41,29,0.0,1632.915771484375,17,0,R_A3,16
2018-01-01,0.1818685084581375,STANDARD,300.38995361328125,300.38995361328125,41,29,0.0,1635.3724365234375,18,0,R_A3,26
2018-01-01,0.044023916125297546,STANDARD,300.6296081542969,300.6296081542969,41,29,0.0,1638.946533203125,19,0,R_A3,27
2018-01-01,0.19951140880584717,STANDARD,300.8692626953125,300.8692626953125,41,29,0.0,1642.5205078125,20,0,R_A3,28
2018-01-01,1.0,STANDARD,301.1089172363281,301.1089172363281,41,29,0.0,1646.094482421875,21,0,R_A3,29
2018-01-01,0.0623391829431057,STANDARD,301.3486022949219,301.3486022949219,41,29,0.0,1649.6685791015625,22,0,R_A3,30
2018-01-01,0.048843108117580414,STANDARD,300.1343688964844,300.1343688964844,52,30,0.0,1631.5599365234375,1,0,R_A4,1
2018-01-01,0.047835513949394226,STANDARD,299.821044921875,299.821044921875,52,31,0.0,1626.88671875,2,0,R_A4,1
2018-01-01,0.048734135925769806,STANDARD,299.95489501953125,299.95489501953125,52,31,0.0,1628.8829345703125,3,0,R_A4,2
2018-01-01,0.04972897097468376,STANDARD,300.0887145996094,300.0887145996094,52,31,0.0,1630.879150390625,4,0,R_A4,3
2018-01-01,0.05278849974274635,STANDARD,300.2225341796875,300.2225341796875,52,31,0.0,1632.8753662109375,5,0,R_A4,4
2018-01-01,0.053164537996053696,STANDARD,300.35638427734375,300.35638427734375,52,31,0.0,1634.87158203125,6,0,R_A4,5
2018-01-01,0.053442638367414474,STANDARD,300.1914978027344,300.1914978027344,52,32,0.0,1632.4122314453125,7,0,R_A4,5
2018-01-01,0.05486868694424629,STANDARD,300.5213623046875,300.5213623046875,51,32,0.0,1637.332275390625,8,0,R_A4,5
2018-01-01,0.05468802526593208,STANDARD,300.40472412109375,300.40472412109375,51,32,0.0,1635.592529296875,9,0,R_A4,4
2018-01-01,0.05671282485127449,STANDARD,300.5254821777344,300.5254821777344,51,33,0.0,1637.3935546875,10,0,R_A4,4
2018-01-01,0.05585532262921333,STANDARD,300.40814208984375,300.40814208984375,51,33,0.0,1635.643310546875,11,0,R_A4,3
2018-01-01,0.06336776167154312,STANDARD,300.9091491699219,300.9091491699219,50,33,0.0,1643.115478515625,12,0,R_A4,4
2018-01-01,0.06093220412731171,STANDARD,300.8128356933594,300.8128356933594,50,34,0.0,1641.6793212890625,13,0,R_A4,4
2018-01-01,0.06083875149488449,STANDARD,300.689208984375,300.689208984375,50,34,0.0,1639.8355712890625,14,0,R_A4,3
2018-01-01,0.09968753159046173,STANDARD,300.8772277832031,300.8772277832031,50,35,0.0,1642.63916015625,15,0,R_A4,3
2018-01-01,0.11398361623287201,STANDARD,300.7581787109375,300.7581787109375,50,35,0.0,1640.86376953125,16,0,R_A4,2
2018-01-01,0.22906379401683807,STANDARD,300.9209289550781,300.9209289550781,49,35,0.0,1643.291259765625,17,0,R_A4,2
2018-01-01,0.22997814416885376,STANDARD,300.8028564453125,300.8028564453125,49,35,0.0,1641.5301513671875,18,0,R_A4,1
2018-01-01,0.2300882637500763,STANDARD,301.1553649902344,301.1553649902344,49,36,0.0,1646.787109375,19,0,R_A4,29
2018-01-01,0.05527479201555252,STANDARD,300.88507080078125,300.88507080078125,48,36,0.0,1642.756591796875,20,0,R_A4,29
2018-01-01,0.09624339640140533,STANDARD,301.39739990234375,301.39739990234375,48,37,0.0,1650.39599609375,21,0,R_A4,29
2018-01-01,1.0,STANDARD,301.018310546875,301.018310546875,48,37,0.0,1644.7432861328125,22,0,R_A4,28
2018-01-01,0.7143598198890686,STANDARD,301.6058654785156,301.6058654785156,48,38,0.0,1653.504638671875,23,0,R_A4,28
2018-01-01,0.6481541991233826,STANDARD,301.94049072265625,301.94049072265625,47,38,0.0,1658.493896484375,24,0,R_A4,28
2018-01-01,1.0,STANDARD,303.974365234375,303.974365234375,20,31,0.0,1686.4013671875,1,0,R_A5,1
2018-01-01,1.0,STANDARD,304.1958923339844,304.1958923339844,20,31,0.0,1688.7388916015625,2,0,R_A5,2
2018-01-01,1.0,STANDARD,304.4173889160156,304.4173889160156,20,31,0.0,1691.0765380859375,3,0,R_A5,3
2018-01-01,1.0,STANDARD,304.638916015625,304.638916015625,20,31,0.0,1693.4141845703125,4,0,R_A5,4
