CONKPOS,DRAWDOWN,SGAS,WELLMODEL,DEPTH,CONJPOS,DATE,CONIPOS,SWAT,WELL,CONBPRES,CONIDX,PRESSURE
4,0,0.0,STANDARD,1635.880615234375,51,2018-01-01,32,0.059060242027044296,R_A4,300.3236999511719,7,300.3236999511719
4,0,0.0,STANDARD,1637.321044921875,51,2018-01-01,33,0.0928310677409172,R_A4,300.4202575683594,8,300.4202575683594
3,0,0.0,STANDARD,1635.474609375,51,2018-01-01,33,0.1678450107574463,R_A4,300.29644775390625,9,300.29644775390625
4,0,0.0,STANDARD,1642.1485595703125,50,2018-01-01,33,0.18907098472118378,R_A4,300.74395751953125,10,300.74395751953125
4,0,0.0,STANDARD,1641.132080078125,50,2018-01-01,34,0.16031335294246674,R_A4,300.67578125,11,300.67578125
3,0,0.0,STANDARD,1639.20703125,50,2018-01-01,34,0.25342857837677,R_A4,300.5467224121094,12,300.5467224121094
3,0,0.0,STANDARD,1640.9061279296875,50,2018-01-01,35,0.16939347982406616,R_A4,300.66064453125,13,300.66064453125
2,0,0.0,STANDARD,1639.0426025390625,50,2018-01-01,35,0.23071172833442688,R_A4,300.53570556640625,14,300.53570556640625
2,0,0.0,STANDARD,1641.93212890625,49,2018-01-01,35,0.23815256357192993,R_A4,300.72943115234375,15,300.72943115234375
30,0,0.0,STANDARD,1642.357421875,49,2018-01-01,36,0.8387154340744019,R_A4,300.7579650878906,16,300.7579650878906
30,0,0.0,STANDARD,1639.6068115234375,48,2018-01-01,36,0.6481541991233826,R_A4,300.5735168457031,17,300.5735168457031
30,0,0.0,STANDARD,1646.7513427734375,48,2018-01-01,37,0.8328254222869873,R_A4,301.0526123046875,18,301.0526123046875
30,0,0.0,STANDARD,1653.461669921875,48,2018-01-01,38,0.6481541991233826,R_A4,301.5025939941406,19,301.5025939941406
30,0,0.0,STANDARD,1657.8184814453125,47,2018-01-01,38,0.8453923463821411,R_A4,301.7947998046875,20,301.7947998046875
1,0,0.0,STANDARD,1685.026611328125,20,2018-01-01,31,1.0,R_A5,303.8440856933594,1,303.8440856933594
2,0,0.0,STANDARD,1687.3070068359375,20,2018-01-01,31,1.0,R_A5,304.0601806640625,2,304.0601806640625
3,0,0.0,STANDARD,1689.5875244140625,20,2018-01-01,31,1.0,R_A5,304.27630615234375,3,304.27630615234375
4,0,0.0,STANDARD,1691.8680419921875,20,2018-01-01,31,1.0,R_A5,304.4924011230469,4,304.4924011230469
5,0,0.0,STANDARD,1694.1485595703125,20,2018-01-01,31,1.0,R_A5,304.7085266113281,5,304.7085266113281
6,0,0.0,STANDARD,1696.4290771484375,20,2018-01-01,31,1.0,R_A5,304.9246520996094,6,304.9246520996094
7,0,0.0,STANDARD,1698.70947265625,20,2018-01-01,31,1.0,R_A5,305.446533203125,7,305.446533203125
11,0,0.0,STANDARD,1707.6488037109375,20,2018-01-01,31,1.0,R_A5,305.988037109375,8,305.988037109375
12,0,0.0,STANDARD,1709.5638427734375,20,2018-01-01,31,1.0,R_A5,306.1695251464844,9,306.1695251464844
12,0,0.0,STANDARD,1701.7845458984375,21,2018-01-01,31,1.0,R_A5,305.4322814941406,10,305.4322814941406
13,0,0.0,STANDARD,1703.735107421875,21,2018-01-01,31,1.0,R_A5,305.6291198730469,11,305.6291198730469
14,0,0.0,STANDARD,1705.6856689453125,21,2018-01-01,31,1.0,R_A5,305.81396484375,12,305.81396484375
15,0,0.0,STANDARD,1707.63623046875,21,2018-01-01,31,1.0,R_A5,305.9988098144531,13,305.9988098144531
16,0,0.0,STANDARD,1709.5867919921875,21,2018-01-01,31,1.0,R_A5,306.3287048339844,14,306.3287048339844
17,0,0.0,STANDARD,1711.537353515625,21,2018-01-01,31,1.0,R_A5,306.5135498046875,15,306.5135498046875
18,0,0.0,STANDARD,1713.35400390625,21,2018-01-01,31,1.0,R_A5,306.6856994628906,16,306.6856994628906
19,0,0.0,STANDARD,1714.3951416015625,21,2018-01-01,31,1.0,R_A5,306.7843933105469,17,306.7843933105469
27,0,0.0,STANDARD,1715.7628173828125,21,2018-01-01,31,1.0,R_A5,306.75689697265625,18,306.75689697265625
28,0,0.0,STANDARD,1718.098388671875,21,2018-01-01,31,1.0,R_A5,306.978271484375,19,306.978271484375
29,0,0.0,STANDARD,1720.43408203125,21,2018-01-01,31,1.0,R_A5,307.5054016113281,20,307.5054016113281
30,0,0.0,STANDARD,1722.7696533203125,21,2018-01-01,31,1.0,R_A5,307.7267761230469,21,307.7267761230469
31,0,0.0,STANDARD,1725.105224609375,21,2018-01-01,31,1.0,R_A5,307.9481506347656,22,307.9481506347656
1,0,0.0,STANDARD,1695.20263671875,42,2018-01-01,17,1.0,R_A6,305.11419677734375,1,305.11419677734375
2,0,0.0,STANDARD,1696.7510986328125,42,2018-01-01,17,1.0,R_A6,304.9618835449219,2,304.9618835449219
3,0,0.0,STANDARD,1698.299560546875,42,2018-01-01,17,1.0,R_A6,305.4076843261719,3,305.4076843261719
4,0,0.0,STANDARD,1699.84814453125,42,2018-01-01,17,1.0,R_A6,305.554443359375,4,305.554443359375
5,0,0.0,STANDARD,1701.3966064453125,42,2018-01-01,17,1.0,R_A6,305.7012023925781,5,305.7012023925781
6,0,0.0,STANDARD,1702.9451904296875,42,2018-01-01,17,1.0,R_A6,305.84796142578125,6,305.84796142578125
7,0,0.0,STANDARD,1704.49365234375,42,2018-01-01,17,1.0,R_A6,305.6956481933594,7,305.6956481933594
8,0,0.0,STANDARD,1706.042236328125,42,2018-01-01,17,1.0,R_A6,305.8424072265625,8,305.8424072265625
9,0,0.0,STANDARD,1707.5906982421875,42,2018-01-01,17,1.0,R_A6,306.2882080078125,9,306.2882080078125
10,0,0.0,STANDARD,1709.1392822265625,42,2018-01-01,17,1.0,R_A6,306.1291809082031,10,306.1291809082031
11,0,0.0,STANDARD,1711.055419921875,42,2018-01-01,17,1.0,R_A6,306.3109130859375,11,306.3109130859375
12,0,0.0,STANDARD,1713.3392333984375,42,2018-01-01,17,1.0,R_A6,306.52734375,12,306.52734375
13,0,0.0,STANDARD,1715.623046875,42,2018-01-01,17,1.0,R_A6,306.7557678222656,13,306.7557678222656
14,0,0.0,STANDARD,1717.9068603515625,42,2018-01-01,17,1.0,R_A6,306.9721984863281,14,306.9721984863281
15,0,0.0,STANDARD,1720.190673828125,42,2018-01-01,17,1.0,R_A6,307.18865966796875,15,307.18865966796875
16,0,0.0,STANDARD,1722.474365234375,42,2018-01-01,17,1.0,R_A6,307.55010986328125,16,307.55010986328125
17,0,0.0,STANDARD,1724.7581787109375,42,2018-01-01,17,1.0,R_A6,307.7665710449219,17,307.7665710449219
18,0,0.0,STANDARD,1726.394287109375,42,2018-01-01,17,1.0,R_A6,307.921630859375,18,307.921630859375
27,0,0.0,STANDARD,1727.7508544921875,42,2018-01-01,17,1.0,R_A6,307.8930969238281,19,307.8930969238281
28,0,0.0,STANDARD,1729.4755859375,42,2018-01-01,17,1.0,R_A6,308.3623352050781,20,308.3623352050781
29,0,0.0,STANDARD,1731.2001953125,42,2018-01-01,17,1.0,R_A6,308.52581787109375,21,308.52581787109375
30,0,0.0,STANDARD,1732.9249267578125,42,2018-01-01,17,1.0,R_A6,308.68927001953125,22,308.68927001953125
31,0,0.0,STANDARD,1734.649658203125,42,2018-01-01,17,1.0,R_A6,308.5469665527344,23,308.5469665527344
1,0,0.0,STANDARD,1641.094970703125,30,2018-03-01,22,0.05761691927909851,R_A2,299.8264465332031,1,299.8264465332031
2,0,0.0,STANDARD,1642.8890380859375,30,2018-03-01,22,0.058539796620607376,R_A2,299.94671630859375,2,299.94671630859375
3,0,0.0,STANDARD,1644.68310546875,30,2018-03-01,22,0.06118204444646835,R_A2,300.0670166015625,3,300.0670166015625
4,0,0.0,STANDARD,1646.4771728515625,30,2018-03-01,22,0.06635870039463043,R_A2,300.1872863769531,4,300.1872863769531
5,0,0.0,STANDARD,1648.2713623046875,30,2018-03-01,22,0.06876102834939957,R_A2,300.3075866699219,5,300.3075866699219
6,0,0.0,STANDARD,1650.0654296875,30,2018-03-01,22,0.3122037947177887,R_A2,300.4325866699219,6,300.4325866699219
7,0,0.0,STANDARD,1651.859619140625,30,2018-03-01,22,0.8978283405303955,R_A2,300.5553283691406,7,300.5553283691406
8,0,0.0,STANDARD,1653.6536865234375,30,2018-03-01,22,0.8618403673171997,R_A2,300.67718505859375,8,300.67718505859375
9,0,0.0,STANDARD,1655.44775390625,30,2018-03-01,22,0.9105033874511719,R_A2,300.80413818359375,9,300.80413818359375
10,0,0.0,STANDARD,1657.2418212890625,30,2018-03-01,22,0.9083698391914368,R_A2,300.85430908203125,10,300.85430908203125
11,0,0.0,STANDARD,1659.1368408203125,30,2018-03-01,22,0.07608373463153839,R_A2,300.8735046386719,11,300.8735046386719
12,0,0.0,STANDARD,1661.132568359375,30,2018-03-01,22,0.0791473388671875,R_A2,301.0049743652344,12,301.0049743652344
13,0,0.0,STANDARD,1663.12841796875,30,2018-03-01,22,0.44890984892845154,R_A2,301.1508483886719,13,301.1508483886719
14,0,0.0,STANDARD,1665.1241455078125,30,2018-03-01,22,0.5070368051528931,R_A2,301.2856750488281,14,301.2856750488281
15,0,0.0,STANDARD,1667.1199951171875,30,2018-03-01,22,0.6860982775688171,R_A2,301.42120361328125,15,301.42120361328125
16,0,0.0,STANDARD,1669.11572265625,30,2018-03-01,22,0.9714600443840027,R_A2,301.55523681640625,16,301.55523681640625
17,0,0.0,STANDARD,1671.111572265625,30,2018-03-01,22,0.9485204815864563,R_A2,301.68939208984375,17,301.68939208984375
18,0,0.0,STANDARD,1672.9881591796875,30,2018-03-01,22,0.9796257615089417,R_A2,301.81536865234375,18,301.81536865234375
18,0,0.0,STANDARD,1674.229736328125,29,2018-03-01,22,0.9940513968467712,R_A2,301.90362548828125,19,301.90362548828125
27,0,0.0,STANDARD,1676.1676025390625,29,2018-03-01,22,0.6482406258583069,R_A2,301.73480224609375,20,301.73480224609375
28,0,-8.312082542172219e-15,STANDARD,1677.9368896484375,29,2018-03-01,22,1.0,R_A2,303.4650573730469,21,303.4650573730469
29,0,-1.922269064234881e-15,STANDARD,1679.7061767578125,29,2018-03-01,22,1.0,R_A2,303.6309509277344,22,303.6309509277344
30,0,-1.165941275412018e-15,STANDARD,1681.4754638671875,29,2018-03-01,22,1.0,R_A2,303.7998046875,23,303.7998046875
31,0,-7.365024268270046e-17,STANDARD,1683.2447509765625,29,2018-03-01,22,1.0,R_A2,303.972412109375,24,303.972412109375
1,0,-1.5221129478354412e-12,STANDARD,1685.026611328125,20,2018-04-28,31,1.0,R_A5,266.82421875,1,266.82421875
2,0,-1.4299611841850357e-12,STANDARD,1687.3070068359375,20,2018-04-28,31,1.0,R_A5,267.03997802734375,2,267.03997802734375
3,0,-1.3805058441881957e-12,STANDARD,1689.5875244140625,20,2018-04-28,31,1.0,R_A5,267.2557678222656,3,267.2557678222656
4,0,-1.5627918880864455e-12,STANDARD,1691.8680419921875,20,2018-04-28,31,1.0,R_A5,267.4715881347656,4,267.4715881347656
5,0,-1.5482499180277665e-12,STANDARD,1694.1485595703125,20,2018-04-28,31,1.0,R_A5,267.6873779296875,5,267.6873779296875
6,0,-1.5027045363255609e-12,STANDARD,1696.4290771484375,20,2018-04-28,31,1.0,R_A5,267.9031677246094,6,267.9031677246094
7,0,-7.131799220193996e-14,STANDARD,1698.70947265625,20,2018-04-28,31,1.0,R_A5,268.4421081542969,7,268.4421081542969
11,0,-5.97703223720325e-12,STANDARD,1707.6488037109375,20,2018-04-28,31,1.0,R_A5,267.46002197265625,8,267.46002197265625
12,0,-5.326331823513053e-12,STANDARD,1709.5638427734375,20,2018-04-28,31,1.0,R_A5,267.6307678222656,9,267.6307678222656
12,0,-2.0115339949278166e-11,STANDARD,1701.7845458984375,21,2018-04-28,31,1.0,R_A5,266.38604736328125,10,266.38604736328125
13,0,-7.515878652948615e-13,STANDARD,1703.735107421875,21,2018-04-28,31,1.0,R_A5,266.580322265625,11,266.580322265625
14,0,-5.155064309453339e-12,STANDARD,1705.6856689453125,21,2018-04-28,31,1.0,R_A5,266.7615051269531,12,266.7615051269531
15,0,-2.5890687163632187e-12,STANDARD,1707.63623046875,21,2018-04-28,31,1.0,R_A5,266.9366760253906,13,266.9366760253906
16,0,-1.9264837121391043e-12,STANDARD,1709.5867919921875,21,2018-04-28,31,1.0,R_A5,267.2339782714844,14,267.2339782714844
17,0,-5.537487786019812e-13,STANDARD,1711.537353515625,21,2018-04-28,31,1.0,R_A5,267.3417663574219,15,267.3417663574219
18,0,-1.0595173826830062e-12,STANDARD,1713.35400390625,21,2018-04-28,31,1.0,R_A5,267.43048095703125,16,267.43048095703125
19,0,0.0,STANDARD,1714.3951416015625,21,2018-04-28,31,1.0,R_A5,267.48944091796875,17,267.48944091796875
27,0,-2.913746582336105e-14,STANDARD,1715.7628173828125,21,2018-04-28,31,1.0,R_A5,267.4534912109375,18,267.4534912109375
28,0,-5.601052797564107e-14,STANDARD,1718.098388671875,21,2018-04-28,31,1.0,R_A5,267.6739501953125,19,267.6739501953125
29,0,-2.430374739100283e-20,STANDARD,1720.43408203125,21,2018-04-28,31,1.0,R_A5,273.7740783691406,20,273.7740783691406
30,0,-1.1121476939987842e-19,STANDARD,1722.7696533203125,21,2018-04-28,31,1.0,R_A5,268.1773986816406,21,268.1773986816406
31,0,-1.4553476443334203e-19,STANDARD,1725.105224609375,21,2018-04-28,31,1.0,R_A5,283.4661865234375,22,283.4661865234375
1,0,0.0,STANDARD,1609.243408203125,41,2018-07-03,28,0.6485042572021484,R_A3,293.0099182128906,1,293.0099182128906
2,0,0.0,STANDARD,1611.3077392578125,41,2018-07-03,28,0.19815081357955933,R_A3,293.14837646484375,2,293.14837646484375
3,0,0.0,STANDARD,1613.3720703125,41,2018-07-03,28,0.19386139512062073,R_A3,293.28656005859375,3,293.28656005859375
4,0,0.0,STANDARD,1615.4365234375,41,2018-07-03,28,0.2557676434516907,R_A3,293.4247741699219,4,293.4247741699219
5,0,0.0,STANDARD,1617.5008544921875,41,2018-07-03,28,0.8280395269393921,R_A3,293.5807800292969,5,293.5807800292969
6,0,0.0,STANDARD,1619.565185546875,41,2018-07-03,28,0.6486849784851074,R_A3,293.7034606933594,6,293.7034606933594
6,0,0.0,STANDARD,1609.3663330078125,41,2018-07-03,29,0.6486431360244751,R_A3,293.01019287109375,7,293.01019287109375
7,0,0.0,STANDARD,1611.4163818359375,41,2018-07-03,29,0.19856224954128265,R_A3,293.1496276855469,8,293.1496276855469
8,0,0.0,STANDARD,1613.46630859375,41,2018-07-03,29,0.20032161474227905,R_A3,293.28680419921875,9,293.28680419921875
9,0,0.0,STANDARD,1615.516357421875,41,2018-07-03,29,0.8023843169212341,R_A3,293.41900634765625,10,293.41900634765625
10,0,0.0,STANDARD,1617.5662841796875,41,2018-07-03,29,0.8012070655822754,R_A3,290.5396728515625,11,290.5396728515625
11,0,0.0,STANDARD,1619.750732421875,41,2018-07-03,29,0.04809337109327316,R_A3,285.53582763671875,12,285.53582763671875
12,0,0.0,STANDARD,1622.0697021484375,41,2018-07-03,29,0.05480951815843582,R_A3,285.69073486328125,13,285.69073486328125
13,0,0.0,STANDARD,1624.388671875,41,2018-07-03,29,0.3700934946537018,R_A3,285.84625244140625,14,285.84625244140625
15,0,0.0,STANDARD,1629.026611328125,41,2018-07-03,29,0.4028855860233307,R_A3,286.0162353515625,15,286.0162353515625
16,0,0.0,STANDARD,1630.9468994140625,41,2018-07-03,29,0.8063992857933044,R_A3,286.12493896484375,16,286.12493896484375
27,0,0.0,STANDARD,1633.5262451171875,41,2018-07-03,29,0.653286874294281,R_A3,286.0745544433594,17,286.0745544433594
28,0,0.0,STANDARD,1637.1630859375,41,2018-07-03,29,0.04668897017836571,R_A3,286.3085021972656,18,286.3085021972656
29,0,0.0,STANDARD,1640.8001708984375,41,2018-07-03,29,0.054694272577762604,R_A3,286.551513671875,19,286.551513671875
30,0,-3.5512006746687974e-13,STANDARD,1644.4371337890625,41,2018-07-03,29,1.0,R_A3,290.1015930175781,20,290.1015930175781
31,0,0.0,STANDARD,1648.0740966796875,41,2018-07-03,29,0.06262873858213425,R_A3,287.0284118652344,21,287.0284118652344
1,0,0.0,STANDARD,1631.1873779296875,52,2018-09-12,30,0.049799397587776184,R_A4,278.6151428222656,1,278.6151428222656
1,0,0.0,STANDARD,1627.4293212890625,52,2018-09-12,31,0.04986950755119324,R_A4,278.473876953125,2,278.473876953125
2,0,0.0,STANDARD,1629.4896240234375,52,2018-09-12,31,0.05138412117958069,R_A4,278.6112365722656,3,278.6112365722656
3,0,0.0,STANDARD,1631.5498046875,52,2018-09-12,31,0.053865622729063034,R_A4,278.7485656738281,4,278.7485656738281
4,0,0.0,STANDARD,1633.610107421875,52,2018-09-12,31,0.05849894508719444,R_A4,278.8858642578125,5,278.8858642578125
4,0,0.0,STANDARD,1632.3968505859375,52,2018-09-12,32,0.056522998958826065,R_A4,278.89227294921875,6,278.89227294921875
4,0,0.0,STANDARD,1635.880615234375,51,2018-09-12,32,0.059440240263938904,R_A4,279.10174560546875,7,279.10174560546875
4,0,0.0,STANDARD,1637.321044921875,51,2018-09-12,33,0.09307865053415298,R_A4,279.32135009765625,8,279.32135009765625
3,0,0.0,STANDARD,1635.474609375,51,2018-09-12,33,0.1682950258255005,R_A4,279.1982421875,9,279.1982421875
4,0,0.0,STANDARD,1642.1485595703125,50,2018-09-12,33,0.1901184320449829,R_A4,279.65191650390625,10,279.65191650390625
4,0,0.0,STANDARD,1641.132080078125,50,2018-09-12,34,0.16090837121009827,R_A4,279.6769104003906,11,279.6769104003906
3,0,0.0,STANDARD,1639.20703125,50,2018-09-12,34,0.25409507751464844,R_A4,279.5491943359375,12,279.5491943359375
3,0,0.0,STANDARD,1640.9061279296875,50,2018-09-12,35,0.16983194649219513,R_A4,279.7801513671875,13,279.7801513671875
2,0,0.0,STANDARD,1639.0426025390625,50,2018-09-12,35,0.23129256069660187,R_A4,279.6561584472656,14,279.6561584472656
2,0,0.0,STANDARD,1641.93212890625,49,2018-09-12,35,0.23878861963748932,R_A4,279.7541198730469,15,279.7541198730469
30,0,0.0,STANDARD,1642.357421875,49,2018-09-12,36,0.8377842903137207,R_A4,282.8458251953125,16,282.8458251953125
30,0,0.0,STANDARD,1639.6068115234375,48,2018-09-12,36,0.6556980013847351,R_A4,281.290771484375,17,281.290771484375
30,0,0.0,STANDARD,1646.7513427734375,48,2018-09-12,37,0.831332802772522,R_A4,280.37005615234375,18,280.37005615234375
30,0,0.0,STANDARD,1653.461669921875,48,2018-09-12,38,0.7028859257698059,R_A4,282.1363830566406,19,282.1363830566406
30,0,0.0,STANDARD,1657.8184814453125,47,2018-09-12,38,0.8439096808433533,R_A4,281.17669677734375,20,281.17669677734375
1,0,-6.886957150398221e-12,STANDARD,1695.20263671875,42,2018-11-07,17,1.0,R_A6,276.7314453125,1,276.7314453125
2,0,-1.726008051761152e-11,STANDARD,1696.7510986328125,42,2018-11-07,17,1.0,R_A6,276.5797119140625,2,276.5797119140625
3,0,-2.7660146742491953e-11,STANDARD,1698.299560546875,42,2018-11-07,17,1.0,R_A6,277.0433654785156,3,277.0433654785156
4,0,-2.1920028184067852e-13,STANDARD,1699.84814453125,42,2018-11-07,17,1.0,R_A6,277.2225646972656,4,277.2225646972656
5,0,-2.308117076372379e-13,STANDARD,1701.3966064453125,42,2018-11-07,17,1.0,R_A6,277.40081787109375,5,277.40081787109375
6,0,-9.071670498128626e-12,STANDARD,1702.9451904296875,42,2018-11-07,17,1.0,R_A6,277.5635070800781,6,277.5635070800781
7,0,-1.3906888661485706e-11,STANDARD,1704.49365234375,42,2018-11-07,17,1.0,R_A6,277.4175720214844,7,277.4175720214844
8,0,-2.6951435874722485e-12,STANDARD,1706.042236328125,42,2018-11-07,17,1.0,R_A6,277.5731201171875,8,277.5731201171875
9,0,-2.855921337092948e-13,STANDARD,1707.5906982421875,42,2018-11-07,17,1.0,R_A6,278.0363464355469,9,278.0363464355469
10,0,-1.3368407943137317e-11,STANDARD,1709.1392822265625,42,2018-11-07,17,1.0,R_A6,277.9084777832031,10,277.9084777832031
11,0,-1.7168896512820275e-12,STANDARD,1711.055419921875,42,2018-11-07,17,1.0,R_A6,278.06024169921875,11,278.06024169921875
12,0,-9.54907065421097e-14,STANDARD,1713.3392333984375,42,2018-11-07,17,1.0,R_A6,278.27642822265625,12,278.27642822265625
13,0,1.7038929590044083e-15,STANDARD,1715.623046875,42,2018-11-07,17,1.0,R_A6,278.50439453125,13,278.50439453125
14,0,1.1674322651574224e-15,STANDARD,1717.9068603515625,42,2018-11-07,17,1.0,R_A6,278.72021484375,14,278.72021484375
15,0,8.260742816447952e-16,STANDARD,1720.190673828125,42,2018-11-07,17,1.0,R_A6,278.932373046875,15,278.932373046875
16,0,3.889132454379011e-16,STANDARD,1722.474365234375,42,2018-11-07,17,1.0,R_A6,279.281982421875,16,279.281982421875
17,0,1.0542482287343954e-15,STANDARD,1724.7581787109375,42,2018-11-07,17,1.0,R_A6,279.48492431640625,17,279.48492431640625
