WELL,WELLMODEL,CONIPOS,SWAT,CONKPOS,SGAS,CONJPOS,DRAWDOWN,CONIDX,DATE,DEPTH,PRESSURE,CONBPRES
R_A4,STANDARD,32,0.05650549381971359,4,0.0,52,0,6,2018-01-01,1632.3968505859375,300.0901184082031,300.0901184082031
R_A4,STANDARD,32,0.05973724648356438,4,0.0,51,0,7,2018-01-01,1635.880615234375,300.3236999511719,300.3236999511719
R_A4,STANDARD,33,0.060658808797597885,4,0.0,51,0,8,2018-01-01,1637.321044921875,300.4202575683594,300.4202575683594
R_A4,STANDARD,33,0.058803532272577286,3,0.0,51,0,9,2018-01-01,1635.474609375,300.29644775390625,300.29644775390625
R_A4,STANDARD,33,0.06411956250667572,4,0.0,50,0,10,2018-01-01,1642.1485595703125,300.74395751953125,300.74395751953125
R_A4,STANDARD,34,0.06115506589412689,4,0.0,50,0,11,2018-01-01,1641.132080078125,300.67578125,300.67578125
R_A4,STANDARD,34,0.10109613835811615,3,0.0,50,0,12,2018-01-01,1639.20703125,300.5467224121094,300.5467224121094
R_A4,STANDARD,35,0.09800664335489273,3,0.0,50,0,13,2018-01-01,1640.9061279296875,300.66064453125,300.66064453125
R_A4,STANDARD,35,0.20057255029678345,2,0.0,50,0,14,2018-01-01,1639.0426025390625,300.53570556640625,300.53570556640625
R_A4,STANDARD,35,0.23823222517967224,2,0.0,49,0,15,2018-01-01,1641.93212890625,300.72943115234375,300.72943115234375
R_A4,STANDARD,36,0.05358772352337837,30,0.0,49,0,16,2018-01-01,1642.357421875,300.7579650878906,300.7579650878906
R_A4,STANDARD,36,0.08878301084041595,30,0.0,48,0,17,2018-01-01,1639.6068115234375,300.5735168457031,300.5735168457031
R_A4,STANDARD,37,0.18201863765716553,30,0.0,48,0,18,2018-01-01,1646.7513427734375,301.0526123046875,301.0526123046875
R_A4,STANDARD,38,0.32039687037467957,30,0.0,48,0,19,2018-01-01,1653.461669921875,301.5025939941406,301.5025939941406
R_A4,STANDARD,38,0.15317369997501373,30,0.0,47,0,20,2018-01-01,1657.8184814453125,301.7947998046875,301.7947998046875
R_A5,STANDARD,31,1.0,1,0.0,20,0,1,2018-01-01,1685.026611328125,303.8440856933594,303.8440856933594
R_A5,STANDARD,31,1.0,2,0.0,20,0,2,2018-01-01,1687.3070068359375,304.0601806640625,304.0601806640625
R_A5,STANDARD,31,1.0,3,0.0,20,0,3,2018-01-01,1689.5875244140625,304.27630615234375,304.27630615234375
R_A5,STANDARD,31,1.0,4,0.0,20,0,4,2018-01-01,1691.8680419921875,304.4924011230469,304.4924011230469
R_A5,STANDARD,31,1.0,5,0.0,20,0,5,2018-01-01,1694.1485595703125,304.7085266113281,304.7085266113281
R_A5,STANDARD,31,1.0,6,0.0,20,0,6,2018-01-01,1696.4290771484375,304.9246520996094,304.9246520996094
R_A5,STANDARD,31,1.0,7,0.0,20,0,7,2018-01-01,1698.70947265625,305.446533203125,305.446533203125
R_A5,STANDARD,31,1.0,11,0.0,20,0,8,2018-01-01,1707.6488037109375,305.988037109375,305.988037109375
R_A5,STANDARD,31,1.0,12,0.0,20,0,9,2018-01-01,1709.5638427734375,306.1695251464844,306.1695251464844
R_A5,STANDARD,31,1.0,12,0.0,21,0,10,2018-01-01,1701.7845458984375,305.4322814941406,305.4322814941406
R_A5,STANDARD,31,1.0,13,0.0,21,0,11,2018-01-01,1703.735107421875,305.6291198730469,305.6291198730469
R_A5,STANDARD,31,1.0,14,0.0,21,0,12,2018-01-01,1705.6856689453125,305.81396484375,305.81396484375
R_A5,STANDARD,31,1.0,15,0.0,21,0,13,2018-01-01,1707.63623046875,305.9988098144531,305.9988098144531
R_A5,STANDARD,31,1.0,16,0.0,21,0,14,2018-01-01,1709.5867919921875,306.3287048339844,306.3287048339844
R_A5,STANDARD,31,1.0,17,0.0,21,0,15,2018-01-01,1711.537353515625,306.5135498046875,306.5135498046875
R_A5,STANDARD,31,1.0,18,0.0,21,0,16,2018-01-01,1713.35400390625,306.6856994628906,306.6856994628906
R_A5,STANDARD,31,1.0,19,0.0,21,0,17,2018-01-01,1714.3951416015625,306.7843933105469,306.7843933105469
R_A5,STANDARD,31,1.0,27,0.0,21,0,18,2018-01-01,1715.7628173828125,306.75689697265625,306.75689697265625
R_A5,STANDARD,31,1.0,28,0.0,21,0,19,2018-01-01,1718.098388671875,306.978271484375,306.978271484375
R_A5,STANDARD,31,1.0,29,0.0,21,0,20,2018-01-01,1720.43408203125,307.5054016113281,307.5054016113281
R_A5,STANDARD,31,1.0,30,0.0,21,0,21,2018-01-01,1722.7696533203125,307.7267761230469,307.7267761230469
R_A5,STANDARD,31,1.0,31,0.0,21,0,22,2018-01-01,1725.105224609375,307.9481506347656,307.9481506347656
R_A6,STANDARD,17,1.0,1,0.0,42,0,1,2018-01-01,1695.20263671875,305.11419677734375,305.11419677734375
R_A6,STANDARD,17,1.0,2,0.0,42,0,2,2018-01-01,1696.7510986328125,305.2609558105469,305.2609558105469
R_A6,STANDARD,17,1.0,3,0.0,42,0,3,2018-01-01,1698.299560546875,305.4076843261719,305.4076843261719
R_A6,STANDARD,17,1.0,4,0.0,42,0,4,2018-01-01,1699.84814453125,305.554443359375,305.554443359375
R_A6,STANDARD,17,1.0,5,0.0,42,0,5,2018-01-01,1701.3966064453125,305.7012023925781,305.7012023925781
R_A6,STANDARD,17,1.0,6,0.0,42,0,6,2018-01-01,1702.9451904296875,305.54888916015625,305.54888916015625
R_A6,STANDARD,17,1.0,7,0.0,42,0,7,2018-01-01,1704.49365234375,305.6956481933594,305.6956481933594
R_A6,STANDARD,17,1.0,8,0.0,42,0,8,2018-01-01,1706.042236328125,305.8424072265625,305.8424072265625
R_A6,STANDARD,17,1.0,9,0.0,42,0,9,2018-01-01,1707.5906982421875,306.2882080078125,306.2882080078125
R_A6,STANDARD,17,1.0,10,0.0,42,0,10,2018-01-01,1709.1392822265625,306.1291809082031,306.1291809082031
R_A6,STANDARD,17,1.0,11,0.0,42,0,11,2018-01-01,1711.055419921875,306.3109130859375,306.3109130859375
R_A6,STANDARD,17,1.0,12,0.0,42,0,12,2018-01-01,1713.3392333984375,306.52734375,306.52734375
R_A6,STANDARD,17,1.0,13,0.0,42,0,13,2018-01-01,1715.623046875,306.7557678222656,306.7557678222656
R_A6,STANDARD,17,1.0,14,0.0,42,0,14,2018-01-01,1717.9068603515625,306.9721984863281,306.9721984863281
R_A6,STANDARD,17,1.0,15,0.0,42,0,15,2018-01-01,1720.190673828125,307.18865966796875,307.18865966796875
R_A6,STANDARD,17,1.0,16,0.0,42,0,16,2018-01-01,1722.474365234375,307.55010986328125,307.55010986328125
R_A6,STANDARD,17,1.0,17,0.0,42,0,17,2018-01-01,1724.7581787109375,307.7665710449219,307.7665710449219
R_A6,STANDARD,17,1.0,18,0.0,42,0,18,2018-01-01,1726.394287109375,307.921630859375,307.921630859375
R_A6,STANDARD,17,1.0,27,0.0,42,0,19,2018-01-01,1727.7508544921875,307.8930969238281,307.8930969238281
R_A6,STANDARD,17,1.0,28,0.0,42,0,20,2018-01-01,1729.4755859375,308.3623352050781,308.3623352050781
R_A6,STANDARD,17,1.0,29,0.0,42,0,21,2018-01-01,1731.2001953125,308.52581787109375,308.52581787109375
R_A6,STANDARD,17,1.0,30,0.0,42,0,22,2018-01-01,1732.9249267578125,308.68927001953125,308.68927001953125
R_A6,STANDARD,17,1.0,31,0.0,42,0,23,2018-01-01,1734.649658203125,308.5469665527344,308.5469665527344
R_A2,STANDARD,22,0.1164291650056839,1,0.0,30,0,1,2018-03-01,1641.094970703125,297.16558837890625,297.16558837890625
R_A2,STANDARD,22,0.05916639044880867,2,0.0,30,0,2,2018-03-01,1642.8890380859375,297.285888671875,297.285888671875
R_A2,STANDARD,22,0.1265641450881958,3,0.0,30,0,3,2018-03-01,1644.68310546875,297.4065246582031,297.4065246582031
R_A2,STANDARD,22,0.10866637527942657,4,0.0,30,0,4,2018-03-01,1646.4771728515625,297.52685546875,297.52685546875
R_A2,STANDARD,22,0.11105556786060333,5,0.0,30,0,5,2018-03-01,1648.2713623046875,297.6470031738281,297.6470031738281
R_A2,STANDARD,22,0.31403496861457825,6,0.0,30,0,6,2018-03-01,1650.0654296875,297.8426208496094,297.8426208496094
R_A2,STANDARD,22,0.8964135646820068,7,0.0,30,0,7,2018-03-01,1651.859619140625,297.9613037109375,297.9613037109375
R_A2,STANDARD,22,0.8728270530700684,8,0.0,30,0,8,2018-03-01,1653.6536865234375,298.0842590332031,298.0842590332031
R_A2,STANDARD,22,0.9157876372337341,9,0.0,30,0,9,2018-03-01,1655.44775390625,298.3792724609375,298.3792724609375
R_A2,STANDARD,22,0.9034056663513184,10,0.0,30,0,10,2018-03-01,1657.2418212890625,299.0533142089844,299.0533142089844
R_A2,STANDARD,22,0.07601303607225418,11,0.0,30,0,11,2018-03-01,1659.1368408203125,300.3608703613281,300.3608703613281
R_A2,STANDARD,22,0.0805518701672554,12,0.0,30,0,12,2018-03-01,1661.132568359375,300.4791259765625,300.4791259765625
R_A2,STANDARD,22,0.4550149142742157,13,0.0,30,0,13,2018-03-01,1663.12841796875,300.7439880371094,300.7439880371094
