ENSEMBLE,REAL,FIPNUM,STOIIP_OIL,ASSOCIATEDOIL_GAS,STOIIP_TOTAL,WATER_TOTAL,GIIP_GAS,ASSOCIATEDGAS_OIL,GIIP_TOTAL,PORV_TOTAL,HCPV_OIL,WATER_PORV,HCPV_GAS,HCPV_TOTAL,INTERPOLATE_RELPERM:INTERPOLATE_GO,INTERPOLATE_RELPERM:INTERPOLATE_WO,LOG10_MULTFLT:MULTFLT_F1,LOG10_MULTFLT:MULTFLT_F2,LOG10_MULTFLT:MULTFLT_F3,LOG10_MULTFLT:MULTFLT_F4,LOG10_MULTFLT:MULTFLT_F5,LOG10_MULTZ:MULTZ_MIDREEK,MULTFLT:MULTFLT_F1,MULTFLT:MULTFLT_F2,MULTFLT:MULTFLT_F3,MULTFLT:MULTFLT_F4,MULTFLT:MULTFLT_F5,MULTZ:MULTZ_MIDREEK,RMSGLOBPARAMS:COHIBA_MODEL_MODE,RMSGLOBPARAMS:FWL,INTERPOLATE_GO,INTERPOLATE_WO,MULTFLT_F1,MULTFLT_F2,MULTFLT_F3,MULTFLT_F4,MULTFLT_F5,MULTZ_MIDREEK,COHIBA_MODEL_MODE,FWL
iter-0,0,5,12288196.0,0,12288196.0,30423082.0,0.0,2261028059.0,2261028059.0,50948891.0,19596751.0,31352140.0,0.0,19596751.0,0.842532,-0.0558888,-0.0281363,-0.380878,-0.00315345,-3.50737,-2.52688,-3.89672,0.937268,0.416028,0.992765,0.000310908,0.00297247,0.000126847,1,1706.13,0.842532,-0.0558888,0.937268,0.416028,0.992765,0.000310908,0.00297247,0.000126847,1,1706.13
iter-0,0,6,0.0,0,0.0,39315298.0,0.0,0.0,0.0,40518750.0,0.0,40518750.0,0.0,0.0,0.842532,-0.0558888,-0.0281363,-0.380878,-0.00315345,-3.50737,-2.52688,-3.89672,0.937268,0.416028,0.992765,0.000310908,0.00297247,0.000126847,1,1706.13,0.842532,-0.0558888,0.937268,0.416028,0.992765,0.000310908,0.00297247,0.000126847,1,1706.13
iter-0,9,1,17886658.0,0,17886658.0,44241778.0,0.0,3291145162.0,3291145162.0,74127375.0,28530719.0,45596656.0,0.0,28530719.0,-0.309242,-0.633242,-0.369589,-2.30875,-1.45748,-2.01434,-1.96,-0.392913,0.426984,0.00491196,0.0348753,0.00967516,0.0109647,0.404657,1,1709.88,-0.309242,-0.633242,0.426984,0.00491196,0.0348753,0.00967516,0.0109647,0.404657,1,1709.88
iter-0,9,2,0.0,0,0.0,70478860.0,0.0,0.0,0.0,72644396.0,0.0,72644396.0,0.0,0.0,-0.309242,-0.633242,-0.369589,-2.30875,-1.45748,-2.01434,-1.96,-0.392913,0.426984,0.00491196,0.0348753,0.00967516,0.0109647,0.404657,1,1709.88,-0.309242,-0.633242,0.426984,0.00491196,0.0348753,0.00967516,0.0109647,0.404657,1,1709.88
iter-0,9,3,23198468.0,0,23198468.0,58526769.0,0.0,4268518177.0,4268518177.0,97309809.0,36995943.0,60313866.0,0.0,36995943.0,-0.309242,-0.633242,-0.369589,-2.30875,-1.45748,-2.01434,-1.96,-0.392913,0.426984,0.00491196,0.0348753,0.00967516,0.0109647,0.404657,1,1709.88,-0.309242,-0.633242,0.426984,0.00491196,0.0348753,0.00967516,0.0109647,0.404657,1,1709.88
iter-0,9,4,0.0,0,0.0,76242862.0,0.0,0.0,0.0,78580463.0,0.0,78580463.0,0.0,0.0,-0.309242,-0.633242,-0.369589,-2.30875,-1.45748,-2.01434,-1.96,-0.392913,0.426984,0.00491196,0.0348753,0.00967516,0.0109647,0.404657,1,1709.88,-0.309242,-0.633242,0.426984,0.00491196,0.0348753,0.00967516,0.0109647,0.404657,1,1709.88
iter-0,9,5,14504990.0,0,14504990.0,36131647.0,0.0,2668918098.0,2668918098.0,60364567.0,23130725.0,37233842.0,0.0,23130725.0,-0.309242,-0.633242,-0.369589,-2.30875,-1.45748,-2.01434,-1.96,-0.392913,0.426984,0.00491196,0.0348753,0.00967516,0.0109647,0.404657,1,1709.88,-0.309242,-0.633242,0.426984,0.00491196,0.0348753,0.00967516,0.0109647,0.404657,1,1709.88
iter-0,9,6,0.0,0,0.0,56692700.0,0.0,0.0,0.0,58427809.0,0.0,58427809.0,0.0,0.0,-0.309242,-0.633242,-0.369589,-2.30875,-1.45748,-2.01434,-1.96,-0.392913,0.426984,0.00491196,0.0348753,0.00967516,0.0109647,0.404657,1,1709.88,-0.309242,-0.633242,0.426984,0.00491196,0.0348753,0.00967516,0.0109647,0.404657,1,1709.88
iter-0,4,1,21952861.0,0,21952861.0,44906474.0,0.0,4039326378.0,4039326378.0,81292560.0,35012668.0,46279891.0,0.0,35012668.0,0.588676,-0.0409747,-1.78301,-2.62143,-1.90978,-1.5776,-1.13189,-9.64548,0.0164811,0.00239094,0.012309,0.0264486,0.0738097,2.26214e-10,1,1714.85,0.588676,-0.0409747,0.0164811,0.00239094,0.012309,0.0264486,0.0738097,2.26214e-10,1,1714.85
iter-0,4,2,0.0,0,0.0,62695856.0,0.0,0.0,0.0,64621836.0,0.0,64621836.0,0.0,0.0,0.588676,-0.0409747,-1.78301,-2.62143,-1.90978,-1.5776,-1.13189,-9.64548,0.0164811,0.00239094,0.012309,0.0264486,0.0738097,2.26214e-10,1,1714.85,0.588676,-0.0409747,0.0164811,0.00239094,0.012309,0.0264486,0.0738097,2.26214e-10,1,1714.85
