CONIDX,WELL,PRESSURE,DRAWDOWN,CONKPOS,SGAS,DEPTH,CONJPOS,CONIPOS,DATE,SWAT,WELLMODEL,CONBPRES
3,R_A3,298.8148498535156,0,3,0.0,1613.3720703125,41,28,2018-01-01,0.15042813122272491,STANDARD,298.8148498535156
4,R_A3,298.9532165527344,0,4,0.0,1615.4365234375,41,28,2018-01-01,0.6481541991233826,STANDARD,298.9532165527344
5,R_A3,299.0915832519531,0,5,0.0,1617.5008544921875,41,28,2018-01-01,0.8328844904899597,STANDARD,299.0915832519531
6,R_A3,299.2299499511719,0,6,0.0,1619.565185546875,41,28,2018-01-01,0.6481541991233826,STANDARD,299.2299499511719
7,R_A3,298.54638671875,0,6,0.0,1609.3663330078125,41,29,2018-01-01,0.6481541991233826,STANDARD,298.54638671875
8,R_A3,298.68377685546875,0,7,0.0,1611.4163818359375,41,29,2018-01-01,0.19782783091068268,STANDARD,298.68377685546875
9,R_A3,298.8211669921875,0,8,0.0,1613.46630859375,41,29,2018-01-01,0.1995648592710495,STANDARD,298.8211669921875
10,R_A3,298.95855712890625,0,9,0.0,1615.516357421875,41,29,2018-01-01,0.7997170090675354,STANDARD,298.95855712890625
11,R_A3,299.095947265625,0,10,0.0,1617.5662841796875,41,29,2018-01-01,0.8015515208244324,STANDARD,299.095947265625
12,R_A3,299.24237060546875,0,11,0.0,1619.750732421875,41,29,2018-01-01,0.04906727373600006,STANDARD,299.24237060546875
13,R_A3,299.3978271484375,0,12,0.0,1622.0697021484375,41,29,2018-01-01,0.05435820296406746,STANDARD,299.3978271484375
14,R_A3,299.5532531738281,0,13,0.0,1624.388671875,41,29,2018-01-01,0.36790597438812256,STANDARD,299.5532531738281
15,R_A3,299.8641662597656,0,15,0.0,1629.026611328125,41,29,2018-01-01,0.5019171237945557,STANDARD,299.8641662597656
16,R_A3,299.992919921875,0,16,0.0,1630.9468994140625,41,29,2018-01-01,0.8088846802711487,STANDARD,299.992919921875
17,R_A3,300.16583251953125,0,27,0.0,1633.5262451171875,41,29,2018-01-01,0.6481541991233826,STANDARD,300.16583251953125
18,R_A3,300.40966796875,0,28,0.0,1637.1630859375,41,29,2018-01-01,0.04671987146139145,STANDARD,300.40966796875
19,R_A3,300.6535339355469,0,29,0.0,1640.8001708984375,41,29,2018-01-01,0.052011314779520035,STANDARD,300.6535339355469
20,R_A3,300.89739990234375,0,30,0.0,1644.4371337890625,41,29,2018-01-01,0.6723677515983582,STANDARD,300.89739990234375
21,R_A3,301.14129638671875,0,31,0.0,1648.0740966796875,41,29,2018-01-01,0.06565839052200317,STANDARD,301.14129638671875
1,R_A4,300.009033203125,0,1,0.0,1631.1873779296875,52,30,2018-01-01,0.05159545689821243,STANDARD,300.009033203125
2,R_A4,299.7571105957031,0,1,0.0,1627.4293212890625,52,31,2018-01-01,0.049295369535684586,STANDARD,299.7571105957031
3,R_A4,299.89520263671875,0,2,0.0,1629.4896240234375,52,31,2018-01-01,0.05215280130505562,STANDARD,299.89520263671875
4,R_A4,300.0333251953125,0,3,0.0,1631.5498046875,52,31,2018-01-01,0.054117489606142044,STANDARD,300.0333251953125
5,R_A4,300.17144775390625,0,4,0.0,1633.610107421875,52,31,2018-01-01,0.05574403703212738,STANDARD,300.17144775390625
6,R_A4,300.0901184082031,0,4,0.0,1632.3968505859375,52,32,2018-01-01,0.05757410079240799,STANDARD,300.0901184082031
7,R_A4,300.3236999511719,0,4,0.0,1635.880615234375,51,32,2018-01-01,0.05810001865029335,STANDARD,300.3236999511719
8,R_A4,300.4202575683594,0,4,0.0,1637.321044921875,51,33,2018-01-01,0.06064717099070549,STANDARD,300.4202575683594
9,R_A4,300.29644775390625,0,3,0.0,1635.474609375,51,33,2018-01-01,0.058206330984830856,STANDARD,300.29644775390625
10,R_A4,300.74395751953125,0,4,0.0,1642.1485595703125,50,33,2018-01-01,0.2798222005367279,STANDARD,300.74395751953125
11,R_A4,300.67578125,0,4,0.0,1641.132080078125,50,34,2018-01-01,0.6481541991233826,STANDARD,300.67578125
12,R_A4,300.5467224121094,0,3,0.0,1639.20703125,50,34,2018-01-01,0.09663576632738113,STANDARD,300.5467224121094
13,R_A4,300.66064453125,0,3,0.0,1640.9061279296875,50,35,2018-01-01,0.16213864088058472,STANDARD,300.66064453125
14,R_A4,300.53570556640625,0,2,0.0,1639.0426025390625,50,35,2018-01-01,0.18770018219947815,STANDARD,300.53570556640625
15,R_A4,300.72943115234375,0,2,0.0,1641.93212890625,49,35,2018-01-01,0.2386992871761322,STANDARD,300.72943115234375
16,R_A4,300.7579650878906,0,30,0.0,1642.357421875,49,36,2018-01-01,0.09703515470027924,STANDARD,300.7579650878906
17,R_A4,300.5735168457031,0,30,0.0,1639.6068115234375,48,36,2018-01-01,0.05722138658165932,STANDARD,300.5735168457031
18,R_A4,301.0526123046875,0,30,0.0,1646.7513427734375,48,37,2018-01-01,0.06256399303674698,STANDARD,301.0526123046875
19,R_A4,301.5025939941406,0,30,0.0,1653.461669921875,48,38,2018-01-01,0.6481541991233826,STANDARD,301.5025939941406
20,R_A4,301.7947998046875,0,30,0.0,1657.8184814453125,47,38,2018-01-01,0.17424188554286957,STANDARD,301.7947998046875
1,R_A5,303.8440856933594,0,1,0.0,1685.026611328125,20,31,2018-01-01,1.0,STANDARD,303.8440856933594
2,R_A5,304.0601806640625,0,2,0.0,1687.3070068359375,20,31,2018-01-01,1.0,STANDARD,304.0601806640625
3,R_A5,304.27630615234375,0,3,0.0,1689.5875244140625,20,31,2018-01-01,1.0,STANDARD,304.27630615234375
4,R_A5,304.4924011230469,0,4,0.0,1691.8680419921875,20,31,2018-01-01,1.0,STANDARD,304.4924011230469
5,R_A5,304.7085266113281,0,5,0.0,1694.1485595703125,20,31,2018-01-01,1.0,STANDARD,304.7085266113281
6,R_A5,304.9246520996094,0,6,0.0,1696.4290771484375,20,31,2018-01-01,1.0,STANDARD,304.9246520996094
7,R_A5,305.446533203125,0,7,0.0,1698.70947265625,20,31,2018-01-01,1.0,STANDARD,305.446533203125
8,R_A5,305.988037109375,0,11,0.0,1707.6488037109375,20,31,2018-01-01,1.0,STANDARD,305.988037109375
9,R_A5,306.1695251464844,0,12,0.0,1709.5638427734375,20,31,2018-01-01,1.0,STANDARD,306.1695251464844
10,R_A5,305.4322814941406,0,12,0.0,1701.7845458984375,21,31,2018-01-01,1.0,STANDARD,305.4322814941406
11,R_A5,305.6291198730469,0,13,0.0,1703.735107421875,21,31,2018-01-01,1.0,STANDARD,305.6291198730469
12,R_A5,305.81396484375,0,14,0.0,1705.6856689453125,21,31,2018-01-01,1.0,STANDARD,305.81396484375
13,R_A5,305.9988098144531,0,15,0.0,1707.63623046875,21,31,2018-01-01,1.0,STANDARD,305.9988098144531
14,R_A5,306.3287048339844,0,16,0.0,1709.5867919921875,21,31,2018-01-01,1.0,STANDARD,306.3287048339844
15,R_A5,306.5135498046875,0,17,0.0,1711.537353515625,21,31,2018-01-01,1.0,STANDARD,306.5135498046875
16,R_A5,306.6856994628906,0,18,0.0,1713.35400390625,21,31,2018-01-01,1.0,STANDARD,306.6856994628906
17,R_A5,306.7843933105469,0,19,0.0,1714.3951416015625,21,31,2018-01-01,1.0,STANDARD,306.7843933105469
18,R_A5,306.75689697265625,0,27,0.0,1715.7628173828125,21,31,2018-01-01,1.0,STANDARD,306.75689697265625
19,R_A5,306.978271484375,0,28,0.0,1718.098388671875,21,31,2018-01-01,1.0,STANDARD,306.978271484375
20,R_A5,307.5054016113281,0,29,0.0,1720.43408203125,21,31,2018-01-01,1.0,STANDARD,307.5054016113281
21,R_A5,307.7267761230469,0,30,0.0,1722.7696533203125,21,31,2018-01-01,1.0,STANDARD,307.7267761230469
22,R_A5,307.9481506347656,0,31,0.0,1725.105224609375,21,31,2018-01-01,1.0,STANDARD,307.9481506347656
1,R_A6,305.11419677734375,0,1,0.0,1695.20263671875,42,17,2018-01-01,1.0,STANDARD,305.11419677734375
2,R_A6,305.2609558105469,0,2,0.0,1696.7510986328125,42,17,2018-01-01,1.0,STANDARD,305.2609558105469
3,R_A6,305.4076843261719,0,3,0.0,1698.299560546875,42,17,2018-01-01,1.0,STANDARD,305.4076843261719
4,R_A6,305.554443359375,0,4,0.0,1699.84814453125,42,17,2018-01-01,1.0,STANDARD,305.554443359375
5,R_A6,305.7012023925781,0,5,0.0,1701.3966064453125,42,17,2018-01-01,1.0,STANDARD,305.7012023925781
6,R_A6,305.84796142578125,0,6,0.0,1702.9451904296875,42,17,2018-01-01,1.0,STANDARD,305.84796142578125
7,R_A6,305.6956481933594,0,7,0.0,1704.49365234375,42,17,2018-01-01,1.0,STANDARD,305.6956481933594
8,R_A6,306.1414489746094,0,8,0.0,1706.042236328125,42,17,2018-01-01,1.0,STANDARD,306.1414489746094
9,R_A6,306.2882080078125,0,9,0.0,1707.5906982421875,42,17,2018-01-01,1.0,STANDARD,306.2882080078125
10,R_A6,306.1291809082031,0,10,0.0,1709.1392822265625,42,17,2018-01-01,1.0,STANDARD,306.1291809082031
11,R_A6,306.3109130859375,0,11,0.0,1711.055419921875,42,17,2018-01-01,1.0,STANDARD,306.3109130859375
12,R_A6,306.52734375,0,12,0.0,1713.3392333984375,42,17,2018-01-01,1.0,STANDARD,306.52734375
13,R_A6,306.7557678222656,0,13,0.0,1715.623046875,42,17,2018-01-01,1.0,STANDARD,306.7557678222656
14,R_A6,306.9721984863281,0,14,0.0,1717.9068603515625,42,17,2018-01-01,1.0,STANDARD,306.9721984863281
15,R_A6,307.18865966796875,0,15,0.0,1720.190673828125,42,17,2018-01-01,1.0,STANDARD,307.18865966796875
16,R_A6,307.55010986328125,0,16,0.0,1722.474365234375,42,17,2018-01-01,1.0,STANDARD,307.55010986328125
17,R_A6,307.7665710449219,0,17,0.0,1724.7581787109375,42,17,2018-01-01,1.0,STANDARD,307.7665710449219
18,R_A6,307.921630859375,0,18,0.0,1726.394287109375,42,17,2018-01-01,1.0,STANDARD,307.921630859375
19,R_A6,307.8930969238281,0,27,0.0,1727.7508544921875,42,17,2018-01-01,1.0,STANDARD,307.8930969238281
20,R_A6,308.3623352050781,0,28,0.0,1729.4755859375,42,17,2018-01-01,1.0,STANDARD,308.3623352050781
21,R_A6,308.52581787109375,0,29,0.0,1731.2001953125,42,17,2018-01-01,1.0,STANDARD,308.52581787109375
22,R_A6,308.68927001953125,0,30,0.0,1732.9249267578125,42,17,2018-01-01,1.0,STANDARD,308.68927001953125
23,R_A6,308.5469665527344,0,31,0.0,1734.649658203125,42,17,2018-01-01,1.0,STANDARD,308.5469665527344
1,R_A2,298.37652587890625,0,1,0.0,1641.094970703125,30,22,2018-03-01,0.056744787842035294,STANDARD,298.37652587890625
2,R_A2,298.4967346191406,0,2,0.0,1642.8890380859375,30,22,2018-03-01,0.057789258658885956,STANDARD,298.4967346191406
3,R_A2,298.6169738769531,0,3,0.0,1644.68310546875,30,22,2018-03-01,0.06004971265792847,STANDARD,298.6169738769531
4,R_A2,298.7372131347656,0,4,0.0,1646.4771728515625,30,22,2018-03-01,0.06772331893444061,STANDARD,298.7372131347656
5,R_A2,298.8574523925781,0,5,0.0,1648.2713623046875,30,22,2018-03-01,0.06892450153827667,STANDARD,298.8574523925781
6,R_A2,298.99493408203125,0,6,0.0,1650.0654296875,30,22,2018-03-01,0.31064775586128235,STANDARD,298.99493408203125
7,R_A2,299.124267578125,0,7,0.0,1651.859619140625,30,22,2018-03-01,0.8913184404373169,STANDARD,299.124267578125
8,R_A2,299.25048828125,0,8,0.0,1653.6536865234375,30,22,2018-03-01,0.8773512840270996,STANDARD,299.25048828125
9,R_A2,299.525390625,0,9,0.0,1655.44775390625,30,22,2018-03-01,0.9037763476371765,STANDARD,299.525390625
10,R_A2,299.79107666015625,0,10,0.0,1657.2418212890625,30,22,2018-03-01,0.9149135947227478,STANDARD,299.79107666015625
11,R_A2,299.88946533203125,0,11,0.0,1659.1368408203125,30,22,2018-03-01,0.07619719952344894,STANDARD,299.88946533203125
12,R_A2,300.02191162109375,0,12,0.0,1661.132568359375,30,22,2018-03-01,0.0774993970990181,STANDARD,300.02191162109375
13,R_A2,300.1788024902344,0,13,0.0,1663.12841796875,30,22,2018-03-01,0.4619859457015991,STANDARD,300.1788024902344
14,R_A2,300.3147277832031,0,14,0.0,1665.1241455078125,30,22,2018-03-01,0.5060840845108032,STANDARD,300.3147277832031
15,R_A2,300.4518737792969,0,15,0.0,1667.1199951171875,30,22,2018-03-01,0.688861072063446,STANDARD,300.4518737792969
16,R_A2,300.5862121582031,0,16,0.0,1669.11572265625,30,22,2018-03-01,0.9703999757766724,STANDARD,300.5862121582031
17,R_A2,300.7206726074219,0,17,0.0,1671.111572265625,30,22,2018-03-01,0.949592113494873,STANDARD,300.7206726074219
18,R_A2,300.8468017578125,0,18,0.0,1672.9881591796875,30,22,2018-03-01,0.98288494348526,STANDARD,300.8468017578125
19,R_A2,300.84698486328125,0,18,0.0,1674.229736328125,29,22,2018-03-01,0.9966234564781189,STANDARD,300.84698486328125
20,R_A2,300.91448974609375,0,19,0.0,1675.235107421875,29,22,2018-03-01,1.0,STANDARD,300.91448974609375
21,R_A2,301.6462097167969,0,27,-1.359379941945349e-09,1676.1676025390625,29,22,2018-03-01,1.0,STANDARD,301.6462097167969
22,R_A2,302.90277099609375,0,28,2.3120332981977258e-18,1677.9368896484375,29,22,2018-03-01,1.0,STANDARD,302.90277099609375
23,R_A2,303.41424560546875,0,29,9.794655972998058e-19,1679.7061767578125,29,22,2018-03-01,1.0,STANDARD,303.41424560546875
24,R_A2,303.7034606933594,0,30,5.48566019717737e-19,1681.4754638671875,29,22,2018-03-01,1.0,STANDARD,303.7034606933594
25,R_A2,303.90185546875,0,31,1.4583600551785795e-18,1683.2447509765625,29,22,2018-03-01,1.0,STANDARD,303.90185546875
1,R_A5,274.48828125,0,1,-1.0097767755420581e-14,1685.026611328125,20,31,2018-04-28,1.0,STANDARD,274.48828125
2,R_A5,274.7042541503906,0,2,-1.0283560197236075e-14,1687.3070068359375,20,31,2018-04-28,1.0,STANDARD,274.7042541503906
3,R_A5,274.92022705078125,0,3,-9.371585233915788e-15,1689.5875244140625,20,31,2018-04-28,1.0,STANDARD,274.92022705078125
4,R_A5,275.1358947753906,0,4,-1.01705973422914e-14,1691.8680419921875,20,31,2018-04-28,1.0,STANDARD,275.1358947753906
5,R_A5,275.3514404296875,0,5,-9.838234319283021e-15,1694.1485595703125,20,31,2018-04-28,1.0,STANDARD,275.3514404296875
6,R_A5,275.56707763671875,0,6,-7.74837025731322e-15,1696.4290771484375,20,31,2018-04-28,1.0,STANDARD,275.56707763671875
7,R_A5,276.1036682128906,0,7,-2.3526746685802874e-15,1698.70947265625,20,31,2018-04-28,1.0,STANDARD,276.1036682128906
8,R_A5,278.681884765625,0,11,6.892893374133013e-12,1707.6488037109375,20,31,2018-04-28,1.0,STANDARD,278.681884765625
9,R_A5,278.8583068847656,0,12,2.9018469484970444e-12,1709.5638427734375,20,31,2018-04-28,1.0,STANDARD,278.8583068847656
10,R_A5,276.7635192871094,0,12,9.369624000277188e-12,1701.7845458984375,21,31,2018-04-28,1.0,STANDARD,276.7635192871094
11,R_A5,276.961181640625,0,13,7.164727795425097e-13,1703.735107421875,21,31,2018-04-28,1.0,STANDARD,276.961181640625
12,R_A5,277.1470031738281,0,14,9.866637671815393e-13,1705.6856689453125,21,31,2018-04-28,1.0,STANDARD,277.1470031738281
13,R_A5,278.21917724609375,0,15,7.118037170968095e-13,1707.63623046875,21,31,2018-04-28,1.0,STANDARD,278.21917724609375
14,R_A5,279.47406005859375,0,16,3.6257560403476705e-14,1709.5867919921875,21,31,2018-04-28,1.0,STANDARD,279.47406005859375
15,R_A5,279.68505859375,0,17,7.626893027182745e-15,1711.537353515625,21,31,2018-04-28,1.0,STANDARD,279.68505859375
16,R_A5,279.9118347167969,0,18,7.459367697907737e-15,1713.35400390625,21,31,2018-04-28,1.0,STANDARD,279.9118347167969
17,R_A5,280.050537109375,0,19,0.0,1714.3951416015625,21,31,2018-04-28,1.0,STANDARD,280.050537109375
18,R_A5,280.0329895019531,0,27,2.9713127032600373e-13,1715.7628173828125,21,31,2018-04-28,1.0,STANDARD,280.0329895019531
19,R_A5,280.35821533203125,0,28,2.3973208943157964e-13,1718.098388671875,21,31,2018-04-28,1.0,STANDARD,280.35821533203125
20,R_A5,292.18212890625,0,29,1.9009086105320794e-18,1720.43408203125,21,31,2018-04-28,1.0,STANDARD,292.18212890625
21,R_A5,294.5312194824219,0,30,2.314960897180704e-18,1722.7696533203125,21,31,2018-04-28,1.0,STANDARD,294.5312194824219
22,R_A5,288.0919494628906,0,31,1.8051249243197093e-13,1725.105224609375,21,31,2018-04-28,1.0,STANDARD,288.0919494628906
1,R_A3,279.14666748046875,0,1,0.0,1609.243408203125,41,28,2018-07-03,0.649697482585907,STANDARD,279.14666748046875
2,R_A3,279.28167724609375,0,2,0.0,1611.3077392578125,41,28,2018-07-03,0.1976272463798523,STANDARD,279.28167724609375
3,R_A3,279.4193420410156,0,3,0.0,1613.3720703125,41,28,2018-07-03,0.15089775621891022,STANDARD,279.4193420410156
4,R_A3,279.5718994140625,0,4,0.0,1615.4365234375,41,28,2018-07-03,0.6759982109069824,STANDARD,279.5718994140625
5,R_A3,281.455322265625,0,5,0.0,1617.5008544921875,41,28,2018-07-03,0.7908766269683838,STANDARD,281.455322265625
6,R_A3,281.7023010253906,0,6,0.0,1619.565185546875,41,28,2018-07-03,0.6493407487869263,STANDARD,281.7023010253906
7,R_A3,280.9010925292969,0,6,0.0,1609.3663330078125,41,29,2018-07-03,0.6493247747421265,STANDARD,280.9010925292969
8,R_A3,281.0867614746094,0,7,0.0,1611.4163818359375,41,29,2018-07-03,0.19868405163288116,STANDARD,281.0867614746094
9,R_A3,281.22406005859375,0,8,0.0,1613.46630859375,41,29,2018-07-03,0.20126602053642273,STANDARD,281.22406005859375
10,R_A3,281.4389343261719,0,9,0.0,1615.516357421875,41,29,2018-07-03,0.7986690402030945,STANDARD,281.4389343261719
11,R_A3,282.64306640625,0,10,0.0,1617.5662841796875,41,29,2018-07-03,0.8003870844841003,STANDARD,282.64306640625
12,R_A3,282.81365966796875,0,11,0.0,1619.750732421875,41,29,2018-07-03,0.04918496310710907,STANDARD,282.81365966796875
13,R_A3,282.9684753417969,0,12,0.0,1622.0697021484375,41,29,2018-07-03,0.0544741190969944,STANDARD,282.9684753417969
14,R_A3,283.1236877441406,0,13,0.0,1624.388671875,41,29,2018-07-03,0.36844462156295776,STANDARD,283.1236877441406
15,R_A3,283.60467529296875,0,15,0.0,1629.026611328125,41,29,2018-07-03,0.5008531808853149,STANDARD,283.60467529296875
16,R_A3,283.7456970214844,0,16,0.0,1630.9468994140625,41,29,2018-07-03,0.8024974465370178,STANDARD,283.7456970214844
17,R_A3,283.7359924316406,0,27,0.0,1633.5262451171875,41,29,2018-07-03,0.6543232798576355,STANDARD,283.7359924316406
18,R_A3,283.9756774902344,0,28,0.0,1637.1630859375,41,29,2018-07-03,0.04682270810008049,STANDARD,283.9756774902344
19,R_A3,284.2185363769531,0,29,0.0,1640.8001708984375,41,29,2018-07-03,0.05224478617310524,STANDARD,284.2185363769531
20,R_A3,284.4815673828125,0,30,0.0,1644.4371337890625,41,29,2018-07-03,0.6738942861557007,STANDARD,284.4815673828125
21,R_A3,284.7099304199219,0,31,0.0,1648.0740966796875,41,29,2018-07-03,0.06577816605567932,STANDARD,284.7099304199219
1,R_A4,275.11865234375,0,1,0.0,1631.1873779296875,52,30,2018-09-12,0.0518176443874836,STANDARD,275.11865234375
2,R_A4,275.0518493652344,0,1,0.0,1627.4293212890625,52,31,2018-09-12,0.04941898211836815,STANDARD,275.0518493652344
3,R_A4,275.1890869140625,0,2,0.0,1629.4896240234375,52,31,2018-09-12,0.05227953568100929,STANDARD,275.1890869140625
4,R_A4,275.32635498046875,0,3,0.0,1631.5498046875,52,31,2018-09-12,0.054250333458185196,STANDARD,275.32635498046875
5,R_A4,275.463623046875,0,4,0.0,1633.610107421875,52,31,2018-09-12,0.05588394030928612,STANDARD,275.463623046875
6,R_A4,275.5669860839844,0,4,0.0,1632.3968505859375,52,32,2018-09-12,0.057710837572813034,STANDARD,275.5669860839844
7,R_A4,275.7005920410156,0,4,0.0,1635.880615234375,51,32,2018-09-12,0.058239348232746124,STANDARD,275.7005920410156
8,R_A4,276.00750732421875,0,4,0.0,1637.321044921875,51,33,2018-09-12,0.06098884344100952,STANDARD,276.00750732421875
9,R_A4,275.88446044921875,0,3,0.0,1635.474609375,51,33,2018-09-12,0.058344900608062744,STANDARD,275.88446044921875
10,R_A4,276.3111572265625,0,4,0.0,1642.1485595703125,50,33,2018-09-12,0.278472363948822,STANDARD,276.3111572265625
11,R_A4,276.3864440917969,0,4,0.0,1641.132080078125,50,34,2018-09-12,0.652116596698761,STANDARD,276.3864440917969
12,R_A4,276.2585144042969,0,3,0.0,1639.20703125,50,34,2018-09-12,0.09681686758995056,STANDARD,276.2585144042969
13,R_A4,276.5107421875,0,3,0.0,1640.9061279296875,50,35,2018-09-12,0.16251347959041595,STANDARD,276.5107421875
14,R_A4,276.38653564453125,0,2,0.0,1639.0426025390625,50,35,2018-09-12,0.18798324465751648,STANDARD,276.38653564453125
15,R_A4,276.4157409667969,0,2,0.0,1641.93212890625,49,35,2018-09-12,0.23937498033046722,STANDARD,276.4157409667969
16,R_A4,277.0714416503906,0,30,0.0,1642.357421875,49,36,2018-09-12,0.09687373787164688,STANDARD,277.0714416503906
17,R_A4,276.73046875,0,30,0.0,1639.6068115234375,48,36,2018-09-12,0.05931252986192703,STANDARD,276.73046875
18,R_A4,277.3411865234375,0,30,0.0,1646.7513427734375,48,37,2018-09-12,0.0747310221195221,STANDARD,277.3411865234375
19,R_A4,277.9339599609375,0,30,0.0,1653.461669921875,48,38,2018-09-12,0.692304790019989,STANDARD,277.9339599609375
20,R_A4,278.1453552246094,0,30,0.0,1657.8184814453125,47,38,2018-09-12,0.18818499147891998,STANDARD,278.1453552246094
1,R_A6,274.4788513183594,0,1,1.4178095729201833e-17,1695.20263671875,42,17,2018-11-07,1.0,STANDARD,274.4788513183594
2,R_A6,274.6238708496094,0,2,4.2514635030612466e-18,1696.7510986328125,42,17,2018-11-07,1.0,STANDARD,274.6238708496094
3,R_A6,274.76568603515625,0,3,6.1504092139997376e-18,1698.299560546875,42,17,2018-11-07,1.0,STANDARD,274.76568603515625
4,R_A6,274.90350341796875,0,4,5.598521340339564e-18,1699.84814453125,42,17,2018-11-07,1.0,STANDARD,274.90350341796875
5,R_A6,275.0389709472656,0,5,2.643869001837408e-18,1701.3966064453125,42,17,2018-11-07,1.0,STANDARD,275.0389709472656
6,R_A6,275.17718505859375,0,6,2.5821034420416857e-16,1702.9451904296875,42,17,2018-11-07,1.0,STANDARD,275.17718505859375
7,R_A6,275.0229797363281,0,7,4.748068067426806e-16,1704.49365234375,42,17,2018-11-07,1.0,STANDARD,275.0229797363281
8,R_A6,275.4672546386719,0,8,1.61387437371628e-17,1706.042236328125,42,17,2018-11-07,1.0,STANDARD,275.4672546386719
9,R_A6,275.6104736328125,0,9,1.849196504639653e-17,1707.5906982421875,42,17,2018-11-07,1.0,STANDARD,275.6104736328125
10,R_A6,275.44384765625,0,10,7.524273079798755e-16,1709.1392822265625,42,17,2018-11-07,1.0,STANDARD,275.44384765625
11,R_A6,275.61083984375,0,11,6.001106140914958e-16,1711.055419921875,42,17,2018-11-07,1.0,STANDARD,275.61083984375
12,R_A6,275.8271789550781,0,12,3.0236183070068057e-16,1713.3392333984375,42,17,2018-11-07,1.0,STANDARD,275.8271789550781
13,R_A6,276.0564880371094,0,13,1.2089314135633954e-17,1715.623046875,42,17,2018-11-07,1.0,STANDARD,276.0564880371094
14,R_A6,276.2750244140625,0,14,6.177430309479701e-18,1717.9068603515625,42,17,2018-11-07,1.0,STANDARD,276.2750244140625
15,R_A6,276.5254211425781,0,15,3.822055849111494e-18,1720.190673828125,42,17,2018-11-07,1.0,STANDARD,276.5254211425781
16,R_A6,276.9556579589844,0,16,3.6556598351988087e-19,1722.474365234375,42,17,2018-11-07,1.0,STANDARD,276.9556579589844
