CONBPRES,WELLMODEL,CONIPOS,CONKPOS,CONJPOS,SGAS,DEPTH,DRAWDOWN,DATE,WELL,SWAT,PRESSURE,CONIDX
307.915283203125,STANDARD,17,18,42,0.0,1726.327392578125,0,2018-01-01,R_A6,1.0,307.915283203125,18
307.90484619140625,STANDARD,17,28,42,0.0,1727.874755859375,0,2018-01-01,R_A6,1.0,307.90484619140625,19
308.3746643066406,STANDARD,17,29,42,0.0,1729.60546875,0,2018-01-01,R_A6,1.0,308.3746643066406,20
308.5386962890625,STANDARD,17,30,42,0.0,1731.3363037109375,0,2018-01-01,R_A6,1.0,308.5386962890625,21
308.7027587890625,STANDARD,17,31,42,0.0,1733.067138671875,0,2018-01-01,R_A6,1.0,308.7027587890625,22
308.5610046386719,STANDARD,17,32,42,0.0,1734.7978515625,0,2018-01-01,R_A6,1.0,308.5610046386719,23
298.1814880371094,STANDARD,22,1,30,0.0,1639.79736328125,0,2018-03-01,R_A2,0.16971524059772491,298.1814880371094,1
298.3013000488281,STANDARD,22,2,30,0.0,1641.586181640625,0,2018-03-01,R_A2,0.05496300756931305,298.3013000488281,2
298.4212646484375,STANDARD,22,3,30,0.0,1643.3751220703125,0,2018-03-01,R_A2,0.05877316743135452,298.4212646484375,3
298.5411376953125,STANDARD,22,4,30,0.0,1645.1639404296875,0,2018-03-01,R_A2,0.06279313564300537,298.5411376953125,4
298.6610107421875,STANDARD,22,5,30,0.0,1646.952880859375,0,2018-03-01,R_A2,0.0647868737578392,298.6610107421875,5
298.76910400390625,STANDARD,22,6,30,0.0,1648.74169921875,0,2018-03-01,R_A2,0.30368807911872864,298.76910400390625,6
298.8927001953125,STANDARD,22,7,30,0.0,1650.5306396484375,0,2018-03-01,R_A2,0.8755199909210205,298.8927001953125,7
299.02288818359375,STANDARD,22,8,30,0.0,1652.319580078125,0,2018-03-01,R_A2,0.8482093214988708,299.02288818359375,8
299.5055236816406,STANDARD,22,9,30,0.0,1654.1083984375,0,2018-03-01,R_A2,0.8791832327842712,299.5055236816406,9
300.005615234375,STANDARD,22,10,30,0.0,1655.897216796875,0,2018-03-01,R_A2,0.8882936239242554,300.005615234375,10
300.3029479980469,STANDARD,22,11,30,0.0,1657.7723388671875,0,2018-03-01,R_A2,0.06881791353225708,300.3029479980469,11
300.8555908203125,STANDARD,22,13,30,0.0,1661.6949462890625,0,2018-03-01,R_A2,0.4220865070819855,300.8555908203125,12
300.9872131347656,STANDARD,22,14,30,0.0,1663.65625,0,2018-03-01,R_A2,0.45696011185646057,300.9872131347656,13
301.11871337890625,STANDARD,22,15,30,0.0,1665.6175537109375,0,2018-03-01,R_A2,0.6275582313537598,301.11871337890625,14
301.2490234375,STANDARD,22,16,30,0.0,1667.578857421875,0,2018-03-01,R_A2,0.918181836605072,301.2490234375,15
301.3801574707031,STANDARD,22,17,30,0.0,1669.5401611328125,0,2018-03-01,R_A2,0.8642900586128235,301.3801574707031,16
301.4941711425781,STANDARD,22,17,29,0.0,1672.6983642578125,0,2018-03-01,R_A2,0.9317551255226135,301.4941711425781,17
301.6228942871094,STANDARD,22,18,29,0.0,1674.61767578125,0,2018-03-01,R_A2,0.965447723865509,301.6228942871094,18
301.6858825683594,STANDARD,22,19,29,0.0,1675.556640625,0,2018-03-01,R_A2,0.9664311408996582,301.6858825683594,19
302.66009521484375,STANDARD,22,28,29,-1.3993827430169858e-08,1676.495361328125,0,2018-03-01,R_A2,0.9999998807907104,302.66009521484375,20
302.4912109375,STANDARD,22,29,29,-1.1251446885296446e-08,1678.2315673828125,0,2018-03-01,R_A2,0.9999998807907104,302.4912109375,21
302.1466064453125,STANDARD,22,30,29,0.0,1679.9677734375,0,2018-03-01,R_A2,0.6506678462028503,302.1466064453125,22
302.9001159667969,STANDARD,22,31,29,-3.6088718276781895e-13,1681.703857421875,0,2018-03-01,R_A2,1.0,302.9001159667969,23
302.9823303222656,STANDARD,22,32,29,-1.3332325243808896e-09,1683.4400634765625,0,2018-03-01,R_A2,1.0,302.9823303222656,24
278.81463623046875,STANDARD,31,1,20,1.238193401975618e-11,1685.588623046875,0,2018-04-28,R_A5,1.0,278.81463623046875,1
279.0108642578125,STANDARD,31,2,20,1.015203979909396e-11,1687.668212890625,0,2018-04-28,R_A5,1.0,279.0108642578125,2
