CONIDX,CONKPOS,SGAS,PRESSURE,CONIPOS,CONBPRES,DRAWDOWN,SWAT,DATE,WELLMODEL,DEPTH,CONJPOS,WELL
9,8,0.0,298.8998107910156,29,298.8998107910156,0,0.17343981564044952,2018-01-01,STANDARD,1614.8831787109375,41,R_A3
10,9,0.0,299.0346374511719,29,299.0346374511719,0,0.7998964786529541,2018-01-01,STANDARD,1616.8946533203125,41,R_A3
11,10,0.0,299.1694641113281,29,299.1694641113281,0,0.8076696395874023,2018-01-01,STANDARD,1618.9061279296875,41,R_A3
12,11,0.0,299.3158264160156,29,299.3158264160156,0,0.04864221438765526,2018-01-01,STANDARD,1621.089599609375,41,R_A3
13,12,0.0,299.47369384765625,29,299.47369384765625,0,0.05660155788064003,2018-01-01,STANDARD,1623.445068359375,41,R_A3
14,13,0.0,299.631591796875,29,299.631591796875,0,0.38044846057891846,2018-01-01,STANDARD,1625.8004150390625,41,R_A3
15,14,0.0,299.78948974609375,29,299.78948974609375,0,0.25889408588409424,2018-01-01,STANDARD,1628.1558837890625,41,R_A3
16,15,0.0,299.9473876953125,29,299.9473876953125,0,0.5053475499153137,2018-01-01,STANDARD,1630.5113525390625,41,R_A3
17,16,0.0,300.0614318847656,29,300.0614318847656,0,0.8074687123298645,2018-01-01,STANDARD,1632.21240234375,41,R_A3
18,26,0.0,300.21258544921875,29,300.21258544921875,0,1.0,2018-01-01,STANDARD,1634.4666748046875,41,R_A3
19,27,0.0,300.4446716308594,29,300.4446716308594,0,0.0464664064347744,2018-01-01,STANDARD,1637.9285888671875,41,R_A3
20,28,0.0,300.6767883300781,29,300.6767883300781,0,0.05285375937819481,2018-01-01,STANDARD,1641.390380859375,41,R_A3
21,29,0.0,300.908935546875,29,300.908935546875,0,0.753890872001648,2018-01-01,STANDARD,1644.8521728515625,41,R_A3
22,30,0.0,301.1410827636719,29,301.1410827636719,0,0.06145062297582626,2018-01-01,STANDARD,1648.3140869140625,41,R_A3
1,1,0.0,299.82635498046875,30,299.82635498046875,0,0.05215534567832947,2018-01-01,STANDARD,1628.7059326171875,52,R_A4
2,1,0.0,299.7041320800781,31,299.7041320800781,0,0.051180124282836914,2018-01-01,STANDARD,1626.8826904296875,52,R_A4
3,2,0.0,299.8430480957031,31,299.8430480957031,0,0.05141105130314827,2018-01-01,STANDARD,1628.95458984375,52,R_A4
4,3,0.0,299.98193359375,31,299.98193359375,0,0.053356148302555084,2018-01-01,STANDARD,1631.0263671875,52,R_A4
5,4,0.0,300.1208190917969,31,300.1208190917969,0,0.20264030992984772,2018-01-01,STANDARD,1633.0982666015625,52,R_A4
6,4,0.0,300.1761779785156,32,300.1761779785156,0,0.057881876826286316,2018-01-01,STANDARD,1633.923828125,52,R_A4
7,5,0.0,300.3038330078125,32,300.3038330078125,0,0.15611223876476288,2018-01-01,STANDARD,1635.8277587890625,52,R_A4
8,5,0.0,300.3178405761719,32,300.3178405761719,0,0.8483148217201233,2018-01-01,STANDARD,1636.03662109375,51,R_A4
9,4,0.0,300.1954345703125,32,300.1954345703125,0,0.6481541991233826,2018-01-01,STANDARD,1634.2110595703125,51,R_A4
10,3,0.0,300.07305908203125,32,300.07305908203125,0,0.05468083173036575,2018-01-01,STANDARD,1632.385498046875,51,R_A4
11,3,0.0,300.35089111328125,33,300.35089111328125,0,0.06042531877756119,2018-01-01,STANDARD,1636.529541015625,51,R_A4
12,4,0.0,300.4752502441406,33,300.4752502441406,0,0.6481541991233826,2018-01-01,STANDARD,1638.384521484375,51,R_A4
13,4,0.0,300.64373779296875,33,300.64373779296875,0,0.6481541991233826,2018-01-01,STANDARD,1640.8974609375,50,R_A4
14,4,0.0,300.6195373535156,34,300.6195373535156,0,0.06214819848537445,2018-01-01,STANDARD,1640.5364990234375,50,R_A4
15,3,0.0,300.48907470703125,34,300.48907470703125,0,0.13751664757728577,2018-01-01,STANDARD,1638.5906982421875,50,R_A4
16,4,0.0,300.8179626464844,35,300.8179626464844,0,0.06356281042098999,2018-01-01,STANDARD,1643.495361328125,50,R_A4
17,3,0.0,300.6923828125,35,300.6923828125,0,0.23431028425693512,2018-01-01,STANDARD,1641.622802734375,50,R_A4
18,3,0.0,300.7138977050781,35,300.7138977050781,0,0.189969003200531,2018-01-01,STANDARD,1641.9437255859375,49,R_A4
19,2,0.0,300.5868225097656,35,300.5868225097656,0,0.23846538364887238,2018-01-01,STANDARD,1640.048583984375,49,R_A4
20,28,0.0,300.7074279785156,36,300.7074279785156,0,0.05287202075123787,2018-01-01,STANDARD,1641.84716796875,49,R_A4
21,28,0.0,300.28619384765625,36,300.28619384765625,0,0.05246564745903015,2018-01-01,STANDARD,1635.564697265625,48,R_A4
22,28,0.0,300.8175354003906,37,300.8175354003906,0,0.059201423078775406,2018-01-01,STANDARD,1643.4892578125,48,R_A4
23,29,0.0,301.2167053222656,37,301.2167053222656,0,0.14755044877529144,2018-01-01,STANDARD,1649.4417724609375,48,R_A4
24,29,0.0,301.4795837402344,38,301.4795837402344,0,0.06575015187263489,2018-01-01,STANDARD,1653.3616943359375,48,R_A4
25,29,0.0,301.626953125,38,301.626953125,0,0.20302747189998627,2018-01-01,STANDARD,1655.5589599609375,47,R_A4
1,1,0.0,303.8582763671875,31,303.8582763671875,0,1.0,2018-01-01,STANDARD,1685.17626953125,20,R_A5
2,2,0.0,304.0643310546875,31,304.0643310546875,0,1.0,2018-01-01,STANDARD,1687.3507080078125,20,R_A5
3,3,0.0,304.576171875,31,304.576171875,0,1.0,2018-01-01,STANDARD,1689.5250244140625,20,R_A5
4,4,0.0,304.4764404296875,31,304.4764404296875,0,1.0,2018-01-01,STANDARD,1691.699462890625,20,R_A5
5,5,0.0,304.6824951171875,31,304.6824951171875,0,1.0,2018-01-01,STANDARD,1693.873779296875,20,R_A5
6,6,0.0,304.8885498046875,31,304.8885498046875,0,1.0,2018-01-01,STANDARD,1696.048095703125,20,R_A5
7,7,0.0,305.400390625,31,305.400390625,0,1.0,2018-01-01,STANDARD,1698.222412109375,20,R_A5
8,8,0.0,305.6064453125,31,305.6064453125,0,1.0,2018-01-01,STANDARD,1700.3968505859375,20,R_A5
9,11,0.0,305.2220764160156,31,305.2220764160156,0,1.0,2018-01-01,STANDARD,1699.5662841796875,21,R_A5
10,12,0.0,305.4141845703125,31,305.4141845703125,0,1.0,2018-01-01,STANDARD,1701.593505859375,21,R_A5
11,13,0.0,305.6182556152344,31,305.6182556152344,0,1.0,2018-01-01,STANDARD,1703.6207275390625,21,R_A5
12,14,0.0,305.8103942871094,31,305.8103942871094,0,1.0,2018-01-01,STANDARD,1705.64794921875,21,R_A5
13,15,0.0,306.00250244140625,31,306.00250244140625,0,1.0,2018-01-01,STANDARD,1707.6751708984375,21,R_A5
14,16,0.0,306.3396301269531,31,306.3396301269531,0,1.0,2018-01-01,STANDARD,1709.702392578125,21,R_A5
15,17,0.0,306.5317687988281,31,306.5317687988281,0,1.0,2018-01-01,STANDARD,1711.7294921875,21,R_A5
16,18,0.0,306.7223815917969,31,306.7223815917969,0,1.0,2018-01-01,STANDARD,1713.74072265625,21,R_A5
17,19,0.0,306.8326416015625,31,306.8326416015625,0,1.0,2018-01-01,STANDARD,1714.9041748046875,21,R_A5
18,26,0.0,306.8079528808594,31,306.8079528808594,0,1.0,2018-01-01,STANDARD,1716.30126953125,21,R_A5
19,27,0.0,307.04132080078125,31,307.04132080078125,0,1.0,2018-01-01,STANDARD,1718.7637939453125,21,R_A5
20,28,0.0,307.58050537109375,31,307.58050537109375,0,1.0,2018-01-01,STANDARD,1721.226318359375,21,R_A5
21,29,0.0,307.81390380859375,31,307.81390380859375,0,1.0,2018-01-01,STANDARD,1723.6888427734375,21,R_A5
22,30,0.0,308.0472717285156,31,308.0472717285156,0,1.0,2018-01-01,STANDARD,1726.1513671875,21,R_A5
1,1,0.0,305.13067626953125,17,305.13067626953125,0,1.0,2018-01-01,STANDARD,1695.37646484375,42,R_A6
2,2,0.0,305.2783203125,17,305.2783203125,0,1.0,2018-01-01,STANDARD,1696.9344482421875,42,R_A6
3,3,0.0,305.42596435546875,17,305.42596435546875,0,1.0,2018-01-01,STANDARD,1698.492431640625,42,R_A6
4,4,0.0,305.5736083984375,17,305.5736083984375,0,1.0,2018-01-01,STANDARD,1700.0504150390625,42,R_A6
5,5,0.0,305.72125244140625,17,305.72125244140625,0,1.0,2018-01-01,STANDARD,1701.6083984375,42,R_A6
6,6,0.0,305.868896484375,17,305.868896484375,0,1.0,2018-01-01,STANDARD,1703.1663818359375,42,R_A6
7,7,0.0,305.7174987792969,17,305.7174987792969,0,1.0,2018-01-01,STANDARD,1704.724365234375,42,R_A6
8,8,0.0,305.86517333984375,17,305.86517333984375,0,1.0,2018-01-01,STANDARD,1706.2823486328125,42,R_A6
9,9,0.0,306.3118591308594,17,306.3118591308594,0,1.0,2018-01-01,STANDARD,1707.84033203125,42,R_A6
10,10,0.0,306.1537170410156,17,306.1537170410156,0,1.0,2018-01-01,STANDARD,1709.3983154296875,42,R_A6
11,11,0.0,306.33917236328125,17,306.33917236328125,0,1.0,2018-01-01,STANDARD,1711.353759765625,42,R_A6
12,12,0.0,306.5621643066406,17,306.5621643066406,0,1.0,2018-01-01,STANDARD,1713.706787109375,42,R_A6
13,13,0.0,306.7971496582031,17,306.7971496582031,0,1.0,2018-01-01,STANDARD,1716.059814453125,42,R_A6
14,14,0.0,307.0201416015625,17,307.0201416015625,0,1.0,2018-01-01,STANDARD,1718.412841796875,42,R_A6
15,15,0.0,307.2431640625,17,307.2431640625,0,1.0,2018-01-01,STANDARD,1720.765869140625,42,R_A6
16,16,0.0,307.6112060546875,17,307.6112060546875,0,1.0,2018-01-01,STANDARD,1723.118896484375,42,R_A6
17,17,0.0,307.8341979980469,17,307.8341979980469,0,1.0,2018-01-01,STANDARD,1725.471923828125,42,R_A6
18,18,0.0,307.9737854003906,17,307.9737854003906,0,1.0,2018-01-01,STANDARD,1726.9447021484375,42,R_A6
19,26,0.0,307.9270324707031,17,307.9270324707031,0,1.0,2018-01-01,STANDARD,1728.10888671875,42,R_A6
20,27,0.0,308.3973388671875,17,308.3973388671875,0,1.0,2018-01-01,STANDARD,1729.8447265625,42,R_A6
21,28,0.0,308.5618896484375,17,308.5618896484375,0,1.0,2018-01-01,STANDARD,1731.5806884765625,42,R_A6
22,29,0.0,308.7264099121094,17,308.7264099121094,0,1.0,2018-01-01,STANDARD,1733.316650390625,42,R_A6
23,30,0.0,308.58514404296875,17,308.58514404296875,0,1.0,2018-01-01,STANDARD,1735.0526123046875,42,R_A6
1,1,0.0,298.10089111328125,22,298.10089111328125,0,0.058393243700265884,2018-03-01,STANDARD,1642.839599609375,30,R_A2
2,2,0.0,298.2207336425781,22,298.2207336425781,0,0.06052970513701439,2018-03-01,STANDARD,1644.6285400390625,30,R_A2
3,3,0.0,298.3405456542969,22,298.3405456542969,0,0.06415106356143951,2018-03-01,STANDARD,1646.41748046875,30,R_A2
4,4,0.0,298.4603271484375,22,298.4603271484375,0,0.07009496539831161,2018-03-01,STANDARD,1648.206298828125,30,R_A2
5,5,0.0,298.58013916015625,22,298.58013916015625,0,0.07366267591714859,2018-03-01,STANDARD,1649.9952392578125,30,R_A2
6,6,0.0,298.6977844238281,22,298.6977844238281,0,0.32901531457901,2018-03-01,STANDARD,1651.7840576171875,30,R_A2
7,7,0.0,298.7880859375,22,298.7880859375,0,0.9077028632164001,2018-03-01,STANDARD,1653.5728759765625,30,R_A2
8,8,0.0,298.8851013183594,22,298.8851013183594,0,0.6493893265724182,2018-03-01,STANDARD,1655.36181640625,30,R_A2
9,9,0.0,299.1759948730469,22,299.1759948730469,0,0.922271192073822,2018-03-01,STANDARD,1657.150634765625,30,R_A2
10,10,0.0,299.4361877441406,22,299.4361877441406,0,0.9358147978782654,2018-03-01,STANDARD,1658.9395751953125,30,R_A2
11,11,0.0,300.5901184082031,22,300.5901184082031,0,0.08077125251293182,2018-03-01,STANDARD,1660.875244140625,30,R_A2
12,12,0.0,300.7297668457031,22,300.7297668457031,0,0.0899357795715332,2018-03-01,STANDARD,1662.95751953125,30,R_A2
13,13,0.0,300.869873046875,22,300.869873046875,0,0.4831756055355072,2018-03-01,STANDARD,1665.0399169921875,30,R_A2
14,14,0.0,301.0104064941406,22,301.0104064941406,0,0.5379167199134827,2018-03-01,STANDARD,1667.1221923828125,30,R_A2
15,15,0.0,301.15069580078125,22,301.15069580078125,0,0.976859450340271,2018-03-01,STANDARD,1669.2044677734375,30,R_A2
16,16,0.0,301.29071044921875,22,301.29071044921875,0,0.9993916153907776,2018-03-01,STANDARD,1671.286865234375,30,R_A2
17,17,0.0,301.4305725097656,22,301.4305725097656,0,0.9866370558738708,2018-03-01,STANDARD,1673.369140625,30,R_A2
18,17,0.0,301.3562316894531,22,301.3562316894531,0,0.9916569590568542,2018-03-01,STANDARD,1673.1258544921875,29,R_A2
19,18,9.389013122529377e-09,301.4834899902344,22,301.4834899902344,0,1.0000001192092896,2018-03-01,STANDARD,1675.021484375,29,R_A2
20,26,1.2594539510169092e-16,303.38592529296875,22,303.38592529296875,0,1.0,2018-03-01,STANDARD,1677.102783203125,29,R_A2
21,27,1.8987178226797327e-18,303.56182861328125,22,303.56182861328125,0,1.0,2018-03-01,STANDARD,1678.9278564453125,29,R_A2
22,28,-1.054503906953013e-18,303.73004150390625,22,303.73004150390625,0,1.0,2018-03-01,STANDARD,1680.7529296875,29,R_A2
23,29,-9.426423081635123e-19,303.8936462402344,22,303.8936462402344,0,1.0,2018-03-01,STANDARD,1682.578125,29,R_A2
24,30,-2.3864067614335936e-19,304.0661926269531,22,304.0661926269531,0,1.0,2018-03-01,STANDARD,1684.4031982421875,29,R_A2
1,1,-5.9615771249698496e-15,260.332275390625,31,260.332275390625,0,1.0,2018-04-28,STANDARD,1685.17626953125,20,R_A5
2,2,-6.899855002401225e-15,260.53790283203125,31,260.53790283203125,0,1.0,2018-04-28,STANDARD,1687.3507080078125,20,R_A5
3,3,-2.839471067872675e-15,261.0489196777344,31,261.0489196777344,0,1.0,2018-04-28,STANDARD,1689.5250244140625,20,R_A5
4,4,-3.438769112669958e-15,260.9483947753906,31,260.9483947753906,0,1.0,2018-04-28,STANDARD,1691.699462890625,20,R_A5
5,5,-5.4982691610630605e-15,261.15399169921875,31,261.15399169921875,0,1.0,2018-04-28,STANDARD,1693.873779296875,20,R_A5
6,6,-7.174593526974946e-15,261.359619140625,31,261.359619140625,0,1.0,2018-04-28,STANDARD,1696.048095703125,20,R_A5
7,7,-2.118973619751616e-15,261.8936462402344,31,261.8936462402344,0,1.0,2018-04-28,STANDARD,1698.222412109375,20,R_A5
8,8,-3.2740249313739644e-14,264.7970886230469,31,264.7970886230469,0,1.0,2018-04-28,STANDARD,1700.3968505859375,20,R_A5
9,11,-7.62811862287105e-12,270.8538818359375,31,270.8538818359375,0,1.0,2018-04-28,STANDARD,1699.5662841796875,21,R_A5
10,12,-4.830445505393799e-12,271.0379943847656,31,271.0379943847656,0,1.0,2018-04-28,STANDARD,1701.593505859375,21,R_A5
11,13,-1.870471551083941e-13,271.2457580566406,31,271.2457580566406,0,1.0,2018-04-28,STANDARD,1703.6207275390625,21,R_A5
12,14,-5.41278718894922e-13,271.4425048828125,31,271.4425048828125,0,1.0,2018-04-28,STANDARD,1705.64794921875,21,R_A5
13,15,-3.6439271738908374e-12,271.6408386230469,31,271.6408386230469,0,1.0,2018-04-28,STANDARD,1707.6751708984375,21,R_A5
14,16,-7.038177332607809e-12,272.0142517089844,31,272.0142517089844,0,1.0,2018-04-28,STANDARD,1709.702392578125,21,R_A5
15,17,-1.497342722901751e-12,272.2854919433594,31,272.2854919433594,0,1.0,2018-04-28,STANDARD,1711.7294921875,21,R_A5
16,18,-5.376457092032272e-12,272.560302734375,31,272.560302734375,0,1.0,2018-04-28,STANDARD,1713.74072265625,21,R_A5
17,19,-5.966708213318577e-21,272.696533203125,31,272.696533203125,0,1.0,2018-04-28,STANDARD,1714.9041748046875,21,R_A5
18,26,-2.986481895117521e-11,275.7805480957031,31,275.7805480957031,0,1.0,2018-04-28,STANDARD,1716.30126953125,21,R_A5
19,27,-2.856367052606057e-11,276.01947021484375,31,276.01947021484375,0,1.0,2018-04-28,STANDARD,1718.7637939453125,21,R_A5
20,28,-7.593899353499181e-18,291.69915771484375,31,291.69915771484375,0,1.0,2018-04-28,STANDARD,1721.226318359375,21,R_A5
21,29,-3.441071141425442e-18,301.9521484375,31,301.9521484375,0,1.0,2018-04-28,STANDARD,1723.6888427734375,21,R_A5
22,30,-3.2811514864199526e-19,306.1349182128906,31,306.1349182128906,0,1.0,2018-04-28,STANDARD,1726.1513671875,21,R_A5
1,1,0.0,285.2548828125,28,285.2548828125,0,0.6489916443824768,2018-07-03,STANDARD,1608.444091796875,41,R_A3
2,2,0.0,285.383544921875,28,285.383544921875,0,0.19330136477947235,2018-07-03,STANDARD,1610.4075927734375,41,R_A3
3,3,0.0,285.5146789550781,28,285.5146789550781,0,0.11847866326570511,2018-07-03,STANDARD,1612.37109375,41,R_A3
4,3,0.0,284.97601318359375,29,284.97601318359375,0,0.19254717230796814,2018-07-03,STANDARD,1604.8255615234375,41,R_A3
5,4,0.0,285.1103515625,29,285.1103515625,0,0.15757742524147034,2018-07-03,STANDARD,1606.8370361328125,41,R_A3
6,5,0.0,285.2573547363281,29,285.2573547363281,0,0.6492254734039307,2018-07-03,STANDARD,1608.8486328125,41,R_A3
7,6,0.0,285.40631103515625,29,285.40631103515625,0,0.28843212127685547,2018-07-03,STANDARD,1610.860107421875,41,R_A3
8,7,0.0,285.5409240722656,29,285.5409240722656,0,0.20139874517917633,2018-07-03,STANDARD,1612.87158203125,41,R_A3
9,8,0.0,285.6753234863281,29,285.6753234863281,0,0.17467178404331207,2018-07-03,STANDARD,1614.8831787109375,41,R_A3
10,9,0.0,285.882080078125,29,285.882080078125,0,0.7992188930511475,2018-07-03,STANDARD,1616.8946533203125,41,R_A3
11,10,0.0,286.93768310546875,29,286.93768310546875,0,0.8069594502449036,2018-07-03,STANDARD,1618.9061279296875,41,R_A3
12,11,0.0,290.977783203125,29,290.977783203125,0,0.048694249242544174,2018-07-03,STANDARD,1621.089599609375,41,R_A3
13,12,0.0,291.13531494140625,29,291.13531494140625,0,0.056662417948246,2018-07-03,STANDARD,1623.445068359375,41,R_A3
14,13,0.0,291.29412841796875,29,291.29412841796875,0,0.3807210326194763,2018-07-03,STANDARD,1625.8004150390625,41,R_A3
15,14,0.0,291.50262451171875,29,291.50262451171875,0,0.2593553960323334,2018-07-03,STANDARD,1628.1558837890625,41,R_A3
16,15,0.0,291.92987060546875,29,291.92987060546875,0,0.5054137706756592,2018-07-03,STANDARD,1630.5113525390625,41,R_A3
17,16,0.0,292.05120849609375,29,292.05120849609375,0,0.8070102334022522,2018-07-03,STANDARD,1632.21240234375,41,R_A3
18,26,0.0,288.6599426269531,29,288.6599426269531,0,0.9999092221260071,2018-07-03,STANDARD,1634.4666748046875,41,R_A3
19,27,0.0,288.1171875,29,288.1171875,0,0.04656999558210373,2018-07-03,STANDARD,1637.9285888671875,41,R_A3
20,28,0.0,288.34857177734375,29,288.34857177734375,0,0.05294708535075188,2018-07-03,STANDARD,1641.390380859375,41,R_A3
21,29,0.0,294.1228332519531,29,294.1228332519531,0,0.7538525462150574,2018-07-03,STANDARD,1644.8521728515625,41,R_A3
22,30,0.0,288.82354736328125,29,288.82354736328125,0,0.06154477968811989,2018-07-03,STANDARD,1648.3140869140625,41,R_A3
1,1,0.0,281.458984375,30,281.458984375,0,0.05226774886250496,2018-09-12,STANDARD,1628.7059326171875,52,R_A4
2,1,0.0,281.3791809082031,31,281.3791809082031,0,0.051279645413160324,2018-09-12,STANDARD,1626.8826904296875,52,R_A4
3,2,0.0,281.5174560546875,31,281.5174560546875,0,0.05151575431227684,2018-09-12,STANDARD,1628.95458984375,52,R_A4
4,3,0.0,281.65570068359375,31,281.65570068359375,0,0.05345478653907776,2018-09-12,STANDARD,1631.0263671875,52,R_A4
5,4,0.0,281.7940368652344,31,281.7940368652344,0,0.20299644768238068,2018-09-12,STANDARD,1633.0982666015625,52,R_A4
6,4,0.0,281.87030029296875,32,281.87030029296875,0,0.05801885202527046,2018-09-12,STANDARD,1633.923828125,52,R_A4
7,5,0.0,281.9974060058594,32,281.9974060058594,0,0.15667584538459778,2018-09-12,STANDARD,1635.8277587890625,52,R_A4
8,5,0.0,281.9916687011719,32,281.9916687011719,0,0.8474384546279907,2018-09-12,STANDARD,1636.03662109375,51,R_A4
9,4,0.0,281.860595703125,32,281.860595703125,0,0.6500898003578186,2018-09-12,STANDARD,1634.2110595703125,51,R_A4
10,3,0.0,281.7387390136719,32,281.7387390136719,0,0.05480903759598732,2018-09-12,STANDARD,1632.385498046875,51,R_A4
11,3,0.0,282.03155517578125,33,282.03155517578125,0,0.06053077057003975,2018-09-12,STANDARD,1636.529541015625,51,R_A4
12,4,0.0,282.1553649902344,33,282.1553649902344,0,0.6498235464096069,2018-09-12,STANDARD,1638.384521484375,51,R_A4
13,4,0.0,282.29815673828125,33,282.29815673828125,0,0.6494889855384827,2018-09-12,STANDARD,1640.8974609375,50,R_A4
14,4,0.0,282.30718994140625,34,282.30718994140625,0,0.06225765869021416,2018-09-12,STANDARD,1640.5364990234375,50,R_A4
15,3,0.0,282.1772766113281,34,282.1772766113281,0,0.13781185448169708,2018-09-12,STANDARD,1638.5906982421875,50,R_A4
16,4,0.0,282.5389709472656,35,282.5389709472656,0,0.063733771443367,2018-09-12,STANDARD,1643.495361328125,50,R_A4
17,3,0.0,282.4140625,35,282.4140625,0,0.23455457389354706,2018-09-12,STANDARD,1641.622802734375,50,R_A4
18,3,0.0,282.4166259765625,35,282.4166259765625,0,0.19025921821594238,2018-09-12,STANDARD,1641.9437255859375,49,R_A4
19,2,0.0,282.2904357910156,35,282.2904357910156,0,0.23887215554714203,2018-09-12,STANDARD,1640.048583984375,49,R_A4
20,28,0.0,282.8633728027344,36,282.8633728027344,0,0.053179092705249786,2018-09-12,STANDARD,1641.84716796875,49,R_A4
21,28,0.0,282.443359375,36,282.443359375,0,0.052918337285518646,2018-09-12,STANDARD,1635.564697265625,48,R_A4
22,28,0.0,282.9801940917969,37,282.9801940917969,0,0.05968989431858063,2018-09-12,STANDARD,1643.4892578125,48,R_A4
23,29,0.0,283.37762451171875,37,283.37762451171875,0,0.1466093808412552,2018-09-12,STANDARD,1649.4417724609375,48,R_A4
24,29,0.0,283.6481018066406,38,283.6481018066406,0,0.06898599863052368,2018-09-12,STANDARD,1653.3616943359375,48,R_A4
25,29,0.0,283.797607421875,38,283.797607421875,0,0.2075408548116684,2018-09-12,STANDARD,1655.5589599609375,47,R_A4
1,1,-1.1706751019968653e-11,275.5162048339844,17,275.5162048339844,0,1.0,2018-11-07,STANDARD,1695.37646484375,42,R_A6
2,2,-5.910484775217828e-12,275.66131591796875,17,275.66131591796875,0,1.0,2018-11-07,STANDARD,1696.9344482421875,42,R_A6
3,3,-4.558178487434894e-12,275.80279541015625,17,275.80279541015625,0,1.0,2018-11-07,STANDARD,1698.492431640625,42,R_A6
4,4,-4.177482578610059e-12,275.94012451171875,17,275.94012451171875,0,1.0,2018-11-07,STANDARD,1700.0504150390625,42,R_A6
5,5,-4.898796212432499e-12,276.0749816894531,17,276.0749816894531,0,1.0,2018-11-07,STANDARD,1701.6083984375,42,R_A6
6,6,-2.9909921761550606e-10,276.21337890625,17,276.21337890625,0,1.0,2018-11-07,STANDARD,1703.1663818359375,42,R_A6
