SGAS,CONBPRES,WELL,PRESSURE,CONIPOS,DEPTH,CONJPOS,DRAWDOWN,DATE,WELLMODEL,CONKPOS,SWAT,CONIDX
0.0,303.02569580078125,R_A2,303.02569580078125,22,1676.1676025390625,29,0,2018-01-01,STANDARD,27,0.4947701394557953,20
0.0,303.47802734375,R_A2,303.47802734375,22,1677.9368896484375,29,0,2018-01-01,STANDARD,28,1.0,21
0.0,303.64569091796875,R_A2,303.64569091796875,22,1679.7061767578125,29,0,2018-01-01,STANDARD,29,1.0,22
0.0,303.8133544921875,R_A2,303.8133544921875,22,1681.4754638671875,29,0,2018-01-01,STANDARD,30,1.0,23
0.0,303.98101806640625,R_A2,303.98101806640625,22,1683.2447509765625,29,0,2018-01-01,STANDARD,31,1.0,24
0.0,298.53814697265625,R_A3,298.53814697265625,28,1609.243408203125,41,0,2018-01-01,STANDARD,1,0.30849525332450867,1
0.0,298.676513671875,R_A3,298.676513671875,28,1611.3077392578125,41,0,2018-01-01,STANDARD,2,0.19968974590301514,2
0.0,298.8148498535156,R_A3,298.8148498535156,28,1613.3720703125,41,0,2018-01-01,STANDARD,3,0.19958947598934174,3
0.0,298.9532165527344,R_A3,298.9532165527344,28,1615.4365234375,41,0,2018-01-01,STANDARD,4,0.37015843391418457,4
0.0,299.0915832519531,R_A3,299.0915832519531,28,1617.5008544921875,41,0,2018-01-01,STANDARD,5,0.8261942863464355,5
0.0,299.2299499511719,R_A3,299.2299499511719,28,1619.565185546875,41,0,2018-01-01,STANDARD,6,0.2662692070007324,6
0.0,298.54638671875,R_A3,298.54638671875,29,1609.3663330078125,41,0,2018-01-01,STANDARD,6,0.6481541991233826,7
0.0,298.68377685546875,R_A3,298.68377685546875,29,1611.4163818359375,41,0,2018-01-01,STANDARD,7,0.19361057877540588,8
0.0,298.8211669921875,R_A3,298.8211669921875,29,1613.46630859375,41,0,2018-01-01,STANDARD,8,0.19695129990577698,9
0.0,298.95855712890625,R_A3,298.95855712890625,29,1615.516357421875,41,0,2018-01-01,STANDARD,9,0.7978300452232361,10
0.0,299.095947265625,R_A3,299.095947265625,29,1617.5662841796875,41,0,2018-01-01,STANDARD,10,0.8037355542182922,11
0.0,299.24237060546875,R_A3,299.24237060546875,29,1619.750732421875,41,0,2018-01-01,STANDARD,11,0.0496298223733902,12
0.0,299.3978271484375,R_A3,299.3978271484375,29,1622.0697021484375,41,0,2018-01-01,STANDARD,12,0.053643446415662766,13
0.0,299.5532531738281,R_A3,299.5532531738281,29,1624.388671875,41,0,2018-01-01,STANDARD,13,0.37673479318618774,14
0.0,299.8641662597656,R_A3,299.8641662597656,29,1629.026611328125,41,0,2018-01-01,STANDARD,15,0.5016454458236694,15
0.0,299.992919921875,R_A3,299.992919921875,29,1630.9468994140625,41,0,2018-01-01,STANDARD,16,0.8152031302452087,16
