DATE,CONIPOS,CONJPOS,WELL,CONKPOS,CONIDX,WELLMODEL,PRESSURE,DEPTH,SGAS,SWAT,DRAWDOWN,CONBPRES
2018-01-01,35,50,R_A4,2,17,STANDARD,300.4959411621094,1639.7611083984375,0.0,0.23759521543979645,0,300.4959411621094
2018-01-01,35,50,R_A4,1,18,STANDARD,300.3759765625,1637.971923828125,0.0,0.23510031402111053,0,300.3759765625
2018-01-01,35,49,R_A4,1,19,STANDARD,300.7226867675781,1643.1429443359375,0.0,0.2449154406785965,0,300.7226867675781
2018-01-01,36,49,R_A4,36,20,STANDARD,301.02099609375,1647.5916748046875,0.0,0.20521023869514465,0,301.02099609375
2018-01-01,36,49,R_A4,35,21,STANDARD,300.632568359375,1641.7989501953125,0.0,0.13741782307624817,0,300.632568359375
2018-01-01,36,48,R_A4,35,22,STANDARD,300.5432434082031,1640.466796875,0.0,0.06006047874689102,0,300.5432434082031
2018-01-01,37,48,R_A4,35,23,STANDARD,301.1792297363281,1649.951171875,0.0,0.8435977697372437,0,301.1792297363281
2018-01-01,37,48,R_A4,34,24,STANDARD,300.8028564453125,1644.33837890625,0.0,0.0987178310751915,0,300.8028564453125
2018-01-01,38,48,R_A4,34,25,STANDARD,301.2331237792969,1650.7548828125,0.0,0.6481541991233826,0,301.2331237792969
2018-01-01,38,47,R_A4,34,26,STANDARD,301.44921875,1653.97705078125,0.0,0.10585512965917587,0,301.44921875
2018-01-01,31,20,R_A5,1,1,STANDARD,304.0599365234375,1684.077392578125,0.0,1.0,0,304.0599365234375
2018-01-01,31,20,R_A5,2,2,STANDARD,303.9449157714844,1686.0906982421875,0.0,1.0,0,303.9449157714844
2018-01-01,31,20,R_A5,3,3,STANDARD,304.1357116699219,1688.10400390625,0.0,1.0,0,304.1357116699219
2018-01-01,31,20,R_A5,4,4,STANDARD,304.3265075683594,1690.1173095703125,0.0,1.0,0,304.3265075683594
2018-01-01,31,20,R_A5,5,5,STANDARD,304.5173034667969,1692.130615234375,0.0,1.0,0,304.5173034667969
2018-01-01,31,20,R_A5,6,6,STANDARD,304.7080993652344,1694.14404296875,0.0,1.0,0,304.7080993652344
2018-01-01,31,20,R_A5,7,7,STANDARD,305.2046813964844,1696.1573486328125,0.0,1.0,0,305.2046813964844
2018-01-01,31,20,R_A5,8,8,STANDARD,305.3954772949219,1698.1707763671875,0.0,1.0,0,305.3954772949219
2018-01-01,31,20,R_A5,9,9,STANDARD,305.2872314453125,1700.18408203125,0.0,1.0,0,305.2872314453125
2018-01-01,31,20,R_A5,10,10,STANDARD,305.47802734375,1702.1973876953125,0.0,1.0,0,305.47802734375
2018-01-01,31,20,R_A5,11,11,STANDARD,305.6587829589844,1704.1744384765625,0.0,1.0,0,305.6587829589844
2018-01-01,31,20,R_A5,12,12,STANDARD,305.84271240234375,1706.1151123046875,0.0,1.0,0,305.84271240234375
2018-01-01,31,21,R_A5,12,13,STANDARD,305.873779296875,1706.44287109375,0.0,1.0,0,305.873779296875
2018-01-01,31,21,R_A5,13,14,STANDARD,306.060791015625,1708.290283203125,0.0,1.0,0,306.060791015625
2018-01-01,31,21,R_A5,14,15,STANDARD,306.2358703613281,1710.137451171875,0.0,1.0,0,306.2358703613281
2018-01-01,31,21,R_A5,15,16,STANDARD,306.41094970703125,1711.9847412109375,0.0,1.0,0,306.41094970703125
2018-01-01,31,21,R_A5,16,17,STANDARD,306.73101806640625,1713.83203125,0.0,1.0,0,306.73101806640625
2018-01-01,31,21,R_A5,17,18,STANDARD,306.9060974121094,1715.6793212890625,0.0,1.0,0,306.9060974121094
2018-01-01,31,21,R_A5,18,19,STANDARD,307.03460693359375,1717.03515625,0.0,1.0,0,307.03460693359375
2018-01-01,31,21,R_A5,33,20,STANDARD,307.0167236328125,1718.504150390625,0.0,1.0,0,307.0167236328125
2018-01-01,31,21,R_A5,34,21,STANDARD,307.2132568359375,1720.577880859375,0.0,1.0,0,307.2132568359375
2018-01-01,31,21,R_A5,35,22,STANDARD,307.715576171875,1722.651611328125,0.0,1.0,0,307.715576171875
2018-01-01,31,21,R_A5,36,23,STANDARD,307.9121398925781,1724.725341796875,0.0,1.0,0,307.9121398925781
2018-01-01,31,21,R_A5,37,24,STANDARD,308.1086730957031,1726.799072265625,0.0,1.0,0,308.1086730957031
2018-01-01,17,42,R_A6,1,1,STANDARD,304.996826171875,1693.964111328125,0.0,1.0,0,304.996826171875
2018-01-01,17,42,R_A6,2,2,STANDARD,305.1416320800781,1695.4921875,0.0,1.0,0,305.1416320800781
2018-01-01,17,42,R_A6,3,3,STANDARD,305.28643798828125,1697.020263671875,0.0,1.0,0,305.28643798828125
2018-01-01,17,42,R_A6,4,4,STANDARD,305.4312438964844,1698.5482177734375,0.0,1.0,0,305.4312438964844
2018-01-01,17,42,R_A6,5,5,STANDARD,305.5760803222656,1700.0762939453125,0.0,1.0,0,305.5760803222656
2018-01-01,17,42,R_A6,6,6,STANDARD,305.7208557128906,1701.604248046875,0.0,1.0,0,305.7208557128906
2018-01-01,17,42,R_A6,7,7,STANDARD,305.5666198730469,1703.1322021484375,0.0,1.0,0,305.5666198730469
2018-01-01,17,42,R_A6,8,8,STANDARD,306.010498046875,1704.6602783203125,0.0,1.0,0,306.010498046875
2018-01-01,17,42,R_A6,9,9,STANDARD,306.1553039550781,1706.188232421875,0.0,1.0,0,306.1553039550781
2018-01-01,17,42,R_A6,10,10,STANDARD,305.99432373046875,1707.71630859375,0.0,1.0,0,305.99432373046875
2018-01-01,17,42,R_A6,11,11,STANDARD,306.1732177734375,1709.602783203125,0.0,1.0,0,306.1732177734375
2018-01-01,17,42,R_A6,12,12,STANDARD,306.385986328125,1711.8475341796875,0.0,1.0,0,306.385986328125
2018-01-01,17,42,R_A6,13,13,STANDARD,306.6106872558594,1714.0924072265625,0.0,1.0,0,306.6106872558594
2018-01-01,17,42,R_A6,14,14,STANDARD,306.8234558105469,1716.3372802734375,0.0,1.0,0,306.8234558105469
2018-01-01,17,42,R_A6,15,15,STANDARD,307.03619384765625,1718.5821533203125,0.0,1.0,0,307.03619384765625
2018-01-01,17,42,R_A6,16,16,STANDARD,307.39398193359375,1720.8271484375,0.0,1.0,0,307.39398193359375
2018-01-01,17,42,R_A6,17,17,STANDARD,307.60675048828125,1723.0718994140625,0.0,1.0,0,307.60675048828125
2018-01-01,17,42,R_A6,18,18,STANDARD,307.7622375488281,1724.7125244140625,0.0,1.0,0,307.7622375488281
2018-01-01,17,42,R_A6,33,19,STANDARD,307.7348937988281,1726.081787109375,0.0,1.0,0,307.7348937988281
2018-01-01,17,42,R_A6,34,20,STANDARD,307.896240234375,1727.783935546875,0.0,1.0,0,307.896240234375
2018-01-01,17,42,R_A6,35,21,STANDARD,308.36334228515625,1729.4859619140625,0.0,1.0,0,308.36334228515625
2018-01-01,17,42,R_A6,36,22,STANDARD,308.524658203125,1731.18798828125,0.0,1.0,0,308.524658203125
2018-01-01,17,42,R_A6,37,23,STANDARD,308.38018798828125,1732.89013671875,0.0,1.0,0,308.38018798828125
2018-03-01,22,30,R_A2,1,1,STANDARD,297.6268005371094,1640.2247314453125,0.0,0.05778291076421738,0,297.6268005371094
2018-03-01,22,30,R_A2,2,2,STANDARD,297.7569274902344,1642.166748046875,0.0,0.06050311028957367,0,297.7569274902344
2018-03-01,22,30,R_A2,3,3,STANDARD,297.8870849609375,1644.10888671875,0.0,0.06354080140590668,0,297.8870849609375
2018-03-01,22,30,R_A2,4,4,STANDARD,298.0172424316406,1646.0509033203125,0.0,0.07023561745882034,0,298.0172424316406
2018-03-01,22,30,R_A2,5,5,STANDARD,298.14739990234375,1647.992919921875,0.0,0.07591598480939865,0,298.14739990234375
2018-03-01,22,30,R_A2,6,6,STANDARD,298.3222351074219,1649.9349365234375,0.0,0.31028467416763306,0,298.3222351074219
2018-03-01,22,30,R_A2,7,7,STANDARD,298.4611511230469,1651.876953125,0.0,0.9123007655143738,0,298.4611511230469
2018-03-01,22,30,R_A2,8,8,STANDARD,298.59735107421875,1653.819091796875,0.0,0.8901539444923401,0,298.59735107421875
2018-03-01,22,30,R_A2,9,9,STANDARD,298.8811950683594,1655.7611083984375,0.0,0.9552852511405945,0,298.8811950683594
2018-03-01,22,30,R_A2,10,10,STANDARD,299.2100524902344,1657.703125,0.0,0.959832489490509,0,299.2100524902344
2018-03-01,22,30,R_A2,11,11,STANDARD,299.611328125,1659.687744140625,0.0,0.09006587415933609,0,299.611328125
2018-03-01,22,30,R_A2,12,12,STANDARD,299.75933837890625,1661.715087890625,0.0,0.10571477562189102,0,299.75933837890625
2018-03-01,22,30,R_A2,13,13,STANDARD,300.0240783691406,1663.742431640625,0.0,0.4999556243419647,0,300.0240783691406
2018-03-01,22,30,R_A2,14,14,STANDARD,300.26324462890625,1665.769775390625,0.0,0.568086564540863,0,300.26324462890625
2018-03-01,22,30,R_A2,15,15,STANDARD,300.399169921875,1667.797119140625,0.0,0.7745439410209656,0,300.399169921875
2018-03-01,22,30,R_A2,16,16,STANDARD,300.5350341796875,1669.824462890625,0.0,0.9917374849319458,0,300.5350341796875
2018-03-01,22,30,R_A2,17,17,STANDARD,300.67108154296875,1671.851806640625,0.0,0.9911749362945557,0,300.67108154296875
2018-03-01,22,30,R_A2,18,18,STANDARD,300.9678649902344,1673.879150390625,-1.6662052848559483e-09,1.0,0,300.9678649902344
2018-03-01,22,30,R_A2,19,19,STANDARD,301.1282958984375,1675.570068359375,-1.0653328219589753e-09,1.0,0,301.1282958984375
2018-03-01,22,30,R_A2,33,20,STANDARD,302.17950439453125,1677.1651611328125,0.0,0.9999979734420776,0,302.17950439453125
2018-03-01,22,29,R_A2,33,21,STANDARD,301.4522399902344,1672.438720703125,0.0,0.5762118697166443,0,301.4522399902344
2018-03-01,22,29,R_A2,34,22,STANDARD,302.4485168457031,1674.3653564453125,-1.6918201052335685e-13,1.0,0,302.4485168457031
2018-03-01,22,29,R_A2,35,23,STANDARD,303.0730285644531,1676.2919921875,-1.1014758847854508e-14,1.0,0,303.0730285644531
2018-03-01,22,29,R_A2,36,24,STANDARD,303.4107360839844,1678.21875,-1.1282667322258045e-15,1.0,0,303.4107360839844
2018-03-01,22,29,R_A2,37,25,STANDARD,303.64337158203125,1680.1455078125,-2.270661074039304e-16,1.0,0,303.64337158203125
2018-04-28,31,20,R_A5,1,1,STANDARD,275.4259338378906,1684.077392578125,1.4659858613499943e-12,1.0,0,275.4259338378906
2018-04-28,31,20,R_A5,2,2,STANDARD,275.3114013671875,1686.0906982421875,2.8930861612624925e-12,1.0,0,275.3114013671875
2018-04-28,31,20,R_A5,3,3,STANDARD,275.5021667480469,1688.10400390625,2.591625048245505e-12,1.0,0,275.5021667480469
2018-04-28,31,20,R_A5,4,4,STANDARD,275.69293212890625,1690.1173095703125,2.6072768076479402e-12,1.0,0,275.69293212890625
2018-04-28,31,20,R_A5,5,5,STANDARD,275.88372802734375,1692.130615234375,2.408030806005934e-12,1.0,0,275.88372802734375
2018-04-28,31,20,R_A5,6,6,STANDARD,276.0745544433594,1694.14404296875,2.44701568036243e-12,1.0,0,276.0745544433594
2018-04-28,31,20,R_A5,7,7,STANDARD,276.59307861328125,1696.1573486328125,6.881857415744555e-14,1.0,0,276.59307861328125
2018-04-28,31,20,R_A5,8,8,STANDARD,277.2479248046875,1698.1707763671875,2.0682681099466055e-14,1.0,0,277.2479248046875
2018-04-28,31,20,R_A5,9,9,STANDARD,277.0310974121094,1700.18408203125,1.5673776118074983e-15,1.0,0,277.0310974121094
2018-04-28,31,20,R_A5,10,10,STANDARD,276.8905029296875,1702.1973876953125,7.219107649452002e-15,1.0,0,276.8905029296875
2018-04-28,31,20,R_A5,11,11,STANDARD,277.1530456542969,1704.1744384765625,7.376050725066419e-13,1.0,0,277.1530456542969
2018-04-28,31,20,R_A5,12,12,STANDARD,277.3465576171875,1706.1151123046875,7.684344154913758e-13,1.0,0,277.3465576171875
2018-04-28,31,21,R_A5,12,13,STANDARD,277.0633544921875,1706.44287109375,5.740440115847801e-15,1.0,0,277.0633544921875
2018-04-28,31,21,R_A5,13,14,STANDARD,277.2531433105469,1708.290283203125,1.1063457313091e-16,1.0,0,277.2531433105469
2018-04-28,31,21,R_A5,14,15,STANDARD,277.42840576171875,1710.137451171875,2.0381103290402287e-17,1.0,0,277.42840576171875
2018-04-28,31,21,R_A5,15,16,STANDARD,277.6048583984375,1711.9847412109375,3.7755352114615114e-17,1.0,0,277.6048583984375
2018-04-28,31,21,R_A5,16,17,STANDARD,277.9375305175781,1713.83203125,8.227018011210938e-21,1.0,0,277.9375305175781
2018-04-28,31,21,R_A5,17,18,STANDARD,278.13043212890625,1715.6793212890625,2.053433353579406e-17,1.0,0,278.13043212890625
2018-04-28,31,21,R_A5,18,19,STANDARD,278.263427734375,1717.03515625,2.0288344910871815e-17,1.0,0,278.263427734375
2018-04-28,31,21,R_A5,33,20,STANDARD,280.464599609375,1718.504150390625,4.3084010577756806e-16,1.0,0,280.464599609375
2018-04-28,31,21,R_A5,34,21,STANDARD,280.67181396484375,1720.577880859375,4.0684233889287365e-16,1.0,0,280.67181396484375
2018-04-28,31,21,R_A5,35,22,STANDARD,281.3350830078125,1722.651611328125,2.40277994966305e-16,1.0,0,281.3350830078125
