CONKPOS,CONIPOS,WELL,CONBPRES,CONIDX,DEPTH,CONJPOS,WELLMODEL,PRESSURE,DATE,SGAS,DRAWDOWN,SWAT
6,29,R_A3,298.6356506347656,7,1609.3663330078125,41,STANDARD,298.6356506347656,2018-01-01,0.0,0,0.263051837682724
7,29,R_A3,298.7730407714844,8,1611.4163818359375,41,STANDARD,298.7730407714844,2018-01-01,0.0,0,0.1943691372871399
8,29,R_A3,298.9104309082031,9,1613.46630859375,41,STANDARD,298.9104309082031,2018-01-01,0.0,0,0.37717604637145996
9,29,R_A3,299.0478210449219,10,1615.516357421875,41,STANDARD,299.0478210449219,2018-01-01,0.0,0,0.7969474196434021
10,29,R_A3,299.18524169921875,11,1617.5662841796875,41,STANDARD,299.18524169921875,2018-01-01,0.0,0,0.7945965528488159
11,29,R_A3,299.3316650390625,12,1619.750732421875,41,STANDARD,299.3316650390625,2018-01-01,0.0,0,0.047733157873153687
12,29,R_A3,299.4870910644531,13,1622.0697021484375,41,STANDARD,299.4870910644531,2018-01-01,0.0,0,0.05285056307911873
13,29,R_A3,299.6425476074219,14,1624.388671875,41,STANDARD,299.6425476074219,2018-01-01,0.0,0,0.3646883964538574
14,29,R_A3,299.7980041503906,15,1626.707763671875,41,STANDARD,299.7980041503906,2018-01-01,0.0,0,0.3627912104129791
15,29,R_A3,299.9534606933594,16,1629.026611328125,41,STANDARD,299.9534606933594,2018-01-01,0.0,0,0.4360577464103699
16,29,R_A3,300.08221435546875,17,1630.9468994140625,41,STANDARD,300.08221435546875,2018-01-01,0.0,0,0.8042799234390259
27,29,R_A3,300.255126953125,18,1633.5262451171875,41,STANDARD,300.255126953125,2018-01-01,0.0,0,0.3780866861343384
28,29,R_A3,300.49896240234375,19,1637.1630859375,41,STANDARD,300.49896240234375,2018-01-01,0.0,0,0.044137727469205856
29,29,R_A3,300.7428283691406,20,1640.8001708984375,41,STANDARD,300.7428283691406,2018-01-01,0.0,0,0.048622868955135345
30,29,R_A3,300.9867248535156,21,1644.4371337890625,41,STANDARD,300.9867248535156,2018-01-01,0.0,0,0.6481541991233826
31,29,R_A3,301.2306213378906,22,1648.0740966796875,41,STANDARD,301.2306213378906,2018-01-01,0.0,0,0.0596000999212265
1,30,R_A4,300.09832763671875,1,1631.1873779296875,52,STANDARD,300.09832763671875,2018-01-01,0.0,0,0.05012424290180206
1,31,R_A4,299.84637451171875,2,1627.4293212890625,52,STANDARD,299.84637451171875,2018-01-01,0.0,0,0.04723430424928665
2,31,R_A4,299.9844970703125,3,1629.4896240234375,52,STANDARD,299.9844970703125,2018-01-01,0.0,0,0.05067327246069908
3,31,R_A4,300.12261962890625,4,1631.5498046875,52,STANDARD,300.12261962890625,2018-01-01,0.0,0,0.052643727511167526
4,31,R_A4,300.2607421875,5,1633.610107421875,52,STANDARD,300.2607421875,2018-01-01,0.0,0,0.055519476532936096
4,32,R_A4,300.1794128417969,6,1632.3968505859375,52,STANDARD,300.1794128417969,2018-01-01,0.0,0,0.054625287652015686
4,32,R_A4,300.4129943847656,7,1635.880615234375,51,STANDARD,300.4129943847656,2018-01-01,0.0,0,0.05710463225841522
4,33,R_A4,300.5095520019531,8,1637.321044921875,51,STANDARD,300.5095520019531,2018-01-01,0.0,0,0.055415019392967224
3,33,R_A4,300.3857421875,9,1635.474609375,51,STANDARD,300.3857421875,2018-01-01,0.0,0,0.054393671452999115
4,33,R_A4,300.833251953125,10,1642.1485595703125,50,STANDARD,300.833251953125,2018-01-01,0.0,0,0.060642119497060776
4,34,R_A4,300.7651062011719,11,1641.132080078125,50,STANDARD,300.7651062011719,2018-01-01,0.0,0,0.059094153344631195
3,34,R_A4,300.6360168457031,12,1639.20703125,50,STANDARD,300.6360168457031,2018-01-01,0.0,0,0.13630977272987366
3,35,R_A4,300.74993896484375,13,1640.9061279296875,50,STANDARD,300.74993896484375,2018-01-01,0.0,0,0.13846327364444733
2,35,R_A4,300.625,14,1639.0426025390625,50,STANDARD,300.625,2018-01-01,0.0,0,0.2270338386297226
2,35,R_A4,300.8187561035156,15,1641.93212890625,49,STANDARD,300.8187561035156,2018-01-01,0.0,0,0.23033015429973602
30,36,R_A4,300.8472595214844,16,1642.357421875,49,STANDARD,300.8472595214844,2018-01-01,0.0,0,1.0
30,36,R_A4,300.6628112792969,17,1639.6068115234375,48,STANDARD,300.6628112792969,2018-01-01,0.0,0,0.6481541991233826
30,37,R_A4,301.14190673828125,18,1646.7513427734375,48,STANDARD,301.14190673828125,2018-01-01,0.0,0,0.6481541991233826
30,38,R_A4,301.5919189453125,19,1653.461669921875,48,STANDARD,301.5919189453125,2018-01-01,0.0,0,0.6481541991233826
30,38,R_A4,301.8841247558594,20,1657.8184814453125,47,STANDARD,301.8841247558594,2018-01-01,0.0,0,0.6481541991233826
1,31,R_A5,303.8440856933594,1,1685.026611328125,20,STANDARD,303.8440856933594,2018-01-01,0.0,0,1.0
2,31,R_A5,304.0601806640625,2,1687.3070068359375,20,STANDARD,304.0601806640625,2018-01-01,0.0,0,1.0
3,31,R_A5,304.27630615234375,3,1689.5875244140625,20,STANDARD,304.27630615234375,2018-01-01,0.0,0,1.0
4,31,R_A5,304.4924011230469,4,1691.8680419921875,20,STANDARD,304.4924011230469,2018-01-01,0.0,0,1.0
5,31,R_A5,304.7085266113281,5,1694.1485595703125,20,STANDARD,304.7085266113281,2018-01-01,0.0,0,1.0
6,31,R_A5,304.9246520996094,6,1696.4290771484375,20,STANDARD,304.9246520996094,2018-01-01,0.0,0,1.0
7,31,R_A5,305.446533203125,7,1698.70947265625,20,STANDARD,305.446533203125,2018-01-01,0.0,0,1.0
11,31,R_A5,305.988037109375,8,1707.6488037109375,20,STANDARD,305.988037109375,2018-01-01,0.0,0,1.0
12,31,R_A5,306.1695251464844,9,1709.5638427734375,20,STANDARD,306.1695251464844,2018-01-01,0.0,0,1.0
12,31,R_A5,305.4322814941406,10,1701.7845458984375,21,STANDARD,305.4322814941406,2018-01-01,0.0,0,1.0
13,31,R_A5,305.6291198730469,11,1703.735107421875,21,STANDARD,305.6291198730469,2018-01-01,0.0,0,1.0
14,31,R_A5,305.81396484375,12,1705.6856689453125,21,STANDARD,305.81396484375,2018-01-01,0.0,0,1.0
15,31,R_A5,305.9988098144531,13,1707.63623046875,21,STANDARD,305.9988098144531,2018-01-01,0.0,0,1.0
16,31,R_A5,306.3287048339844,14,1709.5867919921875,21,STANDARD,306.3287048339844,2018-01-01,0.0,0,1.0
17,31,R_A5,306.5135498046875,15,1711.537353515625,21,STANDARD,306.5135498046875,2018-01-01,0.0,0,1.0
18,31,R_A5,306.6856994628906,16,1713.35400390625,21,STANDARD,306.6856994628906,2018-01-01,0.0,0,1.0
19,31,R_A5,306.7843933105469,17,1714.3951416015625,21,STANDARD,306.7843933105469,2018-01-01,0.0,0,1.0
27,31,R_A5,306.75689697265625,18,1715.7628173828125,21,STANDARD,306.75689697265625,2018-01-01,0.0,0,1.0
28,31,R_A5,306.978271484375,19,1718.098388671875,21,STANDARD,306.978271484375,2018-01-01,0.0,0,1.0
29,31,R_A5,307.5054016113281,20,1720.43408203125,21,STANDARD,307.5054016113281,2018-01-01,0.0,0,1.0
30,31,R_A5,307.7267761230469,21,1722.7696533203125,21,STANDARD,307.7267761230469,2018-01-01,0.0,0,1.0
31,31,R_A5,307.9481506347656,22,1725.105224609375,21,STANDARD,307.9481506347656,2018-01-01,0.0,0,1.0
1,17,R_A6,305.11419677734375,1,1695.20263671875,42,STANDARD,305.11419677734375,2018-01-01,0.0,0,1.0
2,17,R_A6,305.2609558105469,2,1696.7510986328125,42,STANDARD,305.2609558105469,2018-01-01,0.0,0,1.0
3,17,R_A6,305.4076843261719,3,1698.299560546875,42,STANDARD,305.4076843261719,2018-01-01,0.0,0,1.0
4,17,R_A6,305.554443359375,4,1699.84814453125,42,STANDARD,305.554443359375,2018-01-01,0.0,0,1.0
5,17,R_A6,305.7012023925781,5,1701.3966064453125,42,STANDARD,305.7012023925781,2018-01-01,0.0,0,1.0
6,17,R_A6,305.84796142578125,6,1702.9451904296875,42,STANDARD,305.84796142578125,2018-01-01,0.0,0,1.0
7,17,R_A6,305.6956481933594,7,1704.49365234375,42,STANDARD,305.6956481933594,2018-01-01,0.0,0,1.0
8,17,R_A6,305.8424072265625,8,1706.042236328125,42,STANDARD,305.8424072265625,2018-01-01,0.0,0,1.0
9,17,R_A6,306.2882080078125,9,1707.5906982421875,42,STANDARD,306.2882080078125,2018-01-01,0.0,0,1.0
10,17,R_A6,306.1291809082031,10,1709.1392822265625,42,STANDARD,306.1291809082031,2018-01-01,0.0,0,1.0
11,17,R_A6,306.3109130859375,11,1711.055419921875,42,STANDARD,306.3109130859375,2018-01-01,0.0,0,1.0
12,17,R_A6,306.52734375,12,1713.3392333984375,42,STANDARD,306.52734375,2018-01-01,0.0,0,1.0
13,17,R_A6,306.7557678222656,13,1715.623046875,42,STANDARD,306.7557678222656,2018-01-01,0.0,0,1.0
14,17,R_A6,306.9721984863281,14,1717.9068603515625,42,STANDARD,306.9721984863281,2018-01-01,0.0,0,1.0
15,17,R_A6,307.18865966796875,15,1720.190673828125,42,STANDARD,307.18865966796875,2018-01-01,0.0,0,1.0
16,17,R_A6,307.55010986328125,16,1722.474365234375,42,STANDARD,307.55010986328125,2018-01-01,0.0,0,1.0
17,17,R_A6,307.7665710449219,17,1724.7581787109375,42,STANDARD,307.7665710449219,2018-01-01,0.0,0,1.0
18,17,R_A6,307.921630859375,18,1726.394287109375,42,STANDARD,307.921630859375,2018-01-01,0.0,0,1.0
27,17,R_A6,307.8930969238281,19,1727.7508544921875,42,STANDARD,307.8930969238281,2018-01-01,0.0,0,1.0
28,17,R_A6,308.3623352050781,20,1729.4755859375,42,STANDARD,308.3623352050781,2018-01-01,0.0,0,1.0
29,17,R_A6,308.52581787109375,21,1731.2001953125,42,STANDARD,308.52581787109375,2018-01-01,0.0,0,1.0
30,17,R_A6,308.68927001953125,22,1732.9249267578125,42,STANDARD,308.68927001953125,2018-01-01,0.0,0,1.0
31,17,R_A6,308.5469665527344,23,1734.649658203125,42,STANDARD,308.5469665527344,2018-01-01,0.0,0,1.0
1,22,R_A2,298.68890380859375,1,1641.094970703125,30,STANDARD,298.68890380859375,2018-03-01,0.0,0,0.054328784346580505
2,22,R_A2,298.80914306640625,2,1642.8890380859375,30,STANDARD,298.80914306640625,2018-03-01,0.0,0,0.0547887347638607
3,22,R_A2,298.92938232421875,3,1644.68310546875,30,STANDARD,298.92938232421875,2018-03-01,0.0,0,0.05871713161468506
4,22,R_A2,299.04962158203125,4,1646.4771728515625,30,STANDARD,299.04962158203125,2018-03-01,0.0,0,0.06449390947818756
5,22,R_A2,299.16986083984375,5,1648.2713623046875,30,STANDARD,299.16986083984375,2018-03-01,0.0,0,0.06766027957201004
6,22,R_A2,299.29400634765625,6,1650.0654296875,30,STANDARD,299.29400634765625,2018-03-01,0.0,0,0.3150832951068878
7,22,R_A2,299.458984375,7,1651.859619140625,30,STANDARD,299.458984375,2018-03-01,0.0,0,0.678713858127594
8,22,R_A2,299.61212158203125,8,1653.6536865234375,30,STANDARD,299.61212158203125,2018-03-01,0.0,0,0.6482810974121094
9,22,R_A2,299.740478515625,9,1655.44775390625,30,STANDARD,299.740478515625,2018-03-01,0.0,0,0.648505449295044
10,22,R_A2,300.0771789550781,10,1657.2418212890625,30,STANDARD,300.0771789550781,2018-03-01,0.0,0,0.8978861570358276
11,22,R_A2,300.2461242675781,11,1659.1368408203125,30,STANDARD,300.2461242675781,2018-03-01,0.0,0,0.07006855309009552
12,22,R_A2,300.37994384765625,12,1661.132568359375,30,STANDARD,300.37994384765625,2018-03-01,0.0,0,0.07443896681070328
13,22,R_A2,300.514404296875,13,1663.12841796875,30,STANDARD,300.514404296875,2018-03-01,0.0,0,0.43485701084136963
14,22,R_A2,300.6495056152344,14,1665.1241455078125,30,STANDARD,300.6495056152344,2018-03-01,0.0,0,0.47437992691993713
15,22,R_A2,300.7876892089844,15,1667.1199951171875,30,STANDARD,300.7876892089844,2018-03-01,0.0,0,0.649824321269989
16,22,R_A2,300.9221496582031,16,1669.11572265625,30,STANDARD,300.9221496582031,2018-03-01,0.0,0,0.9429466724395752
17,22,R_A2,301.056884765625,17,1671.111572265625,30,STANDARD,301.056884765625,2018-03-01,0.0,0,0.9066306948661804
18,22,R_A2,301.1830139160156,18,1672.9881591796875,30,STANDARD,301.1830139160156,2018-03-01,0.0,0,0.9460592865943909
18,22,R_A2,301.18658447265625,19,1674.229736328125,29,STANDARD,301.18658447265625,2018-03-01,0.0,0,0.9690889120101929
27,22,R_A2,303.0707092285156,20,1676.1676025390625,29,STANDARD,303.0707092285156,2018-03-01,5.0539690400091316e-15,0,1.0
28,22,R_A2,303.1913757324219,21,1677.9368896484375,29,STANDARD,303.1913757324219,2018-03-01,4.67649431277941e-15,0,1.0
29,22,R_A2,303.1808776855469,22,1679.7061767578125,29,STANDARD,303.1808776855469,2018-03-01,0.0,0,0.8071664571762085
30,22,R_A2,303.7667236328125,23,1681.4754638671875,29,STANDARD,303.7667236328125,2018-03-01,-4.983712315715597e-15,0,1.0
31,22,R_A2,303.93988037109375,24,1683.2447509765625,29,STANDARD,303.93988037109375,2018-03-01,2.8280716984685266e-15,0,1.0
1,31,R_A5,276.7238464355469,1,1685.026611328125,20,STANDARD,276.7238464355469,2018-04-28,-5.029345199309386e-14,0,1.0
2,31,R_A5,276.9399108886719,2,1687.3070068359375,20,STANDARD,276.9399108886719,2018-04-28,-2.823237303661852e-11,0,1.0
3,31,R_A5,277.1559143066406,3,1689.5875244140625,20,STANDARD,277.1559143066406,2018-04-28,-3.849390597943092e-11,0,1.0
4,31,R_A5,277.3718566894531,4,1691.8680419921875,20,STANDARD,277.3718566894531,2018-04-28,-3.2767469293482065e-11,0,1.0
5,31,R_A5,277.5877990722656,5,1694.1485595703125,20,STANDARD,277.5877990722656,2018-04-28,-2.9504568926919106e-11,0,1.0
