PRESSURE,DEPTH,WELLMODEL,SWAT,DRAWDOWN,WELL,CONIPOS,CONJPOS,SGAS,CONKPOS,CONBPRES,DATE,CONIDX
307.44635009765625,1719.8109130859375,STANDARD,1.0,0,R_A5,31,21,0.0,27,307.44635009765625,2018-01-01,19
307.6768798828125,1722.2432861328125,STANDARD,1.0,0,R_A5,31,21,0.0,28,307.6768798828125,2018-01-01,20
307.9074401855469,1724.6756591796875,STANDARD,1.0,0,R_A5,31,21,0.0,29,307.9074401855469,2018-01-01,21
305.0764465332031,1694.8040771484375,STANDARD,1.0,0,R_A6,17,42,0.0,1,305.0764465332031,2018-01-01,1
305.2225036621094,1696.345458984375,STANDARD,1.0,0,R_A6,17,42,0.0,2,305.2225036621094,2018-01-01,2
305.3685607910156,1697.88671875,STANDARD,1.0,0,R_A6,17,42,0.0,3,305.3685607910156,2018-01-01,3
305.5146179199219,1699.427978515625,STANDARD,1.0,0,R_A6,17,42,0.0,4,305.5146179199219,2018-01-01,4
305.66070556640625,1700.9693603515625,STANDARD,1.0,0,R_A6,17,42,0.0,5,305.66070556640625,2018-01-01,5
305.8067626953125,1702.5107421875,STANDARD,1.0,0,R_A6,17,42,0.0,6,305.8067626953125,2018-01-01,6
305.6537780761719,1704.052001953125,STANDARD,1.0,0,R_A6,17,42,0.0,7,305.6537780761719,2018-01-01,7
305.79986572265625,1705.59326171875,STANDARD,1.0,0,R_A6,17,42,0.0,8,305.79986572265625,2018-01-01,8
306.2449645996094,1707.134521484375,STANDARD,1.0,0,R_A6,17,42,0.0,9,306.2449645996094,2018-01-01,9
306.08526611328125,1708.6759033203125,STANDARD,1.0,0,R_A6,17,42,0.0,10,306.08526611328125,2018-01-01,10
306.2706604003906,1710.6309814453125,STANDARD,1.0,0,R_A6,17,42,0.0,11,306.2706604003906,2018-01-01,11
306.4951477050781,1712.99951171875,STANDARD,1.0,0,R_A6,17,42,0.0,12,306.4951477050781,2018-01-01,12
306.7315979003906,1715.3681640625,STANDARD,1.0,0,R_A6,17,42,0.0,13,306.7315979003906,2018-01-01,13
306.9560852050781,1717.73681640625,STANDARD,1.0,0,R_A6,17,42,0.0,14,306.9560852050781,2018-01-01,14
307.1805725097656,1720.10546875,STANDARD,1.0,0,R_A6,17,42,0.0,15,307.1805725097656,2018-01-01,15
307.5500793457031,1722.47412109375,STANDARD,1.0,0,R_A6,17,42,0.0,16,307.5500793457031,2018-01-01,16
307.772216796875,1724.8179931640625,STANDARD,1.0,0,R_A6,17,42,0.0,17,307.772216796875,2018-01-01,17
307.8981628417969,1726.1468505859375,STANDARD,1.0,0,R_A6,17,42,0.0,18,307.8981628417969,2018-01-01,18
307.83837890625,1727.1737060546875,STANDARD,1.0,0,R_A6,17,42,0.0,25,307.83837890625,2018-01-01,19
308.3067321777344,1728.8887939453125,STANDARD,1.0,0,R_A6,17,42,0.0,26,308.3067321777344,2018-01-01,20
308.46929931640625,1730.60400390625,STANDARD,1.0,0,R_A6,17,42,0.0,27,308.46929931640625,2018-01-01,21
308.6318664550781,1732.3192138671875,STANDARD,1.0,0,R_A6,17,42,0.0,28,308.6318664550781,2018-01-01,22
308.4886474609375,1734.0343017578125,STANDARD,1.0,0,R_A6,17,42,0.0,29,308.4886474609375,2018-01-01,23
300.0647888183594,1638.7340087890625,STANDARD,0.05313017964363098,0,R_A2,22,30,0.0,1,300.0647888183594,2018-03-01,1
300.1809387207031,1640.466064453125,STANDARD,0.05618597939610481,0,R_A2,22,30,0.0,2,300.1809387207031,2018-03-01,2
300.29705810546875,1642.1982421875,STANDARD,0.059517957270145416,0,R_A2,22,30,0.0,3,300.29705810546875,2018-03-01,3
300.4132080078125,1643.930419921875,STANDARD,0.06356528401374817,0,R_A2,22,30,0.0,4,300.4132080078125,2018-03-01,4
300.5293273925781,1645.6624755859375,STANDARD,0.06611711531877518,0,R_A2,22,30,0.0,5,300.5293273925781,2018-03-01,5
300.64715576171875,1647.3946533203125,STANDARD,0.30850696563720703,0,R_A2,22,30,0.0,6,300.64715576171875,2018-03-01,6
300.7651672363281,1649.1268310546875,STANDARD,0.8724286556243896,0,R_A2,22,30,0.0,7,300.7651672363281,2018-03-01,7
300.8821105957031,1650.85888671875,STANDARD,0.8506683707237244,0,R_A2,22,30,0.0,8,300.8821105957031,2018-03-01,8
300.9847106933594,1652.591064453125,STANDARD,0.8708022236824036,0,R_A2,22,30,0.0,9,300.9847106933594,2018-03-01,9
301.0158996582031,1654.3231201171875,STANDARD,0.6482670307159424,0,R_A2,22,30,0.0,10,301.0158996582031,2018-03-01,10
300.45025634765625,1656.2034912109375,STANDARD,0.06886951625347137,0,R_A2,22,30,0.0,11,300.45025634765625,2018-03-01,11
300.57257080078125,1658.2320556640625,STANDARD,0.062464307993650436,0,R_A2,22,30,0.0,12,300.57257080078125,2018-03-01,12
300.8446350097656,1660.2606201171875,STANDARD,0.429002970457077,0,R_A2,22,30,0.0,13,300.8446350097656,2018-03-01,13
300.98175048828125,1662.2891845703125,STANDARD,0.4895350933074951,0,R_A2,22,30,0.0,14,300.98175048828125,2018-03-01,14
301.11962890625,1664.317626953125,STANDARD,0.8969613909721375,0,R_A2,22,30,0.0,15,301.11962890625,2018-03-01,15
301.2560729980469,1666.34619140625,STANDARD,0.9213222861289978,0,R_A2,22,30,0.0,16,301.2560729980469,2018-03-01,16
301.3561096191406,1668.5081787109375,STANDARD,0.922293484210968,0,R_A2,22,29,0.0,16,301.3561096191406,2018-03-01,17
301.4949035644531,1670.5770263671875,STANDARD,0.8963079452514648,0,R_A2,22,29,0.0,17,301.4949035644531,2018-03-01,18
301.6200256347656,1672.4422607421875,STANDARD,0.9452239274978638,0,R_A2,22,29,0.0,18,301.6200256347656,2018-03-01,19
302.9346923828125,1674.1729736328125,STANDARD,1.0,0,R_A2,22,29,-1.3600462769880473e-11,25,302.9346923828125,2018-03-01,20
303.0670166015625,1675.9727783203125,STANDARD,1.0,0,R_A2,22,29,-1.7666415634011458e-17,26,303.0670166015625,2018-03-01,21
303.1935119628906,1677.7725830078125,STANDARD,1.0,0,R_A2,22,29,-1.8185489252771652e-18,27,303.1935119628906,2018-03-01,22
303.62158203125,1679.572509765625,STANDARD,1.0,0,R_A2,22,29,-3.116691178538218e-19,28,303.62158203125,2018-03-01,23
303.78863525390625,1681.3721923828125,STANDARD,1.0,0,R_A2,22,29,7.087462010732636e-21,29,303.78863525390625,2018-03-01,24
273.1756591796875,1686.64599609375,STANDARD,1.0,0,R_A5,31,20,-5.4921182857327856e-17,1,273.1756591796875,2018-04-28,1
273.0770263671875,1688.8350830078125,STANDARD,1.0,0,R_A5,31,20,-6.681323096048016e-17,2,273.0770263671875,2018-04-28,2
273.2845764160156,1691.024169921875,STANDARD,1.0,0,R_A5,31,20,-2.9088407369121973e-15,3,273.2845764160156,2018-04-28,3
273.4918518066406,1693.2132568359375,STANDARD,1.0,0,R_A5,31,20,-3.2097216628535017e-15,4,273.4918518066406,2018-04-28,4
273.6990661621094,1695.4024658203125,STANDARD,1.0,0,R_A5,31,20,-2.51854362492694e-15,5,273.6990661621094,2018-04-28,5
273.9062805175781,1697.591552734375,STANDARD,1.0,0,R_A5,31,20,-2.594520786229756e-15,6,273.9062805175781,2018-04-28,6
274.443115234375,1699.78076171875,STANDARD,1.0,0,R_A5,31,20,-1.0859594349788121e-17,7,274.443115234375,2018-04-28,7
271.76617431640625,1697.664794921875,STANDARD,1.0,0,R_A5,31,21,-5.506315455677813e-12,11,271.76617431640625,2018-04-28,8
271.9691162109375,1699.8076171875,STANDARD,1.0,0,R_A5,31,21,-5.01935385616159e-12,12,271.9691162109375,2018-04-28,9
272.1847839355469,1701.9505615234375,STANDARD,1.0,0,R_A5,31,21,-1.9907280034495156e-13,13,272.1847839355469,2018-04-28,10
272.3886413574219,1704.0933837890625,STANDARD,1.0,0,R_A5,31,21,-3.974610896483044e-13,14,272.3886413574219,2018-04-28,11
273.8228759765625,1706.236328125,STANDARD,1.0,0,R_A5,31,21,-2.8873984366656336e-12,15,273.8228759765625,2018-04-28,12
274.7644348144531,1708.379150390625,STANDARD,1.0,0,R_A5,31,21,-3.5394868459770468e-12,16,274.7644348144531,2018-04-28,13
274.9681701660156,1710.4940185546875,STANDARD,1.0,0,R_A5,31,21,-3.3443781598252453e-12,17,274.9681701660156,2018-04-28,14
275.13702392578125,1712.2802734375,STANDARD,1.0,0,R_A5,31,21,-3.4569504377135463e-12,18,275.13702392578125,2018-04-28,15
275.23223876953125,1713.2882080078125,STANDARD,1.0,0,R_A5,31,21,0.0,19,275.23223876953125,2018-04-28,16
273.4317321777344,1714.946044921875,STANDARD,1.0,0,R_A5,31,21,-7.353988251690424e-11,25,273.4317321777344,2018-04-28,17
273.6343078613281,1717.3785400390625,STANDARD,1.0,0,R_A5,31,21,-6.227229842892257e-11,26,273.6343078613281,2018-04-28,18
280.8719482421875,1719.8109130859375,STANDARD,1.0,0,R_A5,31,21,-2.195159005575669e-17,27,280.8719482421875,2018-04-28,19
297.6355285644531,1722.2432861328125,STANDARD,1.0,0,R_A5,31,21,-5.546878800336654e-19,28,297.6355285644531,2018-04-28,20
305.2030029296875,1724.6756591796875,STANDARD,1.0,0,R_A5,31,21,-9.294040611725997e-21,29,305.2030029296875,2018-04-28,21
285.24017333984375,1608.7933349609375,STANDARD,0.0938768982887268,0,R_A3,28,41,0.0,1,285.24017333984375,2018-07-03,1
285.374267578125,1610.80078125,STANDARD,0.0792282298207283,0,R_A3,28,41,0.0,2,285.374267578125,2018-07-03,2
285.5084228515625,1612.8082275390625,STANDARD,0.09857236593961716,0,R_A3,28,41,0.0,3,285.5084228515625,2018-07-03,3
285.6430969238281,1614.815673828125,STANDARD,0.2689412534236908,0,R_A3,28,41,0.0,4,285.6430969238281,2018-07-03,4
285.7783508300781,1616.8232421875,STANDARD,0.64911288022995,0,R_A3,28,41,0.0,5,285.7783508300781,2018-07-03,5
285.3984375,1611.00927734375,STANDARD,0.27768823504447937,0,R_A3,29,41,0.0,6,285.3984375,2018-07-03,6
285.5264892578125,1612.9261474609375,STANDARD,0.19876743853092194,0,R_A3,29,41,0.0,7,285.5264892578125,2018-07-03,7
285.654541015625,1614.843017578125,STANDARD,0.19782401621341705,0,R_A3,29,41,0.0,8,285.654541015625,2018-07-03,8
285.85076904296875,1616.7598876953125,STANDARD,0.7982004284858704,0,R_A3,29,41,0.0,9,285.85076904296875,2018-07-03,9
286.59564208984375,1618.6767578125,STANDARD,0.7982215285301208,0,R_A3,29,41,0.0,10,286.59564208984375,2018-07-03,10
286.23187255859375,1620.84228515625,STANDARD,0.04689506068825722,0,R_A3,29,41,0.0,11,286.23187255859375,2018-07-03,11
286.3931884765625,1623.2562255859375,STANDARD,0.05548518896102905,0,R_A3,29,41,0.0,12,286.3931884765625,2018-07-03,12
286.5556335449219,1625.670166015625,STANDARD,0.37686291337013245,0,R_A3,29,41,0.0,13,286.5556335449219,2018-07-03,13
286.8275146484375,1628.084228515625,STANDARD,0.34856146574020386,0,R_A3,29,41,0.0,14,286.8275146484375,2018-07-03,14
286.91607666015625,1630.33740234375,STANDARD,0.7990115880966187,0,R_A3,29,41,0.0,15,286.91607666015625,2018-07-03,15
286.9469909667969,1631.8038330078125,STANDARD,0.7979273796081543,0,R_A3,29,41,0.0,16,286.9469909667969,2018-07-03,16
286.3831481933594,1633.982177734375,STANDARD,0.12249043583869934,0,R_A3,29,41,0.0,25,286.3831481933594,2018-07-03,17
286.6172180175781,1637.4989013671875,STANDARD,0.045869577676057816,0,R_A3,29,41,0.0,26,286.6172180175781,2018-07-03,18
286.8522033691406,1641.015625,STANDARD,0.052791889756917953,0,R_A3,29,41,0.0,27,286.8522033691406,2018-07-03,19
287.0872802734375,1644.5322265625,STANDARD,0.1373128890991211,0,R_A3,29,41,0.0,28,287.0872802734375,2018-07-03,20
287.3221130371094,1648.049072265625,STANDARD,0.059976451098918915,0,R_A3,29,41,0.0,29,287.3221130371094,2018-07-03,21
276.9502258300781,1630.958740234375,STANDARD,0.04948803409934044,0,R_A4,30,52,0.0,1,276.9502258300781,2018-09-12,1
276.751953125,1626.5263671875,STANDARD,0.047228820621967316,0,R_A4,31,52,0.0,1,276.751953125,2018-09-12,2
276.8929138183594,1628.6416015625,STANDARD,0.04987015947699547,0,R_A4,31,52,0.0,2,276.8929138183594,2018-09-12,3
277.0339050292969,1630.7568359375,STANDARD,0.05069907382130623,0,R_A4,31,52,0.0,3,277.0339050292969,2018-09-12,4
277.1748962402344,1632.8720703125,STANDARD,0.054522253572940826,0,R_A4,31,52,0.0,4,277.1748962402344,2018-09-12,5
277.14642333984375,1630.7913818359375,STANDARD,0.053342901170253754,0,R_A4,32,52,0.0,4,277.14642333984375,2018-09-12,6
277.3568420410156,1636.5498046875,STANDARD,0.056885648518800735,0,R_A4,32,51,0.0,4,277.3568420410156,2018-09-12,7
277.5966796875,1637.789306640625,STANDARD,0.058279573917388916,0,R_A4,33,51,0.0,4,277.5966796875,2018-09-12,8
277.4691467285156,1635.8751220703125,STANDARD,0.056062471121549606,0,R_A4,33,51,0.0,3,277.4691467285156,2018-09-12,9
277.808349609375,1643.397705078125,STANDARD,0.061500899493694305,0,R_A4,33,50,0.0,4,277.808349609375,2018-09-12,10
277.9178161621094,1642.440673828125,STANDARD,0.062202442437410355,0,R_A4,34,50,0.0,4,277.9178161621094,2018-09-12,11
277.78717041015625,1640.4825439453125,STANDARD,0.06158815696835518,0,R_A4,34,50,0.0,3,277.78717041015625,2018-09-12,12
278.0863952636719,1640.9649658203125,STANDARD,0.06143169105052948,0,R_A4,35,50,0.0,3,278.0863952636719,2018-09-12,13
277.9571533203125,1639.0284423828125,STANDARD,0.0749816969037056,0,R_A4,35,50,0.0,2,277.9571533203125,2018-09-12,14
282.5350341796875,1638.88037109375,STANDARD,0.050877172499895096,0,R_A4,35,49,0.0,28,282.5350341796875,2018-09-12,15
282.7312316894531,1641.9383544921875,STANDARD,0.05531032383441925,0,R_A4,36,49,0.0,28,282.7312316894531,2018-09-12,16
