CONKPOS,SGAS,DRAWDOWN,CONIPOS,WELL,SWAT,CONBPRES,CONIDX,CONJPOS,WELLMODEL,DATE,DEPTH,PRESSURE
12,0.0,0,29,R_A3,0.05586806312203407,299.4594421386719,13,41,STANDARD,2018-01-01,1624.0281982421875,299.4594421386719
13,0.0,0,29,R_A3,0.38184288144111633,299.6075744628906,14,41,STANDARD,2018-01-01,1626.2379150390625,299.6075744628906
14,0.0,0,29,R_A3,0.2493256777524948,299.75567626953125,15,41,STANDARD,2018-01-01,1628.4476318359375,299.75567626953125
15,0.0,0,29,R_A3,0.5037591457366943,299.9038391113281,16,41,STANDARD,2018-01-01,1630.6573486328125,299.9038391113281
16,0.0,0,29,R_A3,0.8171713352203369,300.0257873535156,17,41,STANDARD,2018-01-01,1632.4765625,300.0257873535156
28,0.0,0,29,R_A3,0.6481541991233826,300.1932067871094,18,41,STANDARD,2018-01-01,1634.9736328125,300.1932067871094
29,0.0,0,29,R_A3,0.04844098910689354,300.427490234375,19,41,STANDARD,2018-01-01,1638.4678955078125,300.427490234375
30,0.0,0,29,R_A3,0.05399561673402786,300.6617736816406,20,41,STANDARD,2018-01-01,1641.9622802734375,300.6617736816406
31,0.0,0,29,R_A3,0.6481541991233826,300.8960876464844,21,41,STANDARD,2018-01-01,1645.45654296875,300.8960876464844
32,0.0,0,29,R_A3,0.11332230269908905,301.1304016113281,22,41,STANDARD,2018-01-01,1648.950927734375,301.1304016113281
1,0.0,0,30,R_A4,0.05001081898808479,299.4119567871094,1,52,STANDARD,2018-01-01,1623.3197021484375,299.4119567871094
1,0.0,0,31,R_A4,0.050110407173633575,299.51116943359375,2,52,STANDARD,2018-01-01,1624.800048828125,299.51116943359375
2,0.0,0,31,R_A4,0.05076165869832039,299.64776611328125,3,52,STANDARD,2018-01-01,1626.8377685546875,299.64776611328125
3,0.0,0,31,R_A4,0.05232376977801323,299.78436279296875,4,52,STANDARD,2018-01-01,1628.87548828125,299.78436279296875
4,0.0,0,31,R_A4,0.054883863776922226,299.9209899902344,5,52,STANDARD,2018-01-01,1630.913330078125,299.9209899902344
5,0.0,0,31,R_A4,0.05825674533843994,300.0575866699219,6,52,STANDARD,2018-01-01,1632.9510498046875,300.0575866699219
5,0.0,0,32,R_A4,0.057976219803094864,300.1578063964844,7,52,STANDARD,2018-01-01,1634.4459228515625,300.1578063964844
6,0.0,0,32,R_A4,0.058821819722652435,300.2833557128906,8,52,STANDARD,2018-01-01,1636.318359375,300.2833557128906
6,0.0,0,32,R_A4,0.06032055988907814,300.2538146972656,9,51,STANDARD,2018-01-01,1635.8775634765625,300.2538146972656
5,0.0,0,32,R_A4,0.058418598026037216,300.1372985839844,10,51,STANDARD,2018-01-01,1634.139892578125,300.1372985839844
5,0.0,0,33,R_A4,0.06417150050401688,300.50531005859375,11,51,STANDARD,2018-01-01,1639.62890625,300.50531005859375
4,0.0,0,33,R_A4,0.06312357634305954,300.38525390625,12,51,STANDARD,2018-01-01,1637.838134765625,300.38525390625
3,0.0,0,33,R_A4,0.06141387298703194,300.26519775390625,13,51,STANDARD,2018-01-01,1636.04736328125,300.26519775390625
3,0.0,0,33,R_A4,0.10374999791383743,300.53997802734375,14,50,STANDARD,2018-01-01,1640.1458740234375,300.53997802734375
3,0.0,0,34,R_A4,0.14874257147312164,300.5283508300781,15,50,STANDARD,2018-01-01,1639.9722900390625,300.5283508300781
3,0.0,0,35,R_A4,0.24690711498260498,300.77545166015625,16,50,STANDARD,2018-01-01,1643.65771484375,300.77545166015625
2,0.0,0,35,R_A4,0.23947268724441528,300.6497802734375,17,50,STANDARD,2018-01-01,1641.7833251953125,300.6497802734375
2,0.0,0,35,R_A4,0.23501652479171753,300.6407470703125,18,49,STANDARD,2018-01-01,1641.6488037109375,300.6407470703125
1,0.0,0,35,R_A4,0.23786820471286774,300.5135192871094,19,49,STANDARD,2018-01-01,1639.7509765625,300.5135192871094
31,0.0,0,36,R_A4,0.23044276237487793,300.7891845703125,20,49,STANDARD,2018-01-01,1643.8626708984375,300.7891845703125
31,0.0,0,36,R_A4,0.6481541991233826,300.4533386230469,21,48,STANDARD,2018-01-01,1638.8536376953125,300.4533386230469
31,0.0,0,37,R_A4,0.6481541991233826,300.86505126953125,22,48,STANDARD,2018-01-01,1644.9937744140625,300.86505126953125
32,0.0,0,37,R_A4,1.0,301.2566223144531,23,48,STANDARD,2018-01-01,1650.833251953125,301.2566223144531
32,0.0,0,38,R_A4,0.3819602429866791,301.6185607910156,24,48,STANDARD,2018-01-01,1656.22998046875,301.6185607910156
32,0.0,0,38,R_A4,0.6481541991233826,301.5108337402344,25,47,STANDARD,2018-01-01,1654.6234130859375,301.5108337402344
1,0.0,0,31,R_A5,1.0,303.69061279296875,1,20,STANDARD,2018-01-01,1683.406982421875,303.69061279296875
2,0.0,0,31,R_A5,1.0,303.89703369140625,2,20,STANDARD,2018-01-01,1685.585205078125,303.89703369140625
3,0.0,0,31,R_A5,1.0,304.10345458984375,3,20,STANDARD,2018-01-01,1687.763427734375,304.10345458984375
4,0.0,0,31,R_A5,1.0,304.30987548828125,4,20,STANDARD,2018-01-01,1689.9417724609375,304.30987548828125
5,0.0,0,31,R_A5,1.0,304.51629638671875,5,20,STANDARD,2018-01-01,1692.1199951171875,304.51629638671875
6,0.0,0,31,R_A5,1.0,304.72271728515625,6,20,STANDARD,2018-01-01,1694.2982177734375,304.72271728515625
7,0.0,0,31,R_A5,1.0,305.23492431640625,7,20,STANDARD,2018-01-01,1696.4764404296875,305.23492431640625
8,0.0,0,31,R_A5,1.0,305.44134521484375,8,20,STANDARD,2018-01-01,1698.65478515625,305.44134521484375
9,0.0,0,31,R_A5,1.0,305.6477966308594,9,20,STANDARD,2018-01-01,1700.8330078125,305.6477966308594
11,0.0,0,31,R_A5,1.0,305.7419738769531,10,20,STANDARD,2018-01-01,1705.0523681640625,305.7419738769531
12,0.0,0,31,R_A5,1.0,305.92242431640625,11,20,STANDARD,2018-01-01,1706.956298828125,305.92242431640625
13,0.0,0,31,R_A5,1.0,306.11480712890625,12,20,STANDARD,2018-01-01,1708.860107421875,306.11480712890625
14,0.0,0,31,R_A5,1.0,306.13653564453125,13,21,STANDARD,2018-01-01,1709.0894775390625,306.13653564453125
15,0.0,0,31,R_A5,1.0,306.3045959472656,14,21,STANDARD,2018-01-01,1710.862548828125,306.3045959472656
16,0.0,0,31,R_A5,1.0,306.6176452636719,15,21,STANDARD,2018-01-01,1712.6356201171875,306.6176452636719
17,0.0,0,31,R_A5,1.0,306.7856750488281,16,21,STANDARD,2018-01-01,1714.40869140625,306.7856750488281
18,0.0,0,31,R_A5,1.0,306.9172058105469,17,21,STANDARD,2018-01-01,1715.7965087890625,306.9172058105469
28,0.0,0,31,R_A5,1.0,306.9243469238281,18,21,STANDARD,2018-01-01,1717.5296630859375,306.9243469238281
29,0.0,0,31,R_A5,1.0,307.1346740722656,19,21,STANDARD,2018-01-01,1719.7486572265625,307.1346740722656
30,0.0,0,31,R_A5,1.0,307.344970703125,20,21,STANDARD,2018-01-01,1721.9676513671875,307.344970703125
31,0.0,0,31,R_A5,1.0,307.861083984375,21,21,STANDARD,2018-01-01,1724.1866455078125,307.861083984375
32,0.0,0,31,R_A5,1.0,308.0713806152344,22,21,STANDARD,2018-01-01,1726.4056396484375,308.0713806152344
1,0.0,0,17,R_A6,1.0,305.1172790527344,1,42,STANDARD,2018-01-01,1695.2352294921875,305.1172790527344
2,0.0,0,17,R_A6,1.0,305.2639465332031,2,42,STANDARD,2018-01-01,1696.78271484375,305.2639465332031
3,0.0,0,17,R_A6,1.0,305.41058349609375,3,42,STANDARD,2018-01-01,1698.3302001953125,305.41058349609375
4,0.0,0,17,R_A6,1.0,305.5572509765625,4,42,STANDARD,2018-01-01,1699.877685546875,305.5572509765625
5,0.0,0,17,R_A6,1.0,305.70391845703125,5,42,STANDARD,2018-01-01,1701.42529296875,305.70391845703125
6,0.0,0,17,R_A6,1.0,305.8505554199219,6,42,STANDARD,2018-01-01,1702.9727783203125,305.8505554199219
7,0.0,0,17,R_A6,1.0,305.69818115234375,7,42,STANDARD,2018-01-01,1704.520263671875,305.69818115234375
8,0.0,0,17,R_A6,1.0,305.8448181152344,8,42,STANDARD,2018-01-01,1706.06787109375,305.8448181152344
9,0.0,0,17,R_A6,1.0,306.2905578613281,9,42,STANDARD,2018-01-01,1707.6153564453125,306.2905578613281
10,0.0,0,17,R_A6,1.0,306.13140869140625,10,42,STANDARD,2018-01-01,1709.162841796875,306.13140869140625
11,0.0,0,17,R_A6,1.0,306.3133239746094,11,42,STANDARD,2018-01-01,1711.0809326171875,306.3133239746094
12,0.0,0,17,R_A6,1.0,306.53021240234375,12,42,STANDARD,2018-01-01,1713.36962890625,306.53021240234375
13,0.0,0,17,R_A6,1.0,306.75909423828125,13,42,STANDARD,2018-01-01,1715.658203125,306.75909423828125
14,0.0,0,17,R_A6,1.0,306.9759826660156,14,42,STANDARD,2018-01-01,1717.9468994140625,306.9759826660156
15,0.0,0,17,R_A6,1.0,307.1929016113281,15,42,STANDARD,2018-01-01,1720.235595703125,307.1929016113281
16,0.0,0,17,R_A6,1.0,307.5548400878906,16,42,STANDARD,2018-01-01,1722.524169921875,307.5548400878906
17,0.0,0,17,R_A6,1.0,307.771728515625,17,42,STANDARD,2018-01-01,1724.8128662109375,307.771728515625
18,0.0,0,17,R_A6,1.0,307.92449951171875,18,42,STANDARD,2018-01-01,1726.424560546875,307.92449951171875
28,0.0,0,17,R_A6,1.0,307.89349365234375,19,42,STANDARD,2018-01-01,1727.7550048828125,307.89349365234375
29,0.0,0,17,R_A6,1.0,308.0570983886719,20,42,STANDARD,2018-01-01,1729.4810791015625,308.0570983886719
30,0.0,0,17,R_A6,1.0,308.220703125,21,42,STANDARD,2018-01-01,1731.207275390625,308.220703125
31,0.0,0,17,R_A6,1.0,308.6900939941406,22,42,STANDARD,2018-01-01,1732.933349609375,308.6900939941406
32,0.0,0,17,R_A6,1.0,308.54791259765625,23,42,STANDARD,2018-01-01,1734.6595458984375,308.54791259765625
1,0.0,0,22,R_A2,0.05912381783127785,299.1099548339844,1,30,STANDARD,2018-03-01,1640.684326171875,299.1099548339844
2,0.0,0,22,R_A2,0.060464970767498016,299.2301330566406,2,30,STANDARD,2018-03-01,1642.4775390625,299.2301330566406
3,0.0,0,22,R_A2,0.17111918330192566,299.3502197265625,3,30,STANDARD,2018-03-01,1644.270751953125,299.3502197265625
4,0.0,0,22,R_A2,0.06998314708471298,299.47027587890625,4,30,STANDARD,2018-03-01,1646.06396484375,299.47027587890625
5,0.0,0,22,R_A2,0.07369153201580048,299.5904541015625,5,30,STANDARD,2018-03-01,1647.857177734375,299.5904541015625
6,0.0,0,22,R_A2,0.3104185163974762,299.716552734375,6,30,STANDARD,2018-03-01,1649.6505126953125,299.716552734375
7,0.0,0,22,R_A2,0.9056435227394104,299.8560485839844,7,30,STANDARD,2018-03-01,1651.4437255859375,299.8560485839844
8,0.0,0,22,R_A2,0.7424924373626709,300.0591735839844,8,30,STANDARD,2018-03-01,1653.2369384765625,300.0591735839844
9,0.0,0,22,R_A2,0.12400125712156296,300.18792724609375,9,30,STANDARD,2018-03-01,1655.0301513671875,300.18792724609375
10,0.0,0,22,R_A2,0.6482407450675964,300.3410949707031,10,30,STANDARD,2018-03-01,1656.8233642578125,300.3410949707031
11,0.0,0,22,R_A2,0.08537477999925613,299.9035339355469,11,30,STANDARD,2018-03-01,1658.751708984375,299.9035339355469
13,0.0,0,22,R_A2,0.4830392301082611,300.46661376953125,12,30,STANDARD,2018-03-01,1662.878173828125,300.46661376953125
14,0.0,0,22,R_A2,0.5445316433906555,300.60498046875,13,30,STANDARD,2018-03-01,1664.9415283203125,300.60498046875
15,0.0,0,22,R_A2,0.9790554642677307,300.7424621582031,14,30,STANDARD,2018-03-01,1667.0047607421875,300.7424621582031
16,0.0,0,22,R_A2,0.986098051071167,300.88079833984375,15,30,STANDARD,2018-03-01,1669.0679931640625,300.88079833984375
17,0.0,0,22,R_A2,0.9794423580169678,301.0194091796875,16,30,STANDARD,2018-03-01,1671.13134765625,301.0194091796875
17,-9.262968170276054e-09,0,22,R_A2,0.9999998807907104,300.9796447753906,17,29,STANDARD,2018-03-01,1673.549072265625,300.9796447753906
18,-5.328967933593276e-09,0,22,R_A2,0.9999999403953552,301.3082580566406,18,29,STANDARD,2018-03-01,1675.4384765625,301.3082580566406
28,-3.905788182028552e-14,0,22,R_A2,1.0,302.05963134765625,19,29,STANDARD,2018-03-01,1677.305419921875,302.05963134765625
29,-9.463214875869594e-17,0,22,R_A2,1.0,302.7637939453125,20,29,STANDARD,2018-03-01,1679.055908203125,302.7637939453125
30,-7.905700949497982e-18,0,22,R_A2,1.0,303.4150085449219,21,29,STANDARD,2018-03-01,1680.806640625,303.4150085449219
31,-3.536133270660662e-19,0,22,R_A2,1.0,303.7802734375,22,29,STANDARD,2018-03-01,1682.5572509765625,303.7802734375
32,-4.793172376446678e-20,0,22,R_A2,1.0,304.0146484375,23,29,STANDARD,2018-03-01,1684.3077392578125,304.0146484375
1,0.0,0,31,R_A5,1.0,269.3161315917969,1,20,STANDARD,2018-04-28,1683.406982421875,269.3161315917969
2,0.0,0,31,R_A5,1.0,269.522216796875,2,20,STANDARD,2018-04-28,1685.585205078125,269.522216796875
3,0.0,0,31,R_A5,1.0,269.7282409667969,3,20,STANDARD,2018-04-28,1687.763427734375,269.7282409667969
4,0.0,0,31,R_A5,1.0,269.9342956542969,4,20,STANDARD,2018-04-28,1689.9417724609375,269.9342956542969
5,0.0,0,31,R_A5,1.0,270.140380859375,5,20,STANDARD,2018-04-28,1692.1199951171875,270.140380859375
6,0.0,0,31,R_A5,1.0,270.3464660644531,6,20,STANDARD,2018-04-28,1694.2982177734375,270.3464660644531
7,0.0,0,31,R_A5,1.0,270.8691711425781,7,20,STANDARD,2018-04-28,1696.4764404296875,270.8691711425781
8,0.0,0,31,R_A5,1.0,271.6539306640625,8,20,STANDARD,2018-04-28,1698.65478515625,271.6539306640625
9,0.0,0,31,R_A5,1.0,272.2326354980469,9,20,STANDARD,2018-04-28,1700.8330078125,272.2326354980469
11,0.0,0,31,R_A5,1.0,272.9538269042969,10,20,STANDARD,2018-04-28,1705.0523681640625,272.9538269042969
12,0.0,0,31,R_A5,1.0,273.1341247558594,11,20,STANDARD,2018-04-28,1706.956298828125,273.1341247558594
13,0.0,0,31,R_A5,1.0,273.3297424316406,12,20,STANDARD,2018-04-28,1708.860107421875,273.3297424316406
14,-1.140407646788022e-12,0,31,R_A5,1.0,272.7859191894531,13,21,STANDARD,2018-04-28,1709.0894775390625,272.7859191894531
15,-3.8868000072807274e-13,0,31,R_A5,1.0,272.9619445800781,14,21,STANDARD,2018-04-28,1710.862548828125,272.9619445800781
16,-9.801010101163216e-14,0,31,R_A5,1.0,273.283203125,15,21,STANDARD,2018-04-28,1712.6356201171875,273.283203125
17,-9.675316510427898e-14,0,31,R_A5,1.0,273.45452880859375,16,21,STANDARD,2018-04-28,1714.40869140625,273.45452880859375
18,-2.1595648446587346e-13,0,31,R_A5,1.0,273.587158203125,17,21,STANDARD,2018-04-28,1715.7965087890625,273.587158203125
28,-1.5052263255266318e-11,0,31,R_A5,1.0,275.2607116699219,18,21,STANDARD,2018-04-28,1717.5296630859375,275.2607116699219
29,-1.5658736460255618e-11,0,31,R_A5,1.0,275.472900390625,19,21,STANDARD,2018-04-28,1719.7486572265625,275.472900390625
30,-1.562213206018903e-11,0,31,R_A5,1.0,275.69439697265625,20,21,STANDARD,2018-04-28,1721.9676513671875,275.69439697265625
31,-1.274693843904525e-17,0,31,R_A5,1.0,288.19903564453125,21,21,STANDARD,2018-04-28,1724.1866455078125,288.19903564453125
32,-9.709835709764134e-20,0,31,R_A5,1.0,300.1686706542969,22,21,STANDARD,2018-04-28,1726.4056396484375,300.1686706542969
1,0.0,0,28,R_A3,0.2690283954143524,285.044189453125,1,41,STANDARD,2018-07-03,1608.412109375,285.044189453125
1,0.0,0,29,R_A3,0.2225630134344101,284.47662353515625,2,41,STANDARD,2018-07-03,1601.16845703125,284.47662353515625
2,0.0,0,29,R_A3,0.19261521100997925,284.61358642578125,3,41,STANDARD,2018-07-03,1603.225830078125,284.61358642578125
3,0.0,0,29,R_A3,0.192947119474411,284.75067138671875,4,41,STANDARD,2018-07-03,1605.283203125,284.75067138671875
4,0.0,0,29,R_A3,0.3709828555583954,284.9357604980469,5,41,STANDARD,2018-07-03,1607.340576171875,284.9357604980469
5,0.0,0,29,R_A3,0.8188866376876831,285.1123962402344,6,41,STANDARD,2018-07-03,1609.3980712890625,285.1123962402344
6,0.0,0,29,R_A3,0.6491032838821411,285.2538757324219,7,41,STANDARD,2018-07-03,1611.455322265625,285.2538757324219
7,0.0,0,29,R_A3,0.20264852046966553,285.414306640625,8,41,STANDARD,2018-07-03,1613.5126953125,285.414306640625
8,0.0,0,29,R_A3,0.20554128289222717,285.5519714355469,9,41,STANDARD,2018-07-03,1615.5701904296875,285.5519714355469
9,0.0,0,29,R_A3,0.806694507598877,285.73687744140625,10,41,STANDARD,2018-07-03,1617.6275634765625,285.73687744140625
10,0.0,0,29,R_A3,0.8041861057281494,286.3367919921875,11,41,STANDARD,2018-07-03,1619.6849365234375,286.3367919921875
11,0.0,0,29,R_A3,0.050590742379426956,285.9622497558594,12,41,STANDARD,2018-07-03,1621.8184814453125,285.9622497558594
12,0.0,0,29,R_A3,0.05598363280296326,286.1098937988281,13,41,STANDARD,2018-07-03,1624.0281982421875,286.1098937988281
13,0.0,0,29,R_A3,0.38223975896835327,286.2584228515625,14,41,STANDARD,2018-07-03,1626.2379150390625,286.2584228515625
14,0.0,0,29,R_A3,0.2516865134239197,286.4006652832031,15,41,STANDARD,2018-07-03,1628.4476318359375,286.4006652832031
15,0.0,0,29,R_A3,0.5026607513427734,286.6678771972656,16,41,STANDARD,2018-07-03,1630.6573486328125,286.6678771972656
16,0.0,0,29,R_A3,0.8164165616035461,286.78857421875,17,41,STANDARD,2018-07-03,1632.4765625,286.78857421875
28,0.0,0,29,R_A3,0.6492346525192261,285.0491943359375,18,41,STANDARD,2018-07-03,1634.9736328125,285.0491943359375
29,0.0,0,29,R_A3,0.048610009253025055,285.2158508300781,19,41,STANDARD,2018-07-03,1638.4678955078125,285.2158508300781
30,0.0,0,29,R_A3,0.054158926010131836,285.44927978515625,20,41,STANDARD,2018-07-03,1641.9622802734375,285.44927978515625
31,0.0,0,29,R_A3,0.650158166885376,285.74591064453125,21,41,STANDARD,2018-07-03,1645.45654296875,285.74591064453125
32,0.0,0,29,R_A3,0.11329977959394455,285.9190979003906,22,41,STANDARD,2018-07-03,1648.950927734375,285.9190979003906
1,0.0,0,30,R_A4,0.05007808282971382,280.5351867675781,1,52,STANDARD,2018-09-12,1623.3197021484375,280.5351867675781
1,0.0,0,31,R_A4,0.050163157284259796,280.6875915527344,2,52,STANDARD,2018-09-12,1624.800048828125,280.6875915527344
2,0.0,0,31,R_A4,0.05082302913069725,280.82354736328125,3,52,STANDARD,2018-09-12,1626.8377685546875,280.82354736328125
3,0.0,0,31,R_A4,0.05239022150635719,280.95947265625,4,52,STANDARD,2018-09-12,1628.87548828125,280.95947265625
4,0.0,0,31,R_A4,0.054950546473264694,281.09539794921875,5,52,STANDARD,2018-09-12,1630.913330078125,281.09539794921875
5,0.0,0,31,R_A4,0.058318108320236206,281.2313537597656,6,52,STANDARD,2018-09-12,1632.9510498046875,281.2313537597656
5,0.0,0,32,R_A4,0.058046068996191025,281.3836364746094,7,52,STANDARD,2018-09-12,1634.4459228515625,281.3836364746094
6,0.0,0,32,R_A4,0.05889449641108513,281.5085754394531,8,52,STANDARD,2018-09-12,1636.318359375,281.5085754394531
6,0.0,0,32,R_A4,0.06042994558811188,281.4300537109375,9,51,STANDARD,2018-09-12,1635.8775634765625,281.4300537109375
5,0.0,0,32,R_A4,0.05853518843650818,281.31414794921875,10,51,STANDARD,2018-09-12,1634.139892578125,281.31414794921875
5,0.0,0,33,R_A4,0.06426909565925598,281.7313537597656,11,51,STANDARD,2018-09-12,1639.62890625,281.7313537597656
4,0.0,0,33,R_A4,0.06321416050195694,281.6118469238281,12,51,STANDARD,2018-09-12,1637.838134765625,281.6118469238281
3,0.0,0,33,R_A4,0.06149452552199364,281.4923400878906,13,51,STANDARD,2018-09-12,1636.04736328125,281.4923400878906
3,0.0,0,33,R_A4,0.10394178330898285,281.6903076171875,14,50,STANDARD,2018-09-12,1640.1458740234375,281.6903076171875
3,0.0,0,34,R_A4,0.14915083348751068,281.729736328125,15,50,STANDARD,2018-09-12,1639.9722900390625,281.729736328125
3,0.0,0,35,R_A4,0.24718676507472992,282.0515441894531,16,50,STANDARD,2018-09-12,1643.65771484375,282.0515441894531
2,0.0,0,35,R_A4,0.23971036076545715,281.92681884765625,17,50,STANDARD,2018-09-12,1641.7833251953125,281.92681884765625
2,0.0,0,35,R_A4,0.23476891219615936,281.8297424316406,18,49,STANDARD,2018-09-12,1641.6488037109375,281.8297424316406
1,0.0,0,35,R_A4,0.23761717975139618,281.7030944824219,19,49,STANDARD,2018-09-12,1639.7509765625,281.7030944824219
31,0.0,0,36,R_A4,0.24021132290363312,280.954345703125,20,49,STANDARD,2018-09-12,1643.8626708984375,280.954345703125
31,0.0,0,36,R_A4,0.6718589663505554,280.57879638671875,21,48,STANDARD,2018-09-12,1638.8536376953125,280.57879638671875
31,0.0,0,37,R_A4,0.6781153678894043,281.0364685058594,22,48,STANDARD,2018-09-12,1644.9937744140625,281.0364685058594
32,-2.4391999531303554e-10,0,37,R_A4,1.0,286.635009765625,23,48,STANDARD,2018-09-12,1650.833251953125,286.635009765625
32,0.0,0,38,R_A4,0.41942113637924194,282.1358337402344,24,48,STANDARD,2018-09-12,1656.22998046875,282.1358337402344
32,0.0,0,38,R_A4,0.7368584871292114,281.70263671875,25,47,STANDARD,2018-09-12,1654.6234130859375,281.70263671875
1,-2.347478765193922e-12,0,17,R_A6,1.0,272.8880920410156,1,42,STANDARD,2018-11-07,1695.2352294921875,272.8880920410156
2,-2.8332722452895087e-12,0,17,R_A6,1.0,273.0323486328125,2,42,STANDARD,2018-11-07,1696.78271484375,273.0323486328125
3,-2.692606771229067e-12,0,17,R_A6,1.0,273.1765441894531,3,42,STANDARD,2018-11-07,1698.3302001953125,273.1765441894531
4,-2.003743742109987e-12,0,17,R_A6,1.0,273.3214416503906,4,42,STANDARD,2018-11-07,1699.877685546875,273.3214416503906
5,-1.2086092760280054e-12,0,17,R_A6,1.0,273.4658203125,5,42,STANDARD,2018-11-07,1701.42529296875,273.4658203125
6,-5.892125676254523e-11,0,17,R_A6,1.0,273.6099548339844,6,42,STANDARD,2018-11-07,1702.9727783203125,273.6099548339844
7,-1.0394138327818325e-10,0,17,R_A6,1.0,273.45648193359375,7,42,STANDARD,2018-11-07,1704.520263671875,273.45648193359375
8,-6.776411376474556e-11,0,17,R_A6,1.0,273.60333251953125,8,42,STANDARD,2018-11-07,1706.06787109375,273.60333251953125
