CONIPOS,DRAWDOWN,CONKPOS,CONIDX,PRESSURE,WELL,CONJPOS,DEPTH,DATE,SGAS,WELLMODEL,SWAT,CONBPRES
31,0,15,12,306.2176208496094,R_A5,21,1709.945068359375,2018-01-01,0.0,STANDARD,1.0,306.2176208496094
31,0,16,13,306.549560546875,R_A5,21,1711.9171142578125,2018-01-01,0.0,STANDARD,1.0,306.549560546875
31,0,17,14,306.7364501953125,R_A5,21,1713.8892822265625,2018-01-01,0.0,STANDARD,1.0,306.7364501953125
31,0,18,15,306.8789367675781,R_A5,21,1715.392822265625,2018-01-01,0.0,STANDARD,1.0,306.8789367675781
31,0,26,16,306.879150390625,R_A5,21,1717.0526123046875,2018-01-01,0.0,STANDARD,1.0,306.879150390625
31,0,27,17,307.095703125,R_A5,21,1719.33740234375,2018-01-01,0.0,STANDARD,1.0,307.095703125
31,0,28,18,307.6180419921875,R_A5,21,1721.622314453125,2018-01-01,0.0,STANDARD,1.0,307.6180419921875
31,0,29,19,307.8345947265625,R_A5,21,1723.9072265625,2018-01-01,0.0,STANDARD,1.0,307.8345947265625
31,0,30,20,308.0511474609375,R_A5,21,1726.1920166015625,2018-01-01,0.0,STANDARD,1.0,308.0511474609375
17,0,1,1,305.17755126953125,R_A6,42,1695.8712158203125,2018-01-01,0.0,STANDARD,1.0,305.17755126953125
17,0,2,2,305.3246154785156,R_A6,42,1697.4228515625,2018-01-01,0.0,STANDARD,1.0,305.3246154785156
17,0,3,3,305.4716491699219,R_A6,42,1698.974609375,2018-01-01,0.0,STANDARD,1.0,305.4716491699219
17,0,4,4,305.61871337890625,R_A6,42,1700.5263671875,2018-01-01,0.0,STANDARD,1.0,305.61871337890625
17,0,5,5,305.7657775878906,R_A6,42,1702.078125,2018-01-01,0.0,STANDARD,1.0,305.7657775878906
17,0,6,6,305.912841796875,R_A6,42,1703.6298828125,2018-01-01,0.0,STANDARD,1.0,305.912841796875
17,0,7,7,305.7608337402344,R_A6,42,1705.181640625,2018-01-01,0.0,STANDARD,1.0,305.7608337402344
17,0,8,8,305.90789794921875,R_A6,42,1706.7333984375,2018-01-01,0.0,STANDARD,1.0,305.90789794921875
17,0,9,9,306.35400390625,R_A6,42,1708.2850341796875,2018-01-01,0.0,STANDARD,1.0,306.35400390625
17,0,10,10,306.1952819824219,R_A6,42,1709.8367919921875,2018-01-01,0.0,STANDARD,1.0,306.1952819824219
17,0,11,11,306.3782653808594,R_A6,42,1711.76611328125,2018-01-01,0.0,STANDARD,1.0,306.3782653808594
17,0,12,12,306.5968933105469,R_A6,42,1714.072998046875,2018-01-01,0.0,STANDARD,1.0,306.5968933105469
17,0,13,13,306.8274841308594,R_A6,42,1716.3797607421875,2018-01-01,0.0,STANDARD,1.0,306.8274841308594
17,0,14,14,307.0461120605469,R_A6,42,1718.6866455078125,2018-01-01,0.0,STANDARD,1.0,307.0461120605469
17,0,15,15,307.2647399902344,R_A6,42,1720.9935302734375,2018-01-01,0.0,STANDARD,1.0,307.2647399902344
17,0,16,16,307.6283874511719,R_A6,42,1723.30029296875,2018-01-01,0.0,STANDARD,1.0,307.6283874511719
17,0,17,17,307.8470153808594,R_A6,42,1725.607177734375,2018-01-01,0.0,STANDARD,1.0,307.8470153808594
17,0,18,18,307.9970703125,R_A6,42,1727.1903076171875,2018-01-01,0.0,STANDARD,1.0,307.9970703125
17,0,26,19,307.9624328613281,R_A6,42,1728.4825439453125,2018-01-01,0.0,STANDARD,1.0,307.9624328613281
17,0,27,20,308.4317321777344,R_A6,42,1730.2076416015625,2018-01-01,0.0,STANDARD,1.0,308.4317321777344
17,0,28,21,308.5952453613281,R_A6,42,1731.9327392578125,2018-01-01,0.0,STANDARD,1.0,308.5952453613281
17,0,29,22,308.75872802734375,R_A6,42,1733.65771484375,2018-01-01,0.0,STANDARD,1.0,308.75872802734375
17,0,30,23,308.616455078125,R_A6,42,1735.3828125,2018-01-01,0.0,STANDARD,1.0,308.616455078125
22,0,1,1,299.3645935058594,R_A2,30,1639.5777587890625,2018-03-01,0.0,STANDARD,0.057700265198946,299.3645935058594
22,0,2,2,299.4783020019531,R_A2,30,1641.2740478515625,2018-03-01,0.0,STANDARD,0.05872145667672157,299.4783020019531
22,0,3,3,299.5920104980469,R_A2,30,1642.9703369140625,2018-03-01,0.0,STANDARD,0.06249580904841423,299.5920104980469
22,0,4,4,299.7057189941406,R_A2,30,1644.6666259765625,2018-03-01,0.0,STANDARD,0.06955143809318542,299.7057189941406
22,0,5,5,299.8194274902344,R_A2,30,1646.36279296875,2018-03-01,0.0,STANDARD,0.06955504417419434,299.8194274902344
22,0,6,6,299.9343566894531,R_A2,30,1648.05908203125,2018-03-01,0.0,STANDARD,0.3222813010215759,299.9343566894531
22,0,7,7,300.0516052246094,R_A2,30,1649.75537109375,2018-03-01,0.0,STANDARD,0.8965877294540405,300.0516052246094
22,0,8,8,300.1673278808594,R_A2,30,1651.45166015625,2018-03-01,0.0,STANDARD,0.8868987560272217,300.1673278808594
22,0,9,9,300.31378173828125,R_A2,30,1653.14794921875,2018-03-01,0.0,STANDARD,0.8979739546775818,300.31378173828125
