WELLMODEL,CONIPOS,CONBPRES,PRESSURE,DRAWDOWN,WELL,CONKPOS,DATE,CONJPOS,SGAS,CONIDX,DEPTH,SWAT
STANDARD,22,302.8123779296875,302.8123779296875,0,R_A2,18,2018-01-01,30,0.0,18,1672.9881591796875,0.9832528829574585
STANDARD,22,302.89569091796875,302.89569091796875,0,R_A2,18,2018-01-01,29,0.0,19,1674.229736328125,0.9928692579269409
STANDARD,22,303.02569580078125,303.02569580078125,0,R_A2,27,2018-01-01,29,0.0,20,1676.1676025390625,0.6481541991233826
STANDARD,22,303.47802734375,303.47802734375,0,R_A2,28,2018-01-01,29,0.0,21,1677.9368896484375,1.0
STANDARD,22,303.64569091796875,303.64569091796875,0,R_A2,29,2018-01-01,29,0.0,22,1679.7061767578125,1.0
STANDARD,22,303.8133544921875,303.8133544921875,0,R_A2,30,2018-01-01,29,0.0,23,1681.4754638671875,1.0
STANDARD,22,303.98101806640625,303.98101806640625,0,R_A2,31,2018-01-01,29,0.0,24,1683.2447509765625,1.0
STANDARD,28,298.53814697265625,298.53814697265625,0,R_A3,1,2018-01-01,41,0.0,1,1609.243408203125,0.1351146101951599
STANDARD,28,298.676513671875,298.676513671875,0,R_A3,2,2018-01-01,41,0.0,2,1611.3077392578125,0.11823459714651108
STANDARD,28,298.8148498535156,298.8148498535156,0,R_A3,3,2018-01-01,41,0.0,3,1613.3720703125,0.12243370711803436
STANDARD,28,298.9532165527344,298.9532165527344,0,R_A3,4,2018-01-01,41,0.0,4,1615.4365234375,0.24829745292663574
STANDARD,28,299.0915832519531,299.0915832519531,0,R_A3,5,2018-01-01,41,0.0,5,1617.5008544921875,0.6481541991233826
STANDARD,28,299.2299499511719,299.2299499511719,0,R_A3,6,2018-01-01,41,0.0,6,1619.565185546875,0.3404858112335205
STANDARD,29,298.54638671875,298.54638671875,0,R_A3,6,2018-01-01,41,0.0,7,1609.3663330078125,0.6481541991233826
STANDARD,29,298.68377685546875,298.68377685546875,0,R_A3,7,2018-01-01,41,0.0,8,1611.4163818359375,0.1983322650194168
STANDARD,29,298.8211669921875,298.8211669921875,0,R_A3,8,2018-01-01,41,0.0,9,1613.46630859375,0.20094092190265656
STANDARD,29,298.95855712890625,298.95855712890625,0,R_A3,9,2018-01-01,41,0.0,10,1615.516357421875,0.6481541991233826
STANDARD,29,299.095947265625,299.095947265625,0,R_A3,10,2018-01-01,41,0.0,11,1617.5662841796875,0.7979751825332642
STANDARD,29,299.24237060546875,299.24237060546875,0,R_A3,11,2018-01-01,41,0.0,12,1619.750732421875,0.05079192295670509
STANDARD,29,299.3978271484375,299.3978271484375,0,R_A3,12,2018-01-01,41,0.0,13,1622.0697021484375,0.05455172061920166
STANDARD,29,299.5532531738281,299.5532531738281,0,R_A3,13,2018-01-01,41,0.0,14,1624.388671875,0.3680056035518646
STANDARD,29,299.7087097167969,299.7087097167969,0,R_A3,14,2018-01-01,41,0.0,15,1626.707763671875,0.3714577257633209
STANDARD,29,299.8641662597656,299.8641662597656,0,R_A3,15,2018-01-01,41,0.0,16,1629.026611328125,0.4909714162349701
STANDARD,29,299.992919921875,299.992919921875,0,R_A3,16,2018-01-01,41,0.0,17,1630.9468994140625,0.8089039921760559
STANDARD,29,300.16583251953125,300.16583251953125,0,R_A3,27,2018-01-01,41,0.0,18,1633.5262451171875,0.3014692962169647
STANDARD,29,300.40966796875,300.40966796875,0,R_A3,28,2018-01-01,41,0.0,19,1637.1630859375,0.044041041284799576
STANDARD,29,300.6535339355469,300.6535339355469,0,R_A3,29,2018-01-01,41,0.0,20,1640.8001708984375,0.08846355974674225
STANDARD,29,300.89739990234375,300.89739990234375,0,R_A3,30,2018-01-01,41,0.0,21,1644.4371337890625,1.0
STANDARD,29,301.14129638671875,301.14129638671875,0,R_A3,31,2018-01-01,41,0.0,22,1648.0740966796875,0.06317919492721558
STANDARD,30,300.009033203125,300.009033203125,0,R_A4,1,2018-01-01,52,0.0,1,1631.1873779296875,0.05148448422551155
STANDARD,31,299.7571105957031,299.7571105957031,0,R_A4,1,2018-01-01,52,0.0,2,1627.4293212890625,0.04942012205719948
STANDARD,31,299.89520263671875,299.89520263671875,0,R_A4,2,2018-01-01,52,0.0,3,1629.4896240234375,0.05094006285071373
STANDARD,31,300.0333251953125,300.0333251953125,0,R_A4,3,2018-01-01,52,0.0,4,1631.5498046875,0.05282565578818321
STANDARD,31,300.17144775390625,300.17144775390625,0,R_A4,4,2018-01-01,52,0.0,5,1633.610107421875,0.059012703597545624
STANDARD,32,300.0901184082031,300.0901184082031,0,R_A4,4,2018-01-01,52,0.0,6,1632.3968505859375,0.05643600597977638
STANDARD,32,300.3236999511719,300.3236999511719,0,R_A4,4,2018-01-01,51,0.0,7,1635.880615234375,0.05788363516330719
STANDARD,33,300.4202575683594,300.4202575683594,0,R_A4,4,2018-01-01,51,0.0,8,1637.321044921875,0.058634817600250244
