CONKPOS,SGAS,DATE,WELL,DEPTH,CONIDX,CONIPOS,PRESSURE,DRAWDOWN,CONBPRES,WELLMODEL,CONJPOS,SWAT
18,0.0,2018-01-01,R_A5,1715.603759765625,15,31,306.8989562988281,0,306.8989562988281,STANDARD,21,1.0
26,0.0,2018-01-01,R_A5,1716.83154296875,16,31,306.8581848144531,0,306.8581848144531,STANDARD,21,1.0
27,0.0,2018-01-01,R_A5,1718.8392333984375,17,31,307.0484924316406,0,307.0484924316406,STANDARD,21,1.0
28,0.0,2018-01-01,R_A5,1720.846923828125,18,31,307.5445556640625,0,307.5445556640625,STANDARD,21,1.0
29,0.0,2018-01-01,R_A5,1722.8546142578125,19,31,307.7348327636719,0,307.7348327636719,STANDARD,21,1.0
30,0.0,2018-01-01,R_A5,1724.8623046875,20,31,307.92510986328125,0,307.92510986328125,STANDARD,21,1.0
1,0.0,2018-01-01,R_A6,1695.2904052734375,1,17,305.1225280761719,0,305.1225280761719,STANDARD,42,1.0
2,0.0,2018-01-01,R_A6,1696.843017578125,2,17,305.2696533203125,0,305.2696533203125,STANDARD,42,1.0
3,0.0,2018-01-01,R_A6,1698.3956298828125,3,17,305.41680908203125,0,305.41680908203125,STANDARD,42,1.0
4,0.0,2018-01-01,R_A6,1699.9483642578125,4,17,305.5639343261719,0,305.5639343261719,STANDARD,42,1.0
5,0.0,2018-01-01,R_A6,1701.5009765625,5,17,305.41204833984375,0,305.41204833984375,STANDARD,42,1.0
6,0.0,2018-01-01,R_A6,1703.0537109375,6,17,305.5591735839844,0,305.5591735839844,STANDARD,42,1.0
7,0.0,2018-01-01,R_A6,1704.6064453125,7,17,305.7063293457031,0,305.7063293457031,STANDARD,42,1.0
8,0.0,2018-01-01,R_A6,1706.1590576171875,8,17,305.8534851074219,0,305.8534851074219,STANDARD,42,1.0
9,0.0,2018-01-01,R_A6,1707.711669921875,9,17,306.2996826171875,0,306.2996826171875,STANDARD,42,1.0
10,0.0,2018-01-01,R_A6,1709.264404296875,10,17,306.1410217285156,0,306.1410217285156,STANDARD,42,1.0
11,0.0,2018-01-01,R_A6,1711.2109375,11,17,306.3256530761719,0,306.3256530761719,STANDARD,42,1.0
12,0.0,2018-01-01,R_A6,1713.551513671875,12,17,306.5474548339844,0,306.5474548339844,STANDARD,42,1.0
13,0.0,2018-01-01,R_A6,1715.89208984375,13,17,306.78125,0,306.78125,STANDARD,42,1.0
14,0.0,2018-01-01,R_A6,1718.232666015625,14,17,307.0030822753906,0,307.0030822753906,STANDARD,42,1.0
15,0.0,2018-01-01,R_A6,1720.5732421875,15,17,307.22491455078125,0,307.22491455078125,STANDARD,42,1.0
16,0.0,2018-01-01,R_A6,1722.9136962890625,16,17,307.59173583984375,0,307.59173583984375,STANDARD,42,1.0
17,0.0,2018-01-01,R_A6,1725.2542724609375,17,17,307.8135681152344,0,307.8135681152344,STANDARD,42,1.0
18,0.0,2018-01-01,R_A6,1726.7451171875,18,17,307.9548645019531,0,307.9548645019531,STANDARD,42,1.0
26,0.0,2018-01-01,R_A6,1727.929931640625,19,17,307.9100646972656,0,307.9100646972656,STANDARD,42,1.0
27,0.0,2018-01-01,R_A6,1729.6583251953125,20,17,308.3796691894531,0,308.3796691894531,STANDARD,42,1.0
28,0.0,2018-01-01,R_A6,1731.38671875,21,17,308.5434875488281,0,308.5434875488281,STANDARD,42,1.0
29,0.0,2018-01-01,R_A6,1733.115234375,22,17,308.7073059082031,0,308.7073059082031,STANDARD,42,1.0
30,0.0,2018-01-01,R_A6,1734.8436279296875,23,17,308.5653381347656,0,308.5653381347656,STANDARD,42,1.0
1,0.0,2018-03-01,R_A2,1640.1051025390625,1,22,299.5050354003906,0,299.5050354003906,STANDARD,30,0.05769430100917816
2,0.0,2018-03-01,R_A2,1641.947265625,2,22,299.6285400390625,0,299.6285400390625,STANDARD,30,0.06042473018169403
3,0.0,2018-03-01,R_A2,1643.789306640625,3,22,299.75201416015625,0,299.75201416015625,STANDARD,30,0.06268966197967529
4,0.0,2018-03-01,R_A2,1645.63134765625,4,22,299.87548828125,0,299.87548828125,STANDARD,30,0.06845009326934814
5,0.0,2018-03-01,R_A2,1647.473388671875,5,22,299.99896240234375,0,299.99896240234375,STANDARD,30,0.0709577351808548
6,0.0,2018-03-01,R_A2,1649.3154296875,6,22,300.111328125,0,300.111328125,STANDARD,30,0.6482381820678711
7,0.0,2018-03-01,R_A2,1651.157470703125,7,22,300.2338562011719,0,300.2338562011719,STANDARD,30,0.9045270085334778
8,0.0,2018-03-01,R_A2,1652.99951171875,8,22,300.3547668457031,0,300.3547668457031,STANDARD,30,0.9035378694534302
9,0.0,2018-03-01,R_A2,1654.841552734375,9,22,300.26318359375,0,300.26318359375,STANDARD,30,0.9161379337310791
10,0.0,2018-03-01,R_A2,1656.68359375,10,22,300.22320556640625,0,300.22320556640625,STANDARD,30,0.9319282174110413
11,0.0,2018-03-01,R_A2,1658.644775390625,11,22,299.9363098144531,0,299.9363098144531,STANDARD,30,0.08131960779428482
13,0.0,2018-03-01,R_A2,1662.8055419921875,12,22,300.43701171875,0,300.43701171875,STANDARD,30,0.47773832082748413
14,0.0,2018-03-01,R_A2,1664.885986328125,13,22,300.5768127441406,0,300.5768127441406,STANDARD,30,0.5484695434570312
15,0.0,2018-03-01,R_A2,1666.9664306640625,14,22,300.7156982421875,0,300.7156982421875,STANDARD,30,0.7307758331298828
15,0.0,2018-03-01,R_A2,1668.1846923828125,15,22,300.6815185546875,0,300.6815185546875,STANDARD,29,0.9754114151000977
16,0.0,2018-03-01,R_A2,1670.2958984375,16,22,300.8223571777344,0,300.8223571777344,STANDARD,29,0.9895104169845581
17,0.0,2018-03-01,R_A2,1672.4072265625,17,22,300.9637145996094,0,300.9637145996094,STANDARD,29,0.9877133965492249
18,-6.319967327250708e-10,2018-03-01,R_A2,1674.2274169921875,18,22,301.0858459472656,0,301.0858459472656,STANDARD,29,1.0
26,0.0,2018-03-01,R_A2,1675.87353515625,19,22,301.8524475097656,0,301.8524475097656,STANDARD,29,1.0000003576278687
27,2.5519417105207033e-14,2018-03-01,R_A2,1677.636474609375,20,22,302.6772766113281,0,302.6772766113281,STANDARD,29,1.0
28,-1.4867720507226478e-16,2018-03-01,R_A2,1679.3994140625,21,22,302.8524169921875,0,302.8524169921875,STANDARD,29,1.0
29,-4.610338586591434e-12,2018-03-01,R_A2,1681.162353515625,22,22,302.6746520996094,0,302.6746520996094,STANDARD,29,1.0
30,-6.739896086095141e-17,2018-03-01,R_A2,1682.92529296875,23,22,303.1916198730469,0,303.1916198730469,STANDARD,29,1.0
1,-3.899895163750333e-12,2018-04-28,R_A5,1686.0419921875,1,31,270.0365295410156,0,270.0365295410156,STANDARD,20,1.0
2,-4.3415384134992685e-12,2018-04-28,R_A5,1688.2708740234375,2,31,270.24755859375,0,270.24755859375,STANDARD,20,1.0
3,-5.035455993146476e-12,2018-04-28,R_A5,1690.4998779296875,3,31,270.4585876464844,0,270.4585876464844,STANDARD,20,1.0
4,-4.469648609561894e-12,2018-04-28,R_A5,1692.728759765625,4,31,270.6694641113281,0,270.6694641113281,STANDARD,20,1.0
5,-3.9620975771093025e-12,2018-04-28,R_A5,1694.9576416015625,5,31,270.8802795410156,0,270.8802795410156,STANDARD,20,1.0
6,-3.1925109257591178e-12,2018-04-28,R_A5,1697.1865234375,6,31,271.09112548828125,0,271.09112548828125,STANDARD,20,1.0
7,-9.686120178500901e-13,2018-04-28,R_A5,1699.41552734375,7,31,271.62896728515625,0,271.62896728515625,STANDARD,20,1.0
11,-6.699922838748762e-10,2018-04-28,R_A5,1703.63623046875,8,31,270.55902099609375,0,270.55902099609375,STANDARD,21,1.0
12,-5.617618592523854e-10,2018-04-28,R_A5,1705.49755859375,9,31,270.77972412109375,0,270.77972412109375,STANDARD,21,1.0
13,-3.656886946035165e-11,2018-04-28,R_A5,1707.3587646484375,10,31,270.9698791503906,0,270.9698791503906,STANDARD,21,1.0
14,-4.095263711478836e-11,2018-04-28,R_A5,1709.2200927734375,11,31,271.151611328125,0,271.151611328125,STANDARD,21,1.0
15,-2.433579553151599e-11,2018-04-28,R_A5,1711.0814208984375,12,31,271.33477783203125,0,271.33477783203125,STANDARD,21,1.0
16,-2.4684041702999204e-12,2018-04-28,R_A5,1712.9427490234375,13,31,271.7203063964844,0,271.7203063964844,STANDARD,21,1.0
17,-2.9873867268825904e-11,2018-04-28,R_A5,1714.626708984375,14,31,272.06964111328125,0,272.06964111328125,STANDARD,21,1.0
18,-1.6603259045400165e-10,2018-04-28,R_A5,1715.603759765625,15,31,272.2745361328125,0,272.2745361328125,STANDARD,21,1.0
26,-1.733770238487864e-09,2018-04-28,R_A5,1716.83154296875,16,31,289.28265380859375,0,289.28265380859375,STANDARD,21,1.0
27,-1.7983564637447103e-09,2018-04-28,R_A5,1718.8392333984375,17,31,289.4959411621094,0,289.4959411621094,STANDARD,21,1.0
28,-1.967342511122183e-09,2018-04-28,R_A5,1720.846923828125,18,31,290.12176513671875,0,290.12176513671875,STANDARD,21,1.0
29,-1.342050860090975e-15,2018-04-28,R_A5,1722.8546142578125,19,31,294.7211608886719,0,294.7211608886719,STANDARD,21,1.0
30,-5.580744200095467e-13,2018-04-28,R_A5,1724.8623046875,20,31,295.46954345703125,0,295.46954345703125,STANDARD,21,1.0
1,0.0,2018-07-03,R_A3,1610.0977783203125,1,28,286.7565612792969,0,286.7565612792969,STANDARD,41,0.6489430069923401
2,0.0,2018-07-03,R_A3,1612.1575927734375,2,28,286.8880615234375,0,286.8880615234375,STANDARD,41,0.2014627754688263
3,0.0,2018-07-03,R_A3,1614.21728515625,3,28,287.0258483886719,0,287.0258483886719,STANDARD,41,0.20108968019485474
4,0.0,2018-07-03,R_A3,1616.277099609375,4,28,287.1828918457031,0,287.1828918457031,STANDARD,41,0.6525160074234009
4,0.0,2018-07-03,R_A3,1606.1717529296875,5,29,286.29180908203125,0,286.29180908203125,STANDARD,41,0.3835465610027313
5,0.0,2018-07-03,R_A3,1608.142822265625,6,29,286.80303955078125,0,286.80303955078125,STANDARD,41,0.8076186180114746
6,0.0,2018-07-03,R_A3,1610.11376953125,7,29,286.942626953125,0,286.942626953125,STANDARD,41,0.6489792466163635
7,0.0,2018-07-03,R_A3,1612.084716796875,8,29,287.0836181640625,0,287.0836181640625,STANDARD,41,0.19835735857486725
8,0.0,2018-07-03,R_A3,1614.0556640625,9,29,287.2155456542969,0,287.2155456542969,STANDARD,41,0.23865652084350586
9,0.0,2018-07-03,R_A3,1616.026611328125,10,29,287.40716552734375,0,287.40716552734375,STANDARD,41,0.8063893914222717
10,0.0,2018-07-03,R_A3,1617.99755859375,11,29,288.4351501464844,0,288.4351501464844,STANDARD,41,0.8053519129753113
11,0.0,2018-07-03,R_A3,1620.1417236328125,12,29,285.4032287597656,0,285.4032287597656,STANDARD,41,0.04961051419377327
12,0.0,2018-07-03,R_A3,1622.4588623046875,13,29,285.5580139160156,0,285.5580139160156,STANDARD,41,0.05649206042289734
13,0.0,2018-07-03,R_A3,1624.776123046875,14,29,285.71331787109375,0,285.71331787109375,STANDARD,41,0.374756783246994
15,0.0,2018-07-03,R_A3,1629.410400390625,15,29,287.0771484375,0,287.0771484375,STANDARD,41,0.5078991651535034
16,0.0,2018-07-03,R_A3,1631.2225341796875,16,29,287.2157897949219,0,287.2157897949219,STANDARD,41,0.8108927011489868
26,0.0,2018-07-03,R_A3,1633.664306640625,17,29,298.1661071777344,0,298.1661071777344,STANDARD,41,0.765442967414856
27,0.0,2018-07-03,R_A3,1637.2408447265625,18,29,284.21502685546875,0,284.21502685546875,STANDARD,41,0.23805147409439087
28,0.0,2018-07-03,R_A3,1640.8173828125,19,29,284.4579772949219,0,284.4579772949219,STANDARD,41,0.04920562356710434
29,0.0,2018-07-03,R_A3,1644.3939208984375,20,29,284.69873046875,0,284.69873046875,STANDARD,41,0.22816602885723114
30,0.0,2018-07-03,R_A3,1647.970458984375,21,29,284.938232421875,0,284.938232421875,STANDARD,41,0.06494157016277313
1,0.0,2018-09-12,R_A4,1631.38134765625,1,30,273.62261962890625,0,273.62261962890625,STANDARD,52,0.05316620692610741
1,0.0,2018-09-12,R_A4,1628.7596435546875,2,31,274.02862548828125,0,274.02862548828125,STANDARD,52,0.05258917436003685
2,0.0,2018-09-12,R_A4,1630.881591796875,3,31,274.1697998046875,0,274.1697998046875,STANDARD,52,0.20327378809452057
3,0.0,2018-09-12,R_A4,1633.003662109375,4,31,274.3110046386719,0,274.3110046386719,STANDARD,52,0.21403902769088745
3,0.0,2018-09-12,R_A4,1633.2745361328125,5,32,274.24737548828125,0,274.24737548828125,STANDARD,52,0.05965501070022583
3,0.0,2018-09-12,R_A4,1635.817138671875,6,32,271.9278869628906,0,271.9278869628906,STANDARD,51,0.6563840508460999
2,0.0,2018-09-12,R_A4,1633.9222412109375,7,32,271.82672119140625,0,271.82672119140625,STANDARD,51,0.6519471406936646
2,0.0,2018-09-12,R_A4,1637.177001953125,8,33,272.3801574707031,0,272.3801574707031,STANDARD,51,0.061258189380168915
1,0.0,2018-09-12,R_A4,1635.2454833984375,9,33,272.252197265625,0,272.252197265625,STANDARD,51,0.059923332184553146
2,0.0,2018-09-12,R_A4,1639.5157470703125,10,33,270.6178283691406,0,270.6178283691406,STANDARD,50,0.06271831691265106
2,0.0,2018-09-12,R_A4,1638.05322265625,11,34,271.4107971191406,0,271.4107971191406,STANDARD,50,0.10472915321588516
3,0.0,2018-09-12,R_A4,1640.116943359375,12,34,271.5483093261719,0,271.5483093261719,STANDARD,50,0.06468765437602997
3,0.0,2018-09-12,R_A4,1644.2901611328125,13,35,273.0272216796875,0,273.0272216796875,STANDARD,50,0.06745091825723648
2,0.0,2018-09-12,R_A4,1642.271484375,14,35,272.8926696777344,0,272.8926696777344,STANDARD,50,0.1720990389585495
2,0.0,2018-09-12,R_A4,1640.9229736328125,15,35,272.26434326171875,0,272.26434326171875,STANDARD,49,0.17119310796260834
1,0.0,2018-09-12,R_A4,1638.927490234375,16,35,272.1521301269531,0,272.1521301269531,STANDARD,49,0.23715437948703766
29,0.0,2018-09-12,R_A4,1645.2733154296875,17,36,278.9379577636719,0,278.9379577636719,STANDARD,49,0.10609220713376999
29,0.0,2018-09-12,R_A4,1640.5926513671875,18,36,278.9739074707031,0,278.9739074707031,STANDARD,48,0.05897698923945427
29,0.0,2018-09-12,R_A4,1649.1748046875,19,37,279.6427001953125,0,279.6427001953125,STANDARD,48,0.6504978537559509
29,0.0,2018-09-12,R_A4,1659.206298828125,20,38,282.6379089355469,0,282.6379089355469,STANDARD,48,0.6601255536079407
28,0.0,2018-09-12,R_A4,1653.38916015625,21,38,280.25390625,0,280.25390625,STANDARD,48,0.2952549457550049
28,0.0,2018-09-12,R_A4,1653.68310546875,22,38,280.2586975097656,0,280.2586975097656,STANDARD,47,0.18514420092105865
1,-2.0719790900375346e-12,2018-11-07,R_A6,1695.2904052734375,1,17,268.0690002441406,0,268.0690002441406,STANDARD,42,1.0
2,-1.1112100822829873e-12,2018-11-07,R_A6,1696.843017578125,2,17,268.212890625,0,268.212890625,STANDARD,42,1.0
3,-9.783401302629335e-13,2018-11-07,R_A6,1698.3956298828125,3,17,268.3539733886719,0,268.3539733886719,STANDARD,42,1.0
4,-9.456697230847411e-11,2018-11-07,R_A6,1699.9483642578125,4,17,268.5797119140625,0,268.5797119140625,STANDARD,42,1.0
5,-1.0167054698140277e-10,2018-11-07,R_A6,1701.5009765625,5,17,268.428466796875,0,268.428466796875,STANDARD,42,1.0
6,-8.02172286928915e-11,2018-11-07,R_A6,1703.0537109375,6,17,268.5763244628906,0,268.5763244628906,STANDARD,42,1.0
7,-1.0839098368853328e-10,2018-11-07,R_A6,1704.6064453125,7,17,268.72418212890625,0,268.72418212890625,STANDARD,42,1.0
8,-5.6564138789516605e-11,2018-11-07,R_A6,1706.1590576171875,8,17,268.8719482421875,0,268.8719482421875,STANDARD,42,1.0
9,-2.9374562678097238e-12,2018-11-07,R_A6,1707.711669921875,9,17,269.3789978027344,0,269.3789978027344,STANDARD,42,1.0
10,-1.3386260155900942e-10,2018-11-07,R_A6,1709.264404296875,10,17,269.8857727050781,0,269.8857727050781,STANDARD,42,1.0
11,-1.0343711442928338e-09,2018-11-07,R_A6,1711.2109375,11,17,272.72637939453125,0,272.72637939453125,STANDARD,42,0.9999999403953552
12,-5.469719677186902e-10,2018-11-07,R_A6,1713.551513671875,12,17,272.95770263671875,0,272.95770263671875,STANDARD,42,1.0
13,-4.3675424388212036e-11,2018-11-07,R_A6,1715.89208984375,13,17,273.21160888671875,0,273.21160888671875,STANDARD,42,1.0
14,-3.2823022078076747e-11,2018-11-07,R_A6,1718.232666015625,14,17,273.4332580566406,0,273.4332580566406,STANDARD,42,1.0
15,-2.1110084166831022e-11,2018-11-07,R_A6,1720.5732421875,15,17,273.6553955078125,0,273.6553955078125,STANDARD,42,1.0
16,-8.130279435802912e-12,2018-11-07,R_A6,1722.9136962890625,16,17,274.0237731933594,0,274.0237731933594,STANDARD,42,1.0
17,-1.1218351768371715e-11,2018-11-07,R_A6,1725.2542724609375,17,17,274.24688720703125,0,274.24688720703125,STANDARD,42,1.0
18,-1.1101013337733168e-11,2018-11-07,R_A6,1726.7451171875,18,17,274.3886413574219,0,274.3886413574219,STANDARD,42,1.0
26,-3.0863007462189618e-12,2018-11-07,R_A6,1727.929931640625,19,17,279.5163269042969,0,279.5163269042969,STANDARD,42,1.0
