DRAWDOWN,WELL,CONKPOS,CONJPOS,SGAS,DATE,WELLMODEL,PRESSURE,CONIDX,SWAT,CONIPOS,CONBPRES,DEPTH
0,R_A4,4,50,0.0,2018-01-01,STANDARD,300.74359130859375,12,0.05894390866160393,34,300.74359130859375,1640.209228515625
0,R_A4,4,50,0.0,2018-01-01,STANDARD,300.84521484375,13,0.05743245407938957,35,300.84521484375,1641.724853515625
0,R_A4,3,50,0.0,2018-01-01,STANDARD,300.7246398925781,14,0.22200161218643188,35,300.7246398925781,1639.9268798828125
0,R_A4,2,50,0.0,2018-01-01,STANDARD,300.60406494140625,15,0.22133620083332062,35,300.60406494140625,1638.1287841796875
0,R_A4,2,49,0.0,2018-01-01,STANDARD,300.8980407714844,16,0.2303440123796463,35,300.8980407714844,1642.5128173828125
0,R_A4,1,49,0.0,2018-01-01,STANDARD,300.7778625488281,17,0.19377388060092926,35,300.7778625488281,1640.720703125
0,R_A4,29,49,0.0,2018-01-01,STANDARD,300.8794250488281,18,0.6481541991233826,36,300.8794250488281,1642.2353515625
0,R_A4,29,48,0.0,2018-01-01,STANDARD,300.8373107910156,19,0.13867151737213135,36,300.8373107910156,1641.6072998046875
0,R_A4,29,48,0.0,2018-01-01,STANDARD,301.24078369140625,20,1.0,37,301.24078369140625,1647.623779296875
0,R_A4,29,48,0.0,2018-01-01,STANDARD,301.6112976074219,21,0.7189487814903259,38,301.6112976074219,1653.1485595703125
0,R_A4,29,47,0.0,2018-01-01,STANDARD,302.2507019042969,22,1.0,38,302.2507019042969,1662.681640625
0,R_A4,28,47,0.0,2018-01-01,STANDARD,301.87322998046875,23,0.1231350302696228,38,301.87322998046875,1657.0538330078125
0,R_A5,1,20,0.0,2018-01-01,STANDARD,303.91412353515625,1,1.0,31,303.91412353515625,1685.7657470703125
0,R_A5,2,20,0.0,2018-01-01,STANDARD,304.1121520996094,2,1.0,31,304.1121520996094,1687.85546875
0,R_A5,3,20,0.0,2018-01-01,STANDARD,304.3102111816406,3,1.0,31,304.3102111816406,1689.9453125
0,R_A5,4,20,0.0,2018-01-01,STANDARD,304.50823974609375,4,1.0,31,304.50823974609375,1692.0350341796875
0,R_A5,5,20,0.0,2018-01-01,STANDARD,304.7062683105469,5,1.0,31,304.7062683105469,1694.1248779296875
0,R_A5,6,20,0.0,2018-01-01,STANDARD,304.9043273925781,6,1.0,31,304.9043273925781,1696.214599609375
0,R_A5,7,20,0.0,2018-01-01,STANDARD,305.40814208984375,7,1.0,31,305.40814208984375,1698.3043212890625
0,R_A5,8,20,0.0,2018-01-01,STANDARD,305.606201171875,8,1.0,31,305.606201171875,1700.39404296875
