CONKPOS,DATE,CONBPRES,CONIDX,DRAWDOWN,CONJPOS,PRESSURE,SWAT,WELL,CONIPOS,SGAS,WELLMODEL,DEPTH
12,2018-01-01,305.4322814941406,10,0,21,305.4322814941406,1.0,R_A5,31,0.0,STANDARD,1701.7845458984375
13,2018-01-01,305.6291198730469,11,0,21,305.6291198730469,1.0,R_A5,31,0.0,STANDARD,1703.735107421875
14,2018-01-01,305.81396484375,12,0,21,305.81396484375,1.0,R_A5,31,0.0,STANDARD,1705.6856689453125
15,2018-01-01,305.9988098144531,13,0,21,305.9988098144531,1.0,R_A5,31,0.0,STANDARD,1707.63623046875
16,2018-01-01,306.3287048339844,14,0,21,306.3287048339844,1.0,R_A5,31,0.0,STANDARD,1709.5867919921875
17,2018-01-01,306.5135498046875,15,0,21,306.5135498046875,1.0,R_A5,31,0.0,STANDARD,1711.537353515625
18,2018-01-01,306.6856994628906,16,0,21,306.6856994628906,1.0,R_A5,31,0.0,STANDARD,1713.35400390625
19,2018-01-01,306.7843933105469,17,0,21,306.7843933105469,1.0,R_A5,31,0.0,STANDARD,1714.3951416015625
27,2018-01-01,306.75689697265625,18,0,21,306.75689697265625,1.0,R_A5,31,0.0,STANDARD,1715.7628173828125
28,2018-01-01,306.978271484375,19,0,21,306.978271484375,1.0,R_A5,31,0.0,STANDARD,1718.098388671875
29,2018-01-01,307.5054016113281,20,0,21,307.5054016113281,1.0,R_A5,31,0.0,STANDARD,1720.43408203125
30,2018-01-01,307.7267761230469,21,0,21,307.7267761230469,1.0,R_A5,31,0.0,STANDARD,1722.7696533203125
31,2018-01-01,307.9481506347656,22,0,21,307.9481506347656,1.0,R_A5,31,0.0,STANDARD,1725.105224609375
1,2018-01-01,305.11419677734375,1,0,42,305.11419677734375,1.0,R_A6,17,0.0,STANDARD,1695.20263671875
2,2018-01-01,305.2609558105469,2,0,42,305.2609558105469,1.0,R_A6,17,0.0,STANDARD,1696.7510986328125
3,2018-01-01,305.4076843261719,3,0,42,305.4076843261719,1.0,R_A6,17,0.0,STANDARD,1698.299560546875
4,2018-01-01,305.554443359375,4,0,42,305.554443359375,1.0,R_A6,17,0.0,STANDARD,1699.84814453125
5,2018-01-01,305.7012023925781,5,0,42,305.7012023925781,1.0,R_A6,17,0.0,STANDARD,1701.3966064453125
6,2018-01-01,305.84796142578125,6,0,42,305.84796142578125,1.0,R_A6,17,0.0,STANDARD,1702.9451904296875
7,2018-01-01,305.6956481933594,7,0,42,305.6956481933594,1.0,R_A6,17,0.0,STANDARD,1704.49365234375
