CONIDX,DRAWDOWN,DATE,SWAT,DEPTH,CONJPOS,CONBPRES,WELL,WELLMODEL,CONKPOS,SGAS,PRESSURE,CONIPOS
16,0,2018-01-01,0.8066573143005371,1631.895263671875,41,300.1855773925781,R_A3,STANDARD,16,0.0,300.1855773925781,29
17,0,2018-01-01,0.6481541991233826,1634.2750244140625,41,300.3451232910156,R_A3,STANDARD,29,0.0,300.3451232910156,29
18,0,2018-01-01,0.040693677961826324,1637.7337646484375,41,300.5770263671875,R_A3,STANDARD,30,0.0,300.5770263671875,29
19,0,2018-01-01,0.048004359006881714,1641.1925048828125,41,300.8089599609375,R_A3,STANDARD,31,0.0,300.8089599609375,29
20,0,2018-01-01,0.29951998591423035,1644.6512451171875,41,301.0408935546875,R_A3,STANDARD,32,0.0,301.0408935546875,29
21,0,2018-01-01,0.060585860162973404,1648.1099853515625,41,301.2728271484375,R_A3,STANDARD,33,0.0,301.2728271484375,29
1,0,2018-01-01,0.04663066565990448,1628.34228515625,52,299.9473876953125,R_A4,STANDARD,1,0.0,299.9473876953125,30
2,0,2018-01-01,0.045198097825050354,1623.5242919921875,52,299.6243896484375,R_A4,STANDARD,1,0.0,299.6243896484375,31
3,0,2018-01-01,0.04757982864975929,1625.637451171875,52,299.76605224609375,R_A4,STANDARD,2,0.0,299.76605224609375,31
4,0,2018-01-01,0.04812930151820183,1627.7506103515625,52,299.90771484375,R_A4,STANDARD,3,0.0,299.90771484375,31
5,0,2018-01-01,0.049893829971551895,1629.8636474609375,52,300.04937744140625,R_A4,STANDARD,4,0.0,300.04937744140625,31
6,0,2018-01-01,0.05217253416776657,1631.976806640625,52,300.1910400390625,R_A4,STANDARD,5,0.0,300.1910400390625,31
7,0,2018-01-01,0.053660959005355835,1634.0899658203125,52,300.3327331542969,R_A4,STANDARD,6,0.0,300.3327331542969,31
8,0,2018-01-01,0.08721481263637543,1631.430419921875,52,300.1544189453125,R_A4,STANDARD,6,0.0,300.1544189453125,32
9,0,2018-01-01,0.05270487070083618,1633.341064453125,52,300.2825012207031,R_A4,STANDARD,7,0.0,300.2825012207031,32
10,0,2018-01-01,0.05414462462067604,1634.3343505859375,51,300.34912109375,R_A4,STANDARD,7,0.0,300.34912109375,32
11,0,2018-01-01,0.10845425724983215,1636.145263671875,51,300.47052001953125,R_A4,STANDARD,7,0.0,300.47052001953125,33
12,0,2018-01-01,0.06019940972328186,1641.0560302734375,50,300.7998046875,R_A4,STANDARD,7,0.0,300.7998046875,33
13,0,2018-01-01,0.05940335616469383,1640.535888671875,50,300.7649230957031,R_A4,STANDARD,7,0.0,300.7649230957031,34
14,0,2018-01-01,0.09637913852930069,1638.71826171875,50,300.64306640625,R_A4,STANDARD,6,0.0,300.64306640625,34
15,0,2018-01-01,0.05979412421584129,1639.993408203125,50,300.7285461425781,R_A4,STANDARD,6,0.0,300.7285461425781,35
16,0,2018-01-01,0.22108329832553864,1638.2939453125,50,300.6145935058594,R_A4,STANDARD,5,0.0,300.6145935058594,35
17,0,2018-01-01,0.12559004127979279,1644.221435546875,49,301.0120544433594,R_A4,STANDARD,5,0.0,301.0120544433594,35
18,0,2018-01-01,0.1991284191608429,1642.471435546875,49,300.89471435546875,R_A4,STANDARD,4,0.0,300.89471435546875,35
19,0,2018-01-01,0.23805508017539978,1641.2911376953125,49,300.8155517578125,R_A4,STANDARD,31,0.0,300.8155517578125,36
20,0,2018-01-01,0.08876517415046692,1644.322998046875,48,301.01885986328125,R_A4,STANDARD,31,0.0,301.01885986328125,36
21,0,2018-01-01,1.0,1649.1728515625,48,301.3441162109375,R_A4,STANDARD,31,0.0,301.3441162109375,37
22,0,2018-01-01,0.8319389224052429,1652.189697265625,48,301.54644775390625,R_A4,STANDARD,31,0.0,301.54644775390625,38
23,0,2018-01-01,0.6481541991233826,1661.4793701171875,47,302.1695251464844,R_A4,STANDARD,31,0.0,302.1695251464844,38
1,0,2018-01-01,1.0,1684.344970703125,20,303.7795104980469,R_A5,STANDARD,1,0.0,303.7795104980469,31
2,0,2018-01-01,1.0,1686.5628662109375,20,303.9896545410156,R_A5,STANDARD,2,0.0,303.9896545410156,31
3,0,2018-01-01,1.0,1688.7806396484375,20,304.1998291015625,R_A5,STANDARD,3,0.0,304.1998291015625,31
4,0,2018-01-01,1.0,1690.99853515625,20,304.4100036621094,R_A5,STANDARD,4,0.0,304.4100036621094,31
5,0,2018-01-01,1.0,1693.21630859375,20,304.62017822265625,R_A5,STANDARD,5,0.0,304.62017822265625,31
6,0,2018-01-01,1.0,1695.43408203125,20,304.8303527832031,R_A5,STANDARD,6,0.0,304.8303527832031,31
7,0,2018-01-01,1.0,1697.65185546875,20,305.3463134765625,R_A5,STANDARD,7,0.0,305.3463134765625,31
8,0,2018-01-01,1.0,1695.4197998046875,21,305.1347961425781,R_A5,STANDARD,8,0.0,305.1347961425781,31
9,0,2018-01-01,1.0,1697.8040771484375,21,305.3607482910156,R_A5,STANDARD,9,0.0,305.3607482910156,31
10,0,2018-01-01,1.0,1700.1883544921875,21,305.5867004394531,R_A5,STANDARD,10,0.0,305.5867004394531,31
11,0,2018-01-01,1.0,1702.354736328125,21,305.486328125,R_A5,STANDARD,11,0.0,305.486328125,31
12,0,2018-01-01,1.0,1704.30322265625,21,305.6709899902344,R_A5,STANDARD,12,0.0,305.6709899902344,31
13,0,2018-01-01,1.0,1706.2515869140625,21,305.8675842285156,R_A5,STANDARD,13,0.0,305.8675842285156,31
14,0,2018-01-01,1.0,1708.199951171875,21,306.05224609375,R_A5,STANDARD,14,0.0,306.05224609375,31
15,0,2018-01-01,1.0,1710.1484375,21,306.2369079589844,R_A5,STANDARD,15,0.0,306.2369079589844,31
16,0,2018-01-01,1.0,1712.0968017578125,21,306.5665588378906,R_A5,STANDARD,16,0.0,306.5665588378906,31
17,0,2018-01-01,1.0,1714.045166015625,21,306.751220703125,R_A5,STANDARD,17,0.0,306.751220703125,31
18,0,2018-01-01,1.0,1715.611572265625,21,306.8996887207031,R_A5,STANDARD,18,0.0,306.8996887207031,31
19,0,2018-01-01,1.0,1717.388671875,21,306.9110107421875,R_A5,STANDARD,29,0.0,306.9110107421875,31
20,0,2018-01-01,1.0,1719.571533203125,21,307.1178894042969,R_A5,STANDARD,30,0.0,307.1178894042969,31
21,0,2018-01-01,1.0,1721.7545166015625,21,307.63055419921875,R_A5,STANDARD,31,0.0,307.63055419921875,31
22,0,2018-01-01,1.0,1723.9375,21,307.83746337890625,R_A5,STANDARD,32,0.0,307.83746337890625,31
23,0,2018-01-01,1.0,1726.120361328125,21,308.0443420410156,R_A5,STANDARD,33,0.0,308.0443420410156,31
1,0,2018-01-01,1.0,1694.649169921875,42,305.0617370605469,R_A6,STANDARD,1,0.0,305.0617370605469,17
2,0,2018-01-01,1.0,1696.185791015625,42,305.2073669433594,R_A6,STANDARD,2,0.0,305.2073669433594,17
3,0,2018-01-01,1.0,1697.722412109375,42,305.3529968261719,R_A6,STANDARD,3,0.0,305.3529968261719,17
4,0,2018-01-01,1.0,1699.259033203125,42,305.4986267089844,R_A6,STANDARD,4,0.0,305.4986267089844,17
5,0,2018-01-01,1.0,1700.795654296875,42,305.64422607421875,R_A6,STANDARD,5,0.0,305.64422607421875,17
6,0,2018-01-01,1.0,1702.332275390625,42,305.4908142089844,R_A6,STANDARD,6,0.0,305.4908142089844,17
7,0,2018-01-01,1.0,1703.868896484375,42,305.6364440917969,R_A6,STANDARD,7,0.0,305.6364440917969,17
8,0,2018-01-01,1.0,1705.405517578125,42,305.7820739746094,R_A6,STANDARD,8,0.0,305.7820739746094,17
9,0,2018-01-01,1.0,1706.942138671875,42,306.22674560546875,R_A6,STANDARD,9,0.0,306.22674560546875,17
10,0,2018-01-01,1.0,1708.478759765625,42,306.37237548828125,R_A6,STANDARD,10,0.0,306.37237548828125,17
11,0,2018-01-01,1.0,1710.38525390625,42,306.24737548828125,R_A6,STANDARD,11,0.0,306.24737548828125,17
12,0,2018-01-01,1.0,1712.66162109375,42,306.463134765625,R_A6,STANDARD,12,0.0,306.463134765625,17
13,0,2018-01-01,1.0,1714.93798828125,42,306.6908264160156,R_A6,STANDARD,13,0.0,306.6908264160156,17
14,0,2018-01-01,1.0,1717.2142333984375,42,306.90655517578125,R_A6,STANDARD,14,0.0,306.90655517578125,17
15,0,2018-01-01,1.0,1719.4906005859375,42,307.122314453125,R_A6,STANDARD,15,0.0,307.122314453125,17
16,0,2018-01-01,1.0,1721.7669677734375,42,307.4830627441406,R_A6,STANDARD,16,0.0,307.4830627441406,17
17,0,2018-01-01,1.0,1724.0433349609375,42,307.69879150390625,R_A6,STANDARD,17,0.0,307.69879150390625,17
18,0,2018-01-01,1.0,1725.6390380859375,42,307.85003662109375,R_A6,STANDARD,18,0.0,307.85003662109375,17
19,0,2018-01-01,1.0,1726.952880859375,42,307.8174743652344,R_A6,STANDARD,29,0.0,307.8174743652344,17
20,0,2018-01-01,1.0,1728.66552734375,42,308.28558349609375,R_A6,STANDARD,30,0.0,308.28558349609375,17
21,0,2018-01-01,1.0,1730.3782958984375,42,308.4479064941406,R_A6,STANDARD,31,0.0,308.4479064941406,17
22,0,2018-01-01,1.0,1732.091064453125,42,308.6102600097656,R_A6,STANDARD,32,0.0,308.6102600097656,17
23,0,2018-01-01,1.0,1733.8038330078125,42,308.466796875,R_A6,STANDARD,33,0.0,308.466796875,17
1,0,2018-03-01,0.09915164858102798,1640.435791015625,30,298.5531311035156,R_A2,STANDARD,1,0.0,298.5531311035156,22
2,0,2018-03-01,0.054168157279491425,1642.1925048828125,30,298.6708068847656,R_A2,STANDARD,2,0.0,298.6708068847656,22
3,0,2018-03-01,0.056465521454811096,1643.9493408203125,30,298.78851318359375,R_A2,STANDARD,3,0.0,298.78851318359375,22
4,0,2018-03-01,0.06061829254031181,1645.7061767578125,30,298.90625,R_A2,STANDARD,4,0.0,298.90625,22
5,0,2018-03-01,0.06402681767940521,1647.4630126953125,30,299.0240173339844,R_A2,STANDARD,5,0.0,299.0240173339844,22
6,0,2018-03-01,0.30596381425857544,1649.2198486328125,30,299.15130615234375,R_A2,STANDARD,6,0.0,299.15130615234375,22
7,0,2018-03-01,0.8697028756141663,1650.9766845703125,30,299.29913330078125,R_A2,STANDARD,7,0.0,299.29913330078125,22
8,0,2018-03-01,0.8542486429214478,1652.7335205078125,30,299.4609680175781,R_A2,STANDARD,8,0.0,299.4609680175781,22
9,0,2018-03-01,0.6483255624771118,1654.490234375,30,299.586669921875,R_A2,STANDARD,9,0.0,299.586669921875,22
10,0,2018-03-01,0.1512351781129837,1656.2470703125,30,299.72235107421875,R_A2,STANDARD,10,0.0,299.72235107421875,22
11,0,2018-03-01,0.06706608831882477,1658.118408203125,30,299.98095703125,R_A2,STANDARD,11,0.0,299.98095703125,22
12,0,2018-03-01,0.4289163053035736,1660.104248046875,30,300.8482360839844,R_A2,STANDARD,12,0.0,300.8482360839844,22
13,0,2018-03-01,0.4212145507335663,1662.0902099609375,30,300.8051452636719,R_A2,STANDARD,13,0.0,300.8051452636719,22
14,0,2018-03-01,0.46574369072914124,1664.0760498046875,30,300.9383544921875,R_A2,STANDARD,14,0.0,300.9383544921875,22
15,0,2018-03-01,0.8937371373176575,1666.06201171875,30,301.07073974609375,R_A2,STANDARD,15,0.0,301.07073974609375,22
16,0,2018-03-01,0.9020346403121948,1668.0478515625,30,301.202880859375,R_A2,STANDARD,16,0.0,301.202880859375,22
17,0,2018-03-01,0.9714421629905701,1672.8746337890625,29,301.5135803222656,R_A2,STANDARD,16,0.0,301.5135803222656,22
18,0,2018-03-01,0.925446093082428,1674.957275390625,29,301.65240478515625,R_A2,STANDARD,17,0.0,301.65240478515625,22
19,0,2018-03-01,0.972416341304779,1676.71435546875,29,301.77008056640625,R_A2,STANDARD,18,0.0,301.77008056640625,22
20,0,2018-03-01,1.0,1678.287841796875,29,303.280517578125,R_A2,STANDARD,29,-4.76894131823391e-13,303.280517578125,22
21,0,2018-03-01,1.0,1679.9866943359375,29,303.397216796875,R_A2,STANDARD,30,-5.173422602549498e-16,303.397216796875,22
22,0,2018-03-01,1.0,1681.685546875,29,303.81591796875,R_A2,STANDARD,31,-1.8333896853212506e-15,303.81591796875,22
23,0,2018-03-01,1.0,1683.3843994140625,29,303.9690246582031,R_A2,STANDARD,32,-3.1726459296093495e-14,303.9690246582031,22
24,0,2018-03-01,1.0,1685.083251953125,29,304.12725830078125,R_A2,STANDARD,33,-1.426758220574552e-14,304.12725830078125,22
1,0,2018-04-28,0.9999999403953552,1684.344970703125,20,278.1581115722656,R_A5,STANDARD,1,-1.7745975799954294e-09,278.1581115722656,31
2,0,2018-04-28,0.9999999403953552,1686.5628662109375,20,278.3672790527344,R_A5,STANDARD,2,-1.4104408752046993e-09,278.3672790527344,31
3,0,2018-04-28,0.9999999403953552,1688.7806396484375,20,278.57708740234375,R_A5,STANDARD,3,-1.347077893676385e-09,278.57708740234375,31
4,0,2018-04-28,0.9999999403953552,1690.99853515625,20,278.78753662109375,R_A5,STANDARD,4,-1.7125195705958163e-09,278.78753662109375,31
5,0,2018-04-28,0.9999999403953552,1693.21630859375,20,278.99822998046875,R_A5,STANDARD,5,-1.6688014303767318e-09,278.99822998046875,31
6,0,2018-04-28,0.9999999403953552,1695.43408203125,20,279.2089538574219,R_A5,STANDARD,6,-1.3826912947934034e-09,279.2089538574219,31
7,0,2018-04-28,1.0,1697.65185546875,20,279.795166015625,R_A5,STANDARD,7,-6.168857959176766e-12,279.795166015625,31
8,0,2018-04-28,1.0,1695.4197998046875,21,279.0711975097656,R_A5,STANDARD,8,-8.050696394257262e-12,279.0711975097656,31
9,0,2018-04-28,1.0,1697.8040771484375,21,279.3749084472656,R_A5,STANDARD,9,-4.8217966078234475e-12,279.3749084472656,31
10,0,2018-04-28,1.0,1700.1883544921875,21,279.62860107421875,R_A5,STANDARD,10,-5.827042407618999e-13,279.62860107421875,31
11,0,2018-04-28,1.0,1702.354736328125,21,276.8716125488281,R_A5,STANDARD,11,-1.197660998153438e-10,276.8716125488281,31
12,0,2018-04-28,1.0,1704.30322265625,21,277.0792541503906,R_A5,STANDARD,12,-4.750276907938833e-11,277.0792541503906,31
13,0,2018-04-28,1.0,1706.2515869140625,21,277.2871398925781,R_A5,STANDARD,13,-3.505719325946899e-11,277.2871398925781,31
14,0,2018-04-28,1.0,1708.199951171875,21,277.484130859375,R_A5,STANDARD,14,-4.5371983947717354e-11,277.484130859375,31
15,0,2018-04-28,1.0,1710.1484375,21,277.6776123046875,R_A5,STANDARD,15,-2.6590105117740848e-11,277.6776123046875,31
16,0,2018-04-28,1.0,1712.0968017578125,21,278.02587890625,R_A5,STANDARD,16,-3.2657242795414154e-12,278.02587890625,31
17,0,2018-04-28,1.0,1714.045166015625,21,278.2317810058594,R_A5,STANDARD,17,-3.434395563078896e-12,278.2317810058594,31
18,0,2018-04-28,1.0,1715.611572265625,21,278.384765625,R_A5,STANDARD,18,-3.3441931949346193e-12,278.384765625,31
19,0,2018-04-28,1.0,1717.388671875,21,286.8099365234375,R_A5,STANDARD,29,-4.641041023711878e-11,286.8099365234375,31
20,0,2018-04-28,1.0,1719.571533203125,21,287.02392578125,R_A5,STANDARD,30,-4.5434978696023975e-11,287.02392578125,31
21,0,2018-04-28,1.0,1721.7545166015625,21,292.6466369628906,R_A5,STANDARD,31,1.6527017353611515e-17,292.6466369628906,31
22,0,2018-04-28,1.0,1723.9375,21,289.38702392578125,R_A5,STANDARD,32,-3.3148464984207593e-13,289.38702392578125,31
23,0,2018-04-28,1.0,1726.120361328125,21,288.6717529296875,R_A5,STANDARD,33,-2.0707272583507215e-15,288.6717529296875,31
1,0,2018-07-03,0.3266664147377014,1609.4969482421875,41,283.1681213378906,R_A3,STANDARD,1,0.0,283.1681213378906,28
2,0,2018-07-03,0.19124484062194824,1611.493896484375,41,283.29949951171875,R_A3,STANDARD,2,0.0,283.29949951171875,28
3,0,2018-07-03,0.19321632385253906,1613.490966796875,41,283.43316650390625,R_A3,STANDARD,3,0.0,283.43316650390625,28
4,0,2018-07-03,0.3076860308647156,1615.488037109375,41,283.5675048828125,R_A3,STANDARD,4,0.0,283.5675048828125,28
5,0,2018-07-03,0.6498422622680664,1617.485107421875,41,283.6420593261719,R_A3,STANDARD,5,0.0,283.6420593261719,28
6,0,2018-07-03,0.8025111556053162,1609.604248046875,41,283.1875,R_A3,STANDARD,5,0.0,283.1875,29
7,0,2018-07-03,0.3384552299976349,1611.538818359375,41,283.2978210449219,R_A3,STANDARD,6,0.0,283.2978210449219,29
8,0,2018-07-03,0.19557319581508636,1613.473388671875,41,283.4235534667969,R_A3,STANDARD,7,0.0,283.4235534667969,29
9,0,2018-07-03,0.1967228651046753,1615.4078369140625,41,283.5526428222656,R_A3,STANDARD,8,0.0,283.5526428222656,29
10,0,2018-07-03,0.7913090586662292,1617.34228515625,41,283.7459716796875,R_A3,STANDARD,9,0.0,283.7459716796875,29
11,0,2018-07-03,0.7962231636047363,1619.27685546875,41,284.5605773925781,R_A3,STANDARD,10,0.0,284.5605773925781,29
12,0,2018-07-03,0.048205260187387466,1621.3487548828125,41,286.954833984375,R_A3,STANDARD,11,0.0,286.954833984375,29
13,0,2018-07-03,0.053565457463264465,1623.5582275390625,41,287.10247802734375,R_A3,STANDARD,12,0.0,287.10247802734375,29
14,0,2018-07-03,0.3654252588748932,1625.767578125,41,287.2505798339844,R_A3,STANDARD,13,0.0,287.2505798339844,29
15,0,2018-07-03,0.49732324481010437,1630.1864013671875,41,287.9028015136719,R_A3,STANDARD,15,0.0,287.9028015136719,29
16,0,2018-07-03,0.8059596419334412,1631.895263671875,41,288.0256042480469,R_A3,STANDARD,16,0.0,288.0256042480469,29
17,0,2018-07-03,0.652117133140564,1634.2750244140625,41,285.0162048339844,R_A3,STANDARD,29,0.0,285.0162048339844,29
18,0,2018-07-03,0.043202538043260574,1637.7337646484375,41,285.27777099609375,R_A3,STANDARD,30,0.0,285.27777099609375,29
19,0,2018-07-03,0.051513005048036575,1641.1925048828125,41,285.5086669921875,R_A3,STANDARD,31,0.0,285.5086669921875,29
20,0,2018-07-03,0.28902164101600647,1644.6512451171875,41,285.8976745605469,R_A3,STANDARD,32,0.0,285.8976745605469,29
21,0,2018-07-03,0.06121101602911949,1648.1099853515625,41,286.0624694824219,R_A3,STANDARD,33,0.0,286.0624694824219,29
1,0,2018-09-12,0.046736981719732285,1628.34228515625,52,274.7115173339844,R_A4,STANDARD,1,0.0,274.7115173339844,30
2,0,2018-09-12,0.045319486409425735,1623.5242919921875,52,274.829345703125,R_A4,STANDARD,1,0.0,274.829345703125,31
3,0,2018-09-12,0.04771227762103081,1625.637451171875,52,274.9703063964844,R_A4,STANDARD,2,0.0,274.9703063964844,31
4,0,2018-09-12,0.04827939718961716,1627.7506103515625,52,275.1112976074219,R_A4,STANDARD,3,0.0,275.1112976074219,31
5,0,2018-09-12,0.0500396229326725,1629.8636474609375,52,275.2521057128906,R_A4,STANDARD,4,0.0,275.2521057128906,31
6,0,2018-09-12,0.05232004076242447,1631.976806640625,52,275.39288330078125,R_A4,STANDARD,5,0.0,275.39288330078125,31
7,0,2018-09-12,0.05382035672664642,1634.0899658203125,52,275.5336608886719,R_A4,STANDARD,6,0.0,275.5336608886719,31
8,0,2018-09-12,0.08754757791757584,1631.430419921875,52,275.78228759765625,R_A4,STANDARD,6,0.0,275.78228759765625,32
9,0,2018-09-12,0.05301099270582199,1633.341064453125,52,275.908935546875,R_A4,STANDARD,7,0.0,275.908935546875,32
10,0,2018-09-12,0.05453021451830864,1634.3343505859375,51,275.2169189453125,R_A4,STANDARD,7,0.0,275.2169189453125,32
11,0,2018-09-12,0.10841910541057587,1636.145263671875,51,275.7197265625,R_A4,STANDARD,7,0.0,275.7197265625,33
12,0,2018-09-12,0.060608405619859695,1641.0560302734375,50,274.95989990234375,R_A4,STANDARD,7,0.0,274.95989990234375,33
13,0,2018-09-12,0.059631384909152985,1640.535888671875,50,275.71441650390625,R_A4,STANDARD,7,0.0,275.71441650390625,34
14,0,2018-09-12,0.0967213436961174,1638.71826171875,50,275.5941467285156,R_A4,STANDARD,6,0.0,275.5941467285156,34
15,0,2018-09-12,0.05998103320598602,1639.993408203125,50,276.5054626464844,R_A4,STANDARD,6,0.0,276.5054626464844,35
16,0,2018-09-12,0.22168861329555511,1638.2939453125,50,276.39703369140625,R_A4,STANDARD,5,0.0,276.39703369140625,35
17,0,2018-09-12,0.12552528083324432,1644.221435546875,49,276.59320068359375,R_A4,STANDARD,5,0.0,276.59320068359375,35
18,0,2018-09-12,0.19953450560569763,1642.471435546875,49,276.48492431640625,R_A4,STANDARD,4,0.0,276.48492431640625,35
19,0,2018-09-12,0.2325376272201538,1641.2911376953125,49,279.8157653808594,R_A4,STANDARD,31,0.0,279.8157653808594,36
20,0,2018-09-12,0.08982028067111969,1644.322998046875,48,280.020751953125,R_A4,STANDARD,31,0.0,280.020751953125,36
21,0,2018-09-12,0.9999999403953552,1649.1728515625,48,287.04931640625,R_A4,STANDARD,31,-3.6544567372231995e-09,287.04931640625,37
22,0,2018-09-12,0.8311461210250854,1652.189697265625,48,286.1247253417969,R_A4,STANDARD,31,0.0,286.1247253417969,38
23,0,2018-09-12,0.6589381694793701,1661.4793701171875,47,281.5850524902344,R_A4,STANDARD,31,0.0,281.5850524902344,38
1,0,2018-11-07,1.0,1694.649169921875,42,274.1607360839844,R_A6,STANDARD,1,-1.5909383096914095e-17,274.1607360839844,17
2,0,2018-11-07,1.0,1696.185791015625,42,274.3061828613281,R_A6,STANDARD,2,-9.193263821218423e-18,274.3061828613281,17
3,0,2018-11-07,1.0,1697.722412109375,42,274.4508361816406,R_A6,STANDARD,3,-7.369550600581936e-18,274.4508361816406,17
4,0,2018-11-07,1.0,1699.259033203125,42,274.593994140625,R_A6,STANDARD,4,-5.407203977233093e-18,274.593994140625,17
5,0,2018-11-07,1.0,1700.795654296875,42,274.73553466796875,R_A6,STANDARD,5,-6.771069710968182e-18,274.73553466796875,17
6,0,2018-11-07,1.0,1702.332275390625,42,274.5795593261719,R_A6,STANDARD,6,-2.5025768421129595e-16,274.5795593261719,17
7,0,2018-11-07,1.0,1703.868896484375,42,274.72479248046875,R_A6,STANDARD,7,-2.908530352276588e-16,274.72479248046875,17
8,0,2018-11-07,1.0,1705.405517578125,42,274.8664855957031,R_A6,STANDARD,8,-2.0604965826555473e-16,274.8664855957031,17
9,0,2018-11-07,1.0,1706.942138671875,42,275.31097412109375,R_A6,STANDARD,9,-1.391145240438414e-17,275.31097412109375,17
