CONKPOS,WELL,DEPTH,PRESSURE,CONBPRES,CONIPOS,DRAWDOWN,CONIDX,SGAS,DATE,SWAT,WELLMODEL,CONJPOS
16,R_A5,1711.71435546875,306.53033447265625,306.53033447265625,31,0,13,0.0,2018-01-01,1.0,STANDARD,21
17,R_A5,1713.7327880859375,306.72161865234375,306.72161865234375,31,0,14,0.0,2018-01-01,1.0,STANDARD,21
18,R_A5,1715.359130859375,306.8757629394531,306.8757629394531,31,0,15,0.0,2018-01-01,1.0,STANDARD,21
19,R_A5,1716.2974853515625,306.9646911621094,306.9646911621094,31,0,16,0.0,2018-01-01,1.0,STANDARD,21
29,R_A5,1717.79833984375,306.9498291015625,306.9498291015625,31,0,17,0.0,2018-01-01,1.0,STANDARD,21
30,R_A5,1720.1962890625,307.1770935058594,307.1770935058594,31,0,18,0.0,2018-01-01,1.0,STANDARD,21
31,R_A5,1722.594482421875,307.7101745605469,307.7101745605469,31,0,19,0.0,2018-01-01,1.0,STANDARD,21
32,R_A5,1724.992431640625,307.93743896484375,307.93743896484375,31,0,20,0.0,2018-01-01,1.0,STANDARD,21
33,R_A5,1727.3905029296875,308.16473388671875,308.16473388671875,31,0,21,0.0,2018-01-01,1.0,STANDARD,21
1,R_A6,1695.5445556640625,305.1466064453125,305.1466064453125,17,0,1,0.0,2018-01-01,1.0,STANDARD,42
2,R_A6,1697.097412109375,305.29376220703125,305.29376220703125,17,0,2,0.0,2018-01-01,1.0,STANDARD,42
3,R_A6,1698.650146484375,305.44091796875,305.44091796875,17,0,3,0.0,2018-01-01,1.0,STANDARD,42
4,R_A6,1700.2030029296875,305.58807373046875,305.58807373046875,17,0,4,0.0,2018-01-01,1.0,STANDARD,42
5,R_A6,1701.7557373046875,305.7352294921875,305.7352294921875,17,0,5,0.0,2018-01-01,1.0,STANDARD,42
6,R_A6,1703.30859375,305.5833435058594,305.5833435058594,17,0,6,0.0,2018-01-01,1.0,STANDARD,42
7,R_A6,1704.8614501953125,305.7304992675781,305.7304992675781,17,0,7,0.0,2018-01-01,1.0,STANDARD,42
8,R_A6,1706.4141845703125,305.8776550292969,305.8776550292969,17,0,8,0.0,2018-01-01,1.0,STANDARD,42
9,R_A6,1707.967041015625,306.3238525390625,306.3238525390625,17,0,9,0.0,2018-01-01,1.0,STANDARD,42
10,R_A6,1709.519775390625,306.1652526855469,306.1652526855469,17,0,10,0.0,2018-01-01,1.0,STANDARD,42
11,R_A6,1711.47802734375,306.3509521484375,306.3509521484375,17,0,11,0.0,2018-01-01,1.0,STANDARD,42
12,R_A6,1713.8416748046875,306.574951171875,306.574951171875,17,0,12,0.0,2018-01-01,1.0,STANDARD,42
13,R_A6,1716.2052001953125,306.8109436035156,306.8109436035156,17,0,13,0.0,2018-01-01,1.0,STANDARD,42
14,R_A6,1718.56884765625,307.0349426269531,307.0349426269531,17,0,14,0.0,2018-01-01,1.0,STANDARD,42
15,R_A6,1720.9324951171875,307.2589416503906,307.2589416503906,17,0,15,0.0,2018-01-01,1.0,STANDARD,42
16,R_A6,1723.296142578125,307.62799072265625,307.62799072265625,17,0,16,0.0,2018-01-01,1.0,STANDARD,42
17,R_A6,1725.6539306640625,307.8514404296875,307.8514404296875,17,0,17,0.0,2018-01-01,1.0,STANDARD,42
18,R_A6,1727.0699462890625,307.98565673828125,307.98565673828125,17,0,18,0.0,2018-01-01,1.0,STANDARD,42
29,R_A6,1728.1732177734375,307.9331359863281,307.9331359863281,17,0,19,0.0,2018-01-01,1.0,STANDARD,42
30,R_A6,1729.8995361328125,308.09674072265625,308.09674072265625,17,0,20,0.0,2018-01-01,1.0,STANDARD,42
31,R_A6,1731.6259765625,308.566162109375,308.566162109375,17,0,21,0.0,2018-01-01,1.0,STANDARD,42
32,R_A6,1733.352294921875,308.72979736328125,308.72979736328125,17,0,22,0.0,2018-01-01,1.0,STANDARD,42
33,R_A6,1735.07861328125,308.5876159667969,308.5876159667969,17,0,23,0.0,2018-01-01,1.0,STANDARD,42
1,R_A2,1640.1025390625,299.0997009277344,299.0997009277344,22,0,1,0.0,2018-03-01,0.05761101841926575,STANDARD,30
2,R_A2,1641.9512939453125,299.2236328125,299.2236328125,22,0,2,0.0,2018-03-01,0.05964704230427742,STANDARD,30
3,R_A2,1643.800048828125,299.3475341796875,299.3475341796875,22,0,3,0.0,2018-03-01,0.06227850168943405,STANDARD,30
4,R_A2,1645.64892578125,299.4714660644531,299.4714660644531,22,0,4,0.0,2018-03-01,0.06690452992916107,STANDARD,30
5,R_A2,1647.4976806640625,299.59539794921875,299.59539794921875,22,0,5,0.0,2018-03-01,0.07194653153419495,STANDARD,30
6,R_A2,1649.346435546875,299.7130126953125,299.7130126953125,22,0,6,0.0,2018-03-01,0.31543177366256714,STANDARD,30
7,R_A2,1651.195068359375,299.7947998046875,299.7947998046875,22,0,7,0.0,2018-03-01,0.8978323936462402,STANDARD,30
8,R_A2,1653.0439453125,299.9053039550781,299.9053039550781,22,0,8,0.0,2018-03-01,0.8838849663734436,STANDARD,30
9,R_A2,1654.8927001953125,299.64117431640625,299.64117431640625,22,0,9,0.0,2018-03-01,0.6605798006057739,STANDARD,30
10,R_A2,1656.741455078125,299.49102783203125,299.49102783203125,22,0,10,0.0,2018-03-01,0.1731516718864441,STANDARD,30
11,R_A2,1658.662109375,299.55059814453125,299.55059814453125,22,0,11,0.0,2018-03-01,0.08091620355844498,STANDARD,30
12,R_A2,1660.65478515625,299.6605224609375,299.6605224609375,22,0,12,0.0,2018-03-01,0.08858812600374222,STANDARD,30
13,R_A2,1662.6474609375,300.2332458496094,300.2332458496094,22,0,13,0.0,2018-03-01,0.46428021788597107,STANDARD,30
14,R_A2,1664.64013671875,300.4493103027344,300.4493103027344,22,0,14,0.0,2018-03-01,0.5160004496574402,STANDARD,30
15,R_A2,1666.6328125,300.5821533203125,300.5821533203125,22,0,15,0.0,2018-03-01,0.7062698602676392,STANDARD,30
16,R_A2,1668.6253662109375,300.7146301269531,300.7146301269531,22,0,16,0.0,2018-03-01,0.9749031066894531,STANDARD,30
17,R_A2,1670.6180419921875,300.8477783203125,300.8477783203125,22,0,17,0.0,2018-03-01,0.966163694858551,STANDARD,30
18,R_A2,1672.47314453125,300.9719543457031,300.9719543457031,22,0,18,0.0,2018-03-01,0.975178599357605,STANDARD,30
18,R_A2,1671.968505859375,300.75103759765625,300.75103759765625,22,0,19,0.0,2018-03-01,0.9770118594169617,STANDARD,29
19,R_A2,1672.977294921875,300.8187561035156,300.8187561035156,22,0,20,0.0,2018-03-01,0.9666287899017334,STANDARD,29
29,R_A2,1673.97119140625,301.740234375,301.740234375,22,0,21,-8.555930622192523e-14,2018-03-01,1.0,STANDARD,29
30,R_A2,1675.7357177734375,302.7985534667969,302.7985534667969,22,0,22,-2.6281172469397665e-14,2018-03-01,1.0,STANDARD,29
31,R_A2,1677.500244140625,303.2234191894531,303.2234191894531,22,0,23,-3.2524180526257492e-15,2018-03-01,1.0,STANDARD,29
32,R_A2,1679.264892578125,303.492919921875,303.492919921875,22,0,24,-1.2611610135732023e-15,2018-03-01,1.0,STANDARD,29
33,R_A2,1681.029541015625,303.70867919921875,303.70867919921875,22,0,25,-9.677269366063616e-17,2018-03-01,1.0,STANDARD,29
1,R_A5,1682.66943359375,277.5213317871094,277.5213317871094,31,0,1,4.062244518630159e-13,2018-04-28,1.0,STANDARD,20
2,R_A5,1684.710205078125,277.7145690917969,277.7145690917969,31,0,2,4.320588212290005e-13,2018-04-28,1.0,STANDARD,20
3,R_A5,1686.7509765625,277.90777587890625,277.90777587890625,31,0,3,4.171762219527808e-13,2018-04-28,1.0,STANDARD,20
4,R_A5,1688.7916259765625,278.1009826660156,278.1009826660156,31,0,4,4.56195086047384e-13,2018-04-28,1.0,STANDARD,20
5,R_A5,1690.8323974609375,278.2941589355469,278.2941589355469,31,0,5,4.043063355895632e-13,2018-04-28,1.0,STANDARD,20
6,R_A5,1692.873046875,278.4873352050781,278.4873352050781,31,0,6,3.3787751242686515e-13,2018-04-28,1.0,STANDARD,20
7,R_A5,1694.913818359375,279.0154724121094,279.0154724121094,31,0,7,2.9808196909457364e-15,2018-04-28,1.0,STANDARD,20
11,R_A5,1701.1146240234375,277.9209899902344,277.9209899902344,31,0,8,-2.861716722965535e-12,2018-04-28,1.0,STANDARD,21
12,R_A5,1703.234619140625,278.1360778808594,278.1360778808594,31,0,9,-1.9207131544962674e-12,2018-04-28,1.0,STANDARD,21
13,R_A5,1705.3544921875,278.3503723144531,278.3503723144531,31,0,10,-7.723479516531795e-14,2018-04-28,1.0,STANDARD,21
14,R_A5,1707.4744873046875,278.5588073730469,278.5588073730469,31,0,11,-4.975272038972023e-13,2018-04-28,1.0,STANDARD,21
15,R_A5,1709.5943603515625,278.769287109375,278.769287109375,31,0,12,-4.042713768457641e-14,2018-04-28,1.0,STANDARD,21
16,R_A5,1711.71435546875,279.1305236816406,279.1305236816406,31,0,13,-4.610598961131288e-15,2018-04-28,1.0,STANDARD,21
17,R_A5,1713.7327880859375,279.3736572265625,279.3736572265625,31,0,14,1.3849061744199511e-15,2018-04-28,1.0,STANDARD,21
18,R_A5,1715.359130859375,279.5585021972656,279.5585021972656,31,0,15,-1.8103789037260096e-17,2018-04-28,1.0,STANDARD,21
19,R_A5,1716.2974853515625,279.648193359375,279.648193359375,31,0,16,0.0,2018-04-28,1.0,STANDARD,21
29,R_A5,1717.79833984375,280.95928955078125,280.95928955078125,31,0,17,-4.078123472597839e-14,2018-04-28,1.0,STANDARD,21
30,R_A5,1720.1962890625,281.2013244628906,281.2013244628906,31,0,18,-4.2646963705709334e-14,2018-04-28,1.0,STANDARD,21
31,R_A5,1722.594482421875,289.7806701660156,289.7806701660156,31,0,19,1.5255826131047602e-20,2018-04-28,1.0,STANDARD,21
32,R_A5,1724.992431640625,284.099853515625,284.099853515625,31,0,20,2.091753818944905e-17,2018-04-28,1.0,STANDARD,21
33,R_A5,1727.3905029296875,282.7738037109375,282.7738037109375,31,0,21,3.0720780465950254e-14,2018-04-28,1.0,STANDARD,21
1,R_A3,1611.568115234375,286.52655029296875,286.52655029296875,28,0,1,0.0,2018-07-03,0.7837891578674316,STANDARD,41
1,R_A3,1596.56689453125,285.40338134765625,285.40338134765625,29,0,2,0.0,2018-07-03,0.2982305884361267,STANDARD,41
2,R_A3,1598.853515625,285.5547790527344,285.5547790527344,29,0,3,0.0,2018-07-03,0.13154058158397675,STANDARD,41
3,R_A3,1601.1402587890625,285.7075500488281,285.7075500488281,29,0,4,0.0,2018-07-03,0.1283891499042511,STANDARD,41
4,R_A3,1603.4268798828125,285.8603515625,285.8603515625,29,0,5,0.0,2018-07-03,0.16287752985954285,STANDARD,41
5,R_A3,1605.713623046875,286.2613830566406,286.2613830566406,29,0,6,0.0,2018-07-03,0.8029763698577881,STANDARD,41
6,R_A3,1608.000244140625,286.3975524902344,286.3975524902344,29,0,7,0.0,2018-07-03,0.6490187644958496,STANDARD,41
7,R_A3,1610.2869873046875,286.5679016113281,286.5679016113281,29,0,8,0.0,2018-07-03,0.19786274433135986,STANDARD,41
8,R_A3,1612.5736083984375,286.72332763671875,286.72332763671875,29,0,9,0.0,2018-07-03,0.3378329575061798,STANDARD,41
9,R_A3,1614.8603515625,286.92388916015625,286.92388916015625,29,0,10,0.0,2018-07-03,0.7975184321403503,STANDARD,41
10,R_A3,1617.14697265625,286.9596862792969,286.9596862792969,29,0,11,0.0,2018-07-03,0.7982103824615479,STANDARD,41
11,R_A3,1619.441650390625,285.7572326660156,285.7572326660156,29,0,12,0.0,2018-07-03,0.04933123290538788,STANDARD,41
12,R_A3,1621.7442626953125,285.91107177734375,285.91107177734375,29,0,13,0.0,2018-07-03,0.05632773041725159,STANDARD,41
13,R_A3,1624.046875,286.06634521484375,286.06634521484375,29,0,14,0.0,2018-07-03,0.3748529851436615,STANDARD,41
15,R_A3,1628.6522216796875,287.4313659667969,287.4313659667969,29,0,15,0.0,2018-07-03,0.4918005168437958,STANDARD,41
16,R_A3,1630.680419921875,287.5649719238281,287.5649719238281,29,0,16,0.0,2018-07-03,0.8026586174964905,STANDARD,41
29,R_A3,1633.5107421875,291.7272033691406,291.7272033691406,29,0,17,1.6125781062575374e-14,2018-07-03,1.0,STANDARD,41
30,R_A3,1637.1712646484375,286.23681640625,286.23681640625,29,0,18,0.0,2018-07-03,0.19239935278892517,STANDARD,41
31,R_A3,1640.831787109375,286.4815368652344,286.4815368652344,29,0,19,0.0,2018-07-03,0.1637754589319229,STANDARD,41
32,R_A3,1644.4923095703125,288.5545654296875,288.5545654296875,29,0,20,0.0,2018-07-03,0.9999978542327881,STANDARD,41
33,R_A3,1648.15283203125,286.8390197753906,286.8390197753906,29,0,21,0.0,2018-07-03,0.0659191906452179,STANDARD,41
1,R_A4,1626.171142578125,277.3288269042969,277.3288269042969,30,0,1,0.0,2018-09-12,0.6500721573829651,STANDARD,52
1,R_A4,1626.342529296875,277.31890869140625,277.31890869140625,31,0,2,0.0,2018-09-12,0.649821937084198,STANDARD,52
2,R_A4,1628.46826171875,277.4449768066406,277.4449768066406,31,0,3,0.0,2018-09-12,0.12535135447978973,STANDARD,52
3,R_A4,1630.593994140625,277.5865783691406,277.5865783691406,31,0,4,0.0,2018-09-12,0.07453343272209167,STANDARD,52
4,R_A4,1632.7197265625,277.7282409667969,277.7282409667969,31,0,5,0.0,2018-09-12,0.05556799843907356,STANDARD,52
4,R_A4,1634.3009033203125,277.98553466796875,277.98553466796875,32,0,6,0.0,2018-09-12,0.05659621208906174,STANDARD,52
4,R_A4,1634.273193359375,277.78564453125,277.78564453125,32,0,7,0.0,2018-09-12,0.0584455244243145,STANDARD,51
3,R_A4,1632.39599609375,277.6890869140625,277.6890869140625,32,0,8,0.0,2018-09-12,0.23996150493621826,STANDARD,51
3,R_A4,1635.5638427734375,278.010498046875,278.010498046875,33,0,9,0.0,2018-09-12,0.16916893422603607,STANDARD,51
4,R_A4,1637.467041015625,278.1297302246094,278.1297302246094,33,0,10,0.0,2018-09-12,0.06288549304008484,STANDARD,51
4,R_A4,1640.9534912109375,278.1165466308594,278.1165466308594,33,0,11,0.0,2018-09-12,0.06612638384103775,STANDARD,50
5,R_A4,1642.8704833984375,278.2442321777344,278.2442321777344,33,0,12,0.0,2018-09-12,0.06671374291181564,STANDARD,50
5,R_A4,1641.8577880859375,278.4051818847656,278.4051818847656,34,0,13,0.0,2018-09-12,0.06751950085163116,STANDARD,50
4,R_A4,1639.858154296875,278.27197265625,278.27197265625,34,0,14,0.0,2018-09-12,0.06528153270483017,STANDARD,50
4,R_A4,1643.57080078125,278.7300109863281,278.7300109863281,35,0,15,0.0,2018-09-12,0.06735515594482422,STANDARD,50
3,R_A4,1641.714111328125,278.6092224121094,278.6092224121094,35,0,16,0.0,2018-09-12,0.3341994881629944,STANDARD,50
2,R_A4,1639.857421875,278.4886779785156,278.4886779785156,35,0,17,0.0,2018-09-12,0.23297126591205597,STANDARD,50
2,R_A4,1640.8199462890625,278.3588562011719,278.3588562011719,35,0,18,0.0,2018-09-12,0.2390405535697937,STANDARD,49
1,R_A4,1639.0162353515625,278.2382507324219,278.2382507324219,35,0,19,0.0,2018-09-12,0.23586063086986542,STANDARD,49
32,R_A4,1644.259033203125,273.1471862792969,273.1471862792969,36,0,20,0.0,2018-09-12,0.11066420376300812,STANDARD,49
32,R_A4,1638.6328125,272.1637268066406,272.1637268066406,36,0,21,0.0,2018-09-12,0.16542091965675354,STANDARD,48
32,R_A4,1647.275390625,273.8278503417969,273.8278503417969,37,0,22,0.0,2018-09-12,0.39861640334129333,STANDARD,48
32,R_A4,1654.483642578125,278.0130310058594,278.0130310058594,38,0,23,0.0,2018-09-12,0.723527193069458,STANDARD,48
32,R_A4,1656.646728515625,274.12078857421875,274.12078857421875,38,0,24,0.0,2018-09-12,0.9999904632568359,STANDARD,47
1,R_A6,1695.5445556640625,277.4456481933594,277.4456481933594,17,0,1,5.713150408353162e-16,2018-11-07,1.0,STANDARD,42
2,R_A6,1697.097412109375,277.5912780761719,277.5912780761719,17,0,2,3.9202490037897855e-16,2018-11-07,1.0,STANDARD,42
3,R_A6,1698.650146484375,277.7335205078125,277.7335205078125,17,0,3,2.911889367308043e-16,2018-11-07,1.0,STANDARD,42
4,R_A6,1700.2030029296875,277.8714294433594,277.8714294433594,17,0,4,2.272111617961477e-16,2018-11-07,1.0,STANDARD,42
5,R_A6,1701.7557373046875,278.0081787109375,278.0081787109375,17,0,5,3.5097310448316407e-16,2018-11-07,1.0,STANDARD,42
6,R_A6,1703.30859375,277.8511047363281,277.8511047363281,17,0,6,1.4636246519774375e-14,2018-11-07,1.0,STANDARD,42
7,R_A6,1704.8614501953125,277.99810791015625,277.99810791015625,17,0,7,2.6765600776327766e-14,2018-11-07,1.0,STANDARD,42
8,R_A6,1706.4141845703125,278.1479187011719,278.1479187011719,17,0,8,1.8913632460334714e-14,2018-11-07,1.0,STANDARD,42
9,R_A6,1707.967041015625,278.605224609375,278.605224609375,17,0,9,1.694068329728324e-15,2018-11-07,1.0,STANDARD,42
10,R_A6,1709.519775390625,278.47491455078125,278.47491455078125,17,0,10,2.0886272244602204e-14,2018-11-07,1.0,STANDARD,42
