SWAT,CONJPOS,DATE,CONBPRES,WELLMODEL,SGAS,WELL,PRESSURE,DRAWDOWN,DEPTH,CONKPOS,CONIDX,CONIPOS
1.0,29,2018-01-01,303.87896728515625,STANDARD,0.0,R_A2,303.87896728515625,0,1682.1676025390625,29,23,22
1.0,29,2018-01-01,304.0485534667969,STANDARD,0.0,R_A2,304.0485534667969,0,1683.9573974609375,30,24,22
0.6481541991233826,41,2018-01-01,298.6163330078125,STANDARD,0.0,R_A3,298.6163330078125,0,1608.4224853515625,1,1,28
0.10912556946277618,41,2018-01-01,298.75030517578125,STANDARD,0.0,R_A3,298.75030517578125,0,1610.421875,2,2,28
0.11104869097471237,41,2018-01-01,298.8843078613281,STANDARD,0.0,R_A3,298.8843078613281,0,1612.42138671875,3,3,28
0.07511112093925476,41,2018-01-01,299.0183410644531,STANDARD,0.0,R_A3,299.0183410644531,0,1614.4207763671875,4,4,28
0.12915363907814026,41,2018-01-01,298.49578857421875,STANDARD,0.0,R_A3,298.49578857421875,0,1606.623779296875,4,5,29
0.6481541991233826,41,2018-01-01,298.6333312988281,STANDARD,0.0,R_A3,298.6333312988281,0,1608.676513671875,5,6,29
0.18191665410995483,41,2018-01-01,298.77093505859375,STANDARD,0.0,R_A3,298.77093505859375,0,1610.7293701171875,6,7,29
0.19395606219768524,41,2018-01-01,298.90850830078125,STANDARD,0.0,R_A3,298.90850830078125,0,1612.7821044921875,7,8,29
0.1959298700094223,41,2018-01-01,299.04608154296875,STANDARD,0.0,R_A3,299.04608154296875,0,1614.8349609375,8,9,29
0.7953058481216431,41,2018-01-01,299.1836853027344,STANDARD,0.0,R_A3,299.1836853027344,0,1616.8876953125,9,10,29
0.7905144095420837,41,2018-01-01,299.3212585449219,STANDARD,0.0,R_A3,299.3212585449219,0,1618.9404296875,10,11,29
0.04803190007805824,41,2018-01-01,299.4676513671875,STANDARD,0.0,R_A3,299.4676513671875,0,1621.124267578125,11,12,29
0.05477708950638771,41,2018-01-01,299.6228332519531,STANDARD,0.0,R_A3,299.6228332519531,0,1623.4393310546875,12,13,29
0.36178335547447205,41,2018-01-01,299.7780456542969,STANDARD,0.0,R_A3,299.7780456542969,0,1625.7542724609375,13,14,29
0.35506996512413025,41,2018-01-01,299.9332275390625,STANDARD,0.0,R_A3,299.9332275390625,0,1628.0693359375,14,15,29
0.4642152488231659,41,2018-01-01,300.08843994140625,STANDARD,0.0,R_A3,300.08843994140625,0,1630.3843994140625,15,16,29
0.7981674075126648,41,2018-01-01,300.20928955078125,STANDARD,0.0,R_A3,300.20928955078125,0,1632.18701171875,16,17,29
0.6481541991233826,41,2018-01-01,300.37005615234375,STANDARD,0.0,R_A3,300.37005615234375,0,1634.584716796875,26,18,29
0.04623653367161751,41,2018-01-01,300.60504150390625,STANDARD,0.0,R_A3,300.60504150390625,0,1638.0897216796875,27,19,29
0.05234863609075546,41,2018-01-01,300.840087890625,STANDARD,0.0,R_A3,300.840087890625,0,1641.5948486328125,28,20,29
1.0,41,2018-01-01,301.07513427734375,STANDARD,0.0,R_A3,301.07513427734375,0,1645.0999755859375,29,21,29
0.09041699022054672,41,2018-01-01,301.3101806640625,STANDARD,0.0,R_A3,301.3101806640625,0,1648.60498046875,30,22,29
0.048588573932647705,52,2018-01-01,300.197998046875,STANDARD,0.0,R_A4,300.197998046875,0,1632.018798828125,1,1,30
0.08389808237552643,52,2018-01-01,299.8918151855469,STANDARD,0.0,R_A4,299.8918151855469,0,1627.45166015625,1,2,31
0.04990089312195778,52,2018-01-01,300.0279846191406,STANDARD,0.0,R_A4,300.0279846191406,0,1629.4825439453125,2,3,31
0.05106038227677345,52,2018-01-01,300.16412353515625,STANDARD,0.0,R_A4,300.16412353515625,0,1631.513427734375,3,4,31
0.05297904461622238,52,2018-01-01,300.30029296875,STANDARD,0.0,R_A4,300.30029296875,0,1633.5443115234375,4,5,31
0.05431902036070824,52,2018-01-01,300.2601623535156,STANDARD,0.0,R_A4,300.2601623535156,0,1632.946044921875,4,6,32
0.057055313140153885,51,2018-01-01,300.4876403808594,STANDARD,0.0,R_A4,300.4876403808594,0,1636.3385009765625,4,7,32
0.05731121823191643,51,2018-01-01,300.519775390625,STANDARD,0.0,R_A4,300.519775390625,0,1636.818115234375,4,8,33
0.1068933755159378,51,2018-01-01,300.6444396972656,STANDARD,0.0,R_A4,300.6444396972656,0,1638.67724609375,5,9,33
0.058679692447185516,50,2018-01-01,300.9320983886719,STANDARD,0.0,R_A4,300.9320983886719,0,1642.967041015625,5,10,33
0.058823246508836746,50,2018-01-01,300.8424377441406,STANDARD,0.0,R_A4,300.8424377441406,0,1641.630126953125,5,11,34
0.06019863486289978,50,2018-01-01,300.7174987792969,STANDARD,0.0,R_A4,300.7174987792969,0,1639.7669677734375,4,12,34
0.06213231012225151,50,2018-01-01,300.7656555175781,STANDARD,0.0,R_A4,300.7656555175781,0,1640.485107421875,4,13,35
0.20011809468269348,50,2018-01-01,300.6451416015625,STANDARD,0.0,R_A4,300.6451416015625,0,1638.6878662109375,3,14,35
0.18113408982753754,49,2018-01-01,300.9440612792969,STANDARD,0.0,R_A4,300.9440612792969,0,1643.1455078125,3,15,35
0.2028094232082367,49,2018-01-01,301.02984619140625,STANDARD,0.0,R_A4,301.02984619140625,0,1644.424560546875,29,16,36
0.05449953302741051,48,2018-01-01,301.017333984375,STANDARD,0.0,R_A4,301.017333984375,0,1644.23828125,29,17,36
0.128330796957016,48,2018-01-01,301.3717956542969,STANDARD,0.0,R_A4,301.3717956542969,0,1649.52392578125,29,18,37
0.09140574932098389,48,2018-01-01,301.57403564453125,STANDARD,0.0,R_A4,301.57403564453125,0,1652.5396728515625,29,19,38
0.6481541991233826,47,2018-01-01,302.08251953125,STANDARD,0.0,R_A4,302.08251953125,0,1660.12060546875,29,20,38
1.0,20,2018-01-01,303.8533935546875,STANDARD,0.0,R_A5,303.8533935546875,0,1685.1248779296875,1,1,31
1.0,20,2018-01-01,304.0552978515625,STANDARD,0.0,R_A5,304.0552978515625,0,1687.25537109375,2,2,31
1.0,20,2018-01-01,304.2572021484375,STANDARD,0.0,R_A5,304.2572021484375,0,1689.3858642578125,3,3,31
1.0,20,2018-01-01,304.4590759277344,STANDARD,0.0,R_A5,304.4590759277344,0,1691.516357421875,4,4,31
1.0,20,2018-01-01,304.6609802246094,STANDARD,0.0,R_A5,304.6609802246094,0,1693.64697265625,5,5,31
1.0,20,2018-01-01,304.8628845214844,STANDARD,0.0,R_A5,304.8628845214844,0,1695.7774658203125,6,6,31
1.0,20,2018-01-01,305.3705749511719,STANDARD,0.0,R_A5,305.3705749511719,0,1697.907958984375,7,7,31
1.0,20,2018-01-01,305.5724792480469,STANDARD,0.0,R_A5,305.5724792480469,0,1700.0384521484375,8,8,31
1.0,21,2018-01-01,305.4193115234375,STANDARD,0.0,R_A5,305.4193115234375,0,1701.6475830078125,11,9,31
1.0,21,2018-01-01,305.6115417480469,STANDARD,0.0,R_A5,305.6115417480469,0,1703.67578125,12,10,31
