CONIDX,WELLMODEL,PRESSURE,DATE,CONBPRES,CONIPOS,CONJPOS,DRAWDOWN,SGAS,SWAT,CONKPOS,WELL,DEPTH
3,STANDARD,299.78497314453125,2018-01-01,299.78497314453125,31,52,0,0.0,0.04791053757071495,2,R_A4,1626.01025390625
4,STANDARD,299.92236328125,2018-01-01,299.92236328125,31,52,0,0.0,0.04836726561188698,3,R_A4,1628.06005859375
5,STANDARD,300.0597839355469,2018-01-01,300.0597839355469,31,52,0,0.0,0.050110332667827606,4,R_A4,1630.10986328125
6,STANDARD,300.1972351074219,2018-01-01,300.1972351074219,31,52,0,0.0,0.05239332094788551,5,R_A4,1632.1595458984375
7,STANDARD,300.33465576171875,2018-01-01,300.33465576171875,31,52,0,0.0,0.05404481291770935,6,R_A4,1634.2093505859375
8,STANDARD,300.1778259277344,2018-01-01,300.1778259277344,32,52,0,0.0,0.05377323180437088,6,R_A4,1631.8704833984375
9,STANDARD,300.3911437988281,2018-01-01,300.3911437988281,32,51,0,0.0,0.05360269173979759,6,R_A4,1635.052001953125
10,STANDARD,300.5638122558594,2018-01-01,300.5638122558594,33,51,0,0.0,0.05524323880672455,6,R_A4,1637.627197265625
11,STANDARD,300.4432373046875,2018-01-01,300.4432373046875,33,51,0,0.0,0.05638017877936363,5,R_A4,1635.8289794921875
12,STANDARD,300.8915100097656,2018-01-01,300.8915100097656,33,50,0,0.0,0.06170410290360451,5,R_A4,1642.514404296875
13,STANDARD,300.7872009277344,2018-01-01,300.7872009277344,34,50,0,0.0,0.05962229147553444,5,R_A4,1640.958984375
14,STANDARD,300.6669921875,2018-01-01,300.6669921875,34,50,0,0.0,0.07828998565673828,4,R_A4,1639.1661376953125
15,STANDARD,300.69476318359375,2018-01-01,300.69476318359375,35,50,0,0.0,0.09558592736721039,4,R_A4,1639.5804443359375
16,STANDARD,300.5801696777344,2018-01-01,300.5801696777344,35,50,0,0.0,0.11096446961164474,3,R_A4,1637.8712158203125
17,STANDARD,300.87548828125,2018-01-01,300.87548828125,35,49,0,0.0,0.10703600198030472,29,R_A4,1642.275390625
18,STANDARD,300.4776916503906,2018-01-01,300.4776916503906,35,49,0,0.0,0.05254737287759781,28,R_A4,1636.3426513671875
19,STANDARD,300.7868347167969,2018-01-01,300.7868347167969,36,49,0,0.0,0.18470147252082825,28,R_A4,1640.9532470703125
20,STANDARD,300.8531188964844,2018-01-01,300.8531188964844,36,48,0,0.0,0.05216659605503082,28,R_A4,1641.94189453125
21,STANDARD,301.2489929199219,2018-01-01,301.2489929199219,37,48,0,0.0,0.8296622633934021,28,R_A4,1647.84521484375
22,STANDARD,301.5868225097656,2018-01-01,301.5868225097656,38,48,0,0.0,0.6481541991233826,28,R_A4,1652.8828125
23,STANDARD,301.7734680175781,2018-01-01,301.7734680175781,38,47,0,0.0,0.09998131543397903,27,R_A4,1655.66552734375
1,STANDARD,303.8038024902344,2018-01-01,303.8038024902344,31,20,0,0.0,1.0,1,R_A5,1684.6015625
2,STANDARD,304.01025390625,2018-01-01,304.01025390625,31,20,0,0.0,1.0,2,R_A5,1686.780029296875
3,STANDARD,304.2166748046875,2018-01-01,304.2166748046875,31,20,0,0.0,1.0,3,R_A5,1688.95849609375
4,STANDARD,304.4231262207031,2018-01-01,304.4231262207031,31,20,0,0.0,1.0,4,R_A5,1691.1368408203125
5,STANDARD,304.62957763671875,2018-01-01,304.62957763671875,31,20,0,0.0,1.0,5,R_A5,1693.3153076171875
6,STANDARD,304.83599853515625,2018-01-01,304.83599853515625,31,20,0,0.0,1.0,6,R_A5,1695.4937744140625
7,STANDARD,305.3482360839844,2018-01-01,305.3482360839844,31,20,0,0.0,1.0,7,R_A5,1697.6722412109375
8,STANDARD,304.8207702636719,2018-01-01,304.8207702636719,31,21,0,0.0,1.0,7,R_A5,1692.1060791015625
9,STANDARD,304.740478515625,2018-01-01,304.740478515625,31,21,0,0.0,1.0,8,R_A5,1694.48583984375
10,STANDARD,305.27178955078125,2018-01-01,305.27178955078125,31,21,0,0.0,1.0,9,R_A5,1696.8656005859375
11,STANDARD,305.4007873535156,2018-01-01,305.4007873535156,31,21,0,0.0,1.0,11,R_A5,1701.4521484375
12,STANDARD,305.5935363769531,2018-01-01,305.5935363769531,31,21,0,0.0,1.0,12,R_A5,1703.4859619140625
13,STANDARD,305.7982482910156,2018-01-01,305.7982482910156,31,21,0,0.0,1.0,13,R_A5,1705.519775390625
14,STANDARD,305.9909973144531,2018-01-01,305.9909973144531,31,21,0,0.0,1.0,14,R_A5,1707.5535888671875
15,STANDARD,306.1837463378906,2018-01-01,306.1837463378906,31,21,0,0.0,1.0,15,R_A5,1709.58740234375
16,STANDARD,306.5215148925781,2018-01-01,306.5215148925781,31,21,0,0.0,1.0,16,R_A5,1711.6212158203125
17,STANDARD,306.7142639160156,2018-01-01,306.7142639160156,31,21,0,0.0,1.0,17,R_A5,1713.655029296875
18,STANDARD,306.8567810058594,2018-01-01,306.8567810058594,31,21,0,0.0,1.0,18,R_A5,1715.1590576171875
19,STANDARD,306.9158935546875,2018-01-01,306.9158935546875,31,21,0,0.0,1.0,19,R_A5,1715.7825927734375
20,STANDARD,306.87908935546875,2018-01-01,306.87908935546875,31,21,0,0.0,1.0,26,R_A5,1717.0517578125
21,STANDARD,307.0937805175781,2018-01-01,307.0937805175781,31,21,0,0.0,1.0,27,R_A5,1719.3172607421875
22,STANDARD,307.6142883300781,2018-01-01,307.6142883300781,31,21,0,0.0,1.0,28,R_A5,1721.582763671875
23,STANDARD,307.8290100097656,2018-01-01,307.8290100097656,31,21,0,0.0,1.0,29,R_A5,1723.8482666015625
24,STANDARD,308.0437316894531,2018-01-01,308.0437316894531,31,21,0,0.0,1.0,30,R_A5,1726.11376953125
1,STANDARD,305.03778076171875,2018-01-01,305.03778076171875,17,42,0,0.0,1.0,1,R_A6,1694.3963623046875
2,STANDARD,305.1830139160156,2018-01-01,305.1830139160156,17,42,0,0.0,1.0,2,R_A6,1695.928955078125
3,STANDARD,305.3282775878906,2018-01-01,305.3282775878906,17,42,0,0.0,1.0,3,R_A6,1697.4615478515625
4,STANDARD,305.4735107421875,2018-01-01,305.4735107421875,17,42,0,0.0,1.0,4,R_A6,1698.994140625
5,STANDARD,305.6187438964844,2018-01-01,305.6187438964844,17,42,0,0.0,1.0,5,R_A6,1700.526611328125
6,STANDARD,305.4649353027344,2018-01-01,305.4649353027344,17,42,0,0.0,1.0,6,R_A6,1702.0592041015625
7,STANDARD,305.61016845703125,2018-01-01,305.61016845703125,17,42,0,0.0,1.0,7,R_A6,1703.591796875
8,STANDARD,305.75543212890625,2018-01-01,305.75543212890625,17,42,0,0.0,1.0,8,R_A6,1705.1243896484375
9,STANDARD,306.19970703125,2018-01-01,306.19970703125,17,42,0,0.0,1.0,9,R_A6,1706.656982421875
10,STANDARD,306.0391540527344,2018-01-01,306.0391540527344,17,42,0,0.0,1.0,10,R_A6,1708.189453125
11,STANDARD,306.2214660644531,2018-01-01,306.2214660644531,17,42,0,0.0,1.0,11,R_A6,1710.11181640625
12,STANDARD,306.4405822753906,2018-01-01,306.4405822753906,17,42,0,0.0,1.0,12,R_A6,1712.423828125
13,STANDARD,306.6716613769531,2018-01-01,306.6716613769531,17,42,0,0.0,1.0,13,R_A6,1714.7357177734375
14,STANDARD,306.8907775878906,2018-01-01,306.8907775878906,17,42,0,0.0,1.0,14,R_A6,1717.0477294921875
15,STANDARD,307.1098937988281,2018-01-01,307.1098937988281,17,42,0,0.0,1.0,15,R_A6,1719.3597412109375
16,STANDARD,307.4740295410156,2018-01-01,307.4740295410156,17,42,0,0.0,1.0,16,R_A6,1721.6717529296875
17,STANDARD,307.6931457519531,2018-01-01,307.6931457519531,17,42,0,0.0,1.0,17,R_A6,1723.9837646484375
18,STANDARD,307.83154296875,2018-01-01,307.83154296875,17,42,0,0.0,1.0,18,R_A6,1725.4437255859375
19,STANDARD,307.7841796875,2018-01-01,307.7841796875,17,42,0,0.0,1.0,26,R_A6,1726.6015625
20,STANDARD,308.2518005371094,2018-01-01,308.2518005371094,17,42,0,0.0,1.0,27,R_A6,1728.3092041015625
21,STANDARD,308.41363525390625,2018-01-01,308.41363525390625,17,42,0,0.0,1.0,28,R_A6,1730.0167236328125
22,STANDARD,308.57550048828125,2018-01-01,308.57550048828125,17,42,0,0.0,1.0,29,R_A6,1731.724365234375
23,STANDARD,308.4315490722656,2018-01-01,308.4315490722656,17,42,0,0.0,1.0,30,R_A6,1733.431884765625
1,STANDARD,298.4483642578125,2018-03-01,298.4483642578125,22,30,0,0.0,0.05247852951288223,1,R_A2,1638.917724609375
2,STANDARD,298.5653991699219,2018-03-01,298.5653991699219,22,30,0,0.0,0.05345873907208443,2,R_A2,1640.6641845703125
3,STANDARD,298.6824035644531,2018-03-01,298.6824035644531,22,30,0,0.0,0.05570468679070473,3,R_A2,1642.4105224609375
4,STANDARD,298.7994384765625,2018-03-01,298.7994384765625,22,30,0,0.0,0.05968974530696869,4,R_A2,1644.1568603515625
5,STANDARD,298.91644287109375,2018-03-01,298.91644287109375,22,30,0,0.0,0.0628657266497612,5,R_A2,1645.9031982421875
6,STANDARD,299.0179443359375,2018-03-01,299.0179443359375,22,30,0,0.0,0.6488338112831116,6,R_A2,1647.649658203125
7,STANDARD,299.1520080566406,2018-03-01,299.1520080566406,22,30,0,0.0,0.8689432740211487,7,R_A2,1649.39599609375
8,STANDARD,299.2751159667969,2018-03-01,299.2751159667969,22,30,0,0.0,0.8515657186508179,8,R_A2,1651.142333984375
9,STANDARD,299.5728759765625,2018-03-01,299.5728759765625,22,30,0,0.0,0.8715096712112427,9,R_A2,1652.8887939453125
10,STANDARD,299.8577575683594,2018-03-01,299.8577575683594,22,30,0,0.0,0.8972364068031311,10,R_A2,1654.63525390625
11,STANDARD,299.8594665527344,2018-03-01,299.8594665527344,22,30,0,0.0,0.06559590995311737,11,R_A2,1656.5250244140625
12,STANDARD,300.5554504394531,2018-03-01,300.5554504394531,22,30,0,0.0,0.42231735587120056,13,R_A2,1660.591796875
13,STANDARD,300.6918640136719,2018-03-01,300.6918640136719,22,30,0,0.0,0.4586321711540222,14,R_A2,1662.6251220703125
14,STANDARD,300.8277893066406,2018-03-01,300.8277893066406,22,30,0,0.0,0.8828452825546265,15,R_A2,1664.658447265625
15,STANDARD,300.9635009765625,2018-03-01,300.9635009765625,22,30,0,0.0,0.8961101770401001,16,R_A2,1666.6917724609375
16,STANDARD,301.0996398925781,2018-03-01,301.0996398925781,22,30,0,0.0,0.8525631427764893,17,R_A2,1668.72509765625
17,STANDARD,301.4306945800781,2018-03-01,301.4306945800781,22,29,0,0.0,0.9462143778800964,17,R_A2,1674.4100341796875
18,STANDARD,301.541015625,2018-03-01,301.541015625,22,29,0,0.0,0.9794588685035706,18,R_A2,1676.0576171875
19,STANDARD,302.9973449707031,2018-03-01,302.9973449707031,22,29,0,-4.635691830401356e-10,1.0,26,R_A2,1677.5216064453125
20,STANDARD,302.97601318359375,2018-03-01,302.97601318359375,22,29,0,-4.67033721870529e-19,1.0,27,R_A2,1679.251953125
21,STANDARD,302.6750793457031,2018-03-01,302.6750793457031,22,29,0,0.0,0.8627029657363892,28,R_A2,1680.9822998046875
22,STANDARD,303.04449462890625,2018-03-01,303.04449462890625,22,29,0,-3.898186662354419e-09,0.9999999403953552,29,R_A2,1682.712646484375
23,STANDARD,303.1986389160156,2018-03-01,303.1986389160156,22,29,0,-4.498567296451483e-09,0.9999999403953552,30,R_A2,1684.44287109375
1,STANDARD,276.3005676269531,2018-04-28,276.3005676269531,31,20,0,-1.2808339944214708e-09,0.9999999403953552,1,R_A5,1684.6015625
2,STANDARD,276.5068359375,2018-04-28,276.5068359375,31,20,0,-1.1144128952977894e-09,0.9999999403953552,2,R_A5,1686.780029296875
3,STANDARD,276.7137145996094,2018-04-28,276.7137145996094,31,20,0,-9.84477388499272e-10,1.0,3,R_A5,1688.95849609375
4,STANDARD,276.92144775390625,2018-04-28,276.92144775390625,31,20,0,-1.2538075022661133e-09,0.9999999403953552,4,R_A5,1691.1368408203125
5,STANDARD,277.1295471191406,2018-04-28,277.1295471191406,31,20,0,-1.2258940529363826e-09,0.9999999403953552,5,R_A5,1693.3153076171875
6,STANDARD,277.3373107910156,2018-04-28,277.3373107910156,31,20,0,-1.0184310061944757e-09,1.0,6,R_A5,1695.4937744140625
7,STANDARD,277.9581604003906,2018-04-28,277.9581604003906,31,20,0,-3.217031675772919e-12,1.0,7,R_A5,1697.6722412109375
8,STANDARD,276.7106628417969,2018-04-28,276.7106628417969,31,21,0,-8.810494556144022e-09,0.9999997615814209,7,R_A5,1692.1060791015625
9,STANDARD,276.6054992675781,2018-04-28,276.6054992675781,31,21,0,-1.588963094434348e-08,0.9999995827674866,8,R_A5,1694.48583984375
10,STANDARD,277.1732482910156,2018-04-28,277.1732482910156,31,21,0,-1.1113027165166045e-10,1.0,9,R_A5,1696.8656005859375
11,STANDARD,276.2617492675781,2018-04-28,276.2617492675781,31,21,0,-2.1834471730652893e-10,1.0,11,R_A5,1701.4521484375
12,STANDARD,276.47198486328125,2018-04-28,276.47198486328125,31,21,0,-8.355018066286135e-11,1.0,12,R_A5,1703.4859619140625
13,STANDARD,276.67877197265625,2018-04-28,276.67877197265625,31,21,0,-8.299890288943068e-12,1.0,13,R_A5,1705.519775390625
14,STANDARD,276.87530517578125,2018-04-28,276.87530517578125,31,21,0,-2.2101006788566302e-11,1.0,14,R_A5,1707.5535888671875
15,STANDARD,277.0757751464844,2018-04-28,277.0757751464844,31,21,0,-5.3167192870517965e-11,1.0,15,R_A5,1709.58740234375
16,STANDARD,277.4387512207031,2018-04-28,277.4387512207031,31,21,0,-1.1677448938374191e-11,1.0,16,R_A5,1711.6212158203125
17,STANDARD,277.6581115722656,2018-04-28,277.6581115722656,31,21,0,-1.6923542428548544e-11,1.0,17,R_A5,1713.655029296875
18,STANDARD,277.804443359375,2018-04-28,277.804443359375,31,21,0,-6.371537412258599e-12,1.0,18,R_A5,1715.1590576171875
19,STANDARD,277.86395263671875,2018-04-28,277.86395263671875,31,21,0,0.0,1.0,19,R_A5,1715.7825927734375
20,STANDARD,282.5990905761719,2018-04-28,282.5990905761719,31,21,0,-1.6707578376351506e-10,1.0,26,R_A5,1717.0517578125
21,STANDARD,282.8089904785156,2018-04-28,282.8089904785156,31,21,0,-1.8120950573408123e-10,1.0,27,R_A5,1719.3172607421875
22,STANDARD,295.4311828613281,2018-04-28,295.4311828613281,31,21,0,-1.1433794179700993e-17,1.0,28,R_A5,1721.582763671875
23,STANDARD,304.0299072265625,2018-04-28,304.0299072265625,31,21,0,-2.853711074762004e-19,1.0,29,R_A5,1723.8482666015625
24,STANDARD,306.82208251953125,2018-04-28,306.82208251953125,31,21,0,-8.82878302111403e-21,1.0,30,R_A5,1726.11376953125
1,STANDARD,288.377685546875,2018-07-03,288.377685546875,28,41,0,0.0,0.6488285064697266,1,R_A3,1610.8865966796875
2,STANDARD,288.5125427246094,2018-07-03,288.5125427246094,28,41,0,0.0,0.11838585138320923,2,R_A3,1612.901123046875
3,STANDARD,287.7017517089844,2018-07-03,287.7017517089844,29,41,0,0.0,0.1426975131034851,2,R_A3,1601.8892822265625
4,STANDARD,287.841064453125,2018-07-03,287.841064453125,29,41,0,0.0,0.11838886886835098,3,R_A3,1603.973876953125
5,STANDARD,287.9804382324219,2018-07-03,287.9804382324219,29,41,0,0.0,0.16058844327926636,4,R_A3,1606.05859375
6,STANDARD,288.1301574707031,2018-07-03,288.1301574707031,29,41,0,0.0,0.6705385446548462,5,R_A3,1608.143310546875
7,STANDARD,288.2687683105469,2018-07-03,288.2687683105469,29,41,0,0.0,0.23128604888916016,6,R_A3,1610.2279052734375
8,STANDARD,288.4080810546875,2018-07-03,288.4080810546875,29,41,0,0.0,0.19459110498428345,7,R_A3,1612.3125
9,STANDARD,288.5475158691406,2018-07-03,288.5475158691406,29,41,0,0.0,0.1957673877477646,8,R_A3,1614.397216796875
10,STANDARD,288.7449645996094,2018-07-03,288.7449645996094,29,41,0,0.0,0.7980471253395081,9,R_A3,1616.48193359375
11,STANDARD,289.8336486816406,2018-07-03,289.8336486816406,29,41,0,0.0,0.7980908751487732,10,R_A3,1618.5665283203125
12,STANDARD,290.38421630859375,2018-07-03,290.38421630859375,29,41,0,0.0,0.04860692098736763,11,R_A3,1620.7506103515625
13,STANDARD,290.5369567871094,2018-07-03,290.5369567871094,29,41,0,0.0,0.05451647937297821,12,R_A3,1623.033935546875
14,STANDARD,290.6929626464844,2018-07-03,290.6929626464844,29,41,0,0.0,0.36646538972854614,13,R_A3,1625.3173828125
15,STANDARD,290.8477478027344,2018-07-03,290.8477478027344,29,41,0,0.0,0.1575777232646942,14,R_A3,1627.600830078125
16,STANDARD,291.01092529296875,2018-07-03,291.01092529296875,29,41,0,0.0,0.4930203855037689,15,R_A3,1629.88427734375
17,STANDARD,291.15411376953125,2018-07-03,291.15411376953125,29,41,0,0.0,0.8063690662384033,16,R_A3,1631.87109375
18,STANDARD,288.8144836425781,2018-07-03,288.8144836425781,29,41,0,-1.598129587649863e-13,1.0,26,R_A3,1634.62646484375
19,STANDARD,286.0682678222656,2018-07-03,286.0682678222656,29,41,0,0.0,0.04227110370993614,27,R_A3,1638.24267578125
20,STANDARD,286.3099670410156,2018-07-03,286.3099670410156,29,41,0,0.0,0.050402943044900894,28,R_A3,1641.8587646484375
21,STANDARD,286.5843200683594,2018-07-03,286.5843200683594,29,41,0,0.0,0.6491155624389648,29,R_A3,1645.474853515625
22,STANDARD,286.781005859375,2018-07-03,286.781005859375,29,41,0,0.0,0.062366146594285965,30,R_A3,1649.091064453125
1,STANDARD,277.2156982421875,2018-09-12,277.2156982421875,30,52,0,0.0,0.04848437011241913,1,R_A4,1628.1688232421875
2,STANDARD,277.09429931640625,2018-09-12,277.09429931640625,31,52,0,0.0,0.04651821777224541,1,R_A4,1623.96044921875
3,STANDARD,277.2309265136719,2018-09-12,277.2309265136719,31,52,0,0.0,0.048037994652986526,2,R_A4,1626.01025390625
4,STANDARD,277.3675231933594,2018-09-12,277.3675231933594,31,52,0,0.0,0.04849754273891449,3,R_A4,1628.06005859375
5,STANDARD,277.5040283203125,2018-09-12,277.5040283203125,31,52,0,0.0,0.05024297907948494,4,R_A4,1630.10986328125
6,STANDARD,277.64044189453125,2018-09-12,277.64044189453125,31,52,0,0.0,0.05252770334482193,5,R_A4,1632.1595458984375
7,STANDARD,277.77691650390625,2018-09-12,277.77691650390625,31,52,0,0.0,0.05418665334582329,6,R_A4,1634.2093505859375
8,STANDARD,277.7727966308594,2018-09-12,277.7727966308594,32,52,0,0.0,0.054131992161273956,6,R_A4,1631.8704833984375
9,STANDARD,277.72747802734375,2018-09-12,277.72747802734375,32,51,0,0.0,0.05391155928373337,6,R_A4,1635.052001953125
10,STANDARD,278.0628662109375,2018-09-12,278.0628662109375,33,51,0,0.0,0.05593091621994972,6,R_A4,1637.627197265625
11,STANDARD,277.94305419921875,2018-09-12,277.94305419921875,33,51,0,0.0,0.05694543942809105,5,R_A4,1635.8289794921875
12,STANDARD,278.08123779296875,2018-09-12,278.08123779296875,33,50,0,0.0,0.061869364231824875,5,R_A4,1642.514404296875
13,STANDARD,278.2586364746094,2018-09-12,278.2586364746094,34,50,0,0.0,0.05964530631899834,5,R_A4,1640.958984375
14,STANDARD,278.1391296386719,2018-09-12,278.1391296386719,34,50,0,0.0,0.07836455851793289,4,R_A4,1639.1661376953125
15,STANDARD,278.504150390625,2018-09-12,278.504150390625,35,50,0,0.0,0.09576720744371414,4,R_A4,1639.5804443359375
16,STANDARD,278.3905334472656,2018-09-12,278.3905334472656,35,50,0,0.0,0.11109958589076996,3,R_A4,1637.8712158203125
17,STANDARD,278.8041687011719,2018-09-12,278.8041687011719,35,49,0,0.0,0.10933021456003189,29,R_A4,1642.275390625
18,STANDARD,278.4065246582031,2018-09-12,278.4065246582031,35,49,0,0.0,0.054472316056489944,28,R_A4,1636.3426513671875
19,STANDARD,278.8351135253906,2018-09-12,278.8351135253906,36,49,0,0.0,0.1906084418296814,28,R_A4,1640.9532470703125
20,STANDARD,278.7679138183594,2018-09-12,278.7679138183594,36,48,0,0.0,0.055987391620874405,28,R_A4,1641.94189453125
21,STANDARD,281.9883117675781,2018-09-12,281.9883117675781,37,48,0,0.0,0.8286539316177368,28,R_A4,1647.84521484375
22,STANDARD,279.9623718261719,2018-09-12,279.9623718261719,38,48,0,0.0,0.653716504573822,28,R_A4,1652.8828125
23,STANDARD,279.9430847167969,2018-09-12,279.9430847167969,38,47,0,0.0,0.09891051799058914,27,R_A4,1655.66552734375
1,STANDARD,276.63336181640625,2018-11-07,276.63336181640625,17,42,0,2.4233353428863673e-14,1.0,1,R_A6,1694.3963623046875
2,STANDARD,276.77734375,2018-11-07,276.77734375,17,42,0,1.3188683306542773e-14,1.0,2,R_A6,1695.928955078125
3,STANDARD,276.9194641113281,2018-11-07,276.9194641113281,17,42,0,2.2600168874471922e-14,1.0,3,R_A6,1697.4615478515625
4,STANDARD,277.0597839355469,2018-11-07,277.0597839355469,17,42,0,1.7951082853799767e-14,1.0,4,R_A6,1698.994140625
5,STANDARD,277.19915771484375,2018-11-07,277.19915771484375,17,42,0,1.9441079876589967e-14,1.0,5,R_A6,1700.526611328125
6,STANDARD,277.04217529296875,2018-11-07,277.04217529296875,17,42,0,4.605302142239587e-13,1.0,6,R_A6,1702.0592041015625
7,STANDARD,277.1874694824219,2018-11-07,277.1874694824219,17,42,0,8.301092560732137e-13,1.0,7,R_A6,1703.591796875
