CONKPOS,SGAS,DATE,DRAWDOWN,SWAT,CONJPOS,CONIPOS,CONIDX,PRESSURE,DEPTH,CONBPRES,WELLMODEL,WELL
30,0.0,2018-01-01,0,1.0,29,22,24,303.9042053222656,1682.43408203125,303.9042053222656,STANDARD,R_A2
1,0.0,2018-01-01,0,0.6481541991233826,41,28,1,298.5973205566406,1609.1365966796875,298.5973205566406,STANDARD,R_A3
2,0.0,2018-01-01,0,0.1493128538131714,41,28,2,298.73291015625,1611.159912109375,298.73291015625,STANDARD,R_A3
3,0.0,2018-01-01,0,0.09389819949865341,41,28,3,298.8684997558594,1613.18310546875,298.8684997558594,STANDARD,R_A3
3,0.0,2018-01-01,0,0.11823459714651108,41,29,4,298.21014404296875,1603.359375,298.21014404296875,STANDARD,R_A3
4,0.0,2018-01-01,0,0.14331451058387756,41,29,5,298.3528747558594,1605.4892578125,298.3528747558594,STANDARD,R_A3
5,0.0,2018-01-01,0,0.6481541991233826,41,29,6,298.4956359863281,1607.619140625,298.4956359863281,STANDARD,R_A3
6,0.0,2018-01-01,0,0.1816471517086029,41,29,7,298.63836669921875,1609.7490234375,298.63836669921875,STANDARD,R_A3
7,0.0,2018-01-01,0,0.14919912815093994,41,29,8,298.7810974121094,1611.8790283203125,298.7810974121094,STANDARD,R_A3
8,0.0,2018-01-01,0,0.14459283649921417,41,29,9,298.9238586425781,1614.0089111328125,298.9238586425781,STANDARD,R_A3
9,0.0,2018-01-01,0,0.7936081886291504,41,29,10,299.0666198730469,1616.138916015625,299.0666198730469,STANDARD,R_A3
10,0.0,2018-01-01,0,0.8029918074607849,41,29,11,299.2093811035156,1618.268798828125,299.2093811035156,STANDARD,R_A3
11,0.0,2018-01-01,0,0.04853624477982521,41,29,12,299.35699462890625,1620.470947265625,299.35699462890625,STANDARD,R_A3
12,0.0,2018-01-01,0,0.05297602340579033,41,29,13,299.5094299316406,1622.7452392578125,299.5094299316406,STANDARD,R_A3
13,0.0,2018-01-01,0,0.36067745089530945,41,29,14,299.6618957519531,1625.01953125,299.6618957519531,STANDARD,R_A3
14,0.0,2018-01-01,0,0.18402792513370514,41,29,15,299.8143615722656,1627.2939453125,299.8143615722656,STANDARD,R_A3
15,0.0,2018-01-01,0,0.4965193271636963,41,29,16,299.9668273925781,1629.5682373046875,299.9668273925781,STANDARD,R_A3
16,0.0,2018-01-01,0,0.8010870814323425,41,29,17,300.1004333496094,1631.5611572265625,300.1004333496094,STANDARD,R_A3
26,0.0,2018-01-01,0,0.6769366264343262,41,29,18,300.28564453125,1634.323486328125,300.28564453125,STANDARD,R_A3
27,0.0,2018-01-01,0,0.04347534477710724,41,29,19,300.52752685546875,1637.93115234375,300.52752685546875,STANDARD,R_A3
28,0.0,2018-01-01,0,0.049477800726890564,41,29,20,300.7694396972656,1641.5389404296875,300.7694396972656,STANDARD,R_A3
29,0.0,2018-01-01,0,1.0,41,29,21,301.0113525390625,1645.1466064453125,301.0113525390625,STANDARD,R_A3
30,0.0,2018-01-01,0,0.061195261776447296,41,29,22,301.2532958984375,1648.75439453125,301.2532958984375,STANDARD,R_A3
1,0.0,2018-01-01,0,0.05160236358642578,52,30,1,300.154296875,1632.3646240234375,300.154296875,STANDARD,R_A4
1,0.0,2018-01-01,0,0.050154995173215866,52,31,2,299.74420166015625,1626.2474365234375,299.74420166015625,STANDARD,R_A4
2,0.0,2018-01-01,0,0.04985928535461426,52,31,3,299.8827819824219,1628.314453125,299.8827819824219,STANDARD,R_A4
3,0.0,2018-01-01,0,0.051058828830718994,52,31,4,300.0213317871094,1630.3814697265625,300.0213317871094,STANDARD,R_A4
4,0.0,2018-01-01,0,0.05301385745406151,52,31,5,300.159912109375,1632.4483642578125,300.159912109375,STANDARD,R_A4
5,0.0,2018-01-01,0,0.05396218225359917,52,31,6,300.2984924316406,1634.515380859375,300.2984924316406,STANDARD,R_A4
5,0.0,2018-01-01,0,0.05584806948900223,52,32,7,300.17108154296875,1632.614990234375,300.17108154296875,STANDARD,R_A4
5,0.0,2018-01-01,0,0.05725967139005661,51,32,8,300.46600341796875,1637.013916015625,300.46600341796875,STANDARD,R_A4
4,0.0,2018-01-01,0,0.05405852198600769,51,32,9,300.3451232910156,1635.2105712890625,300.3451232910156,STANDARD,R_A4
4,0.0,2018-01-01,0,0.05670741945505142,51,33,10,300.388427734375,1635.8564453125,300.388427734375,STANDARD,R_A4
5,0.0,2018-01-01,0,0.059362009167671204,51,33,11,300.51165771484375,1637.6943359375,300.51165771484375,STANDARD,R_A4
5,0.0,2018-01-01,0,0.0637631043791771,50,33,12,300.9066467285156,1643.58544921875,300.9066467285156,STANDARD,R_A4
5,0.0,2018-01-01,0,0.06295160204172134,50,34,13,300.774169921875,1641.6097412109375,300.774169921875,STANDARD,R_A4
4,0.0,2018-01-01,0,0.06090226769447327,50,34,14,300.6488952636719,1639.7415771484375,300.6488952636719,STANDARD,R_A4
4,0.0,2018-01-01,0,0.06026875227689743,50,35,15,300.66937255859375,1640.0465087890625,300.66937255859375,STANDARD,R_A4
3,0.0,2018-01-01,0,0.22466205060482025,50,35,16,300.5506591796875,1638.2760009765625,300.5506591796875,STANDARD,R_A4
3,0.0,2018-01-01,0,0.17733675241470337,49,35,17,300.91595458984375,1643.72412109375,300.91595458984375,STANDARD,R_A4
