CONJPOS,CONIPOS,SGAS,CONIDX,WELL,WELLMODEL,PRESSURE,DATE,SWAT,DEPTH,CONBPRES,DRAWDOWN,CONKPOS
41,28,0.0,6,R_A3,STANDARD,299.2299499511719,2018-01-01,0.2662692070007324,1619.565185546875,299.2299499511719,0,6
41,29,0.0,7,R_A3,STANDARD,298.54638671875,2018-01-01,0.6481541991233826,1609.3663330078125,298.54638671875,0,6
41,29,0.0,8,R_A3,STANDARD,298.68377685546875,2018-01-01,0.19361057877540588,1611.4163818359375,298.68377685546875,0,7
41,29,0.0,9,R_A3,STANDARD,298.8211669921875,2018-01-01,0.19695129990577698,1613.46630859375,298.8211669921875,0,8
41,29,0.0,10,R_A3,STANDARD,298.95855712890625,2018-01-01,0.7978300452232361,1615.516357421875,298.95855712890625,0,9
41,29,0.0,11,R_A3,STANDARD,299.095947265625,2018-01-01,0.8037355542182922,1617.5662841796875,299.095947265625,0,10
41,29,0.0,12,R_A3,STANDARD,299.24237060546875,2018-01-01,0.0496298223733902,1619.750732421875,299.24237060546875,0,11
41,29,0.0,13,R_A3,STANDARD,299.3978271484375,2018-01-01,0.053643446415662766,1622.0697021484375,299.3978271484375,0,12
41,29,0.0,14,R_A3,STANDARD,299.5532531738281,2018-01-01,0.37673479318618774,1624.388671875,299.5532531738281,0,13
41,29,0.0,15,R_A3,STANDARD,299.8641662597656,2018-01-01,0.5016454458236694,1629.026611328125,299.8641662597656,0,15
41,29,0.0,16,R_A3,STANDARD,299.992919921875,2018-01-01,0.8152031302452087,1630.9468994140625,299.992919921875,0,16
41,29,0.0,17,R_A3,STANDARD,300.16583251953125,2018-01-01,0.7525281310081482,1633.5262451171875,300.16583251953125,0,27
41,29,0.0,18,R_A3,STANDARD,300.40966796875,2018-01-01,0.04628218337893486,1637.1630859375,300.40966796875,0,28
41,29,0.0,19,R_A3,STANDARD,300.6535339355469,2018-01-01,0.05226979777216911,1640.8001708984375,300.6535339355469,0,29
41,29,0.0,20,R_A3,STANDARD,300.89739990234375,2018-01-01,0.8057911992073059,1644.4371337890625,300.89739990234375,0,30
41,29,0.0,21,R_A3,STANDARD,301.14129638671875,2018-01-01,0.13994601368904114,1648.0740966796875,301.14129638671875,0,31
52,30,0.0,1,R_A4,STANDARD,300.009033203125,2018-01-01,0.05151934176683426,1631.1873779296875,300.009033203125,0,1
52,31,0.0,2,R_A4,STANDARD,299.7571105957031,2018-01-01,0.04863721504807472,1627.4293212890625,299.7571105957031,0,1
52,31,0.0,3,R_A4,STANDARD,299.89520263671875,2018-01-01,0.0520753338932991,1629.4896240234375,299.89520263671875,0,2
52,31,0.0,4,R_A4,STANDARD,300.0333251953125,2018-01-01,0.05323897302150726,1631.5498046875,300.0333251953125,0,3
52,31,0.0,5,R_A4,STANDARD,300.17144775390625,2018-01-01,0.0529385581612587,1633.610107421875,300.17144775390625,0,4
52,32,0.0,6,R_A4,STANDARD,300.0901184082031,2018-01-01,0.056289657950401306,1632.3968505859375,300.0901184082031,0,4
51,32,0.0,7,R_A4,STANDARD,300.3236999511719,2018-01-01,0.057290755212306976,1635.880615234375,300.3236999511719,0,4
51,33,0.0,8,R_A4,STANDARD,300.4202575683594,2018-01-01,0.05848418176174164,1637.321044921875,300.4202575683594,0,4
