DATE,CONKPOS,DEPTH,SGAS,SWAT,DRAWDOWN,CONIPOS,CONJPOS,CONBPRES,WELLMODEL,WELL,CONIDX,PRESSURE
2018-04-28,3,1690.0667724609375,-1.5431710354008032e-09,1.0,0,31,20,283.78082275390625,STANDARD,R_A5,3,283.78082275390625
2018-04-28,4,1692.197265625,-1.5698514710393852e-09,1.0,0,31,20,283.9820251464844,STANDARD,R_A5,4,283.9820251464844
2018-04-28,5,1694.3277587890625,-1.3716094926508049e-09,1.0,0,31,20,284.1830139160156,STANDARD,R_A5,5,284.1830139160156
2018-04-28,6,1696.458251953125,-1.2301458740537896e-09,1.0,0,31,20,284.3841247558594,STANDARD,R_A5,6,284.3841247558594
2018-04-28,7,1698.588623046875,-5.317260520776301e-12,1.0,0,31,20,284.877685546875,STANDARD,R_A5,7,284.877685546875
2018-04-28,11,1700.3802490234375,-6.174960542892904e-11,1.0,0,31,21,279.1401672363281,STANDARD,R_A5,8,279.1401672363281
2018-04-28,12,1702.43115234375,-4.703382822102142e-11,1.0,0,31,21,279.3775634765625,STANDARD,R_A5,9,279.3775634765625
2018-04-28,13,1704.482177734375,-2.026087414161437e-12,1.0,0,31,21,279.5833740234375,STANDARD,R_A5,10,279.5833740234375
2018-04-28,14,1706.5330810546875,-2.1200855741115854e-12,1.0,0,31,21,279.7772521972656,STANDARD,R_A5,11,279.7772521972656
2018-04-28,15,1708.5841064453125,-8.224361404580993e-13,1.0,0,31,21,279.97235107421875,STANDARD,R_A5,12,279.97235107421875
2018-04-28,16,1710.635009765625,-1.1304425819903818e-13,1.0,0,31,21,280.3172302246094,STANDARD,R_A5,13,280.3172302246094
2018-04-28,17,1712.6859130859375,-2.0036462723346804e-13,1.0,0,31,21,280.5176086425781,STANDARD,R_A5,14,280.5176086425781
2018-04-28,18,1714.002197265625,-2.9849369910473975e-14,1.0,0,31,21,280.64373779296875,STANDARD,R_A5,15,280.64373779296875
2018-04-28,19,1714.46484375,0.0,1.0,0,31,21,280.6882629394531,STANDARD,R_A5,16,280.6882629394531
2018-04-28,26,1715.759765625,-3.604956299294894e-14,1.0,0,31,21,283.06353759765625,STANDARD,R_A5,17,283.06353759765625
2018-04-28,27,1718.005859375,-5.0332777191736035e-15,1.0,0,31,21,283.2118835449219,STANDARD,R_A5,18,283.2118835449219
2018-04-28,28,1720.251953125,-1.4150229974072115e-21,1.0,0,31,21,295.5958557128906,STANDARD,R_A5,19,295.5958557128906
2018-04-28,29,1722.498046875,-6.881857822991097e-23,1.0,0,31,21,303.1054382324219,STANDARD,R_A5,20,303.1054382324219
2018-04-28,30,1724.744140625,-9.371928247902893e-26,1.0,0,31,21,306.770751953125,STANDARD,R_A5,21,306.770751953125
2018-07-03,1,1609.393310546875,0.0,0.6503940224647522,0,28,41,272.9972229003906,STANDARD,R_A3,1,272.9972229003906
2018-07-03,2,1611.381591796875,0.0,0.11862898617982864,0,28,41,273.1283874511719,STANDARD,R_A3,2,273.1283874511719
2018-07-03,3,1613.369873046875,0.0,0.11871764063835144,0,28,41,273.2607727050781,STANDARD,R_A3,3,273.2607727050781
2018-07-03,3,1604.89501953125,0.0,0.1186443567276001,0,29,41,272.6929626464844,STANDARD,R_A3,4,272.6929626464844
2018-07-03,4,1606.9197998046875,0.0,0.11784739792346954,0,29,41,272.82781982421875,STANDARD,R_A3,5,272.82781982421875
2018-07-03,5,1608.9447021484375,0.0,0.6500175595283508,0,29,41,272.9627990722656,STANDARD,R_A3,6,272.9627990722656
2018-07-03,6,1610.969482421875,0.0,0.17720021307468414,0,29,41,273.0977783203125,STANDARD,R_A3,7,273.0977783203125
2018-07-03,7,1612.994384765625,0.0,0.19492889940738678,0,29,41,273.23272705078125,STANDARD,R_A3,8,273.23272705078125
2018-07-03,8,1615.0191650390625,0.0,0.23594485223293304,0,29,41,273.36773681640625,STANDARD,R_A3,9,273.36773681640625
2018-07-03,9,1617.0439453125,0.0,0.7959615588188171,0,29,41,273.6233215332031,STANDARD,R_A3,10,273.6233215332031
2018-07-03,10,1619.06884765625,0.0,0.7962820529937744,0,29,41,277.827880859375,STANDARD,R_A3,11,277.827880859375
2018-07-03,11,1621.228271484375,0.0,0.04913845285773277,0,29,41,297.6748046875,STANDARD,R_A3,12,297.6748046875
2018-07-03,12,1623.5224609375,0.0,0.054010868072509766,0,29,41,297.8285217285156,STANDARD,R_A3,13,297.8285217285156
2018-07-03,13,1625.8165283203125,0.0,0.3678114712238312,0,29,41,297.982421875,STANDARD,R_A3,14,297.982421875
2018-07-03,14,1628.1107177734375,0.0,0.058736301958560944,0,29,41,298.2877502441406,STANDARD,R_A3,15,298.2877502441406
2018-07-03,15,1630.40478515625,0.0,0.41709187626838684,0,29,41,297.8449401855469,STANDARD,R_A3,16,297.8449401855469
2018-07-03,16,1632.165283203125,0.0,0.8022969961166382,0,29,41,297.953125,STANDARD,R_A3,17,297.953125
2018-07-03,26,1634.5142822265625,0.0,0.3612573742866516,0,29,41,285.8662414550781,STANDARD,R_A3,18,285.8662414550781
2018-07-03,27,1637.9853515625,0.0,0.04494958370923996,0,29,41,286.07940673828125,STANDARD,R_A3,19,286.07940673828125
2018-07-03,28,1641.456298828125,0.0,0.05127383768558502,0,29,41,286.3113098144531,STANDARD,R_A3,20,286.3113098144531
2018-07-03,29,1644.92724609375,0.0,0.6495172381401062,0,29,41,286.5076599121094,STANDARD,R_A3,21,286.5076599121094
2018-07-03,30,1648.3983154296875,0.0,0.05878554657101631,0,29,41,286.6796569824219,STANDARD,R_A3,22,286.6796569824219
