PROPERTY,ZONE,REGION,FACIES,Avg,Avg_Weighted,Max,Min,P10,P90,Stddev,SOURCE,ID,REAL,ENSEMBLE
SW,LowerReek,Stormlands,Crevasse,0.12643807,,0.27903557,0.044986703,0.08192426,0.18241605,0.038409457,geogrid,geogrid,6,iter-0
PERM,LowerReek,Vale,Background,20.416569,,100.0,0.10062486,1.7025235,57.32667,26.106924,geogrid,geogrid,6,iter-0
PORO,LowerReek,Vale,Background,0.11354952,,0.2806539,0.0,0.042060167,0.1861958,0.054603573,geogrid,geogrid,6,iter-0
SW,LowerReek,Vale,Background,0.68595743,,1.0,0.0,0.18682459,1.0,0.36466205,geogrid,geogrid,6,iter-0
PERM,LowerReek,Vale,Channel,3271.6545,,10000.0,56.570553,584.5288,8784.311,2898.8887,geogrid,geogrid,6,iter-0
PORO,LowerReek,Vale,Channel,0.25567365,,0.41063052,0.10698594,0.19702229,0.31501767,0.045711458,geogrid,geogrid,6,iter-0
SW,LowerReek,Vale,Channel,0.6736492,,1.0,0.020553054,0.032902434,1.0,0.4548438,geogrid,geogrid,6,iter-0
PERM,LowerReek,Vale,Crevasse,206.7079,,1000.0,6.1018963,26.543865,569.3208,239.49199,geogrid,geogrid,6,iter-0
PORO,LowerReek,Vale,Crevasse,0.21169926,,0.3547957,0.07325816,0.15050164,0.2796564,0.050984696,geogrid,geogrid,6,iter-0
SW,LowerReek,Vale,Crevasse,0.64399564,,1.0,0.059011433,0.0971369,1.0,0.43141946,geogrid,geogrid,6,iter-0
PERM,LowerReek,Westerlands,Background,12.632542,,100.0,0.14485589,1.883856,29.505531,15.693092,geogrid,geogrid,6,iter-0
PORO,LowerReek,Westerlands,Background,0.102235034,,0.29146725,0.0,0.041408308,0.16469717,0.0475255,geogrid,geogrid,6,iter-0
SW,LowerReek,Westerlands,Background,0.98790914,,1.0,0.0,1.0,1.0,0.07266525,geogrid,geogrid,6,iter-0
PERM,LowerReek,Westerlands,Channel,3103.1768,,10000.0,20.327648,465.74384,8505.393,2917.2659,geogrid,geogrid,6,iter-0
PORO,LowerReek,Westerlands,Channel,0.25093386,,0.46143922,0.03656362,0.18894738,0.3138837,0.048593387,geogrid,geogrid,6,iter-0
SW,LowerReek,Westerlands,Channel,0.9686094,,1.0,0.028850554,1.0,1.0,0.16686197,geogrid,geogrid,6,iter-0
PERM,LowerReek,Westerlands,Crevasse,170.70956,,1000.0,0.6872267,21.018866,419.58392,204.48471,geogrid,geogrid,6,iter-0
PORO,LowerReek,Westerlands,Crevasse,0.1999948,,0.39448488,0.0031417608,0.13443056,0.26442355,0.050588463,geogrid,geogrid,6,iter-0
SW,LowerReek,Westerlands,Crevasse,0.97320616,,1.0,0.07995212,1.0,1.0,0.1414524,geogrid,geogrid,6,iter-0
PERM,MidReek,Dorne,Background,12.045711,,100.0,0.080209486,1.5064323,28.415148,16.295591,geogrid,geogrid,6,iter-0
PORO,MidReek,Dorne,Background,0.0992969,,0.28765398,0.0,0.0314413,0.1681522,0.05173557,geogrid,geogrid,6,iter-0
SW,MidReek,Dorne,Background,0.9933116,,1.0,0.0,1.0,1.0,0.057735465,geogrid,geogrid,6,iter-0
PERM,MidReek,Dorne,Channel,2613.4077,,10000.0,6.5452876,366.52576,6722.6064,2644.2637,geogrid,geogrid,6,iter-0
PORO,MidReek,Dorne,Channel,0.24147081,,0.4357675,0.03124708,0.17769352,0.3054863,0.050010126,geogrid,geogrid,6,iter-0
SW,MidReek,Dorne,Channel,0.88436437,,1.0,0.037894208,0.20413113,1.0,0.28929186,geogrid,geogrid,6,iter-0
PERM,MidReek,Dorne,Crevasse,174.57758,,1000.0,0.75289553,19.608732,424.01282,211.7382,geogrid,geogrid,6,iter-0
PORO,MidReek,Dorne,Crevasse,0.19868343,,0.3667691,0.0,0.13271716,0.26469678,0.051680867,geogrid,geogrid,6,iter-0
SW,MidReek,Dorne,Crevasse,0.93592715,,1.0,0.0,0.87080723,1.0,0.19989052,geogrid,geogrid,6,iter-0
PERM,MidReek,IronIslands,Background,12.452818,,100.0,0.0548268,1.7294961,28.984072,15.84619,geogrid,geogrid,6,iter-0
PORO,MidReek,IronIslands,Background,0.11222375,,0.30720872,0.0,0.050795063,0.17583781,0.047735147,geogrid,geogrid,6,iter-0
SW,MidReek,IronIslands,Background,0.71548814,,1.0,0.0,0.25101864,1.0,0.32961738,geogrid,geogrid,6,iter-0
PERM,MidReek,IronIslands,Channel,2906.8203,,10000.0,6.4054313,421.77307,7812.8105,2802.749,geogrid,geogrid,6,iter-0
PORO,MidReek,IronIslands,Channel,0.24635407,,0.42824215,0.071426645,0.1843585,0.3072824,0.04872259,geogrid,geogrid,6,iter-0
SW,MidReek,IronIslands,Channel,0.15684283,,1.0,0.017655877,0.028646648,1.0,0.2895391,geogrid,geogrid,6,iter-0
PERM,MidReek,IronIslands,Crevasse,165.20476,,1000.0,2.9438486,19.736595,404.35535,198.37163,geogrid,geogrid,6,iter-0
PORO,MidReek,IronIslands,Crevasse,0.19735578,,0.3463056,0.03819211,0.12968059,0.2610013,0.050236113,geogrid,geogrid,6,iter-0
SW,MidReek,IronIslands,Crevasse,0.24601404,,1.0,0.04821704,0.08109498,1.0,0.27125055,geogrid,geogrid,6,iter-0
PERM,MidReek,North,Background,11.730997,,100.0,0.082199745,1.4664363,28.487701,15.137902,geogrid,geogrid,6,iter-0
PORO,MidReek,North,Background,0.10318262,,0.2727635,0.0,0.037926693,0.1667641,0.04903203,geogrid,geogrid,6,iter-0
SW,MidReek,North,Background,0.9950811,,1.0,0.0,1.0,1.0,0.055791903,geogrid,geogrid,6,iter-0
PERM,MidReek,North,Channel,3068.3772,,10000.0,21.843342,451.6332,8436.616,2915.9329,geogrid,geogrid,6,iter-0
PORO,MidReek,North,Channel,0.24895616,,0.43688363,0.049129784,0.18462595,0.31315118,0.050057933,geogrid,geogrid,6,iter-0
SW,MidReek,North,Channel,0.9870133,,1.0,0.022246918,1.0,1.0,0.11074342,geogrid,geogrid,6,iter-0
PERM,MidReek,North,Crevasse,194.45741,,1000.0,2.1994448,24.761694,480.53534,220.74869,geogrid,geogrid,6,iter-0
PORO,MidReek,North,Crevasse,0.20377271,,0.3643481,0.0,0.13889462,0.26784322,0.04999181,geogrid,geogrid,6,iter-0
SW,MidReek,North,Crevasse,0.9885367,,1.0,0.059366405,1.0,1.0,0.09891493,geogrid,geogrid,6,iter-0
PERM,MidReek,Reach,Background,11.218917,,100.0,0.076800615,1.4267588,26.173553,15.090193,geogrid,geogrid,6,iter-0
PORO,MidReek,Reach,Background,0.10365838,,0.28026652,0.0,0.044991568,0.1631574,0.045574885,geogrid,geogrid,6,iter-0
SW,MidReek,Reach,Background,0.76388985,,1.0,0.0,0.36744544,1.0,0.27677178,geogrid,geogrid,6,iter-0
PERM,MidReek,Reach,Channel,2904.0051,,10000.0,19.131271,405.0391,8025.4824,2863.0884,geogrid,geogrid,6,iter-0
PORO,MidReek,Reach,Channel,0.24788707,,0.49466872,0.061587423,0.18232466,0.3140911,0.051203333,geogrid,geogrid,6,iter-0
SW,MidReek,Reach,Channel,0.4155661,,1.0,0.02228765,0.041616756,1.0,0.44495085,geogrid,geogrid,6,iter-0
PERM,MidReek,Reach,Crevasse,197.52711,,1000.0,1.3105208,23.897728,501.21457,235.87584,geogrid,geogrid,6,iter-0
PORO,MidReek,Reach,Crevasse,0.2060495,,0.4050843,0.0,0.14199343,0.2733228,0.050828334,geogrid,geogrid,6,iter-0
SW,MidReek,Reach,Crevasse,0.49576533,,1.0,0.0,0.11540444,1.0,0.3957601,geogrid,geogrid,6,iter-0
PERM,MidReek,Stormlands,Background,19.513037,,100.0,0.28321907,2.3004663,52.05491,22.33418,geogrid,geogrid,6,iter-0
PORO,MidReek,Stormlands,Background,0.121893264,,0.30220956,0.0,0.05921488,0.18117648,0.04763962,geogrid,geogrid,6,iter-0
SW,MidReek,Stormlands,Background,0.23327202,,0.47705117,0.0,0.15161176,0.32324436,0.067332625,geogrid,geogrid,6,iter-0
PERM,MidReek,Stormlands,Channel,2682.576,,10000.0,104.36336,412.03424,6701.8535,2674.4663,geogrid,geogrid,6,iter-0
PORO,MidReek,Stormlands,Channel,0.24354997,,0.4280903,0.086018965,0.18116769,0.30763882,0.04987277,geogrid,geogrid,6,iter-0
SW,MidReek,Stormlands,Channel,0.036235083,,0.09633264,0.017155888,0.022523355,0.05152478,0.01215526,geogrid,geogrid,6,iter-0
PERM,MidReek,Stormlands,Crevasse,167.52821,,1000.0,8.2499275,26.185223,465.50485,210.17178,geogrid,geogrid,6,iter-0
PORO,MidReek,Stormlands,Crevasse,0.2044973,,0.31590012,0.10638976,0.14826927,0.2659025,0.044919014,geogrid,geogrid,6,iter-0
SW,MidReek,Stormlands,Crevasse,0.11521211,,0.2507145,0.0417536,0.06234118,0.17684813,0.043640036,geogrid,geogrid,6,iter-0
PERM,MidReek,Vale,Background,12.706857,,100.0,0.08444791,1.6354977,30.510431,15.246108,geogrid,geogrid,6,iter-0
PORO,MidReek,Vale,Background,0.106267825,,0.25555235,0.0,0.045214716,0.16660972,0.047006484,geogrid,geogrid,6,iter-0
SW,MidReek,Vale,Background,0.662111,,1.0,0.0,0.20190495,1.0,0.37097,geogrid,geogrid,6,iter-0
PERM,MidReek,Vale,Channel,3431.6675,,10000.0,39.368443,551.1087,9575.542,3002.7349,geogrid,geogrid,6,iter-0
PORO,MidReek,Vale,Channel,0.255085,,0.42995387,0.07033126,0.19330758,0.31723392,0.048230834,geogrid,geogrid,6,iter-0
SW,MidReek,Vale,Channel,0.5750181,,1.0,0.018416258,0.02954208,1.0,0.46700227,geogrid,geogrid,6,iter-0
PERM,MidReek,Vale,Crevasse,151.66246,,1000.0,3.2284799,22.025913,340.5485,171.00107,geogrid,geogrid,6,iter-0
PORO,MidReek,Vale,Crevasse,0.20316651,,0.35879162,0.047401845,0.14225744,0.25896275,0.045770515,geogrid,geogrid,6,iter-0
SW,MidReek,Vale,Crevasse,0.5565671,,1.0,0.046999168,0.08168575,1.0,0.43291977,geogrid,geogrid,6,iter-0
PERM,MidReek,Westerlands,Background,9.961356,,100.0,0.12714377,1.4115423,22.66631,13.207835,geogrid,geogrid,6,iter-0
PORO,MidReek,Westerlands,Background,0.09731799,,0.27132052,0.0,0.037016995,0.15834096,0.04618021,geogrid,geogrid,6,iter-0
SW,MidReek,Westerlands,Background,0.9898636,,1.0,0.0,1.0,1.0,0.07707561,geogrid,geogrid,6,iter-0
PERM,MidReek,Westerlands,Channel,3342.8447,,10000.0,21.085688,510.80023,9244.44,2996.0183,geogrid,geogrid,6,iter-0
PORO,MidReek,Westerlands,Channel,0.25598767,,0.4659533,0.052917346,0.19365251,0.31770167,0.048411056,geogrid,geogrid,6,iter-0
SW,MidReek,Westerlands,Channel,0.92813843,,1.0,0.02669296,1.0,1.0,0.2442796,geogrid,geogrid,6,iter-0
PERM,MidReek,Westerlands,Crevasse,184.18909,,1000.0,2.619609,24.238815,443.95184,208.42827,geogrid,geogrid,6,iter-0
PORO,MidReek,Westerlands,Crevasse,0.20341633,,0.35400707,0.036802843,0.13922146,0.2665412,0.049512245,geogrid,geogrid,6,iter-0
SW,MidReek,Westerlands,Crevasse,0.93479306,,1.0,0.072465986,1.0,1.0,0.21577746,geogrid,geogrid,6,iter-0
PERM,UpperReek,Dorne,Background,9.305403,,100.0,0.07536829,1.093064,21.872795,12.58155,geogrid,geogrid,6,iter-0
PORO,UpperReek,Dorne,Background,0.098069586,,0.30285665,0.0,0.03286331,0.15910876,0.047865618,geogrid,geogrid,6,iter-0
SW,UpperReek,Dorne,Background,0.9668009,,1.0,0.0,1.0,1.0,0.12050706,geogrid,geogrid,6,iter-0
PERM,UpperReek,Dorne,Channel,2859.483,,10000.0,43.653698,455.6357,7571.6562,2765.145,geogrid,geogrid,6,iter-0
PORO,UpperReek,Dorne,Channel,0.24763374,,0.427167,0.06969084,0.18614733,0.3102427,0.047999576,geogrid,geogrid,6,iter-0
SW,UpperReek,Dorne,Channel,0.7299675,,1.0,0.03474058,0.0815845,1.0,0.40249833,geogrid,geogrid,6,iter-0
PERM,UpperReek,Dorne,Crevasse,167.98361,,1000.0,3.8089066,19.889675,410.79074,203.49347,geogrid,geogrid,6,iter-0
PORO,UpperReek,Dorne,Crevasse,0.1970422,,0.38221255,0.06015931,0.13128318,0.26677892,0.053223018,geogrid,geogrid,6,iter-0
SW,UpperReek,Dorne,Crevasse,0.78017724,,1.0,0.09181774,0.19446668,1.0,0.3461964,geogrid,geogrid,6,iter-0
PERM,UpperReek,IronIslands,Background,21.71457,,100.0,0.078706324,2.1388881,58.5014,25.398643,geogrid,geogrid,6,iter-0
PORO,UpperReek,IronIslands,Background,0.12100039,,0.33042237,0.0,0.059263,0.18321246,0.048512302,geogrid,geogrid,6,iter-0
SW,UpperReek,IronIslands,Background,0.53873426,,1.0,0.0,0.19160536,1.0,0.33918196,geogrid,geogrid,6,iter-0
PERM,UpperReek,IronIslands,Channel,2834.4055,,10000.0,17.775595,351.71713,7988.9194,2867.979,geogrid,geogrid,6,iter-0
PORO,UpperReek,IronIslands,Channel,0.24494043,,0.40279257,0.025394231,0.17777513,0.31054056,0.051492322,geogrid,geogrid,6,iter-0
SW,UpperReek,IronIslands,Channel,0.10731285,,1.0,0.016391503,0.024290144,0.14357777,0.21383172,geogrid,geogrid,6,iter-0
PERM,UpperReek,IronIslands,Crevasse,161.41467,,1000.0,2.2722728,20.63158,395.81564,197.15918,geogrid,geogrid,6,iter-0
PORO,UpperReek,IronIslands,Crevasse,0.19793844,,0.38299257,0.02177988,0.1326159,0.2623737,0.04972105,geogrid,geogrid,6,iter-0
SW,UpperReek,IronIslands,Crevasse,0.16274986,,1.0,0.04180944,0.07066714,0.2620504,0.15260416,geogrid,geogrid,6,iter-0
PERM,UpperReek,North,Background,11.413081,,100.0,0.070382476,1.3514724,27.045267,15.87218,geogrid,geogrid,6,iter-0
PORO,UpperReek,North,Background,0.10129085,,0.3104347,0.0,0.03489262,0.16697367,0.0506271,geogrid,geogrid,6,iter-0
SW,UpperReek,North,Background,0.9937382,,1.0,0.0,1.0,1.0,0.067666315,geogrid,geogrid,6,iter-0
PERM,UpperReek,North,Channel,2940.9216,,10000.0,25.145357,430.83362,7964.934,2859.256,geogrid,geogrid,6,iter-0
PORO,UpperReek,North,Channel,0.24400216,,0.4159475,0.043879718,0.1786026,0.31059745,0.05130927,geogrid,geogrid,6,iter-0
SW,UpperReek,North,Channel,0.97964555,,1.0,0.02082408,1.0,1.0,0.13645166,geogrid,geogrid,6,iter-0
PERM,UpperReek,North,Crevasse,176.58879,,1000.0,3.5402508,21.983742,437.33,208.49294,geogrid,geogrid,6,iter-0
PORO,UpperReek,North,Crevasse,0.20265001,,0.38844794,0.04414749,0.13763529,0.26398182,0.050211776,geogrid,geogrid,6,iter-0
SW,UpperReek,North,Crevasse,0.9863107,,1.0,0.04818449,1.0,1.0,0.11088714,geogrid,geogrid,6,iter-0
PERM,UpperReek,Reach,Background,11.660367,,100.0,0.08037377,1.3095284,27.369198,16.088655,geogrid,geogrid,6,iter-0
PORO,UpperReek,Reach,Background,0.10912483,,0.30805784,0.0,0.042051643,0.17339058,0.0501556,geogrid,geogrid,6,iter-0
SW,UpperReek,Reach,Background,0.69531435,,1.0,0.0,0.28300205,1.0,0.31760693,geogrid,geogrid,6,iter-0
PERM,UpperReek,Reach,Channel,2966.8784,,10000.0,27.70192,402.06393,8335.655,2902.0032,geogrid,geogrid,6,iter-0
PORO,UpperReek,Reach,Channel,0.24773726,,0.45984137,0.060079053,0.18150824,0.3126227,0.05122835,geogrid,geogrid,6,iter-0
SW,UpperReek,Reach,Channel,0.23735681,,1.0,0.016753312,0.03254226,1.0,0.36772457,geogrid,geogrid,6,iter-0
PERM,UpperReek,Reach,Crevasse,215.8291,,1000.0,0.88703513,30.705687,537.2987,238.09674,geogrid,geogrid,6,iter-0
PORO,UpperReek,Reach,Crevasse,0.21205275,,0.36368704,0.0,0.14971533,0.27515087,0.04786739,geogrid,geogrid,6,iter-0
SW,UpperReek,Reach,Crevasse,0.2866204,,1.0,0.0,0.07966298,1.0,0.32167396,geogrid,geogrid,6,iter-0
PERM,UpperReek,Stormlands,Background,16.09514,,100.0,0.49603748,2.597859,40.578545,17.908035,geogrid,geogrid,6,iter-0
PORO,UpperReek,Stormlands,Background,0.11390299,,0.25952584,0.0,0.051848102,0.18156919,0.051014572,geogrid,geogrid,6,iter-0
SW,UpperReek,Stormlands,Background,0.2047046,,0.41499466,0.0,0.14507698,0.27971455,0.05776957,geogrid,geogrid,6,iter-0
PERM,UpperReek,Stormlands,Channel,3647.9316,,10000.0,60.925804,634.7486,10000.0,3117.1602,geogrid,geogrid,6,iter-0
PORO,UpperReek,Stormlands,Channel,0.26105347,,0.42545286,0.09492378,0.20178463,0.32274857,0.046319526,geogrid,geogrid,6,iter-0
SW,UpperReek,Stormlands,Channel,0.029321337,,0.07603447,0.015751602,0.01920375,0.04142545,0.008630295,geogrid,geogrid,6,iter-0
PERM,UpperReek,Stormlands,Crevasse,216.61859,,1000.0,6.160687,36.628986,495.7134,219.38655,geogrid,geogrid,6,iter-0
PORO,UpperReek,Stormlands,Crevasse,0.22011878,,0.37755483,0.10451893,0.15925762,0.27473035,0.04517481,geogrid,geogrid,6,iter-0
SW,UpperReek,Stormlands,Crevasse,0.07926231,,0.17172936,0.039789602,0.053466465,0.10900048,0.022797607,geogrid,geogrid,6,iter-0
PERM,UpperReek,Vale,Background,7.7950726,,100.0,0.049164277,1.0646514,17.958412,9.4657345,geogrid,geogrid,6,iter-0
PORO,UpperReek,Vale,Background,0.0872825,,0.22771075,0.0,0.024827994,0.14618212,0.045472737,geogrid,geogrid,6,iter-0
SW,UpperReek,Vale,Background,0.66224796,,1.0,0.0,0.20954329,1.0,0.36366645,geogrid,geogrid,6,iter-0
PERM,UpperReek,Vale,Channel,2695.0059,,10000.0,76.92289,405.23547,6922.4805,2688.0796,geogrid,geogrid,6,iter-0
PORO,UpperReek,Vale,Channel,0.24265045,,0.37873447,0.11442886,0.18048486,0.3072365,0.048394326,geogrid,geogrid,6,iter-0
SW,UpperReek,Vale,Channel,0.46892753,,1.0,0.01743157,0.024915919,1.0,0.45068732,geogrid,geogrid,6,iter-0
PERM,UpperReek,Vale,Crevasse,145.60934,,1000.0,5.951841,21.036472,331.61057,183.04237,geogrid,geogrid,6,iter-0
PORO,UpperReek,Vale,Crevasse,0.18815099,,0.31693745,0.05727145,0.12504765,0.2558253,0.050524954,geogrid,geogrid,6,iter-0
SW,UpperReek,Vale,Crevasse,0.73836017,,1.0,0.04785868,0.09695687,1.0,0.37916553,geogrid,geogrid,6,iter-0
PERM,UpperReek,Westerlands,Background,12.111228,,100.0,0.035173766,1.3400315,28.57532,15.97526,geogrid,geogrid,6,iter-0
PORO,UpperReek,Westerlands,Background,0.10478253,,0.30202007,0.0,0.03690068,0.17051236,0.05074183,geogrid,geogrid,6,iter-0
SW,UpperReek,Westerlands,Background,0.974836,,1.0,0.0,1.0,1.0,0.12200891,geogrid,geogrid,6,iter-0
PERM,UpperReek,Westerlands,Channel,3101.2607,,10000.0,31.005615,402.06747,9128.058,3012.5442,geogrid,geogrid,6,iter-0
PORO,UpperReek,Westerlands,Channel,0.24806511,,0.42228028,0.04943739,0.18125796,0.31511158,0.051486455,geogrid,geogrid,6,iter-0
SW,UpperReek,Westerlands,Channel,0.91839975,,1.0,0.024100125,1.0,1.0,0.26082087,geogrid,geogrid,6,iter-0
PERM,UpperReek,Westerlands,Crevasse,185.19261,,1000.0,3.87151,24.384686,458.5305,213.75064,geogrid,geogrid,6,iter-0
PORO,UpperReek,Westerlands,Crevasse,0.20330708,,0.33895415,0.05604656,0.1410581,0.26622927,0.047785457,geogrid,geogrid,6,iter-0
SW,UpperReek,Westerlands,Crevasse,0.96167886,,1.0,0.06500034,1.0,1.0,0.16811028,geogrid,geogrid,6,iter-0
PERM,LowerReek,Dorne,Total,875.9547,,10000.0,0.0615419,2.3410447,2838.1162,1944.9966,geogrid,geogrid,6,iter-0
PORO,LowerReek,Dorne,Total,0.15528119,,0.41829747,0.0,0.050749928,0.26990885,0.08310035,geogrid,geogrid,6,iter-0
SW,LowerReek,Dorne,Total,0.9860194,,1.0,0.0,1.0,1.0,0.10168607,geogrid,geogrid,6,iter-0
PERM,LowerReek,IronIslands,Total,1148.2673,,10000.0,0.10675237,2.1789265,3826.9185,2271.9736,geogrid,geogrid,6,iter-0
PORO,LowerReek,IronIslands,Total,0.16468872,,0.4232069,0.0,0.052514754,0.2816259,0.086875476,geogrid,geogrid,6,iter-0
SW,LowerReek,IronIslands,Total,0.5344799,,1.0,0.0,0.042696968,1.0,0.41157258,geogrid,geogrid,6,iter-0
PERM,LowerReek,North,Total,1270.4961,,10000.0,0.10025177,1.8400437,4260.195,2376.735,geogrid,geogrid,6,iter-0
PORO,LowerReek,North,Total,0.17040709,,0.45619982,0.0,0.048412804,0.28924033,0.09141638,geogrid,geogrid,6,iter-0
SW,LowerReek,North,Total,0.9906054,,1.0,0.025437685,1.0,1.0,0.08985113,geogrid,geogrid,6,iter-0
PERM,LowerReek,Reach,Total,1489.2167,,10000.0,0.08070951,3.2479959,5065.3584,2540.9412,geogrid,geogrid,6,iter-0
PORO,LowerReek,Reach,Total,0.18449704,,0.44118378,0.0,0.07085173,0.29293966,0.0851685,geogrid,geogrid,6,iter-0
SW,LowerReek,Reach,Total,0.6427093,,1.0,0.0,0.067288354,1.0,0.3981731,geogrid,geogrid,6,iter-0
