CONIDX,CONKPOS,WELL,SGAS,WELLMODEL,CONIPOS,DRAWDOWN,SWAT,PRESSURE,CONJPOS,CONBPRES,DEPTH,DATE
8,7,R_A3,0.0,STANDARD,29,0,0.19839943945407867,298.68377685546875,41,298.68377685546875,1611.4163818359375,2018-01-01
9,8,R_A3,0.0,STANDARD,29,0,0.20012404024600983,298.8211669921875,41,298.8211669921875,1613.46630859375,2018-01-01
10,9,R_A3,0.0,STANDARD,29,0,0.8029430508613586,298.95855712890625,41,298.95855712890625,1615.516357421875,2018-01-01
11,10,R_A3,0.0,STANDARD,29,0,0.8017147183418274,299.095947265625,41,299.095947265625,1617.5662841796875,2018-01-01
12,11,R_A3,0.0,STANDARD,29,0,0.047662775963544846,299.24237060546875,41,299.24237060546875,1619.750732421875,2018-01-01
13,12,R_A3,0.0,STANDARD,29,0,0.05465734004974365,299.3978271484375,41,299.3978271484375,1622.0697021484375,2018-01-01
14,13,R_A3,0.0,STANDARD,29,0,0.36961451172828674,299.5532531738281,41,299.5532531738281,1624.388671875,2018-01-01
15,15,R_A3,0.0,STANDARD,29,0,0.40267708897590637,299.8641662597656,41,299.8641662597656,1629.026611328125,2018-01-01
16,16,R_A3,0.0,STANDARD,29,0,0.814231276512146,299.992919921875,41,299.992919921875,1630.9468994140625,2018-01-01
17,27,R_A3,0.0,STANDARD,29,0,0.6481541991233826,300.16583251953125,41,300.16583251953125,1633.5262451171875,2018-01-01
18,28,R_A3,0.0,STANDARD,29,0,0.04657479748129845,300.40966796875,41,300.40966796875,1637.1630859375,2018-01-01
19,29,R_A3,0.0,STANDARD,29,0,0.05444984510540962,300.6535339355469,41,300.6535339355469,1640.8001708984375,2018-01-01
20,30,R_A3,0.0,STANDARD,29,0,1.0,300.89739990234375,41,300.89739990234375,1644.4371337890625,2018-01-01
21,31,R_A3,0.0,STANDARD,29,0,0.06235086917877197,301.14129638671875,41,301.14129638671875,1648.0740966796875,2018-01-01
1,1,R_A4,0.0,STANDARD,30,0,0.04969937726855278,300.009033203125,52,300.009033203125,1631.1873779296875,2018-01-01
2,1,R_A4,0.0,STANDARD,31,0,0.04972411319613457,299.7571105957031,52,299.7571105957031,1627.4293212890625,2018-01-01
3,2,R_A4,0.0,STANDARD,31,0,0.05124127119779587,299.89520263671875,52,299.89520263671875,1629.4896240234375,2018-01-01
4,3,R_A4,0.0,STANDARD,31,0,0.05373745784163475,300.0333251953125,52,300.0333251953125,1631.5498046875,2018-01-01
5,4,R_A4,0.0,STANDARD,31,0,0.05840654298663139,300.17144775390625,52,300.17144775390625,1633.610107421875,2018-01-01
6,4,R_A4,0.0,STANDARD,32,0,0.05641423910856247,300.0901184082031,52,300.0901184082031,1632.3968505859375,2018-01-01
7,4,R_A4,0.0,STANDARD,32,0,0.059060242027044296,300.3236999511719,51,300.3236999511719,1635.880615234375,2018-01-01
8,4,R_A4,0.0,STANDARD,33,0,0.0928310677409172,300.4202575683594,51,300.4202575683594,1637.321044921875,2018-01-01
9,3,R_A4,0.0,STANDARD,33,0,0.1678450107574463,300.29644775390625,51,300.29644775390625,1635.474609375,2018-01-01
10,4,R_A4,0.0,STANDARD,33,0,0.18907098472118378,300.74395751953125,50,300.74395751953125,1642.1485595703125,2018-01-01
11,4,R_A4,0.0,STANDARD,34,0,0.16031335294246674,300.67578125,50,300.67578125,1641.132080078125,2018-01-01
12,3,R_A4,0.0,STANDARD,34,0,0.25342857837677,300.5467224121094,50,300.5467224121094,1639.20703125,2018-01-01
13,3,R_A4,0.0,STANDARD,35,0,0.16939347982406616,300.66064453125,50,300.66064453125,1640.9061279296875,2018-01-01
14,2,R_A4,0.0,STANDARD,35,0,0.23071172833442688,300.53570556640625,50,300.53570556640625,1639.0426025390625,2018-01-01
15,2,R_A4,0.0,STANDARD,35,0,0.23815256357192993,300.72943115234375,49,300.72943115234375,1641.93212890625,2018-01-01
16,30,R_A4,0.0,STANDARD,36,0,0.8387154340744019,300.7579650878906,49,300.7579650878906,1642.357421875,2018-01-01
17,30,R_A4,0.0,STANDARD,36,0,0.6481541991233826,300.5735168457031,48,300.5735168457031,1639.6068115234375,2018-01-01
18,30,R_A4,0.0,STANDARD,37,0,0.8328254222869873,301.0526123046875,48,301.0526123046875,1646.7513427734375,2018-01-01
19,30,R_A4,0.0,STANDARD,38,0,0.6481541991233826,301.5025939941406,48,301.5025939941406,1653.461669921875,2018-01-01
20,30,R_A4,0.0,STANDARD,38,0,0.8453923463821411,301.7947998046875,47,301.7947998046875,1657.8184814453125,2018-01-01
1,1,R_A5,0.0,STANDARD,31,0,1.0,303.8440856933594,20,303.8440856933594,1685.026611328125,2018-01-01
2,2,R_A5,0.0,STANDARD,31,0,1.0,304.0601806640625,20,304.0601806640625,1687.3070068359375,2018-01-01
3,3,R_A5,0.0,STANDARD,31,0,1.0,304.27630615234375,20,304.27630615234375,1689.5875244140625,2018-01-01
4,4,R_A5,0.0,STANDARD,31,0,1.0,304.4924011230469,20,304.4924011230469,1691.8680419921875,2018-01-01
5,5,R_A5,0.0,STANDARD,31,0,1.0,304.7085266113281,20,304.7085266113281,1694.1485595703125,2018-01-01
6,6,R_A5,0.0,STANDARD,31,0,1.0,304.9246520996094,20,304.9246520996094,1696.4290771484375,2018-01-01
7,7,R_A5,0.0,STANDARD,31,0,1.0,305.446533203125,20,305.446533203125,1698.70947265625,2018-01-01
8,11,R_A5,0.0,STANDARD,31,0,1.0,305.988037109375,20,305.988037109375,1707.6488037109375,2018-01-01
9,12,R_A5,0.0,STANDARD,31,0,1.0,306.1695251464844,20,306.1695251464844,1709.5638427734375,2018-01-01
10,12,R_A5,0.0,STANDARD,31,0,1.0,305.4322814941406,21,305.4322814941406,1701.7845458984375,2018-01-01
11,13,R_A5,0.0,STANDARD,31,0,1.0,305.6291198730469,21,305.6291198730469,1703.735107421875,2018-01-01
12,14,R_A5,0.0,STANDARD,31,0,1.0,305.81396484375,21,305.81396484375,1705.6856689453125,2018-01-01
13,15,R_A5,0.0,STANDARD,31,0,1.0,305.9988098144531,21,305.9988098144531,1707.63623046875,2018-01-01
14,16,R_A5,0.0,STANDARD,31,0,1.0,306.3287048339844,21,306.3287048339844,1709.5867919921875,2018-01-01
15,17,R_A5,0.0,STANDARD,31,0,1.0,306.5135498046875,21,306.5135498046875,1711.537353515625,2018-01-01
16,18,R_A5,0.0,STANDARD,31,0,1.0,306.6856994628906,21,306.6856994628906,1713.35400390625,2018-01-01
17,19,R_A5,0.0,STANDARD,31,0,1.0,306.7843933105469,21,306.7843933105469,1714.3951416015625,2018-01-01
18,27,R_A5,0.0,STANDARD,31,0,1.0,306.75689697265625,21,306.75689697265625,1715.7628173828125,2018-01-01
19,28,R_A5,0.0,STANDARD,31,0,1.0,306.978271484375,21,306.978271484375,1718.098388671875,2018-01-01
20,29,R_A5,0.0,STANDARD,31,0,1.0,307.5054016113281,21,307.5054016113281,1720.43408203125,2018-01-01
21,30,R_A5,0.0,STANDARD,31,0,1.0,307.7267761230469,21,307.7267761230469,1722.7696533203125,2018-01-01
22,31,R_A5,0.0,STANDARD,31,0,1.0,307.9481506347656,21,307.9481506347656,1725.105224609375,2018-01-01
1,1,R_A6,0.0,STANDARD,17,0,1.0,305.11419677734375,42,305.11419677734375,1695.20263671875,2018-01-01
2,2,R_A6,0.0,STANDARD,17,0,1.0,304.9618835449219,42,304.9618835449219,1696.7510986328125,2018-01-01
3,3,R_A6,0.0,STANDARD,17,0,1.0,305.4076843261719,42,305.4076843261719,1698.299560546875,2018-01-01
4,4,R_A6,0.0,STANDARD,17,0,1.0,305.554443359375,42,305.554443359375,1699.84814453125,2018-01-01
5,5,R_A6,0.0,STANDARD,17,0,1.0,305.7012023925781,42,305.7012023925781,1701.3966064453125,2018-01-01
6,6,R_A6,0.0,STANDARD,17,0,1.0,305.84796142578125,42,305.84796142578125,1702.9451904296875,2018-01-01
7,7,R_A6,0.0,STANDARD,17,0,1.0,305.6956481933594,42,305.6956481933594,1704.49365234375,2018-01-01
8,8,R_A6,0.0,STANDARD,17,0,1.0,305.8424072265625,42,305.8424072265625,1706.042236328125,2018-01-01
9,9,R_A6,0.0,STANDARD,17,0,1.0,306.2882080078125,42,306.2882080078125,1707.5906982421875,2018-01-01
10,10,R_A6,0.0,STANDARD,17,0,1.0,306.1291809082031,42,306.1291809082031,1709.1392822265625,2018-01-01
11,11,R_A6,0.0,STANDARD,17,0,1.0,306.3109130859375,42,306.3109130859375,1711.055419921875,2018-01-01
12,12,R_A6,0.0,STANDARD,17,0,1.0,306.52734375,42,306.52734375,1713.3392333984375,2018-01-01
13,13,R_A6,0.0,STANDARD,17,0,1.0,306.7557678222656,42,306.7557678222656,1715.623046875,2018-01-01
14,14,R_A6,0.0,STANDARD,17,0,1.0,306.9721984863281,42,306.9721984863281,1717.9068603515625,2018-01-01
15,15,R_A6,0.0,STANDARD,17,0,1.0,307.18865966796875,42,307.18865966796875,1720.190673828125,2018-01-01
16,16,R_A6,0.0,STANDARD,17,0,1.0,307.55010986328125,42,307.55010986328125,1722.474365234375,2018-01-01
17,17,R_A6,0.0,STANDARD,17,0,1.0,307.7665710449219,42,307.7665710449219,1724.7581787109375,2018-01-01
18,18,R_A6,0.0,STANDARD,17,0,1.0,307.921630859375,42,307.921630859375,1726.394287109375,2018-01-01
19,27,R_A6,0.0,STANDARD,17,0,1.0,307.8930969238281,42,307.8930969238281,1727.7508544921875,2018-01-01
20,28,R_A6,0.0,STANDARD,17,0,1.0,308.3623352050781,42,308.3623352050781,1729.4755859375,2018-01-01
21,29,R_A6,0.0,STANDARD,17,0,1.0,308.52581787109375,42,308.52581787109375,1731.2001953125,2018-01-01
22,30,R_A6,0.0,STANDARD,17,0,1.0,308.68927001953125,42,308.68927001953125,1732.9249267578125,2018-01-01
23,31,R_A6,0.0,STANDARD,17,0,1.0,308.5469665527344,42,308.5469665527344,1734.649658203125,2018-01-01
1,1,R_A2,0.0,STANDARD,22,0,0.0576259009540081,298.8813781738281,30,298.8813781738281,1641.094970703125,2018-03-01
2,2,R_A2,0.0,STANDARD,22,0,0.05854201316833496,299.00164794921875,30,299.00164794921875,1642.8890380859375,2018-03-01
3,3,R_A2,0.0,STANDARD,22,0,0.06118010729551315,299.12188720703125,30,299.12188720703125,1644.68310546875,2018-03-01
4,4,R_A2,0.0,STANDARD,22,0,0.06635560840368271,299.2421569824219,30,299.2421569824219,1646.4771728515625,2018-03-01
5,5,R_A2,0.0,STANDARD,22,0,0.06876270473003387,299.3624267578125,30,299.3624267578125,1648.2713623046875,2018-03-01
6,6,R_A2,0.0,STANDARD,22,0,0.31239384412765503,299.4905700683594,30,299.4905700683594,1650.0654296875,2018-03-01
7,7,R_A2,0.0,STANDARD,22,0,0.8977990746498108,299.61639404296875,30,299.61639404296875,1651.859619140625,2018-03-01
8,8,R_A2,0.0,STANDARD,22,0,0.8618008494377136,299.7399597167969,30,299.7399597167969,1653.6536865234375,2018-03-01
9,9,R_A2,0.0,STANDARD,22,0,0.9104788899421692,299.9066467285156,30,299.9066467285156,1655.44775390625,2018-03-01
10,10,R_A2,0.0,STANDARD,22,0,0.90834641456604,300.0158996582031,30,300.0158996582031,1657.2418212890625,2018-03-01
11,11,R_A2,0.0,STANDARD,22,0,0.0760805755853653,300.04364013671875,30,300.04364013671875,1659.1368408203125,2018-03-01
12,12,R_A2,0.0,STANDARD,22,0,0.07904215902090073,300.1716003417969,30,300.1716003417969,1661.132568359375,2018-03-01
13,13,R_A2,0.0,STANDARD,22,0,0.44891417026519775,300.3172607421875,30,300.3172607421875,1663.12841796875,2018-03-01
14,14,R_A2,0.0,STANDARD,22,0,0.5074872374534607,300.4521789550781,30,300.4521789550781,1665.1241455078125,2018-03-01
15,15,R_A2,0.0,STANDARD,22,0,0.6861117482185364,300.5929870605469,30,300.5929870605469,1667.1199951171875,2018-03-01
16,16,R_A2,0.0,STANDARD,22,0,0.9714528918266296,300.7273254394531,30,300.7273254394531,1669.11572265625,2018-03-01
17,17,R_A2,0.0,STANDARD,22,0,0.94850754737854,300.8616943359375,30,300.8616943359375,1671.111572265625,2018-03-01
18,18,R_A2,0.0,STANDARD,22,0,0.979620635509491,300.98773193359375,30,300.98773193359375,1672.9881591796875,2018-03-01
19,18,R_A2,0.0,STANDARD,22,0,0.9940498471260071,301.0210266113281,29,301.0210266113281,1674.229736328125,2018-03-01
20,27,R_A2,0.0,STANDARD,22,0,0.6483326554298401,300.45556640625,29,300.45556640625,1676.1676025390625,2018-03-01
21,28,R_A2,1.2071228526372197e-15,STANDARD,22,0,1.0,303.4523010253906,29,303.4523010253906,1677.9368896484375,2018-03-01
22,29,R_A2,6.294911165373137e-16,STANDARD,22,0,1.0,303.61712646484375,29,303.61712646484375,1679.7061767578125,2018-03-01
23,30,R_A2,5.301799974826544e-16,STANDARD,22,0,1.0,303.7873229980469,29,303.7873229980469,1681.4754638671875,2018-03-01
24,31,R_A2,4.09389122119806e-17,STANDARD,22,0,1.0,303.9642028808594,29,303.9642028808594,1683.2447509765625,2018-03-01
1,1,R_A5,-1.2895727020956205e-11,STANDARD,31,0,1.0,280.3052062988281,20,280.3052062988281,1685.026611328125,2018-04-28
2,2,R_A5,-1.1909729279169223e-11,STANDARD,31,0,1.0,280.5210876464844,20,280.5210876464844,1687.3070068359375,2018-04-28
3,3,R_A5,-1.131200168258406e-11,STANDARD,31,0,1.0,280.7370300292969,20,280.7370300292969,1689.5875244140625,2018-04-28
4,4,R_A5,-1.260694586918687e-11,STANDARD,31,0,1.0,280.9529724121094,20,280.9529724121094,1691.8680419921875,2018-04-28
5,5,R_A5,-1.2303836768867704e-11,STANDARD,31,0,1.0,281.1689453125,20,281.1689453125,1694.1485595703125,2018-04-28
6,6,R_A5,-1.1772682655120104e-11,STANDARD,31,0,1.0,281.3848571777344,20,281.3848571777344,1696.4290771484375,2018-04-28
7,7,R_A5,-5.171785309038279e-13,STANDARD,31,0,1.0,281.9374694824219,20,281.9374694824219,1698.70947265625,2018-04-28
8,11,R_A5,-8.387674582666094e-11,STANDARD,31,0,1.0,280.4187316894531,20,280.4187316894531,1707.6488037109375,2018-04-28
9,12,R_A5,-7.335106133599112e-11,STANDARD,31,0,1.0,280.58355712890625,20,280.58355712890625,1709.5638427734375,2018-04-28
10,12,R_A5,-3.848177332343994e-10,STANDARD,31,0,1.0,278.8754577636719,21,278.8754577636719,1701.7845458984375,2018-04-28
11,13,R_A5,-1.410040053467787e-11,STANDARD,31,0,1.0,279.0691223144531,21,279.0691223144531,1703.735107421875,2018-04-28
12,14,R_A5,-7.590320733052991e-11,STANDARD,31,0,1.0,279.2496643066406,21,279.2496643066406,1705.6856689453125,2018-04-28
13,15,R_A5,-3.097185355405152e-11,STANDARD,31,0,1.0,279.42572021484375,21,279.42572021484375,1707.63623046875,2018-04-28
14,16,R_A5,-2.2121547649245343e-11,STANDARD,31,0,1.0,279.7251281738281,21,279.7251281738281,1709.5867919921875,2018-04-28
15,17,R_A5,-6.119888016492547e-12,STANDARD,31,0,1.0,279.83453369140625,21,279.83453369140625,1711.537353515625,2018-04-28
16,18,R_A5,-1.1441098936304517e-11,STANDARD,31,0,1.0,279.9247741699219,21,279.9247741699219,1713.35400390625,2018-04-28
17,19,R_A5,0.0,STANDARD,31,0,1.0,279.9841613769531,21,279.9841613769531,1714.3951416015625,2018-04-28
18,27,R_A5,-3.451412061965947e-13,STANDARD,31,0,1.0,279.9483642578125,21,279.9483642578125,1715.7628173828125,2018-04-28
19,28,R_A5,-6.53775373681692e-13,STANDARD,31,0,1.0,280.1687316894531,21,280.1687316894531,1718.098388671875,2018-04-28
20,29,R_A5,-3.031063444854775e-20,STANDARD,31,0,1.0,285.07476806640625,21,285.07476806640625,1720.43408203125,2018-04-28
21,30,R_A5,-2.811680476874536e-19,STANDARD,31,0,1.0,280.5862731933594,21,280.5862731933594,1722.7696533203125,2018-04-28
22,31,R_A5,-3.557582063944162e-19,STANDARD,31,0,1.0,291.7502136230469,21,291.7502136230469,1725.105224609375,2018-04-28
1,1,R_A3,0.0,STANDARD,28,0,0.6494258046150208,278.4700927734375,41,278.4700927734375,1609.243408203125,2018-07-03
2,2,R_A3,0.0,STANDARD,28,0,0.19842290878295898,278.603759765625,41,278.603759765625,1611.3077392578125,2018-07-03
3,3,R_A3,0.0,STANDARD,28,0,0.1940949261188507,278.74139404296875,41,278.74139404296875,1613.3720703125,2018-07-03
4,4,R_A3,0.0,STANDARD,28,0,0.2560560703277588,278.8789978027344,41,278.8789978027344,1615.4365234375,2018-07-03
5,5,R_A3,0.0,STANDARD,28,0,0.8272577524185181,279.0496826171875,41,279.0496826171875,1617.5008544921875,2018-07-03
6,6,R_A3,0.0,STANDARD,28,0,0.6508355140686035,279.1083679199219,41,279.1083679199219,1619.565185546875,2018-07-03
7,6,R_A3,0.0,STANDARD,29,0,0.6509075164794922,278.41021728515625,41,278.41021728515625,1609.3663330078125,2018-07-03
8,7,R_A3,0.0,STANDARD,29,0,0.19900302588939667,278.55755615234375,41,278.55755615234375,1611.4163818359375,2018-07-03
9,8,R_A3,0.0,STANDARD,29,0,0.20334114134311676,278.6943054199219,41,278.6943054199219,1613.46630859375,2018-07-03
10,9,R_A3,0.0,STANDARD,29,0,0.8017160892486572,278.9619445800781,41,278.9619445800781,1615.516357421875,2018-07-03
11,10,R_A3,0.0,STANDARD,29,0,0.7976639270782471,282.4648132324219,41,282.4648132324219,1617.5662841796875,2018-07-03
12,11,R_A3,0.0,STANDARD,29,0,0.047738026827573776,283.42340087890625,41,283.42340087890625,1619.750732421875,2018-07-03
13,12,R_A3,0.0,STANDARD,29,0,0.05475344881415367,283.5782165527344,41,283.5782165527344,1622.0697021484375,2018-07-03
14,13,R_A3,0.0,STANDARD,29,0,0.3701707124710083,283.7333679199219,41,283.7333679199219,1624.388671875,2018-07-03
15,15,R_A3,0.0,STANDARD,29,0,0.4032278060913086,283.9821472167969,41,283.9821472167969,1629.026611328125,2018-07-03
16,16,R_A3,0.0,STANDARD,29,0,0.8024235963821411,284.09619140625,41,284.09619140625,1630.9468994140625,2018-07-03
17,27,R_A3,0.0,STANDARD,29,0,0.6547511219978333,283.9773254394531,41,283.9773254394531,1633.5262451171875,2018-07-03
18,28,R_A3,0.0,STANDARD,29,0,0.04665987193584442,284.2004089355469,41,284.2004089355469,1637.1630859375,2018-07-03
19,29,R_A3,0.0,STANDARD,29,0,0.0547967255115509,284.44329833984375,41,284.44329833984375,1640.8001708984375,2018-07-03
20,30,R_A3,4.4521238909064897e-13,STANDARD,29,0,1.0,287.6230773925781,41,287.6230773925781,1644.4371337890625,2018-07-03
21,31,R_A3,0.0,STANDARD,29,0,0.0626654326915741,284.9376220703125,41,284.9376220703125,1648.0740966796875,2018-07-03
1,1,R_A4,0.0,STANDARD,30,0,0.04981842264533043,275.69647216796875,52,275.69647216796875,1631.1873779296875,2018-09-12
2,1,R_A4,0.0,STANDARD,31,0,0.04984952509403229,275.5766296386719,52,275.5766296386719,1627.4293212890625,2018-09-12
3,2,R_A4,0.0,STANDARD,31,0,0.05138561502099037,275.7138671875,52,275.7138671875,1629.4896240234375,2018-09-12
4,3,R_A4,0.0,STANDARD,31,0,0.05387376248836517,275.8510437011719,52,275.8510437011719,1631.5498046875,2018-09-12
5,4,R_A4,0.0,STANDARD,31,0,0.05853893607854843,275.9881896972656,52,275.9881896972656,1633.610107421875,2018-09-12
6,4,R_A4,0.0,STANDARD,32,0,0.05654418095946312,276.01214599609375,52,276.01214599609375,1632.3968505859375,2018-09-12
7,4,R_A4,0.0,STANDARD,32,0,0.059203989803791046,276.1911315917969,51,276.1911315917969,1635.880615234375,2018-09-12
8,4,R_A4,0.0,STANDARD,33,0,0.09312216192483902,276.38232421875,51,276.38232421875,1637.321044921875,2018-09-12
9,3,R_A4,0.0,STANDARD,33,0,0.16838540136814117,276.259521484375,51,276.259521484375,1635.474609375,2018-09-12
10,4,R_A4,0.0,STANDARD,33,0,0.1909896582365036,276.4363098144531,50,276.4363098144531,1642.1485595703125,2018-09-12
11,4,R_A4,0.0,STANDARD,34,0,0.16086244583129883,276.477783203125,50,276.477783203125,1641.132080078125,2018-09-12
12,3,R_A4,0.0,STANDARD,34,0,0.2544671595096588,276.3494567871094,50,276.3494567871094,1639.20703125,2018-09-12
13,3,R_A4,0.0,STANDARD,35,0,0.1698680818080902,276.6619873046875,50,276.6619873046875,1640.9061279296875,2018-09-12
14,2,R_A4,0.0,STANDARD,35,0,0.23134416341781616,276.53839111328125,50,276.53839111328125,1639.0426025390625,2018-09-12
15,2,R_A4,0.0,STANDARD,35,0,0.23875848948955536,276.49169921875,49,276.49169921875,1641.93212890625,2018-09-12
16,30,R_A4,0.0,STANDARD,36,0,0.8377806544303894,281.9847717285156,49,281.9847717285156,1642.357421875,2018-09-12
17,30,R_A4,0.0,STANDARD,36,0,0.6517846584320068,275.1746826171875,48,275.1746826171875,1639.6068115234375,2018-09-12
18,30,R_A4,0.0,STANDARD,37,0,0.8316153883934021,277.8620300292969,48,277.8620300292969,1646.7513427734375,2018-09-12
19,30,R_A4,0.0,STANDARD,38,0,0.6608726382255554,277.006103515625,48,277.006103515625,1653.461669921875,2018-09-12
20,30,R_A4,0.0,STANDARD,38,0,0.844202995300293,278.1891784667969,47,278.1891784667969,1657.8184814453125,2018-09-12
1,1,R_A6,4.080462530364759e-12,STANDARD,17,0,1.0,273.6354064941406,42,273.6354064941406,1695.20263671875,2018-11-07
2,2,R_A6,1.0146148678169542e-11,STANDARD,17,0,1.0,273.48260498046875,42,273.48260498046875,1696.7510986328125,2018-11-07
3,3,R_A6,1.3011498128934207e-11,STANDARD,17,0,1.0,273.9601745605469,42,273.9601745605469,1698.299560546875,2018-11-07
4,4,R_A6,6.09291551267226e-15,STANDARD,17,0,1.0,274.1125183105469,42,274.1125183105469,1699.84814453125,2018-11-07
5,5,R_A6,-8.997710481415191e-14,STANDARD,17,0,1.0,274.2629699707031,42,274.2629699707031,1701.3966064453125,2018-11-07
6,6,R_A6,-5.4786539888107555e-12,STANDARD,17,0,1.0,274.4104309082031,42,274.4104309082031,1702.9451904296875,2018-11-07
7,7,R_A6,-9.525553089362315e-12,STANDARD,17,0,1.0,274.2611999511719,42,274.2611999511719,1704.49365234375,2018-11-07
8,8,R_A6,-2.236648583356371e-12,STANDARD,17,0,1.0,274.41741943359375,42,274.41741943359375,1706.042236328125,2018-11-07
9,9,R_A6,-3.3822594790004767e-13,STANDARD,17,0,1.0,274.8792419433594,42,274.8792419433594,1707.5906982421875,2018-11-07
10,10,R_A6,-2.5016520105447526e-11,STANDARD,17,0,1.0,274.7483215332031,42,274.7483215332031,1709.1392822265625,2018-11-07
11,11,R_A6,-5.4043779000589875e-12,STANDARD,17,0,1.0,274.841552734375,42,274.841552734375,1711.055419921875,2018-11-07
12,12,R_A6,-6.075253147774795e-13,STANDARD,17,0,1.0,275.0577087402344,42,275.0577087402344,1713.3392333984375,2018-11-07
13,13,R_A6,-2.9783724857061766e-14,STANDARD,17,0,1.0,275.28570556640625,42,275.28570556640625,1715.623046875,2018-11-07
14,14,R_A6,-2.0579612436378257e-14,STANDARD,17,0,1.0,275.5014953613281,42,275.5014953613281,1717.9068603515625,2018-11-07
15,15,R_A6,-1.122945798306095e-14,STANDARD,17,0,1.0,275.7138671875,42,275.7138671875,1720.190673828125,2018-11-07
16,16,R_A6,-2.9596724546263487e-15,STANDARD,17,0,1.0,276.0638427734375,42,276.0638427734375,1722.474365234375,2018-11-07
17,17,R_A6,-4.20893254941151e-15,STANDARD,17,0,1.0,276.2672424316406,42,276.2672424316406,1724.7581787109375,2018-11-07
