DEPTH,DATE,WELL,WELLMODEL,DRAWDOWN,CONIDX,PRESSURE,SGAS,SWAT,CONKPOS,CONBPRES,CONJPOS,CONIPOS
1707.63623046875,2018-01-01,R_A5,STANDARD,0,13,305.9988098144531,0.0,1.0,15,305.9988098144531,21,31
1709.5867919921875,2018-01-01,R_A5,STANDARD,0,14,306.1836853027344,0.0,1.0,16,306.1836853027344,21,31
1711.537353515625,2018-01-01,R_A5,STANDARD,0,15,306.5135498046875,0.0,1.0,17,306.5135498046875,21,31
1713.35400390625,2018-01-01,R_A5,STANDARD,0,16,306.6856994628906,0.0,1.0,18,306.6856994628906,21,31
1714.3951416015625,2018-01-01,R_A5,STANDARD,0,17,306.7843933105469,0.0,1.0,19,306.7843933105469,21,31
1715.7628173828125,2018-01-01,R_A5,STANDARD,0,18,306.75689697265625,0.0,1.0,27,306.75689697265625,21,31
1718.098388671875,2018-01-01,R_A5,STANDARD,0,19,306.978271484375,0.0,1.0,28,306.978271484375,21,31
1720.43408203125,2018-01-01,R_A5,STANDARD,0,20,307.5054016113281,0.0,1.0,29,307.5054016113281,21,31
1722.7696533203125,2018-01-01,R_A5,STANDARD,0,21,307.7267761230469,0.0,1.0,30,307.7267761230469,21,31
1725.105224609375,2018-01-01,R_A5,STANDARD,0,22,307.9481506347656,0.0,1.0,31,307.9481506347656,21,31
1695.20263671875,2018-01-01,R_A6,STANDARD,0,1,305.11419677734375,0.0,1.0,1,305.11419677734375,42,17
1696.7510986328125,2018-01-01,R_A6,STANDARD,0,2,305.2609558105469,0.0,1.0,2,305.2609558105469,42,17
1698.299560546875,2018-01-01,R_A6,STANDARD,0,3,305.4076843261719,0.0,1.0,3,305.4076843261719,42,17
1699.84814453125,2018-01-01,R_A6,STANDARD,0,4,305.554443359375,0.0,1.0,4,305.554443359375,42,17
1701.3966064453125,2018-01-01,R_A6,STANDARD,0,5,305.7012023925781,0.0,1.0,5,305.7012023925781,42,17
1702.9451904296875,2018-01-01,R_A6,STANDARD,0,6,305.84796142578125,0.0,1.0,6,305.84796142578125,42,17
