SWAT,CONBPRES,PRESSURE,CONKPOS,SGAS,CONIDX,WELLMODEL,DATE,WELL,CONJPOS,CONIPOS,DRAWDOWN,DEPTH
1.0,304.27630615234375,304.27630615234375,3,0.0,3,STANDARD,2018-01-01,R_A5,20,31,0,1689.5875244140625
1.0,304.4924011230469,304.4924011230469,4,0.0,4,STANDARD,2018-01-01,R_A5,20,31,0,1691.8680419921875
1.0,304.7085266113281,304.7085266113281,5,0.0,5,STANDARD,2018-01-01,R_A5,20,31,0,1694.1485595703125
1.0,304.9246520996094,304.9246520996094,6,0.0,6,STANDARD,2018-01-01,R_A5,20,31,0,1696.4290771484375
1.0,305.446533203125,305.446533203125,7,0.0,7,STANDARD,2018-01-01,R_A5,20,31,0,1698.70947265625
1.0,305.988037109375,305.988037109375,11,0.0,8,STANDARD,2018-01-01,R_A5,20,31,0,1707.6488037109375
1.0,306.1695251464844,306.1695251464844,12,0.0,9,STANDARD,2018-01-01,R_A5,20,31,0,1709.5638427734375
1.0,305.4322814941406,305.4322814941406,12,0.0,10,STANDARD,2018-01-01,R_A5,21,31,0,1701.7845458984375
1.0,305.6291198730469,305.6291198730469,13,0.0,11,STANDARD,2018-01-01,R_A5,21,31,0,1703.735107421875
1.0,305.81396484375,305.81396484375,14,0.0,12,STANDARD,2018-01-01,R_A5,21,31,0,1705.6856689453125
1.0,305.9988098144531,305.9988098144531,15,0.0,13,STANDARD,2018-01-01,R_A5,21,31,0,1707.63623046875
1.0,306.3287048339844,306.3287048339844,16,0.0,14,STANDARD,2018-01-01,R_A5,21,31,0,1709.5867919921875
1.0,306.5135498046875,306.5135498046875,17,0.0,15,STANDARD,2018-01-01,R_A5,21,31,0,1711.537353515625
1.0,306.6856994628906,306.6856994628906,18,0.0,16,STANDARD,2018-01-01,R_A5,21,31,0,1713.35400390625
1.0,306.7843933105469,306.7843933105469,19,0.0,17,STANDARD,2018-01-01,R_A5,21,31,0,1714.3951416015625
1.0,306.75689697265625,306.75689697265625,27,0.0,18,STANDARD,2018-01-01,R_A5,21,31,0,1715.7628173828125
1.0,306.978271484375,306.978271484375,28,0.0,19,STANDARD,2018-01-01,R_A5,21,31,0,1718.098388671875
1.0,307.5054016113281,307.5054016113281,29,0.0,20,STANDARD,2018-01-01,R_A5,21,31,0,1720.43408203125
1.0,307.7267761230469,307.7267761230469,30,0.0,21,STANDARD,2018-01-01,R_A5,21,31,0,1722.7696533203125
1.0,307.9481506347656,307.9481506347656,31,0.0,22,STANDARD,2018-01-01,R_A5,21,31,0,1725.105224609375
1.0,305.11419677734375,305.11419677734375,1,0.0,1,STANDARD,2018-01-01,R_A6,42,17,0,1695.20263671875
1.0,305.2609558105469,305.2609558105469,2,0.0,2,STANDARD,2018-01-01,R_A6,42,17,0,1696.7510986328125
1.0,305.4076843261719,305.4076843261719,3,0.0,3,STANDARD,2018-01-01,R_A6,42,17,0,1698.299560546875
1.0,305.554443359375,305.554443359375,4,0.0,4,STANDARD,2018-01-01,R_A6,42,17,0,1699.84814453125
1.0,305.7012023925781,305.7012023925781,5,0.0,5,STANDARD,2018-01-01,R_A6,42,17,0,1701.3966064453125
1.0,305.84796142578125,305.84796142578125,6,0.0,6,STANDARD,2018-01-01,R_A6,42,17,0,1702.9451904296875
1.0,305.6956481933594,305.6956481933594,7,0.0,7,STANDARD,2018-01-01,R_A6,42,17,0,1704.49365234375
1.0,306.1414489746094,306.1414489746094,8,0.0,8,STANDARD,2018-01-01,R_A6,42,17,0,1706.042236328125
1.0,306.2882080078125,306.2882080078125,9,0.0,9,STANDARD,2018-01-01,R_A6,42,17,0,1707.5906982421875
1.0,306.1291809082031,306.1291809082031,10,0.0,10,STANDARD,2018-01-01,R_A6,42,17,0,1709.1392822265625
1.0,306.3109130859375,306.3109130859375,11,0.0,11,STANDARD,2018-01-01,R_A6,42,17,0,1711.055419921875
1.0,306.52734375,306.52734375,12,0.0,12,STANDARD,2018-01-01,R_A6,42,17,0,1713.3392333984375
1.0,306.7557678222656,306.7557678222656,13,0.0,13,STANDARD,2018-01-01,R_A6,42,17,0,1715.623046875
1.0,306.9721984863281,306.9721984863281,14,0.0,14,STANDARD,2018-01-01,R_A6,42,17,0,1717.9068603515625
1.0,307.18865966796875,307.18865966796875,15,0.0,15,STANDARD,2018-01-01,R_A6,42,17,0,1720.190673828125
1.0,307.55010986328125,307.55010986328125,16,0.0,16,STANDARD,2018-01-01,R_A6,42,17,0,1722.474365234375
1.0,307.7665710449219,307.7665710449219,17,0.0,17,STANDARD,2018-01-01,R_A6,42,17,0,1724.7581787109375
1.0,307.921630859375,307.921630859375,18,0.0,18,STANDARD,2018-01-01,R_A6,42,17,0,1726.394287109375
1.0,307.8930969238281,307.8930969238281,27,0.0,19,STANDARD,2018-01-01,R_A6,42,17,0,1727.7508544921875
1.0,308.3623352050781,308.3623352050781,28,0.0,20,STANDARD,2018-01-01,R_A6,42,17,0,1729.4755859375
1.0,308.52581787109375,308.52581787109375,29,0.0,21,STANDARD,2018-01-01,R_A6,42,17,0,1731.2001953125
1.0,308.68927001953125,308.68927001953125,30,0.0,22,STANDARD,2018-01-01,R_A6,42,17,0,1732.9249267578125
1.0,308.5469665527344,308.5469665527344,31,0.0,23,STANDARD,2018-01-01,R_A6,42,17,0,1734.649658203125
0.05674704164266586,297.9605712890625,297.9605712890625,1,0.0,1,STANDARD,2018-03-01,R_A2,30,22,0,1641.094970703125
0.0577913336455822,298.0807800292969,298.0807800292969,2,0.0,2,STANDARD,2018-03-01,R_A2,30,22,0,1642.8890380859375
0.06005101278424263,298.20098876953125,298.20098876953125,3,0.0,3,STANDARD,2018-03-01,R_A2,30,22,0,1644.68310546875
0.06772404164075851,298.32122802734375,298.32122802734375,4,0.0,4,STANDARD,2018-03-01,R_A2,30,22,0,1646.4771728515625
0.06891901046037674,298.44146728515625,298.44146728515625,5,0.0,5,STANDARD,2018-03-01,R_A2,30,22,0,1648.2713623046875
0.310636430978775,298.5772705078125,298.5772705078125,6,0.0,6,STANDARD,2018-03-01,R_A2,30,22,0,1650.0654296875
0.8913053870201111,298.7066955566406,298.7066955566406,7,0.0,7,STANDARD,2018-03-01,R_A2,30,22,0,1651.859619140625
0.8773379921913147,298.8325500488281,298.8325500488281,8,0.0,8,STANDARD,2018-03-01,R_A2,30,22,0,1653.6536865234375
0.9037558436393738,299.05413818359375,299.05413818359375,9,0.0,9,STANDARD,2018-03-01,R_A2,30,22,0,1655.44775390625
0.9148998856544495,299.26385498046875,299.26385498046875,10,0.0,10,STANDARD,2018-03-01,R_A2,30,22,0,1657.2418212890625
