CONBPRES,DEPTH,PRESSURE,SWAT,DATE,WELL,CONKPOS,CONIDX,DRAWDOWN,WELLMODEL,CONJPOS,SGAS,CONIPOS
297.8028869628906,1598.271240234375,297.8028869628906,0.1457822620868683,2018-01-01,R_A3,2,2,0,STANDARD,41,0.0,29
297.9558410644531,1600.5535888671875,297.9558410644531,0.1867840737104416,2018-01-01,R_A3,3,3,0,STANDARD,41,0.0,29
298.1087646484375,1602.8360595703125,298.1087646484375,0.22301900386810303,2018-01-01,R_A3,4,4,0,STANDARD,41,0.0,29
298.26171875,1605.1185302734375,298.26171875,0.6481541991233826,2018-01-01,R_A3,5,5,0,STANDARD,41,0.0,29
298.4146728515625,1607.4010009765625,298.4146728515625,0.23101207613945007,2018-01-01,R_A3,6,6,0,STANDARD,41,0.0,29
298.567626953125,1609.683349609375,298.567626953125,0.1954975724220276,2018-01-01,R_A3,7,7,0,STANDARD,41,0.0,29
298.7206115722656,1611.9658203125,298.7206115722656,0.2429497092962265,2018-01-01,R_A3,8,8,0,STANDARD,41,0.0,29
298.8735656738281,1614.248291015625,298.8735656738281,0.7962996363639832,2018-01-01,R_A3,9,9,0,STANDARD,41,0.0,29
299.02655029296875,1616.5306396484375,299.02655029296875,0.7969255447387695,2018-01-01,R_A3,10,10,0,STANDARD,41,0.0,29
299.180419921875,1618.826171875,299.180419921875,0.047032542526721954,2018-01-01,R_A3,11,11,0,STANDARD,41,0.0,29
299.33514404296875,1621.1346435546875,299.33514404296875,0.05486476421356201,2018-01-01,R_A3,12,12,0,STANDARD,41,0.0,29
299.4898986816406,1623.443115234375,299.4898986816406,0.36655914783477783,2018-01-01,R_A3,13,13,0,STANDARD,41,0.0,29
299.6446228027344,1625.7515869140625,299.6446228027344,0.24445711076259613,2018-01-01,R_A3,14,14,0,STANDARD,41,0.0,29
299.79937744140625,1628.06005859375,299.79937744140625,0.601466715335846,2018-01-01,R_A3,15,15,0,STANDARD,41,0.0,29
299.94677734375,1630.2586669921875,299.94677734375,0.8070210814476013,2018-01-01,R_A3,16,16,0,STANDARD,41,0.0,29
300.1625671386719,1633.477783203125,300.1625671386719,1.0,2018-01-01,R_A3,25,17,0,STANDARD,41,0.0,29
300.4179992675781,1637.2872314453125,300.4179992675781,0.05033941939473152,2018-01-01,R_A3,26,18,0,STANDARD,41,0.0,29
