DEPTH,WELLMODEL,DATE,CONKPOS,CONIDX,CONIPOS,SGAS,SWAT,CONBPRES,DRAWDOWN,WELL,CONJPOS,PRESSURE
1682.6849365234375,STANDARD,2018-01-01,29,23,22,0.0,1.0,303.927978515625,0,R_A2,29,303.927978515625
1609.37939453125,STANDARD,2018-01-01,1,1,28,0.0,0.6481541991233826,298.6265563964844,0,R_A3,41,298.6265563964844
1599.647216796875,STANDARD,2018-01-01,1,2,29,0.0,0.31066152453422546,297.9743957519531,0,R_A3,41,297.9743957519531
1601.78125,STANDARD,2018-01-01,2,3,29,0.0,0.18528629839420319,298.1174011230469,0,R_A3,41,298.1174011230469
1603.9151611328125,STANDARD,2018-01-01,3,4,29,0.0,0.18034054338932037,298.2603759765625,0,R_A3,41,298.2603759765625
1606.049072265625,STANDARD,2018-01-01,4,5,29,0.0,0.311896413564682,298.40338134765625,0,R_A3,41,298.40338134765625
1608.18310546875,STANDARD,2018-01-01,5,6,29,0.0,0.8076822757720947,298.54638671875,0,R_A3,41,298.54638671875
1610.3170166015625,STANDARD,2018-01-01,6,7,29,0.0,0.6481541991233826,298.6894226074219,0,R_A3,41,298.6894226074219
1612.4510498046875,STANDARD,2018-01-01,7,8,29,0.0,0.19737157225608826,298.8324279785156,0,R_A3,41,298.8324279785156
1614.5849609375,STANDARD,2018-01-01,8,9,29,0.0,0.19707052409648895,298.9754638671875,0,R_A3,41,298.9754638671875
1616.7188720703125,STANDARD,2018-01-01,9,10,29,0.0,0.6670517921447754,299.11846923828125,0,R_A3,41,299.11846923828125
1618.8529052734375,STANDARD,2018-01-01,10,11,29,0.0,0.6481541991233826,299.2615051269531,0,R_A3,41,299.2615051269531
1621.0482177734375,STANDARD,2018-01-01,11,12,29,0.0,0.046998023986816406,299.4086608886719,0,R_A3,41,299.4086608886719
1623.3048095703125,STANDARD,2018-01-01,12,13,29,0.0,0.05323531851172447,299.5599365234375,0,R_A3,41,299.5599365234375
1625.5614013671875,STANDARD,2018-01-01,13,14,29,0.0,0.3702649772167206,299.7112121582031,0,R_A3,41,299.7112121582031
1627.8179931640625,STANDARD,2018-01-01,14,15,29,0.0,0.202200248837471,299.86248779296875,0,R_A3,41,299.86248779296875
1630.0745849609375,STANDARD,2018-01-01,15,16,29,0.0,0.601466715335846,300.0137634277344,0,R_A3,41,300.0137634277344
