CONJPOS,DRAWDOWN,DEPTH,SGAS,SWAT,WELL,DATE,CONIDX,CONIPOS,PRESSURE,CONBPRES,WELLMODEL,CONKPOS
41,0,1621.794921875,0.0,0.134011909365654,R_A3,2018-01-01,7,28,299.4648132324219,299.4648132324219,STANDARD,7
41,0,1623.8839111328125,0.0,0.2099803388118744,R_A3,2018-01-01,8,28,299.6048278808594,299.6048278808594,STANDARD,8
41,0,1615.5555419921875,0.0,0.1976417601108551,R_A3,2018-01-01,9,29,299.0466003417969,299.0466003417969,STANDARD,8
41,0,1617.4500732421875,0.0,0.684001624584198,R_A3,2018-01-01,10,29,299.173583984375,299.173583984375,STANDARD,9
41,0,1619.344482421875,0.0,0.802771270275116,R_A3,2018-01-01,11,29,299.300537109375,299.300537109375,STANDARD,10
41,0,1621.394287109375,0.0,0.05033155530691147,R_A3,2018-01-01,12,29,299.4379577636719,299.4379577636719,STANDARD,11
41,0,1623.5992431640625,0.0,0.05363857373595238,R_A3,2018-01-01,13,29,299.58575439453125,299.58575439453125,STANDARD,12
41,0,1625.8043212890625,0.0,0.3715251088142395,R_A3,2018-01-01,14,29,299.73358154296875,299.73358154296875,STANDARD,13
41,0,1630.175537109375,0.0,0.4982706308364868,R_A3,2018-01-01,15,29,300.026611328125,300.026611328125,STANDARD,15
41,0,1631.6993408203125,0.0,0.8024277091026306,R_A3,2018-01-01,16,29,300.1287841796875,300.1287841796875,STANDARD,16
41,0,1632.280517578125,0.0,0.7698671221733093,R_A3,2018-01-01,17,29,300.167724609375,300.167724609375,STANDARD,17
41,0,1634.1356201171875,0.0,1.0,R_A3,2018-01-01,18,29,300.2921142578125,300.2921142578125,STANDARD,27
41,0,1637.603515625,0.0,0.08080202341079712,R_A3,2018-01-01,19,29,300.5246276855469,300.5246276855469,STANDARD,28
41,0,1641.071533203125,0.0,0.08140958845615387,R_A3,2018-01-01,20,29,300.7571716308594,300.7571716308594,STANDARD,29
41,0,1644.53955078125,0.0,0.6481541991233826,R_A3,2018-01-01,21,29,300.9897155761719,300.9897155761719,STANDARD,30
41,0,1648.0074462890625,0.0,0.061836011707782745,R_A3,2018-01-01,22,29,301.2222595214844,301.2222595214844,STANDARD,31
52,0,1625.2891845703125,0.0,0.04612366855144501,R_A4,2018-01-01,1,30,299.69903564453125,299.69903564453125,STANDARD,1
52,0,1622.84326171875,0.0,0.04555760324001312,R_A4,2018-01-01,2,31,299.5350646972656,299.5350646972656,STANDARD,1
52,0,1624.9423828125,0.0,0.04791446402668953,R_A4,2018-01-01,3,31,299.67578125,299.67578125,STANDARD,2
52,0,1627.0413818359375,0.0,0.04850161448121071,R_A4,2018-01-01,4,31,299.8164978027344,299.8164978027344,STANDARD,3
52,0,1629.1405029296875,0.0,0.0501575767993927,R_A4,2018-01-01,5,31,299.95721435546875,299.95721435546875,STANDARD,4
52,0,1631.239501953125,0.0,0.05175599828362465,R_A4,2018-01-01,6,31,300.09796142578125,300.09796142578125,STANDARD,5
52,0,1633.338623046875,0.0,0.05428893864154816,R_A4,2018-01-01,7,31,300.2386779785156,300.2386779785156,STANDARD,6
52,0,1632.048095703125,0.0,0.1061265841126442,R_A4,2018-01-01,8,32,300.15216064453125,300.15216064453125,STANDARD,6
52,0,1633.9495849609375,0.0,0.05533066391944885,R_A4,2018-01-01,9,32,300.2796325683594,300.2796325683594,STANDARD,7
51,0,1633.5660400390625,0.0,0.0552830770611763,R_A4,2018-01-01,10,32,300.2539367675781,300.2539367675781,STANDARD,7
51,0,1635.910400390625,0.0,0.14923126995563507,R_A4,2018-01-01,11,33,300.4111022949219,300.4111022949219,STANDARD,7
51,0,1637.79833984375,0.0,0.058682139962911606,R_A4,2018-01-01,12,33,300.5376892089844,300.5376892089844,STANDARD,8
50,0,1640.8099365234375,0.0,0.05982781574130058,R_A4,2018-01-01,13,33,300.7396240234375,300.7396240234375,STANDARD,8
50,0,1641.4837646484375,0.0,0.06082777678966522,R_A4,2018-01-01,14,34,300.7848205566406,300.7848205566406,STANDARD,8
50,0,1639.6695556640625,0.0,0.060797885060310364,R_A4,2018-01-01,15,34,300.66314697265625,300.66314697265625,STANDARD,7
50,0,1637.855224609375,0.0,0.13107465207576752,R_A4,2018-01-01,16,34,300.54150390625,300.54150390625,STANDARD,6
50,0,1641.02978515625,0.0,0.13624142110347748,R_A4,2018-01-01,17,35,300.7543640136719,300.7543640136719,STANDARD,6
50,0,1639.3179931640625,0.0,0.22403566539287567,R_A4,2018-01-01,18,35,300.63958740234375,300.63958740234375,STANDARD,5
49,0,1639.1646728515625,0.0,0.1356753408908844,R_A4,2018-01-01,19,35,300.6293029785156,300.6293029785156,STANDARD,30
49,0,1645.424560546875,0.0,0.1284767985343933,R_A4,2018-01-01,20,36,301.049072265625,301.049072265625,STANDARD,30
49,0,1639.58837890625,0.0,0.7182933688163757,R_A4,2018-01-01,21,36,300.65771484375,300.65771484375,STANDARD,29
48,0,1641.6143798828125,0.0,0.6481541991233826,R_A4,2018-01-01,22,36,300.7935791015625,300.7935791015625,STANDARD,29
48,0,1646.87353515625,0.0,0.8478614687919617,R_A4,2018-01-01,23,37,301.146240234375,301.146240234375,STANDARD,29
