CONIDX,DATE,DRAWDOWN,CONKPOS,PRESSURE,SWAT,CONJPOS,CONBPRES,CONIPOS,WELL,DEPTH,SGAS,WELLMODEL
8,2018-01-01,0,7,298.7490234375,0.19286741316318512,41,298.7490234375,29,R_A3,1610.4849853515625,0.0,STANDARD
9,2018-01-01,0,8,298.8940124511719,0.19147133827209473,41,298.8940124511719,29,R_A3,1612.6484375,0.0,STANDARD
10,2018-01-01,0,9,299.0390319824219,0.7979581356048584,41,299.0390319824219,29,R_A3,1614.8118896484375,0.0,STANDARD
11,2018-01-01,0,10,299.18402099609375,0.7902975678443909,41,299.18402099609375,29,R_A3,1616.975341796875,0.0,STANDARD
12,2018-01-01,0,11,299.33367919921875,0.046857066452503204,41,299.33367919921875,29,R_A3,1619.207763671875,0.0,STANDARD
13,2018-01-01,0,12,299.4879455566406,0.05164901912212372,41,299.4879455566406,29,R_A3,1621.50927734375,0.0,STANDARD
14,2018-01-01,0,13,299.6422119140625,0.3598867654800415,41,299.6422119140625,29,R_A3,1623.8106689453125,0.0,STANDARD
15,2018-01-01,0,15,299.9507751464844,0.4924100339412689,41,299.9507751464844,29,R_A3,1628.41357421875,0.0,STANDARD
16,2018-01-01,0,16,300.0901184082031,0.7990977168083191,41,300.0901184082031,29,R_A3,1630.4918212890625,0.0,STANDARD
17,2018-01-01,0,17,300.16015625,0.7596715688705444,41,300.16015625,29,R_A3,1631.536865234375,0.0,STANDARD
18,2018-01-01,0,26,300.2930908203125,0.6481541991233826,41,300.2930908203125,29,R_A3,1633.51953125,0.0,STANDARD
19,2018-01-01,0,27,300.5432434082031,0.04460595175623894,41,300.5432434082031,29,R_A3,1637.250244140625,0.0,STANDARD
20,2018-01-01,0,28,300.79339599609375,0.04705708101391792,41,300.79339599609375,29,R_A3,1640.98095703125,0.0,STANDARD
21,2018-01-01,0,29,301.0435485839844,0.1351427584886551,41,301.0435485839844,29,R_A3,1644.711669921875,0.0,STANDARD
22,2018-01-01,0,30,301.2937316894531,0.06026744470000267,41,301.2937316894531,29,R_A3,1648.4423828125,0.0,STANDARD
1,2018-01-01,0,1,300.2018737792969,0.05032261088490486,52,300.2018737792969,30,R_A4,1632.1590576171875,0.0,STANDARD
2,2018-01-01,0,1,299.8814392089844,0.04871789738535881,52,299.8814392089844,31,R_A4,1627.37939453125,0.0,STANDARD
3,2018-01-01,0,2,300.0137634277344,0.048604466021060944,52,300.0137634277344,31,R_A4,1629.3531494140625,0.0,STANDARD
4,2018-01-01,0,3,300.1460876464844,0.05001150444149971,52,300.1460876464844,31,R_A4,1631.326904296875,0.0,STANDARD
5,2018-01-01,0,4,300.2784118652344,0.05161992087960243,52,300.2784118652344,31,R_A4,1633.300537109375,0.0,STANDARD
6,2018-01-01,0,4,300.1720886230469,0.05113517493009567,52,300.1720886230469,32,R_A4,1631.7144775390625,0.0,STANDARD
7,2018-01-01,0,5,300.29388427734375,0.05251842364668846,52,300.29388427734375,32,R_A4,1633.531494140625,0.0,STANDARD
8,2018-01-01,0,5,300.4874572753906,0.05593358352780342,51,300.4874572753906,32,R_A4,1636.4185791015625,0.0,STANDARD
9,2018-01-01,0,5,300.51251220703125,0.24407930672168732,51,300.51251220703125,33,R_A4,1636.7919921875,0.0,STANDARD
10,2018-01-01,0,5,300.89129638671875,0.05808808282017708,50,300.89129638671875,33,R_A4,1642.4410400390625,0.0,STANDARD
11,2018-01-01,0,5,300.8140869140625,0.05836986005306244,50,300.8140869140625,34,R_A4,1641.289794921875,0.0,STANDARD
12,2018-01-01,0,4,300.6905212402344,0.06080060452222824,50,300.6905212402344,34,R_A4,1639.4466552734375,0.0,STANDARD
13,2018-01-01,0,4,300.77978515625,0.060068756341934204,50,300.77978515625,35,R_A4,1640.7783203125,0.0,STANDARD
14,2018-01-01,0,3,300.65692138671875,0.15605399012565613,50,300.65692138671875,35,R_A4,1638.9459228515625,0.0,STANDARD
15,2018-01-01,0,3,300.89105224609375,0.20631465315818787,49,300.89105224609375,35,R_A4,1642.4375,0.0,STANDARD
16,2018-01-01,0,29,300.80657958984375,0.6481541991233826,49,300.80657958984375,36,R_A4,1641.177490234375,0.0,STANDARD
17,2018-01-01,0,29,300.7624816894531,0.13598546385765076,48,300.7624816894531,36,R_A4,1640.520263671875,0.0,STANDARD
18,2018-01-01,0,29,301.3150634765625,1.0,48,301.3150634765625,37,R_A4,1648.76025390625,0.0,STANDARD
19,2018-01-01,0,29,301.7017822265625,0.6481541991233826,48,301.7017822265625,38,R_A4,1654.5264892578125,0.0,STANDARD
20,2018-01-01,0,28,301.3126220703125,0.058830369263887405,48,301.3126220703125,38,R_A4,1648.72412109375,0.0,STANDARD
21,2018-01-01,0,28,301.78277587890625,0.059308577328920364,47,301.78277587890625,38,R_A4,1655.7340087890625,0.0,STANDARD
1,2018-01-01,0,1,303.733154296875,1.0,20,303.733154296875,31,R_A5,1683.8560791015625,0.0,STANDARD
2,2018-01-01,0,2,303.9239807128906,1.0,20,303.9239807128906,31,R_A5,1685.8697509765625,0.0,STANDARD
3,2018-01-01,0,3,304.11480712890625,1.0,20,304.11480712890625,31,R_A5,1687.8834228515625,0.0,STANDARD
4,2018-01-01,0,4,304.3056335449219,1.0,20,304.3056335449219,31,R_A5,1689.8970947265625,0.0,STANDARD
5,2018-01-01,0,5,304.4964599609375,1.0,20,304.4964599609375,31,R_A5,1691.9107666015625,0.0,STANDARD
6,2018-01-01,0,6,304.6872863769531,1.0,20,304.6872863769531,31,R_A5,1693.9244384765625,0.0,STANDARD
7,2018-01-01,0,7,305.18389892578125,1.0,20,305.18389892578125,31,R_A5,1695.9381103515625,0.0,STANDARD
8,2018-01-01,0,7,304.9264221191406,1.0,21,304.9264221191406,31,R_A5,1693.22119140625,0.0,STANDARD
9,2018-01-01,0,8,305.1490173339844,1.0,21,305.1490173339844,31,R_A5,1695.570068359375,0.0,STANDARD
10,2018-01-01,0,9,305.3716125488281,1.0,21,305.3716125488281,31,R_A5,1697.9189453125,0.0,STANDARD
11,2018-01-01,0,11,305.4946594238281,1.0,21,305.4946594238281,31,R_A5,1702.442626953125,0.0,STANDARD
12,2018-01-01,0,12,305.6842346191406,1.0,21,305.6842346191406,31,R_A5,1704.443115234375,0.0,STANDARD
13,2018-01-01,0,13,305.88580322265625,1.0,21,305.88580322265625,31,R_A5,1706.443603515625,0.0,STANDARD
14,2018-01-01,0,14,306.07537841796875,1.0,21,306.07537841796875,31,R_A5,1708.444091796875,0.0,STANDARD
15,2018-01-01,0,15,306.2649841308594,1.0,21,306.2649841308594,31,R_A5,1710.444580078125,0.0,STANDARD
16,2018-01-01,0,16,306.5995788574219,1.0,21,306.5995788574219,31,R_A5,1712.445068359375,0.0,STANDARD
17,2018-01-01,0,17,306.7643127441406,1.0,21,306.7643127441406,31,R_A5,1714.183349609375,0.0,STANDARD
18,2018-01-01,0,18,306.86639404296875,1.0,21,306.86639404296875,31,R_A5,1715.2603759765625,0.0,STANDARD
19,2018-01-01,0,19,306.91925048828125,1.0,21,306.91925048828125,31,R_A5,1715.8179931640625,0.0,STANDARD
20,2018-01-01,0,26,306.88067626953125,1.0,21,306.88067626953125,31,R_A5,1717.0687255859375,0.0,STANDARD
21,2018-01-01,0,27,307.0762634277344,1.0,21,307.0762634277344,31,R_A5,1719.13232421875,0.0,STANDARD
22,2018-01-01,0,28,307.57763671875,1.0,21,307.57763671875,31,R_A5,1721.1959228515625,0.0,STANDARD
23,2018-01-01,0,29,307.773193359375,1.0,21,307.773193359375,31,R_A5,1723.259521484375,0.0,STANDARD
24,2018-01-01,0,30,307.9687805175781,1.0,21,307.9687805175781,31,R_A5,1725.3231201171875,0.0,STANDARD
1,2018-01-01,0,1,305.07379150390625,1.0,42,305.07379150390625,17,R_A6,1694.776123046875,0.0,STANDARD
