CONKPOS,CONIPOS,PRESSURE,SWAT,CONBPRES,DRAWDOWN,WELL,SGAS,DEPTH,CONJPOS,CONIDX,DATE,WELLMODEL
30,29,300.89739990234375,1.0,300.89739990234375,0,R_A3,0.0,1644.4371337890625,41,20,2018-01-01,STANDARD
31,29,301.14129638671875,0.06235086917877197,301.14129638671875,0,R_A3,0.0,1648.0740966796875,41,21,2018-01-01,STANDARD
1,30,300.009033203125,0.04969937726855278,300.009033203125,0,R_A4,0.0,1631.1873779296875,52,1,2018-01-01,STANDARD
1,31,299.7571105957031,0.04972411319613457,299.7571105957031,0,R_A4,0.0,1627.4293212890625,52,2,2018-01-01,STANDARD
2,31,299.89520263671875,0.05124127119779587,299.89520263671875,0,R_A4,0.0,1629.4896240234375,52,3,2018-01-01,STANDARD
3,31,300.0333251953125,0.05373745784163475,300.0333251953125,0,R_A4,0.0,1631.5498046875,52,4,2018-01-01,STANDARD
4,31,300.17144775390625,0.05840654298663139,300.17144775390625,0,R_A4,0.0,1633.610107421875,52,5,2018-01-01,STANDARD
4,32,300.0901184082031,0.05641423910856247,300.0901184082031,0,R_A4,0.0,1632.3968505859375,52,6,2018-01-01,STANDARD
4,32,300.3236999511719,0.059060242027044296,300.3236999511719,0,R_A4,0.0,1635.880615234375,51,7,2018-01-01,STANDARD
4,33,300.4202575683594,0.0928310677409172,300.4202575683594,0,R_A4,0.0,1637.321044921875,51,8,2018-01-01,STANDARD
3,33,300.29644775390625,0.1678450107574463,300.29644775390625,0,R_A4,0.0,1635.474609375,51,9,2018-01-01,STANDARD
4,33,300.74395751953125,0.18907098472118378,300.74395751953125,0,R_A4,0.0,1642.1485595703125,50,10,2018-01-01,STANDARD
4,34,300.67578125,0.16031335294246674,300.67578125,0,R_A4,0.0,1641.132080078125,50,11,2018-01-01,STANDARD
3,34,300.5467224121094,0.25342857837677,300.5467224121094,0,R_A4,0.0,1639.20703125,50,12,2018-01-01,STANDARD
3,35,300.66064453125,0.16939347982406616,300.66064453125,0,R_A4,0.0,1640.9061279296875,50,13,2018-01-01,STANDARD
2,35,300.53570556640625,0.23071172833442688,300.53570556640625,0,R_A4,0.0,1639.0426025390625,50,14,2018-01-01,STANDARD
2,35,300.72943115234375,0.23815256357192993,300.72943115234375,0,R_A4,0.0,1641.93212890625,49,15,2018-01-01,STANDARD
30,36,300.7579650878906,0.8387154340744019,300.7579650878906,0,R_A4,0.0,1642.357421875,49,16,2018-01-01,STANDARD
30,36,300.5735168457031,0.6481541991233826,300.5735168457031,0,R_A4,0.0,1639.6068115234375,48,17,2018-01-01,STANDARD
30,37,301.0526123046875,0.8328254222869873,301.0526123046875,0,R_A4,0.0,1646.7513427734375,48,18,2018-01-01,STANDARD
30,38,301.5025939941406,0.6481541991233826,301.5025939941406,0,R_A4,0.0,1653.461669921875,48,19,2018-01-01,STANDARD
30,38,301.7947998046875,0.8453923463821411,301.7947998046875,0,R_A4,0.0,1657.8184814453125,47,20,2018-01-01,STANDARD
1,31,303.8440856933594,1.0,303.8440856933594,0,R_A5,0.0,1685.026611328125,20,1,2018-01-01,STANDARD
2,31,304.0601806640625,1.0,304.0601806640625,0,R_A5,0.0,1687.3070068359375,20,2,2018-01-01,STANDARD
3,31,304.27630615234375,1.0,304.27630615234375,0,R_A5,0.0,1689.5875244140625,20,3,2018-01-01,STANDARD
4,31,304.4924011230469,1.0,304.4924011230469,0,R_A5,0.0,1691.8680419921875,20,4,2018-01-01,STANDARD
5,31,304.7085266113281,1.0,304.7085266113281,0,R_A5,0.0,1694.1485595703125,20,5,2018-01-01,STANDARD
6,31,304.9246520996094,1.0,304.9246520996094,0,R_A5,0.0,1696.4290771484375,20,6,2018-01-01,STANDARD
7,31,305.446533203125,1.0,305.446533203125,0,R_A5,0.0,1698.70947265625,20,7,2018-01-01,STANDARD
11,31,305.988037109375,1.0,305.988037109375,0,R_A5,0.0,1707.6488037109375,20,8,2018-01-01,STANDARD
12,31,306.1695251464844,1.0,306.1695251464844,0,R_A5,0.0,1709.5638427734375,20,9,2018-01-01,STANDARD
12,31,305.4322814941406,1.0,305.4322814941406,0,R_A5,0.0,1701.7845458984375,21,10,2018-01-01,STANDARD
13,31,305.6291198730469,1.0,305.6291198730469,0,R_A5,0.0,1703.735107421875,21,11,2018-01-01,STANDARD
14,31,305.81396484375,1.0,305.81396484375,0,R_A5,0.0,1705.6856689453125,21,12,2018-01-01,STANDARD
15,31,305.9988098144531,1.0,305.9988098144531,0,R_A5,0.0,1707.63623046875,21,13,2018-01-01,STANDARD
16,31,306.3287048339844,1.0,306.3287048339844,0,R_A5,0.0,1709.5867919921875,21,14,2018-01-01,STANDARD
17,31,306.5135498046875,1.0,306.5135498046875,0,R_A5,0.0,1711.537353515625,21,15,2018-01-01,STANDARD
18,31,306.6856994628906,1.0,306.6856994628906,0,R_A5,0.0,1713.35400390625,21,16,2018-01-01,STANDARD
19,31,306.7843933105469,1.0,306.7843933105469,0,R_A5,0.0,1714.3951416015625,21,17,2018-01-01,STANDARD
27,31,306.75689697265625,1.0,306.75689697265625,0,R_A5,0.0,1715.7628173828125,21,18,2018-01-01,STANDARD
28,31,306.978271484375,1.0,306.978271484375,0,R_A5,0.0,1718.098388671875,21,19,2018-01-01,STANDARD
29,31,307.5054016113281,1.0,307.5054016113281,0,R_A5,0.0,1720.43408203125,21,20,2018-01-01,STANDARD
30,31,307.7267761230469,1.0,307.7267761230469,0,R_A5,0.0,1722.7696533203125,21,21,2018-01-01,STANDARD
31,31,307.9481506347656,1.0,307.9481506347656,0,R_A5,0.0,1725.105224609375,21,22,2018-01-01,STANDARD
1,17,305.11419677734375,1.0,305.11419677734375,0,R_A6,0.0,1695.20263671875,42,1,2018-01-01,STANDARD
2,17,304.9618835449219,1.0,304.9618835449219,0,R_A6,0.0,1696.7510986328125,42,2,2018-01-01,STANDARD
3,17,305.4076843261719,1.0,305.4076843261719,0,R_A6,0.0,1698.299560546875,42,3,2018-01-01,STANDARD
4,17,305.554443359375,1.0,305.554443359375,0,R_A6,0.0,1699.84814453125,42,4,2018-01-01,STANDARD
5,17,305.7012023925781,1.0,305.7012023925781,0,R_A6,0.0,1701.3966064453125,42,5,2018-01-01,STANDARD
6,17,305.84796142578125,1.0,305.84796142578125,0,R_A6,0.0,1702.9451904296875,42,6,2018-01-01,STANDARD
7,17,305.6956481933594,1.0,305.6956481933594,0,R_A6,0.0,1704.49365234375,42,7,2018-01-01,STANDARD
8,17,305.8424072265625,1.0,305.8424072265625,0,R_A6,0.0,1706.042236328125,42,8,2018-01-01,STANDARD
9,17,306.2882080078125,1.0,306.2882080078125,0,R_A6,0.0,1707.5906982421875,42,9,2018-01-01,STANDARD
10,17,306.1291809082031,1.0,306.1291809082031,0,R_A6,0.0,1709.1392822265625,42,10,2018-01-01,STANDARD
11,17,306.3109130859375,1.0,306.3109130859375,0,R_A6,0.0,1711.055419921875,42,11,2018-01-01,STANDARD
12,17,306.52734375,1.0,306.52734375,0,R_A6,0.0,1713.3392333984375,42,12,2018-01-01,STANDARD
13,17,306.7557678222656,1.0,306.7557678222656,0,R_A6,0.0,1715.623046875,42,13,2018-01-01,STANDARD
14,17,306.9721984863281,1.0,306.9721984863281,0,R_A6,0.0,1717.9068603515625,42,14,2018-01-01,STANDARD
15,17,307.18865966796875,1.0,307.18865966796875,0,R_A6,0.0,1720.190673828125,42,15,2018-01-01,STANDARD
16,17,307.55010986328125,1.0,307.55010986328125,0,R_A6,0.0,1722.474365234375,42,16,2018-01-01,STANDARD
17,17,307.7665710449219,1.0,307.7665710449219,0,R_A6,0.0,1724.7581787109375,42,17,2018-01-01,STANDARD
18,17,307.921630859375,1.0,307.921630859375,0,R_A6,0.0,1726.394287109375,42,18,2018-01-01,STANDARD
27,17,307.8930969238281,1.0,307.8930969238281,0,R_A6,0.0,1727.7508544921875,42,19,2018-01-01,STANDARD
28,17,308.3623352050781,1.0,308.3623352050781,0,R_A6,0.0,1729.4755859375,42,20,2018-01-01,STANDARD
29,17,308.52581787109375,1.0,308.52581787109375,0,R_A6,0.0,1731.2001953125,42,21,2018-01-01,STANDARD
30,17,308.68927001953125,1.0,308.68927001953125,0,R_A6,0.0,1732.9249267578125,42,22,2018-01-01,STANDARD
31,17,308.5469665527344,1.0,308.5469665527344,0,R_A6,0.0,1734.649658203125,42,23,2018-01-01,STANDARD
1,22,297.7154541015625,0.05772291123867035,297.7154541015625,0,R_A2,0.0,1641.094970703125,30,1,2018-03-01,STANDARD
2,22,297.8357238769531,0.05859604850411415,297.8357238769531,0,R_A2,0.0,1642.8890380859375,30,2,2018-03-01,STANDARD
3,22,297.9559631347656,0.061260513961315155,297.9559631347656,0,R_A2,0.0,1644.68310546875,30,3,2018-03-01,STANDARD
4,22,298.0762023925781,0.06644907593727112,298.0762023925781,0,R_A2,0.0,1646.4771728515625,30,4,2018-03-01,STANDARD
5,22,298.1964416503906,0.06892773509025574,298.1964416503906,0,R_A2,0.0,1648.2713623046875,30,5,2018-03-01,STANDARD
6,22,298.34661865234375,0.3119692802429199,298.34661865234375,0,R_A2,0.0,1650.0654296875,30,6,2018-03-01,STANDARD
7,22,298.4727783203125,0.8977633118629456,298.4727783203125,0,R_A2,0.0,1651.859619140625,30,7,2018-03-01,STANDARD
8,22,298.59893798828125,0.8617526292800903,298.59893798828125,0,R_A2,0.0,1653.6536865234375,30,8,2018-03-01,STANDARD
9,22,298.8900451660156,0.9104511141777039,298.8900451660156,0,R_A2,0.0,1655.44775390625,30,9,2018-03-01,STANDARD
10,22,299.278564453125,0.9082810282707214,299.278564453125,0,R_A2,0.0,1657.2418212890625,30,10,2018-03-01,STANDARD
11,22,299.4405212402344,0.07616036385297775,299.4405212402344,0,R_A2,0.0,1659.1368408203125,30,11,2018-03-01,STANDARD
12,22,299.5623474121094,0.07980833947658539,299.5623474121094,0,R_A2,0.0,1661.132568359375,30,12,2018-03-01,STANDARD
13,22,299.72650146484375,0.4493461549282074,299.72650146484375,0,R_A2,0.0,1663.12841796875,30,13,2018-03-01,STANDARD
14,22,299.8628234863281,0.5075424313545227,299.8628234863281,0,R_A2,0.0,1665.1241455078125,30,14,2018-03-01,STANDARD
15,22,300.0013732910156,0.6859791874885559,300.0013732910156,0,R_A2,0.0,1667.1199951171875,30,15,2018-03-01,STANDARD
16,22,300.1357421875,0.9714477062225342,300.1357421875,0,R_A2,0.0,1669.11572265625,30,16,2018-03-01,STANDARD
17,22,300.27032470703125,0.9484982490539551,300.27032470703125,0,R_A2,0.0,1671.111572265625,30,17,2018-03-01,STANDARD
18,22,300.3964538574219,0.9796169996261597,300.3964538574219,0,R_A2,0.0,1672.9881591796875,30,18,2018-03-01,STANDARD
18,22,300.41485595703125,0.9940487146377563,300.41485595703125,0,R_A2,0.0,1674.229736328125,29,19,2018-03-01,STANDARD
27,22,299.73004150390625,0.6483817100524902,299.73004150390625,0,R_A2,0.0,1676.1676025390625,29,20,2018-03-01,STANDARD
28,22,303.44384765625,1.0,303.44384765625,0,R_A2,-1.1747758290518804e-15,1677.9368896484375,29,21,2018-03-01,STANDARD
29,22,303.6081848144531,1.0,303.6081848144531,0,R_A2,-4.908345759288633e-16,1679.7061767578125,29,22,2018-03-01,STANDARD
30,22,303.7789611816406,1.0,303.7789611816406,0,R_A2,-3.594374253157375e-16,1681.4754638671875,29,23,2018-03-01,STANDARD
31,22,303.95849609375,1.0,303.95849609375,0,R_A2,-2.9770508178469284e-17,1683.2447509765625,29,24,2018-03-01,STANDARD
1,31,286.08837890625,1.0,286.08837890625,0,R_A5,-2.0516121787550468e-11,1685.026611328125,20,1,2018-04-28,STANDARD
2,31,286.3043212890625,1.0,286.3043212890625,0,R_A5,-1.8911225016515765e-11,1687.3070068359375,20,2,2018-04-28,STANDARD
3,31,286.52032470703125,1.0,286.52032470703125,0,R_A5,-1.7928127732380617e-11,1689.5875244140625,20,3,2018-04-28,STANDARD
4,31,286.7362976074219,1.0,286.7362976074219,0,R_A5,-1.9938984491263412e-11,1691.8680419921875,20,4,2018-04-28,STANDARD
5,31,286.9523010253906,1.0,286.9523010253906,0,R_A5,-1.943029070972102e-11,1694.1485595703125,20,5,2018-04-28,STANDARD
6,31,287.16827392578125,1.0,287.16827392578125,0,R_A5,-1.8557518369211046e-11,1696.4290771484375,20,6,2018-04-28,STANDARD
7,31,287.7185363769531,1.0,287.7185363769531,0,R_A5,-8.142579492609325e-13,1698.70947265625,20,7,2018-04-28,STANDARD
11,31,286.8934020996094,1.0,286.8934020996094,0,R_A5,-3.0859145794259746e-10,1707.6488037109375,20,8,2018-04-28,STANDARD
12,31,287.06304931640625,1.0,287.06304931640625,0,R_A5,-2.741196436506499e-10,1709.5638427734375,20,9,2018-04-28,STANDARD
12,31,285.2987060546875,1.0,285.2987060546875,0,R_A5,-1.5852991142040196e-09,1701.7845458984375,21,10,2018-04-28,STANDARD
13,31,285.4932556152344,1.0,285.4932556152344,0,R_A5,-5.754201629071254e-11,1703.735107421875,21,11,2018-04-28,STANDARD
14,31,285.67535400390625,1.0,285.67535400390625,0,R_A5,-1.8018610214998176e-10,1705.6856689453125,21,12,2018-04-28,STANDARD
15,31,285.8567810058594,1.0,285.8567810058594,0,R_A5,-6.615800268727767e-11,1707.63623046875,21,13,2018-04-28,STANDARD
16,31,286.1734313964844,1.0,286.1734313964844,0,R_A5,-4.8451912620928184e-11,1709.5867919921875,21,14,2018-04-28,STANDARD
17,31,286.32000732421875,1.0,286.32000732421875,0,R_A5,-1.4217534267946252e-11,1711.537353515625,21,15,2018-04-28,STANDARD
18,31,286.44976806640625,1.0,286.44976806640625,0,R_A5,-2.8097224200052118e-11,1713.35400390625,21,16,2018-04-28,STANDARD
19,31,286.5275573730469,1.0,286.5275573730469,0,R_A5,0.0,1714.3951416015625,21,17,2018-04-28,STANDARD
27,31,286.49566650390625,1.0,286.49566650390625,0,R_A5,-1.353605378826006e-12,1715.7628173828125,21,18,2018-04-28,STANDARD
28,31,286.7162170410156,1.0,286.7162170410156,0,R_A5,-2.5583057807615495e-12,1718.098388671875,21,19,2018-04-28,STANDARD
29,31,291.3179931640625,1.0,291.3179931640625,0,R_A5,-1.4522541180894427e-19,1720.43408203125,21,20,2018-04-28,STANDARD
30,31,287.27862548828125,1.0,287.27862548828125,0,R_A5,-9.04521482838853e-19,1722.7696533203125,21,21,2018-04-28,STANDARD
31,31,296.58575439453125,1.0,296.58575439453125,0,R_A5,-8.55677088053056e-19,1725.105224609375,21,22,2018-04-28,STANDARD
1,28,270.4268798828125,0.6499361395835876,270.4268798828125,0,R_A3,0.0,1609.243408203125,41,1,2018-07-03,STANDARD
2,28,270.5570068359375,0.1985454261302948,270.5570068359375,0,R_A3,0.0,1611.3077392578125,41,2,2018-07-03,STANDARD
3,28,270.6943054199219,0.19413980841636658,270.6943054199219,0,R_A3,0.0,1613.3720703125,41,3,2018-07-03,STANDARD
4,28,270.8315734863281,0.25609272718429565,270.8315734863281,0,R_A3,0.0,1615.4365234375,41,4,2018-07-03,STANDARD
5,28,270.9678649902344,0.8259263634681702,270.9678649902344,0,R_A3,0.0,1617.5008544921875,41,5,2018-07-03,STANDARD
6,28,270.9937744140625,0.6525117754936218,270.9937744140625,0,R_A3,0.0,1619.565185546875,41,6,2018-07-03,STANDARD
6,29,270.3315734863281,0.6534984707832336,270.3315734863281,0,R_A3,0.0,1609.3663330078125,41,7,2018-07-03,STANDARD
7,29,270.47552490234375,0.2008027732372284,270.47552490234375,0,R_A3,0.0,1611.4163818359375,41,8,2018-07-03,STANDARD
8,29,270.6119689941406,0.20412452518939972,270.6119689941406,0,R_A3,0.0,1613.46630859375,41,9,2018-07-03,STANDARD
9,29,270.9318542480469,0.8013061881065369,270.9318542480469,0,R_A3,0.0,1615.516357421875,41,10,2018-07-03,STANDARD
10,29,280.9515686035156,0.79121994972229,280.9515686035156,0,R_A3,0.0,1617.5662841796875,41,11,2018-07-03,STANDARD
11,29,283.2830810546875,0.04776620492339134,283.2830810546875,0,R_A3,0.0,1619.750732421875,41,12,2018-07-03,STANDARD
12,29,283.43792724609375,0.054764460772275925,283.43792724609375,0,R_A3,0.0,1622.0697021484375,41,13,2018-07-03,STANDARD
13,29,283.5931091308594,0.37012872099876404,283.5931091308594,0,R_A3,0.0,1624.388671875,41,14,2018-07-03,STANDARD
15,29,283.5569152832031,0.402726411819458,283.5569152832031,0,R_A3,0.0,1629.026611328125,41,15,2018-07-03,STANDARD
16,29,283.6670227050781,0.8024235367774963,283.6670227050781,0,R_A3,0.0,1630.9468994140625,41,16,2018-07-03,STANDARD
27,29,283.52984619140625,0.6557520031929016,283.52984619140625,0,R_A3,0.0,1633.5262451171875,41,17,2018-07-03,STANDARD
28,29,283.7300720214844,0.04684438928961754,283.7300720214844,0,R_A3,0.0,1637.1630859375,41,18,2018-07-03,STANDARD
29,29,283.972900390625,0.05478183925151825,283.972900390625,0,R_A3,0.0,1640.8001708984375,41,19,2018-07-03,STANDARD
30,29,286.8246154785156,1.0,286.8246154785156,0,R_A3,9.388779494525282e-14,1644.4371337890625,41,20,2018-07-03,STANDARD
31,29,284.4929504394531,0.06270834803581238,284.4929504394531,0,R_A3,0.0,1648.0740966796875,41,21,2018-07-03,STANDARD
1,30,276.0653076171875,0.049816448241472244,276.0653076171875,0,R_A4,0.0,1631.1873779296875,52,1,2018-09-12,STANDARD
1,31,275.9022521972656,0.049864884465932846,275.9022521972656,0,R_A4,0.0,1627.4293212890625,52,2,2018-09-12,STANDARD
2,31,276.0395202636719,0.05138304457068443,276.0395202636719,0,R_A4,0.0,1629.4896240234375,52,3,2018-09-12,STANDARD
3,31,276.1767578125,0.05386946350336075,276.1767578125,0,R_A4,0.0,1631.5498046875,52,4,2018-09-12,STANDARD
4,31,276.3139953613281,0.058507196605205536,276.3139953613281,0,R_A4,0.0,1633.610107421875,52,5,2018-09-12,STANDARD
4,32,276.29168701171875,0.05650646239519119,276.29168701171875,0,R_A4,0.0,1632.3968505859375,52,6,2018-09-12,STANDARD
4,32,276.4593505859375,0.05913239344954491,276.4593505859375,0,R_A4,0.0,1635.880615234375,51,7,2018-09-12,STANDARD
4,33,276.5160827636719,0.0930422767996788,276.5160827636719,0,R_A4,0.0,1637.321044921875,51,8,2018-09-12,STANDARD
3,33,276.3937683105469,0.16816650331020355,276.3937683105469,0,R_A4,0.0,1635.474609375,51,9,2018-09-12,STANDARD
4,33,276.1576232910156,0.19544485211372375,276.1576232910156,0,R_A4,0.0,1642.1485595703125,50,10,2018-09-12,STANDARD
4,34,276.01800537109375,0.16164962947368622,276.01800537109375,0,R_A4,0.0,1641.132080078125,50,11,2018-09-12,STANDARD
3,34,275.8890686035156,0.2550677955150604,275.8890686035156,0,R_A4,0.0,1639.20703125,50,12,2018-09-12,STANDARD
3,35,276.0348205566406,0.17040351033210754,276.0348205566406,0,R_A4,0.0,1640.9061279296875,50,13,2018-09-12,STANDARD
2,35,275.91204833984375,0.23185397684574127,275.91204833984375,0,R_A4,0.0,1639.0426025390625,50,14,2018-09-12,STANDARD
2,35,275.7997131347656,0.23816382884979248,275.7997131347656,0,R_A4,0.0,1641.93212890625,49,15,2018-09-12,STANDARD
30,36,281.69329833984375,0.8377656936645508,281.69329833984375,0,R_A4,0.0,1642.357421875,49,16,2018-09-12,STANDARD
30,36,273.1642150878906,0.6566542983055115,273.1642150878906,0,R_A4,0.0,1639.6068115234375,48,17,2018-09-12,STANDARD
30,37,277.60888671875,0.8316020965576172,277.60888671875,0,R_A4,0.0,1646.7513427734375,48,18,2018-09-12,STANDARD
30,38,275.9523010253906,0.6875137686729431,275.9523010253906,0,R_A4,0.0,1653.461669921875,48,19,2018-09-12,STANDARD
30,38,277.50555419921875,0.8442197442054749,277.50555419921875,0,R_A4,0.0,1657.8184814453125,47,20,2018-09-12,STANDARD
1,17,273.0916748046875,1.0,273.0916748046875,0,R_A6,-4.015531396978078e-12,1695.20263671875,42,1,2018-11-07,STANDARD
2,17,272.9388122558594,1.0,272.9388122558594,0,R_A6,-1.0072460226995261e-11,1696.7510986328125,42,2,2018-11-07,STANDARD
3,17,273.42645263671875,1.0,273.42645263671875,0,R_A6,-1.651310338468548e-11,1698.299560546875,42,3,2018-11-07,STANDARD
4,17,273.59259033203125,1.0,273.59259033203125,0,R_A6,-1.3280620093231166e-13,1699.84814453125,42,4,2018-11-07,STANDARD
5,17,273.7574462890625,1.0,273.7574462890625,0,R_A6,-1.41274822786433e-13,1701.3966064453125,42,5,2018-11-07,STANDARD
6,17,273.9129333496094,1.0,273.9129333496094,0,R_A6,-5.572663858144367e-12,1702.9451904296875,42,6,2018-11-07,STANDARD
7,17,273.76702880859375,1.0,273.76702880859375,0,R_A6,-8.629114783831326e-12,1704.49365234375,42,7,2018-11-07,STANDARD
8,17,273.9300842285156,1.0,273.9300842285156,0,R_A6,-1.7321542420886682e-12,1706.042236328125,42,8,2018-11-07,STANDARD
9,17,274.40716552734375,1.0,274.40716552734375,0,R_A6,-1.9838159435493774e-13,1707.5906982421875,42,9,2018-11-07,STANDARD
10,17,274.304443359375,1.0,274.304443359375,0,R_A6,-1.0591578829266535e-11,1709.1392822265625,42,10,2018-11-07,STANDARD
11,17,274.4061584472656,1.0,274.4061584472656,0,R_A6,-1.9343224938461745e-12,1711.055419921875,42,11,2018-11-07,STANDARD
12,17,274.622314453125,1.0,274.622314453125,0,R_A6,-2.2533511786094335e-13,1713.3392333984375,42,12,2018-11-07,STANDARD
13,17,274.8503723144531,1.0,274.8503723144531,0,R_A6,-1.1480906489716967e-14,1715.623046875,42,13,2018-11-07,STANDARD
14,17,275.0663146972656,1.0,275.0663146972656,0,R_A6,-7.891384994193531e-15,1717.9068603515625,42,14,2018-11-07,STANDARD
15,17,275.27978515625,1.0,275.27978515625,0,R_A6,-4.2661758830199025e-15,1720.190673828125,42,15,2018-11-07,STANDARD
16,17,275.63275146484375,1.0,275.63275146484375,0,R_A6,-1.1244639778091063e-15,1722.474365234375,42,16,2018-11-07,STANDARD
