WELL,CONIPOS,DEPTH,CONJPOS,SGAS,CONBPRES,CONKPOS,CONIDX,WELLMODEL,DATE,DRAWDOWN,PRESSURE,SWAT
R_A4,31,1627.3284912109375,52,0.0,299.82635498046875,1,2,STANDARD,2018-01-01,0,299.82635498046875,0.047815024852752686
R_A4,31,1629.385009765625,52,0.0,299.9642333984375,2,3,STANDARD,2018-01-01,0,299.9642333984375,0.049767881631851196
R_A4,31,1631.4415283203125,52,0.0,300.1020812988281,3,4,STANDARD,2018-01-01,0,300.1020812988281,0.05221857130527496
R_A4,31,1633.498046875,52,0.0,300.2399597167969,4,5,STANDARD,2018-01-01,0,300.2399597167969,0.05361446738243103
R_A4,32,1633.934326171875,52,0.0,300.26922607421875,4,6,STANDARD,2018-01-01,0,300.26922607421875,0.05492560938000679
R_A4,32,1635.8033447265625,52,0.0,300.39453125,5,7,STANDARD,2018-01-01,0,300.39453125,0.05799615755677223
R_A4,32,1638.697509765625,51,0.0,300.5885925292969,5,8,STANDARD,2018-01-01,0,300.5885925292969,0.22098873555660248
R_A4,32,1636.9166259765625,51,0.0,300.46917724609375,4,9,STANDARD,2018-01-01,0,300.46917724609375,0.05774744227528572
R_A4,33,1637.7822265625,51,0.0,300.5272216796875,4,10,STANDARD,2018-01-01,0,300.5272216796875,0.05865238606929779
R_A4,33,1635.92333984375,51,0.0,300.402587890625,3,11,STANDARD,2018-01-01,0,300.402587890625,0.05594330653548241
R_A4,34,1637.380859375,51,0.0,300.50030517578125,4,12,STANDARD,2018-01-01,0,300.50030517578125,0.07747630029916763
R_A4,34,1640.5634765625,50,0.0,300.71368408203125,4,13,STANDARD,2018-01-01,0,300.71368408203125,0.12187540531158447
R_A4,35,1639.6368408203125,50,0.0,300.65155029296875,4,14,STANDARD,2018-01-01,0,300.65155029296875,0.22912098467350006
R_A4,35,1637.80517578125,50,0.0,300.52874755859375,3,15,STANDARD,2018-01-01,0,300.52874755859375,0.19862432777881622
R_A4,35,1639.72705078125,49,0.0,300.6576232910156,32,16,STANDARD,2018-01-01,0,300.6576232910156,0.6481541991233826
R_A4,36,1642.0836181640625,49,0.0,300.8156433105469,32,17,STANDARD,2018-01-01,0,300.8156433105469,0.19275841116905212
R_A4,36,1641.39453125,48,0.0,300.7694091796875,32,18,STANDARD,2018-01-01,0,300.7694091796875,0.6481541991233826
R_A4,37,1644.6756591796875,48,0.0,300.98944091796875,32,19,STANDARD,2018-01-01,0,300.98944091796875,0.054591089487075806
R_A4,37,1650.3953857421875,48,0.0,301.3730163574219,33,20,STANDARD,2018-01-01,0,301.3730163574219,0.8335236310958862
R_A4,38,1647.44970703125,48,0.0,301.17547607421875,32,21,STANDARD,2018-01-01,0,301.17547607421875,0.16687288880348206
R_A4,38,1655.78515625,47,0.0,301.7344970703125,32,22,STANDARD,2018-01-01,0,301.7344970703125,0.06723368167877197
R_A5,31,1684.281005859375,20,0.0,303.7734375,1,1,STANDARD,2018-01-01,0,303.7734375,1.0
R_A5,31,1686.5238037109375,20,0.0,303.9859619140625,2,2,STANDARD,2018-01-01,0,303.9859619140625,1.0
R_A5,31,1688.7667236328125,20,0.0,304.1985168457031,3,3,STANDARD,2018-01-01,0,304.1985168457031,1.0
R_A5,31,1691.009521484375,20,0.0,304.4110412597656,4,4,STANDARD,2018-01-01,0,304.4110412597656,1.0
R_A5,31,1693.2523193359375,20,0.0,304.62359619140625,5,5,STANDARD,2018-01-01,0,304.62359619140625,1.0
R_A5,31,1695.4952392578125,20,0.0,304.8361511230469,6,6,STANDARD,2018-01-01,0,304.8361511230469,1.0
R_A5,31,1697.7381591796875,20,0.0,305.3544921875,7,7,STANDARD,2018-01-01,0,305.3544921875,1.0
R_A5,31,1706.5748291015625,20,0.0,305.8862609863281,11,8,STANDARD,2018-01-01,0,305.8862609863281,1.0
R_A5,31,1700.7694091796875,21,0.0,305.3360900878906,11,9,STANDARD,2018-01-01,0,305.3360900878906,1.0
R_A5,31,1702.6873779296875,21,0.0,305.5178527832031,12,10,STANDARD,2018-01-01,0,305.5178527832031,1.0
R_A5,31,1704.6053466796875,21,0.0,305.7115783691406,13,11,STANDARD,2018-01-01,0,305.7115783691406,1.0
R_A5,31,1706.523193359375,21,0.0,305.8933410644531,14,12,STANDARD,2018-01-01,0,305.8933410644531,1.0
R_A5,31,1708.4410400390625,21,0.0,306.0751037597656,15,13,STANDARD,2018-01-01,0,306.0751037597656,1.0
R_A5,31,1710.3590087890625,21,0.0,306.4018859863281,16,14,STANDARD,2018-01-01,0,306.4018859863281,1.0
R_A5,31,1712.2769775390625,21,0.0,306.5836486816406,17,15,STANDARD,2018-01-01,0,306.5836486816406,1.0
R_A5,31,1714.1639404296875,21,0.0,306.7624816894531,18,16,STANDARD,2018-01-01,0,306.7624816894531,1.0
R_A5,31,1716.46630859375,21,0.0,306.8235778808594,29,17,STANDARD,2018-01-01,0,306.8235778808594,1.0
R_A5,31,1718.87353515625,21,0.0,307.0517272949219,30,18,STANDARD,2018-01-01,0,307.0517272949219,1.0
R_A5,31,1721.28076171875,21,0.0,307.5856628417969,31,19,STANDARD,2018-01-01,0,307.5856628417969,1.0
R_A5,31,1723.68798828125,21,0.0,307.8138122558594,32,20,STANDARD,2018-01-01,0,307.8138122558594,1.0
R_A5,31,1726.09521484375,21,0.0,308.0419616699219,33,21,STANDARD,2018-01-01,0,308.0419616699219,1.0
R_A6,17,1695.8302001953125,42,0.0,305.1736755371094,1,1,STANDARD,2018-01-01,0,305.1736755371094,1.0
R_A6,17,1697.39453125,42,0.0,305.3219299316406,2,2,STANDARD,2018-01-01,0,305.3219299316406,1.0
R_A6,17,1698.958984375,42,0.0,305.4701843261719,3,3,STANDARD,2018-01-01,0,305.4701843261719,1.0
R_A6,17,1700.5233154296875,42,0.0,305.6184387207031,4,4,STANDARD,2018-01-01,0,305.6184387207031,1.0
R_A6,17,1702.0877685546875,42,0.0,305.7666931152344,5,5,STANDARD,2018-01-01,0,305.7666931152344,1.0
R_A6,17,1703.6522216796875,42,0.0,305.9149475097656,6,6,STANDARD,2018-01-01,0,305.9149475097656,1.0
R_A6,17,1705.2166748046875,42,0.0,305.76416015625,7,7,STANDARD,2018-01-01,0,305.76416015625,1.0
R_A6,17,1706.781005859375,42,0.0,305.91241455078125,8,8,STANDARD,2018-01-01,0,305.91241455078125,1.0
R_A6,17,1708.345458984375,42,0.0,306.3597412109375,9,9,STANDARD,2018-01-01,0,306.3597412109375,1.0
R_A6,17,1709.909912109375,42,0.0,306.20220947265625,10,10,STANDARD,2018-01-01,0,306.20220947265625,1.0
R_A6,17,1711.848388671875,42,0.0,306.38604736328125,11,11,STANDARD,2018-01-01,0,306.38604736328125,1.0
R_A6,17,1714.160888671875,42,0.0,306.605224609375,12,12,STANDARD,2018-01-01,0,306.605224609375,1.0
R_A6,17,1716.473388671875,42,0.0,306.8363342285156,13,13,STANDARD,2018-01-01,0,306.8363342285156,1.0
R_A6,17,1718.7860107421875,42,0.0,307.0555114746094,14,14,STANDARD,2018-01-01,0,307.0555114746094,1.0
R_A6,17,1721.0986328125,42,0.0,307.2746887207031,15,15,STANDARD,2018-01-01,0,307.2746887207031,1.0
R_A6,17,1723.4111328125,42,0.0,307.6388854980469,16,16,STANDARD,2018-01-01,0,307.6388854980469,1.0
R_A6,17,1725.7236328125,42,0.0,307.8580627441406,17,17,STANDARD,2018-01-01,0,307.8580627441406,1.0
R_A6,17,1727.3572998046875,42,0.0,308.0129089355469,18,18,STANDARD,2018-01-01,0,308.0129089355469,1.0
R_A6,17,1728.7060546875,42,0.0,307.983642578125,29,19,STANDARD,2018-01-01,0,307.983642578125,1.0
R_A6,17,1730.4488525390625,42,0.0,308.45458984375,30,20,STANDARD,2018-01-01,0,308.45458984375,1.0
R_A6,17,1732.191650390625,42,0.0,308.6197814941406,31,21,STANDARD,2018-01-01,0,308.6197814941406,1.0
R_A6,17,1733.9344482421875,42,0.0,308.78497314453125,32,22,STANDARD,2018-01-01,0,308.78497314453125,1.0
R_A6,17,1735.67724609375,42,0.0,308.64434814453125,33,23,STANDARD,2018-01-01,0,308.64434814453125,1.0
R_A2,22,1640.468017578125,30,0.0,299.5695495605469,1,1,STANDARD,2018-03-01,0,299.5695495605469,0.05425364151597023
R_A2,22,1642.3427734375,30,0.0,299.6952209472656,2,2,STANDARD,2018-03-01,0,299.6952209472656,0.0562485009431839
R_A2,22,1644.2174072265625,30,0.0,299.8208923339844,3,3,STANDARD,2018-03-01,0,299.8208923339844,0.05882280692458153
R_A2,22,1646.0921630859375,30,0.0,299.94659423828125,4,4,STANDARD,2018-03-01,0,299.94659423828125,0.06395728141069412
R_A2,22,1647.9669189453125,30,0.0,300.072265625,5,5,STANDARD,2018-03-01,0,300.072265625,0.06774505972862244
R_A2,22,1649.8416748046875,30,0.0,300.1979675292969,6,6,STANDARD,2018-03-01,0,300.1979675292969,0.16929075121879578
R_A2,22,1651.7164306640625,30,0.0,300.3283996582031,7,7,STANDARD,2018-03-01,0,300.3283996582031,0.8840028047561646
R_A2,22,1653.5911865234375,30,0.0,300.4566650390625,8,8,STANDARD,2018-03-01,0,300.4566650390625,0.8542975783348083
R_A2,22,1655.4659423828125,30,0.0,300.6490783691406,9,9,STANDARD,2018-03-01,0,300.6490783691406,0.8849791884422302
R_A2,22,1657.340576171875,30,0.0,300.8987731933594,10,10,STANDARD,2018-03-01,0,300.8987731933594,0.90648353099823
R_A2,22,1659.2769775390625,30,0.0,300.5960998535156,11,11,STANDARD,2018-03-01,0,300.5960998535156,0.0734584778547287
R_A2,22,1661.27490234375,30,0.0,300.73004150390625,12,12,STANDARD,2018-03-01,0,300.73004150390625,0.0727178156375885
R_A2,22,1663.272705078125,30,0.0,300.9658203125,13,13,STANDARD,2018-03-01,0,300.9658203125,0.4397938847541809
R_A2,22,1665.2706298828125,30,0.0,301.2325744628906,14,14,STANDARD,2018-03-01,0,301.2325744628906,0.4788748025894165
R_A2,22,1667.2684326171875,30,0.0,301.3693542480469,15,15,STANDARD,2018-03-01,0,301.3693542480469,0.6136910319328308
R_A2,22,1669.266357421875,30,0.0,301.5047302246094,16,16,STANDARD,2018-03-01,0,301.5047302246094,0.993308424949646
R_A2,22,1671.2642822265625,30,0.0,301.64056396484375,17,17,STANDARD,2018-03-01,0,301.64056396484375,0.918962299823761
R_A2,22,1673.15869140625,30,0.0,301.7679443359375,18,18,STANDARD,2018-03-01,0,301.7679443359375,0.9420537352561951
R_A2,22,1672.01708984375,29,0.0,301.76513671875,18,19,STANDARD,2018-03-01,0,301.76513671875,0.9429193139076233
R_A2,22,1673.248779296875,29,0.0,301.8477783203125,19,20,STANDARD,2018-03-01,0,301.8477783203125,0.9497500658035278
R_A2,22,1674.4095458984375,29,-1.2113633907387503e-16,302.8739318847656,29,21,STANDARD,2018-03-01,0,302.8739318847656,1.0
R_A2,22,1676.2222900390625,29,-9.87267299162875e-12,303.0020446777344,30,22,STANDARD,2018-03-01,0,303.0020446777344,1.0
R_A2,22,1678.0350341796875,29,-3.584191593642398e-16,303.04486083984375,31,23,STANDARD,2018-03-01,0,303.04486083984375,1.0
R_A2,22,1679.84765625,29,-1.661328997539508e-16,303.221435546875,32,24,STANDARD,2018-03-01,0,303.221435546875,1.0
R_A2,22,1681.660400390625,29,-1.4066864340023244e-10,302.81451416015625,33,25,STANDARD,2018-03-01,0,302.81451416015625,1.0
R_A5,31,1684.281005859375,20,-3.0884750052556642e-12,281.733154296875,1,1,STANDARD,2018-04-28,0,281.733154296875,1.0
R_A5,31,1686.5238037109375,20,-2.966906234580513e-12,281.9455871582031,2,2,STANDARD,2018-04-28,0,281.9455871582031,1.0
R_A5,31,1688.7667236328125,20,-2.8805081150190537e-12,282.1579895019531,3,3,STANDARD,2018-04-28,0,282.1579895019531,1.0
R_A5,31,1691.009521484375,20,-3.4057199334996957e-12,282.3703918457031,4,4,STANDARD,2018-04-28,0,282.3703918457031,1.0
R_A5,31,1693.2523193359375,20,-3.3289373861655758e-12,282.58282470703125,5,5,STANDARD,2018-04-28,0,282.58282470703125,1.0
R_A5,31,1695.4952392578125,20,-3.221686155699399e-12,282.79522705078125,6,6,STANDARD,2018-04-28,0,282.79522705078125,1.0
R_A5,31,1697.7381591796875,20,-1.0434172650246668e-13,283.33477783203125,7,7,STANDARD,2018-04-28,0,283.33477783203125,1.0
R_A5,31,1706.5748291015625,20,-7.433653519128836e-12,278.9097900390625,11,8,STANDARD,2018-04-28,0,278.9097900390625,1.0
R_A5,31,1700.7694091796875,21,-7.917339700513892e-11,277.8242492675781,11,9,STANDARD,2018-04-28,0,277.8242492675781,1.0
R_A5,31,1702.6873779296875,21,-1.0088230945060062e-10,278.0057373046875,12,10,STANDARD,2018-04-28,0,278.0057373046875,1.0
R_A5,31,1704.6053466796875,21,-2.0119893164721736e-12,278.1997985839844,13,11,STANDARD,2018-04-28,0,278.1997985839844,1.0
R_A5,31,1706.523193359375,21,-5.625191718677813e-12,278.3818664550781,14,12,STANDARD,2018-04-28,0,278.3818664550781,1.0
R_A5,31,1708.4410400390625,21,-1.3818345339505766e-12,278.5646667480469,15,13,STANDARD,2018-04-28,0,278.5646667480469,1.0
R_A5,31,1710.3590087890625,21,-1.0060735881542437e-12,278.895263671875,16,14,STANDARD,2018-04-28,0,278.895263671875,1.0
R_A5,31,1712.2769775390625,21,-2.2412696427508844e-13,279.08111572265625,17,15,STANDARD,2018-04-28,0,279.08111572265625,1.0
R_A5,31,1714.1639404296875,21,-3.749540825395692e-13,279.26239013671875,18,16,STANDARD,2018-04-28,0,279.26239013671875,1.0
R_A5,31,1716.46630859375,21,-5.835843130762948e-15,277.9586181640625,29,17,STANDARD,2018-04-28,0,277.9586181640625,1.0
R_A5,31,1718.87353515625,21,-5.851971485111617e-15,278.10791015625,30,18,STANDARD,2018-04-28,0,278.10791015625,1.0
R_A5,31,1721.28076171875,21,-1.3717293063759896e-15,278.75677490234375,31,19,STANDARD,2018-04-28,0,278.75677490234375,1.0
R_A5,31,1723.68798828125,21,-1.4717367701037702e-23,291.7134094238281,32,20,STANDARD,2018-04-28,0,291.7134094238281,1.0
R_A5,31,1726.09521484375,21,-4.936243609679214e-29,302.2970886230469,33,21,STANDARD,2018-04-28,0,302.2970886230469,1.0
R_A3,28,1609.991943359375,41,0.0,282.39141845703125,1,1,STANDARD,2018-07-03,0,282.39141845703125,0.1321769803762436
R_A3,28,1612.0584716796875,41,0.0,282.52935791015625,2,2,STANDARD,2018-07-03,0,282.52935791015625,0.11851394176483154
R_A3,28,1614.1251220703125,41,0.0,282.66729736328125,3,3,STANDARD,2018-07-03,0,282.66729736328125,0.11845919489860535
R_A3,29,1602.5166015625,41,0.0,281.8924255371094,3,4,STANDARD,2018-07-03,0,281.8924255371094,0.18439385294914246
R_A3,29,1604.6104736328125,41,0.0,282.0407409667969,4,5,STANDARD,2018-07-03,0,282.0407409667969,0.3605947196483612
R_A3,29,1606.704345703125,41,0.0,282.2159729003906,5,6,STANDARD,2018-07-03,0,282.2159729003906,0.8106749057769775
R_A3,29,1608.79833984375,41,0.0,282.27777099609375,6,7,STANDARD,2018-07-03,0,282.27777099609375,0.6505606770515442
R_A3,29,1610.8922119140625,41,0.0,282.4168395996094,7,8,STANDARD,2018-07-03,0,282.4168395996094,0.11120062321424484
R_A3,29,1612.986083984375,41,0.0,282.5566101074219,8,9,STANDARD,2018-07-03,0,282.5566101074219,0.13365259766578674
R_A3,29,1615.080078125,41,0.0,282.7900085449219,9,10,STANDARD,2018-07-03,0,282.7900085449219,0.7921131253242493
R_A3,29,1617.174072265625,41,0.0,283.8275146484375,10,11,STANDARD,2018-07-03,0,283.8275146484375,0.7935850024223328
R_A3,29,1619.391357421875,41,0.0,288.40631103515625,11,12,STANDARD,2018-07-03,0,288.40631103515625,0.051614128053188324
R_A3,29,1621.73193359375,41,0.0,288.5627746582031,12,13,STANDARD,2018-07-03,0,288.5627746582031,0.052383407950401306
R_A3,29,1624.0723876953125,41,0.0,288.7197265625,13,14,STANDARD,2018-07-03,0,288.7197265625,0.3663555085659027
R_A3,29,1626.4129638671875,41,0.0,289.879638671875,14,15,STANDARD,2018-07-03,0,289.879638671875,0.046083543449640274
R_A3,29,1628.750244140625,41,0.0,289.9100646972656,15,16,STANDARD,2018-07-03,0,289.9100646972656,0.5024673342704773
R_A3,29,1630.7083740234375,41,0.0,290.05267333984375,16,17,STANDARD,2018-07-03,0,290.05267333984375,0.8092141151428223
R_A3,29,1633.462890625,41,0.0,288.064208984375,29,18,STANDARD,2018-07-03,0,288.064208984375,0.6492964029312134
R_A3,29,1637.20556640625,41,0.0,288.2949523925781,30,19,STANDARD,2018-07-03,0,288.2949523925781,0.04681321233510971
R_A3,29,1640.9482421875,41,0.0,288.545166015625,31,20,STANDARD,2018-07-03,0,288.545166015625,0.05188842490315437
R_A3,29,1644.6910400390625,41,3.726392024810954e-12,292.1089172363281,32,21,STANDARD,2018-07-03,0,292.1089172363281,1.0
R_A3,29,1648.4337158203125,41,0.0,289.0612487792969,33,22,STANDARD,2018-07-03,0,289.0612487792969,0.15288302302360535
R_A4,30,1628.9658203125,52,0.0,276.6340637207031,1,1,STANDARD,2018-09-12,0,276.6340637207031,0.04894978180527687
R_A4,31,1627.3284912109375,52,0.0,276.56561279296875,1,2,STANDARD,2018-09-12,0,276.56561279296875,0.04792216047644615
R_A4,31,1629.385009765625,52,0.0,276.70263671875,2,3,STANDARD,2018-09-12,0,276.70263671875,0.049880508333444595
R_A4,31,1631.4415283203125,52,0.0,276.8396301269531,3,4,STANDARD,2018-09-12,0,276.8396301269531,0.052331309765577316
R_A4,31,1633.498046875,52,0.0,276.97662353515625,4,5,STANDARD,2018-09-12,0,276.97662353515625,0.053728558123111725
R_A4,32,1633.934326171875,52,0.0,277.05413818359375,4,6,STANDARD,2018-09-12,0,277.05413818359375,0.05508309230208397
R_A4,32,1635.8033447265625,52,0.0,277.1785583496094,5,7,STANDARD,2018-09-12,0,277.1785583496094,0.058148935437202454
R_A4,32,1638.697509765625,51,0.0,277.2880554199219,5,8,STANDARD,2018-09-12,0,277.2880554199219,0.22139355540275574
R_A4,32,1636.9166259765625,51,0.0,277.16827392578125,4,9,STANDARD,2018-09-12,0,277.16827392578125,0.05784473940730095
R_A4,33,1637.7822265625,51,0.0,277.244384765625,4,10,STANDARD,2018-09-12,0,277.244384765625,0.05878495052456856
R_A4,33,1635.92333984375,51,0.0,277.1204833984375,3,11,STANDARD,2018-09-12,0,277.1204833984375,0.05608009174466133
R_A4,34,1637.380859375,51,0.0,277.2967224121094,4,12,STANDARD,2018-09-12,0,277.2967224121094,0.07769177109003067
R_A4,34,1640.5634765625,50,0.0,277.298095703125,4,13,STANDARD,2018-09-12,0,277.298095703125,0.12417308986186981
R_A4,35,1639.6368408203125,50,0.0,277.4929504394531,4,14,STANDARD,2018-09-12,0,277.4929504394531,0.22959469258785248
R_A4,35,1637.80517578125,50,0.0,277.3709411621094,3,15,STANDARD,2018-09-12,0,277.3709411621094,0.1990736424922943
R_A4,35,1639.72705078125,49,0.0,280.7631530761719,32,16,STANDARD,2018-09-12,0,280.7631530761719,0.6500789523124695
R_A4,36,1642.0836181640625,49,0.0,280.9429626464844,32,17,STANDARD,2018-09-12,0,280.9429626464844,0.1927293837070465
R_A4,36,1641.39453125,48,0.0,280.85760498046875,32,18,STANDARD,2018-09-12,0,280.85760498046875,0.6503379344940186
R_A4,37,1644.6756591796875,48,0.0,281.1078796386719,32,19,STANDARD,2018-09-12,0,281.1078796386719,0.05734408274292946
R_A4,37,1650.3953857421875,48,0.0,290.1896667480469,33,20,STANDARD,2018-09-12,0,290.1896667480469,0.8329538106918335
R_A4,38,1647.44970703125,48,0.0,281.360107421875,32,21,STANDARD,2018-09-12,0,281.360107421875,0.16593053936958313
R_A4,38,1655.78515625,47,0.0,281.8096008300781,32,22,STANDARD,2018-09-12,0,281.8096008300781,0.07199010252952576
R_A6,17,1695.8302001953125,42,2.1961951571572436e-14,272.2746887207031,1,1,STANDARD,2018-11-07,0,272.2746887207031,1.0
R_A6,17,1697.39453125,42,1.4195562382372275e-14,272.4220886230469,2,2,STANDARD,2018-11-07,0,272.4220886230469,1.0
R_A6,17,1698.958984375,42,1.1264068596318708e-14,272.5675048828125,3,3,STANDARD,2018-11-07,0,272.5675048828125,1.0
R_A6,17,1700.5233154296875,42,8.96958255011595e-15,272.7089538574219,4,4,STANDARD,2018-11-07,0,272.7089538574219,1.0
R_A6,17,1702.0877685546875,42,1.4001973002277304e-14,272.84808349609375,5,5,STANDARD,2018-11-07,0,272.84808349609375,1.0
R_A6,17,1703.6522216796875,42,7.471258854641061e-13,272.9900817871094,6,6,STANDARD,2018-11-07,0,272.9900817871094,1.0
R_A6,17,1705.2166748046875,42,1.3165740199438947e-12,272.8411560058594,7,7,STANDARD,2018-11-07,0,272.8411560058594,1.0
R_A6,17,1706.781005859375,42,8.288071834741673e-13,272.9826354980469,8,8,STANDARD,2018-11-07,0,272.9826354980469,1.0
R_A6,17,1708.345458984375,42,3.912836173776066e-14,273.3898010253906,9,9,STANDARD,2018-11-07,0,273.3898010253906,1.0
R_A6,17,1709.909912109375,42,4.067652898537277e-12,272.9732971191406,10,10,STANDARD,2018-11-07,0,272.9732971191406,1.0
R_A6,17,1711.848388671875,42,0.0,279.94366455078125,11,11,STANDARD,2018-11-07,0,279.94366455078125,1.0
