WELLMODEL,DRAWDOWN,WELL,DEPTH,CONIPOS,SGAS,PRESSURE,DATE,SWAT,CONBPRES,CONIDX,CONJPOS,CONKPOS
STANDARD,0,R_A5,1700.989990234375,31,0.0,305.66265869140625,2018-01-01,1.0,305.66265869140625,8,20,8
STANDARD,0,R_A5,1703.2706298828125,31,0.0,305.8787841796875,2018-01-01,1.0,305.8787841796875,9,20,9
STANDARD,0,R_A5,1707.6488037109375,31,0.0,305.988037109375,2018-01-01,1.0,305.988037109375,10,20,11
STANDARD,0,R_A5,1709.5638427734375,31,0.0,306.1695251464844,2018-01-01,1.0,306.1695251464844,11,20,12
STANDARD,0,R_A5,1701.7845458984375,31,0.0,305.4322814941406,2018-01-01,1.0,305.4322814941406,12,21,12
STANDARD,0,R_A5,1703.735107421875,31,0.0,305.6291198730469,2018-01-01,1.0,305.6291198730469,13,21,13
STANDARD,0,R_A5,1705.6856689453125,31,0.0,305.81396484375,2018-01-01,1.0,305.81396484375,14,21,14
STANDARD,0,R_A5,1707.63623046875,31,0.0,305.9988098144531,2018-01-01,1.0,305.9988098144531,15,21,15
STANDARD,0,R_A5,1709.5867919921875,31,0.0,306.3287048339844,2018-01-01,1.0,306.3287048339844,16,21,16
STANDARD,0,R_A5,1711.537353515625,31,0.0,306.5135498046875,2018-01-01,1.0,306.5135498046875,17,21,17
STANDARD,0,R_A5,1713.35400390625,31,0.0,306.6856994628906,2018-01-01,1.0,306.6856994628906,18,21,18
STANDARD,0,R_A5,1714.3951416015625,31,0.0,306.7843933105469,2018-01-01,1.0,306.7843933105469,19,21,19
STANDARD,0,R_A5,1715.7628173828125,31,0.0,306.75689697265625,2018-01-01,1.0,306.75689697265625,20,21,27
STANDARD,0,R_A5,1718.098388671875,31,0.0,306.978271484375,2018-01-01,1.0,306.978271484375,21,21,28
STANDARD,0,R_A5,1720.43408203125,31,0.0,307.5054016113281,2018-01-01,1.0,307.5054016113281,22,21,29
STANDARD,0,R_A5,1722.7696533203125,31,0.0,307.7267761230469,2018-01-01,1.0,307.7267761230469,23,21,30
STANDARD,0,R_A5,1725.105224609375,31,0.0,307.9481506347656,2018-01-01,1.0,307.9481506347656,24,21,31
STANDARD,0,R_A6,1695.20263671875,17,0.0,305.11419677734375,2018-01-01,1.0,305.11419677734375,1,42,1
STANDARD,0,R_A6,1696.7510986328125,17,0.0,305.2609558105469,2018-01-01,1.0,305.2609558105469,2,42,2
STANDARD,0,R_A6,1698.299560546875,17,0.0,305.4076843261719,2018-01-01,1.0,305.4076843261719,3,42,3
STANDARD,0,R_A6,1699.84814453125,17,0.0,305.554443359375,2018-01-01,1.0,305.554443359375,4,42,4
STANDARD,0,R_A6,1701.3966064453125,17,0.0,305.7012023925781,2018-01-01,1.0,305.7012023925781,5,42,5
STANDARD,0,R_A6,1702.9451904296875,17,0.0,305.84796142578125,2018-01-01,1.0,305.84796142578125,6,42,6
STANDARD,0,R_A6,1704.49365234375,17,0.0,305.6956481933594,2018-01-01,1.0,305.6956481933594,7,42,7
STANDARD,0,R_A6,1706.042236328125,17,0.0,305.8424072265625,2018-01-01,1.0,305.8424072265625,8,42,8
STANDARD,0,R_A6,1707.5906982421875,17,0.0,306.2882080078125,2018-01-01,1.0,306.2882080078125,9,42,9
STANDARD,0,R_A6,1709.1392822265625,17,0.0,306.4349670410156,2018-01-01,1.0,306.4349670410156,10,42,10
STANDARD,0,R_A6,1711.055419921875,17,0.0,306.3109130859375,2018-01-01,1.0,306.3109130859375,11,42,11
STANDARD,0,R_A6,1713.3392333984375,17,0.0,306.52734375,2018-01-01,1.0,306.52734375,12,42,12
STANDARD,0,R_A6,1715.623046875,17,0.0,306.7557678222656,2018-01-01,1.0,306.7557678222656,13,42,13
STANDARD,0,R_A6,1717.9068603515625,17,0.0,306.9721984863281,2018-01-01,1.0,306.9721984863281,14,42,14
STANDARD,0,R_A6,1720.190673828125,17,0.0,307.18865966796875,2018-01-01,1.0,307.18865966796875,15,42,15
STANDARD,0,R_A6,1722.474365234375,17,0.0,307.55010986328125,2018-01-01,1.0,307.55010986328125,16,42,16
STANDARD,0,R_A6,1724.7581787109375,17,0.0,307.7665710449219,2018-01-01,1.0,307.7665710449219,17,42,17
STANDARD,0,R_A6,1726.394287109375,17,0.0,307.921630859375,2018-01-01,1.0,307.921630859375,18,42,18
STANDARD,0,R_A6,1727.7508544921875,17,0.0,307.8930969238281,2018-01-01,1.0,307.8930969238281,19,42,27
STANDARD,0,R_A6,1729.4755859375,17,0.0,308.3623352050781,2018-01-01,1.0,308.3623352050781,20,42,28
STANDARD,0,R_A6,1731.2001953125,17,0.0,308.52581787109375,2018-01-01,1.0,308.52581787109375,21,42,29
STANDARD,0,R_A6,1732.9249267578125,17,0.0,308.68927001953125,2018-01-01,1.0,308.68927001953125,22,42,30
STANDARD,0,R_A6,1734.649658203125,17,0.0,308.5469665527344,2018-01-01,1.0,308.5469665527344,23,42,31
STANDARD,0,R_A2,1641.094970703125,22,0.0,298.5772705078125,2018-03-01,0.05578432232141495,298.5772705078125,1,30,1
STANDARD,0,R_A2,1642.8890380859375,22,0.0,298.69744873046875,2018-03-01,0.05886262655258179,298.69744873046875,2,30,2
STANDARD,0,R_A2,1644.68310546875,22,0.0,298.8176574707031,2018-03-01,0.061545222997665405,298.8176574707031,3,30,3
STANDARD,0,R_A2,1646.4771728515625,22,0.0,298.9378967285156,2018-03-01,0.06772022694349289,298.9378967285156,4,30,4
STANDARD,0,R_A2,1648.2713623046875,22,0.0,299.0583801269531,2018-03-01,0.13477371633052826,299.0583801269531,5,30,5
STANDARD,0,R_A2,1650.0654296875,22,0.0,299.3276062011719,2018-03-01,0.3076837360858917,299.3276062011719,6,30,6
STANDARD,0,R_A2,1651.859619140625,22,0.0,299.57470703125,2018-03-01,0.8871719837188721,299.57470703125,7,30,7
STANDARD,0,R_A2,1653.6536865234375,22,0.0,299.743896484375,2018-03-01,0.6483231782913208,299.743896484375,8,30,8
STANDARD,0,R_A2,1655.44775390625,22,0.0,299.8641662597656,2018-03-01,0.1872834414243698,299.8641662597656,9,30,9
STANDARD,0,R_A2,1657.2418212890625,22,0.0,300.1026916503906,2018-03-01,0.9045077562332153,300.1026916503906,10,30,10
STANDARD,0,R_A2,1659.1368408203125,22,0.0,300.2024841308594,2018-03-01,0.07898622006177902,300.2024841308594,11,30,11
STANDARD,0,R_A2,1661.132568359375,22,0.0,300.3520812988281,2018-03-01,0.07925771176815033,300.3520812988281,12,30,12
STANDARD,0,R_A2,1663.12841796875,22,0.0,300.75738525390625,2018-03-01,0.45310717821121216,300.75738525390625,13,30,13
STANDARD,0,R_A2,1665.1241455078125,22,0.0,301.05780029296875,2018-03-01,0.5042712092399597,301.05780029296875,14,30,14
STANDARD,0,R_A2,1667.1199951171875,22,0.0,301.1913146972656,2018-03-01,0.6905545592308044,301.1913146972656,15,30,15
STANDARD,0,R_A2,1669.11572265625,22,0.0,301.3235778808594,2018-03-01,0.9649182558059692,301.3235778808594,16,30,16
STANDARD,0,R_A2,1671.111572265625,22,0.0,301.4570617675781,2018-03-01,0.9508002400398254,301.4570617675781,17,30,17
STANDARD,0,R_A2,1672.9881591796875,22,0.0,301.5827941894531,2018-03-01,0.9831556677818298,301.5827941894531,18,30,18
STANDARD,0,R_A2,1674.229736328125,22,0.0,301.6506042480469,2018-03-01,0.9968770742416382,301.6506042480469,19,29,18
STANDARD,0,R_A2,1676.1676025390625,22,-8.777677495036594e-16,302.8865966796875,2018-03-01,1.0,302.8865966796875,20,29,27
STANDARD,0,R_A2,1677.9368896484375,22,-1.5335636065668534e-16,303.2814025878906,2018-03-01,1.0,303.2814025878906,21,29,28
STANDARD,0,R_A2,1679.7061767578125,22,-1.119480432994156e-16,303.1976013183594,2018-03-01,1.0,303.1976013183594,22,29,29
STANDARD,0,R_A2,1681.4754638671875,22,-9.354626575520573e-17,302.74346923828125,2018-03-01,1.0,302.74346923828125,23,29,30
STANDARD,0,R_A2,1683.2447509765625,22,-1.1446968685317125e-16,302.1737976074219,2018-03-01,1.0,302.1737976074219,24,29,31
STANDARD,0,R_A5,1685.026611328125,31,4.1224644797384487e-19,271.5599365234375,2018-04-28,1.0,271.5599365234375,1,20,1
STANDARD,0,R_A5,1687.3070068359375,31,-5.849390496311994e-17,271.4701843261719,2018-04-28,1.0,271.4701843261719,2,20,2
STANDARD,0,R_A5,1689.5875244140625,31,-6.778526082445858e-17,271.6861572265625,2018-04-28,1.0,271.6861572265625,3,20,3
STANDARD,0,R_A5,1691.8680419921875,31,-9.972797837871661e-17,271.9021301269531,2018-04-28,1.0,271.9021301269531,4,20,4
STANDARD,0,R_A5,1694.1485595703125,31,-2.93051529094592e-17,272.1180114746094,2018-04-28,1.0,272.1180114746094,5,20,5
STANDARD,0,R_A5,1696.4290771484375,31,-1.851685094056131e-16,272.3339538574219,2018-04-28,1.0,272.3339538574219,6,20,6
STANDARD,0,R_A5,1698.70947265625,31,-5.064150587793365e-17,272.9071044921875,2018-04-28,1.0,272.9071044921875,7,20,7
STANDARD,0,R_A5,1700.989990234375,31,-3.4516669362973584e-16,273.19598388671875,2018-04-28,1.0,273.19598388671875,8,20,8
STANDARD,0,R_A5,1703.2706298828125,31,0.0,275.5352783203125,2018-04-28,1.0,275.5352783203125,9,20,9
STANDARD,0,R_A5,1707.6488037109375,31,-7.059549884773364e-13,277.18017578125,2018-04-28,1.0,277.18017578125,10,20,11
STANDARD,0,R_A5,1709.5638427734375,31,-2.537477064405713e-13,277.4219665527344,2018-04-28,1.0,277.4219665527344,11,20,12
STANDARD,0,R_A5,1701.7845458984375,31,-1.1579377734438623e-10,276.1303405761719,2018-04-28,1.0,276.1303405761719,12,21,12
STANDARD,0,R_A5,1703.735107421875,31,0.0,277.00469970703125,2018-04-28,1.0,277.00469970703125,13,21,13
STANDARD,0,R_A5,1705.6856689453125,31,-6.461661067325153e-11,277.2141418457031,2018-04-28,1.0,277.2141418457031,14,21,14
STANDARD,0,R_A5,1707.63623046875,31,-1.2268401572423926e-11,277.4139404296875,2018-04-28,1.0,277.4139404296875,15,21,15
STANDARD,0,R_A5,1709.5867919921875,31,-3.078176385659659e-12,277.80633544921875,2018-04-28,1.0,277.80633544921875,16,21,16
STANDARD,0,R_A5,1711.537353515625,31,-2.6374171943621683e-12,278.12445068359375,2018-04-28,1.0,278.12445068359375,17,21,17
STANDARD,0,R_A5,1713.35400390625,31,-2.8205640947853716e-12,278.5749206542969,2018-04-28,1.0,278.5749206542969,18,21,18
STANDARD,0,R_A5,1714.3951416015625,31,0.0,278.8728942871094,2018-04-28,1.0,278.8728942871094,19,21,19
STANDARD,0,R_A5,1715.7628173828125,31,-1.0082685554524407e-12,278.9392395019531,2018-04-28,1.0,278.9392395019531,20,21,27
STANDARD,0,R_A5,1718.098388671875,31,2.2227617695654706e-13,279.3760986328125,2018-04-28,1.0,279.3760986328125,21,21,28
STANDARD,0,R_A5,1720.43408203125,31,2.7666373905937267e-19,285.064208984375,2018-04-28,1.0,285.064208984375,22,21,29
STANDARD,0,R_A5,1722.7696533203125,31,1.0248482699417791e-13,279.2790832519531,2018-04-28,1.0,279.2790832519531,23,21,30
STANDARD,0,R_A5,1725.105224609375,31,3.679262658496185e-19,281.29864501953125,2018-04-28,1.0,281.29864501953125,24,21,31
STANDARD,0,R_A3,1609.243408203125,28,0.0,278.357666015625,2018-07-03,0.6495048999786377,278.357666015625,1,41,1
STANDARD,0,R_A3,1611.3077392578125,28,0.0,278.49176025390625,2018-07-03,0.19764474034309387,278.49176025390625,2,41,2
STANDARD,0,R_A3,1613.3720703125,28,0.0,278.6292724609375,2018-07-03,0.15820501744747162,278.6292724609375,3,41,3
STANDARD,0,R_A3,1615.4365234375,28,0.0,278.7669372558594,2018-07-03,0.17278487980365753,278.7669372558594,4,41,4
